[00:00.510] 这样
[12:39.790] 告诉爸爸。
[12:41.850] 您就坐那我这边看到您写了。
[12:46.990] 你看看别人找一下，他说有聊吗？如果有的话就跟我说排着。
[14:24.520] 下雨对。
[14:26.320] 这牵C60怎么着，这个车暮云还有一个
[14:30.630] 360202，
[14:33.780] 1484A4还是15的多云去，不是你的14还是15？
[14:42.730] 第四，
[14:43.970] 谁？
[14:45.030] 第43号店吗？我看着你说。
[14:53.250] 嘉宾，
[16:19.880] 左边的右边距。
[16:41.630] 北京统一刊号。
[17:01.160] 然后您旧车报废，咱们这也可以您
[17:05.350] 免费代办。
[17:07.590] 在这里面简单
[17:10.240] 那个钱是国家给你发的补贴，您自己去申请，我们可以帮助您把手续给你办了，你把车认证就不用管了。
[17:18.160] 了。
[17:19.020] 一般4S店的话，你报废还给你要钱，应该给你收个1000块钱。
[17:24.580] 对。
[17:27.190] 其实也都是之前就行了，不是。
[17:32.210] 我们把方法
[17:33.130] 给你，然后你就放送你300万还得去。
[17:37.240] 他给你直接用点把那张单子我交过一次，根据。
[17:41.220] 没签还是档案的？
[17:43.200] 跟我没关系。
[17:48.080] 的
[17:52.030] 在佛山。
[17:55.140] 对
[18:11.200] 直接发电过来，
[18:12.500] 报废的话还要跟你收钱，
[18:15.750] 因为他们报费用欠账给
[18:18.220] 给一部分的。
[19:06.170] 市价是由您跟着吗？对。
[19:08.080] 我带人就是这样，好。
[19:09.840] 谁开？
[19:11.280] 您拿手机扫一下我这个二维码给您办事件。
[19:16.930] 两个人是不是两人都应该扫一下，都得
[19:22.550] 我已经开始了。
[19:30.940] 的
[19:41.030] 查找
[19:48.280] 看
[19:54.370] 的
[19:56.970] 五
[20:02.810] 两边
[20:05.550] 拍
[20:08.570] 的。
[20:19.910] 不是这样的。
[20:22.050] 的。
[20:24.670] 先稍等一下。
[20:28.310] 数据。
[20:34.700] 说。
[20:56.960] 了。
[20:59.570] 把搬进来。
[21:03.110] 我给你一张你把那个放
[21:14.020] 另外
[21:38.040] 的
[21:39.470] 谁知
[21:54.270] 给我就行。
[21:56.750] 行。
[21:58.750] 坏的用不了。
[22:03.280] 给。
[22:04.900] 先搁着。
[22:06.320] 有些人都全部
[22:12.360] 所有权的，
[22:14.010] 他说坏了用不了这个。
[22:16.400] 不知道。
[22:17.760] 坏的。
[22:19.010] 还是用不了，没法应用，说是不自个还是
[22:28.820] 我再去收个件你帮我算。
[22:32.610] 把它删掉自己装个牌，要说一下没出来。
[22:35.880] 再贷款没有
[22:39.910] 号。
[22:43.200] 原装。
[22:45.130] 我装不了。
[22:46.770] 领导人。
[22:48.230] 你能听听孩子什么的，那些东西都在他这里，对。
[22:51.800] 这张原来扫个停车证就没事了。
[22:55.610] 原来那边我
[22:59.520] 我看到。
[23:01.590] 弄完了是吧？我完了
[23:04.190] 就可以了，需要再扫一下它就可以
[23:07.820] 了。
[23:09.800] 您再找一下。
[23:12.120] 微信扫一扫呢？
[23:14.270] 觉得后来我也少了。
[24:00.000] 也聚焦了是吗？
[24:04.090] 是有点问题。
[24:07.470] 谁知
[24:10.150] 今天在这里。
[24:13.530] 就不用找了。
[24:14.840] 让你回来以后网页
[25:03.350] 首先在这签字，
[25:05.200] 你乐了创客会倒掉了，
[25:07.840] 先参加来过。
[25:12.050] 好。
[25:36.970] 好了。
[25:37.900] 稍等一下我看。
[25:41.990] 差不多对行我稍等会好了。
[25:48.500] 让绿色
[25:50.110] 的
[26:13.070] 买
[26:42.400] 的
[26:48.890] 小强。
[26:49.880] 叉C60T试驾了吗？
[26:52.240] 是吗他？
[26:55.280] 咱这是这样的话要提前多久？
[26:59.250] 一般的话。
[27:00.480] 正常能排队排上去吗？刚才的只要这个信号就可以。
[27:07.730] 2038的问题
[27:10.270] 是2038条还比较高，
[27:13.640] 特别近是不是是动向的放下的，
[27:18.030] 还要从网上
[27:21.930] 买
[27:23.940] 了
[27:25.550] 之一就是外面玩。
[27:31.450] 边拍了我再走了是吧？
[27:43.220] 三谁知道玩牌的，你要是
[27:45.910] 十佳乡我先排上了，孩子先这时间行不行？人家都以为你去试驾了，
[27:52.610] 是不是？富强在前面，
[27:55.370] 互相回来了一下，
[27:57.240] 还他妈那就没了，就轮我了对吧？
[28:01.120] 它目前已经走了是吗？
[28:02.960] 估计是到了，好的都不写，我也不知道，反正前面你拍的好几个了。
[28:08.230] 我们这儿我就轮到我了，你就看他要拿车的谁去试驾了，回来，假如是富强，那就告节假日告捷的就是你。
[28:16.190] 我不盯着到时候高洁的S90
[28:20.050] 富强完成是富强就聋了我了。
[28:24.050] 是往您的话就轮到不强了，对。
[28:26.680] 谁知。
[28:28.510] 对。
[28:34.590] 你稍微等会前面有一个
[28:36.680] 还后来等等。
[28:39.070] 还有这么个人
[28:40.930] 三年这样就出现了，
[28:42.500] 才能开到频道奥迪那儿走了一段，一开始不知道在那。
[28:46.990] 我的宝贝
[28:48.770] 这块我报废靠谱不过来？好的办了好多了的。
[28:54.800] 不是您要自己有认识自己man一点。
[28:57.690] 没有认识的，我不就想省事儿，直接不要给他们给钱就好了，您这边有没有把
[29:04.320] 我们运动我们管管到哪，我们就管到把手续都给弄出来，
[29:08.520] 然后手机那个系统上不会签，可以手动已经把系统去掉了，后面的我们不管
[29:13.740] 了，这里用
[29:15.090] 手机是不是对宋志辉是不是上次调研可以用我的
[29:23.740] 把就车站的牌子已经放到新房编号是吧？
[29:27.270] 包括三小时我们课文这就是你们商店连都不用管穿我们办的，
[29:32.190] 把心陶给推上来了，取车的新牌子就已经开战了是吧？是不是？你得去回头还得验车，新车也得现在
[29:40.660] 1212就是自己去还是去上，我们专门有人你把车开过去给你拍个照片就不用管了就可以。
[29:46.680] 可以走了，得给车主本人的拍照的。
[29:51.180] 网站里面，
[29:53.320] 他这个就是森林灰旁边第一件的，他也是个灰色，好像在海洋会S不一样，不同的里面没有
[30:02.210] 这个颜色挺好看的，
[30:04.800] 那是一个新特点。
[30:07.710] 棕色卖的还可以，我们看到老虎机那块红色去年卖得好，一般今年卖的白的跟要不差的比较多一点。
[30:17.000] 早一点。
[30:18.270] 因为片子颜色
[30:22.920] 颜色你D
[30:24.040] 高清。
[30:27.200] 配制估计倾向哪个看看。
[30:30.220] 质押就字义都没必要，还是正常的硬件啥的都一样。
[30:35.430] 都一样，然后
[30:36.680] 有没有钥匙进入不重要，有没有导航也不知道上市没有导航肯定没用，对，因为你要刷新才行，他那你俩人有苹果手机吗？
[30:46.590] 还有有你平时用咖啡类就行了，我用我这是华为，我跟您说家里不有那不用苹果手机，这手机不有热点吗？
[30:55.990] 把苹果手机扔车里，上车以后连个热点，直接能把手机屏幕就投到那个屏幕上了。
[31:02.470] 实时地图
[31:04.080] 也比较好用方便。
[31:06.400] 你车本身的地图还是那种
[31:08.940] 加一个3000块钱的套装，哪个最高的攻击包的话是这样的，如果
[31:16.010] 您选20款，我给您看看还有没有票，你要小二送一个吗？
[31:20.890] 21款的车，中级高级都需要属于个性化定制了这样的。
[31:25.680] 就周期会很长。
[31:27.830] 对。
[31:28.910] 其实20215左右可以给你看看。
[31:31.580] 我还是喜欢真皮座椅好打理。
[31:34.390] 都是真皮座椅，你不是说是李姐是一个叫皮皮吗？不是。
[31:39.850] 一个叫皮子，它做出来你根本看不出来有区别吗？就是说你外表看上去都是皮制的，不是那种毛坯是吧？不是我怕就是脏了以后你擦都擦不了，看起来是一模一样，没有任何区别，包括纹路纹路的一样。
[31:52.630] 你是绝世感觉不出来的，对你摸也摸不出来，
[31:57.770] 明白吗？因为都是皮的味神经用一点的
[32:01.650] 一样没区别的。
[32:03.040] 你都用了十几年都没有任何问题。
[32:05.650] 过来了，现在的
[32:07.560] 我们家里面也有他也叫什么皮，不是啤酒叫什么
[32:13.070] 组合的。
[32:14.940] 结婚率什么意思？老的是块整皮的，
[32:18.530] 新的是块打碎了的又揉起来的皮子。
[32:21.920] 别太早了，都是牛皮吃饭就是那种
[32:25.740] 淘宝上卖的鞋，
[32:27.260] 差不多那种压制的，
[32:30.110] 同样一个品牌为什么便宜就是压制的。
[32:33.720] 类似于这个意思，让他高端的是吗？
[32:37.640] 那就类似于这样，明天看过稍等一下，我给你过来看一看，看的话就是愿意
[32:44.070] 离这时间越近越好，比如说现在买21款，按理说以后它的保值
[32:48.760] 能力是不是要强一点，25是这样是吧？稍微长点长不到，
[32:54.340] 本身也没变化，
[32:55.870] 我没办法我出来搞好，感觉起来不行，别自己用的，那就是自己稍等，我给你进去看看一下有没有那种
[33:04.730] 带包的。
[33:07.060] 外观你估计倾向这个事儿。
[33:08.990] 不一样的，我这两批人我知道外观颜色白色。
[33:15.660] 这样咱们可以研究水晶买接受新
[33:23.650] 到
[33:24.610] 要
[33:41.070] 耳朵真的。
[33:43.520] 今天了还不知道，就抬起头看看。
[33:48.110] 他说
[33:49.890] 帮我看一下他这个人之100的有没有带工具包的？
[33:54.530] 的。
[34:00.440] 要说。
[34:01.280] 对。
[34:02.060] 你再聊三应该得了。
[34:06.240] 你聊聊回来。
[34:08.190] 你过来了，没事，昨天晚上
[34:11.590] 不能了。
[34:16.860] 住在哪边走？刘洋子先看。
[34:19.260] 尽快好好，然后但是要不先等等，这个不是他们家属将来有哪些
[34:28.010] 可以签单，有没有对有手袋包的，有黑内的和棕棕内载图，
[34:34.220] 对内在库，结果大家猜健身把握的
[34:38.330] 哪样？
[34:39.990] 二一款一款白色带啥东西包对。
[34:45.620] 黑店是在库中内在图已经付完款了。
[34:49.710] 三
[34:54.270] 的。
[34:57.780] 快。
[35:01.990] 要
[35:05.040] 66,000。
[35:15.810] 内
[35:18.670] 选择
[35:21.860] 的。
[35:30.730] 21款超3000最多三天到店试车。
[35:38.340] 细胞。
[35:41.850] 细胞。
[35:43.500] 现在加热包，
[35:45.950] 谁知
[35:48.720] 前排加热、后排加热、方向盘加热、雨刮的喷嘴加热，4套加热系统一共3天，
[35:54.710] 连装的出场就给你装好了。
[35:57.420] 还有
[35:59.680] 要这个颜色也会有也可以的是吗？
[36:02.600] 这颜色的话，
[36:06.140] 我再给您
[36:07.400] 因为
[36:08.450] 现在棕色的车买得很少，
[36:10.660] 今年不是太流行这一块，
[36:12.890] 去年流行着一层跟宋清辉的，
[36:15.370] 还有按年流行色是一段时间一个样子，因为是这样的，我看白色其实
[36:22.850] 白色大金刚
[36:25.500] 马上看的话，这种
[36:28.620] 有点起来就特别浅。
[36:30.500] 有关的因为装的挺快，
[36:33.800] 还有感受的新高点的
[36:36.860] 数据，
[36:38.960] 光
[36:47.280] 到
[36:56.940] 花。
[37:12.150] 白色
[37:23.080] 的
[37:24.970] 的
[37:26.390] 如果
[37:30.330] 不管
[37:34.210] 的
[37:35.880] 的
[37:39.440] 场
[37:47.600] 的
[37:50.330] 数据。
[37:59.600] 我跟您说钱
[38:03.500] 他就这么多。
[38:04.650] 然后我给您申请的就是保养，
[38:08.890] 这两块就这样了，我觉得真的都一样。
[38:13.390] 你去哪儿去，你发现我那天给我们同学打电话，北京好多都同学一个班毕业的，
[38:19.700] 尽管花了
[38:21.360] 厂家那边现在看的全都是95,000的现象，
[38:26.220] 这世间千万就95,000，不可能比这多一分钱，
[38:30.200] 就最终这发票如果传过去的不是95,000，
[38:33.600] 咱撇开大客户20万，您有什么大客户？
[38:36.790] 上班的单位。
[38:38.100] 我不会团购的，我跟你没关系，上班的单位不成立国际章品牌也
[38:44.590] 行吗？然后
[38:46.720] 能够
[38:48.080] 这就能多便宜是吧？有吗？你看看。
[38:51.150] 比如说什么上班在哪边，
[38:53.480] 谁让人上班，比如说什么百度，
[38:56.050] 联想什么中石油什么都是签了五六十家，这不一定。
[39:02.480] 没有应该
[39:04.420] 好好的，那些大大客户的人多便宜，5000块钱买个5块钱。
[39:10.130] 必须是自己是员工是吗？员工各大银行保险公司都有，不是必须是员工吗？
[39:15.830] 无所谓。
[39:16.940] 找一熟人就可以了，你自己。
[39:19.760] 那不是不去，双方都不是。
[39:24.030] 军队不行，真的不行。
[39:26.350] 肯定不行不行，你要说医生啥也可以一声是吗？
[39:32.830] 声还真不是教师是吗？教师的行吗？
[39:44.490] 大客户。
[39:50.610] 您
[39:52.970] 教授职称吗？
[39:54.660] 有职称吗？
[39:55.990] 什么职称？
[39:58.120] 要学习叫大学教授或副教授职称有吗？
[40:03.510] 你不要用于副教授级别的，但是不是这职称。
[40:07.200] 你看他有的是这么说的，
[40:09.470] 大学教授就职于985 211工程院校，并具备教授副教授的职称的大学老师，这个不是
[40:18.040] 这是一个范畴。
[40:20.390] 老师就这一个。
[40:24.160] 他这能做的
[40:25.120] 多少？5000块钱是不是？
[40:32.450] 他要求比较严格，你像前段时间还有什么从湖北返回来的？
[40:36.360] 也有提供去过湖北，他居然没有优惠吗？应该没有。
[40:42.190] 你这不行，你搞确实有些现在搞的买车这个人这都没有，
[40:50.010] 跟你们反过反
[40:52.800] 思想弄完感觉军人基本一样给你，因为比赛我有这么
[40:59.090] 向着西边的附近全是军人知道吧？
[41:01.680] 所以其实你不就是父亲开车吗？
[41:05.110] 对，你看你这句子这一块没有过去，你在这。
[41:11.430] 可以看一下时间回来。
[41:16.350] 流量，
[41:17.160] 我找36人，
[41:20.830] 要我还没回来没了，车没回来谁开的晚上明天
[41:27.100] 这边特别疼了，那不行了，我就
[41:30.480] 能找我吗？
[41:31.930] 拿手机微信。
[41:33.580] 刚才进来的你找
[41:35.930] 来找咱们吃饭了是不是你号码？
[41:38.880] 社区你好自己来看一下，说好了，拿来手机少直接能出去，
[41:43.820] 出去时候还得找马，
[41:45.400] 我出去时还在上班。
[41:53.290] 怎么样？
[42:05.530] 看车？
[42:19.430] 平时也不开。
[42:21.080] 可以开
[42:25.640] 电脑。
[42:36.130] 的
[42:45.800] 出门
[42:51.360] 了吧。
[42:53.210] 好，谢谢，你刚才给我打电话，好感谢。
[42:57.770] 也不给我电视搞了自己买了一件事，
[43:01.720] 再到现在特别了快点。
[43:03.900] 快点更漂亮了，对，没有确认松林还是play东东。
[43:10.610] 他这个事是不是这次这个事儿北马播放那天是怎么了？
[43:44.000] 然后咱0点近
[44:21.350] 电车的时候就给你了。
[44:22.910] 手机到这边。
[44:39.350] 宝微信呢？
[44:40.890] 晚上。
[44:42.810] 行。
[44:46.620] 这样可以了。
[44:48.970] 这是中国世界好了，可是的？谢谢了。
[44:52.340] 没有。
[44:53.810] 还没开张。
[44:57.100] 前边前面后备箱放前边，因为后边他风口都给弄上了。
[45:05.890] 飞了是吧？走吧。
[45:39.980] 哪是呢？
[45:41.180] 在路上被。
[45:43.160] 是的，对四环上。
[45:46.080] 就从这出去。
[46:00.310] N档事。
[46:01.590] 是什么人打的就算是空荡荡。
[46:03.830] 你比如说平时像这些自动洗车机。
[46:08.460] 路线、
[46:10.470] 必须得搬的。
[46:19.600] 中间是点点好的是吧？这是启动。
[46:23.280] 平时启动的话像踩着刹车保佑一年就启动了，然后熄火的话也是往右连接一下安全带。
[46:30.470] 感觉检查
[46:32.910] 这个车的硬件喜好都沃尔沃是故意调的偏阴的，
[46:36.900] 你像越野车还是要一个清晰的路感，
[46:41.930] 它的悬架用的是全铝双沙粒的，你像比什么Q5加C用的都要好，
[47:01.190] 它的档位显示的话跟以前是不一样，都在这个圈里边，可能PIND了，这对应打明显变大了，相当于现在当前处在一个倒霉状况，现在就是低档。
[47:12.910] 而且这种IT的变速箱平时换挡的这种顿挫感几乎
[47:17.350] 基本上感觉不到。
[47:19.040] 所以你也不用说是
[47:21.040] 给他比如说往这边100这种手工来回切换，也不用就放到地道，你不用管要什么样，
[47:35.110] 你看这个功能配置有什么想体验的？
[47:39.190] 还有吗？
[47:40.060] 做条处理网，我们刚调试中横的案件在后端往起提。
[47:46.970] 有
[47:51.140] 你登Q5比较过吗？
[47:54.320] 听见。
[47:55.340] 对，好多人我也是在这个上面还有
[47:59.390] 奔驰
[48:00.760] 比较纠结，
[48:02.710] 现在要跟那俩特别为什么不找我的稍后建议
[48:08.350] 买什么？
[48:11.600] 为什么？
[48:13.600] 好多人他们比较注重于空间大小，对我们
[48:17.520] 不是加长的吗？
[48:18.740] 可能家庭后排坐垫变短了，
[48:22.690] 这样现在他比老款的坐垫要短，
[48:25.500] 做电视后边坐垫调转这块，你要不是粮食费的整个空间已经买，
[48:32.850] 而且像客户他简配完以后，整个
[48:36.240] 一个四驱系统，另外整个内饰的用料啥的都捡得特别差。
[48:43.580] 他给您讲讲咱正常一些日常比较常用的功能科技，
[48:48.860] 像咱们比如说平时在看到这种行路上的堵车，包括跑高速，您就可以切换到网络的标配esc系统，
[48:57.780] 这时候他会出现两张科，然后发尼玛他课都不用管了，也需要比如说其实灰色速度上线你可以往高调，
[49:06.540] 咱们现在给调到基层才到80，这个是
[49:10.310] 定速相当于现在要告诉一般的低速均衡，在网上的话就是那种有区间的折射运行。
[49:18.410] 比如说起步从60~140中只是一种变速的，
[49:23.060] 沃尔沃的自身血糖能做到0~200公里，也就是说他前面对都停在那了，
[49:28.500] 这车可以自己填。
[49:32.160] 可以自己完全给停下来了。
[49:33.740] 移动工厂他有没有并线的
[49:37.240] 那个叫并线辅助车道保持有吗？
[49:42.510] 这个是智逸版有哪个你说。
[49:46.600] 自己的贡献。
[49:49.840] 您是做的
[49:51.590] 什么区是不是盲区监测是侧倒保持？
[49:55.510] 都有争议，也会有要设置是吧？自己开了就行了，车速超过60必须打灯。
[50:03.930] 比如说这种时候的话，您按一下
[50:07.970] 硬件，
[50:08.830] 为什么我从头到尾上来我就没踩过三块，
[50:11.860] 今天发也开过来车可以实现自动舵驾驶，但这个自动驾驶智能十七八秒自己开，
[50:17.840] 我不是太建议你用ACC特别好用，那边到200分就跟车
[50:23.930] 就往左按一下，自己一般在单词，你看有切口，
[50:27.760] 酒精毛衫就不用管，哪怕堵得很厉害，它是0~200公里，也就是说速度最快，最低的话实现停下来。
[50:36.700] 如果你想自己接管的话，就带一下刹车，
[50:39.430] 就取消了。
[50:42.400] 就相当于你自己在操控的时候它就取消了，对，比如说你给友惠台车，他会认为你要接管。
[50:56.280] 静静也还可以。
[51:06.920] 他这个盲区干嘛？
[51:08.350] 是不是你想象车位肯定要大一点，我沃尔沃车的盲区很小，
[51:12.700] 因为以前的车子后进门发现在这个柱子上放，
[51:16.080] 现在车都放在门上，而且这种后劲是属于那种骑自行特别宽，
[51:20.640] 所以它的整个侧面盲区
[51:22.800] 微乎其微，还是比较小的盲区很小，但是肯定也存在一定的盲区。
[51:29.960] 基本上你感觉不到，其实所以说你像那种
[51:34.200] 您说盲区监测是不是指那种灯灯光提示时候，
[51:38.770] 像那种功能的话，说实话现在陪到现在冻库这也没啥大用，你想买
[51:45.080] 比如买到奔驰的那种骄傲，I
