[00:00.550] 7月2号
[04:11.090] 那个时候
[04:16.990] 三句话
[04:18.650] 过来。
[04:19.860] 对，他没感觉了。
[04:23.750] 没有了。
[04:27.670] 没事能送到了。
[04:37.750] 反正现在过去我妈在家
[04:40.040] 的。
[04:42.120] 的
[04:47.850] 行。
[04:51.240] 我要养成
[04:53.680] 那钱就比较
[04:55.570] 还是做点
[05:04.510] 时下网上
[05:06.030] 32
[05:19.070] 然后
[05:20.170] 谁知
[05:21.430] 这一点到
[05:25.440] 谁知
[05:28.350] 的
[05:30.490] 的
[05:34.070] 贷款。
[05:35.830] 金融的话指标是您吗？还是万七千人？
[05:40.800] 那就是首付最低3030%，对，然后咱们现在可以达到5年。
[05:46.700] 多少年？5年至少卖5年三百六七。
[05:50.440] 他利息按月息来计算，月薪0.3亿，可能带10万块钱，每个月就310，每个月300一年，
[05:57.610] 一年的话就是3.6的年化利率，
[06:01.840] 年时间。
[06:02.800] 联系年就是365。
[06:06.110] 谁知
[06:09.760] 多少用多少。
[06:11.280] 这5年的。
[06:12.990] 5年33年23年就成立30，他被他的利息
[06:18.940] 没有了，没戏不掉，第技术不定月息大部分不管你三年也好还是年后来应该是一样。
[06:27.330] 而且这种还款时间我也没有拿到刚才中国百标箱7万元，
[06:32.710] 对吧？
[06:35.310] 6万9万没有价格的。
[06:40.150] 你往上看都是综合报价直接
[06:43.340] 8万。
[06:45.030] 你如果开的
[06:47.680] 通过明细
[06:50.040] 报价可以没问题，咱们有整后来我们来说您做一介绍。
[06:55.630] 大概我都信了你了解了，但是
[06:59.540] 因为我朋友拍的朋友拍，
[07:03.150] 试驾我们下的话有1290暑假要办因素，这1230160的话这个价格
[07:09.690] 1260比它便宜，1260是429,800，也是优惠7万，对全ban机差不多40，
[07:16.830] 这得在44~45天。
[07:20.780] 全面协助对
[07:22.750] 网上6就是睡将近
[07:25.770] 5万。
[07:26.680] 睡得话一会儿给您算一下价格，您算算算了。
[07:31.290] 是这样考虑吗？还有什么建议吗？还有什么配置？还有一个比他高的，他有两两百
[07:36.780] 499,800的高差
[07:39.630] 差了两三万四千块钱46，
[07:44.290] 它的配置差了看了后台自己的电动调节，然后比如您是要大彪还是要立标杆，配置不一样，数据掉这个标的话，如果在达标的国家密标的话是6万多，
[07:57.670] 大标和绿标在时尚买的价格还包括豪华版价格都是一样的，我说就这个车型是一样的，价格都是一样，大小的是一样的，一样没有差别。
[08:08.410] 我肯定是标的小标类标的这招就差了后排处理的调节电动钢梁，谁知这是吧？
[08:15.990] 对，然后柏林之声音响，然后
[08:19.550] 最终丰厚音响声。
[08:22.500] 还有谁知，
[08:26.640] 收到。
[08:29.080] 是干啥？
[08:32.420] 谁
[08:35.730] 的？
[08:49.490] 还有一个电动后备箱。
[08:51.240] 代表队这不
[08:53.720] 这就是手工开除，我忘记。
[09:00.390] 这个图片可以改成
[09:01.880] 对吧？所以这个词就这种东西了，
[09:05.340] 高配就没有这个号了。
[09:07.110] 他把那个按钮就
[09:11.070] 可以看，大小都是一样的，
[09:13.310] 大小都一样。
[09:15.580] 插一个音响，就是小后排可以调整，然后或者说做一些
[09:22.040] 电动消防员，
[09:23.720] 特别香，
[09:25.550] 还是因为
[09:29.040] 或者类似的
[09:31.090] 黝黑的中间的
[09:33.940] 尔，
[09:35.080] 然后肯定的他有的
[09:39.450] 但立交一般都是
[09:42.030] 的。
[09:42.750] 刚才的
[09:46.260] 职务行为。
[09:47.380] 已经招聘也这样，地铁一样，都是多年的200万都买到，高配就是5伏的
[09:53.920] 五五角星似的，然后标配那是一个也舒服，但还是那种
[09:59.490] 跟菊花那样子的。
[10:01.530] 也不要了。
[10:05.020] 他这个人
[10:06.710] 18~18，
[10:16.840] 剩下今天不是了，时间的。
[10:19.240] 还是说
[10:20.120] 让大家认识了，只能是
[10:22.860] 这样没代价，可能市场我看你说我一定要加强看病，明天上午10.8
[10:30.210] 行吗？2
[10:31.610] 还是下午？
[10:34.850] 下午行行，咱们坐那边过去。
[10:52.570] 30%。
[10:53.780] 算最低30%，
[10:56.250] 30%、4039%万多。
[11:00.620] 你算三
[11:02.360] 我给你列个单子看看，
[11:05.710] 这是260。
[11:08.110] 昨天天好像也降了一半对吧？
[11:10.790] 好像300万。
[11:12.190] 317,000的吗？
[11:15.740] 半截就算。
[11:21.770] 花费多少？
[11:45.110] 购车时间您那边考虑什么？
[11:47.570] 负担。
[11:48.440] 我要是如果近期的话，我要买肯定是越快越好。
[11:53.270] 等于现在一行期间对磋价格还算可以优惠。
[12:00.210] 开始。
[12:04.180] 把
[12:06.410] 基本上
[12:07.480] 我说的时候都不动，
[12:09.400] 用
[12:15.060] 打印
[13:20.370] 我将用户
[13:25.720] 10在家走，你让他朋友
[13:28.240] 我就看到了，
[13:44.630] 剩下30%大概多少总算收到。
[13:57.630] 那都是国6的是吧？
[14:01.060] 立标的是吧？您考虑的。
[14:04.290] 你一标达标是一样价格。
[14:06.280] 要提升，我刚才说那边好像贵一点，大概要评价
[14:29.630] 他这个配件有赠送什么
[14:31.870] 成立的这些没有都没有是吧？
[15:01.320] 北京牌对吧？
[15:03.970] 我租的培训排没事吧？
[15:05.800] 可以。
[15:07.160] 租的，人家方便给您做贷款的。
[15:09.960] 必须给他做贷款，对，跟他有关系。
[15:13.930] 他的签合同什么的上传材料，
[15:17.700] 而且他得知道贷款的事。
[15:31.280] 本它就是车牌，
[15:35.680] 而且您如果是猪的标准，
[15:40.050] 你们只能坐奔驰金融的，
[15:42.060] 不能做银行的银行，没法做车贷分离，只能做三年了，非常技术性这三年。
[15:48.160] 那就按三年的什么？
[16:37.030] 增持金融利息会少一些，更年期2.9不到3满三年金融利息。
[16:42.850] 当时三年几？
[16:44.320] 3.6，现在分支金融是2.9，这样稍微低7毛8
[16:51.590] 70787。
[17:07.760] 我让我妈现在下去，
[17:22.990] 报价前还是把这幅公约再给您说一下，客户为尊，以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道清晰，公社
[17:31.410] 绝不捆绑销售承销费，绝不使用假不假，辞中服务，接通电话40088188，
[17:37.410] 这是咱们全国统一报单，咱们所有的价格在门口那也有公示板，一会儿都可以。
[17:44.100] 这个是您的信息，一三百到时尚轿车型指导价465,800，咱们现金是7万的优惠是395,800，
[17:52.320] 扣税交给国家是35,000块钱，35,000，车价除以11.7就是它的实际征收。
[18:00.240] 装饰是13,800，有贴膜、脚垫、后备箱垫，谁知
[18:06.020] 没有赠送。
[18:07.280] 装饰没有赠送，都是花钱的，
[18:10.660] 但不做。
[18:12.630] 对，他到底有什么3800，你还有什么有全车贴膜、脚垫、后备箱垫、行车就皮漆面镀膜。
[18:19.950] 队伍要漆面什么镀膜，
[18:23.770] 器皿中封釉，笔锋要高一级的那种。
[18:28.390] 然后验收账码北京门2500，然后保险预估按13,000算，到了险种您自个来选。
[18:34.520] 全办齐14 16加上装束，
[18:38.080] 下边分期的首付都算上了，
[18:41.950] 落地价
[18:45.430] 下班那是分期的。
[18:49.750] 利息是两二24,073，对两三年总共利息24,000。
[18:54.940] 273
[18:59.910] 月供8343.1 35。
[19:04.390] 二
[19:05.470] 百三，
[19:11.000] 首付是183,000。
[19:13.800] 对吧？对。
[19:15.890] 首付合计在最下面。
[19:22.720] 首付11万。
[19:28.790] 首付和
[19:30.280] 是吧？所有费用都加进去，你交这个钱车能提走，这只是您车架号30%。
[19:36.150] 好听，你要你的税税保险上牌这些，
[19:42.620] 您看价格还有疑问吗？
[19:48.020] 今天这个不考虑定做吗？
[19:50.500] 我回去都可以看一下。
[19:52.400] 主要盯倒车库里是哪方面是价格吗？
[19:56.580] 价格其实咱们可以谈，然后订的话
[19:59.700] 看你要说8万到9万，咱真没有这价格。
[20:03.920] 实话实说，没有这个价格，没有说直行过，也没有他有没去，我大概了解了一些
[20:10.550] 那么多。
[20:12.670] 您那边问谁是？
[20:15.640] 他跟我分了几万吨。
[20:17.310] 直接给你点9万。
[20:19.050] 那车是不是有问题？因为市场没有这个价格，车就是1200，就是说这些的
[20:24.340] 10张
[20:25.390] 上面
[20:26.140] 百分他是9万有没有告诉你给你的？
[20:30.190] 也没说，具体没没问题。
[20:32.620] 交通大，但是
[20:34.720] 您后来怎么给游客？
[20:36.530] 肯定我们价格是可以聊，但您说9万的价格确实有点高，没有见过这个价格。
[20:43.840] 市场也没有，因为我肯定我现在想不定期就是你给我的。
[20:49.690] 对这个就是给我评估的价，看你们公司就是说给客户最低的
[20:56.070] 幅度是多少。
[20:57.290] 我们这最多要去您申请您有装饰基本上都是75,000，就是3500，就是五六年，
[21:04.170] 要有装修也就是75,000，然后做装饰基本上这车也没有利润，也没他算账，
[21:11.140] 做装饰情况下给你不到5000块钱，不是这样情况。
[21:15.640] 基本上也就是这样。
[21:17.750] 做装饰75,000，基本上因为装饰里头有点利润能给您让出来。
[21:22.210] 对我知道，就是说3788不能闲着，怎么说呢？
[21:28.870] 的
[21:30.930] 但是
[21:34.950] 他8万到9万肯定是有加上其他补贴了，比如报废
[21:39.720] 国家是给1万块钱对吧？
[21:42.000] 那家那可不少钱，
[21:44.390] 报废价报废国三车报废国家这给钱的
[21:48.520] 厂家也给，
[21:49.840] 国家给你就是说这个车开到报废了，
[21:52.900] 然后补贴费换出，比如置换或者说
[21:58.000] 置换外迁给您8000，回家零5000万等于多少，你要外迁的话，我们是给您8000，
[22:05.480] 然后
[22:06.610] 就是本事，
[22:08.800] 本事就没有，本身属于置换，本身就以前的习惯，要是比方说外地我要是迁出有补贴，
[22:15.630] 报废有补贴，救国三根据国三，当然您如果不是活，他不算的车国四鼓舞的，
[22:21.880] 你就享受到一个置换补贴是5000块钱，
[22:28.070] 我就是现在外地车牌在北京置换不了，对兑换不了。
[22:32.820] 然后在我们马上做一下。
[22:39.640] 然后再考虑
[22:41.720] 报废。
[22:43.000] 可能开两三年，就包括可能生产了，不他的符合要求的，比如说咱开两三年报废就得是佛山的时候才有的。
[22:50.920] 佛山国三排放标准的知道全国家的
[22:55.110] 它进度因为然后还了
[22:58.560] 电子这种
[23:04.510] 你把这拿走可以吗？
[23:05.730] 报价单您拍照片，我们所有的价格当日有效，你可以拍照，照片就单子没法拿走。
[23:11.660] 可以拍照。
[23:21.970] 你也是个别店，但是明天也会给您做一个回访，您看是上午方便还是下午方便，下午。
[23:29.040] 下午电话短信都可以。
[23:30.880] 可以，那就明天下午四五点钟。
[23:33.780] 我给你打电话行吗？
[23:36.270] 开车来的吗？没有，我对救助福建吗附近。
[23:40.870] 行行，您给我就行。
[23:45.320] 相反我了第二
[23:49.540] 给
[23:50.920] 然后这东西算一下。
[23:53.610] 然后好好行行感谢来吧，您可以跟我
[24:01.270] 手机号有时候微信稍微方便也可以加入一些，可以。
[24:06.090] 这边也行。
[24:09.980] 数据
[24:17.000] 的
[24:26.990] 上门也能出您不那边吗？
[24:30.280] 这个门也能从这边过去绕一下。
[24:35.900] 从这看出去，
[24:47.270] 还存在突出，
[24:48.290] 对吧？
[24:51.520] 感谢了。
[24:53.940] 再见。
[24:54.780] 大家好。
[25:08.410] 走。
[25:09.760] 我发现妈妈拿着
[25:12.400] 拿着
[25:18.540] 干什么？
[25:21.070] 就出来我知道。
[25:26.320] 有人。
[25:38.810] 也不这是
[25:39.830] 他们想
[25:43.490] 到了
[25:45.600] 完了大雾顿了一下，您说在北京
[25:50.010] 什么健康宝宝地方价格网做的慢，然后以后会有句结果。
[25:55.650] 好，看着他没有，只是碰碰你好，欢迎光临。
[26:01.050] 带你去拿身份证干去。
[26:02.960] 懂了我等你干啥？
[26:05.410] 先去你先帮我干活。
[26:07.590] 我先把他拷起来。
[26:10.600] 人要走了，我先不结了，我先走，那。
[26:13.290] 你现在一边走一边斜。
[26:15.160] 13你去没去过呢？
[26:18.480] 不去了。
[26:19.730] 在找一个别的地方没事做，完了我不往前先坐一会，
[26:24.920] 再出去。
[26:26.280] 这不想好事，不难，照着不要小心眼，
[26:34.940] 肯定不好。
[26:39.050] 的
[26:46.820] 名被告吗？
[26:50.140] 吾皇皇后千150行。
[26:54.480] 刚才
[26:56.280] 张军后天二位张军。
[27:01.050] 大熊和平三份。
[27:08.800] 雄风车道极为雄厚，听三倍。
[27:14.220] 张
[27:15.970] 123都有了，胡鹏、张车继伟雄。
[27:24.950] 说话硬气点知道吗？
[27:26.720] 孩子以后在家里有时候懂事，
[28:12.510] 非常
[28:13.240] 爱心，就是因为我的车吃饭也是这样的，
[28:17.530] 我们家开的老师太狭隘看，因为我装箱问一下，但是你们看不到。
[28:24.040] 他看还是帮我分析行，但是我知道了。
[28:31.720] 因为这个电话他每次我打个电话有一个说什么要办解压的一个女的，
[28:37.330] 然后就让他过个5分钟下来，然后因为那女孩现在去厕所，
[28:42.370] 我也没聊电话，他就穿着裙子特好，让这上面口红和
[28:46.720] 嘴唇这块白色的。
[28:49.450] 行。
[28:52.470] 刚好过来。
[28:57.910] 听见一个客户的
[29:03.120] 电话两分钟，
[29:17.190] 数据。
[29:18.980] 场
[29:42.550] 了
[29:48.450] 比较少。
[29:51.390] 我跟你说开会
[29:58.020] 新的要求，
[29:59.960] 这个价格去哪了？
[30:02.400] 这个价格我也不知道这是谁的价格，我就用了。
[30:06.480] 这车外借了卖完，
[30:08.610] 卖完了就外界了。
[30:11.240] 新鲜他激动外界了。
[30:15.060] 激动外加外界我也不知道那个人叫什么。
[30:18.200] 快件，然后宿瘤百450的卖8块，
[30:23.970] 野外见了二号Y键，
[30:28.500] 这里卖掉了外界有文化，
[30:32.230] 你们都知道往回是着了，服装，然后是日期完之后，如果说是驾车状况，就是在库的登记的工具数字，咱们除了查供述之外，开眼天窗关美观，
[30:44.980] 玻璃美声灯光美观，就是说有的时候更应该不至于也开灯都能看见。
[30:51.950] 天窗关没关，然后玻璃声出去，
[30:55.390] 然后这起一个
[30:56.980] 是在拖状况良好，
[30:59.460] 学习了这块就是驾车的状态，就公司
[31:09.960] 好，请后来底下写个东西。
[31:15.350] 我跟同学说一下。
[31:17.670] 对，我拿走了。
[31:21.880] 然后张经理说那要不是昨天引发引起的警觉性，
[31:26.560] 咱们是这样，
[31:28.320] 一般情况下展厅钥匙
[31:32.180] 谁不让他们拿走，
[31:34.960] 就不让他们拿走，实际上不相关系数。
[31:37.920] 是不咱们管的处理什么，而且我们下班以后要是也在这，我们也不是我们本身销售管的，
[31:45.320] 比如说人家早上还要
[31:47.440] 他还要清洗，还有刹车或者是排水，要是都是在咱可控制范围之内，我知道。
[31:54.920] 我知道现在是张扬，既然是展开，要是现在放在前台了，
[31:59.440] 咱们就有义务去看看，我说可以这怎么可以，展台要是领表就搁在那，
[32:06.590] 不让他们来销售顾问出别人，比如说储运他拿展要是必须的也管不住，所以他拿就拿
[32:15.400] 销售顾问钥匙就不让他们拿，
[32:18.950] 那么他们要开的情况下就喊一下咱们能给他开，
[32:22.770] 对吧？
[32:23.500] 那么现在不也是说帮忙开一下，要是刚刚开，咱们给他开了不了餐，
[32:28.490] 因为你拿你管控不了，他是不是要拿走，对不对？谁拿谁签字，
[32:34.760] 下了班的钥匙搁这，你也不用说去河里面就下班了之后，
[32:40.710] 就搁在这儿时候，
[32:41.800] 我会让值班的销售顾问去和展车钥匙齐不齐全？
[32:45.760] 好的，值班基本销售顾问通过每天晚上他不得锁车，然后会检查钥匙是否齐全，
[32:52.330] 一般情况下没什么太大的问题要求。
[32:56.840] 白天的时候就是咱们上班的时候，然后他们有人拿去让他们签字，
[33:05.390] 但是下班以后就会销售过来，然后他们负责好每天检查钥匙是不是学生让销售顾问，我是建议让销售顾问来进行做的。
[33:15.050] 咱先这样，如果放在这的话，咱们就结完不放在这儿是最好，
[33:20.340] 对吧？
[33:23.800] 现在张姐我就是看那什么，比如说我们两个上班，然后两个人都在忙，然后销售过来就要走，
[33:33.230] 这个东西搁在哪他们签字，
[33:35.760] 写不是那框里边他们签字，他们快乐他们很懒的，
[33:41.040] 不是懒不懒的问题，这是他们必须执行的，开会的时候就跟他说就是这个问题。
[33:46.810] 然后只要咱们上班，他们拿钥匙，你不是在这站着吗？就告诉你你不行拿，
[33:52.430] 要是不行拿。
[33:54.050] 你看这样，你说如果说我特别忙，我开不了样子，那你就等一会，
[34:00.030] 就让销售部等会，你特别忙的时候，你要不然你开开钥匙只能让他们等会，那怎么办？
[34:05.570] 这样是不是可能这种方法
[34:09.440] 既然让咱们负责任，我就觉得要不然不管的话就把他要
[34:13.910] 了好吧？
[34:21.390] 我还在
[34:23.830] 别的我现在今天开会召集的开始，
[34:34.130] 其实我还在想做客轮款有没有用？
[34:37.030] 不用看，没人看的话要不要去做这个东西？
[34:40.560] 算了还是不说，做完之后肯定要有更多的号码。
[34:44.580] 自动做最起码现在已经很简单了，三分钟就能倒出来了，对吧？您听一下。
[34:49.790] 一个地查了，要不然一个查查。
[35:08.930] 明天有一个下午交车的，
[35:10.760] 拉客那车，礼拜二晚上再过一会不忙帮我洗一下，准备一下升为车间去了，明天出去。
[35:28.470] 像这边没用了。
[35:29.960] 他们谁洗车？
[35:32.290] 是吧？
[35:33.460] 很好。
[35:41.330] 说。
[35:51.750] 后面那个是吗？
[36:04.340] 行。
[36:06.680] 你拿着我跟他再说。
[36:08.920] 文化。
[37:16.480] 话。
[37:21.150] 号
[39:54.070] 结果
[39:58.050] 他说我们了。
[40:04.910] 交流一下。
[40:06.250] 谁知
[40:07.780] 要不然就这样。
[40:09.310] 你们是不是每天早上都会抄一遍展厅展出的钥匙？
[40:14.300] 每天晚上都会开会。
[40:18.850] 拍照片一套。
[40:25.390] 撤掉了。
[40:26.520] 基本上一礼拜玩儿得超过5分钟。
[40:29.120] 除非是反正没用，
[40:31.900] 或者有活动没问题，然后我爸爸
[40:35.060] 每天早晨查了，就每一个铲车是哪个光所谓的
[40:40.710] 要是周六活动过他好车他都出去了。
[40:46.040] 等等活动完事，然后二车间都回来了。
[40:50.740] 在哪？
[40:52.200] 晚上
[40:53.790] 也要。
[40:56.130] 你说对要是吗？对。
[40:58.830] 相当我们先拿钥匙去解锁。
[41:01.660] 我会拿钥匙的，我把钥匙小说这个房子要你知道。
[41:05.870] 吗？不，我哪里看着他群里兵力都发麻，没要。
[41:11.750] 我们先拿钥匙开开一片死了去都是这车，
[41:15.470] 然后回去拆，
[41:17.040] 把饭刚才展厅的都在那，然后这车没的感觉，但是要不要？
[41:23.250] 我们结束的时候他看见了不知道了，然后就把药卸下来，然后
[41:29.600] 你说要开口了，你把那钥匙在街道就拿走了，对他看到孩子上挂着的话，
[41:36.030] 肯定打过去了。
[41:37.770] 要是开起来的，你的画画他是谁管谁的，管多了。
[41:45.070] 我在家的时候现在不知道吗？
[41:49.970] 要是
[41:51.590] 不要开刀胆给超了，
[41:56.150] 拍照片发了，那种感觉要就不用怕了，我说把
[42:01.500] 在展厅钥匙都给发过来。
[42:03.610] 他有时候现在还要不要装一个东西？
[42:07.400] 我看到了肯定没有，必须得有房什么也没有，
[42:11.150] 不可能没有就得找我跳舞，找多少天了。
[42:15.410] 才找了。
[42:17.300] 没上我头天就没有，第二天看到。
[42:20.380] 我他让你下班。
[42:22.240] 没有，我就说晚上参加钥匙给丢了。
[42:26.150] 比如像1358，我跟你聊天就
[42:30.020] 刚开始的时候要是能在这了，
[42:32.570] 让我照的土地那天天都放到吗？其实看其实我也说
[42:38.350] 你就是哭了，我第一时间就发现
[42:41.320] 我每天早上跟原来我没有，我就当时白天一处理了，
[42:46.850] 就这张应该有的。
[42:48.760] 后来李阳晚上才发的，说要把给俺钱就少点B了，我就去了，完了我让我留车载，
[42:56.770] 说在那要是没有我也没法商贸。
[42:59.260] 找钥匙钥匙，车站要是没在这，我们称为要是往下拍照片就发生。
[43:04.420] 我们那个表后面写了没钥匙，
[43:08.800] 他就是咱车架号，我明天早上去销毁。
[43:14.560] 我理解包头这不叫这边。
[43:20.950] 一般你就感情也不了吗？你看可辨调查取证，
[43:27.400] 感觉没有弄清楚。
[43:31.220] 出来。
[43:32.680] 微信里面的。
[43:37.070] 有时候没有写展厅，有那个号，
[43:43.330] 我都没在这里边。
[43:45.950] 我没有在我觉得叫他不要
[43:49.400] 我没这个权利，那可以赚一部分，
[43:52.620] 你就干脆放我一块。
[43:55.260] 微信你别在我叫一定让我进群了，那么大的事儿你知道
[44:00.990] 咱们能想其实没有，其实八9你反正
[44:03.700] 少了我们就发现了，我们肯定就说展厅的车都不用你发现了，你都看看，因为那天
[44:09.450] 我们抄手嫂那天一早就没事，一碗都不用了。
[44:13.300] 咱们还有半咱们不知道是他没看还是怎么着，下午还抄完了这车没药了车载着。
[44:21.170] 就刚刚那个表后面是一个古板的校歌，
[44:25.660] 弄了上了我们也早上一起了。
[44:30.550] 带着读一。
[44:32.040] 上完了现在都不行都弄完了。
[44:35.590] 说
[44:36.540] 这石头
[44:54.650] 在4个月
[44:58.450] 了。
[44:59.860] 摩擦摩擦和谁知
[45:07.690] 坏数据。
[45:13.360] 甜甜甜。
[45:19.900] 别着急。
[45:21.100] 场
[45:25.740] 的
[45:29.300] 走。
[45:36.390] 的
[45:37.650] 的
[45:41.170] 数据。
[46:00.530] 的
[46:01.990] 谁知
[46:04.740] 这个答案你走进了，把它写完了没有还
[46:14.510] 要点吗？写。
[46:20.020] 写
[46:21.040] 发电。
[46:27.110] 做一个合算的。
[46:32.470] 灯。
[46:34.600] 拍拍好了。
[46:38.720] 1391
[46:41.150] 4个0。
[46:43.320] 6月10号。
[46:45.440] 第二个
[46:48.930] 价格你赶紧去，可能要为客户。
[46:52.800] 请你先帮我联系不断。
[46:56.120] 你先弄，然后种子。
[46:59.340] 你知道。
[47:09.210] 的
[47:14.960] 的
[48:02.210] 只有这个技术以上就是要
[48:04.360] 麻烦你转了5年1万，你20 80元一只有这一个也许累了。
[48:12.070] 挺好。
[49:23.430] 我不知道了。
[49:25.050] 不用。
[49:28.690] 回来以后。
[49:40.920] 过去开一次。
[49:43.170] 你说开心了，我开心经常担心这个行，我这个都画记号了。
[49:57.800] 大家好，
[50:03.620] 刚才
[50:04.620] 三号可以，我都根本上在
[50:08.610] 就这样。
[50:10.040] 我也很对不起。
[50:22.320] 私下里曾回来我要写吗？
[50:25.200] 应该是你回来写着你走的时候要看一下，你跟你说回来看一下都没说，但是周佳他们就直接写了，
[50:34.010] 他就直接写20分钟职工的意思，还有能告诉一下
[50:38.460] 什么这样的。
[50:39.840] 不过跟他一起去，然后我跟他说他这东西你跟他说一下他
[50:48.350] 我让客户签字，
[50:50.550] 包括本人等会我在
[50:53.150] 那个板要钱，然后在本上签字。
[50:56.720] 因为是本找一下具体的，他们后面
[51:39.960] 他这又不是你昨天截止了吗？我给大家。
[51:42.660] 对，你就按照下边那些钱，然后你不用管我们写。
[52:34.720] 有点
[52:40.050] 根本上
[52:51.550] 你今天接了几个客户？
[52:56.620] 三。
[52:57.520] 然后没有S了是吧？我接了4就是4个
[53:01.970] 那么大了。
[53:04.230] 还有3
[53:06.690] 大家。
[53:07.420] 三个小时我会找你。
[53:09.850] 我马上要开一个。
[53:11.480] 你现在还没开，对这个是截止到5点的，5点之前是三个是吧？
[53:18.470] 怎么算呢？
[53:20.160] 指向5点之前给我算
[53:24.640] 了。
[53:39.200] 号
[53:40.360] 花
[53:43.280] 吗。
[53:54.240] 7号
[53:56.430] 核酸去了
[53:58.200] 一下。
[54:08.200] 可以走了。
[54:10.210] 签字了，
[54:19.210] 我感觉到不舒服。
[54:24.030] 可以了吗？
[54:24.920] 可以了，然后把时间写一下，最后写出来。
[54:30.300] 我现在开了。
[54:48.840] 试驾25分
[55:11.400] 开始出发了。
