[00:01.740] 给他送去。
[02:53.240] 我想要是黑的吗？他的要求，我说你太高了，想要个黑来，想要个立标的，200没有路标的，有
[03:00.590] 也有力量的，不要有满足他的要求，黑的海选力量。
[03:06.030] 你说这女同志你是拿闹不过，这东西都过远了，考虑什么时候购买呢？
[03:13.300] 应该在
[03:15.210] 月下个月不是下午了，
[03:19.370] 主要现在下一个指标就下来的话，
[03:22.560] 想换了到现在。
[03:25.640] 行没问题，好的，我想法还是分期吗？
[03:29.340] 全款
[03:30.220] 条款可以说对现在活动挺好的。
[03:35.960] 但是200 300差不多了，其实长途已经对肯定问你肯定没有。
[03:42.940] 1.5就为1.1，对1.5T的，但是他们原来207的低功率是一个版本，
[03:49.830] 是一个动作。
[03:52.210] 2.0T的低功率是一样的是吧？
[03:56.170] 135千瓦，
[03:58.990] 跑长途加速的都没长得。
[04:06.530] 要不试一下然后。
[04:07.800] 是吗？
[04:08.730] 是室内现在只有对应该是。
[04:13.200] 但是咱们对车辆配置上交给您介绍一下吗？查边试边认真
[04:19.850] 介绍一下，应该是咱们之前看的话看不到主流吗？
[04:24.570] 看过。
[04:26.490] 看过也是前两天看过，但是没有过多的介绍。
[04:31.080] 反正你看零奔驰他有几个通用的，第一个就是
[04:36.330] 外观上面都配有一全景天窗，
[04:38.710] 前后双段式的队友一个很好的采光
[04:41.940] 效果。
[04:42.960] 然后安全配置上，因为车身很长，
[04:45.990] 到一个12块钱雷达，前6后6
[04:49.310] 是雷达，不是影像是吧？
[04:51.790] 也有影像有向后景象，但是雷达的话全都后6，
[04:55.980] 因为按60的话，它没有360度影像，它只有后怎么样？
[05:00.840] 对，还是要一个自动浮动。
[05:03.170] 距离前车太近的话，
[05:05.070] 快发生危险的时候会帮您采取紧急制动。
[05:10.010] 然后内饰的话是奔驰了一个做得非常好的地方，第一是作为支撑系统，
[05:15.660] 第二个是他带有一个电仪表立体式的屏幕，
[05:20.630] 然后加上一个64的课文中有一个很好的店是其中的效果，
[05:26.100] 数据赶紧条很漂亮，
[05:29.410] 您平时用车对配置我们
[05:32.790] 需求吗？
[05:34.880] 我看一下没什么，现在配置是多少？
[05:37.930] 有标准有高有头发260就这意思，就一款吗？
[05:43.910] 他这。
[05:44.980] 你不是有一个力，这是绿标的。
[05:47.250] 这是大不了。
[05:48.420] 大
[05:49.360] 有意义吗？有玉雕的，对。
[05:51.870] 觉得好。
[05:53.000] 行，要不你要是说就开始没什么接，咱去试一下子。
[05:56.570] 是一样，对，看到旁边有电子市场，慢慢的买回来获得电子书里边形成对对比。
[06:03.640] 那本了不要是我说你说是吗？我不是女性就行了，你不能老司机了，
[06:09.970] 不是我老司机你
[06:12.020] OK，我现在这个车跟别的车不一样，
[06:16.200] 倒班都在，你不信那也不用。
[06:20.320] 我上去开一下，刚开始行可以，然后您根据一下给您喝口水5分钟咱们
[06:36.750] 数据、
[06:42.680] 数据
[06:47.080] 的
[06:48.960] 的
[06:53.400] 数据。
[06:56.380] 谁借谁。
[07:07.030] 说。
[07:27.970] 我有
[07:33.800] 三人应该没有一张
[07:36.600] 你说去年不能，他一定要用事实证明是吧？是要不然把
[07:42.430] 没买着票
[07:45.080] 给看。
[07:48.640] 主要千五百不要吃了。
[07:57.070] 拍照。
[07:58.310] 回来微信不是我E给你发了，我又找找找着点评，直接分享不就完了。
[08:03.430] 什么店都能负责吗？
[08:07.060] 对，直接分享了这样的。
[08:12.150] 你们这么好的。
[08:14.380] 然后找找微信有微信吗？
[08:17.500] 没有发送给朋友没有吗？还有没干嘛不可能的事？
[08:24.170] 有好多不对，这一部分那时候该翻脸了，朋友圈了，不是一个人都有那个人吗好友。
[08:31.400] 我知道，但是我一直这么找进来了，我就找不着了，找小明了，你直接分享这两口就行了，我一分钱他就是把钥匙朋友圈。
[08:40.010] 没有我知道。
[08:43.490] 到了
[08:44.800] 了完了
[08:47.690] 希望
[08:50.350] 这个道理在那干嘛？
[08:54.660] 快到了号。
[08:58.430] 远
[09:13.880] 场
[09:15.330] 的。
[09:19.670] 坏
[09:25.310] 远
[09:26.270] 花
[09:28.850] 了
[09:36.920] 照片
[09:40.470] 场
[09:41.430] 数据
[09:42.860] 数据
[09:47.120] 远
[09:53.830] 的
[09:56.430] 坏。
[10:17.650] 号
[10:24.680] 大
[10:26.520] 五
[10:39.350] 还没
[10:42.400] 养
[10:46.970] 场
[10:54.520] 吗？
[10:56.960] 场
[10:57.930] 数据
[10:59.220] 远远
[11:02.480] 远
[14:22.250] 的
[14:56.760] 周二交税周三。
[15:00.490] 知道。
[15:04.140] 然后他说谁知
[15:11.760] 后天
[15:19.590] 知道。
[15:20.450] 怎么办是吧？对那是什么只下棋似的不一样资源，谁知张
[15:26.690] 算昨天仨个人承担对那个箱子
[15:30.240] 确定。
[15:31.440] 打了一个签一个。
[15:34.030] 350。
[15:36.930] 行，咱们全程大概是9公里，然后15分钟，我这边先是承载时间，
[15:44.960] 咱们提供瓶装水有效，目前十佳的时候
[15:48.460] 原因
[15:49.440] 提供矿泉水不要了，行行好吧。
[15:59.470] 您好。
[16:00.390] 对。
[16:04.820] 这边
[16:42.270] 周三没什么问题。
[16:43.760] 头上都记不大。
[16:45.640] 咱们预计周三没问题，
[16:48.770] 这也是绿标，这儿都这样，正好也是地标的。
[17:11.720] 根据
[17:12.640] 它冰300他俩
[17:17.430] 插
[17:19.400] 工具。
[17:21.320] 一样的，对，就是整体这么看，你们300个没有数据
[17:26.190] 用。
[17:28.400] 对1.5T
[17:37.360] 谁知
[17:38.300] 的
[17:45.460] 他这个单位就是在
[17:47.480] 然后D档的话往下打到头是B的，然后这有显示第一就对了。
[17:53.010] 然后座椅是您这票先后的，然后上下都可以拷贝。
[18:00.970] 给。
[18:05.810] 整个的
[18:08.420] 这里
[18:11.530] 倒车雷达，后边的情感3号12
[18:33.770] 咱们奔驰车设计都是厅长商务，所以说他的
[18:37.180] 减震实际上是有一个很导致的文化，
[18:41.390] 在这屏幕的时候就偏硬的，
[18:44.800] 这个点连续颠簸的时候就会上软一些，比如说咱们一个舒适性
[18:50.310] 的
[18:54.610] 谁知
[18:58.090] 电商是九诉讼，所以说他从上来说是非常好的，
[19:05.550] 把分支奔驰自主研制哪个号的匹配好好。
[19:16.170] 的
[19:19.990] 选。
[19:22.200] 组织
[19:23.660] 生产
[19:27.800] 句
[19:34.230] 刚才所有的流苏的氛围浓，本身做得非常好了。
[19:41.290] 对，在网上的话，但是这种4种颜色都可以调，不光是蓝色，
[19:47.000] 有一些
[19:52.000] 主要是美容的是
[20:05.250] 这种实验
[20:07.890] 去
[20:50.860] 你干啥的？
[20:52.020] 要。
[20:53.790] 说。
[20:58.300] 整个
[21:08.760] 啥了？
[21:13.640] 了，只能这么一圈。
[21:17.810] 不够。
[21:20.070] 没事了，
[21:23.030] 而且做本身也是很好的一个事情。
[21:26.100] 最后开那么一下，其实主要是
[21:29.100] 坐着都可以全方面的出版，都是这样。
[21:33.780] 到了开开了就这个不收您的手都是A本。
[21:42.210] 因为我就知道的。
[21:47.880] 上次给他看到事情建立就感觉到了，因为你现在在宝马奔驰
[21:55.890] 想一下，
[21:58.640] 然后前天我要去趟山东与的宝马，去了
[22:05.330] 两个成果都开了，要是说
[22:08.020] 现场那边感觉
[22:09.870] 闹热都差不多了吗？
[22:11.780] 对他
[22:13.480] 对前天去的时候他能够拿，她是没时间比较长了。
[22:17.640] 劳模还有什么对于有没有年
[22:21.210] 看懂。
[22:23.640] 总体感觉还好，但是奔驰跟他完全是
[22:28.240] 本质整个的感觉这里边非常
[22:30.910] 对奔驰倾向于在重做怎么办？老马是这个篇
[22:37.150] 运动倾向于我访谈类的范畴，对哪个也感觉到特别豪华。
[22:43.370] 你本号码的时候
[22:45.940] 感觉是真的有点，尤其是这种立标所带来的好玩了，基本上别的投资渠道比较好是吧？目标其实就是这个年龄比较大的。
[22:56.660] 男士的也不是你像我的客户是9，最近两筷子麦子其实比较
[23:05.370] 因为里边代表经典，不是说年龄大，我现在还是比较传统，但是还记得这都是细节是兴奋一条。
[23:15.330] 今天听了你看他们
[23:18.450] 所以就这一点
[23:20.670] 不一样，我就接着我996还是97年，我忘我小女孩买了那条，你可能性对关系，
[23:30.630] 谁知对他没有一个绝对的这种
[23:35.590] 的本质感觉，他有点豪华的感觉，但是宝马有
[23:42.760] 黄冈没有那么强，对我有预感。
[23:46.700] 谁知
[23:48.520] 所以可能是我年轻人喜欢比较多，喜欢看看车，然后宝马下次做比较画画。
[23:55.650] 我当时开的还是感觉，反正因为我开的时候
[24:00.840] 时间比较长，然后
[24:03.050] 家里相对长的时候感觉
[24:06.480] 罗马它却是真实的，手感很好，感觉
[24:16.240] C跟一在那
[24:19.960] 他他俩的
[24:21.700] 这速度
[24:23.490] 也是有差别的。
[24:26.640] 你C的C
[24:32.030] 对260260就是1.5P他们那一三百二的灵气就没法理解。
[24:38.240] 对换一下开会。
[25:10.040] 快。
[25:17.640] 的
[25:24.480] 的吗？
[25:26.940] 不断加入
[25:29.440] 选
[25:30.680] 选、
[25:36.190] 行你们弄好。
[25:42.530] 啥刹车受伤是您转到D点以后自己之前做了，在刹车了。
[25:51.400] 对。
[25:52.020] 行车
[25:53.180] 敞开的意见后
[26:09.830] 场
[26:10.920] 场
[26:14.850] 号
[26:20.140] 对。
[26:22.440] 激情岁月的声音。
[26:25.760] 最好清楚。
[26:27.480] 二
[26:34.460] 场、
[26:45.210] 场
[26:48.360] 数据
[26:50.650] 的
[26:55.190] 句
[27:03.540] 说明好看。
[27:05.480] 好，首先需要景区
[27:07.820] 领导精品名校，
[27:10.230] 完全
[27:11.330] 申请得到来
[27:13.220] 顾客的人选。
[27:15.070] 30112011
[27:18.040] 2011
[27:20.200] 三两点品质之城，
[27:22.540] 坚持。
[27:23.340] 可以的，大家好，是因为
[27:25.450] 国外首任创立我的手，然后新纪录，
[27:30.800] 谁知
[27:32.020] 天津丽人
[27:33.610] 一
[27:35.260] 让我们自己选的情况，
[27:38.010] 举手的经典每天还要重要。
[27:42.480] 几？
[27:46.100] 给。
[27:54.520] 远。
[27:58.290] 场
[28:27.430] 干
[28:28.320] 对。
[28:29.280] 还做
[28:32.410] 的
[28:41.040] 点。
[28:43.480] 自己。
[28:46.230] 马奔驰
[28:48.320] 的。
[28:50.500] 三
[28:51.900] 号33133
[28:57.040] 300多。
[28:59.840] 300的动力了。
[29:03.710] 这个东西就
[29:08.370] 这样也可以觉得我有，而且
[29:11.520] 说白了他的优势是在于它的排放低，而且越好。
[29:18.160] 然后正常他也就在8个
[29:22.390] 7~8个大概的时间，
[29:25.890] 但是然后203可能稍微多点害怕，就是这么小了也好，干嘛也好，
[29:33.610] 他们前面包起来
[29:38.060] 还可以
[29:39.920] 的。
[29:46.140] 远远
[29:50.640] 的
[29:51.360] 了。
[29:55.960] 怎么可能谁知
[30:00.600] 我想
[30:01.540] 不是这个意思吗？一点都不知道吗？
[30:07.520] 讲经典的
[30:13.190] 经典
[30:18.660] 远。
[30:21.470] 对。
[30:24.180] 我今天比较累，
[30:27.960] 根本
[30:30.350] 对什么的，应该就是提速比他快点进来多少钱对不对？
[30:37.790] 5万块钱买了。
[30:42.370] 是吧？
[30:46.230] 能什么时候都是。
[30:48.940] 你算主骑车没在店里已经。
[30:52.620] 其实300你就不用吃了，这个女人是楼里300以下提速，咱们到一下就放行。
[30:59.550] 这行了的，你看逗称呼是吧都行，这个也行，您看您方便打哪个？
[31:07.490] 要不就达到了一人
[31:10.410] 左右道理。
[31:15.150] 是吧？
[31:17.920] 他有没有？
[31:19.840] 不是造成的。
[31:22.520] 另外
[31:28.150] 他习惯这个
[31:31.200] 的
[31:34.840] 图片
[31:37.090] 我还是不喜欢，还是要看到纯净个人需要了，
[31:45.630] 不用非得有他就看他不是说他一个辅助
[31:49.840] 送
[31:53.720] 再大一点。
[31:55.460] 得到一个317，好这真的，好，这是送正式，您是这儿现在大概有20公斤，对三多对。
[32:05.570] 20多公里，这等于是要是直的就是城市正的，您怎么可以这么理解这同学和他平行的设置等
[32:15.050] 极为罕见的话什么？
[32:20.670] 生活以后整个刹车就不用再有了，它手上自己
[32:27.170] 他弄着以后它就是
[32:29.700] 放着以后发弟子，
[32:34.860] 这是P的这种的。
[32:39.440] 是对的结果可能都关闭自动亮度，对，你要是说想自己话就按一下那就吃了。
[32:49.810] 对。开门慢点。
[33:03.590] 稍微再交一下子。
[33:05.850] 刚才那线本身他也没有说视频，
[33:10.570] 行吧？
[33:11.320] 这个东西对这都是慢慢
[33:14.230] 那个车钥匙我看看。
[33:16.300] 车要是我看奔驰的车，
[33:21.170] 我比较讨厌宝马的材料是他这么难看，我看着了。
[33:26.930] 漂亮。
[33:30.720] 跟原来那个车钥匙要进账，对跟拽到不一样，完了这边
[33:40.220] 看
[33:40.920] 反正是
[33:44.100] 203秒。
[33:45.500] 多少？60 300。
[33:47.330] 方面人他们
[33:50.220] 行。
[33:55.190] 三
[33:56.650] 然后给他算一下价格，算一下刚才
[34:00.110] 2000
[34:01.960] 300
[34:04.070] 对比。
[34:22.770] 反正我是
[34:25.030] 感觉的
[34:26.750] 我的意见就是
[34:29.380] 要是买300的话，
[34:34.280] 那边要是买530。
[34:37.470] 302
[34:41.000] 300的话我
[34:42.300] 感觉还是300会好一些。
[34:44.620] 刚才我看他530它宝马他
[34:48.900] 加速的时候它会停会，那么
[34:51.190] 感觉到0点，对他实际上加速的感觉是要碰更大了，就往前冲顿顿了一下，
[34:58.700] 穿衣服要给你一个推背，或者说那种就是激进的感觉，但实际上如果说
[35:04.880] 后排或者副驾驶上坐着人的话，感觉特别过瘾，
[35:08.650] 他给司机的感觉挺爽的，别的班的
[35:15.110] 光药品、
[35:17.960] 方向。
[35:18.730] 还有
[35:20.330] 这个根本没什么问题。
[35:25.760] 文章白搭。
[35:27.720] 现在300优惠多少？
[35:30.920] 都会基本上现在也挺多的，都是在
[35:35.030] 7万块钱，
[35:38.600] 希望我们上下
[35:41.260] 优惠力度还是挺高的。
[35:43.170] 这边优惠的可能还多，那边是6那边
[35:48.730] 我上回去那时候6万了，几？
[35:52.050] 就6万。
[35:53.490] 我说他说是应该差这么多，
[35:59.180] 太远。
[36:00.120] 对不应该太1万多。
[36:03.570] 但是这个店属于整个华北区域销量是D的，所以说它的体量在这儿，
[36:09.690] 相当于越大的店，它的利润可以做到越薄，
[36:13.080] 然后可以靠这种无线的客户来售后保养这种循环，
[36:17.820] 有一个良性循环。
[36:19.640] 就算我都赔着钱卖车，我的收获也可以。
[36:23.710] 在工作上，但是你让小火电的每个车他可能算去就要稍微细一些。
[36:30.800] 稍等。
[36:34.290] 你要提速吗？
[36:36.740] 行了吧。
[36:38.580] 你说了一张图，但是比起无奈不1.5，他现在调价应该是1.5，相当于刚才不是相当于原来的22.0D版的一笔
[36:49.530] 感觉。
[36:50.870] 你知道。
[36:51.920] 因为他虽然是海量的
[36:53.870] 小，但是它条件的工艺不大，
[36:57.790] 你不懂。
[37:00.930] 行，后面的感觉。
[37:03.650] 谁知
[37:05.660] 要50 300你作为应该是不行的。
[37:08.280] 对。
[37:24.390] 您算260还是300吗？
[37:27.320] 380 300 300 300是吧？
[37:32.390] 300工费是吧？
[37:37.890] 就分了，就像这个就是一种，但是分的话中配就行，就性价比非常高，我要出去买顶配
[37:47.010] 这些功能
[37:48.780] 它是覆盖还是赢了，也就是说300的中配要不要比这块0的东西要覆盖？
[37:57.220] 他就多了360了，多了5要是屏幕还有座椅加热就都有了。
[38:01.860] 说这个不对，
[38:04.610] 是不是长度了？
[38:06.750] 长度一样不一样？长短都一样。
[38:11.130] 多了一个日本
[38:12.400] 加热，所以加上我们要是进入我刚才说是全款还是分期？
[38:17.560] 全。
[38:18.560] 全款是吧？
[38:20.220] 分期的话咱这也是免收分期服务费的，
[38:24.420] 然后点位的话非常低，现在才一个多点的利息，其实您可以考虑一下。
[38:31.010] 而且针对您这种可带可不带的客户，咱们分期金融推出来一种非常好的方案，就是每个月
[38:37.750] 我给他写一下，写在下边您看看愿意做您做，不愿意做就不做就OK了。
[38:43.470] 好的。
[38:56.230] 的
[39:00.330] 说
[39:07.080] 还有别的什么服务项目众信。
[39:12.460] 也没有您是置换。
[39:14.640] 有一个旧车。
[39:17.400] 会有一个旧车是吧？置换的话就是有5000块钱的补贴，
[39:32.410] 5000补贴它是不在保险。
[39:34.960] 比如您这车保险可能正常13,000的话，咱们这交8000就可以了。
[39:40.480] 这样。
[39:41.950] 你觉得可以商量的。
[39:45.320] 一样的，这车要不要车上要求？
[39:49.570] 这是平山干嘛？
[39:51.890] 那车我知道。
[39:59.720] 就卖了这车。
[40:01.140] 置换的话你就是这该
[40:03.580] 也是
[40:05.350] 的。
[40:10.510] 花
[40:12.570] 场。
[40:19.990] 的
[40:21.880] 场。
[40:27.840] 场
[40:33.000] 的
[40:35.120] 数据
[40:38.620] 数据。
[40:40.990] 五
[40:45.410] 数据
[40:48.440] 的
[40:51.590] 的。
[40:53.840] 坏。
[40:57.650] 颜色有几种色？
[41:03.200] 颜色。
[41:04.810] 颜色的话一般也是黑的。
[41:07.030] 白绿标的话咱别的颜色他也不太大。
[41:19.080] 没有白的就是C级，这个
[41:24.810] 白的不能太少了。
[41:31.170] 天。
[41:32.520] 你看你老板
[41:39.280] 打工的。
[41:40.990] 您看一眼咱们的一个报价单，作战大堂服务公约，绝不平板销售消费绝不是补充好，
[41:48.310] 然后咱们全国统一的所有的奔驰半他们都是一样的，价格都有价公式，我特别的您看一下，
[41:54.560] 46万多优惠，网上是395,800，然后购置税35,000，保险
[42:01.350] 不是验车是2500，保险是13,000左右，这个车就是正常。
[42:06.230] 然后如果有置换的话就补齐差价，补8000就行，比如那要出1万，你在这上2000上5000就行。
[42:14.750] 总体保险的金额是由您个人的，你愿意上保费上多少？
[42:20.470] 这样存下来是441,000，
[42:23.610] 如果说分期的话，从39万的一半19197,900，
[42:30.380] 24期为什么说合适？是因为您每个月不用还本金，只需要还一个410块钱就行。
[42:36.690] 晚两年。
[42:37.960] 两年就是他的利息利息是9855，就是说我用19万两年一共是950，
[42:44.160] 如果说您做理财的话，咱们按不多按4个点来算的话，一年基本上就和这打平了，第二年可能不是纯收入了，
[42:51.580] 就是这意思，所以说他合适。
[42:54.600] 而且咱们奔驰一分钱的分期服务费是没有的。
[42:58.390] 这样如果你要做一个分期，您首付就用19万加购置税加保险加燕歌之243,000，
[43:05.680] 更便宜太便宜了。
[43:09.000] 然后你每个月还410，到最后到最后还完之后，您再把19万就另一半携带补贴
[43:16.520] 了24个月，对300买13条，这说同时也有不一样说是他
[43:25.920] 贷款反正利息9000多，不贷白不贷，
[43:29.160] 你们不白带了不贷白不带，因为20万你存到银行也还300万也比较低，银行我
[43:36.790] 我不知道现在利息是多少，
[43:38.600] 至少也得30。
[43:40.130] 那是理财38，
[43:44.010] 可能定期的或者是
[43:46.360] 我不太清楚。
[43:48.690] 现在的利息就是说比那个车多了。
[43:52.620] 5万块钱是吧？
[43:53.940] 是吧？
[43:59.220] 他买了这些贴膜什么的，
[44:03.700] 咱这个没有别的
[44:07.320] 服务的项目。
[44:09.680] 其实几乎您所有钱都交了，然后唯一的您没
[44:15.540] 如果说您在有可能花的钱就是她的装饰
[44:19.210] 装置的话，必须是没有耕种的。
[44:22.170] 首先我不会送装置，但不是说所有店都装修网，至少咱们电池
[44:27.810] 但为什么不送？是因为B我神经病优惠到头了，
[44:31.480] 对吧？然后剩下选择权在于您做的不够。第二来说
[44:35.740] 送您的装修肯定没有好多装饰，
[44:38.360] 他和这车是匹配不上的。
[44:41.020] 所以说您一定是买这种自费的装置，它的东西才能到位。
[44:46.830] 能不能家里搞装修的事我这都问到了，但是他东西质量可能很
[44:51.450] 可能价格很大很多是吧？就是说自己选咱们也有装套餐，您也可以万年也可以说觉得战鼓可以在外面装都没问题。
[45:02.060] 但是一般来说的话，我们到时候会给您一个建议性的套餐，
[45:05.740] 如果说您觉得合适，反正就是那种非常好的贴膜，然后加上什么形成一个脚垫，基本上1万现在就是打完折1万多块钱也能搞定，不像原来似的。
[45:15.490] 原来你比如说买选一好点的膜，选一个
[45:19.140] 都上齐了以后可能接近2万，因为您买的是奔驰高端品牌，
[45:24.050] 但是现在基本上15,000上下或者说15,000之内就可以都给你搞定了。
[45:31.110] 没有，反正你要是说
[45:33.980] 想买装置，您的预算基本上做到，我觉得在15,000之内玩OK那边宋庄是可以的。
[45:41.730] 应该是这样的，但是送的方式就能让什么就跟我说的时候弄得装他们到底好还是不好，不知道选择您买的装饰
[45:51.190] 一定是好，因为现在他不能说蒙着你买，就是说什么你花了多少钱，自己要得到多少钱的东西，
[45:58.150] 而且您做装饰以后，
[46:00.650] 比如说您做妆以后，您虽然花了1万13,000 15,000了，
[46:05.310] 咱们先拿15,000说您虽然花了1万股，但是到时候
[46:09.160] 装饰肯定有利润，我们可以说从装饰精品里再拿出一部分利润去支援回去，
[46:14.910] 你可能花了15,000，最后没准咱们折腾折腾您可能也得花个1万出头，
[46:20.840] 实际上花1万次都是这个高度。
[46:24.080] 对，比如你这交15,000，我保险他们让三天实际上就12,000，要让4000就11,000，
[46:30.600] 保养也没有什么了。
[46:34.100] 保养的话就正常保养的话，现在唐代也能送我明白，但是有好多车送保养什么，但是奔驰这方面也是没有说现在厂家是什么样，像
[46:46.740] 系统
[46:47.730] 什么车，还有恭喜汽车，你车你终身终身免费的，对，反正也是过来找我了，照不成了。
[46:59.410] 他那是保养是什么无忧我忘。
[47:03.270] 但是好像在20。
[47:07.030] 您说一下保养靠边买多少次，她一下子能便宜好多。
[47:11.430] 没有，他没有多少次免费携带，咱们不是喝的也他那有一个多少
[47:18.950] 一个免费的老养殖，而不是免费。
[47:23.640] 是多少公里之内的？
[47:26.270] 是还很便宜都无所谓的，对，而且后期咱们这有各种各样的保险活动，因为咱们电大
[47:33.860] 售后很成熟，
[47:35.980] 对
[47:37.080] 对单独一次保养大概多少钱单独一次保养，这车基本上在E300的话，应该是在1000块钱上下。
[47:45.730] 1千0888现在是大包的话就可以了，对，但是大宝生意也做不到，如果麻烦了他就起来了。
[47:54.400] 我们这一层在里面了，政策
[47:58.240] 肯定是贷款合适一些，
[48:02.550] 你又不会理财。
[48:08.760] 你只能把钱存在那里，
[48:15.040] 完全不是。
[48:25.210] 是不是这一行期间，所以价格他就
[48:27.740] 有关系。
[48:31.080] 但是您为什么肯定要下个月买了，
[48:36.010] 下个月才有这方面的预算？
[48:38.850] 我们现在预算还没拿过来是吧？
[48:43.630] 这也不快乐。
[49:03.080] 收到了。
[49:09.590] 你让冠先生等我5分钟水，我等着王八可以了，我知道明白。
[49:15.250] 下次我来的话，我需要我就出来找您就行了，可以还给你打电话，行，还有其他什么疑问没有影响问题现在？
[49:24.210] 没有，目前没有，年度就是其他什么疑问吗？没事，有时候我到时候我来找你们。
[49:31.460] 可以，这是离家近。
[49:34.240] 行行，到时候反正离家近应该是最大的优势。
[49:37.790] 第二咱们店本身在北京是相当有优势，
[49:40.710] 是，但是最终的价格还是看您的一个过程之间来决定好吧？您可以先到这，好好对谢谢，咱们随时电话联系，明天我叫您打一个回访，应该是上午方便下午方便。
[49:54.010] 明天是吧对吧？阿明什么时候都行，后期的电话短信微信哪个联系您方便接，因为你
[50:01.270] 行。
[50:02.010] 您一会出门吗？
[50:03.650] 冬天出门，接在前台扫一下免费停车的号。
[50:09.570] 好吧，发送你忙你的吗？行，再见，好了。
[50:13.910] 王云。
[50:25.310] 麻烦稍微
[50:27.360] 优化一下。
[50:28.820] 走不通。
[50:31.380] 没有扣账吗？
[50:32.920] 数据。
[50:38.790] 场。
[50:40.370] 没地方客户
[50:42.470] 数据
[50:43.400] 场。
[51:28.160] 数据
[51:29.410] 数据。
[51:31.170] 花
[51:37.670] 数据
[51:39.110] 的
[51:40.480] 坏。
[51:48.170] 一
[51:49.920] 100
[51:51.140] 102。
[51:52.310] 这么便宜。
[51:53.540] 对，就是350一百零面市了。
[52:06.150] 改天光临。
[52:23.480] 去查。
[52:24.220] 因为谁知
[52:25.540] 好多原来一样，
[52:29.710] 到了这图我就幻想几点了，
[52:33.110] 2:30。
[52:34.770] 换一部。
[52:38.480] 今天换了不能。
[52:40.610] 换了了。
[52:42.530] 肌肉换了三胡的还是似乎脸
[52:46.960] 你看不见10，但是我就没闲着，上午没闲着，下午在这坐会，
[52:52.560] 那水一会就换了，
[52:54.510] 然后一直再到时候你到有的人他会说，
[52:59.110] 他直接就说你有客户
[53:01.750] 像没颜色，他直接说我看了难受。
[53:04.940] 您看
[53:06.260] 你太喜欢喝浓茶，你看你胡吊都不傻，
[53:11.590] 明白就看着没事冒菜，
[53:15.670] 切实
[53:17.450] 换了
[53:18.480] 还在节点没结点这。
[53:20.800] 对吧？
[53:21.740] 还有同样一个说是证了
[53:24.570] 这个多少钱，你说你们挺挣钱的干嘛？对我们真的有咖啡吗？
[53:31.820] 行没有他
[53:33.860] 热点。
[53:37.910] 对吧？
[53:38.880] 我看你们也不少卖车干嘛对我们这么好的。
[54:07.930] 对
[54:11.350] 的。
[54:12.660] 的
[54:24.780] 的
[54:34.270] 数据。
[54:37.040] 的
[54:40.550] 数据、
