[00:00.000] 所以电脑
[13:04.830] 是不是？
[13:07.700] 不是，我是上还是上个月看的车，
[13:10.800] 然后月这个月是第一
[13:14.970] 涨钱之后是第一天来吧。
[13:17.680] 研究完了。
[14:27.370] 日本
[14:28.100] 了。
[14:31.430] 天气有啥好了？
[14:33.720] 月不是一次吧。
[14:43.150] 总有用其他的问题。
[14:46.360] 男孩子有200多
[14:51.170] 高。
[14:54.080] 2490
[14:57.480] 可以做一个
[14:59.610] 三年的
[15:01.440] 10万一个来源，你贷款有没有贷款证我给你转贷款，你比方你贷10万，
[15:09.500] 三年
[15:10.280] 2.7维护再商量。
[15:14.640] 别的没有。
[15:20.950] 我现在也有自己企业有必要做。
[15:25.700] 稍后看投入也少了。
[15:29.120] 赚钱。
[15:31.590] 然后连这种发给
[15:33.880] 5块钱。
[15:37.650] 然后
[15:39.710] 快乐
[15:41.990] 也
[15:48.250] 这10万块钱三年
[15:51.680] 还有一个7万，
[15:54.110] 有多少钱？只有60 5000的对他肯定合适的。
[15:59.170] 谁知万没有的话，
[16:03.780] 10万产品是合适的。
[16:07.130] 我上场时同意还是要
[16:09.900] 的发展。
[16:12.740] 影响很好，重点在
[16:15.290] 多少钱做起来不到三年。
[16:18.130] 他说别的事
[16:19.480] 8年前
[16:24.930] 跟B超的时候。
[16:26.050] 收到了的。
[16:31.960] 对了，三点这么。
[16:34.320] 当然了。
[16:35.270] 现在还是这样吗？
[16:37.530] 就算三年11年3000也是失败。
[16:41.700] 好，9:00 1.3000万三年，
[16:45.140] 我感觉33:00喜欢我这里面看这样，
[16:49.320] 这一块他打电话下班10万块钱，这三天好几万块钱，
[16:54.480] 要他说他刚才的数据，
[16:58.410] 我觉得行业吗？
[17:01.150] 这个东西。
[17:02.880] 我不想知道你自己觉得的，我要多交6000块钱，对，稍微少用10万块钱。
[17:12.340] 其他的都一样是吧？都有
[17:16.480] 的。
[17:18.900] 根据全款买的是一样的，因为这块不规则的半圆形
[17:24.070] 可以
[17:25.680] 谁知
[17:37.230] 保险到时候你再回忆一下先
[17:40.050] 看看又。
[18:40.810] 首富对。
[18:41.800] 首付。
[18:42.530] 你大概一共交这些，然后月还2700多块钱。
[18:46.080] 不合适。
[18:49.640] 你的车是贬值了，你钱也是贬值，
[18:52.330] 你干嘛？
[18:53.690] 他现在10万跟三年之后的市场肯定不一样，
[18:57.980] 对不对？
[19:00.550] 你这个人我拍一下吗？
[19:02.390] 你可以看看。
[19:04.000] 我问一下。
[19:05.810] 但是你这个价格你这是优惠了多少钱？万零7千。
[19:10.950] 应该是10万人8000多吗？
[19:15.300] 8000多。
[19:17.630] 103,000I
[19:21.420] 107,000，你上个月的价格和这个月的价格差多少一样？差3000还3000。
[19:26.700] 上个月11，
[19:29.120] 上个月是11月11。
[19:34.370] 11。
[19:35.350] 上个月就是上个月的价格比现在便宜了3000块钱，
[19:42.750] 等于是280,900。
[19:49.020] 目前就好像几年的贵阳去了。
[19:51.340] 你觉得可能更直接小孩站长。
[19:53.670] 不睡就是按E算是。
[19:56.390] 你拍照片不保险我就没拍，但是我记得她就是32万。
[20:02.130] 三优惠率的，不我跟你说对这个价格都是固定的。
[20:06.530] 他肯定是锅炉是给你少算了。
[20:09.280] 你看看哪了？
[20:12.490] 我还真没拍片，但是我记得好像是32万。
[20:16.320] 十二零期间是不是固定的？
[20:20.260] 然后置换补贴是不是固定的对吧？07。
[20:28.500] 七
[20:31.910] 协议的。
[20:32.840] 首先是这样，
[20:34.530] 你要是说
[20:35.720] 你要是说上个月
[20:37.520] 你要说上个月看的话，因为我记得上个月他给我报的是317,900。
[20:43.860] 落地好吧？
[20:45.830] 算了。
[20:57.480] 加上
[20:58.680] 25,000
[21:00.500] 加上
[21:08.960] 32
[21:09.920] 除以
[21:11.400] 1.3，
[21:14.050] 我知道怎么来的，你
[21:15.970] 上个月的价格对是这个数对不对？
[21:21.200] 哪来的？
[21:22.070] 因为账不一样，购置税也少一点，
[21:25.130] 你这地方才3000块钱是吧？对吧？所以这个是320,900，
[21:30.270] 哪一个就加上3000块钱，所以他给我报的是320,900，购置税也差。
[21:37.400] 是他在购车税上了吗？
[21:39.590] 或者虽然差了，
[21:40.950] 但是人家他给您取了一整，我跟你说也他给您取了一整，您要上个月看肯定是这个价格没问题。
[21:48.820] 对，但是
[21:50.670] 你这个价格是280,900。
[21:54.580] 280,900，但是它购置税他给您大概是算的，他不是给您最精确的。
[21:59.780] 如果出于这样三应该是2,248,00024,800多，
[22:04.530] 还给你算了800多块钱。
[22:10.960] 你看那也不是我跟您说。
[22:15.040] 是这样，您看28万280,900，
[22:18.590] 你要是说购置税24,000多吗？他给你按24,000算，
[22:22.150] 你加上你24,000，它确实是你说的数对。
[22:26.130] 确实是那样。
[22:31.830] 算对确实是这块。
[22:36.430] 但是您看
[22:37.700] 他为什么现在差了，你看那车价贵了，283900，
[22:42.230] 车价涨了，
[22:45.040] 30块钱，你看购车税，你看我按多少钱给你算，82,500多给您算，25,000都给你算的。
[22:51.240] 它是按24,000给您算的。
[22:55.250] 你看如果说这是固定的是吗？不是。
[22:58.160] 你看如果说给他按24,000算，
[23:00.250] 你再加上个13,000，你看是不是32，对是不是320,600对吧？
[23:05.830] 但是你想这个家变了，它购置税也会变得
[23:09.840] 233900加上
[23:12.400] 你家25124，
[23:14.410] 你再加上个13,000，
[23:16.040] 你看错了吗？
[23:17.480] 没错。
[23:18.160] 就差这在。
[23:20.460] 别的是固定的。
[23:26.600] 知道差哪了。
[23:28.520] 我没开那个叫你不用怕看可能是差的，因为这两个数基本是一样的，
[23:34.610] 你只要一说我都知道他怎么算出来，
[23:36.820] 因为这个价格都是固定的，你们这个价格比如说100,700肯定是
[23:42.430] 固定现在是。
[23:44.770] 他厂家一条政策它是固定的，每个所有的三线都是一样的，
[23:50.810] 全都是一样的。
[23:53.120] 这个就是您看您离哪近，
[23:55.910] 应该离着我这儿见你行天，其实我就是离这近，但是没有找到这个地儿是吧？没事，现在也不晚，现在我是没订的车，所以我觉得哪都可以吗？这都是可以，但是其实我车看的已经差不多了，我确实就
[24:10.400] 一项对，您看我们
[24:12.820] 什么豪华版的跃动版的，你运动版的有现车，
[24:17.550] 蓝色就这个蓝色的，你们这个车有日期说吗？生产日期？
[24:23.910] 4月份了，这次回来44月份3月三四月份了。
[24:27.740] 因为只有一辆车，没有新车，这种运动版的车，他一般我跟你说，
[24:32.350] 这个车你给我看，他买了一辆车，这刚到店
[24:35.460] 没多长时间，
[24:36.690] 这个车比较少，
[24:38.520] 这厂家基本上不怎么去生产。
[24:40.680] 因为你像沃尔沃的
[24:46.020] 商用的，
[24:47.080] 考虑到商用。
[24:48.550] 家用的结合吗？
[24:51.670] 但是您看您
[24:53.880] 后续可能还给孩子开，我建议您考虑
[24:56.790] 长远一些，
[24:59.270] 孩子可能会更喜欢这个样子。
[25:03.780] 然后咱就算再说别的，
[25:06.370] 你这个价格你的意思肯定是这样了是吧？哪个店都是一样的，都会不会有他电话，你
[25:14.100] 能送些什么？
[25:17.840] 送啥？
[25:19.200] 送保养。
[25:20.320] 花样送了几次，3000块钱的。
[25:23.210] 两次被不是那3000块钱算多少次就算多少岁，肯定不是两次了，年前他给他送到售后积分卷。
[25:29.890] 我的办法忘我的话以后我就搞不太清了，反正他是送了我3000块钱的保养，我知道，因为我是在山里面你知道
[25:39.160] 我知道为什么送你3000块钱保养了，因为涨了3000块钱就是这个意思，对。
[25:44.580] 是这个意思，因为我上个月看过车吗？
[25:51.660] 你看
[25:53.130] 记他给您送的是代金券，反正他说3000块钱，对他给送的代金券。
[26:00.850] 3000。
[26:03.110] 然后但是你看
[26:04.860] 沃尔沃的保养是1万公里一次，
[26:07.900] 就是说一年或1万。
[26:10.010] 您一年大概开多少？
[26:12.020] 我这一年就开1万一年1万公里。
[26:14.620] 基本上也就
[26:16.410] 三年。
[26:17.640] 它的保养周期，
[26:19.660] 它的保障是一次在1270，
[26:23.430] 一开始机油机滤加工时，
[26:26.950] 是吧？
[26:27.900] 反正这个就看觉得怎么合适了。
[26:32.430] 3000块钱，
[26:34.200] 是吧？他家行了，医生给让了3000，
[26:38.930] 等于是把长的就给你补回来了。
[26:42.630] 您这边的岳父让您我觉得市场不应该太差。
[26:47.430] 你要是都一样的话，我认为就没法说的吗？你说我也是看过，您对这个市场好像是非常了解，对他跟你说啥事，对我还要一双看过一个4S店，
[27:00.060] 一砖不都是他们一家。
[27:02.310] 你们就跟他们不是一家吗？不是一家，跟它们是什么？
[27:06.260] 我跟你说现在您看到一个终端那块，
[27:09.720] 还有一庄那块，
[27:11.190] 还有一个
[27:12.380] 通州他们家还有一个。
[27:14.010] 你们这4S店还是谁家的？他们在那里。
[27:18.120] 他们自己还有一个叫什么？
[27:22.920] 还有马
[27:24.130] 特别
[27:25.220] 我看西北好像是有点他们几个是一家的，是你这都是哪一家的？
[27:30.060] 他们家现在都是这种情况。
[27:31.850] 你买完了，
[27:33.060] 你把钱全还，你比方你消费购买或分期购买，
[27:36.040] 分期的话你交完首付全款的话，你一次性都给他了，
[27:40.240] 完事你就回家了。
[27:42.260] 就等着去，
[27:44.170] 一个月左右给他过去提车去。
[27:46.870] 他们家现在是。
[27:48.240] 你看车上不是有合格证吗？我看车上也挺多车，市都在店里边。
[27:53.770] 当时就是他们那个证件没有。
[27:56.730] 你拿出合格证买的，是您把钱你把所有钱都给他了，
[28:01.640] 他才能拿着去银行给您梳头的。
[28:05.530] 是这样，它得再回来，基本上周期一一个月，
[28:10.130] 当时叫快乐。
[28:11.560] 他确实跟我说好像提示的一个牖，以为都是这样，不你看你在我们家就不一样，
[28:16.920] 比方您看完了在我们家订了，
[28:19.400] 你交完钱当天提出来，
[28:22.750] 你还有一个我想想
[28:29.130] 你们家是跟谁家是一家的？
[28:31.660] 我们家是百得利集团。
[28:33.580] 百得利集团对我们家一装也有。
[28:37.170] 这个小区不都是一个百集团，都是我们家的。
[28:42.140] 但是你像我们家就不存在，这是我们家
[28:44.760] 这些车都是全款给厂家买回来的，
[28:47.370] 你说那些证件都在我们自己手里，
[28:50.080] 所以说您交完钱当天我们就让您进去，别的没有能搬到
[28:54.770] 基本上最快的
[28:56.910] 也有那么一周半个月，
[28:59.720] 他们家算是比较慢。
[29:03.170] 还有就是说你能给我他优惠吗？在国内你明白吧？包括还有他要送的东西，就是那些所有的什么装备，
[29:13.630] 装饰什么贴膜坐垫什么封釉什么，还有汽车细无遗。
[29:18.400] 当时这些东西
[29:20.060] 你看
[29:21.770] 我们店里边
[29:23.050] 有更好的不知道你行不行。
[29:25.490] 好，就拿贴膜来说。
[29:28.260] 听完很上送的那种，
[29:30.200] 反正说的挺好的，但是基本上
[29:32.260] 几百块钱的成本，人家说他们送是可好的吗？还是说的都挺好，就像我们店也
[29:39.110] 也有送的，反正就是成本不一样的。
[29:42.070] 你。
[29:43.860] 对咱就有品牌的贴牌的，没有送的那种肯定是没有密码的，但是人家说人家品牌的都是找到第三方。
[29:52.260] 这就是第三方的，对你门口本身并没有贴膜的，但是你看
[29:58.290] 他
[30:00.130] 我们家还有那种威固的。
[30:04.610] 微博硅谷，对，因为我并不太懂什么贴膜这些品牌差多少钱。
[30:12.760] 这成本不一样，完全不一样。
[30:15.080] 成本的话超过1000块钱。
[30:17.960] 但是那种我跟你说的肯定不是送您这稳固地飞过的，是您可以选择买或者说不买，
[30:24.570] 但是你会送一种贴膜，我比较很便宜的，就跟他们级别差不多的。
[30:29.920] 人家说说人家送的和好吗？当然我不懂这些东西，我就这么跟你说。
[30:35.440] 您自己做完了也是您送的跟花钱买的能一样吗？那肯定不一样。
[30:41.210] 还有一个说法就是上牌为什么是3000，我看网上说就500块钱，这个东西它没有品牌。
[30:49.710] 这个不能改是吧？就是3000是吧？
[30:54.270] 您看比方您上北京，
[30:56.690] 加上它有这么一个费用，
[30:58.240] 比方您如果说您上外这块星球上面那块如果是能卖的，
[31:02.500] 邮费价格跟着北京都不一样了，对，我知道不同的地方价格是不一样的，所以说
[31:09.090] 现在除了差贴膜不一样，其他的其实际目的都是一样的是吗？咱都是
[31:15.550] 也尝试的，都是那种对都是一样的，然后还有
[31:23.040] 还有啥封釉这都无所谓的，都还有不用做件什么都他们一样，小店这调调做点没有对说的就是假的，这个东西还有啥来着？
[31:33.670] 我记得好像说5项。
[31:35.290] 后背上面。
[31:36.350] 对后面香调就这些是吧？
[31:41.090] 因为他也没有别的，反正差就差在即墨这一块，因为
[31:44.540] 富二代的
[31:45.830] 之前不瞒您说。
[31:48.290] 之前送的有的，反正客户反馈不太好。
[31:51.300] 人家是自己贴了，自己撕了，就从外边自己贴的。
[31:55.990] 所以为什么说店里面
[31:57.940] 非得出一个好的
[32:00.640] 你这个好的多少钱？
[32:02.130] 跑到6000多。
[32:03.210] 5000对我就这么您可别为股东吗？你在外边在基本上贴
[32:08.610] 基本上也得6000块钱。
[32:10.850] 基本上我们这边
[32:12.500] 让你一站式服务会让您到
[32:15.120] 来回跑了，
[32:16.330] 你到我们这买卖车，你在外边给我上去给人感觉可能也不太好。
[32:21.690] 行，这个都是后期商量的，如果真要选的话，在初选的事儿。
[32:27.670] 然后
[32:29.490] 还有一个就是说如果因为我现在不着急更新指标，就说我这个车能
[32:37.200] 比如我交了全款之后，可以把
[32:40.850] 你总得给我办指标上牌就有车吗？还是先装旧车您给我们。
[32:46.790] 我们给男方过户去。
[32:48.790] 舅舅车给你们安排过户，然后新车我可以买提，可以你就可以直接把新车贴上个临牌就可以开着是吧？
[32:57.120] 没有空档期，你看我们这边多方便，他那边是说可以给我一个代步车带核弹，你这个是不需要的是吧？这么着就说到代步车了，
[33:06.600] 类似
[33:07.610] 所有的客户都这么着代步车，他有多少不会超过2~3台。
[33:11.910] 基本上您排着去。
[33:14.200] 您可能就是什么时候车回来，人家就是美方对车借出去了，
[33:18.610] 什么时候人家停车把车还回来，代步车才有了。
[33:21.720] 很小。
[33:22.740] 明白，你这个就是说我只要把这个车交吗？你去给我办手续，你们相当于是
[33:28.210] 给我更新指标是吧？
[33:29.480] 这都是你自己去办，还有这边的车可以用临牌就先开走，对，别看我这边多方便，
[33:35.030] 但是你的更新举办有多长时间，
[33:37.760] 他哪都得是那模糊的过程，如果说我是不是得把这个车卖掉了之后去坏指标。
[33:43.930] 不是这种东西，如果说您比方您给我们电了，
[33:48.170] 我们现在就给您越过
[33:50.820] 预约，因为现在异性影响他约过户比较麻烦，只要是预约上了，不管是有没有买主，
[33:56.800] 我们都会给你过户。
[33:58.600] 在一起他说大概得半个月的时间更新出来指标吗差不多。
[34:03.990] 对。
[34:06.240] 因为你想他固定先改的，你看
[34:10.270] 你比方我们一周之内给你约上过户给过了，
[34:13.490] 但是他过完户并不是当天就更新指标，那指标办那边他也得
[34:19.920] 他也得一步一步的更新。
[34:23.320] 大概就是你比方过本市的话，三个工作日基本上有一周了，
[34:27.630] 你好出来一算就得10多块。
[34:30.530] 今天2万行，我大概基本了解了。
[34:35.510] 现在就是说如果这些你都觉得可以的话，
[34:39.310] 我的想法就是你一会儿再看一下我们评估的车子多少钱，然后要是没啥问题的话，你们要先交订金是吗？要求对我觉得
[34:49.330] 这样的话就可以明天我就带我会再来看那个车。
[34:52.440] 我就可以选一个，我们可以直接交吗？没事上明天再见，对我想了解没有，找孩子也选一下看对我看看喜不喜欢运动款的，对，如果要是觉得可以的话，
[35:03.110] 其实我要不然就是的黑色和蓝色。
[35:06.080] 您喜欢
[35:07.840] 马克您是喜欢哪种风格？其实我就觉得黑色太商务了，但是你豪华版的车我实在是别的颜色我都没看中。
[35:14.970] 这就拆了那个我其实不是特别喜欢黑色，但是
[35:19.860] 别的颜色我也没看中，对，但是颜色我觉得我拍不太合适。
[35:24.410] 这个不合适吗？
[35:30.200] 反正也就没想好，所以明天我再来商量一下。
[35:33.550] 后面的
[35:49.390] 你看看这些可以的。
[35:51.340] 我觉得没有问题。
[35:57.320] 是这样。
[35:58.250] 他肯定他不是销售给您的价格，是不是也找领导问的？
[36:04.800] 高兴。
[36:05.640] 人家销售就这么时间了，也因为护士带的这些东西，
[36:11.610] 尤其涉及到人家售后的强，
[36:14.030] 他有
[36:15.750] 这边就必须得果断。
[36:18.450] 你啥时候能问问啥时候给我个结果呢？
[36:21.840] 他反正我觉得如果是他这个电话影响不是特别大才能批。
[36:27.360] 因为说实在的，他没有说
[36:29.310] 那边给您报，也没有说别人这么近，
[36:31.810] 都是开门做生意，也没有说买卖我还推的对，但是说出来我说我给您报完了之后，
[36:38.100] 他肯定是要让人交钱的。
[36:41.470] 那就这样被不信教定金，你可以先去问问，我明天就问。
[36:47.010] 还得当天。
[36:48.520] 你当天去问是吧？
[36:50.500] 行行没事，待会我也跟您交一点，我觉得这个是
[36:54.880] 能申请的，您申请我媳妇特别灵活，行可以，那就你明天再我明天
[37:01.190] 我跟我儿子约个时间。
[37:03.420] 你这不周六过吗？我们俩都来看一下，要没有问题我就交订金。
[37:08.760] 别的其实
[37:10.660] 原来你也跟孩子商量看对，看看分期和不合适是吧？是不是也就这样，还有别的可以优惠的吗什么的。
[37:18.990] 因为说实在的，这样现在价格厂家管的，
[37:22.920] 因为我就这么跟你说，这个价格他已经很优惠了。
[37:26.290] 您看
[37:27.720] 一个10 07+12,000，因为现在基本上都是置换买车，没有指标买，
[37:33.260] 加一个12,000，
[37:34.380] 119,000了，他都12万的优惠了。
[37:37.500] 那车本身就40万，
[37:39.620] 你说是不是给了多少是以前？
[37:46.120] 而且在我不知道你有没有想过了解这个车的配置，
[37:50.280] 有没有跟别的车对比过？
[37:52.120] 我了解过，对，所以要不然我给它选中了这个车，我也没再考虑别的车吗？
[37:56.630] 我其实一开始是看过一些车的，我其实就是想买这个车，对，但是我没有想好4S店吗？我觉得看看哪个店。
[38:04.420] 你看离咱这边邮件收你这有维修吗什么的这种有也有是吧？三岁，但是练习对其实进行离我家更近一些。
[38:13.450] 也方便。
[38:14.410] 然后再有其实你看
[38:16.050] 哪个地方说，你像我们电能通的当天让您提车说别的，
[38:20.040] 肯定不能对那个店确实你要不说我确实是没太了解，30万交给他了，
[38:26.510] 一个月之后提出什么概念，
[38:29.400] 这30万我干啥不行，非得往他那压着，
[38:33.420] 那倒也是的事情。
[38:39.290] 其他的就没有啥了是吧？我能想到的大概就这些了。
[38:47.690] 因为这个东西你确实
[38:49.700] 它的市场商标它也是
[38:52.080] 他就是这么一好久，
[38:55.770] 然后我们能做的就是爱你，只要定好了车，
[38:58.380] 然后手续这边村里的人家理所当然，你想说
[39:01.600] 街道肯定
[39:03.020] 早日同时对现在你们那个程序是什么样的，就是说我先交定金，
[39:08.420] 然后我的车现在放着是不放，先不用说的没对吧？
[39:12.570] 我交上订金到交全款多长时间？
[39:15.240] 比方您看
[39:21.880] 第一步是交定金，
[39:24.620] 订什么？订您的配置颜色这些。
[39:28.180] 配置颜色定好了之后，然后
[39:30.350] 我们要给您安排车辆检测，
[39:32.880] ps解限速，还有车辆和检测大概是
[39:36.980] 第一个工作日。
[39:38.410] 这一个模式，然后女方你比方那时候不管是哪辆车，
[39:43.530] 给您确定好了，
[39:44.720] 到时候如果说3分7，
[39:46.700] 再有一个在我们给你检测车的同时，你就可以把分切了，
[39:51.580] 然后再约一个时间过来交尾款，
[39:56.450] 然后提车，
[39:58.250] 将来可能就可以提车，然后把我的车就油价当天需要办的事开发票不保险
[40:04.760] 办临牌，然后您就OK上路了。
[40:09.220] 然后就车你就留给我们了，后面再安排过户。
[40:12.880] 在这期间你是不需要管的，不管什么的，然后就等那边的办完了之后，我在那上电视的船上还有点开车，
[40:19.760] 还有
[40:21.200] 就全办完之后再验新车是吗？对。
[40:24.800] 得等着您旧车的指标更新出来，
[40:27.620] 咱才能落到您名下，要不然他怎么做没事。
[40:30.720] 是。
[40:32.300] 然后再上牌被验车上牌是吧？对。
[40:36.760] 然后咱俩还有个什么呢？
[40:39.430] 没错。
[40:49.610] 这没啥应该是。
[40:54.190] 那个时间倒也没什么。
[40:59.130] 实际上
[41:02.880] 交完定金可能两三天就可以来提车交钱交全款提车是吧的。
[41:09.010] 是这意思。
