[00:00.000] 到。
[07:35.890] 行。
[07:38.510] 打车都走了。
[07:43.780] 抱着
[07:50.970] 我还看出来了。
[07:53.410] 可能
[07:55.030] 谁知
[07:58.840] 她没事，她这不也都是谁知。
[08:03.350] 看看。
[08:08.450] 三也不是一个跟咱们优惠实际需要道路，
[08:14.630] 但是也
[08:15.840] 后来我也有的。
[08:18.480] 行，我跟您说一下，反正别的方面开着都没啥事。
[08:23.130] 空调刚才我也问了，您说没什么味儿是吧？
[08:26.410] 也没有那里山山校长
[08:29.840] 空小我感觉不感觉吹的风不大，调养模式，
[08:35.990] 他有蹲的地方他都有灰尘的，一般不会如果有灰尘，你肯定能闻到一股土腥味。
[08:43.230] 什么味？土味就是尘土味，说白了咱一
[08:47.580] 衣服I它时间长了她都吐了，你拍衣服能文静的灰尘话没有都不致影响你封小，有可能是模式吧，出风模式，比如说没吹脸光吹搅了，你是感觉正面出来的风小，
[09:00.910] 好像空调去年什么时候好像搞过，有记录的话是在
[09:08.230] 19年的4月应该是4年，对逝去年19年的6月份不是6月份换过，
[09:17.780] 8月份滤芯也换过，19年1 19年初1月份
[09:21.760] 是8月份换的滤芯清了清丰now
[09:25.810] 才刚十一年级。
[09:30.080] 你刚始一年
[09:36.090] 行先这么着。
[09:37.460] 它辛苦的地方。
[09:38.460] 然后您的保养的话不是之前办的套餐卡吗？用完了吗？用完了反正还是办卡合适。
[09:45.510] 还考虑这事吗？
[09:47.090] 要关注的是几次保养一块办，他基础的保养，他打包一块，
[09:55.650] 比较便宜，
[09:57.040] 不要提。
[09:59.600] 您之前办的都是两次的那种
[10:02.010] 就是一次A保一次B宝贝对，反正上一次是半个，对，我知道上次我们跟您说的用完了吗？3万公里的时候3万亿回4万亿回，这不是5万了。
[10:12.920] 按您平时用车的情况可以建议您考虑多一点的，因为多一点含的项目比较多，
[10:21.310] 您比如说4万公里那回是不是自费放着活塞？有印象吧，因为咱车4万公里换火花塞对吧？您之前2万公里就得坏，
[10:30.240] 他现在除了11A1B还有两A宝两个臂膀在手，
[10:36.050] 这个里边是包含一次火花塞，
[10:38.440] 他该听的要换了，不现在不需要，但是你到8万公里的时候还得换罚了问题了，等于说从现在开始，您要如果办一个次数的话，就基本上
[10:48.240] 56 7 8这4回基础保养全都有，
[10:51.880] 都每次需要换过一次6万多一次，74,000 1395万、3.5万，
[10:57.670] 6万、7万到8万，
[11:00.420] 未来这几回都有。
[11:03.710] 而且基本上跟您也许说我真是要交钱交的保养，对，就相当于是您什么您1万2万3万4万做那些东西，56789都有了，一共等于5678+1块7328块钱对。
[11:20.360] 73007320 8000
[11:23.460] 7328四回保险，
[11:26.640] 然后总两个两次多少，两个是3322 3300
[11:32.290] 22 3300 3300，它还不带一火花塞，
[11:38.430] 4次大活塞7300，
[11:40.760] 4时代火花色3楼多一个荷花才花了800块钱，800是800多块钱，
[11:48.490] 8,006,600，
[11:51.870] 你最爱是要多少？
[11:54.040] 7300 7300 6600差不多，
[11:57.740] 而且这个月现在办4次的可以有活动，比如水箱清洗都会免费送点，
[12:03.920] 水箱那块送您两次水扬清血，
[12:07.100] 颜色对着不是挺脏的，因为您车太多，注意水箱每次都得登。
[12:12.300] 我们身边清晰有没有？
[12:14.990] 不清醒没有，但是可以送一个内饰，因为现在一星期也没事。
[12:18.840] 空调因为没什么味，那也不小，而且空调清洗一般的滤芯配套过，您别说我丹青，
[12:24.250] 丹青没什么效果，
[12:25.920] 你担心空调够了，还有我这来休息时间比较长，
[12:32.000] 因为
[12:34.240] 我车子放在那里，单位基本上没怎么开是吧？最近了好长时间天天踩，
[12:41.790] 好吧？
[12:44.380] 反正就跟您提的平台一年大概也就是2万2万块钱左右，
[12:50.020] 差不多你一年至少两次保养，我看一下一年至少两回，
[12:53.840] 所以说基本上两年就用干净。
[12:55.640] 22万多米，对您与其一两两回都办还不知道，然后我这个之外
[13:02.210] 每次都要超过
[13:04.020] 你看我上一次我交了多少钱，我看一下。
[13:07.220] 你上次资费还有一部分，对，因为这个东西是这样，我但是另外花了多少钱，花了3000多块。
[13:14.410] 差不多，因为上次也是听了一下水箱，
[13:18.720] 换了药活塞又换了一刹车油，一会儿再加上油，再加上清水江，这就2000瓦了，
[13:25.420] 应该是家用上午又掏2000块钱，
[13:28.220] 至少要掏2000块钱，
[13:30.130] 但是这些东西这次都不用做
[13:32.440] 了，你上次做完这会做了，你过来就单独做的，他要多少钱？
[13:36.540] 保养单独做，这次要多多要发挥。
[13:40.120] 这次单独做的话差不多A宝加上水箱那块
[13:46.110] 得2000块钱。
[13:47.840] 2000对吧？
[13:49.350] 因为包括你下次必保花费更大，下次必我该放空调滤芯儿，你下次B我又该换空调滤芯了。
[13:56.050] 然后等于我跟你说4次里边空调滤芯都包含，
[14:00.940] 包含一次两次A保2C网什么换机油机滤，我提前给你交钱，反正人家包养也不去，别地儿，你还去别的吗？找你们的现金流没办法，现在一星期前您也理解这事是吧？
[14:16.810] 而且这个也不让您吃亏，确实合适，您每次过来交钱都便宜，要说你想一次以往您交2000，
[14:23.090] 咱就说连上周四回A保就8000块钱，您还卖7300，您说A宝角度来说都少好几百了，您更甭提B宝别往还贵，
[14:31.170] 对吧？
[14:33.930] 我不坑你。
[14:35.700] 这东西早晚用在您车上，一个项目都露不了，完了金水相给你清了。
[14:41.370] 水箱我到时候这样给您清。
[14:43.600] 您这车平时老往哪儿跑，市区还是外边跑什么？就是说你那车平时是市区开还是老往外省市哪，我就很难想到这到这边来从良，乡到市里军方将每天都开始睡觉，这么治疗进行之外，
[15:01.950] 不夸了，去年刚洗过又发
[15:05.040] 了，每天嘉兴路况不好都经过这里，路况不好吗？
[15:08.870] 就是说到良乡那边应该是环境也不差，树多是吧？
[15:13.960] 干嘛茑萝胖我挺的，那地方小区里面众多，然后鸟多知道吧？
[15:22.230] 尿这么着奈的你明白吗？
[15:26.720] 然后我天天早晚上班，然后起飞我也洗的澡，
[15:33.010] 平时洗锅子也少，没时间就洗，不知道基本上你也是白天上班晚上回去，然后白天在上班，完了天早起走，然后晚才回去，就跟两两两点一线时候
[15:47.390] 就跟我们一样上班下班上班去。
[15:50.840] 大家都了NP
[15:55.500] NPVT
[15:58.940] 行，那就把水箱轻轻，然后其他的应该也没啥事，到时候保养过程中开要底盘都给您看看，咱检查
[16:07.610] 是吧？但是我就送你那水箱可不像您花钱做的，您做那不是整个发动机舱都胃清了吗？我送您这只单独把那水箱给你青睐起来。
[16:19.430] 发动机舱我看上回刚做过没什么必要了，
[16:22.350] 送您两次，我到时候写单子上，您甭害怕我给你住，
[16:28.090] 丢不了，而且这东西绑绑车架号，车架号跟身份证号一样，
[16:32.880] 一车就一个都有是吧？等于这回咱就做一简单的A宝就行了，换个机油机就吹了，其他的东西上次也都该弄得都弄号。
[16:42.470] 空调您说没啥事我也不让你做，没什么要明年等着等着下1万了，但是
[16:50.970] 你要是能拉波拉卡拉，最后最后我自己给弄，我去给您弄去没关系，因为什么？咱们直接能
[17:01.230] 这会12:30，我们11:30了，估计得A宝，
[17:05.600] 加以清水清，
[17:07.070] 洗个车差不多得奔着
[17:10.190] 1:30~2:00，最快的1:30~2:00左右，
[17:13.600] 让我们告诉您
[17:15.380] 你是在店里等会还是先没事，我不想怎么着，你们能怎么办？那就在这留着吃个午饭。
[17:22.210] 中午饭到时候给你发三箭，你知道吃5份没有了是吗？
[17:27.000] 行行都没有了，还是就主气囊没有，谢谢辛苦。
[17:33.650] 我这车带湖普查，不好意思辛苦了。
[17:38.040] 再试一下，谢谢这车更惨，这车不知道停哪个果树底下的一车的，你像果果的掉下来干在那车上，
[17:48.990] 这车更不行，您刚才问了没有了的音像订货到了或者再通知你香港，我这边上班肯定公司
[17:58.250] 对故D还好一点，就回家小区老小区那种是吗？露天的都是跟咱这一样，都露天的带小区代表讲述，
[18:07.430] 完了再唠点鸟。
[18:09.630] 你看看然后你看这东西，今天然后我那小区原来还有好多人眼的
[18:17.890] 小区行了，现在好像手动不过可能都全部跑掉了，因为现在好像我记得有一段时间是市政府出面不让咬烂，
[18:29.110] 市政府出面了就不让你养
[18:32.650] 了。
[18:33.600] 行我这没事了，那个手机我能用一下吗？我给您发个传卷使完事我给你打电话，电话刚才也跟您对过了对吧？
[18:40.930] 我通知到时候那个车好了，我电话通知您，
[18:45.190] 完事咱取车再交纳费就行了，完了到时候需要开一份发票，您跟我说一声，
[18:51.310] 或者您填完我一声发票开啥呢？
[18:53.880] 发票开啥，一般发票需要啥公布个人。
[18:59.010] 我传导开发票你要开的话开公司的也行，那开公户开公户你要有信息就行，有那个名称税号就行。
[19:08.740] 开工户咱要那名称税号、公司名还有VR回头那就是对，待会没事，一会您不忙的时候您帮忙问一下都在开。
[19:18.790] 最后完事了我打电话咱再聊开票这是
[19:23.430] 我刚好的这边对咱这都完事了，我再给您开，不着急的事我就提前先跟您说一声，您到时候考虑好了。
[19:32.190] 这手机是134这号是吧？对。
[19:34.980] 1346670087018。
[19:40.260] 餐厅知道在哪吧？后边上保险那。
[19:43.070] 871984。
[19:51.650] 我这边给您注册好了，注册好勒您稍等，他那有一个客单圈，但是现在我还没给您发放到手机上，所以他们没显示。
[20:01.960] 看我发送完了他就显示了。
[20:06.360] 134
[20:08.340] 6670
[20:10.560] 7018。
[20:12.270] 今天是您一位到店。
[20:14.970] 一位到店，因为我发过去了，稍微等会儿。
[20:20.430] 你刷新一下。
[20:22.510] 来了还是扫这？
[20:25.560] 还是跟之前一样的，我想问一下我现在这玩意不了用不了，今天是不是登都登不上，动不动
[20:33.590] 人就请进来了，也不是本身就停了。
[20:38.100] 我们聊聊做是两回
[20:44.050] 后台的问题吗？你就多多质量，不是你手机的问题，也不是车的问题，是后台的问题，后台网络的问题，
[20:51.490] 你可以把它理解成后台网络，
[20:53.600] 帮助行的话，那个东西特别不好，登登一回可麻烦了。
[20:58.700] 11:30~1:30午餐时间，后边
[21:03.240] 有的留名，到时候有啥事能够合成，可以好好给我打电话，您放心，您到时候先吃午饭后编修一会儿好吧？
[21:15.850] 反正我看看你那个单子，
[21:19.820] 到那个地方就
[21:25.860] 的。
[21:27.680] 谁知
[21:28.860] 刚刚我看到了
[21:38.090] 的，
[21:39.840] 基本上就是当时给了
[21:44.840] 了
[21:49.880] 三
[21:53.870] 数据谁知
[21:58.520] 当然
[22:02.160] 那就是上班要比较好。
[22:04.200] 我知道姐稍坐一下好吗？等我一小小会儿，我把刚才先生说登记，
[22:11.730] 中午需要吃午饭再回去吗？
[22:17.240] 马上给您办教授。
[22:20.660] 发票什么的，您先告诉我开啥。
[22:23.910] 个人就行是吧？好勒，我这直接打单子就行。
[22:29.620] 到
[22:36.010] 数据。
