[00:01.620] 坏数据。
[05:44.310] 也没啥，车间里边他那就检查轮胎，刹车片其他的有没有啥，因为你跑的少杀片肯定没问题，轮胎可能就是有点老化。
[05:52.830] 对，他常常做不好都会给你检查，您这个是每次都必须做的事。
[05:59.410] 是他这要倒过来做。
[06:01.220] 对，我给你看一眼。
[06:06.240] 这边刹车油像您每两年换一次，您应该都没放过，对没错。
[06:12.440] 刹车油是480 68。
[06:17.470] 448，然后空调滤芯我不知道您还不放，因为这里边他若包含因为空调滤芯正常是每一年换一次控制2万公里，
[06:25.870] 您的年限超了，但是公里数可能没调，但是您
[06:29.620] 应该是15年的车你也知道对吧？
[06:32.500] 对，1516左右。
[06:34.620] 三四年没放过，虽然开的少，但是这些东西毕竟是给人过滤400多块钱，其实
[06:40.910] 要贵些，人回头不出去，对不到休息把钥匙给我了，然后
[06:46.690] 把钥匙给财务，把这工单给我发的。
[06:51.170] 分红的时候双方在这他们要额外的这一块的话，你不能打折，我这边
[06:58.810] 这边按照套餐这是相当于折上折了。
[07:02.300] 对，套餐边公司要用给你打完针原价是600多，因为都是给你打完折之后的话对。
[07:10.370] 把工期这车了。
[07:11.760] 这是做B保，就是机油机滤空滤，我说的是一个空调类型，就是给人过滤，咱们开空调给工作一声，那个是468。
[07:22.750] 4%百分就挺好的。
[07:26.040] 是对在有个天窗，您这边他不是检查吗？天光可能。
[07:30.150] 了比较脏。
[07:32.150] 这也需要做个清洁，这也是400多块钱，对，然后再就是您的水箱正常清洗水箱是300块钱，但现在有个活动也有就是相对便宜点，水箱和冷凝器外部，
[07:46.390] 再加上一个机舱，一共经营的是580块钱，
[07:50.060] 你要是办这场子这边我会给你
[07:52.700] 把水平赠送一秒，首先迈步进去。
[07:56.040] 一次水箱外部进里面就把都给我送进了哪个就是三项。
[08:03.330] 对，就是水箱冷气机舱弄不了那鸡汤式。
[08:07.880] 他们适用的可能就是啥？
[08:11.400] 只能是给您吹吹，但他洗的话它的料那个东西冲不了。
[08:18.430] 然后像您正常他变速箱油是美
[08:23.730] 4年或6万公里，您跑的少东西在开，
[08:27.540] 他也还是年限到那股指数可能还早。
[08:32.490] 这就看您个人了。
[08:34.460] 因为变速箱油换时间可能也会长，然后费用可能也更高，那三年。
[08:40.950] 任务通讯录也不用了。
[08:42.530] 也换了是吧？
[08:44.510] 你不是说没多少钱，3000多块钱给，
[08:47.970] 就连工带料一共3000多元3000块钱左右。
[08:53.500] 对，他正常是每4年或6万公里年限
[08:56.710] 和公里数，您这不是年限已经超了公里，我这时候到底啥时候买，我很man帮您看一下。
[09:03.830] 大姐您上班7号。
[09:06.600] 您是16年4月1月份生两孩4年多。
[09:11.640] 4年5年。
[09:13.440] 对，正常4年或者是6万公里换变速箱油，我就明年来话明年也行，你说不是行不行？年对，因为您相对说抄一次超过焯焯一下没事，超过半年一年应该没事，对，咱们就先做这么多是吧？型号。
[09:33.250] 你好
[09:38.100] 这次B保是1362，
[09:42.380] 然后您刹车油是448，空调滤芯是468，
[09:48.350] 然后您
[09:50.460] 空调清洗，
[09:53.190] 您开的少就别写了，668的好像比作为清洗咱们是一个
[10:00.370] 机舱正常是500，然后还有个天窗是438，一共是三千两百九六，变速箱油没家里，然后看一下片子要有。
[10:10.570] 南边说一下行。
[10:12.690] 发挥给但是。
[10:16.730] 点这个方法，变速箱油是2523，还有两瓶水系应该2800块钱左右，他这个里边不光他是给您你看一下变速箱油里边，
[10:30.390] 它包含的是变速箱油有磁铁，然后由就失声9升，
[10:36.710] 磁铁有理，螺丝有锂电由绿豆泥，这是一套两家公司一套一流管，所有的一套打完折之后。
[10:44.960] 原来是3500万元不用，谁知。
[10:47.730] 你这个价格是不包括买这个价格是吧？对还要再减。
[10:53.430] 对您在我买完这个以后再减去手法，对减去B宝的价格保价，对。
[10:59.550] 减去B宝的价格，
[11:02.230] 一共是1934，然后你要是买的话，我这个机舱水箱我们因为他这是主要的就把水箱冷气它不影响散热，
[11:12.930] 其他机场可能就是外表干净不干净与否，没啥，主要的把那两个主要的给予清洗，对，然后这可能就是1350，再加上这4360对吧？
[11:25.960] 对应该是5
[11:27.380] 60006000块钱5600多六七百6000左右，然后他这边之四这次这么做了一次弊码，还有两次对两次A保一次B保对基础保养对不对？
[11:38.910] 然后民族后来我把机油做机油，对你下次您做保养的时候把机油话把机油放会变成酱油，好像有对。
[11:48.190] 可以，那就给您做了晶体，然后
[11:53.340] 然后再还大夫古装写的和不要也不行。
[11:58.740] 无论是您选择或者对方选择，假如对方选择有公司规定，他可以做多辆车吗？
[12:06.020] 多辆车才行，就是说超市车以后也行。
[12:10.740] 为什么必须是奔驰，
[12:13.290] 有的是跟车。
[12:15.140] 而且他您
[12:17.190] 就说句难听点，在外面别人给您追，他选择他保险休息，这也算您出险也算就副总经保险，他别人保险这也算是我钱就都出来了，对人家给2500，对就反映2500，然后对他不走你保险，这也经常它只是一年有效期，
[12:37.230] 比如说不好听的话，您出一次险1000块钱就这样，
[12:41.220] 这不要
[12:46.030] 认识再一个
[12:51.520] 这是咱们店里可能要保养手法，也就是给您节省钱。
[12:58.000] 可能在您那不知道疫情以后跑得多，他可能看
[13:03.320] 2A2B是打85折，3A3B是75个，4A4B50一笔，最多是505B就相当于
[13:11.910] 折扣的一半，
[13:13.560] 9000十四万九九千多一次，三九百块钱，他说你越多然后越划算，对就这意思。
[13:20.790] 那几颗谁知话你可以，因为咱那车是1万公里或者一年你没跑1万公里到一年下来需要多少了，
[13:32.630] 要是跑的多的话，可能
[13:35.370] 次数越多可能用的越快。
[13:37.650] 而且您像这10次保养的话是10年，
[13:41.290] 一次就相当于给您一年的有效期，就是说应该搞得少，但一年也需要做了。
[13:48.760] 像84 18年你要搞得多的话还是多，买一点就划算，
[13:54.090] 越多越还这基础是4次吗？40给打了85是
[13:59.150] 当时
[14:02.720] 就按4360843604864 4倍4年被。
[14:08.560] 对，起码这4年少。
[14:10.670] 你要跑得少，4年你要跑的多，有可能一年那就用了，对吧？对这块您个人对
[14:18.640] 那个东西，然后这次还有个礼品就是
[14:28.300] 有一个锅底窗，就那边摆的礼品，到时候最后选一下就行了这样。
[14:34.590] 然后照明是水乡在一个惊喜。
[14:37.820] 鸡汤动不了，对送不了，只能放水箱，因为那机舱他就是除了水箱和冷凝器外，就是地方上面这个词，
[14:45.770] 他这个会给您做个清洁全面清洁，那个是动不了。
[14:58.390] 数据。
[14:59.540] 56。
[15:05.980] 700. 
[15:10.540] 了
[15:12.430] 能
[15:15.830] 5707。
[15:24.410] 两。
[15:27.610] 那么多个。
[15:29.440] 不费劲。
[15:33.230] 然后咱那个时间大概得下午您要的话可能您一会儿
[15:40.830] 在这吃个午餐，然后用这溜达到楼上楼下。
[15:44.800] 场。
[15:47.630] 数据
[15:49.730] 场、
[15:53.970] 场。
[15:57.150] 场。
[15:58.720] 场、
[16:02.320] 场、
[16:07.620] 花。
[16:11.150] 的
[16:16.960] 场
[16:20.020] 数据
[16:22.230] 场。
[16:24.620] 花。
[16:30.410] 能接吗？
[16:41.960] 抱着
[16:44.410] 等太久。
[16:46.900] 打个单子在这儿，因为尚未手续都走完了就给他补一点，没有的我用一下您的驾驶本我身份证有吗？
[16:54.190] 我这咱家的东西变了，我得重新留下信息。
[16:59.550] 咱们先吃饭那行，不用应该不认吗？后面不会真不用，应该
[17:07.670] 尚未手续都给完了，就差个后补一下。
[17:12.970] 电话您在告诉我1380
[17:17.640] 1377777
[17:21.280] 七
[17:26.840] 坏。
[17:32.630] 走走这回到了直接拿钥匙就行了，谢谢没事，一个月左右快点超自恋了，您现在早就出门了。
[17:46.560] 得拿微信扫一出门条
[17:48.460] 了。
[17:54.270] 这个计划好像整个人都复杂出口了。
[17:59.400] 没完，你希望的的被列入，
[18:05.840] 后来不能放在后面，
[18:14.500] 了
[18:21.210] 的
[18:27.550] 的
[18:36.180] 的
[18:37.800] 的
[18:44.960] 场
[18:50.970] 剧场没有
[18:56.590] 稍微等
[19:01.590] 的
[19:05.880] 句
[19:08.720] 的
[19:13.450] 场。
[19:19.270] 场
[19:20.630] 了，
[19:24.760] 先
[19:26.380] 了
[19:27.840] 了
[19:33.940] 句
[19:37.770] 真的是
