[00:00.000] 那是百得利还是奔驰百得利返还利是吧？对着我们的企业微信号
[04:01.980] 没错，还做了一个什么宝宝没做吗？没有。
[04:06.730] 今天你给我说你看我这在你这还有一个什么保养，
[04:10.600] 有张片还有神马？
[04:12.580] 你看一眼。
[04:14.540] 谁知
[04:20.430] 意见给垫上
[04:27.560] 4万公里的时候，您买过一个换机油的保养卡两次的，当时用掉了一次，然后。
[04:37.880] 谁知。
[04:39.440] 当时用了一次B保，前几天在你这买保险的时候，你看看是不是有给送了，先给一半跌到什么时候买的？
[04:47.440] 保险就是前几天是吧？
[04:52.470] 应该就6月份是不是？我做的啥意思？他应该是这样，月初再您的买保险的时候，他会给到您一张卷是不是的？对在您手里。
[05:04.160] 对您看一下有没有卷，只能用的是他也只是一个A保机油机滤的套房子，别的都不包含，比如我刚才说的，比如到4年或6万公里的大保养的，每6万公里做一次，
[05:18.040] 变速箱油、刹车油什么活塞簧农业一带接头张紧轮，然后朋友总结前面街道清洗，这些他都不报6万公里大包，对大宝咱可以把这结合几率用着圈低调，剩下的咱单付费就完了。
[05:32.300] 对，我现在管你59,974号就马上到了，对还差20多块钱，都下了多少钱都得1万多
[05:40.020] 是吧？
[05:46.520] 您看之前的保养记录，如果有的换过了，那就没到期的钱不用换了。
[05:59.630] 你先给我查一下这个事儿，行，保养的事好说不？
[06:05.120] 黄杨也得需要两天，对，关键这个事要我什么，像要么现在让我不踏实开车我明白，当然了变速箱油到6万公里该更换了，对。
[06:17.610] Nana我会单独开一个检查单会让他们做检查，对，当然保养和检查会同步配到一个技师手里头去帮你去做，不再快饱了在检修组了，今天会更丰富，
[06:31.170] 他会保养和检修一块都给您去做。
[06:37.730] 频繁吗？出来这个现象没告诉你，我现在这个车应该是三年多一点点，
[06:43.920] 三次到现在后两次我录下来了，后两次都是发生在今年一次6月二五号，一次7月21号。
[06:54.360] 明白，然后第一次我就说那是在颅骨路，当时也是那时候应该是在一
[07:02.140] 18年，我印象中可能是也是在等红灯，然后红灯变绿灯，我起步起来。
[07:10.300] 然后咱们去车你车上了。
[07:14.800] 发现之后我就重新用大火，
[07:21.880] 那意思，然后微信的话那些草还没在这方面联系，
[07:29.120] 要
[07:30.150] 然后这个是咱们的，然后
[07:33.830] 然后咱们说几十到想来照，然后
[07:41.970] 给他加一点发烧了，
[07:45.280] 然后要休息了，作为收到了在不用啥意思，其实
[07:51.590] 你用这种方法让您从外观，谁知每周一次每周
[07:57.550] 来
[07:59.880] 自己
[08:03.920] 交给上诉。
[08:10.840] 非常的漂亮。
[08:16.160] 桌桌上
[08:18.940] 对交易称互联网文章，
[08:21.340] 然后
[08:22.710] 就可以把赶快show完了，然后你放心看到，
[08:29.230] 然后在休息在
[08:31.180] 我刚才在
[08:34.370] 因为没那么多的朋友，先进的。
[08:38.310] 结果这些反馈也好，留也好，你就看个人。
[08:42.380] 我下车
[08:45.240] 再考虑上。
[08:48.930] 要考虑好了，那就先吃饭。
[08:59.270] 好谢谢。
[09:03.880] 皮带一半，我就是他们一个天空里，你认为一般到我吃的东西我都不用去那种。
[09:12.500] 你要没朋友感觉一般是不这个过程到时候说窗户大哥出来，
[09:19.330] 但是我也发了财报，他这个断裂了，就只能也能启动，对能启动，但是不要驱动的一些东西。
[09:27.970] 没见你用完了，对明天说完就完了，主任。
[09:43.200] 上
[09:47.280] 的。
[09:47.980] 在这个位置
[09:52.470] 前面。
[09:59.990] 的
[10:08.640] 场。
[10:11.040] 数据
[10:12.240] 的
[10:16.160] 相当
[10:32.110] 二
[11:16.100] 的
[11:17.970] 的。
[11:25.320] 我得问一下情况，
[11:51.530] 工号。
[12:04.920] 话
[12:08.640] 道路、
[12:15.290] 场、场、
[12:18.040] 场、
[12:20.800] 场场
[12:23.080] 的
[12:30.790] 数据
[12:32.640] 花。
[12:36.040] 您刚才说的手机号。
[12:49.290] 还是两位，然后你往后毕竟
[12:57.520] 巡演安排。
[13:00.280] 对眼了，然后你直接到保险那边二楼
[13:05.400] 检查想先去吃饭，礼品你一下，然后把打车费咱们你放掉。
[13:13.210] 行。
[13:15.980] 我把检查的开开及时保养，他一块开给他吗？
[13:21.420] 这样的话就一趟全弄完，就看您的其实问题是我的担心。
[13:27.530] 你们那个问题没给我解决完，保养做完了对我来说意义不大，我明白，但是保养已经到期6万了。
[13:33.890] 对，变速箱也是需要保养换油的，对。
[13:38.980] 或者什么。
[13:40.800] 我的诉求，如果你这块查不出毛病，你就把我这两个视频你发给奔驰厂家的技术数码。
[13:49.500] 我明白。
[13:50.540] 是吧行吧，要不然你说你就告诉我保养啥都做完了，但是这个问题没发生什么问题，检测不出来问题，
[13:58.960] 那不是我这次来的目的我明白，所以我是诉求，如果说你给我做保养也行，但是你这块如果那个问题给我解决了，最好如果解决不了，
[14:09.840] 如果
[14:10.770] 上报到
[14:12.060] 奔驰的技术部门，我首先是把这个要发给我们的技师，包括我们的技术部这边，先根据它们这边根据以往经验以及跟奔驰会沟通，是否能处理解决，按照需要他们是否再决定不发送，
[14:28.990] 他们能解决的没必要，我说的前提
[14:32.940] 你们检测出来没有问题的前提下，
[14:36.350] 你就给我发，我没有我会把您这个转给我们的技术不好吧，放心你为他来发，不是我们来我知道，但是我的对我接触到你技术不我接受你，所以我的诉求是什么？
[14:50.170] 你刚才说6万公里可以保养，这没问题可以做过，但是那不是我这次来的目的，我的目的就是什么？如果你给我检测出来，就包括你们技术也参与的情况下，检测不出毛病来，
[15:03.680] 你能不能给我
[15:05.520] 发给奔驰的技术厂家，我会让我们技术部这边他先介入做，做完了如果说他这边差不多问题，我让他发给厂家不叫事儿。
[15:16.520] 没问题，对我是担心什么？
[15:19.350] 说你给我做了一六13招，三五天之后告诉我说查了没有问题，但是比如说你给我说没问题，我从我使用包括发生的这两次以及我拍的视频，
[15:32.310] 肯定是有问题的，并且这种问题对于我来说说我做个假设，我在二环主路上开开，如果突然出现这事了，我速度起不来，然后后边车又高速情况下，势必就有可能发生危险。
[15:46.760] 对吧？明白您说对，所以我就说这个问题是如何的去
[15:52.270] 在你这要是
[15:53.820] 能解决最好，解决不了就给我上报，然后这样我是希望能够跟
[15:59.950] 相关的技术人员，他们能够给我一个看看，能让我放心解释这到底发生了啥问题。
[16:08.410] 对，至于你说的6万公里也好，多少公里也好，检查的检查保养到其实这仅仅就是一个保障，说白了就到哪都能做的一件事情，
[16:18.270] 不是我这次来的主要目的，我明白对。
[16:21.510] 我明白您说的这意思，好了放心那就行，如果能得到说说我就怕别说整完了你
[16:29.500] 一一一给我回复是吧？
[16:32.220] 查了
[16:33.940] 我们的技术部所有也都查了，没有毛病，我就担心说出这样的一个结论，
[16:40.690] 你要告诉我说是哪个有啥问题，我做啥事处理，然后你以后跑了看看还出现不争是吧？
[16:48.070] 别弄的，我说我老他担心去开车，现在我都不敢开，他去
[16:54.720] 开长途我明白，因为我经常开着车敞篷，包括天津石家庄我经常跑，
[17:00.550] 现在我不敢开这个车，我就怕万一路上扔了那块。
[17:05.820] 我明白之前别的类似现象
[17:09.040] 也都是人
[17:10.830] 北京接车多了比较背后像您说比如突然给上游了，你歇会儿同意调车，就这个号对，
[17:19.510] 并且特别系统重启来自从你们这早就出现这种情况，连电脑里都没有
[17:26.450] 故障。
[17:28.070] 上次你们说查电脑里就是一一检查，正常来讲说我
[17:34.570] 汽车电脑里面应该留存用户上门，结果一查啥也没有，这个也正常，这车多了这个也正常，你就现在修车都靠电脑，
[17:44.920] 没电脑不行，
[17:46.160] 当电脑不是万能的，有些东西电脑是没有能力的，
[17:51.930] 反正我的诉求我应也说清楚明白，我听的也很清楚没问题，我就先帮您做检查，检查完故障保养您要做我就给您做着怎么都行，行就是你的
[18:05.200] 微信号有你的手机，刚才你给我打的就是你的个人手机的，我就。
[18:13.820] 因为现在前面排队车也比较多，所以谁知
[18:21.490] 他们就说今天车多，我说没事，我说我今天来我就没指望说你们当天就能给我查出来。
[18:28.360] 这个就是你手机号是吧？是的，对1380360的行行。
[18:34.170] 这样的话我们相当于要把这个东西发给你们，以官方的
[18:38.540] 这个渠道发给你们了，要不然我这老任说有的时候说说不明白。
[18:44.240] 对。
[18:45.780] 31号。
[18:48.960] 那还需要我这什么稍等，我给你拿个提车单好好你看呢？
[18:53.650] 两个平台还没有，我看都明天了，后面的。
[18:59.040] 看到了，毕竟没有看到的。
[19:02.700] 大家
[19:05.830] 可以。
[19:13.960] 我不知道这个就是抖音上的号是奔驰的官方号吗？
[19:20.010] 因为我把这俩视频发给这个号了，但是没有人没有反应。
[19:28.510] 我刚才我那帮
[19:29.860] 有回报。
[19:32.700] 您好，我怎么样？稍等，再抽一下多少来着这？
[19:38.370] 你看梅赛德斯奔驰是他你看
[19:43.910] 这是6月6号，我把刚才发给你的视频发给他了，
[19:49.240] 然后看看。
[19:52.230] 你好。
[19:54.200] 没你说。
[19:59.540] 到货了。
[20:01.920] 不对是吧？行。
[20:03.770] 刚才宋振纹
[20:05.840] 电脑保养也不行，
[20:08.460] 都不好经济。
[20:09.580] 好我知道，行，我问杨勇用哪像？
[20:13.220] 行好勒，办了就别玩了，行，好了行行。
[20:20.610] 行行，要不你过来一趟，我这找客人我过不去，我给你打出来你拿走好吗？
[20:25.850] 你来一趟你好勒好好。
[20:33.000] 你看这事叫梅赛德斯奔驰。
[20:35.570] 我第一次我发生那个时候我发给他们了，然后首先这样这什么号？
[20:42.020] 就跟叫抖音，老鹰队不首先这样，任何一个个人我都背起叫梅赛德斯奔驰整个奔驰标知道他不是官方号，有可能这不是汽车部门，你看就这种官方账号，所以不知道是不是
[21:00.690] 经过他等于要认证，有可能是
[21:04.080] 是吧？有可能是然后我发给她，但是没有反应了，当时我也是抱着试试看看看他的，但是你看着走进只是一个娱乐平台，有些是娱乐，但是你在这对于他们来讲，这不是娱乐的事，你看他们只是个娱乐平台，现在大家都凑热闹，他也给你发个残卷，要不先吃饭去，
[21:24.600] 在吃饭好吧？好，他也写说是会被平台记录，所以我只是记录这成千上万稍等。
[21:34.600] 您手机微信登录一下北京百得利集团微信公众号，我给您在里面发三卷。
[21:41.960] 北京百得利集团。
[21:46.470] 变成
[21:54.720] 因为一般人都
[22:01.400] 银行
[22:03.000] 的。
[22:04.900] 资金分次还是？
[22:07.530] 北京百得利集团好。
[22:09.320] 对。
[22:10.740] 去
[22:14.920] 才上来
[22:18.240] 远
[22:21.410] 数据。
[22:22.260] 数据、
[22:27.980] 想
[22:30.080] 上面
[22:36.560] 谁知。
[22:38.210] 三。
[22:40.080] 的
[22:49.160] 了
[22:50.610] 远
[22:53.680] 产品
[22:57.250] 情况
[23:02.660] 的
[23:05.160] 的
[23:13.670] 奔驰、
[23:16.300] 习惯去检查、
[23:18.790] 检查，
[23:20.920] 这是第三次的状态。
[23:27.990] 没有了客户关注。
[23:30.350] 您登陆成功了，然后。
[23:32.160] 行了，我给您发三箭，您手机号多少？1380138010100。
[23:39.000] 031423，您几位是吧？
[23:43.270] 一位，好了，看着开始看，我给您发过去了，你看有收到吗？
[23:54.090] 4年才这2万块。
[23:58.260] 的
[24:02.730] 他说我都谈不上。
[24:05.350] 返回一下有了吧，点一下进去点一下，行这个码给餐厅服务员扫一下，已经开餐了，你先去吃饭。
[24:12.260] 好勒，人家吃饭你这块出来了，你在这儿等会再弄，你甭管你帮我给你弄刚才那条路空调了吗？
[24:19.430] 还有我给你发那俩是不是7月21号？
[24:24.740] 是我停到路边了，重新关车着车就跑了。
[24:30.570] 第一次6月5号那次好像是还没有什么
[24:34.300] 洗洗熄火，走在这之后他就又好了。
[24:52.230] 走。
[24:54.630] 一。
[25:04.390] 数据、
[25:05.600] 坏数据
[25:11.820] 了。
[25:14.200] 的
[25:17.130] 花。
[25:22.670] 要
[25:25.800] 数据
[25:34.880] 的
[25:36.350] 吗？
[25:37.830] 去年工作。
[25:39.360] 到怎么说我忘了我那个朋友说的，他油门踏板什么连线和属于机械问题，电脑
[25:50.370] 没有有可能不存，这个不让你了，对。
[25:55.390] 这是有可能的，以前也遇到过。
[26:00.370] 所以说其实可能并不是太大的问题，但是只是故障的表现让你觉得很难受，对。
[26:08.830] 用。
[26:09.660] 有可能把那个线如果要是真是那样的问题擦减了可能就好了。
[26:14.750] 没错。
[26:16.020] 也许有的是有的，他都从外观看，这没有任何问题，咱们内部的插头它有可能存在接触不良，
[26:30.900] 能
[26:32.590] 刚
[26:35.310] 因为眼疾时看到的这几项，包括
[26:39.360] 放鸡脏得清洗，包括前轮轮胎磨损比后轮严重不少，建议要做更换轮胎的，
[26:47.440] 还有前轮的刹车盘片的，
[26:49.540] 还有咱车身上这些小难免
[27:31.790] 谁给您打的？
[27:34.510] 多长时间以前有手机号吗？
[27:37.230] 座机是吗？
[27:38.860] 你看看做你看刚接的电话号码。
[27:42.720] 什么朋友肯定保养，不是两年那首延保。
[27:50.210] 手。
[27:51.150] 知道你打电话了吗？
[27:54.200] 的
[27:56.120] 的
[28:09.150] 场
[28:14.250] 坏
[28:15.800] 场
[28:27.120] 数据。
[28:44.870] 第
[29:27.430] 给您拿一个你知道。
[29:28.730] 上面写上我电话了，谁知
[29:35.920] 先检查进展咱们电话联系。
[29:41.890] 的。
[29:46.530] 用。
[30:00.810] 你这有啥进展你给我打电话对。
[30:04.090] 有人介绍我给你打电话好吧？
[30:06.720] 到了
[30:10.200] 看
[30:14.530] 车里没什么贵重物品或者用的东西。
[30:17.090] 现在。
[30:23.760] 可以。
[30:26.120] 要拿吗？要不要进那小区，你先拿一下你。
[30:30.320] 数据
[30:32.240] 的
[30:38.640] 的。
[30:43.940] 参加连水都不供应了，
[32:12.910] 数据、
[32:14.860] 坏数据、
[32:26.730] 的
[32:27.720] 6。
[32:36.560] 三
[32:42.880] 是吗？
[32:44.010] 了吗？月给
[32:48.060] 我这上班他不告诉他他越来越多。
[32:51.860] 这一上午他妈拿一条条都没有，
[32:54.960] 你这几天怎么也不够白纸给你，你要说他差几条也行。
[32:59.770] 20条，我说我要5条了。
[33:02.120] 我上午条几条了？
[33:04.420] 你猜5条差不多，你他5条差15条。
[33:07.820] 还有没有？我说我也因为想你。
[33:11.480] 你报给你收了，你送来送去，
[33:14.780] 我怎么给他弄100一100一条，你说你。
[33:17.540] 这400块钱都已经送你还配备了。
[33:20.360] 我得弄够了，你打算给我没打。
[33:24.360] 来120块钱了了，有没有药联用？
[33:28.610] 不再等等，说过跟他接近是吧？
[33:31.960] 他时间长了，
[33:33.390] OK有没有旁边有没有先过来再说。
[33:41.440] 你先弄够，然后我在一块收。
[33:44.670] 因为你差的找我差不多。
[33:46.550] 你看看。
[33:48.500] 你看怎么样？
[33:49.560] 我现在我都
[33:51.130] 谁知
[33:53.530] 快乐等一下这个东西要前进。
[34:09.010] 还有他
[34:10.360] 换了首先一般都是一个融合话，如果忙完那时候我就帮他来，
[34:18.200] 来了我为什么要说1367没有别忘。
[34:29.310] 超级等到28号是吧？
[34:36.450] 市场
[34:47.330] 上。
[34:58.160] 场
[34:58.880] 15。
[34:59.900] 五。
[35:01.410] 可以是你那15我这15个。
[35:09.110] 和谐。
[35:12.880] 尽调好
[35:19.300] 我这条定条胎，
[35:20.840] 这些车又来一条胎。
[35:23.760] 一条单有一条单着车，
[35:26.540] 这时候。
[35:27.490] 话。
[35:29.460] 万确认话。
[35:31.040] 你要转到我这吗？行行。
[35:34.030] 无所谓，啥时候啥，现在你拆单
[35:37.790] 车我这保养完了，
[35:39.870] 他同意换胎了。
[35:42.300] 有吗？
[35:45.250] 定
[35:46.350] 得订货。
[35:47.790] 然后掉。
[35:49.050] 订货先吃饭，吃完饭下午再说吃饭。
[35:52.360] 什么车我看看。
[35:54.980] 然后我再。
[36:00.460] 吃饭。
[36:18.500] 不谈领导节目安排，
[36:21.500] 发展
[36:24.800] 28,000。
[36:28.090] 2万我都谈完了，明天数据出来不出来了。
[36:39.560] 也就是说
[36:40.580] 下礼拜又给我发发微信的不会出去了。
[36:43.510] 远场
[36:45.170] 场、场、
[36:52.060] 场。
[36:53.350] 数据
[36:55.510] 的
[36:58.460] 场
[37:01.880] 场
[37:05.250] 场
[37:08.310] 的
[37:09.020] 的
[37:09.930] 的
[37:12.450] 把
[37:13.750] 如果
[37:19.530] 西方
[37:22.960] 所以
[37:49.440] 然后又或者他叮咛一下。
[37:53.760] 下一个就扎一钉子也圃露气
[37:57.670] 又厚了，为什么？
[38:01.030] 反正不管咱这没人才只能换，可能不能太问题，外边有他的
[38:07.340] 一下就行了，6除了诱惑就没有别的没事，对99的位置要是
[38:15.150] 换的话是怎么
[38:17.100] 咋停车不用，你这次面再换张照片不用换没事。
[38:21.550] 对。我给您录出门您直接。
[38:25.910] 但是银行那边我知道
[38:30.910] 马路销售手段收购
[38:37.100] 或是工业
[38:42.640] 我让你说你们中我发现
[38:47.400] 我还真看没有，
[38:49.110] 谁知
[38:51.610] 谁知
[38:53.810] 对一定范围内完了
[38:56.880] 了。
[38:58.610] 油漆厂家。
[39:04.400] 你这边心脏吗？山上。
[39:07.080] 谁知
[39:10.710] 拉菲是
[39:12.380] 一大早。
[39:43.070] 那么大概明天下午
[39:44.970] 你们三个左右没死点，
[39:46.870] 你说这么大和你给我出来
[39:55.790] 也有特别
[39:57.290] 大家都满满的特别
[40:18.730] 知道有点。
[40:19.790] 我约了开会，
[40:22.440] 都两以上。
[40:31.720] 不着急也可以。
[40:33.880] 约的约束他们有任务。
[40:47.350] 的
[41:51.280] 为。
[41:52.750] 的
[41:54.590] 的。
[41:56.500] 二
[41:59.730] 的。
[42:20.150] 花。
[42:21.260] 的。
[42:26.140] 网络。
[42:41.840] 的
[43:09.960] 你行了。
[43:10.830] 对吧？
[43:13.040] 感觉
[43:13.880] 是吧？
[43:22.790] 我们叫昨天下我们说的。
[43:25.810] 后面
[43:45.870] 这些行业
[43:48.090] 光明
[43:49.100] 3月
[44:47.600] 的。
[44:52.420] 办法
[44:56.250] 完毕
[45:02.120] 句
[45:15.290] 五
[45:17.020] 场
[45:19.520] 远。
[45:20.440] 远
[45:22.810] 场
[45:30.470] 的
[45:31.780] 五
[45:37.920] 花。
[46:06.370] 这来了没？
[46:08.540] 在弄。
[46:12.230] 好像
[46:13.150] 后面
[46:14.760] 后
[46:17.240] 中。
[46:42.440] 怎么约出来玩？
[46:45.860] 自己发给
[46:50.050] 刚才远远的
[47:20.430] 其实
[47:21.390] 我先上应该到了感觉
[47:25.650] 的。
[47:26.400] 我在汽车站套牌，我都是这样。
[47:29.670] 当年
[47:31.840] 谁知
[47:33.990] 好领导，
[47:35.470] 谁知
[47:37.830] 谁知
[47:40.380] 谁知
[47:42.970] 昨天这么并不
[47:45.440] 下面的文章的。
[47:47.580] 一路湖南台的话就把上次订的给你留了吗？接着直接用。
[47:52.140] 是一样吗？一下水平205以外是吧？
[47:57.130] 谁不用看肯定都一样。
[47:58.950] Vcd的可能不一样，普通，谁知
[48:06.730] 的。
[48:10.410] 3 C 63 mg. 
[48:21.030] 的
[48:24.810] 七
[48:36.730] 三
[48:41.030] 数据。
[48:44.000] 场
[48:47.350] 打印。
[48:51.630] 几
[49:02.680] 数据。
[49:10.230] 数据。
[49:13.250] 你就先发字，然后再从这边。
[49:15.570] 我一会就好了。
[49:23.690] 上午
[49:48.120] 我刚才跟你说了在
[49:49.360] 10点多不好玩了。
[49:53.180] 不想接完了。
[49:54.320] 这里你好，我微信信号不好，你给我发微信了。
[50:03.510] 三
[50:04.220] 咱们
[50:09.630] 下面
[50:11.290] 反正干部监督
[50:13.370] 人
[50:16.130] 到
[50:23.680] 对股价的都一样签了。
[50:27.240] 打完以后再负责为在一边有一个胎压复位，在乎价位就行了。
[50:34.790] 不用
[50:36.830] 好。
[50:46.000] 要是找着都记不清，我说怎么了，我说他们搁钥匙他拿走了，
[50:50.460] 他给他走了，然后给谁了？给他接了，他还没接完了开，他没接，我说我找不到钥匙了，我说你怎么着，我印象这么说了，就搁着拨打了就没了。
[51:01.180] 你说这么着我这40这
[51:05.040] 呵呵。
[51:06.880] 吃饭不行。
[51:08.840] 小老师吃饭去吗？
[51:10.360] 看看你再说。
[51:11.800] 慢慢。
[51:16.450] 今天
[51:17.790] 吃饭。
[51:21.690] 如果不然我给你发的。
[51:25.640] 你都到那里都出来了。
[51:35.540] 要说
[52:34.770] 这就吃饭的时候。
[55:18.530] 一块
[55:21.390] 第
[55:30.110] 说。
[55:36.000] 场
[55:41.850] 数据。
[55:47.130] 数据
[55:49.740] 七
[55:55.240] 一
[56:00.430] 五
[56:05.030] 上
[56:11.720] 10。
[56:15.320] 所以说
[56:21.940] 远远
[56:27.840] 非常
[56:34.170] 了
[56:39.650] 了。
[56:41.710] 然后在
[56:43.140] 上面
[56:44.420] 七八年我们这边
[56:53.860] 好
[56:57.460] 谁知
[57:00.560] 制度
[57:01.920] 因为我过来
[57:06.740] 发展起来，你二号对最后
[57:13.870] 收入。
[57:26.410] 可能
[57:28.020] 大汉
[57:31.950] 后来
[57:36.050] 有事
[57:37.170] 借一个自费的操作，然后把
[57:45.120] 当然算了。
[57:53.700] 你先把
[58:04.070] 电话
[58:07.520] 请教应该也快了要
[58:11.690] 的。
[58:12.720] 咱也不干
[58:18.470] 的。
[58:20.030] 数据
[58:25.600] 场
[58:27.690] 数据
[58:31.720] 坏数据，
[58:36.340] 场
[58:39.440] 场
[58:41.170] 坏
[58:44.760] 场。
[58:45.350] 场
[58:51.030] 数据。
[58:53.860] 坏。
[58:56.280] 数据、
[58:57.210] 数据、
[58:59.690] 的
[59:07.980] 数据。
[59:09.040] 场
[59:35.230] 来。
[59:36.360] 好了。
[59:38.060] 保养好了。
[59:39.270] 他这里帮您看了一下，没什么事，暂时他也没事说有事了，就
[59:44.990] 在当时1000公里的时候
[59:47.800] 跑一趟长途，明白，那个时候像以前感觉这样没什么声音，对没什么事，等入秋或者你听有声，最近一直有事的时候，您过来帮您取个证。
[60:00.590] 行行，给厂家发报告可以换的。
[60:17.780] 报喜喜的外形。
[60:19.720] 好的好。
[60:20.610] 这怎么从这儿
[60:22.280] 看一下，然后有白头发。
[60:24.640] 不换一条。
[60:26.690] 前轮的哪条类的？
[60:28.550] 管前轮的。
[60:31.320] 你看下型号订货应该我记得应该1890多。
[61:08.250] 的
[61:09.640] 号。
[61:26.370] 的。
[63:16.360] 什么调？
[63:17.450] 京N2，SS36。
[63:22.350] 好。
[63:40.680] 车的西装洗完了，我就给您开过来。
[63:43.240] 好好吧好。
[64:26.690] 坏数据。
[64:28.460] 花
[64:29.470] 的。
[64:38.090] 的
[64:41.580] 一
[64:44.270] 五
[64:55.110] 的
[64:58.930] 的
[65:00.120] 场
[65:02.970] 远场。
[65:05.790] 数据。
[65:38.160] 数据
[65:39.080] 数据。
[65:43.890] 场
[65:46.570] 的。
[66:28.560] 的
[66:30.330] 场。
[66:34.180] 也。
[66:36.760] 的
[67:29.720] 远远
[67:32.900] 场
[67:34.950] 场、
[67:40.790] 场
[67:42.040] 数据
[67:47.580] 的
[67:53.710] 场。
[67:58.360] 数据。
[68:08.910] 坏数据。
[68:11.320] 过来。
[68:47.760] 书法
[68:48.710] 数据、
[68:52.710] 场
[68:54.020] 数据
[68:56.780] 远远
[68:59.240] 场
[69:01.730] 坏数据。
[69:05.170] 场
[69:13.050] 场。
[69:20.400] 号。
[69:24.000] 数据
[69:43.560] 6
[69:46.030] 对
[69:47.260] 的。
[69:49.860] 了
[69:56.570] 的
[70:17.880] 不是预约的相互寻找了，
[70:25.240] 的
[70:33.720] 数据。
[70:40.590] 坏数据。
[70:49.050] 6. 
[70:52.040] 数据。
[70:53.220] 数据、
[71:00.500] 数据
[71:01.890] 数据、
[71:02.880] 数据、
[71:23.870] 接不接没啥意义了。
[71:27.180] 的
[71:29.000] 要
[71:34.900] 那天
[71:38.670] 咱们
[71:40.930] 他的
[71:45.060] 能不能确定？
[71:51.480] 把。
[71:52.310] 的。
[71:53.100] 技术
[71:55.070] 的
[72:02.710] 花
[72:24.290] 坏、
[72:25.090] 花、
[72:27.830] 坏、
[72:29.440] 坏
[72:31.930] 远
[72:37.650] 数据
[72:40.250] 号、
[72:42.310] 坏数据
[72:48.120] 数据
[72:52.230] 号
[72:58.720] 花
[73:13.040] 万。
[73:18.270] 因为
[73:29.130] 场
[73:30.650] 花
[73:38.140] 的
[73:41.900] 的
[73:45.690] 花
[73:47.640] 场。
[73:50.820] 场。
[73:54.650] 的
[73:55.910] 句。
[74:01.210] 数据、
[74:02.820] 谁知。
[74:03.790] 二。
[74:12.040] 的
[74:24.810] 确实
[74:28.160] 你说能我跟你
[74:34.790] 要规定
[74:44.900] 对。
[74:45.760] 我这边真没有文章。
[74:51.630] 你发你的你后面的
[74:54.780] 数据。
[74:57.340] 数据。
[74:58.810] 的
[75:00.730] 的。
[75:02.750] 的。
[75:10.790] 的
[75:12.120] 的
[75:19.390] 数据
[75:23.690] 句
[75:25.120] 数据
[75:28.070] 活不好干。
[75:30.960] 几
[75:34.140] 差不多
[75:39.190] 到我这遇到过。
[75:40.620] 没有单位上班同时。
[75:46.150] 然后三个多月。
[75:47.770] 所以我着急得很正常，每个人没有几个起火，不能说对一定。
[75:54.150] 什么到位？你这话到位跟标准的问题。
