[00:00.860] 您好你好，请问您。
[06:50.100] 5万公里左右月份，
[06:53.440] 在9月份正好6年，
[06:55.670] 你还上了有时间上了，
[06:58.500] 完了还得跳跃了，不用退你就直接不可能整理了，能退不是你转不了谁
[07:05.890] 的周朝红有也我看他能
[07:09.930] 现在能卖多少钱才能算。
[07:12.140] 我给您问一下二手车我给你问一下，我我在这里稍等一下。
[07:37.110] 我那有个退货是
[07:39.840] S60到今年9月份5年6年到今年9月份6年，
[07:45.670] 我能当家能值多少钱，也就开了有5万公里。
[07:49.430] 年6月14款好像是4块，他对到今年9月份是6年往前推，6年是14年。
[07:59.110] 对，就14年一
[08:00.720] 年应该
[08:02.580] 5万多块钱，
[08:04.480] 9万多块钱，我就跟他说，
[08:06.610] 应该是常识不超时是吧？不诚实应该是估计不大。
[08:10.780] 1.4特别好的话，
[08:12.790] 整天应该也就应该实在
[08:15.050] 还有打开文件稍微稀一点的，你说10万。
[08:17.940] 101010万来块钱，对，还有一个他这置换的话是
[08:23.130] 政府补贴多少钱，他想置换查，
[08:25.770] 我全是150叉，C60它是四灵都一样，对。
[08:29.480] 没错行，我跟他说一下好了。
[08:37.090] 这在哪？
[08:42.910] 啥我妈知道你在哪车贷，我待会我问了一下，然后我就问个大概您年头的车基本上都在10来万块钱左右，
[08:53.000] 才十百万30来万，
[08:55.370] 人家10来万11万，19万多少，不101010万多点，可能也这样。
[09:01.710] 然后置换补贴的话是15,000，还有15,000的置换补贴，产品置换。
[09:11.050] 具体他们还是得看车。
[09:13.920] 你现在这一部分
[09:31.800] 手术
[09:41.520] 的
[09:44.900] 远远
[09:48.420] 三年
[09:51.240] 36期65 60%是21万。
[09:57.920] 说16万。
[10:01.310] 16万这是根据什么定？
[10:03.820] 50% 50%。
[10:06.150] 这不是16了，那么多了。
[10:08.740] 我们那50米按现在的价格按318,800算的，按指导价算的。
[10:15.970] 按实际的价格比这个时间时候月还多少，对都少一些。
[10:23.740] 大家
[10:25.270] 我先看行，好了，有问题随时
[10:28.700] 旧车给的太少了，老师买完了，
[10:33.580] 开个四五年这车给的更少。
[10:36.340] 莫若保值率太低。
[10:42.180] 品牌就是它还有。
