[00:00.000] 对吗？
[11:39.140] 两人抢一个车位，
[11:41.150] 非车辆交给谁，不是说谁家出嫁妆，客户俩要这么干，不允许。
[11:47.050] 有时两人同时标的车，但是怎么说就看谁先做出盒子了，就一个先做，另一个不服气，
[11:53.230] 那就跟着户两人就抬杠，看谁就是咱俩他们给情况就撤回去了。
[11:58.050] 后来领导出纳不允许后边给你订，下午就
[12:01.120] 也可以这样。
[12:02.750] 但是两人都买装饰的，不是。
[12:04.740] 这种车它们my53那种豪车可能贴车衣什么那些知道卖多少钱呢？
[12:09.760] 差不多5万块钱五百十万就这么干。
[12:12.720] 就得押一口还是没掉进。
[12:15.040] 而且咱们这车先给您介绍一下功能的话，咱们悬架都采取攻击原价，舒适性非常高的，
[12:20.730] 频繁区压力顶着不规则路段，保证咱们的室内不会有很大颠簸感，它前后都是独立的情况，
[12:26.600] 是吧？这就是竞争了。
[12:28.470] 对。
[12:29.470] 能拐过去没事等辅助中国。
[12:32.930] 果只有这种对。
[12:35.730] 包括转向了才能直接转向，便于咱们大方的时候，首先我们就转向，
[12:40.120] 直接转向你看打方向盘咱们正常需要拐弯话，基基本上打一圈捉，这是3000以上。
[12:45.060] 盘面基本搬迁都能崴过来，说4号乘用车大很多，
[12:48.680] 对3.0T达到这种排量的直列6缸拿的怎么说正常动力的话绝对不会缺，其实很多的
[12:55.190] 没法抵押权井盖，我这边会有颠簸感，那边就不会那么强，他就是独立的一个榴莲，其他几个轮
[13:01.910] 晚上
[13:05.920] 正常价格适中。
[13:08.010] 他不是那是装置。
[13:10.580] 正常的话这车咱们有5种驾驶模式，他这有一个图片，
[13:14.520] 屏幕上每次显示C就是造车模式的舒适模式，
[13:17.860] 这堵车路况车那么顺畅，咱们往下翻，
[13:20.670] 和显示节能模式全部让我现实意义就动力会有收车了。
[13:24.250] 我脑子会更频繁，不至于说咱们走走停停的来回的增压费油，
[13:28.700] 从而节省油耗，而且这车这个意义适合在城市里离开，然后就游行，早晚高峰堵车的时候用月份再也跑不起来。
[13:36.120] 动力首歌有首歌，反正咱从世界上有吗？
[13:38.790] 好，比如说咱们去一些不规则路段，
[13:42.070] 比如说去山里玩去什么的，可以调到越野模式，调到最下边，你看看地方和资源集成扭曲变大了，每天感觉车就
[13:49.240] 变的就是
[13:50.840] 他的
[13:51.720] 功率可调上来，但是从nb调到最大化，
[13:54.890] 就避免了他
[13:57.230] 在轮胎打滑保护跟乐乐状态吃不上劲，这车是已经升到最高了现在。
[14:02.300] 比如说咱们现在往上调到运动模式的话，
[14:05.640] 运动模式可以在提供咱们正常行驶广告需要激烈驾驶这种
[14:10.890] 会有很强的推背感在运动的，往上的话是个性化，个性化就是跑长途用比较合适。
[14:16.680] 根据咱们驾驶员驾驶自己的习惯，
[14:19.100] 它可以达到一个正常自己
[14:22.100] 电脑分配动力，根据咱们驾驶员您开的这种大方向的幅度，包括踩油门软硬深浅程度，它会电脑分配，
[14:30.370] 根据您的驾驶习惯来支持用力，
[14:32.880] 另一种疯狂这是个性化的，看看咱们正常条道运动的话，明显感觉就高专色就没有很长推背感的存在，他之间有的那种别的车队，
[14:43.110] 它比正常速度要快很多，而且这车带了40 80倍，既清纯
[14:47.420] 让咱们踩油门，你看他这边会定出一个灰色的调整，他们的燃油消耗，
[14:51.890] 像手游或者踩刹车的话，可能就是绿色，这就证明在进入店里修复，
[14:56.500] 从而节省油耗。
[14:57.770] 正常看就是出示摩丝，职场开的实名多少个流程，
[15:01.740] 平均的话就算堵车，咱们大概在12楼左右。
[15:04.770] 那是比上一条街有吧？对，因为他主要在这低了，还有一点什么，现在普遍的全都设计比较好，装绿色这些。
[15:11.990] 升油。
[15:13.270] 因为你像以前的威力它都变成直流了，
[15:16.610] 所以违约的时候，
[15:18.360] 规律的为6的分，怎么说它是两种变形，这6呢？
[15:22.660] 现在10个地方之6的首先一点，
[15:24.990] 它的动力输出功能更快乐，
[15:26.860] 直接直列6缸，因为一根只能带动整个的流程上下来回走，他的行程没有那么长了。
[15:32.810] A6，首先我说这个事最高配吗这种他这是时尚的，最高非常豪华的，
[15:38.760] 像这态度显示是选装的，正常车都不带了。
[15:41.840] 一辆车配件吗？怎么说现在都给关了。
[15:45.410] 有时候时驾驶上回，然后危险事儿是不是责任看着晕，
[15:50.540] 有的人确实不习惯这个东西，
[15:53.060] 你现在能打开，我看一下每个人开通形式，
[15:56.870] 一会我坐副驾上给你调。
[16:01.730] 这个影像现在国内支持吗？
[16:03.800] 对，柏林之声在银色外壳都是玻璃支撑的一样，他现在83 24万吨蒸汽都是对。
[16:12.200] 因为他俩就是两种包围，一个跳动了一个狡猾的那叫时尚，其他的是一样的。
[16:18.250] 因为它主要是前后杠长的不一样。
[16:24.790] 你看现在咱流出卖车用到的7档初始模式，所以说他更深厚。
[16:29.350] 因为车现在都是9速的这种9个
[16:32.830] 客场对阵，
[16:34.280] 一般咱们跑城市基本用到其他人都到头了。
[16:37.200] 然后像跑高速的话能用到9个大，
[16:41.310] 党委要告诉商业化，
[16:45.450] 它那个产品不是什么八马茶或者什么。
[16:48.550] 星空主要不是
[16:50.550] 那种的话，你得后
[16:55.470] 炒股也不是每个配置都是系统，
[16:57.920] 还得鼎沸，
[17:00.320] 然后他损失85 85的，
[17:03.020] 他得选壮实的。
[17:10.150] 平常咱们这车的话怎么做宝马奔驰两种风格，看您喜欢哪种，可能那时候还能迈开。
[17:18.670] 有人觉得奔驰牌子要
[17:20.760] 高感觉长远，对，因为那是出来号码分值已经做到极致了
[17:25.720] 了。
[17:38.720] 你系好安全带，调解一下座机光盘还有不？
[17:47.610] 还在过去。
[17:48.520] 在直接然后前面左转进入。
[17:51.040] 你在挂着
[17:52.550] 注意往前撞在
[17:54.600] 这房子就行，我在这边对。
[17:57.230] 我去生的话他在下边就行。
[18:01.510] 这开啥车挂到？
[18:04.800] OK，
[18:07.000] 对方山坡大很多，你看你打很多车下拍的特别多，
[18:11.010] 他就着离门比较轻，
[18:13.480] 多节的课程，
[18:15.110] 我没了那么多直接是吧？
[18:16.880] 您这么说奔驰油门刹车多，杰的您菜每一节都不同踩到，比如第二节的话，
[18:22.810] 他的车速直接，然后他起来之后你再往下谈，他推背感持续有了，现在有时候舒适不行。
[18:28.930] C吗？这就是同时每次找出默认都是同时他的进度，
[18:33.810] 本质的一个梅赛德斯me的功能可以达到正常，咱们在行驶过程中随意切换导航的
[18:39.720] 这个位置，包括
[18:41.400] 他们可以直接人工客服一对一的对话，酒店预订集团里面都会有，对。
[18:46.060] 而且屏幕可以手动去点，他可以在帮忙控制，基本上给富家成功了。
[18:51.140] 对，说12.3寸的连屏实际上统计效果非常
[18:57.920] 咱别差不多了。
[19:00.570] 不对？
[19:01.320] 这个事情了。
[19:03.890] 园区咱们开的话，它是限速是正常二白色的怎么杀？这就叫地图里边显示吗？
[19:10.850] 这条道限速多少上面都有提示，
[19:13.490] 可以自动的政策
[19:16.230] 等等开发这块，看来我们都可以直接透明在里面开会转介绍，
[19:20.810] 到淘宝上直接买就可以。
[19:23.600] 你的手机上互动，对，您分管苹果nano，
[19:27.380] 可以手机放下电话，
[19:29.550] 那就连接好之后调到多媒体那就可以了，就直接放就行。
[19:35.910] 过敏没有提示不去是吧？还是直销上。
[19:38.590] 这是运动的你在吃。
[19:41.230] 对。
[19:46.120] 这个却不是随时都可以对在行驶过程中随意切换，这就是奔驰发动机的好处，它可以达到真正的
[19:52.470] 成本特色。
[19:53.750] 真正的就是说发动机随时运转随时切换，因为自主研发的是不一样的，
[20:01.770] 他的契合度会变相达到了92%，假如说是丈夫功率是100的话，还有92，咱们能够永远
[20:08.470] 宝马是80%多84点多，
[20:11.460] 因为它的发动机可能是买的人才见回来之后又进入自己的研究，在基本上
[20:16.880] 或者说完全自主研发的，
[20:18.830] 全世界只有奔驰的发动机是怎么认房，
[20:26.240] 只是注重的是舒适度、豪华感，
[20:28.680] 动力的话也不弱，然后像宝马注重就是操控咱交流出去。
[20:32.630] 不对，这不属于咱知道他岳麓庄了，
[20:36.510] 他路口设计的只有这一个厨房。
[20:39.630] 我都是送
[20:40.870] 这5个同事他调不了头那边，
[20:43.100] 他只能他又不能掉头，
[20:44.800] 我整理一下就好了。
[20:46.150] 了，他那边有时候白天那边又不让跳，我看老兰
[20:50.190] 之前客户开过了，
[21:08.040] 你刚才上的时候这傻子太差了，
[21:11.280] 他有点迟钝，您那可以拿手机控制就行哥，解释头三天免费的之后一年是498，
[21:17.450] 选择性使用。
[21:18.670] 对，你比如说夏天热了是吧？
[21:21.440] 在这可能是比如您可以咱们拿水，而且宝马花钱买的钥匙，
[21:26.930] 1万多使用远程控制车辆的钥匙，这是您提车之后可以拿手机控制，就跟梅赛德斯me一样，他俩一体的
[21:34.270] 一个手机的车载
[21:35.800] 可以直接远程控制车辆解锁锁车罩车都可以，而且是没有距离限制的，这车不是停在屏蔽信号的地方都可以用手机是吗？对，要求不用钥匙，你拿手机可以控制节奏锁车罩车都行，但是招车的话它是
[21:51.190] 锁着车的状态下给你打着，假如说你离近了把锁一开，他这自动毕业必须得拿钥匙去找钥匙，这防止别人之间已经开走了。
[21:58.940] 对。
[21:59.720] 而且假如说您借给他丢这借给朋友了，你可以拿手机看到车准确的位置，有项链有百分之多少，它就续航的跑多少公里。
[22:06.980] 包括他上一次开你这车从大火上别车，他是怎么去驾驶的？
[22:11.110] 百公里油耗给你跑了多少，他几加速油门踩的深浅程度是多少，是手机上都能看出来，
[22:15.980] 防止咱怎么说把车借给别人，不是自己车开的没问题。
[22:24.750] 我现在上车上去了，不用猜猜，在深踩一下。
[22:28.350] 对，然后抬起来就行了，他写猴子对除了后头之后他就不用了。
[22:36.040] 对。
[22:37.650] 你可以吗？对这是前后，然后就可以直接标配，还要选择他这车本身就大。
[22:43.540] 对配置450都在。
[22:46.350] 柏林之声的影响不是空调休息一下，这得听音乐才能感觉出来，平常都是感觉不出来，因为收音机您学习的例子都
[22:54.700] 啥原因？
[22:55.370] 这个不是很高，这边也不是是吧？对。
[23:01.050] 今天找了。
[23:02.080] 也经常有基础没有？
[23:08.110] 我这是所分所是吧？
[23:11.150] 没有控制小河的，没有什么后果是吧？
[23:14.880] 可以后边自动落锁的那种设置。
[23:17.810] 他出来都能说这直接拿这个说明是
[23:23.730] 上头扫一下咱车牌号最近这条所有登记星期。
[23:28.830] 您对您看速度一慢时候调整运动了，明天感觉一台穿那件，所以说平常咱们应用的最多的还是属实。
[23:38.320] 一般要不然不行，
[23:41.430] 而且安全方面向主动刹车都住了。
[23:45.140] 石头磨碎一般都够了，对，一般的咱们都过来吃了，不可能天天飙车去。
[23:49.680] 这再说要是咱也不拿学位表了，就得买轿车了。
[23:53.780] 这么大格就这么高，阻力也大。
[23:58.440] 对不对？
[24:00.920] 到这里就行，到这里再往后太长了，你走吧，好行那我了。
[24:08.440] 把这两个可以
[24:09.820] 在OK。
[24:11.780] 行了没事了，专门去了他就不用才会给他了是吧？对
[24:33.450] 了。
[24:34.440] 人生之中层次痔疮，
[24:45.690] 今好好，
[24:51.810] 谁知
[25:24.810] 感觉怎么样？
[25:26.170] 可以。
[25:27.080] 您的需求大致都相吻合吗？
[25:30.050] 要
[25:33.170] 到达这种级别什么到他们
[25:35.500] 用到共同它全都
[25:37.690] 但是我觉得可以。
[25:40.630] 他还是操作得非常好，但是你是不是觉得对
[25:44.800] 比较好的，然后我要上去。
[25:47.360] 谁知
[25:48.320] 你开会以后，
[26:00.650] 这是咱们公司价格牌。
[26:02.790] 公司价格对这个车现在中小板
[26:07.730] 当时按照公司价格优惠这边是这样，
[26:11.950] 然后
[26:20.210] 朝着
[26:21.460] 交易。
[26:22.160] 450，然后防滑访华的动感时尚三中，
[26:27.310] 公司咱们牛管基本上都在5万多，
[26:31.760] 收费站收入200万，
[26:39.620] 三
[26:41.150] 88万。
[26:44.740] 你说话来着28万。
[26:49.840] 好像指导一下，然后所有
[26:57.890] 好好，我相当于我不用我要家里打。
[27:02.030] 不能说对吧？
[27:04.320] 282320。
[27:07.280] 20. 
[27:08.680] 到4万。
[27:10.870] 1335
[27:11.880] 五
[27:13.010] 28号。
[27:14.310] 66万400万。
[27:16.710] 这样不用。
[27:19.140] 要向上。
[27:30.640] 咱们这块U家用。
[27:32.270] 对草原。
[27:33.450] 对。
[27:34.810] 好像时间够快的。
[27:36.980] 随时可以针对这就是说是的话，您看看这VR。
[27:42.670] 我们现在管线就能看到它在运输的，
[27:48.310] 就是说白还在海上，咱坐着。
[27:51.550] 做。
[27:59.070] 您要什么颜色的？
[28:00.560] 乐东的就行。黑车棕没事是吧？
[28:19.340] 动感的时尚的都可以吗？
[28:28.880] 东北推动
[28:29.880] 这样的一个83就完了，40 834,088 43,800，
[28:34.400] 他这个方子算了给他多少人，事实上他俩就是外边刚才我跟你说前后杠长的不一样，其他都是一样的。
[28:41.200] 都对，因为他要动感的，基本上在奔驰里边都属于入门的时尚，然后豪华。
[28:50.960] 中网前面都是一样的吗？对，都是星辰的。
[28:53.810] 450都是星辰的，只有350的动感是那种双刃的。
[29:01.600] 你说账不一样，就是物质上在上面下面潜阳那块，
[29:07.530] 谁知
[29:09.070] 谁知
[29:11.650] 到这里
[29:25.700] 时尚的话倒车得到10月份了，
[29:29.470] 然后动感的话你看一下，
[29:32.360] 动感的更贵是吧？时尚地柜动感的便宜，
[29:39.070] 动感有一台最近要到的也就10天20天这样。
[29:45.470] 你看。
[29:46.670] 还真是黑车棕内的。
[29:48.240] 然后它是加装了家装第三排座椅，
[29:52.540] 出场加装的。
[29:54.450] 其他的都是一样的。
[29:56.060] 没法用。
[29:58.100] 对，然后要等后边的车的话。
[30:00.730] 生产时间是
[30:02.960] 5月份生产的，
[30:04.680] 到
[30:05.580] 5月份，
[30:06.700] 5月28号生产的是6月份没区别，然后到中国的话怎么也最少4个月。
[30:11.730] 10月份。
[30:16.410] 特别少。
[30:22.730] 也就是晕车也对原来鉴定。
[30:25.770] 对。
[30:26.700] 一样。
[30:28.870] 您北京和您赚的都一样，我不知道您算过吗？北京这边基本上没有比这就是
[30:36.770] 部里边拥有车子，包括看到短线里边多的正常运行的游戏上，在西边这边
[30:42.910] 没有比这家店更大了。
[30:45.260] 前后两个展厅都是二层，像AMD、迈巴赫销售权咱这都有。
[30:51.610] 其实就是一个
[30:53.610] 这儿，然后
[30:55.710] 离这不远的，尽管经过马上搬到南六环外边，
[30:59.000] 然后还有
[31:01.670] 成龙的海域节，然后还有大龙大道，然后再有花香就是
[31:08.090] 比如这个模型很明显，
[31:10.370] 私企老板是德籍华人，
[31:13.650] 他是把保时捷带过中国的园区，都是他地级调查。
[31:17.690] 然后亦庄那边
[31:20.040] 重庆。
[31:22.340] 还有反正青岛那边有电，好多的都园区，
[31:30.200] 没有那一部分。
[31:31.420] 个月了。
[31:32.370] 对，煤价格谁知
[31:34.990] 基本房产这种车它不是说往下优惠的车，北京能基本都一样再给他弄欠妥，到现在
[31:42.050] 的。
[31:43.420] 对。
[31:44.240] 4万元的这座房子，
[31:46.010] 不用在不强制任何东西，反正
[31:49.600] 愿意在店里面就像购置税什么那些，我们可以帮您代交。
[31:53.680] 验车的话你开车到检测场收在那等着您到位置都给您不收费。
[31:58.680] 2500，你看我可以给您列个单子，您看一下好行，其实关电脑照应着拍照照片。
[32:05.310] 部门的。
[32:10.090] 打了
[32:12.360] 三
[32:13.990] le
[32:15.290] 4 WF
[32:17.080] 7hd。
[32:20.520] 您稍等我去拿一下579。
[32:28.720] 514140。
[32:34.010] 要
[32:49.880] 上微信。
[32:51.050] 微信
[33:20.360] 输一下。
[33:21.400] 我看清楚了。
[33:24.730] 你看您算是算动漫还算时尚的？
[33:27.920] 都可以，行行，这两个就
[33:31.540] 不是的，给他多一个什么这种。
[33:35.180] 不是，他是前后杠长的不一样，其他的就是一模一样的。
[33:39.610] 对，他就要区分怎么说，因为动感是奔驰里边入门的，然后往上中间叫时尚，一般都没有时尚，然后直接到豪华了，主要是动感豪华两种，因为它中间是强加的这种配不上。
[33:50.820] 有没有可能有一点位置？没有。
[34:12.910] 您是全款购车吗？还是分期？
[34:15.210] 好勒。
[34:16.440] 的。
[34:19.240] 联系
[34:29.230] 熬类目前东西。
[35:33.340] 你才开始了。
[35:35.800] 原来
[35:36.920] 什么名牌就开始了。
[35:39.000] 6楼来3月4号。
[35:41.160] 8月4号没。
[35:43.630] 谁说的？
[35:52.570] 免疫看一下，
[35:53.340] 在爆炸之前在此中宣读一下同时的服务工作。
[35:56.240] 咱们是按照客户为尊，以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道信息公示。
[36:02.570] 奔驰指标购车是结构捆绑销售强制消费的，就是生产型号
[36:06.330] 400818118 80人的兼职介绍。
[36:09.130] 这报告单也是全国统一模板的报价单最新版本，
[36:12.380] 给您这边一一介绍一下购车人这指标人是您本人是吧？
[36:17.330] 然后咱们这车行至LE450，动感外观要黑色内饰棕色的，
[36:21.930] 186这是您的手机。
[36:25.250] 这边咱们这指导价，然后价格是后面保险。
[36:29.780] 对，咱们车价是
[36:31.990] 874,800，购置税用开票价除以11.3，上下浮动在几毛钱的准数。
[36:37.590] 77,416，这边验车的话你考虑在电力上2500自己也没有任何费用，咱们这店里面就包含
[36:43.810] 等开完票之后出保险单，临床工商验证交税到去
[36:48.320] 验车现在不送什么东西吗？现在都不送，其实没有任何赠送了现在。
[36:55.470] 北京这边要输的话，有可能经管会说送终身A保，但是有一次不去或者B宝也回不去，
[37:03.630] 就直接取消，因为他怎么说他要拿着噱头，因为他已经翻过一次地方，他之前在女装，
[37:08.770] 你要看过宝马应该是金宝航这附近，
[37:11.270] 敏庄的话它是从闵庄搬到杏石口这边从新出口，它又属于违建，要搬到南六环外，这边附近的客户很难能去到那边去老杨
[37:21.810] 南路，
[37:23.520] 因为他这边还是违建，那边你看闵庄奥迪也拆了马上，
[37:27.570] 唯独不拆的旧京宝行，因为交行人把那块地皮买了，
[37:31.650] 尽管那地方进去都快，老花都顶了太低了，北京城还很少客户愿意去买车，
[37:38.990] 他附近
[37:41.060] 然后大点店像看比如说看性能车，像迈巴赫这种，
[37:45.740] 很多去哪儿有可能会去花香淡花香，最近到这一行也挺严重的。
[37:49.960] 好像有人经常对，
[37:52.340] 然后全部都在大兴或者右边，
[37:55.760] 然后右边基本都是过似的。
[37:58.460] 然后咱们这边保险像根据您自己像人保平安太平洋人寿选择哪家上什么险种，客户自主选择
[38:07.870] 都可以，因为经常卖这种车型，基本上第一年加上交强险车税在18,000左右，
[38:12.980] 然后落地的话就是车价税验车保险总共是97万多点，
[38:18.400] 全办。
[38:20.170] 汽车要到10月份是吧？
[38:23.100] 对。
[38:25.840] 旧车10月份才能到这个车，原价是多少？大概是34,800。
[38:30.950] 要是加了加4万块钱，比指导价高4万块钱。
[38:36.080] 这个还是基本没有了，因为它有现车还好说，没有车现在
[38:41.760] 从今年开始就是LV这些车只是卖一台少一台，到现在没有一台都没有了，
[38:47.150] 连350的都没了。
[38:48.740] 还有350用了，350基本就平价。
[38:52.920] 就不用再加钱是吧？
[38:54.480] 对，按照正常的就是制造假去卖，
[38:57.180] 没有任何其他的什么多余优惠的钱，装饰也不用你不用做，
[39:02.100] 不强制您到有需要几千的上万到几万的都有。
[39:07.680] 那家加上结算方式
[39:10.590] 的。
[39:11.480] 可以去，到时候等于比如说你要是确定购买可以去给您问问领导。
[39:16.430] 就可以送装饰吗？不是说可以送没有那什么的，你说奔驰就没有说送装饰的。
[39:22.080] 因为首先他不强制客户买。
[39:26.120] 是装修这块对
[39:28.280] 客户的自主权。
[39:30.510] 因为很多品牌像宝马的肯定得1万多装饰跑不了，最少也得1万多必须做。
[39:41.810] 上。
[39:47.880] 到11月这个时间能
[39:51.230] 没法给您准备在10月份。
[39:54.210] 因为它这车现在还在海上运输，认知所有的进口车都拿船运输了。
[39:58.880] 后来不匹配半个月不归。
[40:01.300] 妈妈哪有那么快，它不光是给一个电运，而且他不光遗传它能运多少车。
[40:07.440] 熨完之后到岗之后他得先运到港口，天津港这边遇到港口之后。
[40:13.170] 这边中国会有关单商检审核得负向各给各个着从里到外检查，符合中国的大陆标准才能进入港口。
[40:21.820] 对，主要是耽误在这个地方，而且它事关单不是随车走，他人带着过去，
[40:27.210] 在各项盖章，中国这边在商检
[40:30.420] 商品检验，
[40:32.080] 然后最后没问题了，然后这边4S店在厂家派车拖到厂家去，三派拖车去，
[40:41.440] 进口车从生产到中国基本上4~6个月，
[40:44.990] 崭新崭新的车。
[40:47.410] 您电话是吧？对，名片上面有我电话。
[40:51.090] 明天这边会占用您一两分钟给您打个回访电话，您看上午下午几点钟方便被打扰您休息。
[40:57.200] 对，你看对着单还有什么疑问吗？再给您解答一下。
[41:01.190] 这价格其他的对这价格您可以转转。
[41:04.950] 都是这样的。
[41:06.660] 因为它有优惠的，您有我现在买车怎么那么巧？
[41:11.550] 不知道现在买车人巨多，你看从1月份到现在，奔驰所有车得销量全都是。
[41:16.290] 第一的。
[41:17.400] 你们一级又归矛盾，哪一种平常的轿车是吧？还有R7万现金，
[41:23.910] 今天又会像你说对，因为之前都讲究每年12月份一会买车便宜，那会加上置换补贴58,000，现在上车价就油漆了，
[41:32.940] 这客户把疯了，尤其像1GLC就满大街都实行了。
[41:36.970] 那天我买AA客户他说。
[41:39.050] 我那天没注意，他说停楼价楼下那小区里就是排着车位E盘，
[41:44.540] 我看见四五个新的奔驰。
[41:48.200] 为什么？因为跟车尤其是国产也有他这么一降价，我才大家都在哪说什么。
[41:53.730] 要是你这么贵，因为进口车本身就少，国外疫情远远比中国想象的爆发的也用药太多了，
[42:00.790] 没车以稀为贵，老款的交易450，
[42:05.030] 就没改名之前叫家具送了。
[42:08.670] 交易ML那会儿不是。
[42:11.240] 后边又出只要一了是吗？交易送给了，要不就是交易400 400，然后320
[42:17.570] 上面还有将近4亩，他买送礼又费时11万，
[42:21.650] 真的没有很好卖的，现在没有你们北京城随便转着。
[42:29.800] 能找着车下来就不错了是吧？
[42:32.680] 来找有这方面对。
[42:35.560] 尤其只要一黑色的聚畅销到店就
[42:39.300] 奔驰就是黑车。
[42:41.590] 对，主要就是黑白两种颜色，小车买白的行前殿大点大车就买黑的显得正式。
[42:50.000] 我考虑行，有什么顾虑方面我帮您分析。
[42:54.630] 这个习惯非常。
[42:55.620] 主要就是驾驶员其他行下边二维码邀请您扫描，对服务公约作为在线调研，没事你回家好都可以。
[43:02.070] 没事，后期有什么问题随时打电话咨询可以拿走，我拍了这个行我留着。
[43:07.360] 没事，您客气，有什么问题再打电话。
[43:14.350] 一下。
[43:23.510] 打开的。
[43:25.000] 开店去。
[43:26.170] 慢点您赶紧过来再见。
[44:02.410] 接待完毕。
[44:03.550] 每天要看交易，没有现车随时到车家吃饭，客户不接受，
[44:11.600] 看张力没解除交易，
[44:13.600] 加4万。
[44:15.090] 我还按照以前报道快高考日子爆发了，
[44:25.810] 然后我先把打结了，
[44:28.670] 评价加4小包就行了。
[44:30.830] 它叫小型
[44:34.480] 械臂，
[44:37.560] 说他的脸变比，
[44:39.050] 甭管他
[44:40.340] 完了很软。
[44:42.430] 另外什么路子？
[44:44.820] 我敢说话吗？
[44:48.350] 了，
[44:49.280] 尽管直接感受客户说
[44:51.480] 跟坐庄手机特价就会
[44:53.610] 成人。
[44:54.880] 你做庄时候给盛夏优惠，
[44:56.880] 对吧？
[44:58.350] 他们没有补充越往
[45:09.070] 18602。
[45:10.070] 19860
