[00:00.000] 这个时期量一阶段今天的中国
[18:25.220] 两两种色，人家新买的车，我就光外边看着我们进去，
[18:31.070] 是不是？这作里边都看了，也就是这种样式的
[18:35.410] 原谅，
[18:41.520] 颜色也没啥可挑的都而已。
[18:44.290] 外表外观颜色可以调一下。
[18:47.370] 看看也
[18:48.870] 这一点注意到
[18:50.730] OK一个都一样，
[18:53.490] 那两口你想买哪种风格的？
[18:56.990] 这么看。
[18:58.080] 你这看
[19:00.370] 要不接了。
[19:04.730] 你
[19:09.360] 宝马5系你看他看着不像个东西了，
[19:16.190] 随便捏捏就歌唱，
[19:20.150] 是吧？所以它就能看出一个
[19:23.190] 外观很让人感觉到精神，所以说他那里边发动机什么他能查到哪，他不会他
[19:30.650] 不会砸他的牌子，是的。
[19:32.710] 核心的部件。
[19:34.320] 是不是？
[19:38.580] 就这样，你看好
[19:41.230] 我，他还得等着我，这节咱们走，行没问题，首先来
[19:46.800] 用您的名片，有时候那些需要提前打电话给你约一下，一般都是啥时候人比较少，外周一到周五，
[19:52.820] 周一到周五周六日特别多，您经常来看的话，可能这都是好好。
[19:57.600] 你想找销售了解的话都交还比较
[20:01.780] 周一到周五人比较少的时间。
[20:03.790] 周六周五的话建议您提前反弹约一下，就是说您让我到店了，这种情况下可能会
[20:10.190] 存在我当时在忙，如果当时在交车，因为我们一般周六日线收完以后，周一周我安排去统一交车了。
[20:17.550] 您定完车以后，
[20:18.950] 咱们就开始下周的时候办理交车业务，
[20:21.680] 你教可能一个车交三个小时，车您就可能开走了，
[20:25.840] 帮你把车开到办好手续，临牌保险都得说首先给你打个招呼给你打招呼，我们可以把时间安排得妥当一些，
[20:33.810] 不至于您来了再继续等待可以。
[20:37.160] 现在项目从定下来了以后大概多长时间，如果有现货的情况下，那么下周就把你提车。
[20:43.630] 一周内工作。
[20:45.500] 没有现货你估计得多长，没有现货订货周期得一个月左右，
[20:52.480] 他们都是大众的，不见网页单号D弄让你个性化半天，是不是你弄好几个月出去了，
[20:59.700] 他这都成型的东西，你有去会有倒车，
[21:02.920] 没有什么增加的配置，陆续都有道理。
[21:06.450] 他不是这些东西吗？固定词的是专家
[21:11.270] 在盯着
[21:12.520] 生产了，就这样到时候来
[21:16.230] 来蛤蟆。
[21:20.440] 可以
[21:25.150] 像牌。
[21:27.330] 这是后贴的还是来的时候拿来都有了拿了，但是后期有时候自己去拿掉。
[21:35.140] 这是粘的。
[21:36.280] 可以拿掉，咱们无非拿掉就是说华晨、宝马、北京奔驰、玛，
[21:41.580] 其实也就是这两小节一样，对，没法拿点吃的，就这么一些。
[21:46.560] 是。
[21:48.870] 你因为这边已经还有一个车牌在里边，
[21:53.050] 是吧？
[21:55.930] 有些我是看整个是亮亮一一三百都没有。
[22:00.730] 对，他被扣了。
[22:02.350] 拿掉了，还有买的是
[22:04.910] 比如说1180以前有180 180L换成一二百，然后一起买了。
[22:13.820] 马上都有这东西真便宜。
[22:16.070] 你想这个一般把这拿下来，我拿完以后你怎么处理？
[22:21.580] 不用再处理，您自己找找汽车的时候找人拿掉就行了，我们就不管，
[22:27.010] 洗车的时候我们就不管，
[22:30.800] 你给贴上了就这样贴上，对，他不是说后来写了那就不贴了。
[22:36.410] 谁不知道咱要拿下来，他肯定得有这痕迹吗？
[22:40.320] 有几率掉漆
[22:42.350] 的几率要积极出场，不是这样。
[22:46.160] 行，这样子。
[22:49.120] 谢谢您，不好意思，您需要您随时再联系我，行，然后我出去我怎么跟他们说找一个二维码自行车来现场
[22:57.360] 在咱前台扫，谁知
[22:59.910] 就这20万。
[24:23.190] 我问一下。
[24:24.240] 我讲过你保险了。
[24:25.940] 二你标准你罗比就带不出来吗？然后他颜色打一个，没事，你既然就得打一，
[24:35.530] SB打一下。
[24:40.480] 你交了
[24:41.490] 吗？
[24:51.590] 找回去。
[24:52.340] 我老觉得我还没对过这个钱。
[24:56.720] 我比一下他就给我了。
[25:00.090] 张明。
[25:02.100] 谁？
[25:03.400] 谁？
[25:04.910] 刚回来姜文。
[25:17.090] 但是
[25:18.530] 现在还是依然带不出来。
[25:21.100] 为啥？
[25:23.100] 谟笔下
[25:24.720] 烦人的家伙，我们有你拥有的还打打那什么吗？你这边这个有吗？你SB打了，你怎么不知道用sp再打一份延伸？
[25:34.110] 人
[25:36.610] 我即将交手的也是这种情况。
[25:39.690] 你就给打出来，我都是用的魔笔打的。
[25:42.660] 对，他只要你送养护礼包的你就。
[25:45.670] 别的不用。
[25:47.360] 不用。
[25:48.710] 你不用这车什么都没有，你就不用，但是你要宋阳你知道。
[25:52.980] 要。
[25:54.500] 因为你为什么不打一份是不是？
[25:58.030] 这边
[26:00.430] 还
[26:02.760] 说是能带的还是带过去？
[26:05.100] 盖了一个快捷，我定当一些延期，我明天交的车，
[26:40.790] 没问题，按照我们第三人行，
[26:45.140] 然后这个星期推断，
[26:48.060] 我那时候真的
[26:49.300] 咋可能这么短时间？
[26:51.080] 17万。
[26:51.890] 怎么办？你现在几天老板？
[26:54.460] 我这话我你先发了，好像就三天。
[26:58.350] 加速您看看。
[27:15.130] 我之前说的都不
[27:18.630] 不错了，
[27:21.460] 别交了没交。
[27:24.320] 差点没交掉。
[27:25.650] 他租一指标就亲近了，
[27:27.780] 然后跟你说话，
[27:29.080] 结果你就忙不着，不想回去。
[28:00.330] 4月份都不能拉开你。
[28:03.050] 摩托车还开车
[28:04.700] 了。
[28:05.740] 成不了别打了。
[28:17.480] 为什么？
[28:18.320] 不能吃辣条，你那车子他那里你那啥也不淹了，4我的司机你下来
[28:24.710] 看看他就完事了，脖子关机完了就把竹口出来，
[28:28.570] 后来之后着得呆，
[28:30.360] 然后你装着还得调前后准备条，你链条，还有如果说苗毛子宝马的就特别方便，
[28:38.640] 得到很多这样的
[28:40.070] 老板没有线条后面的
[28:42.260] 我一关62
[28:44.380] 12是不管用，
[28:46.540] 我说我不是说电台
[28:49.070] 你说我说明天上
[28:51.830] 公司。
[28:53.240] 我说的是
[28:55.050] 说真的条
[28:56.800] 和
[28:58.360] 出现的情况可能是的。
[29:02.000] 造成
[29:04.050] 时间
[29:05.040] 的
[29:11.150] 性。
[29:18.530] 的
[29:19.400] 场。
[29:26.390] 三
[29:28.770] 的
[29:29.960] 的
[31:01.080] 了
[31:06.870] 的
[31:15.260] 等等
[31:17.650] 没事。
[31:56.760] 为
[32:00.590] 谁知
[32:04.320] 开完了我就退了。
[32:15.270] 的。
[32:16.980] 都放了放完了。
[32:23.610] 没挂。
[32:30.050] 挂着的让群众查一下。
