[00:00.000] 系统里有11号接待保养的老客户，再看看车子的开始。
[11:24.920] 名花有主了，
[11:29.690] 不给钱。
[11:34.330] 300。
[11:35.750] 办齐了过得快70了。
[11:37.940] 加10万。
[11:45.150] 这个是什么灰？这是深灰色生活月光指挥。
[11:52.050] 三个县有点像，还有
[11:55.840] 刘备的教堂，
[11:57.830] 谁知
[12:00.350] 穿着有6倍的消防，
[12:04.870] 这是什么？
[12:06.160] 曾经
[12:13.650] 这个产品
[12:21.190] 这车没必要买300，买26的盐酸260没有踏板。
[12:25.510] 对我不喜欢大阪，您原来踏板发动机高功率您开不了那么大马力，260是正常功率，2等P的。
[12:34.170] 300是靠也挺厉害的，对教室里好。
[12:38.360] 但是踏板有时候自己要不用就有点碍事下，反而有时候我们有一个朋友弄的，它反而称这个地方
[12:46.150] 下雨下着弄一裤子，对。
[12:49.090] 咱看看那张写了解上面盖了了
[12:52.370] 他妻子后面
[12:56.840] 开不了卖了别人定了，
[13:00.020] 后面窄，没有国产的调C大大，你要高点个坐后面泡面了，因为奔驰这不就是
[13:08.070] 我那个车空间太小了，现在都大了，因为现在是尽管了，还有无所谓关别人做得好不好。
[13:14.520] 开
[13:16.550] 空间一
[13:17.910] 看不到这车看不出来，菱角现在长轴了，S1L
[13:22.810] 电费有
[13:24.870] 一家尝试都加强了。
[13:27.250] 谁知
[13:29.230] 谁知
[13:31.150] 咱买的时候北京没有有想起来不是在北京，因为别人定做了以后，
[13:39.350] 你想把它倒进去，
[13:41.040] 你买一辆当时
[13:44.190] 相当于这是人家没有要，不晓得你前面加这个当时北京比我们当时开了还好多年了，
[13:52.370] 为什么会紧张？
[13:53.810] 后来没过两三个月觉得
[13:56.630] 特别火了。
[13:59.350] 但是你没看那个车是好像
[14:02.210] 不喜欢目前的样子，但是最开始客户的对
[14:06.200] 他那种谁知25干什么4呢？
[14:12.770] 双休还没回来。
[14:14.710] 看了完了就算了，我记你的电话。
[14:17.960] 我小孩有什么来了，王小明把抽咱就看你来说一说好了。
[14:23.930] 现在颜色就是的可以的，我想看一下红宝石这一点矛盾
[14:29.710] 的。
[14:31.520] 所以两条QQ都不带头，
[14:34.650] 有一个现象是吧？全部都没了是完了订单是吧？
[14:41.710] 13103的是吧？好。
[14:45.610] 我找了吗？
[14:50.560] 肯定要。
[14:51.950] 现在好。
[14:54.080] 他价格多少能出来呢？
[14:56.970] 今天你跟他说说今天时间比较多，
[15:02.410] 出来以后告诉我给你打电话，
[15:06.040] 还有
[15:08.240] 你说一下我的电话，我就提醒一下他号码行。
[15:12.080] 您说您就是我多少，我这能播。
[15:15.450] 最低20%。
[15:16.760] 美丽反正这儿
[15:19.070] 你坐要给你查一下。
[15:20.880] 您喝点什么水吗？
[15:22.450] 没钱买了，你们那边要被茶水喝，不要便宜的。
[15:27.080] 不是你点。
[15:35.440] 把
[15:39.330] 对了。
[15:44.270] 我觉得刚才
[15:48.300] 的
[15:49.020] 货车。
[15:57.360] 把它开了，我
[16:11.270] 坏
[16:12.750] 花
[16:13.980] 的
[16:17.910] 坏
[16:20.430] 要
[16:22.610] 的。
[16:23.780] 要
[16:34.680] 五
[16:39.210] 的
[16:41.130] 4
[16:53.040] 阿姨
[16:54.140] 300顶配300顶配有一台浩沙银的一个装水，
[16:59.440] 300顶配有一台缸豆的多少钱的？
[17:03.030] 在门口。
[17:04.480] 咱门口有颜色，
[17:06.160] 你要大专还有丽景。
[17:09.480] 其他都是黑的，对全都是比较好看可以用的，对您这蓬莱陪同箱子不行吗？
[17:18.730] 对，刚
[17:22.450] 买房子。
[17:23.790] 上图片了，对那种我看浙江的运动员叫对灵山小罗跟谁生活？
[17:32.200] 没事吼的话，
[17:36.390] 只要我现在上街了，
[17:39.540] 他的书小检查想法窗户，
[17:46.330] 他应该不是销售的。
[17:48.910] 的，
[17:50.110] 远远
[17:51.420] 场
[17:54.320] 场
[17:55.550] 主场
[17:58.130] 的
[18:00.840] 的
[18:11.990] 场
[18:21.460] 坏
[18:24.530] 可能受不了。
[18:27.150] 保险
[18:32.400] 浩沙也。
[18:35.540] 你往那边你那边话吗？
[18:37.490] 他说你要来你的后来又去看看现实，门口就有那台说颜色，
[18:43.310] 比如交易是那颜色，我在您看过眼光，我在那看看金色
[18:47.530] 飞机有点相亲那种感觉，诉状颜色卖得特别好。
[18:54.470] 咱们车子上面的背景的对颜色砂岩这种好好他是接受的一段，
[19:05.970] 人家小一点这种，这里的话资助7号钢琴操心什么新这种奇怪，
[19:14.050] 颜色都很透是吧？
[19:17.360] 就显得的比较很薄，比较优雅，吃过您拍一些
[19:22.750] 反而可能比黑色说黑色不太适合你太喜欢。
[19:28.030] 没有拍过，原来有一个
[19:30.320] 我开过一个奥迪悄悄以前的也是就是说
[19:35.320] 高级我得较快，
[19:37.010] 那种有黑的我就挑了一个有点喜欢，就像你后面蓝颜色这个板都是那种蓝颜色调浅蓝浅的颜色，你挑的。
[19:47.970] 对，整个一好像北京当时只进了6辆，但也只有一样是这个颜色，
[19:53.290] 条一个量，但黑在我们看来思维模式，
[19:57.690] 明天公司内部的一个重要步骤，
[20:01.080] 总共50%这
[20:04.350] 中间还带利息。
[20:05.950] 玩意到24期以后还没过三，
[20:09.460] 为什么？谁知
[20:11.620] 也都是
[20:12.670] 440块钱。
[20:16.920] 到期后的华为，
[20:18.700] 因为对比来一下，咱们年轻人可能会家里的概念可能不能并没有保证，
[20:24.650] 对吧？但是你真正去看来一下这样
[20:32.410] 把这份子钱出去，
[20:36.930] 133。
[20:38.540] 对最后三名。
[20:42.160] 你看
[20:45.020] 也确实安排的不是那个时候新车刚到店三天在库房，
[20:52.200] 有一个GRE是颜色，我带您看一下，打简单地看着那颜色，
[20:59.600] 因为那颜色限量版的厂家基本上10台，如果搭了一台车发出来，
[21:06.230] 不是老友他买的时候那个价钱也就贵点，没有价格是一样的。
[21:13.370] 还有一个颜色这不刚回来，红宝石黑的什么都没眼看也像黑，对那不太好看，像黑色。
[21:23.500] 他有点发红是吗？对有点发红中，但是好像没有好那样还按了实价，这也类似于黑的，看不出来什么，他合肥的差别放一块能看出来，对，吃不了跟旁边的放一块都能看到了。
[21:46.900] 这么多时间的
[21:48.140] 人特别多，一到周末尤其买交C的，还有平常那个人不多是吧？
[21:53.880] 让人稍微少一点。
[21:55.610] 我这工作时间了。
[21:57.320] 您要下午来。
[21:58.580] 不是您要下午来都接不上，您因为人太多了。
[22:02.910] 还得排队预约。
[22:04.950] 搞这个是红宝石黑。
[22:09.080] 对他们的在一块能看出来单看他看着说那好啥。
[22:15.060] 是不大特别的他有点什么
[22:17.530] 有点
[22:19.100] 付红。
[22:20.860] 香槟色
[22:25.370] 这个观点，
[22:33.670] 砂岩
[22:56.480] 软件300
[22:59.330] 300豪华顶配，
[23:02.800] 现在正好有活动49万多，优惠完了以后45万多。
[23:08.940] 然后咱们这边有团购，
[23:11.230] 五六你说的我要重构，他有那什么颜色好看。
[23:15.600] 我跟补贴。
[23:18.730] 保险补贴
[23:26.920] 送9000保险，
[23:30.110] 最后您保险不管选多少钱了，怎么减9000现金，
[23:33.610] 但是我觉得把第一年的保险肯定都都得上全险，
[23:39.370] 您要掏不了什么钱送9000呢？
[23:49.560] 我3000万。
[23:50.840] 我自己了今天。
[23:56.330] 你去了。
[23:57.390] 办了什么？
[23:58.620] 你商量，然后您最好上午。
[24:01.360] 下午人多吗？
[24:04.060] 好像差不多这时间点，您过来行九十点钟。
[24:07.250] 你还得过来放桌子是吧？
[24:09.110] 对我不来，正好您周末也没学，实在没法带，您是约不上。
[24:14.880] 正好您那样，对，比如说您要周一周二来，您提前给我打电话，我给您约上。
[24:20.540] 咱试驾一下在您。
[24:23.070] 好好感觉，然后卢师傅价格出来，我给你打电话，行行你给我这点我给您
[24:30.870] 找给您的券来。
[24:39.540] 这边是北京最大的旗舰店，
[24:41.990] 授权的车比较多，没上班。
[24:44.360] 三
[24:45.110] 不管车
[24:46.650] 现在谁敢说话？
[24:48.100] 型号，因为
[24:50.580] 本来开发商我定点要花钱病死，
[24:54.080] 没法。
[24:57.640] 这边售后多大，里面的楼？
[24:59.790] 保险定损，
[25:01.430] 楼上全都发现他们那修的时候东西也不全，对，所以后来没有了，但是我要去那边我看不见。
[25:11.490] 扫了一什么准备？
[25:13.030] 您来了没有上交是吧？
[25:16.120] 那不可能。
[25:18.990] 没有政策。
[25:21.360] 我修车定损还管他三超过三个小时得什么是吧？
[25:25.960] 得付费。
[25:29.590] 您现在停了没有三个小时出来，我不知道。
[25:32.910] 几点了，现在几点您直接扫这个。
[25:36.170] 您想这个不用您推出一下直接小店吗？对，应该是外面的却是修这个问题。
[25:43.600] 谁知
[25:45.390] 完了谁知还好。
[25:48.950] 在
[25:53.550] 开始了。
[25:58.120] 有个毛。
[26:00.680] 这边可以一下。
[26:05.010] 车号不错的，
[26:06.560] 我看不清今天W0020不戴眼镜看不见，眼睛在车上了。
[26:12.160] 0020。
[26:17.180] 想看看他聊。
[26:18.440] 2.520。
[26:25.780] 好了，给您讲完了。
[26:27.420] 行，您直接出就行了。好了王姐，咱们先怎么着，谢谢您，没事，有什么不明白，您随时拨打电话支付，我不用支付，已经给您讲完了，你这注意什么？
[26:39.930] 然后有不明白的需要给您拍照片什么的。
[26:42.660] 鞋上加我手机号有微信，好勒好的，您慢点阿姨，拜拜。
[26:53.510] 行，你干嘛让我拿走了？
[26:55.420] 没法改变，听完了好了。
[27:22.910] 上课好吧？
[27:31.200] 在北京定元，
[27:33.360] 咋办？因为11年的巴萨
[27:37.290] 入网证评估着这客户等着就等着一下决定怎么着，有个小时咱们用的就给多少钱为。
[27:47.380] 他在亦庄奔驰估的是55,000还是56,000，然后销售他跟他说要加2000块钱自个要我签字，社会说说了，
[27:56.930] 他就有点
[27:58.510] 不踏实，就没在那立刻就过来上咱这。
[28:02.310] 要讲的就是一个。
[28:04.650] 不收费。
[28:06.410] 收放应该是到他如果没电玩的话，销售额好像应该充分，但是14万公里的工作也
[28:12.550] 比如说特别重要，控制设备那种。
[28:24.350] 你啥意思？
[28:26.040] 测算。
[28:27.240] 花钱吗？
[28:34.770] 的
[28:37.310] 为
[28:39.890] 一点
[28:45.640] 的
[28:49.360] 数据
[28:55.770] 数据。
[29:00.170] 二。
[29:02.780] 花
[29:06.570] 的
[29:11.160] 数据
[29:14.730] 数据。
[29:16.110] 坏数据。
[29:20.600] 不可能
[29:23.280] 了。
[29:28.680] 了。
[29:39.720] 的。
[29:44.840] 上。
[29:47.190] 远远
[29:52.870] 的
[29:55.260] 这样
[30:00.740] 的。
[30:03.760] 的。
[30:05.900] 数据。
[30:07.240] 的。
[30:14.010] 快。
[30:25.600] 了。
[30:28.010] 远场
[30:39.430] 数据。
[30:42.400] 花。
[30:47.800] 数据
[30:50.520] 的
[31:00.460] 数据。
[31:01.500] 卖
[31:06.520] 的。
[31:08.580] 远场
[31:13.570] 远远
[31:17.840] 场
[31:32.400] 两
[31:33.440] 二
[31:36.250] 三
[31:37.600] 五
[31:44.350] 练字、
[31:47.190] 远。
[31:53.910] 数据。
[31:56.600] 还。
[32:18.030] 你了吗？
[32:18.880] 你贴。
[32:20.650] 你这功力你们看过，
[32:23.590] 围绕这方面谢谢过来。
[32:32.350] 感觉
[32:34.470] 对。
[33:37.360] 不过来了。
[33:41.490] 不用我了。
[33:50.790] 在宝洁。
[34:12.320] 还有提前吗？
[34:16.170] 卖西瓜的。
[34:22.280] 早上一般用来看着我了，走吧。
[34:25.040] 今年一颗
[34:26.600] 一收就三块钱。
[34:29.610] 好了。
[34:32.470] 送我那边。
[34:33.480] 我才能告诉你，
[34:35.810] 看见
[34:36.540] 王子了。
[34:56.250] 联系了我这。
[35:00.530] 没有他电话。
[35:02.570] 不用了。
[35:07.460] 什么时候太忙了？
[35:29.530] 028527的后备箱没关。
[35:33.190] 二。
[35:50.510] 五
[36:02.170] 845。
[36:03.580] 网上卖房。
[36:06.220] 号码多少出库
[36:07.790] 的户
[36:13.290] 听到7号的过去没给拿过来。
[36:16.320] 主要吗？
[36:23.760] 518224。
[36:31.710] 远。
[36:33.070] 三。
[36:38.670] 还有第二个，你收到了吧？
[36:41.320] 咋了？
[36:43.100] 把它贯通。
[36:44.600] 我也没拿过来单子。
[36:46.800] 妈
[37:01.810] 潜意识已售的吗？
[37:03.870] 是不是拿？
[37:07.240] 我看了。
[37:08.360] 了。
[37:10.160] 给
[37:13.540] 数据。
[37:16.770] 的
[37:40.810] 今天哪都去不了了。
[37:42.410] 知道。
[37:43.120] 不到，
[37:49.970] 滑板车万
[39:22.560] 场。
[39:28.080] 的
[39:32.040] 的
[39:54.830] 花
[39:56.110] 五
[39:56.990] 花。
[39:59.880] 数据。
[41:32.280] 等等
[41:33.000] 等等。
[42:32.680] 我在洗车房，您在办公室一会我给你拿去。
[42:36.770] 后来。
[43:47.260] 拿。
[44:48.530] 会拜拜。
[44:57.000] 大。
[44:58.790] 好的这样的。
[45:04.470] 谁知
[45:07.120] 谁知是不是这样是不是？
[45:14.110] 这人之前别人接待过咱们店。
[45:17.690] 谁记得？
[45:21.290] 因为我电话杨小姐我在他
[45:32.710] 你什么手机号是吧？
[45:36.880] 我知道。
[45:39.900] 行，这男的是为什么？
[45:47.920] 妈妈。
[45:53.110] 快。
[45:57.170] 号。
[45:58.180] 明白了。
[46:00.320] 了。
[46:07.350] 行行没问题，北京是吧？
[46:10.060] 小分析。
[46:11.320] 好。
[46:15.190] 行，然后还没到时间。
[46:20.920] 行好勒。
[46:22.080] 好了，拜拜。
[46:26.490] 要调什么东西？
[46:30.720] 他什么时候走了，中午就走出马过来取了。
[48:03.920] 三
[50:09.750] 来。
[51:21.940] 调个车。
[51:23.470] 等一下。
[51:26.230] 546262. 
[51:33.000] 120。
[51:34.890] 刚才那订单是不看吗？
[51:37.240] 不是高三。
[51:38.370] 刚才工作。
[51:40.000] 三
[52:12.950] 数据
[52:14.410] 数据
[52:15.280] 数据、
[52:20.630] 坏
[52:25.920] 为
[52:33.440] 您好，您在什么位置呢？
[52:35.650] 主要是不懂的。
[52:37.420] 您在我们店哪个厅门口现在？
[52:45.550] 您这样您去水您进我们厅以后您到水等我一下。
[52:50.370] 我马上过去找您去。
[52:53.250] 好勒再见。
[54:38.190] 越勇。
[54:39.460] 他是这个人吗？
[54:42.040] 本人不是他本人。
[54:43.720] 他家亲戚
[54:49.200] 就不买车这人是吧？
[54:51.550] 不是这两口吗？
[54:57.440] 一般人家
[55:00.030] 洗车怎么说呢？
[55:01.700] 我都弄完了，这没什么问题，公司有点脏，该让它们吸都吸完了，
[55:07.990] 但是没伤什么。
[55:10.030] 没升，但是。
[55:11.450] 是什么制动器什么有点问题。
[55:15.300] 他那车是到时候还得让售后那边给他肯定得测一下。
[55:18.980] 他们检查了，他在城里检查。
[55:22.380] 咱的库板上标那些不一定就是那些伤对吧？他有的可能有一个印他才能给写的患者的话，
[55:29.260] 他不一定。
