[00:00.000] 那车了我就接白球桌了，你向前材料我的第一个锅
[04:34.490] 有两两地33米44B5A5B其他的太多了，都不需要，就两2B4次保养3742块钱，
[04:42.290] 就相当便宜了，对两个AA是机油机滤壁式机油机滤空气滤芯，
[04:50.010] 对
[04:51.170] 3742这是矛盾，两个A两个B3742元，
[04:57.890] 得和一次不到，
[05:00.400] 4分，您是800块钱。
[05:02.900] 10万30是吧？冰糖，然后就是刹车油也是，您这车好像才三四百元。
[05:12.570] 三。
[05:18.730] 我们有前面来
[05:23.370] 上周370这一块给您换了，这两个等于咱们正常的一个保养倒也罢了。
[05:31.200] 洗一下空调是吧？
[05:34.840] 空调洗空调就算去腥吗？放了一块换了。
[05:39.430] 套餐里面没有风管理，对，套餐里是不含空调，因为空调
[05:45.870] 所有的套餐里除了您在质保期之内的套餐，其他都不。
[05:49.850] 房子。
[05:51.590] 等于咱们这次就是空调滤芯加上空调消毒和刹车油，
[05:57.210] 一共是1486。
[05:59.590] 然后再加上一个
[06:01.310] 5486加上一个
[06:05.210] 4次保养的
[06:06.870] 一
[06:07.960] 5250 5220 20。
[06:12.540] 5228。
[06:15.230] 五。
[06:22.260] 完了。
[06:24.360] 然后我们就给你看，
[06:31.990] 然后左前叶子板这块想修，如果您想修的话，
[06:38.050] 你可以考虑这个保险，因为
[06:41.000] 这个月从上个月中旬开始，
[06:43.700] 一个代步车险的。
[06:46.000] 是把您那个车等于说把您这车又免费修了，还能反映点钱。
[06:50.540] 这是
[06:53.280] 咱们在您的正常的您商业险的基础上，
[06:57.090] 加以险，这个险是1498块钱，就1500块钱，
[07:00.740] 然后每修一次反2500块钱现金，
[07:03.470] 一年可以休两次，最多返您5000块钱现金，直接给您打您卡里的，您爱干吗干吗用。
[07:09.950] 这么一个东西等于您那个车首先它叫逮捕车险，
[07:14.030] 因为你把车放我们这修，
[07:15.660] 我们不知道提供了代步车，
[07:17.420] 这个钱你打车用，您愿意打打不愿打都是自己留着，然后还有U叫补偿。
[07:24.190] 因为那车用您的商业险修，第二年会有一个涨幅，但不会涨太多几百块钱按次数了，
[07:29.860] 然后这个钱又给你背过来了。
[07:31.480] 这么一个东西，如果你想修，近期想因为它这个是上完保险，比如说今天下15天之后才生效，
[07:38.740] 如果仅仅想修就放，因为这是特别合适。
[07:41.520] 等于最后您这块7
[07:43.290] 白修，
[07:44.280] 你可能还最后能，你要是修两次可能捞得更多，你要修一次能烙几千块钱能。
[07:49.790] 他这一次比如说针对这一块还是不是，假如说您的
[07:54.690] 昨夜晚现在左夜晚有一小坑，朋友小发烧，整个叶子钣喷，然后你左前杠了一趟，整个杠拆下来整根喷。
[08:02.680] 对三线工艺是没有单独补的，因为单独补漆的话有色差，
[08:07.990] 而且会脱落。
[08:10.280] 你发现你不让你一点
[08:14.260] 对这边您的正常的这份保险的
[08:17.020] 时效一样一年，只不过是从您比如说您今年上明年的今天这一年，
[08:35.410] 今天过来。
[08:40.560] 好，再见不好意思。
[08:47.180] 今天榜样咱们先这样。
[08:53.610] 您说行，这看您自己。
[08:58.400] 你要想上你这可以上15天以后想什么时候什么羞，对，这个不会让您今天放着。
[09:06.330] 这个星期上完15天以后对才生效。
[09:14.230] 但生效之后你想什么时候休息来着？
[09:20.460] 确实受不了也好。
[09:25.530] 对我今天
[09:30.060] 比如说我在收这个东西，他那个钱如果超出他
[09:37.060] 不管。
[09:38.040] 不管您这车是迈巴赫换一玻璃2万块钱也可以陪。
[09:43.830] 赔2500，然后这车如果修了超10万了，
[09:46.960] 让人给1万，不这样的。
[09:49.610] 反正不管，但是不用再交钱了是吧？对。
[09:53.320] 对我也一样。
[09:56.160] 我就开车。
[10:15.860] 电话这不能您也到现场保险公司那边干，对，你要是半夜我带名著，
[10:23.610] 来就给您
[10:27.630] 两2B这么多钱，里边包括这些个A然后这几项加一块，然后下载加在一起是5228一。
[10:36.910] 然后钱
[10:43.240] 然后
[10:47.370] 出车单到时拿着取车来。
[10:51.530] 时间大概有个
[10:54.170] 两个半小时差不多，因为有刹车油，没事，我完了晚上5:30之前。
[11:05.630] 你要现在上我现在带您过去。
[11:08.860] 您看您
[11:11.700] 现在能把握的在宁波。
[11:14.150] 谁知
[11:15.590] 1500 1498，1489，
[11:19.690] 谁知
[11:25.120] 开户
[11:29.000] 数据、
[11:40.870] 行或者你要是
[11:42.720] 早点回来，谁知
[11:48.510] 好，您先忙您的，然后完事给你打电话，没事。
[12:05.080] 活动
[12:25.170] 之前
[12:30.070] 要求
