[00:01.390] 7月17号20分。
[03:55.900] 对强的不是一星半点。
[03:58.390] 但是你要是
[04:02.590] 但是要是来。
[04:03.840] 开车路上。
[04:07.080] 懂不懂？
[04:09.330] 不懂谁知？
[04:18.770] 像我这车卖得也还行。
[04:22.880] 属于AMD。
[04:24.260] 对这门的，然后在AMD平台大家觉得
[04:28.180] 还可以，
[04:34.390] 反正您要提速什么的肯定是没问题。
[04:41.240] 咱们都是车险。
[04:42.910] Ng有私家车。
[04:44.440] 是应该
[04:46.520] 没带驾照了，肯定我不能让他吃。
[04:50.430] 没事，哪天您存一下我电话，每天咱过来是昨天7000块我月就行。
[04:56.410] 今天1000块钱。
[04:57.560] 根本那厅里边不能点。
[05:00.260] 我主要要求有什么？
[05:06.680] 深的话其实不瞒您说怎么做的，
[05:09.330] 但是我看着宣传挺好的。
[05:12.140] 对，但是其实他没有那么大的一个
[05:15.080] 到时候咱时间来说，您可以在游什么都听不懂。
[05:19.880] 让他。
[05:22.790] 我看那个老头介绍的。
[05:27.290] 对网上可能还得把这全说得好一些。
[05:31.820] 其实本来他包括包围阿维E包括侧面咱AMD的雕龙骨，
[05:38.280] 前边封刀什么的，
[05:40.980] 确实
[05:43.130] 条胡同
[05:44.540] 综合性价比你看都办齐了，有了40多。
[05:47.810] 4个分期的。
[05:49.350] 分期的话首付30%。
[05:51.350] 有30多。
[05:52.540] 30%，但是这台车增配了好几万的配置，
[05:56.950] 就包括放在台上这些
[05:59.550] 控制按键，咱们A35每台车来的时候都不一样，
[06:03.060] 它的配置。
[06:04.080] 包括漆面。
[06:06.320] 然后反正都办齐了，这车应该我上次给算过，应该是在49，分期首付30%的话，您也得准备出20。
[06:15.490] 四二十万还不买。
[06:19.470] CSS
[06:21.160] 3S那49买的S day70的最低配，我刚才看到
[06:27.190] 9596。
[06:29.620] 对，您加上购置税保险。
[06:32.140] 那是最低。
[06:33.720] 连无钥匙进入都没有。
[06:36.640] 这是300，还有一个2。
[06:38.630] 对最低配今年新出的一个2601.5T+48伏电机的，
[06:44.240] 出了一个办齐了有个60
[06:48.160] 6岁出头，
[06:49.760] 这半提高
[06:53.430] 不投入预算。
[06:54.760] 对，这车反正没有什么优惠的，国产可能还能优惠个1万左右，
[07:00.670] 进口纳两厢的一分优惠都没有。
[07:11.350] 但是利率的话会比CS那些车会低一些，
[07:15.540] 因为AMD有单独贴息，
[07:22.240] 我可以咱坐那我给您算算。
[07:25.000] 让您对比一下。
[07:34.320] 上C
[07:36.310] 260。
[07:37.440] 上面多少钱？
[07:38.840] 半次都40不到40两驱版本。
[07:42.010] 对。
[07:43.360] 四驱的咱一直没来车，因为北京这边来四驱车很少。
[07:49.200] 它两个之间的性能
[07:51.140] 相比，
[07:52.220] 初速度，您说哪俩车？C260除非跟这车
[07:56.990] 我感觉没得可比。
[07:58.820] 您指哪方面？
[08:00.200] 不是特别。
[08:01.470] 综合下来最起码这车我要是进入座椅加热的全有，那是咱们平氛围灯什么的也好看。
[08:10.060] 空调出风口也没有氛围灯。
[08:11.810] 有他不是这样的。
[08:14.360] 他就中控那有一点点，然后门上一点点，
[08:18.130] 他不想把大屏上穿着的那种感觉。
[08:21.440] 太贵。
[08:22.900] 退出来。
[08:25.600] 这块三点
[08:31.750] 你给我算那个。
[08:33.570] 320图片。
[08:37.910] 像我们那边有一个
[08:40.210] 4S店，他叫A180的话
[08:44.830] 可以零手术都可以，咱们也可以都可以。
[08:49.000] A级车和B级车都可以。
[08:51.470] C260也是。
[08:54.000] 只有A级车和B级的。
[08:59.720] 他就是厂家政策。
[09:01.100] 而且那个是坐48期。
[09:03.530] 也就是说这车可以坐那车，260不可以做，这车坐不了。
[09:09.300] 普通的
[09:10.850] 奔驰不是AMD平台的客户。
[09:15.600] 要分析多少？
[09:18.240] 3260 30%. 
[09:20.540] 30%多少你就算一下。
[10:31.970] 您出有置换吗这个指标？
[10:34.890] 有指标。
[10:36.070] 线条。
[10:38.550] 如果有退换的话还是置换补贴。
[10:41.850] 吃饭补贴多少钱？80块钱。
[10:44.300] 差不多到不了这条已经算一下。
[10:47.370] 这算是5000。
[10:48.730] 商业险。
[10:59.600] 我看我老从动车地上。
[11:02.080] 网上报价报得很低。
[11:04.590] 是吧？
[11:06.120] 实际买就是不是都
[11:12.580] 但是这车按你刚才那时候肯定是
[11:15.420] 超过预算了。
[11:17.410] 没办法。
[11:18.820] 他确实而且那车来还能赔好几万。
[11:21.760] 出厂您还取消不了。
[11:30.090] 您要是不注重动力，因为我觉得刚才咱俩聊的很
[11:33.800] 是。
[11:35.400] 您不太注重动力，如果咱市区内开的话，其实您有。
[11:39.710] 我注重动力是吧？
[11:41.570] 但是您重新强调，但是从那个价位上讲我就接受不了。
[11:50.890] 因为我有车，
[11:54.010] 我。
[11:55.490] 迈克、
[11:57.580] 对，也可以这么说。
[12:02.650] 我是非常注重
[12:04.810] 这个车的，为什么？
[12:20.080] 你有指标。
[12:22.750] 不买车，
[12:26.790] 我不行。
[12:31.950] 奔驰35。
[12:34.790] 现在多少钱了？
[12:36.590] 您说交易还是S。
[12:38.690] 对。而已。
[12:39.960] 交易三五聊跟购买时尚号缓。
[12:42.780] 对标配都是标配。
[12:44.670] 标配738,800都30~80。
[12:48.400] 300。
[12:50.000] 我得84点乘加上购买的保险，
[13:02.510] 给您算一个三年期。
[13:04.270] 最多是几年？4年4年年4年。
[13:22.650] 颜色跟有黑颜色吗？
[13:25.120] 春梅茜窗现在。
[13:27.310] 您说。
[13:28.820] 黑颜色。
[13:33.140] 做好像很晚婚彩生活。
[13:37.320] 国外8月17号预计生产出来到咱这块3月，
[13:43.990] 如果不出意外就没有一生影响，可以说差不多就是年底。
[13:48.880] 然后这台车显示室内
[13:52.310] 黑车红内，然后加了一个夜色，主要
[13:55.500] 增配了22,000指导价变成了382,800。
[14:06.630] 然后给他
[14:07.440] 按了一个，我这个是按标准配置算，指导价是360,800，咱优惠18,000，
[14:13.110] 然后说三四万两千八开票购置税是3万，
[14:16.810] 然后验收收完费部分车型所有权都是2500，然后保险是按照全险给您预估的，到时候也是按咱们实际支出为准。
[14:25.110] 然后装饰的话15,800，这里边贴膜大包围脚垫，后备箱隐藏式行车记录仪，然后丢下就是说40万出头。
[14:32.410] 然后对你要是有旧车置换的话，我们就保险的话给您补贴。
[14:36.750] 没有住房。
[14:37.850] 然后首付30%在70%给您算的4年期，然后每个月还6200多。
[14:43.500] 每月6200多吗？
[14:45.700] 当然我给您看了一下，如果您做4年切利率基本上是在4个点，那你就不
[14:51.490] 4.8个点我看了一下，
[14:54.130] 你就不做银行了。
[14:56.110] 4.86。
[14:58.980] 它是标是标的8.99，换算成银行电话利率是4.86。
[15:03.100] 10万首付10万。
[15:04.680] 然后加上这些费用是您第一次
[15:08.540] 这10万里包括所有的都没有，10万次的车辆，您分期只能分车架，您购置税验车保险还分布到这边，这是个十百千万。
[15:17.890] 40万。
[15:20.250] 我没明白你这个算法，就是说
[15:22.610] 我比如说首付10万的话，
[15:24.820] 然后我还得加上这些。
[15:27.980] 您这些分不了7。
[15:29.650] 这税验车。
[15:31.660] 这没多少钱，1万2万。
[15:36.950] 也就相当于15万以内的。
[15:39.280] 对吧？
[15:40.250] 对，15万下部您这就3万了。
[15:44.370] 3万。
[15:45.100] 43,000。
[15:47.290] 43,000。
[15:49.720] 58,000 6万。
[15:51.170] 6万166,000。
[15:52.840] 568,000就17了。
[15:54.970] 17万。
[15:56.250] 然后每个月还6000多。
[15:58.160] 年还6000多。
[15:59.540] 您要是选择分指标是您自己的名字吗？对，您就做银行的，银行现在还低1.3.5左右，我刚给你看奔驰金融，我这是按本持金融清算的吗？是4.86。
[16:09.480] 有点高，
[16:13.940] 怎么样就更少点。
[16:16.010] 您提高
[16:17.640] 聚焦首付，
[16:20.290] 或者您做这种方案跟驰也有，
[16:24.310] 这个就好多呼呼想想，
[16:26.790] 中间也没什么压力，手里边还有一部分资金，
[16:31.450] 但是做不了4年，
[16:33.640] 最多的话是三年期，那年3月3
[16:36.860] 首付少点。
[16:39.450] 首付不会少点，就是月供少。
[16:42.360] 对越越过。
[16:47.120] 首付一般都收多付的钱全是。
[16:50.280] 是吧？好多客户不愿影响生活质量，它就会选择这种对。
[17:27.400] 36个月一个月就还1000多利息先息后本，
[17:30.220] 等到三年之后一个月您再按16万多的本金还这种。
[17:33.960] 看着这是
[17:36.470] 52.6%，那个是一个定值变动。
[17:38.960] 的十百千万18万是吧？
[17:41.530] 首付18万。
[17:42.660] 18万您加上这些刚才说的大概6万多，那就是二十四五万。
[17:47.610] 24万首付。
[17:49.360] 然后每个月您只还1000块钱的利息。
[17:52.930] 还三年。
[17:57.050] 这没有之前前期后本金
[18:00.000] 这比较合适。
[18:03.070] 对，有没有客户经常选择这种方式呢？
[18:05.540] 因为觉得自己没有占有大部分资金，
[18:07.870] 手里这16万就算存一定期也能回来。
[18:16.550] 价格的。
[18:22.270] 但是您如果想做土地的话，为什么会选择丰富？
[18:26.840] 所以你想选一个黑色的，
[18:29.710] 它不像衣服黑衣服黑的够大，你选黑色
[18:32.740] 辛苦费它本身就小，你在选黑色钱，这超脱就。
[18:38.090] 你意思是选白色。
[18:40.400] 我的意思就是我感觉似乎应该选择一个亮点，
[18:44.350] 或者说个性点走
[18:46.430] 的。
[18:47.630] 对了，还有一款我看看有一个
[18:50.630] CLA
[18:53.200] 暂时没有。
[18:54.260] 还没来。
[18:55.240] 多少钱？
[18:56.500] 还没上市。
[18:58.750] 我看晚上。
[19:00.320] 那车不是停产了吗？
[19:02.550] 平常。
[19:03.610] 少两两年了，对停产了，然后我刚开始一直特别想买那个车，因为那车
[19:09.270] 价格还有什么都
[19:11.860] 然后三天我问好几个4S店，
[19:14.580] 都说停产，
[19:15.880] 但是好多路上这全是新车，
[19:19.630] 我不知道他们从哪弄的。
[19:21.320] 没有新车，那人看到原来老款，
[19:24.540] 谁能看见的都是老板。
[19:26.100] 是老款，但是车是新的，
[19:30.560] 我们几乎就出现三个，
[19:32.740] 我就不好意思问人家。
[19:34.400] 去置换，人家买二手车正好搞标，所以没孩子。
[19:38.590] 但是车肯定是新的。
[19:40.570] 关键是这车。
[19:41.870] 因为这车没停产之前路上很少见，因为你车
[19:47.070] 你说是啥？
[19:49.090] 很少见，但是这车停完产以后，然后我想买这车的时候，我一看警察了，然后我怕我们激素停了三辆，
[19:56.810] 那一不能出现三六亿吨都是黑颜色的，而且特别鲜，
[20:01.160] 不像是旧车。
[20:02.790] 关键是库存车这也时间太长了，
[20:06.160] 有点太库存了。
[20:08.030] 是吧？
[20:09.760] 那个车咱什么时候。
[20:12.160] 车型改款之后是1.33T的发动机了，跟A一个平台，然后
[20:17.860] 可能又是。
[20:19.470] 因为我从网上看他纬度跟
[20:23.740] 电话。
[20:25.920] 但是没告诉我们是从头
[20:28.490] 从我们这上面显示国外6月份下线了，
[20:32.170] 但是还没出来，
[20:33.730] 也没出价过高。
[20:35.030] 但他们说成都车展有。
[20:37.290] 成都车展几月份开始？
[20:39.160] 今年。
[20:41.200] 今年肯定会来，因为你想6月份都下线了，可能这车都已经造出来了。
[20:45.990] 了。
[20:47.670] 但是具体的价格。
[20:49.640] 但它的尺寸的尺寸比A
[20:52.640] 比A还小。
[20:53.480] 咱A是加长版，
[20:55.830] CA部加长肯定要比他小。
[21:00.120] 但她留位什么是吧？
[21:01.950] 对，他是一叫牌没有快。
[21:03.950] 打开着门没有。
[21:08.770] 他那叫草根交房是不概念。
[21:11.820] 对。
[21:13.870] 就跟我们说cos也是叫好车，好多车叫法应该是两门车还算交房。
[21:19.070] 因为他
[21:20.590] 可能他外观像他调教的
[21:24.310] 不是特别什么。
[21:26.930] 行。
[21:28.770] 方便您看一眼。
[21:31.960] 今年我觉得31,000上来问题不大，
[21:35.600] 因为6月份就下线了。
[21:37.190] 目前是这款车还有CLA我会选择两这两款车，
[21:42.270] 因为那车价格超过预算，因为我名下有车，我就
[21:46.820] 就不想再花很多钱买。
[21:49.320] 难过了。
[21:50.490] 但是这两个车之间我要考虑的实用性还是我个人喜欢的。
[21:55.970] 是这样的
[21:58.650] 看看您要不着急就不行，等ca上去能看看吗？
[22:02.160] 行行跟他这电话是你的吗？
[22:04.220] 是我电话，但是那车要上市，
[22:07.070] 他肯定是不会有优惠的那些人，因为原来老的停产那一带ca的时候都没什么用，就跟着CK基本上是一个行情，都没有什么太大问题。
[22:15.990] 他俩之间我估计价格应该差不多，
[22:18.610] 但是有一个实用性和医护。
[22:20.490] 应该会比他便宜点。
[22:22.170] 对，但是这俩有一个实用性不实。
[22:25.510] 对4门。
[22:27.040] 但是那4门我跟你说后排曾经我因为我不知道新来的后边轴距有多长，
[22:32.770] 但是以我们每次更新换代来说，他应该没什么大的变化周期，
[22:37.170] 他肘子就说是在后座做人，
[22:41.010] 也不行。
[22:44.110] 肯定没有咱那一条狗再说。
[22:46.130] 这我可以拍照吗？可以。
[22:47.720] 不用。
[23:10.660] 谢谢。明儿。
[23:11.660] 参考很好，反正刚才跟你说，
[23:14.800] 您看看后边的颜色就是CK的。
[23:17.420] 你都能看到。
[23:18.760] 您得都是代码，您就听我说就行，都是颜色代码。
[23:24.610] 有守闺房陈兰嗨那是就是那种藏蓝。
[23:28.290] 快男色。
[23:29.580] 然后有白车黑没事。
[23:31.960] 这还没排黑色红，看这才7月6号，
[23:38.450] 比那早一个月，
[23:40.100] 然后这台车只加了一个红梅116,000，没加那些色样，
[23:47.950] 没有办理。
[23:54.120] 刚才说蓝色跟白色都是标配，没赠品。
[24:01.250] 石墨灰就有点跟黑的像棕内饰。
[24:05.380] 我还是比较喜欢深颜色。
[24:07.840] 对，石磨灰就是干脆颜色更近红颜色。
[24:12.290] 因为你说
[24:13.040] 这颜色我形象不出来什么样。
[24:16.030] 不建议您说话声音。
[24:20.700] 阳光不照就跟黑的一样。
[24:26.490] 反正你就看你喜不喜欢红内饰，如果喜欢红内饰的话，那黑车红可以，如果觉得
[24:32.030] 红色的一般就不值的话，咱们就买
[24:37.170] 石墨灰棕那台是标配过来的。
[24:42.210] 因为当时我一个特别好的姐妹，他买那车时候代理新房，他订了3月车没来，
[24:48.300] 然后快那会不知道我在奔驰，我发了一朋友，谁知
[24:54.220] 都封辛苦费，刚出的那会估计有三年多了。
[24:58.470] 然后他说我定力来说，我认定的什么颜色，我说仨月能不到，
[25:02.960] 白车黑，我说白车黑应该挺快的，
[25:05.440] 他一直都没给票，然后我问他他也不说，然后就让我等消费者贸易，但是你那有错吗？我说我这有车是一个白球，我说那红梅是吧？
[25:13.290] 要加16,000，
[25:14.430] 帮我想想。
[25:17.060] 红利那种。
[25:17.990] 种类是吧？他觉得叫宝哥红的也还行。
[25:21.490] 他在我们提的。
[25:23.660] 但是那车你们年轻人开可能。
[25:26.640] 您这岁数也没多大，我们年轻人。
[25:30.150] 肯定比你大。
[25:30.810] 对吧？人家肯定也就80后。
[25:33.190] 对。
[25:34.870] 大多了，你多大？今年走了。
[25:38.890] 1911年的我都40了，
[25:41.140] 我也算是在看电视也不。
[25:46.990] 行，谢谢你。
[25:48.290] 然后再打电话。
[25:53.140] 您要是说
[25:54.590] 出门的话，咱楼下正好有
[25:58.310] 停车券没？
[26:00.170] 您是开车反正也迟早。
[26:03.020] 行，您慢点有什么需要再随时联系。
[26:09.440] 什么时候咱想试点135您拿驾照来。
