[00:00.760] 二次。
[13:13.290] 过完户的话大概在一周左右的时间安排去验车上牌，大概应该在15天到20天左右时间，15天20队才能去新车上，才能有正式的蓝牌。
[13:23.000] 而
[13:23.780] 你15天20天还得我们得拿着，因为我一周一周以后我就得回去，对，所以说您这个还是先开着那车，然后这边的话咱们新车这块只要交了首付就相当于定下来了。
[13:36.930] 交了消首付款，我这边开了发票这就不会再变了。
[13:39.890] 那票已经开了，没车就在这承认就行，车就在我库里放着，等您回来之后把旧车往那放，新车我给你发个灵堂就开走了，对这您还有我又不离阴一次了对吧？就没离京了就。
[13:50.590] 然后这边的话保险这一块我就收一个5000块钱押金，把旧车放的时候我再退你。
[13:57.990] 这个就算补贴的也可以是吧？因为您的旧车得放到这，对我才能拿到这个补贴，你不放了你先开走，那没事我先给您减了也可以，然后再收押金，然后等您发过来之后我再退去。
[14:09.200] 下去吗？可以行吧，没事，咱们就交给您，他今天就交了定金就行是吧？
[14:15.340] 什么不没事，对你们来说财务
[14:19.780] 你财富，然后
[14:23.510] 有信用卡。
[14:25.330] 信用卡吗？
[14:27.310] 我有事。
[14:29.250] 不一样的，我这好像也是
[14:33.120] 我那公务卡
[14:34.580] 能一样。
[14:38.200] 跟妈妈
[14:39.510] 一样的。
[14:44.630] 您是身份证有啥？
[14:48.050] 现在就要照片的。
[14:50.040] 你让妈妈发过来。
[14:55.790] 上。
[14:56.830] 对正反面吧。
[14:58.420] 正反面有吗？你没有吗？什么呢？
[15:01.280] 我应该有的这茬。
[15:03.020] 上次不买房子的照片。
[15:05.590] 咱们好久了？
[15:07.670] 4月不行的，市场上那个女孩记录有没有房上那边上吗？
[15:14.730] 如果说我们两的银行和账号让他发，他肯定他
[15:20.390] 是吧？
[15:21.200] 你应该打个电话，我说
[15:24.470] 你在打电话，然后直接
[15:26.220] 我打电话我把他打你给他打，然后让他发照片，然后在这找
[15:32.360] 的。
[15:45.990] 要
[15:48.800] 我们那边订你把身份证的正反面照片发给我。
[15:57.490] 在家吗？
[16:03.150] 号
[16:07.480] 翻过来。
[16:09.000] 马上。
[16:28.880] 红色的。
[16:30.470] 红色的加重了，七是单独的金属漆，还有一个是
[16:37.330] 包装的，
[16:39.500] 然后的
[16:42.050] 二
[16:47.880] 要
[16:49.620] 坏。
[16:53.060] 场
[16:58.350] 场
[16:59.870] 数据
[17:02.160] 的
[17:03.590] 数据
[17:48.010] 数据。
[18:27.450] 行
[18:29.250] 了。
[18:32.030] 一会给我们来登记是吧？
[18:34.510] 一会我一直照片来行吗？可以是吧？
[18:38.190] 让我用一下我照一下。
[18:40.270] 因为我还这边我在做系统，我得要
[18:43.460] 正面的照片，你这怎么用，对我就照一个照它都能自动识别。
[18:51.940] 贴纸这个还行。没事。
[18:58.900] 然后背面这个是不是不行？
[19:01.320] 可以这个没问题不影响。
[19:05.970] 把
[19:07.680] 今天方便多了。
[19:11.390] 谁知
[19:14.090] 坏数据，
[20:12.920] 场
[20:14.770] 的
[20:21.160] 坏。
[20:25.040] 一样。
[20:28.590] 数据、
[20:33.690] 数据、
[20:40.010] 数据
[20:41.790] 场、
[20:45.760] 数据、
[20:47.340] 数据、
[20:49.060] 数据
[20:52.670] 81。
[20:53.960] 的。
[20:54.930] 的
[21:08.120] 往里面
[21:09.960] 的
[21:15.800] 飞往
[21:16.800] 我和你
[21:19.480] 有谁知。
[21:20.720] 来我这。
[21:34.400] 1615的手机号您带了吗？我的
[21:37.710] 一个号那行不行？
[21:39.230] 他让我给你发一个验证码好。
[21:42.270] 您签个名字，签指标人的名字。
[21:44.960] 千万芊芊指标人的新鲜金夫人的名字那行。
[21:50.920] 后面点我没收到验证，我还没
[22:06.790] 好。
[22:15.010] 收到了。
[22:20.010] 1368363651615。
[22:24.020] 二收到
[22:25.560] X bo科技，
[22:28.170] 好吧，明天那个数字芭比不是这个646212
[22:34.690] 64
[22:36.170] 2958，
[22:40.880] 五
[22:41.890] 5360看一下。
[23:22.390] 场
[23:25.600] 抵押。
[23:30.370] 对。
[23:35.540] 手机。
[23:37.000] 什么手机？就是您正常的话。
[23:39.590] 日本就在奔驰金融。
[23:41.300] 只要您这打电话都能看得出到能查的着
[23:45.250] 的
[23:48.290] 的。
[23:49.000] 如果您需要话可以给您开证明。
[23:59.390] 可以，如果您需要还开证明。
[24:02.640] 好。
[24:05.080] 操作
[24:14.270] 稍微再多讲。
[24:15.460] 咱们
[24:17.150] 解决。
[24:33.650] 后沙。
[24:39.690] 我估计在8
[24:44.900] 转身要
[24:47.920] 一下就交通交接开票
[24:55.270] 收入，
[24:56.470] 客户已经交了交完定金了。
[24:59.380] 好，请轻下来了。
[25:03.040] 你给。
[25:04.010] 还有一点我快点，天天6.5天，
[25:07.320] 原来点点钱没有让我做，你看我很快，最后反正晚上他也没什么，
[25:16.100] 对。一个很少。
[25:19.970] 的
[25:23.830] 相关。
[25:26.040] 这样您看一眼就行了。
[25:28.280] 因为咱们电子签完了，刚才您看看这个咱们订购量奔驰E300L就是标示励志的的，对。
[25:36.120] 然后你黑成就是书墙板的黑色外观，
[25:39.860] 然后棕色内饰。
[25:41.600] Nasa的是吧？是要棕色的，咱没看什么颜色，红色黑色白色是吧？那边的咱没看啥样，看了好像跟样式一样，对，他上班木纹，这像对就的就最希望。
[25:56.590] 然后车架号是549101一个车就一个，待会跟你核对这辆车的基本信息，到时候等来的时候
[26:05.630] 42万 499,800减去了游客的75,000 424,800，这是成交价。
[26:11.880] 然后有一个就是店内置换包含5000保险，
[26:18.220] 今天交了定金1万就完事。
[26:20.230] 200很简单。
[26:22.620] 用了合同给您一份盖章的，我就上楼找我们头签个字，这给你来一下。
[26:28.290] 这你得帮我签字，客户签字，
[26:31.520] 签上指标人的。
[26:33.170] 你听我复印件是吧？这个是吧？对这个就是一个服务公约，就是全程咱们没有什么强制，您必须干嘛的，好就确认一下行好了。
[26:44.360] 稍等一下，我去找木头去签个字。
[26:48.500] 照片上。
[26:51.190] 稍等看看。
[26:52.240] 快走，之前有一个刚刚接了一个电话，我认为直接
[27:02.030] 的
[27:03.760] 代表，
[27:06.700] 我们家的
[27:14.070] 分
[27:15.540] 的
[27:17.650] 快。
[27:26.820] 快点
[27:32.310] 好像叫相守看的
[27:37.730] 高兴地将手镯
[27:39.730] 伤口过激的。
[27:41.750] 对。
[27:47.230] 现在顶尖
[27:48.680] 简化了别的地方吗？
[27:52.140] 假冒伪劣，
[27:59.110] 真的像
[28:00.580] 领导意思多少在家想要不千万知道，一点都不快乐，这样大家刚才上来了，他们说他
[28:09.040] 说美国刚才我说打算冒都是
[28:13.000] 这个还不错了，
[28:15.030] 我也很好。
[28:19.400] 主动
[28:21.070] 的
[28:24.370] 的268，然后130。
[28:30.650] 好了。
[28:32.680] 差不多远
[28:37.590] 数据。
[28:39.130] 坏
[28:44.330] 号
[28:46.950] 场
[29:05.560] 三
[29:14.250] 的
[29:17.230] 号
[29:19.080] 远。
[29:31.410] 来
[29:34.590] 咱俩说话。
[29:40.810] 我们可以看这
[29:46.810] 先生您好，咱们店的金融顾问，
[29:50.040] 然后我跟您说一下大概经营需要的手续，
[29:52.750] 请问指标是您的吗？还是我夫人您夫人，然后还款也是您夫人来还是
[29:59.080] 可以放在它们以前一样的，您夫人自己来自己说他来不了就没事他不用，我说您就说您自己来贷款可以，行，然后反正您每个月就400块钱，然后让您夫人
[30:11.440] 找一个工商、农业、中国、建设这4个工业型，每月保证她6月400块钱的小孩到时自己就划走了，直接绑1个卡上就行是吧？
[30:20.720] 然后请问您夫人这边主要收入来源是上班吗？还是自己进公司上班？
[30:24.900] 我跟您说一下大概的手续，然后您现在先听一下就行，具体的到时候我会让我们销售同事张军
[30:31.830] 给您微信发一份详细的清单，然后您照着清单准备就行了。然后前期手续很简单，就是您夫人的身份证正反面，您让他拍照片开朗了，行，一会您直接发给他就行。
[30:42.400] 剩下的就是信息类的了。
[30:44.880] 信息您到编辑成文字发给我们就行，比如说您的手机号，您夫人的手机号，现居住地址，
[30:52.370] 大概的居住年限，
[30:53.860] 然后他当前工作单位名称，当前工作单位工作的大概的年限在这干了多少年了，
[31:00.170] 然后先生您的姓名、身份证、手机号不用您的证件，也不用您的工作单位，然后这些编辑成文字发给我们就行，然后您夫人有名片或工作证之类的，
[31:09.070] 这个工作证有工作证，您再麻烦让他拍个工作证照片这些，现在稿子好看。
[31:14.730] 没事马上到家就行，回去谁知
[31:21.010] 然后奔驰是电子申请，现在我给您上传到系统以后，您夫人不是军人吗？
[31:27.820] 是不是小我们在学校里OK，然后您夫人手机会收到一个奔驰下发的短信，里边会有一个链接，然后需要他点进去按流程登录一下，
[31:37.470] 里边所有的内容都是我们已经给您签好了，
[31:40.570] 您近几号就能看到您提供给我们那些说您住哪了，现在工作单位名称，同时您还能看到您购买的具体的车型，
[31:49.000] 成交价格、首付比例、贷款比例、越供利率，您自己在手机上全都看见了，然后到时候您就核对一下就行了，照着订单然后没问题的话，您就拉到最下面确认。
[31:58.810] 很简单顺序，对，顺序的话一般一两分钟
[32:01.980] 就完事儿了，这些开着现在能看哪些东西，这个名字工作证明。
[32:08.060] 采访的时候大概吗？
[32:10.100] 用吗？不是垫子上面。
[32:12.690] 您就开着是吗？您到时候拍这照片也行，是近期开的吗？您刚。
[32:19.240] 也就是说你要能天天给我添上就完了，
[32:22.080] 但是我不认得他，我的一个分子最后混的就好用他就行了，你看着我就拍个照片再
[32:34.720] 因为考虑到
[32:36.600] 办贷款是不是干什么金融债券是不是需要这个东西，就是单位和收入证明的问题应该很齐全，行行。
[32:46.450] 他这边需要提供。
[32:48.310] 那就工作单位名称就不用了，到时候您就回家，您抽空把您住哪了，居住地，
[32:54.210] 然后大概居住年限您编成文字发给我们就行了，就写了明天咱们好身份证明反正对行，我们接着那就不用开那个
[33:02.350] 工作证也不用拍了，工业用不用了，公证也公开了，对那就行。然后最后一步就是新车验完车上完牌以后，需要您夫人的身份证原件，
[33:11.130] 大概三个工作日去完成车辆的抵押登记手续，没有任何费用也都不用您夫人本人去跑出去跟我们呆半。
[33:18.150] 你们代办是吧？高管给您代办。
[33:20.810] 我们就等着就行，对，只不过需要您夫人的身份证原件大概三天工作日，对我都是我们去办也不用检讨，然后只不过这两年期间您绿本就放在奔驰金融，
[33:31.990] 然后如果您有需要，比如说作为日本就是车辆登记证书，
[33:36.190] 车辆登记证书应该咱们就车也得需要。
[33:39.510] 那就车回去得找找有绿色的旧房本的车辆登记证，
[33:44.920] 停车证的不是行使本，是大的绿本。
[33:48.830] 大了您翻一下。
[33:51.410] 因为那东西不经常用，肯定都在家。
[33:55.330] 会不会的？我们这存在你说是什么样子，你给我把名称写出来，你别说绿本，我我好查查是谁，稍等你先说你可以让他给您拿一个您看，因为我没感觉
[34:05.560] 贷款就抵押这东西，您一般不过户，不买卖就跟您似的，可能倒卖车的时候
[34:10.970] 才想起找这玩意儿，然后所以他名字叫什么车辆登记证书。
[34:15.980] 绿色的就这么大，
[34:18.090] 预赏的发育刚才如果没有不行，没有你得补办来。
[34:24.700] 真的没有，我那是摇号之前的车了，您不是您什么时候摇号他都得有这玩意儿，只要一辆车就给。
[34:31.550] 你可以照片。
[34:33.100] 照照明可以照明，照着您旧车是哪年的？
[34:39.190] 我那旧车是010210019就是摇车摇号的，当年那110的肯定有。
[34:46.670] 1号的一号之前。
[34:49.480] 也有这个是07年就开始有了是吧？对。
[34:53.580] 发行商一般没有这个的，当时做了分期有抵押的就没您当时要是说就没有了，我就直接买。
[35:01.830] 那个事我只能问问我问问这奇怪，我就一点感觉没有，就跟闹着玩是要不就把要依靠钱丢，要找一套全在，包括购车发票这个没费用，要是所有都是一套的，也有可能又没记得。
[35:16.880] 对您这东西您马上撤了，我们就放一地了，
[35:20.450] 这东西一直都没有用，还有一个交完税那小本都有将来是的效果，对，您要是有的话都是依靠着全自动。
[35:28.610] 这个是已经丢了，这也是补回来的。
[35:30.970] 还有如果要丢了，我告诉你怎么去补的，车子谁车主是谁的。
[35:36.630] 车主本人拿着行驶本带着身份证开着车，
[35:41.110] 你查一查近的，
[35:43.550] 到车管所以后10块钱就不玩了，实际也挺方便是吧？但是要必须本人去，本人爱对别人都管不了这事。
[35:54.810] 来到没事吧？
[35:56.850] 行了。
[35:58.260] 你找找肯定要应该有可能我们从来不用，因为这东西我们光拿着行驶证，新新型日本，其它晚上就跟车的身份证一样，一车就一个。
[36:08.990] 是吧？对，因为咱马上车之后一套都给您了，你肯定这东西没用，对没用，但是你要卖车的时候才有用，行行，我们回去找一下，找对公务车发票整个是一套的。
[36:19.210] 行没事。
[36:21.300] 能上楼。
[36:23.280] 你去吧。
[36:27.090] 好，出去是吧？
[36:28.840] 信用卡了不虚拟化来。
[36:33.600] 好。
[36:35.840] 走吗？你啥了吧？
[36:39.030] 拜拜。
[36:41.730] 没有。
[36:43.940] 等您拿回去。
[36:45.490] 是吧？
[36:50.410] 看看
[36:51.660] 第二
[36:52.770] 飞
[37:12.030] 估计一下一点都没印象，要不然以后都放在哪地儿了。
[37:15.280] 对。
[37:16.370] 应该有是吧？你们不用等我了。
[37:19.270] 我们就觉得太早了，
[37:21.810] 都不知道放哪飞哪了，
[37:24.150] 我们想放可能就放在一个地方，但是不能
[37:28.200] 你都了
[37:30.320] 验车的时候也不用干什么都不用，做龙头卖作用，
[37:37.650] 找一找应该。
[37:40.050] 没事直接找不到再补办一下，就是到那10块钱到那就
[37:54.260] 我们交完订金就等着往上走，那手机就完了。
[38:01.510] 然后就等你通知。
[38:03.380] 基本上
[38:05.420] 都忘了。
[38:06.980] 道外是吧？怎么过来换算？
[38:10.120] 另外希望已经出现了
[38:13.590] 互相已经不在是吧？
[38:18.980] 你要是给家里人打电话，他自己卖的话，他自己画了我不管了，都不会用吗？
[39:10.770] 便会
[39:11.690] 当时
[39:13.600] 你就完了，过程不用身份证复印件，对，我知道我在节目就行，来，咱们过来那水源给你了吗？
[39:21.050] 谁来了？
[39:22.560] 有吗？
[39:23.320] 有你签了5000块，昨天刚
[39:31.880] 好像有点印象，这样有可能就是说你慢慢想起来好像是
[39:39.170] 那个东西什么时候进，就是我退车的放车的地方用，我也不着急。
[39:48.140] 不能用信用卡是吧？
[39:50.410] 这款的扣点是吧？
[39:52.800] 然后开发票，
[39:54.390] 并卡银行卡黑。
[39:57.070] 对吧？就你们那边查过吗？说完了。
[40:01.120] 周一谁上班你干什么？
[40:04.450] 要
[40:06.770] 周一我要20万的现金，
[40:09.480] 20万小于40万的补助，好了，我就直接说一声你上海是吧？
[40:16.600] 储蓄卡再来，可以开发一下，对，手机卡我
[40:23.030] 网上整你刷新。
[40:24.970] 不但是扫码刷什么也行，上面说的不行。
[40:35.520] 生产号。
[40:41.430] 数据
[40:42.820] 数据
[40:47.340] 9月。
[40:49.440] 数据。
[40:52.540] 来
[40:55.110] 23。
[40:57.920] 点
[40:59.960] 花。
[41:01.180] 对不对？
[41:04.830] 好久没用过来。
[41:06.560] 发信用卡。
[41:10.560] 幸福。
[41:11.780] 这不是
[41:13.980] 在冲动。
[41:16.800] 我这号对不对？
[41:18.280] 这个不对是吧？
[41:21.890] 来应该把卡给我一下。
[41:30.650] 现在
[41:32.390] 对不对？
[41:34.440] 行了，这回行了等一下。
[41:46.750] 来。
[41:48.300] 您签指标人的名字先解掉你的签名的。
[41:52.650] 这是我们聊的跟银行没关系，
[41:58.960] 知识。
[42:06.440] 活动。
[42:14.170] 数据
[42:16.270] 一
[42:17.580] 数据。
[42:20.620] 数据。
[42:23.790] 号
[42:31.520] 了。
[42:35.330] 没事好。
[42:38.900] 稍等一下。
[42:44.910] 没油了。
[42:49.160] 飞过。
[42:52.970] 花。
[43:15.320] 污染件差点转了转了今天给我
[43:22.030] 谁知
[43:32.090] 这个了。
[43:33.250] 这个是您的刷卡的谁知，然后稍后您打过来。
[43:40.740] 这是咱们订车合同上到车上放着了，就只能换乘车站。
[43:44.600] 车架号车已经定了是吧？那就这样说。
[43:47.240] 我也没见过在说什么，您提车的时候，然后我会按照展车这个标准都收拾单位，就是让你检查外观律师，好，确定没问题之后，咱们再办后续的手续有问题，同时再换成一个问题。
[43:59.990] 然后后面咱加个微信，我把需要的东西担当微信你加上了。
[44:04.480] 加你吧，因为不对，因为你后面说一点一点。
[44:11.150] 话。
[44:13.370] 调整一下，然后他就在这边了。
[44:17.210] 回来之后您给我编制一个住址的住址信息。
[44:22.480] 这样的你把要求发到微信上面，我就发给他们，然后我们按照发完就返给你，不是，反正手机不止。
[44:32.280] 谁现在告诉你就就北京行行发电，然后您让你的身份证号码照片格式，
[44:39.580] 在过程OK这边拍照片，然后还有都不止的资金就完事了是吧？
[44:45.150] 那时候
[44:46.140] 然后还有一个。
[44:49.770] 在家。
[44:50.760] 这个东西。
[44:52.030] 这种情况开车来了。
[44:53.960] 了。
[44:54.870] 三
[44:56.120] 到了3月18。
[44:57.950] 对。
[45:00.910] 到今年的话，
[45:02.160] 我们通过之后就是说把车开过来，
[45:08.160] 然后收单还有。
[45:16.180] 那行那就可以了吗？周三？
[45:19.620] 你可以。
[45:20.640] 很快降临，
[45:23.810] 还是不能的，大学老师的资质好，今天干了，你只要提上去的，
[45:30.220] 对资质。
[45:32.420] 都是系统自动默认了。
[45:34.690] 用。
[45:58.550] 可以了是吧？
[45:59.860] 我记得就可以，好了，发微信好man懂得。
[46:52.760] 然后到那边他们就有卖
[46:54.310] 透明手机壳在手机上写符咒，有钱的我就去问。
[46:58.720] 然后我到那问我说我说我手机壳上写这些东西，
[47:03.080] 我说这手机壳写的东西我都掉了，就上你。
[47:06.720] 然后这个多少钱有没有？他说他们就那一开始师傅说我们这没有手机壳，你得提供自己手机活，
[47:13.670] 然后我就拿这手机壳，然后他看了一眼，他说你拿手机拿来，他就把壳摘下来抓。
