[00:01.270] 想想放弃报警是吧？
[12:54.520] 再说的话。
[12:57.960] 我可以大写。
[13:08.550] 我稍等一下。
[13:12.060] 我越来越。
[13:14.990] 到底是哪个没有？
[13:20.650] 慢慢
[13:22.140] 用，
[13:26.240] 我家了。
[13:30.530] 把什么？
[13:31.680] 把录音的。
[13:33.080] 不是。
[13:36.810] 的
[13:47.160] 说。
[14:11.870] 是不是没留言？
[14:15.960] 号。
