[00:05.480] 重新签一下。
[03:04.320] 速度。
[03:05.530] 不是触屏的，不是可能是模板或者是按钮控制的。
[03:10.960] 是这样的。
[03:16.750] 明天坐上这车感受一下。
[03:20.900] 这在
[03:21.710] 直接说。
[03:35.760] 兄弟你闲的话我能问你几句吗？您说。
[03:39.150] 因为我基本上北京的店我都干嘛了，因为你家不是有优惠，最后才来到您之前联系过咱们的销售吗？
[03:46.970] 我联系你们客服，你们客服我在这等着，我都在这站了10来分钟了。
[03:50.730] 您明就和姓王先生行行，我简单跟您说一下。
[03:54.870] 现在典藏版整个下来是多少钱？
[03:58.520] 典藏版。
[03:59.770] 典藏版的话现在等会。
[04:02.800] 等我跟他说问我最关心的问题，
[04:06.950] 你这个是奔驰的金融还是怎么贷款？
[04:10.600] 因为我问了几家，他的贷款的说法不一样，有的是可以文化，有个奔驰金融运作，还有的说
[04:18.450] 你看我在马驹桥那过来问他就说他只能做中国银行，
[04:22.250] 但是我个人认为就不是金融要合算点。
[04:25.120] 奔驰金融不合适，如果从利息来讲，那银行合适
[04:29.160] 跟金融是相当于6点多人是8点多，银行的话最低利率可以达到3.1，比如工行。
[04:36.320] 做5年那说的不一样，因为。
[04:39.150] 我估计是因为他那。
[04:41.530] 他老给我推就是4速的，我说我要迈巴赫话是20公分。
[04:47.490] 然后他说S450的利息，比如说利息高其实无所谓都
[04:53.730] S了，那肯定要买。
[04:55.990] 但是如果迈巴赫的话，肯定是做银行的合适，然后您这儿是可以置换吗？可以置换，但是我的车不是准备要可以。
[05:04.820] 还有可以行。
[05:08.190] 可以吃饭，然后利率比较低，比如说做工行是最低的利率，如果说建行的话。
[05:14.770] 利率是稍微通常多那么0.12，但是建行有一个好处就是它没有违约金。
[05:19.390] 是。
[05:21.960] 咱们这车现在下来落地大概多少钱？
[05:25.890] 车下来的话落地的话。
[05:29.080] 一打个比方正常的话如果全险的话，接下来162万，
[05:33.420] 1,620,902，
[05:36.300] 送保养什么的保险不送保险。
[05:39.670] 送保险。
[05:41.460] 送保险，
[05:44.540] 点房产。
[05:45.870] 研发卖的，你现在裸车就可以了。
[05:48.140] 也能买1,458,800。
[05:50.210] 就是官方指导价价格是吧？
[05:54.790] 1,458,800。
[05:56.650] 你上面写的优惠稍等先生，这就是群里头刚才有一个
[06:01.540] 什么有一个王先生稍等，可以安排一个销售，王先生这事儿你跟我说了，就这个逻辑知道到现在
[06:08.150] 还有我们
[06:10.000] 这我这个是86877是吧？
[06:13.500] 等半天了，咱王女士我这不接着的，然后
[06:16.920] 不是何先生着急了，然后到现在还没来。
[06:19.310] 你们都打电话了，接不了我想知道。
[06:23.410] 你那一块我这个也不好看吗？要不通知来已经。
[06:30.870] 咱们这已经是完假了是吧？我是案件真的很明确，聊聊价格了，给你回报价对吧？有那个左右就行，您稍等你就操作。
[06:41.830] 我就再看看。
[06:45.550] 这是黑色吗？
[06:47.420] 这不是磨咖啡，我不错，我在那边看。
[06:52.080] 38。
[06:59.030] 木多少钱？
[07:00.540] 不是，这个是我们店里可以选择这种股市。
[07:04.440] 78,800. 
[07:07.530] 要不这样介绍，因为您车是不是都看过了，我都吃下了，我给您这个单子，咱们谁知时间了，简单明亮你也不用介绍也不用了，你坐到那边工作。
[07:18.420] 我刚才说话的您跟您说一下，刚才说一声，其实我等一会就可以。
[07:26.250] 我怕你等时间太长，没事，您跟他说一声让他喝。
[07:29.820] 姐您先看看车，然后我这边给客户打一个单子，然后马上我就过来，好的。
[07:36.270] 来您坐我跟他说了，您做看看。
[07:39.240] 你明天要过来看看。
[07:59.810] 计划。
[08:00.940] 微信报价，
[08:07.600] 初次。
[08:10.940] 五
[08:12.300] 大哥肯定的。
[08:38.030] 没有前期那种
[08:41.070] 这字儿写得不咋地。
[08:45.550] 弄头发去了，
[08:53.020] 很多方案配合了，你们聊客户在方面袋，
[08:56.800] 你说两句别我聊你的跑，我就想你跑，
[09:00.880] 我是木头人。
[09:05.900] 你在我旁边这块我了解的怎么样？
[09:11.400] 也不再客户源他两句话还行，他要不说话我就烦了。
[09:27.150] 这种有钱
[09:32.080] 你再往前给。
[10:04.260] 先生。
[10:05.340] 你在给他做一报价，你看一下。
[10:08.550] 车价1,458,800，购置税是129,097，保险的话如果个人名下
[10:14.630] 个人名下北京牌全险差不多39,000左右，验车代办验只有2500，
[10:20.640] 全部办完了是1,629,397，我要一个50%的首付，
[10:27.460] 百分之可以打比方你先去了解一下，打个比方咱就把62万裙子变成首付了，贷100万，
[10:36.090] 每个月的月供44,666，弄36期，每个月是30,777 50%是吧？对。
[10:42.030] 那就是指数三筹款不算其它的了，对OK那就是
[10:47.800] 很简单，这个是比如说
[10:50.550] 你怎么变成这样的呢？
[10:54.520] 不听话了，
[10:56.550] 我那个手机要经常用的手机的充电子就是1,458,800，
[11:02.190] 是吧乘以0.5。
[11:03.710] 五是吧？
[11:04.540] 等于是首付
[11:07.220] 50，
[11:09.430] 是吧？然后是729,400。
[11:14.750] 729,400。
[11:17.430] 多少期？
[11:19.600] 3636期。
[11:21.670] 利息。
[11:23.570] 我给你。
[11:25.640] 729,400对吧？
[11:29.300] 过来是吧？等等了。
[11:31.730] 729,400，你三年的话就是33.60.60.08。
[11:39.220] 对7万多，10.08等会我就算一下。
[11:43.450] 乘以个。
[11:46.240] 一点
[11:48.710] 108
[11:50.740] 0
[11:51.860] 1.108
[11:53.390] 10
[11:56.910] 对1.108。
[11:59.730] 等于三十六七岁以下再除以一个36，这是利息是吧？刚才这个数额8万。
[12:04.850] 80万没事稍等，一共是2449 270
[12:11.710] 7万 729,400
[12:15.370] 1乘以个0.108。
[12:23.090] 780. 
[12:24.290] 78,000，您给我在这写一下利息。
[12:27.770] 78,775点儿用。
[12:32.300] 你除以3对吧？就是每年然后除以你的贷款的本金72
[12:39.250] 294003.6对吧？没错。
[12:43.720] 对78,000的利息，如果这么算的话，
[12:47.390] 这样没有任何优惠，有如果您今儿能定的话，我能送你3万的保险。
[12:54.980] 3万块钱保险。
[12:56.320] 159。
[12:57.400] 100对，就是1,599,397。
[13:02.340] 兄弟你看我把我的截图给你看一下，我特别实在，你说我给你看一下。
[13:08.270] 我是这样的，
[13:09.570] 因为之前我去看迈巴赫，马驹桥那店里那哥们就跟我说S450合适亨，
[13:15.410] 但是他又没有车，他说他周一有车，我说这样，
[13:18.760] 我说我周一看一下，因为我还是
[13:21.990] 希望要卖8课，然后之前其实我一直是买要想买大忌，
[13:27.940] 买来买去，要不就是没车，要不我觉得加60多我觉得有点不合适。
[13:34.470] 所以我那天就给他转了一个2万的定金，周四的时候，但是我跟他说了，我说
[13:41.610] 我只是要看SC但是我还是想要卖完了的，我说我只是权衡一下这两个没想好，我就有这种病菌吗？
[13:48.710] 他我我也没有让他给我开任何票据，我说我就是微信转你对吧？
[13:54.400] 我也跟他说了，我说反正我肯定是买奔驰，但是你这儿怎么回事，我说我只是要
[14:01.530] 优先看一下这个刺猬，就是他短轴版的受不了。
[14:06.230] 所以这个情况我肯定是想买，但是他那迈巴赫也只有一台展车，
[14:11.750] 然后
[14:14.760] 问一下，其实因为他没有车，我问了咱这有车的，因为肯定再要买的话，我可能要
[14:20.670] 到底我就听说是不会等的，没问题，所以就这个情况我的意思你给我报了，然后我就拿着跟他说，我说人家这就是能给我
[14:31.410] 给我限制没问题，能不能给您
[14:35.700] 也就是说相当于是159万多，对。
[14:44.140] 您帮我再写一个利息，这里行。
[14:49.450] 对。
[14:50.590] 然后利率是3.6%，对年利率。
[14:56.710] 我字比较草可以没关系，能看懂行。
[15:02.210] 您再给我这儿写一个减3万。
[15:11.870] 如果全险的话。
[15:13.960] 一张我的名片，咱们这卖或者销售点。
[15:16.920] 差不多。
[15:18.750] 我就问问您送保养吗？
[15:23.940] 保养不送。
[15:25.620] 从来都没有送过，对保险不送不用。
[15:29.490] 但是如果您
[15:32.020] 今天或者明天能定，
[15:33.670] 因为我周一
[15:36.790] 周一。
[15:37.900] 今天明天不行吗？对明天在一周一你给我打电话行，周一给我打电话，我能加您个微信吗？能到开发了。
[15:46.620] 我就干脆利索，然后是先删一下得了，没有什么我就微信跟您联系，我估计周一你也不忙，我没事。
[15:55.350] 忙我也。
[15:56.350] 肯定尽量忙的开，你看我这也是接着沟，我赶紧调控给您做一个报价。
[16:01.210] 他等于是你看我这还咨询近500，
[16:05.590] 已经发过去了方便。
[16:08.530] 好，您这手真快。
[16:10.460] 王跃进，我丞相有。
[16:13.400] 好的。
[16:30.760] 行，周一您联系我就行，他有一个便宜的130万款。
[16:35.360] 是妈妈哪个就是卖8克初步的。
[16:39.930] 那是老款。
[16:41.440] 一百30万七八的老。
[16:42.740] 行，我看写的也是20202020叫2020款点成本。
[16:48.590] 不是，也就是说是19年初的，对，有可能现在从10年20年往后都是这一块。
[16:56.010] 明白吗？
[16:59.000] 奔驰金融相当于就贵点和内容比例贵。
[17:03.070] 这多少你看一下。
[17:04.840] 你们这有置换补贴吗？
[17:06.630] 万补贴没有，迈巴赫没有。
[17:08.180] 迈巴赫没有什么其它的S有是吧？
[17:11.530] 那就是都这个东西。
[17:14.710] 您放心，主要是你看这两天能定下来，您给我联系，他说我给您
[17:19.580] 跟领导申请一下，比如
[17:21.410] 行，主要
[17:23.250] 本来我们这奥迪都能卖了，前两天蹭了一下说修改my亨，有的药不严重不用修。
[17:32.460] 你看利率是多少？
[17:34.490] 11.3这么多，11.3 24期。
[17:38.830] 24期多少？
[17:40.900] 也是11.3，就相当于银行6.34，
[17:43.900] 但是内部要离职1.7吨，相当于银行的利率这是3.6，差一倍不到一倍。
[17:49.960] 你干嘛不做这个呢？
[17:51.980] 是对不对？
[17:53.480] 是的。
[17:54.570] 他做银行的利润。
[17:56.200] 对就没事，你贷50%也行，或者带多少都给您，没有50%。
[18:03.690] 你们这大气也是没有有。
[18:07.000] 加多少钱吗？
[18:08.220] 现在贵表侄6 69 70左右。
[18:11.440] 都一样的。
[18:15.640] 你买到记得了。
[18:18.040] 你说我这年纪其实买孩子稍微有点
[18:21.280] 看看，平时你自己开这就不自己开了，直接开了。
[18:26.560] 明白，您周一来咱们来找我就行行，谢谢没事谢谢。
[18:38.960] 他轮毂是原车带的人物，
[18:41.260] 然后等于是选了
[18:43.280] 7万多的房子高楼我出去拿着完了你给你们还给你。
[18:47.740] 能卖了吗？
[18:48.840] 我们这不回收到。
[18:52.220] 放网上卖能卖多少钱？
[18:54.220] 因为我看其实S50是小一圈的，这儿是19还是2020的，
[18:59.770] S450是18或者19，对这就可以卖普通S上吗？对。
[19:07.020] 这个脉我还真没卖过，但是我觉得你要是近期换车比较快的话，两三年三四年换车你就留着，到时候你卖车的时候，
[19:15.370] 这边换成心龙骨，感觉
[19:18.020] 这车都心了，龙骨多好看，是我原来就有一个客户，因为换个轮毂过两三年以后又卖了以后，价格还多卖好几万吨，
[19:25.880] 是这种不好看。
[19:28.470] 都这轮毂给我便宜点。
[19:30.280] 行，我早晚得多少钱，行，到时候我给你申请好了，慢点您。
[19:36.540] 不用送了兄弟好好。
[19:53.490] 你稍等先生。
[19:56.910] 对。
[20:08.440] 也就走了，他把锯条看过我就报了一个。
[20:11.780] 报一下到周一来。
[20:13.760] 谁知。
[20:16.750] 你在哪呢？
[20:18.930] 你刚才加153，
[20:20.700] 我当时听了。
[20:22.350] 来。
[20:24.570] 对面来了看上好了。
[20:32.960] 我简单给撞了一下，他中午过来。
[20:34.970] 行吗？人家聊聊一会用一会吗？没有，我就他做分期，但是我简单给他报了一个
[20:42.620] 双方报警时代没错。
[20:45.590] 没事。
[21:13.410] 他是先在咱们
[21:14.640] 拆迁，然后您也可以
[21:27.840] 不好意思也耽误你们让我让你介绍了。
[21:32.000] 你们先喝着点。
[21:33.830] 对于迈拉的这种
[21:37.120] 品牌的定位跟品牌里面有可能
[21:40.720] 感觉既然你来全方位的拓展，这是你给你介绍。
[21:45.380] 首先是梅赛德斯迈拉克这个品牌，
[21:48.860] 是咱们梅赛德斯奔驰的品牌，
[21:52.060] 它代表了极致分享，
[21:55.650] 小心。
[21:57.880] 他们未来得私奔。
[21:59.910] 还是
[22:00.800] 还叫CNN，
[22:02.460] 它代表的是极致。
[22:04.730] 而梅赛德斯迈巴赫S级轿车
[22:07.540] 礼拜天下作为核心的理念，
[22:09.550] 专门为咱们顶级的用户打造不行这个品牌。
[22:14.320] 迈巴赫的就是680，
[22:16.060] 而迈巴赫这个品牌
[22:18.650] 源自于前代的汽车公司的总设计师叫威廉迈巴赫。
[22:22.470] 他是19~20世纪最伟大的汽车工程师之一，
[22:26.840] 半旗的李萌
[22:28.480] 没有消费贷马上下来。
[22:31.240] 对他了，收割可能第20万，
[22:35.260] 而迈巴赫谁知骑车。
[22:38.520] 所以说就因为他这种参加这种完美的商业理念，你这个品牌当时更加学会。
[22:45.190] 后来在2013年的时候受到了全球经济危机的影响，
[22:49.520] 就推出市场了。
[22:50.950] 在2014年正式被没得自行处理收购了，所以增持旗下的全球的子公司
[22:56.680] 曾出现，但是这作为奔驰轿车里面最顶级的旗舰目标，
[23:00.680] 她比S级还要高一点。
[23:03.720] 打个比方，您原来看到轿车最好的就是SB了，S350、S50，
[23:08.980] S500，S600，有了迈巴赫以后，现在500 600都输了，现在用迈巴赫560680替代了
[23:16.600] 现在您看到的麦或者是融入一半的迈巴赫的元素。
[23:20.110] 也不是他现在不光卖大获得了。
[23:23.060] 这种金叉已经奔驰旗下的品牌了，然后表示中标跟在微博上有一个。
[23:28.850] 谁知
[23:30.090] 要不要谈？
[23:31.320] 以前。
[23:32.370] 以前是口号卖拉磨的表演都是靠真实的标，以前都是卖瓜，卖完了地胶，
[23:38.550] 钱也很重要，现在14年以后也告诉父亲，谁知。
[23:42.060] 你可以换成面粉。
[23:43.930] 但是你自己换了，要不咱们这里边接。
[23:48.240] 他
[23:51.170] 没办法过四五年跟当时还是400万。
[23:54.120] 没有什么差异。
[23:56.400] 刚刚38个四五人跟S400块钱交钱不是我们了。
[24:01.930] 刚刚也讲ps机上
[24:07.860] 长20公分高，比S更大，
[24:11.460] 准备更舒服。
[24:14.030] 咱们这边收购。
[24:16.480] 着眼了。
[24:19.160] 喝点什么饮料，茶水、咖啡、可乐。
[24:22.000] 来两杯咖啡咖啡行行可以。
[24:26.100] 是吧？是常事吗？对吧？
[24:30.640] 刚才一看到后座的空间就发现了
[24:35.160] 至少2020，工作是20公分。
[24:41.930] 帮我来两杯咖啡，谢谢my巴克里面。
[24:47.890] 就速溶的行文。
[24:49.610] 咖啡行可以。
[24:54.190] 然后
[24:56.610] 为了更好的给你介绍这个车，我想问您一下您对于新车预算有没有计划想比如花多少钱买个新车，因为咱们这边也有450560680吗？我还有更好的给您推荐给您介绍。
[25:07.910] 我觉得购置税太厉害了，奢侈品的税加的有点多，450没有奢侈品消费税的。
[25:17.500] 560680现在有优惠吗？哪个车？0450没有现金优惠，他有别的优惠，如果您订车的话，我们可以送您一定金额的保险。
[25:27.730] 然后还有什么上北京牌？
[25:29.970] 北京牌是用车置换还是现成的指标置换开了冷静。
[25:36.910] 没开过来，回头您有时间可以10开过来，我给您做个假，让评估师给您。
[25:43.580] 哭一股作为评估什么户二首车的价格，
[25:48.860] 多少钱，然后二二手车意思就直接收走。
[25:52.190] 走对就是指标什么我们帮你弄好了，你不用自己折腾了，不用了。
[25:56.920] 一共多少保险？2万。
[25:59.770] 2万保险送多少保险送多少送？
[26:03.510] 2万块钱的保险，您那车全险的话，如果是个人名下。
[26:08.270] 我现在都没有换了指标，车的指标是个人名下，
[26:14.390] 个人买的话我想想公司付钱。
[26:19.190] 可以。公司付钱可以没问题，谁付钱都行。
[26:21.880] 发票是开给公司的。
[26:23.870] 发票开个人的，我开公司的，你怎么上牌？
[26:31.360] 不行，那样没有账户付钱对。
[26:37.960] 公司路上湖南省惊讶。
[26:42.250] 我不太懂，你让我开的发票可以。
[26:45.570] 开始发票，但是你公司你的指标是个人的，你怎么上牌，我开公司明你没法上牌，
[26:52.070] 他上海的时候要胖放量，
[26:54.440] 要这样的话，两维护车还得再折腾一下，等一下。
[26:59.600] 我们车
[27:03.070] 还有其他有在公司名下的车，有的我要置换的旧车是在个人名下，我另外还有其他的公司指标的出
[27:16.640] 都可以，您个人的也行用。
[27:19.060] 公司的也行，这个是看您方便。
[27:24.310] 不好说。
[27:26.480] 这样的。
[27:29.600] 咱们想上公司的户就是为了抵税。
[27:35.600] 为
[27:38.050] 我要算一算。
[27:40.620] 这是什么快递，还有什么要问？还有。
[27:44.090] 优惠。
[27:46.270] 别的话是这样，您不是之前是在。
[27:50.400] 武店买的奔驰吗？还是在哪买的奔驰吗？
[27:53.560] 奥迪。Q5。
[27:56.390] 这样，因为我们今天。
[28:00.110] 您快。
[28:01.830] 我来放一杯摔了。
[28:06.140] 稍等一下，谢谢。
[28:09.840] 稍等。
[28:11.400] 这边。
[28:12.590] 我简单给您看一下。
[28:15.040] 要不这样，一会我给你打一个什么写的比较草，给打一个有一个标准是一个报价单。
[28:22.330] 然后咱们主要是自己用，还是说公司属于纯私用还是公私兼顾？
[28:28.850] 不用，应该差不多，门口有个打包机，他不是封口机到了。
[28:36.920] 来说就是自己的公司明白了，然后咱们。
[28:41.400] 提车上有时间的要求，因为咱们
[28:43.900] 迈巴赫也不是随时都有现货，这两天能定下来，还是说近一两个月才能
[28:49.100] 公司好几辆车也不着急，行，然后上北京牌是肯定的，然后准备全款还是分期来付全款。
[28:57.750] 行没问题，行，主要是平时您是开车的时候多吗？还是坐车的时候？
[29:04.630] 10 10开车时间多行没问题，这样对于这款迈巴赫咱们有没有什么想深入了解的，为您详细介绍一下。
[29:14.880] 没了解一些450根，
[29:20.360] S400，S500有差别吗？
[29:23.400] 他家没有S
[29:25.420] 550。
[29:27.120] 50就不考虑了，行，要不您到车上我已经详细您介绍一下，一会儿咱们其实如果时间方便的话，咱们给您邀请您试驾一下。
[29:36.610] 然后不管您让您我觉得什么你先来看，你说了静态没体验一下，然后动态也感受一下，然后回来我就做一详细的报价，然后刚才没在家照两位都没带吗？
[29:48.190] 没事你开吗？行我开谁开？
[29:51.160] 我开也行，你坐在这个车的用户多少，然后你详细介绍一下。
[30:03.400] 你做你说这边。
[30:05.830] 他这个标配就是在颜色的，对吧？
[30:08.350] 首先给您介绍一下梅赛德斯迈巴赫S级轿车的后排两侧标准配备了两个行政座椅，
[30:15.820] 首先靠背的角度可以在19度到43.5度范围区间进行调节。
[30:21.740] 第二的话由于车的后排空间比较大，您长时间乘坐的话，或者是在长途旅程的过程当中，
[30:29.000] 可以充分的放松我们的身体，可以把咱们副驾驶的位置尽量的往前移。
[30:34.140] 宜。
[30:35.370] 这样的话我们可以把后排的腿托打开喝了，对不对？不用了，
[30:42.410] 然后满足了我们后排乘客对舒适性的一个需要，尤其在长途旅程的过程当中可以充分的放松。
[30:49.630] 那么第二一点没太得斯迈巴赫，S级轿车的轴距达到了3米365的长度，
[30:56.370] 超过了同级别同价位内的所有的竞争对手。
[31:00.040] 你比如说像宾利的新飞驰，
[31:02.600] 它的轴距是3:066，劳斯莱斯的古斯特是3米295，
[31:07.200] 所以说咱们这款车的轴距达到3米365，表现也是最好的。那么这坐在这个车的这个车里边，就像您住在比较大的别墅里面一样，
[31:15.720] 不仅装修比较高档，同时空间也更为宽敞更通透。
[31:20.620] 第三一点就是您看您摸到这个位置，就是手机无线充电的位置，
[31:26.100] 前排后排都标准配备了手机无线充电功能，现在我们的手机都是智能手机，
[31:31.980] 而且用手机办公或打电话经常容易没电，
[31:36.160] 这样的话你在车里面要插上线很麻烦，
[31:38.800] 如果有着无限充能就方便很多了，咱们没电。
[31:41.950] 手机。
[31:43.400] 对前提是手机得支持无线充电功能，现在新款基本上都有了，
[31:48.020] 然后更方便一些。
[31:49.250] 第四一点的话，你看在迈巴赫S级这个车的C柱上有一个特殊设计的三角窗，
[31:55.250] 设计细节是全程一迈巴赫62系列，
[31:58.960] 普通的S级轿车上是没有的，
[32:01.240] 由于它特定的位置是我们后排乘客的面部，恰好位于三角窗的内侧，所以说车外的人看很难看清楚车内，
[32:08.330] 这样一来的话有效保证了我们后排乘客这种专属性和私密性。
[32:12.940] 第五一点的话，咱们这款车标准配备了顶级的音响品牌叫柏林之声，
[32:18.660] 您听说过柏林之声吗？
[32:20.400] 全车一共有13个扬声器，
[32:22.900] 那么它独特的设计以及布局是我们迈巴赫的车内的空间达到了一个非常棒的这种
[32:28.830] 效果，它最大的特点是可以还原音乐本身的一个音效。
[32:32.790] 那就像您坐在一个移动的音乐厅里面一样，就像你在现场音乐会一样，效果非常逼真。
[32:38.750] 除此以外的话，车的配置也是非常的高，
[32:43.630] 全景天窗，
[32:45.050] nothing大屏幕、桃木方向盘，左右各有两个触控按键的设计以及后排娱乐显示，
[32:54.720] 哪怕的皮革的过瘾，
[32:57.370] 都能给您带来很好的一种这种舒适享受。另外的话，
[33:01.020] 空气悬挂底盘升降那是调头枕的，拳头准的，
[33:05.130] 空气悬挂、底盘升降、
[33:06.840] 自动泊车、手机遥控泊车64种颜色的环境氛围灯，
[33:10.410] 都是标配。
[33:11.410] 您在随我来，我再给你介绍一下其他的特点。
[33:17.450] 您看
[33:19.110] 这个车的设计细节没有在C柱上，
[33:22.420] 他有两个两侧都有一个双M的标志。
[33:25.280] 另外的话在壁柱这块它采用的是
[33:29.820] 镀铬的亮条，我不知道您印象中有没有这个概念，比如说打个比方像宾利的车，
[33:35.660] 病例的飞驰是黑色的，但宾利的慕尚领配的是两条的，
[33:41.670] 是吧？然后你去哪个蓬松，然后。
[33:46.400] 如果说是。
[33:47.500] 那个叫什么劳斯莱斯古斯特。
[33:50.390] C路上是黑的，但是。
[33:52.410] 幻影
[33:53.440] 顶配的是亮条的，也就是说奔驰你看其他的车全都是黑色的，他只有
[33:59.480] S也是黑的，只有迈巴赫适量的，也迈巴赫也代表了奔驰的顶级。
[34:04.550] 除此以外的话，你看这车的前脸也非常大气，
[34:09.890] 它的前脸采用这种垂瀑式的设计，跟普通的S级轿车外观有很大的这种差别，
[34:16.890] 就是说看上去比S更有气质，这种这款颜色是摩卡黑色，
[34:22.410] 这是2020盘典藏版独有的颜色，包括中浅棕色内饰也是独有角色，龙骨比原来大一寸了。
[34:31.090] 所以说整体来讲的话。
[34:33.120] 20的，原来是19的。
[34:35.350] 我带您看看他原来的七百零皮革的样本吗？
[34:41.960] 这个标配龙骨。
[34:44.360] 他还有不是典藏版的跟有什么差异，你看。
[34:48.320] 不是点三板，它龙骨就是这样，他座椅皮革就比较暗了，深棕色、黑色还有米黄色，但是这款已经停产了半年了。
[34:58.930] 外漆颜色，你看这漆面他有什么银色、灰色、棕色、蓝色，但是这颗比较大，还是说黑色卖的比较好？
[35:06.250] 对吧？
[35:08.080] 咱们也可以用多媒体显示屏给你看看原来的那种效果，咱们给简单看一眼。
[35:15.760] 看。
[35:16.810] 要。
[35:19.810] 结果就来。
[35:39.400] 你看我们给你打开吗？看一下。
[35:43.480] 原来的车
[35:46.890] 这是内侍你。
[35:48.840] 是纯黑色的。
[35:51.440] 这是不是典藏版的就是检测板子深棕色。
[35:55.320] 这是第三版的，这不是典藏版吗？
[35:58.110] 米红色。
[36:00.510] 不是点样板线不出了是吧？对没有的，这点的板这种是一种。
[36:04.320] 行，咱们展车押解介绍就以现在这到这了，对于展车讲解这块还有什么疑问或者问题没有？
[36:09.310] 价格就是说你说一下。
[36:13.500] 一会回来给您做一个详细的报价，咱们现在如果对于检测讲解这块没有什么疑问的话，我想邀请您试乘试驾一下，感受一下。
[36:20.380] 您两位是都没在家照，都没带那用，我的您坐一下去感受一下行不行？我行您稍等。
[36:30.520] 非常
[36:33.000] 走走。
[36:46.280] 你认为怎么办？
[36:48.470] 谁知。
[36:53.900] 你看不上面了没有？
[36:55.920] 直接
[36:59.160] 了。
[37:00.420] 之前了。
[37:04.010] 北京。
[37:58.560] 早起咱们都是成
[38:04.810] 用的不都是一样的。
[38:06.240] 你这个没有。
[38:08.010] 我的。
[38:09.180] 对没有，都是这边什么不了第二平台。
[38:13.390] 马上过来。
[39:29.860] 走了两分钟，你就看看车，我给你做个胜利。
[39:40.690] 的
[39:43.920] 巴瘤
[39:45.640] 排排第四。
[39:48.600] 然后拿黑的881吗？
[39:52.470] 你说。
[39:55.010] 行，
[39:56.620] 你看
[39:59.950] 投诉的等等。
[40:02.470] 今天买这个
[40:04.890] 好了，我们来了打电话说是有没有32,000的优惠，我说您来吧，我肯定的，我们中我们中国有3,632,000，我说你综合优惠在6万，你来，
[40:17.080] 来了以后我给他报了一个，我说送3万保险送3万装饰，
[40:21.250] 然后他觉得对他没有用，
[40:23.510] 就这么个情况。
[40:27.290] 我说
[40:34.840] 他就觉得这个对他没有。
[40:37.160] 对他想变成钱，然后直接优惠36的现金，我也没跟他说为什么6000斤。
[40:43.050] 10周年
[40:44.500] 他来了，然后又不满意了，又说我什么不对就走了。
[40:57.950] 了
[41:00.110] 坏
[41:04.690] 场
[41:06.160] 花
[41:06.950] 花。
[41:10.570] 走。
[41:50.630] 1
[41:52.560] 432988。
[42:00.010] 叮叮。
[42:03.500] 你好，我是忠实的伴侣。
[42:10.870] 10分钟时间行，我现在给您安排一下了，然后您到了就直接到前台，这在前台等您。
[42:17.730] 好吗？
[42:18.770] 一会儿见拜拜互动。
[42:21.420] 10分钟到，别傻了，你接我好吗？
[42:24.770] 林女士，
[42:28.350] 这10分钟到他俩了。
[42:30.150] 这怎么没接电话？
[42:31.670] 等等都
[42:34.800] 噔掉好吗？
