[00:00.780] 主要接待朋友介绍客户。
[07:21.440] 连平的，然后我老公挺喜欢那样。
[07:23.860] 的，它是自动往前走的，上下车很方便。
[07:26.910] 他这个车有一个卖点，就是它窗户可以降下来，
[07:30.130] 然后中间没有。
[07:32.450] 然后事业坐在后排人他不会有压抑感。
[07:35.360] 所以这个车目前卖的比较好。
[07:38.280] 多少钱？这是52的
[07:42.760] 我之前没太考虑这两门的，因为家里不是有孩子是然后
[07:48.650] 像什么做速嫁，然后上车有门的话不是方便，还会折腾。
[07:54.960] 要是从这边上也是一样。
[07:58.040] 一样都可以推都可以吹。
[08:00.160] 然后那边有咱们新出的一款小SUV跟gl C稍微笔记S稍微短了10厘米，
[08:07.040] 也比较方方正正的感觉不要了。
[08:10.420] 我刚才想起来是韩国。
[08:18.880] 真的
[08:20.350] 的。
[08:21.120] 对了。
[08:22.080] 然后那就是轿车现在卖得比较好的话，就是一级车卖的比较好。
[08:27.230] 这一点。
[08:30.720] 按这边有13版，有蓝色是1260。
[08:34.070] 吗？
[08:35.240] 我们家那辆一就是一三百就是老的。
[08:38.430] 车，那就是一家里还有一个奔驰的，你说俩人吃。
[08:43.530] 你看来这是我们忠实粉丝。
[08:48.070] 然后这边有旅行车，她带大屁股的这种。
[08:53.700] 这个是不是底盘比。
[08:57.160] 对滴，叫它属于轿车，底盘比轿车稍微高一点，对。
[09:00.450] 就算了，我还是其实现在就是说您现在开GLC家里又不想要轿车，
[09:05.600] 大概预算也在，这样的话可能就是6位的话比较个性一些。
[09:09.810] 我老公不喜欢，我开始其实也不。
[09:12.410] 大家去看看咱们新款plc，
[09:14.520] 家新款只要在内饰和那是有一个比较大的区别，现在
[09:19.630] 开始原来
[09:20.530] 你会不会也有这种我也不太喜欢后边这一块。
[09:26.230] 咱们到时候咱们去看看新款这SE咱上楼从那边绕一下。
[09:35.440] 先走。
[09:54.270] 他上头
[09:58.640] 我带家人看一下，咱新款相对
[10:01.320] 家常，然后那是都有些变化。
[10:04.400] 原来在这买车那个是交谁销售？
[10:10.630] 我忘了。
[10:12.510] 那不勒斯
[10:14.360] 不在了。
[10:16.190] 还我忘了叫什么名字了。
[10:25.670] 这种运动的车型了吗？
[10:30.260] 这么就算了，往往还那就是我开车。
[10:35.080] 最近这些小车卖的特别好。
[10:37.360] 要是有个孩子还那什么，
[10:41.790] 要不然的话现在对
[10:45.220] 考虑一下这个功能性的，要不然都弄两个轿车出去玩，有的时候。
[10:50.200] 对不方便？
[10:52.020] 早要作为支撑影响多多一家人。
[10:55.960] 完了还得跟什么电车，有的时候用换车的话又麻烦不方便？
[11:11.730] 还有个白色的。
[11:14.390] 反正你不喜欢不写刘备是吧？
[11:17.480] 不是特喜欢，
[11:19.960] 特别
[11:21.560] 那叫
[11:24.360] 那是叫什么？
[11:26.900] 这叫轿跑SUV吗？
[11:29.160] 记IC裤配她讲。
[11:40.400] 数据、
[12:04.840] 远
[12:06.030] 数据
[12:10.080] 喝。
[12:21.050] 咱们现在新款SCI
[12:23.210] 如果不是最低配的高配的话，他的脸跟这个脸是一样的。
[12:27.540] 这都是一种闪钻隔山。
[12:29.530] 那边就是咱们现在新款，只要C只不过是最低配的。
[12:33.970] 您现在这个车的前脸不都是那样的吗？
[12:36.930] 不太一样，那也不是。
[12:39.040] 是双到的。
[12:40.290] 是不是那种小星星吗？
[12:42.680] 不是小星星，但是中间不是使劲的。
[12:45.120] 现在都是小星星。
[12:48.790] 前脸跟这都是一样的，只不过现在咱摆的这是在最低配的。
[12:53.660] 您看看新款交cd。
[12:55.890] 加长了10厘米。
[13:11.050] 但是跟
[13:12.080] 我还是一样的。
[13:14.010] 差不太多。
[13:17.100] 就凭。
[13:18.540] 屏变大了，然后带手触触摸了可以。
[13:23.170] 后座加长了10厘米，然后坐垫加长。
[13:27.680] 然后这块他也变了。
[13:29.960] 你那是小圆轮的，
[13:31.500] 然后支持人机对话功能说话可以控制车辆的一些设置，但是大体上和gl C还是差太多。
[13:40.110] 屏幕变了变了现在变成液晶的了，以前那是指针式的。
[13:44.530] 然后这些用的不这块肯定都会有些变化，方谈不一样，
[13:50.430] 这感觉就是高兴不好，塑料感特别强。
[13:55.320] 感觉
[13:57.020] 还没感觉好。
[14:05.000] 也是最后段是比较好，
[14:08.980] 后果非常大，
[14:10.080] 腿部支撑特别
[14:21.180] 讲得很好，
[14:22.100] 没有内涵了。
[14:23.410] 就感觉好像这样子的。
[14:26.170] 谁知。
[14:32.210] 看看。
[14:34.550] 这样
[14:46.360] 其实其他都差不多。
[14:48.020] 对，跟以前那款车这三年没有变化太大，
[14:53.410] 换成液晶仪表，然后中控屏大了可以摸。
[14:57.910] 这事件B我刚才也说了，比稍微小一点点小事，
[15:02.360] 但是这就是连平
[15:06.260] 这什么新车是吧？新一点。
[15:16.360] 不知道。
[15:17.330] 还没交算。
[15:29.960] 说那块儿。
[15:31.840] 什么。
[15:33.240] 电话。
[15:34.000] 一样的跟对这是跟你那一样的，我问老太没看后面。
[15:44.110] 相当于是
[15:45.800] 要是。
[15:47.280] 260高配的话，
[15:49.310] 是422,800。
[15:52.550] 这是一个标点的过程。
[15:54.540] 那是
[15:57.330] 应该说咱们的
[15:59.960] 不讲
[16:03.880] 连平。
[16:04.860] 这边平时用也是什么？对他就连平，而且。
[16:08.400] 别的没有，不过他
[16:09.660] 换成任何发现这种不好，感觉特别不好，
[16:14.090] 但是这块感觉特别方便，我不喜欢秋天，现在不都这样吗？你在这看S这样
[16:20.760] 感觉不
[16:22.300] 反对，
[16:23.150] 谁知
[16:25.450] 这样的
[16:27.370] 就是180多少钱？
[16:31.700] 287,000。
[16:35.000] 一天超过多少？
[16:37.580] 看着
[16:40.340] 目的。
[16:42.740] 昨天看也就是介绍。
[16:46.670] 你们开吧。
[16:47.680] 的话他就是最大。
[17:01.170] 反正就是特别时尚。
[17:03.780] 这个也挺好看，跟你那站跟那方程都一样。
[17:07.320] 感觉。
[17:08.480] 这都是这样的。
[17:17.840] 尾巴挺好看的。
[17:19.940] 很圆润。
[17:23.430] 那天她打开
[17:26.260] 完成这样的
[17:33.160] 后面三个。
[17:34.920] 对，这个可以带着。
[17:38.380] 给他放点东西，
[17:51.520] 好
[18:00.600] 这个车。
[18:33.430] 场
[18:35.680] 场
[18:39.590] 这种
[18:46.800] 大
[18:50.360] 话。
[18:54.310] 现在不太好说。
[18:55.880] 行是吧？
[19:02.750] 大牌团队在202
[19:14.600] 上门出一个来，
[19:16.090] 谁知
[19:20.670] 酒吧随便。
[19:24.320] 我也不放在
[19:28.650] 随便翻译，一会我就得换。
[19:31.080] 算不算？
[19:32.490] 我看看考虑一下吗办公。
[19:38.350] 我再看看一些。
[20:00.670] 两门就不想了。
[20:02.410] 要。
[20:04.810] 不是你看。
[20:06.700] 我这两门我就考虑，其实我感觉我怕讲不现在拍的就是D
[20:11.960] 他家里有小孩那行，还知道什么时候能给我，周二中午OK，周二中午今天穿过来空间绝对不行，过来最后把空间特别大。
[20:23.090] 放那个了，对。
[20:27.760] 你看不一样的刚察县。
[20:30.990] 红色的了。
[20:32.280] 比较有质感。
[20:33.880] 你这是一块门的。
[20:36.150] 这孩子怎么弄？
[20:37.900] 好的。
[20:39.270] 4门的里边那是跟那一样荒唐，也都是一样的。
[20:44.390] 我知道开门特麻烦，
[20:49.160] 买不到。
[20:53.560] 我当时说这个不麻烦了。
[20:55.490] 谁知
[20:58.220] 可以。
[21:02.870] 做
[21:08.010] 稍微贵一点。
[21:12.100] 这个是怎么回来的？
[21:13.900] 给网上一放松就回去了，回来了。
[21:18.740] 咱们看看4门跟那一样的，
[21:24.170] 您的孩子方便。
[21:27.480] 有点可以了，好几点了。
[21:31.470] 那什么？
[21:32.960] 看着你挂画，谁知
[21:44.200] 其实都一样，光盘一样。
[21:46.130] 银纯银色你觉得有质感。
[21:49.740] 的。
[21:50.700] 这就不一样了，然后这儿待打孔，
[21:53.360] 然后这是瓶子了。
[21:55.120] 你是不是喜欢这样的穿着？
[22:02.240] 像这个功能就多一些了，像手机无线充电什么的。
[22:05.980] 进口没有不对得选配。
[22:10.000] 对
[22:11.930] 对。
[22:13.370] 然后E级车他也算大标跟立标，大标的话就是黑色木头，
[22:17.670] 这里边的木纹都是这样的，然后翻盘上是银色的，如果要立标的话。
[22:23.380] 东木头。
[22:24.680] 放盘又变成原色远的了，也是这儿变成黑的了。
[22:31.250] 相当于大标的运动，对。
[22:48.030] 试一下行。
[22:53.850] 的。
[22:58.810] 大概多长时间才到？
[22:59.920] 20分钟左右。
[23:01.360] 行厂家发的信息发到线索的。
[23:05.630] 来那行。
[23:08.760] 我先帮您办合适价。
[23:11.070] 您把您驾照您给。
[23:14.800] 您随便看看，我到时候找您来。
[23:17.160] 行
[23:21.260] 数据
[23:23.310] 句
[23:41.180] 有一个你又。
[23:42.450] 来了李哥。
[23:44.070] 周末上班谁受不了。
[23:46.480] 了。
[23:51.030] 家里还理解吗？你让别人怎么办？怎么看你？
[23:55.240] 现在觉得怎么样？你不考虑家庭。
[23:58.660] 你都做这么出色，别人更不能休息了。
[24:02.170] 你觉得一个女人会改一个职业人。
[24:05.220] 我觉得她会嫁给一个就是为工作而奋斗的男人。
[24:09.510] 他会觉得自豪，19 96，但是我们不阻拦有为的青年，
[24:17.000] 我们要为百得利而死。
[24:19.400] 我们要为工作为生活奋斗。
[24:22.800] 对不对？
[24:26.030] 死在工作岗位上，那是你无能，
[24:28.840] 你知道吗？
[24:31.430] 死有时候是死不一样，有时候死。
[24:34.870] 有的人的死清楚不？有的人很注意，有的人活着他已经。
[24:41.300] 有一种死法叫做猝死，知道吗哥？
[24:44.050] 猝死。
[24:45.710] 可能你们没有想还有没有？
[24:48.670] 哪里？
[24:49.590] 大家感觉都挺好的，没力。
[24:51.270] 我说还别错。
[24:53.110] 小脸红扑扑的，然后特别讲究生活。
[24:57.740] 你了。
[25:00.010] 看着不是抖音里边打篮球死。
[25:03.860] 了，他们一
[25:04.870] 远见都没运动，我没有上去，他们下一个弄的，您这心脏今天新到1.33T费翔看3.0点，
[25:15.620] 是跟这有关类是打球打累了吗？
[25:17.900] 肚子还是的
[25:19.650] 就是不脏骤停。
[25:21.320] 不适应。
[25:21.810] 是吗？
[25:22.430] 严重不适应，
[25:24.480] 你得确保核能氧饱和根本就不够人家怪。
[25:29.500] 今天乖1.33P的，
[25:31.600] 的好吧，吸气进气排气都没改，你这好就上来就玩命了，
[25:37.510] 怎么就跟你招呼似的，
[25:39.750] 对不对？你不改是吗？
[25:47.870] 关于什么事情还循序渐进，循序渐进，
[25:51.810] 千万不能促起来。
[25:54.580] 猝死没有任何办法，那个时间段
[25:57.220] 很快速效救心丸，但是您拜什么或者是只有速效救心丸，
[26:03.880] 关键咱不知道什么时候能猝死，对，你认为至少9个跟你没关系，你还敢吃了你公里，近点去胡同里才能穿上吗？
[26:12.490] 说粗就粗了，猝死的人首先第一份让年轻人给他身体
[26:18.510] 特别好，年龄特别低，
[26:20.960] 身体也好，它自己已经不再了，
[26:24.160] 特别年轻，身体特别简单，然后你突然小姑娘全开好，想到是不是还能因为什么真什么都没有，这没反应呢。
[26:35.950] 火力支援。
[26:36.810] 相当于一下我打工了。
[26:39.590] 了拉动了具体
[26:46.380] 他们是不是也不是觉得运动，你想想具体啥运动，一个你说关键的
[26:53.080] 他电脑的工作攻击趴那了，你说他剧烈运动不是熬夜，我不是剧烈运动，是你没养不够。
[27:00.830] 咱们做销售的还有好多死。
[27:04.160] 对不对？那是你熬夜了，为什么说必须睡觉？
[27:09.960] 知道吗？
[27:11.140] 你不是两种人猝死，一个是在早晨凌晨
[27:15.560] 没事折腾的前提条件，昨天晚上一块喝酒，
[27:22.190] 今天你还打球，
[27:23.820] 人家不说睡觉，
[27:25.800] 对不对？
[27:27.220] 你说的我有感触，喝完以后真的不能对，也这样，好像好多年轻人就是说行不是有我有时候找游泳
[27:36.670] 有点很nb的，由有
[27:41.250] 数据
[27:47.110] 几乎
[27:54.000] 没有任何
[27:55.330] 非常
[27:57.360] 表示。
[28:01.400] 一。
[28:04.130] 这块就应该肯定我估计客户A级
[28:11.810] 也
[28:12.900] 了。
[28:14.020] 结果我一定是我不想放过。
[28:17.050] 但咱要是习惯性的这样也还行。
[28:19.890] 标准是什么时候一点都是可以商量。
[28:23.530] 好长什么社交，
[28:25.890] 有的不是好宝马不久，包括我们部门的理事迈巴赫的，
[28:30.320] 要买。
[28:31.680] 就完了，谁开着试驾没关。
[28:34.680] 就没啥都没关。
[28:37.530] 我比较跟温州试点。
[28:40.790] 你说三轮车你生下来，假如让他接一下那个是假，
[28:45.200] 庐山的经验。
[28:47.390] 对我这样
[28:48.600] 维修一下就天天看。
[28:53.320] 主要
[28:55.550] 楼在哪呢？
[28:58.400] 还是
[29:01.520] 赶紧。
[29:04.060] 赵兵策勒1312，
[29:10.680] 昨天晚上谁知
[29:14.500] 老赵还一天一首歌，我哪有时间弄他，我自己还歇会。
[29:20.120] 我是每天谈一会儿吗？你也。
[29:24.080] 把窗户开，条是特大，外面都能听见。
[29:27.280] 还有人给我叫什么我丁上班。
[29:31.840] 病好多了。
[29:35.300] 然后过些日子一家都不谈了，我们家那口子都跟着笑了，
[29:41.870] 狗都不叫你谈，狗躲桌底下。
[29:47.160] 没事了。
[29:49.800] 萧峰吗？好了。
[29:51.780] 派出所都来了。
[29:53.080] 了，没事你要给我打电话。
[29:56.040] 他来了吗？找着了。
[29:58.110] 我在后天
[30:00.780] 你们要达到这种境界了，不就是售后那哥们一楼什么到了是吗？
[30:10.120] 行你把你让给我打电话行。
[30:13.850] 好。
[30:14.840] 行，然后你让前台天天叫我好勒，一会走了坐地铁还是北京条条，今天
[30:22.430] 我从这儿走，每天睡觉
[30:25.150] 之后不久，
[30:29.610] 专业化就是嫁接一下东南好了。
[30:35.990] 69 381。
[30:45.030] 原来跌到
[30:48.780] or no被弃疗了，伤送到
[30:55.650] 他会怕有天津理工了。
[31:03.310] 谁知
[31:08.310] 果哥。
[31:10.240] 爱国。
[31:14.450] 我在这里。
[31:19.890] 行行好勒先在那去好勒。
[31:30.410] 我跟
[31:37.430] 这样。
[31:40.120] 你跟你媳妇你俩别喝了。
[31:42.700] 老了我谈谈。
[31:46.350] 我不到。
[31:57.600] 差不多
[32:00.030] 观察
[32:03.280] 目前意见，
[32:05.000] 你看能不能
[32:06.060] 你们今天没有结果，
[32:08.170] 结果还得看，
[32:13.260] 冲击一下。
[32:14.510] 机械能
[32:25.800] 等于专业
[32:49.840] 后经清单放进平台，
[32:53.710] 赵又发你微信了，给我开卡。
[33:28.270] 这写错了能发吗？
[34:28.390] 有些。
[34:29.920] 今天吗？
[34:34.270] 所以把节奏放慢一点，比如说你说咱聊着话题非常合理，
[34:40.800] 是不是？
[34:42.000] 咱的这意思。
[34:44.220] 因为
[34:45.920] 你这简短认为自己的眼光时间这个
[34:51.090] 而且特别伤到脆弱的脆弱在这是吧？
[34:54.690] 没有任何征兆，你生命顽强了以后，你看你说得俩都10多年，天天输液怎么着还活着。
[35:01.730] 我说有时候那什么做了七八回手术了，还活着完全有顽强的确实不错。
[35:06.770] 对自己大脑跟
[35:10.270] 下属关系协调好。
[35:12.890] 个别的
[35:23.250] 的
[35:24.620] 句
[35:26.200] 的
[35:27.360] 数据。
[35:40.310] 数据、
[35:44.190] 的
[35:45.310] 谁知
[35:48.360] 压缩行程一共订多少是吧？
[35:51.530] 昨天
[35:53.200] 昨天10个
[35:55.230] 一共这种时间
[36:01.730] 300台。
[36:02.950] 没办法。
[36:05.030] 明天能。
[36:07.070] 不过确实也低估了
[36:09.940] 突破了别的电子能力。
[36:12.450] 人变成耗电的七一个价格是吧对吧？送人家
[36:17.110] 给人价格狠着，
[37:37.830] 图片、
[37:38.700] 车
[37:40.430] 张超怎么
[37:46.690] 强烈要换销售？
[37:48.940] 为啥？
[37:50.150] 我第一次男孩说他成都
[37:54.740] 这样说的时候要来了怎么着？
[38:00.320] 两座桥。
[38:02.120] 然后介绍
[38:05.260] 说
[38:06.120] 说别的只是朋友街道。
[38:12.610] 我先交完之后，然后这车当时我旁边睡着了，
[38:16.200] 傻逼的
[38:17.520] 打了。
[38:19.740] 得着他说话吗？
[38:22.300] 不良这块我在这能够
[38:25.220] 我照着我的，
[38:27.160] 他上来没什么复杂费用，
[38:29.190] 然后我还跟你父母
[38:31.550] 这么着，小孩当时送来了
[38:34.050] 什么都
[38:35.450] 正常3点了。
[38:37.000] 刚刚管我要把这合同他们
[38:40.150] 我手里管理办法
[38:42.530] 换了。
[38:43.820] 拉动它就不能买车，我都同意高兴。
[38:46.390] 说因为这是因为换销售的是我们还吵架，
[38:49.440] 这些场景
[38:50.800] 这个女孩的也你看严重不同意，这也是不想换，你要求必须
[39:00.240] 合同只给张总说一下。
[39:02.000] 我不知道我这不刚做吗？跟我发票写他名不完了。
[39:06.270] 行。
[39:07.360] 那行了，反正你要看看你就跟他解释一下吗？
[39:10.990] 我也不知道其他车我知道是吧？发票我写单子的号。
[39:14.960] 太不容易。
[39:16.020] 那客户嫌张超说什么都不懂，
[39:21.810] 然后一来的就说想换销售，然后到前台了，说我要换销售，
[39:27.670] 李洋在那说型号给您换一下，
[39:30.860] 然后换他们组的人。
[39:32.140] 后
[39:34.050] 张金波在。
[39:36.400] 还有过户吗？
[39:37.960] 因为
[39:38.820] 你说张超当我们生气了，
[39:41.240] 了没打，
[39:42.720] 所以她好像给她男朋友打电话。
[39:45.610] 干嘛？
[39:47.450] 然后客户过来订车来的，
[39:50.820] 人家昨天快下班的时候，正好接那家的人怎么样？听我听见了是吧？
[39:57.080] 你就说昨天写你名下，
[40:03.400] 他给她男朋友打电话，
[40:05.330] 男方打电话干嘛弄？
[40:08.180] 求安排的。
[40:10.470] 你还给我挂我电话，
[40:13.550] 在这聊这事过来，
[40:18.520] 你口不着什么都不让他这才几天就让人上岗。
[42:00.770] 王姐。
[42:02.590] 咱们可以走了。
[42:08.890] 大哥不去吗？大哥？
[42:11.380] 走。
[42:17.860] 6
[42:22.410] 走。
[42:30.210] 大哥好冷。
[42:39.200] 了。
[42:41.730] 也。
[42:44.090] 还没出来。
[42:45.350] 对。
[42:46.530] 咱不催他，咱回来要是下完了之后再问你。
[42:49.520] 一会我再考虑看看试驾一下。
[42:52.880] 好。
[42:54.080] Cs没事下车。
[42:55.710] 什么车？
[42:57.590] 这种轿跑型的都没有试驾车，
[43:01.050] 车开的跟这感觉差不多。
[43:05.540] 因为
[43:07.060] 三
[43:09.110] 最开得最像CS可能就是一级了，对。
[43:14.760] 来把安全带系下去，你看这氛围都帅吗？
[43:19.360] 这就笔记S就高一个级别是。
[43:23.400] 然后屏幕比刚才看小号的更大，一号这是12.3寸的。
[43:28.460] gl B虽然是。
[43:29.990] 凭那个是10.25寸的就更大一些。
[43:35.180] 以前刚出来这种连平的时候，我看到说这个脸挺好，然后阿姨就了，
[43:42.970] 他全是对，当时就老做一些比较独特的东西，
[43:47.760] 然后我就
[43:51.690] 自动泊车给你演示一下姐。
[43:54.370] 现在咱们这是全自动泊车，
[43:57.720] 我那扶住我都没用过，您那是辅助我也没用过，因为
[44:02.870] 因为我自己
[44:04.850] 我觉得我不敢用，他，其实还是挺好的。
[44:09.360] 您可以不用，但是他一定要代表您买的车的智能性，
[44:13.560] 他智能要求能全自动就什么，他不是说什么他们有的用过了，然后说辅助说挺吓人的，我说我还是别笑我自己了，辅助还是一点一点升级是吧？
[44:27.330] 改进说我还是学校自己万一要对着别人的车，
[44:30.960] 我还得给人修去。
[44:43.100] 260现在他发动机跟
[44:46.890] 都是代替的吗？都是在涡轮增压的吗？
[44:50.220] 我们家还应该是4期的，一老的一三百，
[44:56.990] 就没那个什么，
[45:00.480] 找个车位咱们自动泊车一下，
[45:05.110] 长什么样的什么都行。
[45:07.340] 侧方也行，到库也行，他不是还会出现小三角。
[45:10.260] 出来三家以后，我们就停按。
[45:13.300] 让他告诉您这有一个。
[45:14.820] 车位我们点一下确定，
[45:17.190] 然后确定，然后挂到车等我们就
[45:20.640] 挂档，然后现在不用管了，转灯是自动开启的，提示后帮我找停车，你看它的清晰度一的话，包括CS这种大型车的话，
[45:29.070] 它的清晰度都是超高的，
[45:30.690] 你只要这高多了，
[45:32.260] 清楚，
[45:36.080] 这也取决于它屏幕的清晰度。
[45:40.700] 他自己踩刹车不用我们管，
[45:43.560] 自己在挂档往上走，
[45:46.430] 这就是全自动，不用我们中途去干预它。
[46:05.590] 红色线就是它的刹车点头，
[46:07.840] OK直接给你恢复到P档下车就行了，
[46:12.720] 侧方也可以都没有问题，这就是全自动的。
[46:25.620] 那个地儿是不是？
[46:26.480] 停的关，如果要是说有时候车位他画的标线也比较窄的那样子的，能自动停吗？
[46:33.130] 跟线没关系，只要是车跟车之间夹着他就行。
[46:38.180] 一些两个药停车位是两边都有车还是车，就两边有车是一种情况，或者是一边有车里边有一棵树，
[46:47.160] 或者像花台都行，或者如果他
[46:51.280] 空的他就
[46:53.030] 那就是您自己来好吧，停车位特别简单，他就不用帮您了这样子。
[47:00.110] 你得给它一个参照物对吧？
[47:02.300] 对我自己停车，有时候我家要是两边都有车，我一把都搭进去，如果要是两边有时候
[47:10.160] 都没停车，然后我找线站半天反而不会停了是吧？对。
[47:15.850] 我自己那电话跟我老公说，我说你看这两位火车我这到底多好？
[47:23.790] 你看有时候要是一边有车，然后那边没车，然后我也得柔亮半天，人家车
[47:30.710] 我也觉得挺什么的，可能跟自动泊车是的，他那什么两边都有合适。
[47:47.250] 大屏看的是什么？
[48:02.960] 这一的话它是3260跟300，
[48:05.800] 咱们现在是的是260，
[48:08.110] 两这两什么区别？260就是1.5T的，
[48:12.270] 48伏电机的这块是最新的发动机，300的话就跟你那个车是一样的，20T的发动机
[48:20.060] 我不是260的，你也是20的。
[48:23.620] 对是2.0，X1都是20的，
[48:27.280] 一的话是分两个发动机，我还说跟我发动机一样，
[48:33.350] 那就不是更
[48:35.540] 他是带电机的，带48伏电机，现在所有的奔驰车在很多车型上，
[48:41.890] 超过一半的车已经都在用电击了，
[48:44.780] 您不要考虑原来他是1.5的，
[48:48.230] 这个动力就是207的。
[48:49.880] 刚才我看好像
[48:52.440] A.I.出来一个什么EQ是什么？就是带电机的。
[48:58.040] 对电器的。
[49:00.520] CS。
[49:04.670] 排量是多少？
[49:05.750] 有1.5T的，有20T的。
[49:08.090] 然后像刚才咱门口看那两门的夜，
[49:12.140] 52万那个车，
[49:13.480] 跟这台车的发动机是一样的。
[49:16.110] Nano基座，
[49:19.770] 但都是4缸，
[49:25.450] 我就发动机
[49:26.940] 是什么？我ts那是20T的，
[49:31.650] 是那叫什么发动机？
[49:33.870] M274。
[49:35.320] 对第四的
[49:37.360] 一
[49:38.160] 等于是一三百跟我的。
[49:40.820] 现在一三百的是跟我那是一样的是吗？一三百那一样，但是E300条小的功率比稍微大一些。
[49:50.280] 发动机，
[49:52.740] 这是1.5T的48伏电机的最新发动机，
[49:58.900] 像现在的一进口亿，然后两门的一还有像什么C
