[00:00.230] 三在客户
[19:30.220] 才能过户。
[19:32.170] 深圳当时
[19:34.990] 有着的只是
[19:36.560] 车。
[19:38.110] 那个指标出来了吗？
[19:41.060] 贷款上车的掌握一下，现在是否可以在发展客户。
[19:45.700] 他俩都要掌握一下，
[19:47.540] 我想把车出来头发马上行动一次，办公楼不是可以办了，主要指标都出来了可以了。
[19:53.870] 春夜
[20:04.770] 上保险上什么情况呢？
[20:08.480] 保险。
[20:19.480] 还在
[20:21.550] 三
[20:23.700] 的。
[20:24.890] 来照。
[20:26.690] 我天这活品牌的玻璃，
[20:32.490] 你要xp的。
[20:36.760] 我知道xp什么我觉得。
[20:42.750] 好。
[20:47.760] 无聊。
[20:49.460] 行好了。
[20:54.060] 房子
[20:57.760] 的
[20:58.580] 多少？
[21:04.190] 明天早上来了。
[21:12.200] 不能走了，能喝半碗的。
[21:15.200] 怎么办？这个钱他给办了。
[21:23.210] 你就三天就开张了，我要你开票，你听我说他不给我钱，我怎么给他钱？
[21:29.770] 三年。
[21:30.900] 三年。
[21:32.620] 我目前两个333给您折旧。
[21:37.000] 在三天之后，当然他说
[21:40.440] 他刚才说的意思，
[21:41.820] 你们三位生活里多少钱？
[21:45.560] 人家说了，
[21:47.150] 你比如说良好，
[21:49.700] 10万知道吗？
[21:51.150] 把
[21:53.340] 你自己说一样的。
[21:56.950] 的。
[21:58.920] 的。
[21:59.660] 你说的不就是那两栋吗？还是哪个？
[22:03.180] 你们发的朗诵叫刘建华不是。
[22:07.160] 对，还有。
[22:09.790] 现在在银行没了，不下午送过来吗？
[22:16.020] 银行不要给保险做了。
[22:19.830] 没到。
[22:21.630] 如果做好了，
[22:28.830] 好眼镜。
[22:30.010] 开小店这两
[22:35.210] 对。
[22:36.400] 他不得上班。
[22:38.720] 谁知
[22:42.550] 回去
[22:44.660] 的
[22:45.820] 三年
[22:46.990] 这么着，然后
[22:50.860] 来着一开始把这块
[22:53.160] 不聊了看看，
[22:54.800] 然后就这两个
[22:59.920] 然后他们还不知道要完了又让
[23:06.480] 了。
[23:07.900] 你不怕他出来大哥我的意思了。
[23:11.810] 大哥开始找学生，
[23:16.680] 等我。
[23:18.860] 我看着他其他全知道。
[23:22.610] 买两把您确定，
[23:26.600] 你才能开始什么？
[23:28.520] 第四我也了解了，那是我的购买的my。
[23:35.300] 没事。
[23:37.160] 2万买的在这2008年5月4号。
[23:41.960] 看看没有？
[23:44.040] 美国干什么他们看看。
[23:46.210] 咱们的总之材料就是啥？看中了有比如说将来没修好了，
[23:53.610] 传说进入中美大战，这跟这没关系。
[23:58.600] 咱们用的是的。
[24:00.860] 这信号有点
[24:03.010] 逐渐还不让转
[24:05.760] 到
[24:08.010] 关键
[24:13.670] 不管还是别的，
[24:16.840] 咱们现在看今年咱们不了解，现在都还健康。
[24:21.610] 北京
[24:23.510] 这块
[24:26.380] 发现大家
[24:29.090] 就是说银行工作
[24:32.280] 5年的可能有点
[24:36.770] 三年。
[24:40.100] 这个要是做的话，
[24:43.460] 小孩好点没电
[24:46.920] 都不行，还加入
[24:53.660] 你能够这车
[24:56.580] 谁包括汽车，
[25:01.630] 的车开走，
[25:10.790] 我这好。
[25:17.190] 不理解后来
[25:19.600] 马上你开不了工劳务没跟上，
[25:23.540] 以后后面就没有小朋友找地方。
[25:29.960] 大优势
[25:31.020] 一点，我要报答优惠，
[25:34.160] 电话里优惠就是要103,000，然后觉得我们还在这里，
[25:39.930] 谁知
[25:41.610] 或者
[25:44.310] 结果什么的时候都买了，
[25:48.590] 不行，我从来所有的地方我基本RNN，
[25:53.620] 文化也没用。
[25:55.190] 这个行业还有吗？
[25:56.780] 我麻烦你了。
[25:58.280] 知道吧？我说你这么好过，
[26:00.910] 两张中间无正业的，
[26:03.960] 完了很多东西结合，
[26:05.480] 完了我给他了，因为里头不要上街，我冲个电话，谁知
[26:13.700] 你没答应了要求，
[26:16.040] 但谁知
[26:19.440] 妈妈
[26:21.160] 你不用平衡我的朋友你告诉自己
[26:24.920] 来，
[26:26.590] 我就知道他就说调戏的话，
[26:34.030] 还有
[26:36.600] 推到年是
[26:39.190] 场。
[26:40.980] 然后
[26:44.510] 的
[26:45.470] 三
[26:47.280] 场。
[26:48.920] 五
[26:56.640] 的
[26:59.230] 6
[27:13.710] 东西了，
[27:26.890] 的
[27:32.530] 三
[27:34.840] 的。
[27:38.480] 要
[27:39.820] 的
[27:41.930] 了。
[27:43.770] 二
[27:51.650] 怎么着
[27:55.260] 领导的意思就
[28:03.190] 给他73,000，看旧车这边能不能作废的。
[28:06.500] 湖州这边厂家不是给我们也有补贴吗？不是说你这车说白了外边能卖5万，我们有时候保不准51,000，
[28:15.510] 甚至说给你包括48,000，然后加上补贴可能比外边还能高点，所以说综合对比相和你这不是有车吗？有一个置换目标5000，
[28:24.330] 5000是没含的。
[28:25.900] 我本身现在已经正常，我是给大家报了72,000了，你还能补贴相当于77,000。
[28:31.230] 现在说完了就是能意思能做到73,000+5000 78,000，
[28:35.950] 然后看看就车这边能不能尽量给多。
[28:39.020] 因为反正里外里都是你的钱，
[28:41.380] 里外里都是你的钱，因为没什么。
[28:43.980] 对于电来说相当于就只能认命了。
[28:47.140] 怎么说价格说白了，我们店是严格遵守厂家要求，我们不要求说你必须上个8800，你必须上个10,800什么的，
[28:55.350] 但是你反过来没有这些富盈，这肯定没什么利润，
[28:58.480] 这都是必然的，
[29:00.920] 这都是必然的，就说咱说结果能不能再上，
[29:04.890] 老公不成，
[29:06.640] 让也就是在新车这杯再来，要不就是说白了你做这桩是给你多少点保险什么的，
[29:11.500] 你里外里你在外边也花那么多钱，你的贴膜多少钱？
[29:15.480] 我们是套餐，你要单什么的话肯定不和什么8800。
[29:19.790] 一伟。
[29:21.090] 不是还有一种
[29:22.580] 维护的是13,800。
[29:25.030] 对，13,800。
[29:27.100] 行车记录仪，后仓脚垫，碰那个叫什么镀膜，
[29:32.320] 然后可以尽量给你尽量加个叫什么发动机底护板，现在反正多一些东西都能，这样的话送个3000保险相当于10,800度，
[29:42.380] 10,800做，你在外边吃饭的基本上差不多也就这概念了。
[29:46.120] 酒店有没有这个角店后仓垫，
[29:49.760] 然后贴膜行车记录仪这4大项，其他的风一个洞磨一个车。
[29:55.570] 没有怎么说。
[29:57.640] 我也不想装修，我们把原先
[30:00.660] 对什么有一根线他是那什么cc里边的，然后得俏，我
[30:06.550] 我只能距离外边贴的。
[30:10.170] 南京小飞都没沾。
[30:12.320] 他说不装行车记录仪还不行。
[30:14.210] 对它是一个套餐。
[30:16.370] 你不装行车记录仪给你换个啥4S店，其实没那么琳琅满目的东西，就是基本上长江
[30:22.770] 点点钱，
[30:24.680] 贴个膜弄个脚垫。
[30:27.160] 原来规模加工销售这块参观。
[30:33.050] 05年因为
[30:35.350] 00之前
[30:37.440] 凶悍的
[30:39.140] 中间朋友胸怀用贷款的全部都是一样的。
[30:44.750] 原来都不是是吧？
[30:46.430] 刚才二手车的评估是刚才在那溜达回来找你，去年的时候去年肯定都挺好。
[30:53.650] 有半年多了。
[30:54.690] 达到学习往往
[30:57.690] 还
[31:01.600] 独立信号。
[31:14.800] 永远
[31:22.840] 远远
[31:26.760] 远
[31:30.510] 场。
[31:35.460] 场
[31:37.100] 的
[31:41.430] 五
[31:45.160] 五
[31:46.690] 场。
[31:51.010] 数据、
[31:54.120] 一整车贴膜1万吨对吧？
[31:57.220] 我那种子听说也1万多，人家还有各种掉了，还有哥们你要知道咱们没法儿，要不去你家孩子喝死了现在。
[32:06.830] 你能不能
[32:07.990] 这么好吃，你最后一个还给他干嘛去，然后呢
[32:12.780] 在那过程送到
[32:16.840] 现在做饺子再买先拿主见的，
[32:20.930] 三殿两院前两天
[32:23.320] 长安通用
[32:25.010] 又多少奥迪的送规模的就是吗？经验。
[32:31.080] 看天吃饭1:30了还在这吃，还得后边餐厅是头发三天不散，二二楼。
[32:39.560] 还行，咱们33
[32:41.980] 咱们家的。
[32:44.430] 您说的是吧？说微信，然后什么意思？您之前什么动作吗？
[32:50.350] 什么就是注册过百得利集团吗？
[32:53.580] 我之前奥迪的之前奥迪你登一下，他应该手机里有微信里边对百利集团。
[33:01.090] 对，你看一下有没有，有的话我直接就发给我了，咱不能先把这事说完了吗？没招了我这顶高就到这了，说白了尽量协调一下，二手车给你多那什么一下。
[33:11.220] 写你就按现在正常给我写一下，就少1000块钱。
[33:15.240] 这是72,000 73,000那就4268，
[33:17.960] 对吧？
[33:19.250] 四十六八购置税会差个几十块钱，426,800
[33:23.780] 除以11.3，购置税是377637770
[33:30.010] 69.91，然后差158，差1158块钱，不是总共总款多少？
[33:37.510] 26805加上137770，
[33:42.760] 加上一个1~3，
[33:45.000] 减去5000大概2147，你这A保B怎么收敛呢？
[33:52.290] A保B保现在厂家没有，然后了。
[33:55.370] 不送。
[33:56.220] 对，没有申请一个诉讼保护的力度。
[34:00.380] 能申请我还给您优惠现金干嘛，还不如直接送您保养。
[34:04.440] 你还有什么套餐？
[34:06.100] 你想什么还有什么套餐吗？就是精品套餐，然后精品套餐费打上8800 13,800 17,800 8800什么意思？
[34:14.950] 8800里边的模式一尾的到
[34:17.980] 是咱们自己集团的，就大概类似于3M强生这个级别的，不是跟你这脚垫是环保的，没法。
[34:24.910] 脚垫就是那种皮革大包围的。
[34:27.640] 对，就是皮革大包围着，咱也没说什么环保不环保，那就没问题，其实说白了大盘卖的都还可以有吗？微信公众号。
[34:37.870] 百100得利，对百得利集团。
[34:41.800] 我真的记不起来了，有了你这贴不了穿衣是吧？有车一
[34:47.060] 多少钱没有？
[34:49.040] 没有有车，一是33,000，然后我们最低应该是26,000，实践怎么只有美式的每次
[34:56.190] 只有这一种产品。
[34:58.510] 你们车一车配的？
[35:01.060] 我也是xp口罩的，没事的等一下。
[35:04.880] 你等一下，然后输入手机号，没事跟xp哪个好？
[35:09.010] 没事好没事，微博官方没事怎么着你试试，微库官方的。
[35:15.930] 他是说白了最顶级的，因为店里贴车衣肯定涉及到，比如说你以后有什么剐蹭什么的，你来保修。
[35:22.570] 那意思说白了那好坏立马就变成了。
[35:25.400] 所以说店里我们不做低端的，你像这种车衣的话低的有八九千1万多块钱就能贴了，
[35:31.550] 但是贴完了之后说白了你要什么车你多少钱车一两万六最低。
[35:36.120] 您说一下您电话到达他不有电池吗？
[35:43.090] 我有担忧，我也不知道吃，没事，反正就是一个码，
[35:47.930] 反正谁注册了就是一个马一拍就行。
[35:50.580] 他也不保养，就在那宝妈。
[35:53.460] 我也不知道，别的都没关系，不用明白。
[35:58.820] 直接
[36:00.940] 微信，然后
[36:03.400] 用小棒摆在这集团，
[36:06.320] 长相这不贴膜多少钱，贴一膜，单贴一膜，
[36:12.190] 丹田一模6800，单贴一膜，我们家说白了没法那什么。
[36:17.150] 我不想要那什么，就是
[36:19.800] 我的没法平衡，就得走线不想的问题游戏了，比如说
[36:25.880] 房间凶是不是焦点？
[36:27.960] 眼部第一个
[36:29.520] 决策机制别送我一个麻烦。
[36:32.270] 保险单要求。
[36:34.480] 谁知要求，但是也
[36:39.200] 没有额外的，不是你什么都不说我。
[36:41.610] 对，没有罗汉松，这是第一个，就是我全部的您的电话13313910910985463。
[36:53.740] 哥这收了钱没？
[36:57.150] 13913910你打了钱。
[37:00.480] 10910985463。
[37:06.830] 这是一直把来说完了没有，而且现在就几十分钟，二三分钟今天
[37:13.190] 就吃饭到几点了，吃饭我们10:30开始，所以说你到1:30仲裁应该到1:30我早晨吃饭了，
[37:21.310] 这个钱一般来讲不用，你不吃完饭这边价格也出来了吗？要不咱们也是干等，
[37:26.650] 对吧？
[37:28.320] 这就不耽误你时间吗？13910985463
[37:34.750] 的。
[37:36.630] 62年8月20。
[37:38.900] 谁知
[37:42.050] 也就是活动现在没有了，现在
[37:46.130] 重点给
[37:56.340] 把截屏一下，待会给他直接一扫就2个人是吧？这是4个人，我点了两天我刚才点没出来，我又发了1个。
[38:06.120] 我再问一下我这车
[38:08.580] 我这旧车
[38:10.830] 如果过完假以后，然后怎么着？
[38:13.760] 过完假以后，比如说多少钱，咱们双方认可的价格，
[38:17.980] 这钱是直接打给您，我们现在因为公司要上市没法抵扣，什么时候打给我的，你放车这不就打，你比如说明天咱们交首付款，
[38:26.030] 你旧车手续交下来，这边就给你打款，大概过上了一会就到了，所以说你当时就可以来得及就直接用那笔款。
[38:34.430] 我今天要把这车喝着还不行，今天搁这也可以，今天你订车对新车开不走。
[38:40.090] 下班了对，新周刊就是明天就一块办，明天我就在这待一天，我干嘛？
[38:45.630] 每年没有，你交完款之后你就去盲目就行了，这边反正该出保险。
[38:49.950] 这中间我们的流程没办法，咱们家流程确实是要繁琐一些。
[38:55.570] 也不能听，对，他是从新库里开回来车，然后做PDA检测车没有问题，就是这车车载新
[39:03.660] 车在田村知道在火石路上就能看见，你看我也没法看着车。
[39:08.690] 对，然后明天做完pt检测，然后说我今儿要是交钱，你们明天什么汽车这块，
[39:15.200] 你今儿交钱，我明天也是一样的，流程也是得等这车
[39:19.710] 必须批件，检测完了之后我才能收钱，现在我是多少？
[39:24.600] Pda检测也就两个小时左右，所以说为什么冬天时间为什么我说当天差不开，就这个
[39:30.250] 我们确实各个流程我把新车来了以后，我把我就车上东西搁下边，我在来得及了就完了，etc什么的都得弄了，ppc直接拆下就行了，你反正etc到时候也
[39:46.870] 哥们我问你个问题，
[39:48.550] 这坐垫套上吗？
[39:50.820] 坐垫套上就我新买的4G
[39:54.120] 旧车的。
[39:55.210] 你就刚才那车上了，泡应该是套上逗弄一下，但是你
[40:00.140] 你这还用做的吗？还用套套吗？
[40:03.800] 你脾气了他热。
[40:05.590] 对，这咱们销售帮你弄一下就完了，你让店里店里肯定不能用。
[40:10.360] 人家那个车间可以吗？咱们你用谁就完了就出来了，帮我给套上买了一个新买的，我绍刚没用，那么3月
[40:18.490] 你拆下来留着就完了，
[40:21.510] 明天就一半给弄完了流露。
[40:24.600] 原来是你接待我吗？没用多少花招。
[40:27.730] 我操那哥们明着不给我弄的。
[40:31.660] 这东西说白了就是帮你拆个东西装的东西这有啥
[40:35.000] 什么我看到他说领导有气囊什么的拿的，
[40:39.320] 跟弃毛没什么关系，我看你那是套上去的，单独几根大夫对带不是全包围的，我上来
[40:46.390] 一个这东西让车间任车间是肯定，当然这块咱聊聊不能送我一个那什么活不行吗？
[40:54.410] 我们同事跟他花枪买过来的，
[40:57.610] 就是说特别高明，说白了我们变了，我们店里要是能送东西，我就不用给你优惠这1000块钱，
[41:03.970] 对不对？我给你送东西多好，起码能有脚垫什么都不能
[41:08.420] 都是没有用的，我们家就没有强制要求，也没有额外的
[41:12.090] 我开出来也没小店什么的。
[41:14.760] 你开出去你就是不买装饰，我们店里也是有绒脚垫送的，原车现在连绒脚垫都没有。
[41:21.580] 原厂原车不代表店，我们店里都会附带一个脚镣，在我们交车礼包里都有的。
[41:26.580] 几个就得一个，对就那一套。
[41:30.550] 类似于仿原厂做的，但是确实不是原厂。
[41:34.370] 跟那东西一样也是
[41:36.720] 这样。
[41:37.600] 也是龙的，包括现在我们店里的这种都不是南昌，我的意思我也在外面接活去。
[41:43.950] 对，你要不在店里坐，你说白了店里送肯定送不了。
[41:47.740] 说我花钱贴你给我优惠点不行了，花钱贴你单独我们套餐也能你问问，但是
[41:54.690] 我问问我不想要什么套餐的，你将要什么东西都要什么东西。
[42:00.320] 脚垫贴膜。
[42:02.840] 什么酒店这不好吗？那叫贴膜。
[42:06.560] 就一个贴膜。
[42:12.080] 一车一辆万六最低没戏，就是33,000的报价，我们最低可以做到26,000，就我们做到26,000，这个车一他才能在我们系统里通过，那我就没必要跟你这贴膜的都这么说的话，
[42:25.210] 是您最后选择，说白了我们不强制要求，但是说白了我们肯定会问贴一下膜多少钱，
[42:31.080] 你们那好的。
[42:34.700] 有活肯定不会做的。
[42:39.760] 这张纸能给我吗？可以，我还绝望了。
[42:43.690] 你拿着就行了。
[42:46.680] 你先吃饭，反正吃完饭就车价格也出来了，
[42:49.720] 对吧？程不同，然后一聊就完了。
[42:54.380] 就维护贴膜是吧？
[43:02.170] 车
[43:04.000] 的
[43:06.250] 数据
[43:07.240] 数据、
[43:10.970] 数据、
[43:14.920] 还
[43:19.780] 在哪？
[43:21.880] 贴膜的话一个维护贴膜不走的话，
[43:39.480] 双
[43:41.100] 的。
[43:52.020] 的
[44:02.360] 五
[44:07.390] 这些东西
[44:15.410] 的
[44:16.600] 数据
[44:17.960] 大概多少？
[44:20.920] 我们是装在后视镜全部。
[44:24.140] 实际上就是那些大黑脖子里头6366630 6000多。
[44:29.610] 我问问您，刚才咱俩不快说白这没了吗？哪个？
[44:33.890] 搞不了，刚才咱俩说了吗？您说我也不您说的时候我就告诉你抹不掉，我说能给您减就是减现金检点。
