[00:00.190] 晚上12 2010年7月24日经营地带风险鼠标垫2万块，
[00:05.690] 还有
[09:30.740] 就是说20这几点
[09:33.010] 赵联系了，
[09:34.370] 我说这次便宜对全下来技术操作你要高配的，剩下1度10。
[09:39.240] 我操这么便宜。
[09:42.150] 国产的是吧？多少呢？
[09:48.840] 20020
[09:50.080] 气的他就和这方法差差不多了。
[09:52.820] 对，他跟千三就是一个季节的。
[09:59.030] 行了，谢谢您，我这没有万一报价吗？用预算报价吗？哪个价格？
[10:05.470] 更多。
[10:09.430] 这个他俩是不是他裸车价最便宜的也是30多万，392,800报价，现在优惠到能到4万，一共还352,800。
[10:17.250] 靠这也太便宜了，这是哪款？这是动感的。
[10:20.960] 东莞的动感是最普通的最低配的，
[10:24.470] 谁知
[10:27.040] 动你要跟高配比的话是发动机你要是要像
[10:32.760] 二轮300的话是高功率发动机190千瓦，
[10:38.530] 300个多少钱？
[10:39.590] 有300是吧？300 300的高度一样，就相当于咱下来系标配的评价一个50，
[10:45.960] 50万全下来50万，全下来50还行，那一点都可以接受的。
[10:51.000] 300分钟是一模一样，他外边龙骨不一样，那是20克龙骨，这18的多了一个白色踏板百万，
[10:58.070] 比这数多少？
[11:00.080] 对，七八万块钱。
[11:01.720] 七八万肯定干300不干他。
[11:04.730] 那就跟当年啥冀GLK差不多，有这俩是一个级别的。
[11:09.760] 用一算一报价。
[11:11.520] 算算您到这边坐来，gl K好还是对好，监护已经停产了，好那不行是吧？
[11:18.050] 对那停场没有车了。
[11:22.870] 你搁哪儿
[11:23.690] 了？
[11:26.220] 然后这个是咱们车上一个
[11:28.220] 售价工牌出来那些售价包括些费用在这都是关系的，好像这个是原价吗？
[11:35.410] 产品。
[11:57.350] 你们这边做了。
[11:59.820] 过程。
[12:01.740] 这个完了马上出去的，你们指标上周贷款记录，
[12:08.920] 我后来
[12:16.080] 到了。
[12:42.630] 你说。
[12:44.480] 谁知
[12:46.390] 我说你的作业工作
[12:49.550] 了，在这里首先来一下我过来，
[12:52.360] 可以吗？
[12:53.210] 不去了，在这边我跟他说这样就好多了，完了你去过。
[12:58.570] 看一下。
[12:59.840] 好的，还有用一下。
[13:01.920] 有咱们这种
[13:04.150] 你说的咱这边多少人是你本人吗？
[13:10.490] 谢谢，然后就工业的您看这场的还标准的。
[13:14.890] 算算也差不多。
[13:18.420] 先算。
[13:24.730] 的
[13:50.030] 刚才来了约他们这啥销售，今天是相中的814，
[13:54.820] 看到的肯定不是，他是负责网络这一块。
[13:58.280] 而且谁知
[14:06.680] 380。
[14:08.380] 有个指标是吗？
[14:10.400] 33点。
[14:13.730] 对。
[14:15.860] 有点
[14:17.310] 好的。
[14:18.910] 人家真正
[14:20.250] 用您算一分期吗？
[14:27.060] 其实不分也行。
[14:28.340] 不会的。
[14:30.350] 算了新卡的时候，
[14:32.510] 关注上非常进去，你看你在卖两个章，你们14不就
[14:41.840] 就是说对吧，
[14:44.410] 谁知
[14:46.390] 他费用费用太高的话就不用。
[14:49.620] 你给我优惠完的价格算了吗？对不对？
[14:53.320] 我觉得
[14:55.950] 目前年底的时候那个活动多，还是说年初到现在20年在北京卖车？
[15:02.750] 基本都告诉的
[15:04.350] 差不太多，都没指标。
[15:12.680] 显示在哪个？
[15:19.960] 新车都有。
[15:21.740] 都有，国产了以后我也讲。
[15:24.060] 他这就是机器是进口的还是合资的？
[15:26.780] 国内服装的，国内他就是德国的技术奔驰技术，但是在国内组装的，他这个机器是在咱国内做的，
[15:36.510] 他只不过有些零部件生产是在国外生产，组装材料国内组装。
[15:41.830] 然后您算完了这个是什么？
[15:43.930] 咱们全国统一的报价，托马斯
[15:45.680] 报价钱再给您宣读一下咱们厨工，咱们这是以客为动力，当代程序经说法得知明码标价公开透明，开展车型优势，
[15:53.650] 绝不捆绑销售形式，消费结构升级改造与通常400818188成接通电话，
[15:59.540] 使用全国统一报单模板报价，报价单报价咱们谁知17 300送的推车都一致，
[16:09.040] 车是49 3800，目前优惠4万的现金，优惠完45 3800，
[16:14.880] 购税大概是450，
[16:16.990] 银饰满2500，保险大概是5万块钱，但是保险是以上，
[16:22.500] 自己提审严重多多去
[16:25.620] 全部下来就是506,300就全下来了。
[16:28.350] 这是顶配的。
[16:29.670] 然后这个是分期两年，目前利息最少的，首付一半带一半，
[16:35.950] 每个月你还9700块钱利息，两年总共花了5900，他的贷款需要我拿什么手续什么的，得需要您查查您的
[16:46.190] 蒸汽，然后还有一个就是半年银行流水，
[16:49.140] 那也对外银行半年银行流水，然后夫妻双方的身份证
[16:53.140] 基本就差不多够了。
[16:58.420] 然后那啥
[17:00.840] 他这个利息是多少？利息总共5600块钱，
[17:04.240] 两年才5950万，为啥这么便宜？就是厂家金融公司
[17:09.080] 不是手续费，没有手续费，
[17:12.260] 总共2000就花5000多少人。
[17:14.580] 还有。
[17:15.480] 那肯定不用钱，那不是说肯定贷款，那天我头回听说它更便宜了在二楼。
[17:21.710] 对，总共5100块钱不行介绍。
[17:25.510] 了解一下他们。
[17:28.310] 完了。
[17:30.080] 或者这太便宜了，可是这真的假那就给你，不是以前我记得要是那种车的话，就贷款贷几万块钱吗？带两块钱还得1万多手续费，不是在几万块钱的贷款，现在20万属于总是利息总统。
[17:46.080] 这是哪个公司？我们是分成厂家金融or你们自己做的，我们跟集团的这种
[17:53.340] 谁知到流水问题，
[17:56.420] 流水大概是
[17:58.490] 每个月得几十万的优势，没事，你只要覆盖您的一个还款就行，基本运营大部分
[18:05.860] 行，这三你先给我行，今天定不了吗？
[18:09.520] 今天给我们顾虑。
[18:11.070] 没有在后边看着行，我主要是笨警察gl，1R知道吗？他没跟我说月份，
[18:17.930] 他跟我说没有，我就不一定来你刚卖的刚开出去了，
[18:22.180] 早上我们来一客户，最早的人来了，来到这看一看的车交警过来了，他还是比他乌有，
[18:30.350] 肯定奔出去的邮件通常都有关键的，
[18:33.860] 纷纷
[18:35.580] 为什么多少钱？没有GRE16 6个配置，你要哪个不要知道，我想你给我放下3.0T的我怎么样？30这是
[18:47.670] 2007年百843,800，然后我看上面好像是有一个63万多的，不可能，
[18:53.760] 350都没60多万。
[18:55.990] 350多少钱？
[18:58.180] 350最便宜报价70万平方米，优惠优惠3万多，
[19:03.210] 就是7万平方米。
[19:05.020] 中间多少？
[19:07.730] 您知道多少著名都不想，中午能在这里没车肯定有用吗？都没有。
[19:13.360] 咱们同学表面上大家安排和要求那边系lb记gl，是不是TMD和plc哪个？
[19:23.600] 你觉得比较好一点，C必要OK。
[19:26.530] 老头怎么样？越厚越好，对。
[19:31.150] 还有什么gl，然后又上去了。
[19:38.090] 没问题，银行这块
[19:44.980] 要不介绍。
[19:49.240] 他有个直营什么酱的，2020转709,800是吗？
[19:53.890] 对702，然后你看3.8 80米，
[20:02.260] 他这怎么给你算这看什么网汽车晕车。
[20:08.570] 他应该是什么？应该给您算的是综合的报价，你买精品买
[20:16.180] 做分期，整个分钱连旧车置换全齐了以后，应该有一个综合的报价给您。
[20:22.080] 你看就是他的报价，
[20:25.510] 按照实价多少？
[20:28.130] 171,000，他就是综合报价，你到4S店，任何一家三甲医院都没有。
[20:39.920] 这是你2046十几归还3200
[20:47.510] GRE3 6000~7万，
[20:49.560] 67万多全下来到80的，
[20:53.070] 大不了70多了，这就是
[20:57.010] 然后谁知
[21:05.450] 行行，放假还有其他疑问吗？
[21:07.640] 都有了吗？
[21:08.780] 下边咱们服务员到时候给账号工作评价，然后明天给您做一个回访。
[21:14.170] 明天上午方便下午方便，下午下午4点是吗？
[21:17.400] 咱们上午下午都可以，下午4点，然后电话短信微信哪方面？
[21:22.380] 微信不是都可以，谁能给你打电话，
[21:26.680] 少哪个码上扫下来，我去旁边看着你说没事你就找这个。
[21:43.930] 然后秋那边看卧室。
[21:46.490] 新加坡看沃尔沃是吗？对。
[21:48.980] 您通过就行了，行，然后您等您走的时候，其他的店址戴尔打扫都已经收费了。
[21:56.270] 找那边。
[21:57.330] 一会你走的时候，等一会要不出去收费好了，个人电动马上不用说了，好了改过了一半走了。
[22:04.440] 可以了。
[22:05.400] 好勒。
[22:07.410] 上
[22:16.070] OK卡1350139号码给他。
[22:22.870] 宝马摩托非洲。
[22:24.680] 13501393。
[22:29.110] 怎么？
[22:31.060] 内向不离开。
[22:36.670] 张红。
[22:55.570] 1350139。
