[00:00.710] 流转接待的客户交车，
[14:02.760] 上门就定了就完了，稍后咱店里这事儿就是一会我也给您问问，我一会账务了，一交车交完车我给您问问，现在那说一下。
[14:10.370] 对，你要是说
[14:16.310] 人家。
[14:17.700] 反正你们都不漂亮了。
[14:20.820] 是老婆给你昨天告诉
[14:25.960] 这个是因为人家已经出完保险办完手续了，然后办好临牌了，
[14:30.840] 咱一会突然保险我去办理，
[14:34.160] 要不要？
[14:36.060] 没有你干嘛？
[14:38.270] 给你弄完了。
[14:39.550] 行了，没事。
[14:42.690] 这个待会让他来，我能上着。
[14:49.010] A然后对没看着他处理的，有前面我交了，
[14:53.850] 让他过来。
[14:56.580] 一擦就掉时间，后边门把手下来了。
[15:00.760] 我这5月的车是不是太了太旧了，是你库存。
[15:04.640] 这是新的，他5月份生产，然后生产还得一个月就到店的，6月份才到的店。
[15:11.330] 不会说5月成长完立刻就导电。
[15:13.630] 他车的轮胎都不一样吗？
[15:17.490] 它俩牌子不一样，这是普利司通。
[15:21.060] 然后这个是顾客，这个是倍耐力，
[15:24.920] 每个批次的供货商是不一样，
[15:27.590] 哪个品牌更好一些，都是同一个级别，都是
[15:31.630] 都是一个级别。
[15:33.020] 咱们有三个供货商，普利司通，
[15:35.790] 然后倍耐力还有米其林，
[15:37.950] 总共这三个
[15:39.190] 孩子都不一样，这三个牌子是最好的牌子了。
[15:42.800] 对，现在咱们车豪华车里边就用最好的了。
[15:47.080] 这个好客人拍也挺贵的，我上次换了个轮胎，
[15:51.540] 还挺贵的，他们说轿车一个开yy，
[15:55.910] 我发现他长这样了，每天
[16:00.530] 大哥你还得来一趟，我这边还得拿交出来一下，还有一小块帮忙给蹭一下就行。
[16:06.530] 就在交车区门口。
[16:09.760] 拜拜。
[16:10.880] Bye bye。
[16:14.120] 他马上来。
[16:15.130] 市郊一擦就掉，一会那一看就知道，
[16:22.640] 它掉漆的黑车特别明显，一眼就能看，
[16:25.920] 然后一摸就能知道是不是喝了碰了先交的钱，为啥还是6月份的车，我这还是
[16:34.470] 后交钱还是5月份的车都是库存吗？我的不是，它有的车型一都是一批到，
[16:40.750] 他是展播，不会说生产完一块打包，
[16:43.480] 他生产完了以后这一批一起
[16:45.970] 不会有质量问题，我买了库存压库存的车要库存的话不会是5月份的，要库存的话就在1月份的
[16:53.810] 最少半年。
[16:55.880] 好吧，还一个月。
[16:57.760] 反正我出个什么问题，那车不行了，你找我。
[17:01.010] 卖车生产日期是什么时候？
[17:05.000] 生产日期是5月29号，这不是车辆制造日期2020年5月29号，然后生产完再运过来，就在6月到了6月中旬6月底了。
[17:13.800] 今儿刚7月1号，我问你一下，
[17:17.320] 我启动了以后，
[17:19.430] 启动以后我就开走了，比如踩油门我就知道能走，然后挂上D档就能走了是吧？
[17:27.710] 看到红绿灯我就踩脚刹就停了，然后踩一下我再拆一下，就是拆您把车
[17:34.100] 踩住了以后就停稳了，
[17:35.840] 平稳以后别再往下深踩，
[17:37.920] 然后要跟普通踩刹车不一样，要快点的
[17:41.640] 往下要快速的踩一下，它会触发。
[17:44.740] 对它会触发一个厚的功能，这个时候它就挂在D档的状态下，
[17:49.620] 就不用再踩着刹车了，
[17:52.280] 它会停在原地，
[17:53.510] 他是不会溜车的，
[17:54.900] 就跟杀了手刹一样的。
[17:56.600] 走的时候您再点一下油门
[17:58.600] 就走了。
[17:59.800] 两脚刹车，
[18:01.910] 下车了我要怎么才能住车，然后
[18:06.070] 蒽P打了，挂了P档以后一灭车就行了。
[18:09.470] 他自己就搭上手刹了，您就锁车就行了。
[18:12.000] 那个点火有就行了吗？对，然后要是都不用咱那车带无钥匙进入的。
[18:18.690] 对，您只要离车近了以后，把手往里伸，自动可以解锁。
[18:23.450] 知道，然后一滑就搜出了两版。
[18:27.120] 就跟他一样的，不分主副。
[18:29.470] 然后我要开车的时候，我只需要拉一下车门就去。
[18:34.750] 了你看现在它不是开了，但是钥匙必须在身上，就是离车一米，
[18:39.040] 然后左的话就贴一下就锁了，
[18:41.390] 然后着车踩刹车，点一下那句容店就倒车了。
[18:45.680] 然后面条也是简单的剑就别说了，要是容易都不用拿出来到包里去。
[18:50.030] 不会锁在车里头，他。
[18:52.080] 钥匙在车里边它是锁不上，
[18:55.030] 比如说钥匙给你搁车里，他锁车门锁不上。
[18:59.350] 对，他说不上，它会识别它们时。
[19:02.260] 别在门外还是门，我要是拿车走了拖没熄火，他会投诉这个。
[19:07.810] 它里边会想会弹出钥钥匙不在车内，对他会一直在谈一直谈。
[19:14.270] 如果要是
[19:16.320] 忘了把钥匙搁车里开，走了就别灭车，灭了车就找不了了，我面条你都可以开的行。
[19:22.510] 单机
[19:23.760] 商量一下，那来这边。
[19:30.530] 别的我都弄好了，就差一个保险，就是确认一下保险上什么险种，然后让他们再改就行了。
[19:36.250] 咱坐这边。
[19:51.330] 小微
[19:54.400] 12为。
[19:56.810] 谢谢。
[20:00.110] 这样。
[20:01.480] 别喝什么吗？有咖啡、茶水、矿泉水什么的。
[20:08.050] 过去拿吃饭行，白天OK。
[20:20.190] 你们说了。
[20:30.800] 我先问问密码。
[20:33.770] 我看一下。
[20:35.630] 你光把卡给。
[20:36.990] 我密码不告诉我这。
[20:48.800] 我给你拿掉。
[20:49.850] 提纲的时候我的情况得更好，
[20:53.340] 我可以一下子喝完了，我觉得好可爱，怎么都是对着急没喝水就好了，这爱好。
[21:01.630] 呵呵。
[21:03.450] 好。
[21:11.920] 就是这份。
[21:15.700] 全世界的都一样，
[21:17.380] 这种联系像真实像您说和美国人一样。
[21:22.020] 应该值得都发群里。
[21:23.670] 谁知。
[21:25.560] 对，他让你给人转发，因为他不知道人家微信。
[21:30.840] 但是。
[21:32.810] 对吧？我真觉得我可以在我需要吗？不好意思让你这样过去。
[21:38.280] 填一些信息，填一些
[21:41.130] 他自己的信息要比对一下。
[21:45.590] 这叫这些300好吗？应该不会有，你你问问你问都问我们金融专员问他，
[21:52.010] 他们专业他们知道。
[22:03.170] 我是按让他们按权限当是不是勾一下就行，我给您发一个。
[22:08.660] 发我手机上
[22:10.770] 的。
[22:11.600] 是吧？办公吗？
[22:17.160] 我上哪个公司你有要求吗？
[22:19.570] 平安
[22:21.770] 是必须得上班要都是父母。
[22:26.670] 你平安车险行吗？上次家了拍了我都填了，然后又睡着了。
[22:32.920] 后来给我发的微信，我中午跟我们验证支付界面，我找了，然后我都问清楚了以后我跟你说。
[22:40.030] 人保电话
[22:42.630] 不着他在那等了半天就救援拿了，根线不要灭回到强了，
[22:55.110] 这也快的。
[23:00.880] 不是太棒了，没
[23:04.790] 为我们辛苦了，买了放在刚刚孙燕投了一个月，然后也能量
[23:11.330] 吃饭活打不着，俩就得开车也不知道吗？怎么回事插钥匙反应没什么，对新买的车就趴窝了，他们生气他就打电话，然后人家就原来了，刚才先点着了在拍一块回来，让我们每个星期都得出去一开，我们俩就想着辙让每个星期。
[23:31.480] 然后您加我一微信，我给您。
[23:35.120] 我给您。
[23:38.160] 叫小宝。
[23:40.540] 对有，我给您发过去。
[23:42.800] 给您发过去。
[23:44.140] 我知道我看看我给您发过去。
[23:53.160] 我给您发过去了，这个是按全全险上的。
[23:57.460] 但是好多照。
[23:58.420] 找你上。
[23:59.800] 就得在店里上。
[24:01.680] 然后这个险种您自己可以选，比如说盗抢，
[24:07.180] 包括像一些玻璃划痕涉水就都可以不看，
[24:11.790] 就看您想要哪个给他留哪个都不。
[24:14.160] 要不要螺线的？
[24:15.880] 不，这个事。
[24:17.230] 店里送的保险对吧？电力送1000。
[24:20.560] 送1000以下的都是。
[24:22.590] 您自己支付。
[24:24.220] 他然后第一年是83折，但是。
[24:26.680] 第一年还必须得通过你们来上保险。
[24:29.720] 对，因为当时是这样，当时咱们协议都签好了，因为我们给车优惠的价格，
[24:34.770] 像在店里上保险，我们车优惠的，现在我们的车优惠4万多一点，咱这车直接优惠47,000。
[24:40.330] 优惠点机动车损失保险是被丢了吗？
[24:43.490] 车损就修咱自己车的。
[24:47.190] 修咱这车的药，没有车损险，咱这车没人修。
[24:51.510] 您自己花钱修。
[24:52.960] 车损修咱车，咱这车子
[24:55.090] 三者是修对方的，就连车带人，对方赔对方的100万的，
[25:00.060] 然后不计免赔，就是不用您负担，您自己要承担这15%~25%就全赔，
[25:07.240] 然后无法找到第三方，您车停路边被剐了被碰了人跑了，
[25:11.680] 如果没上这个险，它只赔75%保险公司。
[25:15.260] 您三者责任险吗？不是叫无法找到第三方，
[25:20.160] 您这人跑了对人跑了你没调人，相当于您有25%的责任，它只赔75%，您自己掏15%，
[25:28.500] 上了险就全赔，
[25:30.890] 就不用您自己的车。
[25:32.810] 也没关系。
[25:35.970] 然后剩下就是小险了，玻璃划痕涉水什么的这些。
[25:39.260] 我当时看我的车保险的时候，第三者责任可能要上台，就单独险，
[25:47.060] 玻璃的火也上来了，但是这个车盗抢不上。
[25:52.610] 了不是，我的您用到讲确实没有，您现在北京不存在说出偷被抢了。
[25:59.050] 是来回单位回家里边。
[26:01.440] 去公共停车场都没有问题，所以我就没有要。
[26:04.860] 人员责任险要问的问题。
[26:07.880] 这个是必须上访人员责任险，他底下叫溢价险就350，因为很便宜，它是陪
[26:16.700] 陪30万，
[26:18.950] 所以一般客户都少，
[26:20.800] 就350块钱。
[26:23.010] 因为我自己都不想对我现在也不上。
[26:26.760] 我不往
[26:28.440] 起码我
[26:29.360] 几结果车倒显得。
[26:32.100] 你在哪里下车？
[26:33.620] 课前我也都因为我们家钱就是一家三。
[26:36.780] 每天上课都有，全场都有，但是所以我就没有给上。
[26:41.620] 划痕损失。
[26:43.690] 对，一样的这样的。
[26:46.480] 我知道人的饱和一些划痕跟涉水一定要上，也没事夏天。
[26:53.370] 11年当中夏天这个事情，
[26:57.060] 的。
[27:00.100] 那就把盗抢跟一嫁衣险加上险给
[27:07.620] 这个沙漏是相对。
[27:10.430] 想要享用驾驶。
[27:13.060] 尽量记一下之后都有保险，如果都没有。
[27:18.550] 要他。
[27:20.740] 他肯定好像因为我家
[27:23.100] 吸烟就行了，就要几了。
[27:32.000] 设施比较的，还有玻璃的我要了，
[27:36.160] 玻璃学校反正玻璃就单独破碎，比如说没事儿玻璃被石子或者什么崩碎了，
[27:42.460] 如果您没上玻璃险的话，你就自己花钱修，上了吗就免费，我是因为。
[27:48.010] 我有一个同事开车在五环上过来以后就是把这钱倒了。
[27:52.190] 对，因为这前档是最贵的，前挡这一块咱这车一块应该1万多。
[27:57.040] 他那个车便宜也花了好几天，对。
[28:00.420] 非常贵。
[28:01.910] 玻璃险是1000，
[28:04.460] 你看
[28:05.400] 1105。
[28:07.540] 三。
[28:10.270] 您看您要我上。
[28:13.290] 想象
[28:15.860] 算上他一共多少呢？
[28:18.930] 我得让保险公司算，反正捡到卡就能捡一个
[28:23.070] 1871，再加一个不计免赔是374，就相当于2000多块钱剪一个盗卡，
[28:29.270] 然后再剪一个驾乘险是350，
[28:35.090] 现在是能减2000，
[28:37.380] 那就得相当于1万12,000。
[28:41.090] 还得在12,000多的保险费是吧？
[28:45.700] 对，然后我们再送1000，您自己可能掏11,000多。
[28:48.350] 11,000多再打8折，就已经这也是打完的，现在算就已经打完8折了，第一年他统一的
[28:54.390] 全是83种，因为新车
[28:56.100] 明年再上去，比如这一年没出险，
[28:58.710] 明年再上保险的话就53折了，
[29:01.590] 就一半。
[29:02.600] 直接砍一半，就是因为没有出险，对，他一年一年会检，第一年是最贵是。
[29:08.110] 是的，第一名不对，这1万不会钱我也上了。
[29:13.000] 行。
[29:13.990] 然后送水什么的划痕都留着是吧？
[29:16.500] 对。说说。
[29:19.560] 公里没那么差，他们一会。
[29:23.770] 这么长。
[29:26.360] 的。
[29:28.270] 上。
[29:30.990] 谁知
[29:42.640] 您先签个字，这是ea B养护礼包，这个月继续有，然后
[29:48.170] 这是一个告知书。
[29:51.700] 上下别超1000公里，就是咱们保养周期是一年或1万公里保养一次，
[29:57.290] 前两次是送你免费的。
[30:00.200] 1万公里。
[30:00.960] 李给我打电话了。
[30:02.200] 到时候会提醒您，但是您自己也记着点。
[30:04.900] 正副职别超1000，比如您开11,000了就必须得来了，超过11,000您不来免费
[30:10.600] 了，别超1000公里就1万公里，别超11,000，1~11,000最好就1万你就来，
[30:17.520] 最好就别超1万。
[30:18.990] 然后上下别超一个月，比如那一年我才开了5000公里到12个月了，也得来保养。
[30:24.750] 您超了也不免。
[30:26.020] 费就是哪个先到。
[30:28.030] 对以先到为准，哪个先到哪个队得排。
[30:31.550] 这句话你得调一下，本人已充分了解。
[30:38.440] 多长时间？
[30:41.700] 然后今天脚垫、胡椒面记录仪都会给你装好，就台贴膜，贴膜等到您咱们验车的时候，
[30:48.260] 然后要求回来再贴膜，
[30:50.710] 验车之前不能贴膜。
[30:52.580] 然后那个指标你手里有吗？
[30:56.910] 待会我得印象
[30:58.430] 我不能放在店里头，等到周五的时候来开去吗？
[31:04.050] 这车
[31:05.220] 我们不是怨别人说周五验车了，
[31:08.360] 周五一早就要去验车，
[31:10.480] 7:30就要到检测场，您直接看我们这没人知道5点谁给您药呢？
[31:16.190] 这几点开门大门，
[31:18.320] 大门肯定大门可以开，那就是婷婷我们把钥匙拿走，我们从停车。
[31:24.290] 我知道您的意思，您就相当于我把车给停好了，到时候您直接来这把车直接从这开到。
[31:28.070] 偶然。
[31:28.560] 后直接提现车去。
[31:29.690] 那也行。
[31:31.060] 就可以好吧？可以行可以，你把钥匙我们付完钱是不是就可以拿钥匙了？对那。
[31:37.690] 今儿不就不开走。
[31:39.630] 不太冷，对。
[31:41.460] 好吧，我还说今天让您开走了。
[31:43.970] 我开走我也挺满边上对不要了，一会开始要签到高能所。
[31:49.650] 身份证你能到那身份证能放在店里吗？应该再给您办临牌。
[31:54.560] 可以。
[31:56.170] 今天办不好吗？
[31:57.800] 今天会办好，但是今天得下午办好临牌，您就先停一直在跟着搞。
[32:02.320] 办完临牌你在。
[32:03.130] 你现在先去办。
[32:05.030] 我得开票出保险，得拿这些手续才能办临牌。
[32:07.990] 是在店里办理，帮我们催一下，我们不想看个身份证，行行。
[32:13.160] 可以看咱们先。
[32:14.280] 行给你打不我是睡着了，不是个人隐私没有了。
[32:20.810] 谁知道他拿干什么，
[32:22.300] 这可能还不干什么，但是我们不想有中间漏洞，时间让他们
[32:28.090] 好一下。
[32:29.440] 等会保险。
[32:30.590] 一会他把保险算过来，咱们开票
[32:33.840] 出保险，然后给你安排这边给您讲功能，然后这个时候保险都出完了，我拿着保单什么去办理马，
[32:40.430] 然后床板东西给我们个饭，吃完饭然后办理帮您再走，行，反正您这催着等快点。
[32:48.070] 没说交钱什么时间？
[32:50.700] 没什么，要交钱，我得把这系统都做好了。
[32:55.930] 算过来了，我给您发过去了11,000多，另外1000
[33:00.410] 11,199块4毛5，然后我们不是再送您1800，您自己掏10,199块4毛5。
[33:07.050] 好，
[33:08.770] 自己会场。
[33:09.910] 你先看看。
[33:13.500] 也辛苦都会在之后也会说。
[33:17.120] 肯定保险。
[33:23.670] 我那小小
[33:29.120] 必要的义务电车，
[33:32.640] 那车源
[33:34.350] 发票是24。
[33:37.150] 24万元车弗之前。
[33:39.760] 对，然后车的保险才7000多。
[33:44.040] 他也不
[33:45.120] 他作品就别卖电车，您为什么说店铺不值钱？
[33:49.950] 他一出只要出了4S店就价格就变成了。
[33:54.040] 不保持电车，可能您20多万买的车可能就卖2万块钱。
[33:58.600] 2万我肯定不卖。
[34:01.180] 对，所以说只能自己开的就没人买电车买都是买。
[34:04.300] 的对了。
[34:05.410] 为了不限行随时可以没有。
[34:09.230] 我那时候还想要不然
[34:11.150] 买个电话方便，但是我不知道我一定要留一个机动车，就是说要不要再去排号买位电台车辆，结果他犹豫的时候，
[34:20.060] 我冬天排号排到了买到了，他说你现在在
[34:23.880] 我在拍照5年，
[34:26.110] 我说我赶紧去到那一看，果然开到25年，但是我已经提交资料了就行了，今年在排的都排了三十三几。
[34:33.970] 对，我是
[34:35.280] 前年还是当时。
[34:37.260] 改完以后，然后去我们是10月份改的，2月份给证明。
[34:41.950] 然后电车，
[34:43.310] 电车要收购车税，
[34:45.510] 要收什么费，要收购置税了，购置费了就不买。
[34:49.640] 优惠了，就你原来买的时候不用交购置税，验车没有，
[34:53.830] 现在要交过路费了，等于国家不给补贴了，对不对？
[34:57.720] 我那个车补贴了10万，
[35:00.280] 国家补了10万，就是发票价格是24，但是我只交了10次，
[35:06.230] 然后他免了过不去了，他的反正就只掏了个保险，前期千三百家。
[35:11.990] 其它没亏也没有花钱吗？都没关系。
[35:15.460] 为什么？
[35:17.160] 不要钱，就是他什么验车什么都不要，钱直接挂牌了，您花了7000有37万买的，等一下带队，当时就把车款交完以后给我开了发票，就要是给我了，
[35:31.050] 然后什么税都没有，电车然后还补贴了10那挺快的，就交了14万，交完钥匙百科又给开走了，
[35:40.810] 挺好的。
[35:41.910] 这个车
[35:43.060] 什么钱都没要，你朋友什么都过，内饰全部都完了，车开通美国开始
[35:50.860] 快速眼
[35:51.900] 快10年7年，反正开始时间长，
[35:55.170] 50年之内电池电瓶坏了以后都给核心都还不错，其实家里边有一辆电动车的东西，而且有一个记录有电瓶车挺好的，就近距离的接触孩子多好。
[36:08.510] 是我其实不知道送相机新品开车还快，开车有4个工具，然后再加2个掉头，
[36:15.110] 我去汽车不要过去，10分钟早掉队，所以我跟他
[36:21.170] 连接车都不愿意。
[36:23.370] 你们要是这样的话，而且我放到学校门口接还被贴条罚了好几次，
[36:30.410] 一算来也都值得。
[36:33.090] 其实我特别愿意骑自行车，这主要是您
[36:36.820] 这块路就符合自行车都是又快，最后距离就提个几分钟就到单位了，挺好的。
[36:44.830] 就为了这个距离才租房子，不然的话开车上下班了。
[36:49.970] 对。
[36:55.490] say再见。
[36:56.640] 的人员销售人员
[36:58.520] 素质也高，
[36:59.760] 又是一种看着就很专业，说话也很利索挺好的。
[37:03.160] 是吗？第二个，
[37:04.970] 他们在网上发这个店的销售特别拽，
[37:09.220] 后买了怎么的，尽管我们都是创业，但是你到了99%的人都是这个店的销售特别
[37:18.350] 但是我特别傲慢，
[37:21.320] 我感觉我有没有感觉，但是我也不喜欢，但是五星级的服务是同样的服务人员，就是很
[37:28.250] 好温和有理，他很酸职业，
[37:31.420] 我不需要他说点头哈腰的那种感觉选择，
[37:37.090] 我那天一来就掉了是吧？吃掉对是的。
[37:43.960] 让我觉得这种不管它有时间去了
[37:49.670] 手机，
[37:51.460] 您回去以后看网上评论都说，
[37:56.160] 不管什么傲慢，那人他准备让人家给他怎么样不知道了，
[38:03.290] 然后回去你们安排我说买错了又下错单了，
[38:08.820] 你为什么买了你就别想了，不是你买的是车用买的。
[38:15.550] 你们网上那些都不靠谱，比较狭小，
[38:21.050] 我也没见过，所以有的人就性价比比较高，但是面对面那个人可能还会
[38:26.850] 怎么要注意表达方式，他可能在网络上张口就说键盘侠对。
[38:33.850] 没，所以我就说网上有些贫困县随便了，
[38:39.560] 但是他们也没有媒体心肌耗钱让他被人骗了。
[39:01.920] 今天签的字会多一点。
[39:04.340] 就喜欢这种签字的感觉。
[39:10.290] 不是别签字，欠条上就行了。
[39:13.430] 其他都挺。
[39:14.320] 让我签了一堆欠钱的就这种有成就感。
[39:24.880] 您看一下给你解释一下。
[39:26.700] 上面还是您的信息。
[39:28.760] 然后中间是我们店的
[39:31.810] 车LC340区动感型
[39:36.040] 黑色的车，然后棕色内饰
[39:38.870] 都有车架号，咱们看549162跟咱们之前定的车架号也一样的，
[39:44.210] 指导价449,800，现在最新的，
[39:47.410] 然后优惠完是402,800，
[39:50.730] 这个车的公示价格是449,800，北京牌照咱们就会一个47,000，
[39:56.020] 提供一个1000块钱保险，
[39:57.860] 然后验车是赠送的
[39:59.390] 7500的装饰为主的贴膜，然后送给您一个交投礼包，
[40:04.110] 然后我们会单独送您一次保养。
[40:06.820] 然后还有一个ea B讲保养总共三次保养。
[40:10.030] 实际上如果改变上班城市市场交易价格，公司价格销售就是上外地牌，咱们不存在这种像京东。
[40:17.150] 一样，也有一个保价的吗？没有了。
[40:21.590] 比如下个月。
[40:23.280] 店家他奔驰时候看资源，比如这个车突然间资源特别多，每个店都有的是现车，他肯定得便宜买，
[40:29.910] 就消化库存。
[40:31.200] 车多少？每个店都车特别少。
[40:33.970] 会涨价吗？
[40:35.210] 临时调价。
[40:36.760] 对，就是这个价格随时会
[40:38.570] 明白一下他的销售的情况去变，对我们这个车它可能一星期变一会价格，
[40:43.880] 也有可能一星期这两。
[40:45.340] 给我们保底，假如说这个月我要是买了，下两天比我便宜。
[40:49.870] 现在lc到年底之前应该都是涨的，可能没有再便宜的可能，因为上次是因为端午节，所以搞一次活动，
[40:58.450] 冲着就7月份销量，但端午节这几天都差不多，把6月份前10天的任务都完成了，
[41:04.250] 所以6月份跑的会很快，
[41:06.800] 所以就不会再放大价格去卖。
[41:09.280] 了。
[41:10.630] 车的话。
[41:11.460] 但是合适。
[41:12.580] 现在我们的车优惠43,000。
[41:14.790] 您现在是短期。
[41:16.470] 现在里外里多4000。
[41:18.550] 千1，
[41:20.600] 449,800的车。
[41:22.360] 那个方式什么方法？前端。
[41:24.960] 也需要做装饰。
[41:26.560] 之前交了1万，
[41:28.560] 今天要交392,800。
[41:31.620] 然后再加一个购置税35,000多是多退少补的，到时候我们收多少给您退到咱们对。
[41:37.680] 保险就是11,000多，我们送您1000，您自己掏10,199块4毛5，
[41:43.500] 然后会送给您一个ea B教它礼包，
[41:46.290] 然后这两个费用加在一块，
[41:49.140] 是45,845，再加上车架的392,000，
[41:54.430] 再加上咱们7800的装饰，
[41:57.120] 今天要交44万
[41:59.440] 6445块4毛5，
[42:02.180] 就跑了定金了，您总共花的钱456,000多。
[42:05.570] 环境金钱对之前交了1万了。
[42:08.800] 这个世上行业新的，我们送您1000块钱保险，
