[00:00.000] 4:49量与二次
[08:11.520] 你这有没有给我试一下，里边如果这样的话，这一盘我就买了，如果说这能放的话我就买了对不对？你帮我试一下。
[08:18.070] 吃不了，你说我用不了，我买它干吗？你别买完了用不了。
[08:21.970] 你跟他说你找一根
[08:23.970] 一样端口一看就能看明白，专门卖这个的。
[08:27.380] 这个线加硬盘，
[08:29.050] 完了你给我放一个什么视频都行，帮我插一下，能播放结果买了你播放不了，这我也买不了，
[08:36.330] 对不对？
[08:37.320] 你跟他说试一下，他应该能理解，
[08:40.570] 别到时候买完以后都用好了。
[08:42.940] 我这就只有这个办法。
[08:47.050] 你光盘我们现在拿。
[08:49.370] 这个应该
[08:51.080] 德国人可能这个人喜欢用光滑的，
[08:53.780] 或者高手一般后来就办公管理，
[08:56.250] 插上断过以后可能
[08:57.900] 比如说一些设备投入，
[09:00.170] 还有去吃那种
[09:02.120] 电磁波。
[09:03.930] 汽配城那边我从来也查。
[09:07.760] 差不多。
[09:08.740] 电子贵电器。
[09:10.350] 电子。
[09:10.980] 对电子疼。
[09:12.900] 这些卖这些电脑的传输设备上，它可能这市场上用户
[09:17.840] 线路，
[09:21.000] 或者你到时候P到底有没有
[09:24.000] 你用了我觉得店里可能很少会有这种
[09:27.280] 用了摄像机拍的是你要用硬盘，他想
[09:31.340] 不是说
[09:32.270] 你给他看什么，
[09:33.680] 是他想看什么的。
[09:35.550] 对，哪怕你这样，你要能提前咱们下滑了之后，它还是转换不过来干嘛？
[09:40.890] 你没法弄。
[09:42.960] 别的你比如
[09:44.700] 你说有我操你这不能
[09:47.580] 今天开车去大兴一个小时，拉了一个小时，
[09:51.010] 然后又给上午都在中秋送礼打电话，就开始打电话，
[09:57.910] 他不听你。
[09:59.640] 是我都将了，他一让我上午一科就我说他不能弄吗？
[10:05.150] 然后他就找马，我没给他，我说你说下午回来了我再给他弄，
[10:10.240] 那就不发。
[10:11.470] 你tmd骗我这不是什么利益。
[10:16.460] 两就这2万我觉得印象，因为
[10:19.000] 可能说少点她实现。
[10:21.430] 这事用不着那天那还不是你说教我们的那个人，
[10:26.640] 我去问了一下，他说他就用银行就可以，
[10:30.260] 我这买了一个U盘，
[10:37.010] 慢了。
[10:38.170] OK
[10:40.730] HDMI
[10:51.070] 为
[10:51.920] 还有
[10:54.950] 没看唐老鸭我知道看看。
[11:04.840] 差错了。
[11:06.510] 他做。
[11:08.020] 我看一下。
[11:12.690] 我看一眼。
[11:18.760] 我不知道您说的是哪儿。
[11:20.890] 我先。
[11:28.300] 我看一下。
[11:43.240] 你看看这艘
[11:44.720] HDMI全都是99，
[11:47.020] 他不会京东。
[11:48.700] 你哪个去的我不知道行不行，他现在附近哪有这种电子产品？
[11:53.860] 不知道不住。
[11:55.530] 不知道汽配城
[11:57.560] 中国孙子
[12:00.930] 中关村全是卖这个的。
[12:05.040] 拍我一下。
[12:10.550] 对，还有。
[12:11.980] 这个收音机能立马关闭了什么，我记得你
[12:19.520] 因为我记得我上次问了他了，我问那个人，
[12:24.560] 农业、
[12:30.820] 没事了。
[12:32.450] 好。
[12:33.560] 理解有所好转，会不会有点你知道正因这不行。
[12:38.580] 大家看就是说
[12:41.090] 不能显示着
[12:42.450] 你要想你要这么把她过来找他电话，他就接不了了。
[12:48.320] 然后那个浪漫没法买了。
[12:53.170] 就连我都告诉他他就不行，那话你就是这跳舞你没填空，
[12:59.440] 我管你
[13:03.450] 大部分
[13:04.280] 你这小东西你给他解释不了，就得按照他那意思。
[13:10.770] 网上买的都不一定。
[13:12.680] 那不行，我就今天必须得弄好。
[13:15.210] 你不要其他东西。
[13:18.610] 是。
[13:25.000] 你走的时候前天扫二维码，
[13:27.470] 电我不知道到货没有卖的，你
[13:31.800] 问你卖现金没PMI
[13:36.090] 高清
[13:37.510] 迈进。
[14:14.190] 跟您说的是不是这个我看
[14:17.560] 了是不是这些？
[14:52.010] 是的，都这样是吗？我去
[15:06.690] 我又找了一个其他的车，我刚才也看了一下，
[15:12.830] 行。
[15:16.290] 我要找其他的，我刚才看了一下，
[15:25.600] 我给你建议你还是别买房子。
[15:28.680] 买硬件
[15:29.680] 去看看。
[15:30.980] 电话，
[15:32.270] 大家
[15:35.560] 微信上时候
[15:37.550] 比如说我说你这怎么见到这样，
[15:40.200] 裸漏了阿不都这样，每个人都这样。
[15:43.360] 我怕视频他们说我给你建议你还是别买奔驰了，你还是卖零食，你去看看林海那种什么样，
[15:52.690] 跟你
[15:54.450] 还行。
[15:56.390] 买交B我拍他们一一股就可以进口的。
[16:00.570] 也这样，
[16:02.910] 他就觉得不舒服。
[16:13.960] 我也无言以对。
[16:20.440] 我又找了一个其他的我刚才也看了一下，
[16:25.080] 然后再换个牌子，
[16:42.130] 今天的毛毛say美人蕉，
[17:02.910] 然后你看下我马上
[17:11.320] 送
[17:12.080] 5万。
[17:15.320] 打个
[17:17.330] 然后一个手机吗？
[17:19.100] 还有4级买6级。
[17:20.600] 就条件说我们买这么多东西了，你就按4级加油my6G的。
[17:24.760] 然后我就问
[17:25.840] 这方面好一点。
[17:27.490] 你说能力。
[17:29.020] 然后秘密那边我没太多。
[17:31.550] 包太多了。
[17:32.800] 不好看了。
[17:33.780] 什么样？我看看我那利润是100 100多。
[17:38.010] 你是100米共30分不就完了吗？大哥，你不要怎么看？
[17:42.440] 如果你扣扣33.5这么高，
[17:45.630] 你还用就
[17:47.090] 他
[17:48.470] 明天交，今天我把所有账给算好了，保险什么的。
[17:51.560] 你公司夸局长来汇报还是报销的。
[17:55.380] 车头底下
[17:57.260] 底盘抵达几期50多
[17:59.710] 车，他们才90多万，
[18:01.220] 原理就那么多，为什么不多开展？
[18:04.780] 谁知
[18:06.760] 你有吗？
[18:08.730] 不能。
[18:09.830] 你买12级4万多4万多，你只能开百分之十几的没有。
[18:13.490] 还是做投行15,000，
[18:15.260] 我就跟他聊的那种状态，
[18:17.120] 都看见。
[18:18.630] 后期我也股东不
[18:20.930] 我感觉也得知道
[18:23.290] 一点状态，然后
[18:25.480] 接着进入定义，老板只有
[18:28.800] 我看了专业看手相有点辛苦，
[18:35.430] 你这算是我的
[18:38.800] 一个好运吗？
[18:42.670] 成了
[18:44.400] 成了我里头把东哥威武整个的
[18:49.120] 如果你们了，
[18:56.850] 你认为
[18:58.310] 我的小车一会算了，其实一个你还差一点晚安，我的名片一个，
[19:04.830] 你差一个情况又不行，今天讲。
[19:08.500] 其实一个你就这样，我就订一个，为什么呢？
[19:12.410] Bc
[19:13.730] 高兴的还有一个
[19:17.560] 就百分之
[19:18.780] 85，限时16。
[19:20.940] 因为今天就16个了，16了，93不对，16×0.85，
[19:27.880] 13.6你必须得买54，
[19:34.030] 你接着俩，明天正好是一个就完事了。
[19:38.280] 刚刚你还上。
[19:39.880] 你还干了。
[19:41.420] 可以说所以80%了，对产品的
[19:47.090] 应该30万没有了，这个是按着要求不是工资吧。
[19:52.080] 我除了
[19:57.290] 29日
[19:58.660] 基本
[20:01.800] 没事，我给你问一下好了。
[20:04.510] 基本上带的都是不太对劲。
[20:06.690] 之前的地方都是
[20:09.390] 他肯定
[20:10.890] 特别
[20:11.660] 美女可能我没看过。
[20:13.350] 不用吗？
[20:15.010] 没有这产品的话我们这有这么多，所以因为我们把重心都给你便宜到什么摩车以上，如果没有我们到应该说你能卖十二九一一样。
[20:30.240] 然后这个东西你省事省在哪了？
[20:34.160] 什么你把30多个纠结都是全给写了，
[20:38.710] 老板自己的账户是你写空气，
[20:44.170] 完了写第一部8可以是不是？
[20:47.640] 发展一个老板，公司上正好砸中建构作用，
[20:51.920] 点一样，它的颜色给注意来说联播。
[20:55.560] 没有，还有东哥。
[20:56.950] 就应该支持我们旁边二。
[20:59.460] 我前做梦现在。
[21:00.900] 体验。
[21:01.710] 卖都没问题，所以。
[21:02.900] 你用自己实际行动告诉我真理，
[21:05.600] 所以要用到不愿把这活重视，还得上面这个政策，
[21:14.860] 完了我也不会讲你是96了，没有。
[21:18.590] 都交完15。
[21:19.510] 五
[21:20.050] 找交，
[21:24.590] 我说现在都是所有东西从低到销售口，
[21:29.220] 你看大哥几点了？
[21:31.010] 下午茶不下午茶，晚餐不管完手不。
[21:34.340] 等会我也来我大哥吃完。
[21:36.090] 辣还没吃。
