[00:01.140] 哪个车？呀雷波？
[07:17.100] 跟他沟通他不理解，他打电话，
[07:19.760] 来就是在过来收车的时候给他打电话就行，好勒行。
[07:24.540] 行麻烦了，唉您客气慢走。
[07:26.590] 啊
[07:27.100] 不是这样的。
[07:28.180] 没有发完了我没跟他说。
[07:30.420] 然后你手机号啊我我我跟他联系。
[07:32.810] 吧啊
[07:33.630] 完了完了。
[07:34.380] 好勒拜拜。
[07:35.370] 嗯
[07:38.360] 他还要来这里。
[07:44.040] 对。
[07:45.390] 不用我不用唉都不会张大嘴，然后把车牌号告诉那个前台。啊
[07:54.630] 是吧？那个门还没弄呢对，就把车牌号告诉前台就行了，他给弄了。
[08:02.580] 检查发现后备箱
[08:05.760] 都处第一大水。
[08:25.210] 检查后备箱漏水。
[08:27.900] 还没有任何问题。
[08:37.990] 嗯好的。嗯
[08:39.240] 好，我们来看一下。
[08:40.990] 好。
[08:55.780] 打。
[09:00.250] 这都是我们的
[09:11.780] 我断开了。
[09:13.200] 张老师帮我延一点时间。
[09:16.280] 检查后备箱处漏水。
[09:19.330] 广告公司委员。
[09:21.020] 我们在一起。
[09:22.920] 什么是。什么
[09:29.210] 不加班，
[09:32.880] 要微信。
[09:38.470] 是送。
[09:51.000] 大棚下面手一齐。
[09:56.680] 下午来取车噢好勒唉那那车完事了也。
[10:01.780] 那车子到你那了吧？
[10:03.620] 我那车那车到你那吗？没有，啊他里边他里边走。
[10:11.070] 啊都会一点我问一下你你们联系完了是吧？
[10:18.280] 对，你姑呢没没到我这我那会说那旁边都兜演的呀全全都都早早做完了，预报10之前搞了。
[10:26.220] 嗯
[10:32.730] 嗯
[10:41.530] 然后就不可能。
[10:49.410] 没事儿没事儿。
[10:55.690] 嗯这没有我这什么老师要不是你这么着这这块。
[11:01.130] 2132
[11:02.320] 嗯是一样的。
[11:05.500] 嗯不需要不需要。
[11:12.040] 喂
[11:13.030] 唉那个你跟我跟我说网不行，什么意思？还需要升级是吗？
[11:20.200] 这还得升级。
[11:24.460] 有
[11:25.920] 啊我发现新软件版本
[11:27.620] 那今儿能生完吗？
[11:29.270] 嗯
[11:35.800] 嗯
[11:40.330] 嗯就是说
[11:42.220] 还有这个还有。
[11:43.610] 这个
[11:45.640] 金融板吗？说你真能送吗？
[11:48.990] 行行 ok
[11:52.840] 好，那你跟我说。吧啊
[11:55.610] 好谢谢。
[11:56.380] 啊
[11:58.560] 嗯嗯
[12:00.520] 嗯
[12:04.240] 那你不来吧我洗车去，他一会过来。
[12:06.580] 啊
[12:08.520] 啊
[12:09.510] 了了。
[12:16.100] 你好，欢迎光临。
[12:18.500] 有关物业保险公司，
[12:20.440] 大家告诉大家，
[12:22.290] 嗯谁知
[12:26.980] 嗯那个
[12:31.400] 厂房。
[12:34.890] 噢
[12:48.730] 不是呼吁。
[12:50.370] 嗯
[12:57.960] 关闭对吧？
[12:58.980] 嗯
[13:00.540] 王阳。唉呀
[13:03.840] 嗯
[13:07.880] 导航播放声音。
[13:09.670] 关闭不了。
[13:16.130] 然后你打电话。
