[00:01.200] 接待客户张先生
[07:37.600] 我的意思是告诉您，您再核实一下车况是不是这车是不是这个年份是不是大，
[07:43.680] 对吧？他可能有很多车为什么便宜的车肯定有问题的，我是这样，你别上当受骗了。
[07:48.970] 两家4S店了，我心里有数，你知道吗？
[07:52.920] 您再看看还有什么代理我这里有4家333三10多家。
[08:10.210] 国家密教10万。
[08:11.930] 五。
[08:21.910] 傻逼了。
[08:24.050] 122603 200，说外地合肥办齐了20 24，
[08:28.170] 这么大的B。
[08:34.270] 看。
[08:40.820] 绿花
[08:42.420] 场、
[08:43.360] 场
[08:46.600] 点
[08:54.320] 句
[08:56.980] 数据
[08:59.850] 数据。
