[00:00.000] 鸭这块的话都得掂量一下。
[16:30.070] 咱2万换过这记录，咱说4个火花塞
[16:33.870] 加一块是784之后活塞的钱，
[16:39.630] 这是第三页，然后
[16:41.260] 第4页第4条这边
[16:42.760] 特别有核心像变速箱、油，
[16:46.120] 变速箱也是连蒙带料这一项包含什么？包含有包含里边的螺丝，
[16:52.700] 包含变速箱的过滤的滤芯，一件事变速箱油是3195，
[16:59.590] 不会6，他不4年6万公里才换一回来吗？
[17:04.680] 他不让你回换，
[17:06.450] 他最起码不用回换，你这回换完了，
[17:09.940] 没准都换车了，都换不了第二回了。
[17:13.010] 等于换行不行？
[17:14.410] 这个？
[17:15.200] 就这样咱这么简单来说，所有的方法项目，因为我们作为服务顾问来讲，我们肯定会到达当前公里数或当年的车龄，会帮您列出这个车需要做哪些项目。
[17:27.730] 快您自主选号这东西，我不能强制您说这种，
[17:32.560] 不换我不让你走了，我给您绑那不行。
[17:36.290] 一共全刚才我那一一遍遍都说下来以后，
[17:40.460] 总共加在这儿
[17:42.080] 是10,335，
[17:44.670] 其中大数就这玩意占1/3价格，
[17:48.800] 这些东西我可以选换图画去过，你都可以选择，
[17:54.090] 都可以选错，咱不可能说我
[17:56.700] 得回家跟他说一声，这还做吗？
[18:00.500] 这保险还做吗？真是够呛，反正就是龅牙也走不了。
[18:06.080] 我现在
[18:15.610] 反正所有的话单价都在这上班了，我I给您列在上面，
[18:19.470] 然后对换便装以后还得加一个225延到清洁剂，
[18:24.390] 那是一辅料辅助用药的，你就跟咱说上保险是的，我就是说基础基本险我必须要做的事就是什么交响必须的，你说我这个东西我必须要做的，我哪些可以不做的东西，
[18:38.570] 有没有这些东西咱就实话实说，对于保养这东西都可以做，
[18:44.400] 也不因为这些东西所有东西都是到这个时间段，比如说就像咱们说的，
[18:49.600] 比如咱今儿过来该保养该换机油对吧？您机油咱们都不陌生，既有肯定咱们一般认识中保养机油肯定得换。
[18:57.000] 但是说鸡肉其实我现在先不换行吗？行没事。
[19:00.060] 这东西咱不能强制要求，必须得给。
[19:03.510] 只不过说。
[19:04.840] 咱们作为服务顾问来讲，
[19:06.610] 这些东西是按照咱们有一个保养手册，手册什么意思呢？
[19:11.390] 叫厂家给您一个游戏说明书，咱按说明书来，
[19:15.510] 然后到什么公里数交房时，现在跟他说
[19:19.000] 他换代换了油了什么的，因为那些东西我没看到，他因为要是4S店换的，咱们没在4S店，我们在外地，你在外地他在跟着再说这机有可能该换了找一朋友或者怎么着让人帮忙给干的，因为情况下这种情况下咱知道，因为他不能把记录
[19:37.710] 记住什么意思，就是咱们这回做保养的这种菜单，
[19:41.500] 他不能传到这个系统，
[19:43.650] 我就看不到了。
[19:45.340] 因为我看不到那就纯平拆了。
[19:47.920] 或者说您能提供一个比如说上次咱们吃饭有没有发票什么的，这菜刀我能知道，比如说上回给您换便装油了，OK甭管这油换个好与不好吻着我不让你画，
[19:59.130] 但是咱看不到，那
[20:01.420] 出于我本职工作，我这个公里数我肯定得跟您说，
[20:05.670] 您知道吗？万一咱上次也没换这三个这里所有东西，如果我哪些东西我没换，他会不会我看他
[20:13.290] 提示我这个东西有问题了吗？不会到那个程度就该修了，
[20:18.160] 是吗？他要真告诉你便相报故障了，有可能就得修改农药了，休克比保养贵多了，
[20:24.520] 变成阳十怪，
[20:27.840] 矿油3000块钱，
[20:29.780] 你说你看看什么百倍差别，我回家问我看一次黄金也做不了，对可以，报价单您拿回去。
[20:38.590] 商量上来，反正没有强制性要求，只是说按照5米数了，咱们
[20:44.300] 绝大部分车主来了，咱们都是报价，然后这也因村而异，或者因咱们使用情况而异，
[20:51.570] 或者根据咱们的需求，
[20:54.250] 好吧？
[20:54.760] 然后咱们有一个自主选择性对吧？因为我只给了我就
[20:59.560] 这30003000多块钱给消费电子加油，就这一套必须要换的吗？您回去看看手册，如果上次梅花6万公里手册绝对要多样化，
[21:08.880] 必须换。
[21:11.120] 我这么跟您说，我肯定我不能说这么绝对。
[21:15.370] 变速箱油完了还变速箱什么，您甭看下边了，这是一套了。
[21:21.170] 就是电话由对您说我不能光有我滤芯不换，那不可能你要换就一趟。
[21:28.840] 没有说拆里边单向做的，你要咱说咱要弄，咱就看这大字就行了，咱就弄这大分。
[21:36.610] 咱别弄明白这省份这里最关键就是说这必须要换46万公里，核心的焦点没有，必须要变革。
[21:44.410] 还有什么其他的没有？
[21:46.350] 其他都交纪律。
[21:48.400] 剩一个您看着来，这东西才能在打钱，这个不能他因为这个套餐就已经是打完折的价格了，没法再在它的基础上再打热了。
[22:00.170] 了已经在对，因为你想要打折的话，我只能把它恢复成原价，我这么跟您说原价5000多，
[22:07.470] 我不可能把它恢复成原价了，
[22:10.020] 所以说其实折扣已经很高。
[22:12.680] 好，刚才我跟说一说，跟他商量一下，他可能点这位他再看一下没问题。
[22:23.110] 我规矩给他拍个照可以跟他说了，没事钥匙先交给您，
[22:28.610] 然后咱们到时候看看时间，我明天再做要做，这个的话
[22:32.630] 最好早点要碰面，放油最好早点
[22:37.900] 几点明天就想过来是吗？
[22:40.320] 要过了，你这要是整个show能吃多长时间，有名过来估计车还得留着还是第二天去。
[22:47.120] 是吗？这两天车压太多了，我实在是搞不懂了，就是说了几个有两天是吧？怎么也得两天吧。
[22:54.110] 行打个2000两行好吧，我跟他说一声行没问题，您再跟先生跟您聊一下大概这个问题。
[23:02.390] 大家也就把那几个架构给圈圈了，初几的就是项目，您把那几个项目说出来。
[23:08.180] 刚才
[23:09.280] 到时候还有别的，包括了标准什么出来了
[23:14.830] 就可以了，行行谢谢，找一把来了，什么马出门是吧？
[23:21.290] 部门要马要不收10块钱交费，我认为还有微信的，
[23:28.370] 还有半个多前，
[23:31.110] 技术
[23:33.670] 这样
[23:38.230] 我给马
[23:40.570] 等。
[23:42.010] 这没网吗？有网就行了。
[23:44.180] 通胀哪个手机没有，微信能
[23:47.860] 没上来给他是一个微信没登这是吧？
[23:56.680] 咱好好过了。
[23:58.400] 经过ABC15，我在高AB
[24:04.440] 15，
[24:06.770] 谁知
[24:11.670] OK您看懂了吗？好了，谢谢没事，您跟商量完。
[24:18.690] 要没电投差不多有沟通半天的行程。
[24:23.480] 要换刘麻。
[24:25.620] 完全没有可能
[24:27.530] 要求
[24:28.240] 其他内容
[24:29.830] 矛盾也
[24:30.920] 跟给的是
[24:32.110] 比较一个是快速的数据，一个是没用的，主要这边没休假可能还是
[24:38.650] 把工号给你拍下来拍了一下。
[24:51.710] 完了回头您可以还考虑另一个事儿，
[24:54.720] 玻璃上了玻璃险了是吧？当然就是不想修是吧？太热我回来去跑我也行，不用麻烦热。
[25:01.580] 现在是这样，您上谁家保险公司是不一般的。
[25:04.600] 是在我们这上头吗？
[25:07.090] 现在这个月办公司联合
[25:09.490] 不活动，您正常修车送保险，要不得更多里面停车，您要按之前来说就休了也是修了，然后上可能涉及到明年再交保险，可能有一个保费上河东，
[25:23.800] 目前这个月华为公司有一个叫做
[25:26.760] 版权专享礼的一个活动，
[25:29.920] 您预先交一个1498块钱500块钱等待15天以后正常报案修车，
[25:36.150] 每修一次车可以达到2500块钱的手机，
[25:39.240] 现金转账银行卡，
[25:41.420] 一年可以拿两次。
[25:43.990] 交1500两。
[25:45.750] 对，修一回车8000 2500。
[25:47.700] 比如说咱修玻璃翻进了看守所，
[25:50.800] 万一大了吧，
[25:51.960] 我很快接。
[25:52.980] 再给2500。
[25:54.360] 好，就叫
[25:58.110] 你考虑一下，反正那就是修保险拿钱。
[26:01.350] 不用说12年对第二年的保费，咱们这交要跟谁说跟
[26:08.750] 弄保险，那小孩说我小时候我带您
[26:11.410] 您想做保险不是您拿点身份证和纸，
[26:15.530] 然后最好调一下这个车现在目前正生效的商业险保单，
[26:20.440] 然后我直接带您上一下就行，当时上午还得等15天好勒。
[26:26.710] 行，回头您考虑一下，对您现在比较实用。
[26:30.500] 慢点您直接开走吧。
[26:33.150] 我姓张弓长张。
[26:34.980] 单子上面有我。
[26:37.270] 好吗？没事半点解释。
[26:58.070] 带
[26:59.310] 的。
[27:04.440] 大
[27:07.690] 五。
[27:17.840] 一
[27:24.730] 数据
[27:29.030] 的
[27:30.860] 了。
[27:32.800] 好吧？
