[00:00.330] 了
[19:25.290] 这是两驱的，我在后边再给你写一个20，咱们口这不是加隔板，可以带您看一下，咱们车架包括研发项目都是加工是
[19:33.830] 我给你写背面了。
[21:05.040] 这前半写的是315,000，
[21:07.620] 置换的要多少？
[21:09.060] 置换的话
[21:11.380] 再给您一个补贴。
[21:13.140] 如果是
[21:14.850] 咱们这款A级车的话，咱们现在
[21:19.370] 看一下，
[21:21.000] 全系的置换补贴是3000
[21:23.690] 3000块钱的，
[21:26.020] 等于就能在这个基础上减一个3800。
[21:31.370] 然后您的旧车多少钱，然后咱们再给您多少钱。
[21:36.400] 啥意思？
[21:37.440] 打个比方说我们给您进行评估，
[21:40.650] 提供一个就是说打个比方说您旧车能值2万块钱，我们就直接给您2万块钱，然后再额外再给您3000块钱的保险补贴。
[21:51.140] 也就是说在实际上花的钱就是在这个基础上减去的旧车折价，对，再减去3000~5天，在这里不断
[22:00.830] 这个还是不然你就看一下这两款差了。
[22:04.330] 这是26，差了5万块钱了，对配置我跟您说的，
[22:10.070] 它的发动机
[22:12.360] 四驱，
[22:14.190] 现在城市作用不大，对。
[22:18.170] 然后这款车的发动机是1.3T的，然后如果220的发动机是2.0T
[22:35.410] 但是这款是发动这款1.3T发动机特别的
[22:39.460] 是500公里，城区开的话也就6~7左右，
[22:43.030] 到高速没什么钱没问题，随着涡轮增压的
[22:46.290] 在增加的，所以说动力肯定是也够用。
[22:54.000] 这几A级的这些车的大小都一样是吧？都一样，车长尺寸什么的这些都是一样的。
[23:07.000] 好。
[23:07.720] 好谢谢没事，对，您看一下
[23:10.390] 报价方面还有没有什么问题了，第二维码是关于服务公约代言调研，咱们就没有任何强制可以参与调研一下。
[23:18.710] 好的，咱们试驾车可以带薪休假一下，或者是等等，抽空我们一家人过来的，对，或者是今天您可以去尝一下，
[23:26.970] 我开着带您转一圈，您感觉一下这空间，包括成都的舒适度，静音效果什么的，这些咱们可以感觉一下，因为可能今天都过来，咱们
[23:36.190] 静态看完了可以动等等我们一家过来。
[23:39.370] 行没问题，或者哪天你想吃咱们都可以帮您约，比如下周三上午10点好的好谢谢没事。
[23:45.350] 我们反正放假了以后，你天天在这吗？对，基本上都在。
[23:49.650] 刚才不也给你名片了吗？好没问题，你给我打电话好勒，咱们对面还有车，我带您去看看，这就是对吧？好好咱们一起去看看，来您这儿楼这都可以过去。
[25:00.680] 这边这些都是
[25:01.620] 高性能
[25:02.520] 发展，
[25:07.010] 这块是S
[25:09.570] 咱们这个事
[25:12.220] 他随着ABCDE是不是这个级别越来越高？对。
[25:18.030] 到最高点SB，
[25:29.930] 这个跟刚才不一样。
[25:31.960] 对，2万。
[25:36.330] 要
[25:51.350] 8428
[25:54.200] 你不是讲C看着蓝色的是260吗？我说有100 200就是200，
[26:02.120] 你看他基本上一样的。
[26:15.170] 咱们这里边
[26:17.560] 一样。
[26:28.170] 到底是
[26:48.750] 186的那种
[26:50.140] 谈差不多了。
[26:52.390] 但是刚才不是说260 200的时候这款多少三？
[26:56.770] 35万，成本借了3030万。
[26:59.940] 谁知
[27:02.240] 比什么还便宜跟差不多。
[27:08.440] 其实你要是选高配的话，在算这个的话，本地的
[27:14.750] 这两个都差不多。
[27:22.110] 下边还有什么？
[27:23.640] 我自己看看，行行没问题，谢谢您看看，然后
[27:28.080] 等于咱们先简单看看车型这边还定不下来是吧？
[27:31.860] 这边还有什么疑问顾虑你解答一下，好好过去我等什么再联系你给个名片，当然明天不来回访，稍等一下吴姐电话你方便是吧？谢谢。
[27:41.390] 好了，您是开车来的吗？
[27:43.150] 没有，我走着来，行，你开车出来找什么，行那我就不送你了，好好再看看，感谢光临，再见。
[28:13.830] 上班时候回来了吗？
