[00:00.000] 交车客户挣钱。
[30:36.440] 明天。
[30:38.000] 对，0点。
[30:40.760] 但是商业险即时生效。
[30:47.860] 好没关系，好。
[30:50.660] 保存账号。
[30:52.390] 车辆。
[30:58.490] 行驶证，车主姓名，没事，这个不是您的，咱们37岁不是37，那个是我们同事
[31:07.120] 信息，我还没有把这些产品话
[31:09.160] 所以说光看金额知道吗？就是用
[31:11.840] 你给我算算，
[31:14.850] 就需要一个
[31:21.070] 看见
[31:22.090] 盗抢不要？
[31:34.760] 18008减去一个
[31:41.210] 236.63。
[31:44.490] 330。
[31:46.310] 安全
[31:47.650] 百分号
[31:57.310] 有实力，但是
[32:00.890] 因为大家关注保险，
[32:08.070] 他是出问题的管理生产管理，
[32:11.000] 不出问题的，只是说
[32:12.610] 没问题，但是问题还是谁知。
[32:15.620] 他们现在
[32:18.310] 让人类的注意的不是你帮我看看，我觉得我那些险有没有一个半个
[32:25.720] 确实不需要。
[32:27.180] 不用你去，我觉得是不是没啥必要涉水，没啥必要。
[32:33.490] 设置比较高。
[32:35.290] 设施设备多少钱？
[32:38.780] 400块钱。
[32:40.320] 事实上我们你要说是上千的情况，
[32:46.670] 但是
[32:48.180] 除了水之外，
[32:50.490] 车损三者玻璃，车上人员划痕。
[32:55.160] 第9条规定，
[32:56.580] 这是有必要的，就是有的
[32:59.760] 基本上
[33:01.960] 给我拿
[33:04.650] 用那个不保险。
[33:07.110] 你需要什么还有
[33:14.920] 但是后来没想到
[33:17.850] 你看好的不要直接给你把
[33:23.800] 你到明年你不出血，东北之前对我到最后
[33:27.890] 也谢谢爸爸，我要不出险，明年是这样吗？肯定将。
[33:33.670] 对，应该是6级之后我记着81年83，
[33:37.280] 对不对？国美83年83年
[33:41.520] 欧美
[33:42.960] 华人
[33:44.980] 还买了。
[33:47.740] 就是说你目前每年都一直用到很多人。
[33:54.380] 138
[33:57.080] 整个
[33:57.920] 第二年了，但是。
[33:59.390] 不会长就是能量。
[34:01.240] 因为他跟他看着好看，
[34:05.670] 非常靠谱的。
[34:07.070] 应该不会没有发生
[34:10.080] 几万块。
[34:10.890] 店对了。
[34:13.320] 车优惠实际上。
[34:15.660] 为什么
[34:16.490] 都在
[34:20.340] 不管
[34:23.030] 点。
[34:23.970] 当保险不是老板和这个地方那个地方。
[34:27.200] 把这个对，不是刚才咱们说
[34:31.720] 就算是牛粪的话，他这个地址结束。
[34:35.730] 这个方向是人保的。
[34:38.010] 但是地址身上的然后就发现了，要不然
[34:42.930] 他们的车子都看到过。
[34:46.120] 光明日报有个差不多的，
[34:49.820] 这保险就涉及到出钱我找。
[34:52.880] 一般谁知。
[34:54.730] 一会再您过去，您能看得到的过去。
[34:57.560] 第一次二季度的依据二，
[35:02.560] 合计是15,365块1毛2。
[35:06.390] 行减去
[35:08.560] 报销那些15,000多用5300。
[35:11.120] 我之前给您和的不是16,000 16,000，大概就这么一个数。
[35:16.930] 然后这是保险确定。
[35:19.230] 他别人保险是吧？还有其他的服务的话，
[35:22.660] 个什么火车都有，我以前有一个
[35:27.080] 平安的银行的收入卡，有洗车什么的都会有，
[35:30.540] 这都是一些额外的福利，
[35:33.500] 对吧？
[35:34.340] 现在官网都有什么人保什么情况都会
[35:49.080] 一旦车受损，出险了之后就送到
[35:51.780] 4S店，我不管他们要手机，不用他们找保险，公司做什么，没有电脑就直接不赔的，对观众心理大了。
[36:01.450] 带着什么加本身份证品质，对这个过程这就行，过去还得报案，还得以前现在也有保安技术。
[36:10.090] 你姐来店里面直接去你都弄了。
[36:14.160] 店里没报。
[36:17.450] 谁知
[36:19.870] 那天没问记录的时候记录怎么弄，家里边有吗？什么？
[36:25.340] 进入装备北宋。
[36:28.090] 弄记录仪多少钱？
[36:32.650] 那个是隐藏的是什么？
[36:38.500] 前瞻。
[36:39.200] 3800. 
[36:40.280] 彪形
[36:41.200] 3800这一行记录仪，
[36:43.920] 跟贴膜一块一块
[36:47.170] 都是你的。
[36:48.460] 不会是外包的，不会的。
[36:51.440] 上次奥迪他们是外包，找人都找不着。
[36:54.920] 反正同意。
[36:56.230] 不是奥迪自己的。
[36:58.180] 到他那个店也是我们店自己的，并不是奔驰的，他不是绿的，没事，我们店
[37:05.150] 还没走。
[37:07.320] 来
[37:09.520] 商量，我不让他同化了，可以写一下。
[37:29.680] 到。
[37:32.460] 到。
[38:01.630] 我叫你叫人家你
[38:03.450] 我个人的金融的。
[38:06.520] 让你出来，
[38:11.320] 你说怎么看不了
[38:12.680] 了？
[38:14.090] 说现在买车那发票全都没用，
[38:18.510] 过一天就没用。
[38:20.600] 不要你卖。个人没错。
[38:29.740] 观赏了
[38:35.160] 花花、
[38:42.420] 参加
[38:44.600] 号。
[39:39.910] 40万咱们奔驰。
[39:44.990] 6
[39:49.120] 还是
[39:51.640] 场
[39:59.570] 做一样。
[40:01.980] 喜欢哪一点？
[40:03.250] 我在这号码是偏操控奔驰底下坐的舒服，你需要哪个地方？
[40:08.480] 我说我这种客户太多了，就不会纠结这个事情，所以就是人太多了。
[40:13.460] 然后就玩宝马，奔驰之后，如果说选择迟谈纠结这个非常随和一点，
[40:18.650] 真的价格一样。
[40:21.290] 40万对没错，40万。
[40:31.730] 看清自己的实际需求，如果我自己的话
[40:34.600] 他都不去，那跟我没关系了，关键就是丫头
[40:39.390] 他妈妈就不让
[40:41.620] 您就凑给你到底这几年了。
[40:45.630] 哥您7.373，
[40:48.150] 谁知
[40:52.430] 所以
[40:55.530] 陈哥单独衍生跟提供的
[40:59.540] 这里边A能坐一块吗？
[41:01.480] 不是购买精品厅，就是公民可以没问题。
[41:05.050] OK。
[41:05.750] 霜冻了，
[41:07.470] OK
[41:15.210] 待会附近就帮你一次出去了，先收起来不着急先不去拿，没有了。
[41:23.150] 这样还没上班。
[41:25.230] 需要你们这边今天去说了。
[41:27.960] 我今天中午您好，
[41:33.270] 我那个车快快到了，
[41:35.660] 他说前天晚上
[41:38.310] 可以让我
[41:39.890] 他们名字都不能。
[41:42.090] 那时候快的睡着了，你认为希望你在装修。
[41:46.840] 的。
[41:51.090] 保险还。
[41:52.630] 对咱这上访简单，他报警保险还有是否简单？
[41:57.650] 电子和以前
[41:59.830] 有时候说车发票
[42:01.710] 当天开了，
[42:02.850] 第二天就样，车之后没用，一般车都没有，昨天我们这两天过后才相信了他网上写的落户，
[42:12.100] 要原始发票才开始找，以前都没进，要不发票。
[42:23.430] 实际上这就是车的口感。
[42:26.050] 没错，车子太多了，因为他就证明你
[42:30.120] 他行驶本相当于身份证对。
[42:33.300] 待会我让你哥去注意先装起来，不着急，一会别的乱七八糟。
[42:40.000] 你这也不用身份证了。
[42:42.170] 我这里用的不要，他的不要。
[42:45.510] 你要不要？
[43:04.480] 这说明进不去再说，
[43:06.200] 并不信马按照哪个的资料。
[43:09.040] 王总。
[43:10.020] 脚垫就是谁知。
[43:17.210] 我不了。
[43:18.600] 我
[43:20.170] 包括安装电线中间
[43:25.890] 谁知
[43:39.710] 我知道现在我需要怎么弄是吧？
[43:44.690] 这跟名片跟这没关系，但是待会我让他定。
[43:48.870] 我在这边写没有。
[43:50.990] 拿出来维护结构的
[43:53.480] 使用的卖点。
[43:55.710] 待会就把这个叉车你再买，也
[44:00.700] 就是说我看看
[44:04.370] 我这查错，谁知
[44:08.080] 这特别好，要咱们喝点热水能够，因为你买的也是差的，
[44:15.120] 你在买的也都是他疯狂不放一放，为什么？
[44:20.050] 这东西
[44:20.920] 我们再来看看自动还有5000人左右，
[44:26.750] 这质量也不错。
[44:30.560] 就你哥他自己占有了不？
[44:34.120] 知道吗？
[44:36.050] 你马上他在吗？他也是差的风景。
[44:40.650] 还有
[44:41.660] 在你上头。
[44:43.530] 你得粘到
[44:45.270] 不展开，
[44:48.850] 你这事搁在前面上面的
[44:51.650] 还是个托儿。
[44:53.760] 他是防滑的，对你好。
[44:57.850] 标准你随便你要看你到底是什么吗？
[45:03.740] 今年不用摇号，什么事？
[45:06.770] 法院拍卖。
[45:08.450] 186，
[45:11.390] 你那拿小红花，
[45:12.820] 花多少钱拍卖？
[45:14.830] 咱买的花卉这花对咱省了还摇了
[45:20.500] 毛就行。
[45:24.550] 12月26永远忘不了。
[45:28.830] 你说要怎么来？
[45:30.680] 就是说老化老班严谨让我弟
[45:36.570] 你想不到没事。
[45:50.610] 今天拿把伞多余咱们火灾这些年都拿过来。
[46:38.770] 我没有。
[46:40.090] 谁知
[46:46.930] 冬天
[46:50.380] 让他找
[46:59.750] 唐总
[47:01.260] 我看看贷款6级是多少钱？
[47:09.580] 让我看看。
[47:13.610] 对300。
[47:14.880] 谁知
[47:17.120] 马这是吧？没签的以前的真相，在以前的事期货明天到了之后，现在操作系统
[47:28.910] 早了都
[47:31.280] 走了。
[47:32.980] 肯定欺负之前3月份做的。
[47:40.140] 电动一般
[47:41.610] 前不久他们
[47:47.520] 车钥匙放哪儿可以，我教授的时候开始。
[47:55.130] 数据。
[48:03.480] 三
[48:04.670] 三。
[48:07.180] 接下来
[48:17.410] 我知道。
[48:19.550] 好拜拜。
[48:21.070] 到。
[48:35.530] 谁知
[48:39.840] 的
[48:45.010] 国家
[48:58.790] 的
[48:59.640] 快。
[49:04.840] 句
[51:38.880] 卖礼品、
[51:42.170] 活动，
[51:43.910] 对于我们的
[51:48.110] 这人对于我妈我又给你写了，我也不能解释。
[51:52.310] 没有的。
[51:55.320] 现在baby你就是保密等我。
[51:57.930] 我就提成是吧？OK一个人一个车，
[52:01.250] 提个醒，
[52:02.520] 好点的话题，1000块钱，
[52:05.360] 大车什么的，
[52:06.610] 分期说实话就全都有。
[52:08.760] 一般的话就提个500块钱。
[52:11.060] 你以为提多少？
[52:13.760] 工资，谁知
[52:17.240] 等于什么都这样，你觉得我们一个人卖多少车？
[52:22.030] 我们一个人才多少钱？
[52:24.630] 太多了。
[52:26.520] 北京的他回来了，
[52:31.120] 一个人一个月能卖10辆车，
[52:34.680] 保守估计10万块。
[52:35.880] 首先过来教授只要他有钱，
[52:38.720] 所以除了说才有钱，
[52:41.150] 现在我们出来多少？
[52:43.080] 一个月卖300台车，
[52:45.050] 现在有20
[52:47.060] 20 20肯定说22个销售顾问。
[52:51.230] 多少钱？
[52:52.080] 一人卖13.4。
[52:55.770] 一
[52:56.900] 一个月卖300台车，
[52:58.430] 有22个销售5万元，
[53:00.180] 对吧？还有一个月能不能13台车，至少对他来说平均的一个
[53:06.280] 一般还有有的完不成给他卖了万多，2万块钱到我们有基本工资了，
[53:10.720] 2000块钱2000扣完一条，今年基本工资他这两点销售都这样。
[53:15.670] 普通人
[53:16.930] 跟不上，
[53:18.870] 下午
[53:20.910] 还真是
[53:22.260] 靠自己勤勤恳恳去卖车，
[53:24.490] 现在真的比不上家，
[53:27.690] 早晨8点到晚上8点到点就不让进。
[53:31.140] 有时候你像昨天我休息，
[53:34.190] 我下午待会中心医院
[53:35.900] 下午一块儿过来。
[53:37.360] 约好了下周下午过来。
[53:39.950] 我在家看孩子还。
[53:41.610] 后面到了等约到4:00 3:00就到了。
[53:45.010] 赶紧开车过来。
[53:47.350] 没有自己的时间，平时休息，
[53:50.710] 平时家里有事就是
[53:53.030] 这种
[53:55.130] 工伤假去成长并获得什么样？
[53:57.100] 肯定耽搁。
[53:58.300] 但是你单位没有业绩，
[54:00.500] 你不接受卖车怎么扣钱是不是？
[54:03.640] 是我们这全靠自己。
[54:10.110] 全部的钱
[54:16.950] 这放在哪里？
[54:18.350] 不然
[54:22.090] 到委托人签字，
[54:48.520] 重新保存，要不然天天背着
[54:52.570] 之前欠钱还有什么或者是减慢什么的，
[54:55.380] 不要继续消费吗？
[54:58.480] 谁知
[55:01.450] 你好号码，
[55:04.120] A
[55:06.310] 是的。
[55:20.360] 560没有。
[55:25.080] 现在只有450。
[55:39.440] 行好的没问题。
[55:40.870] 我们更坚定的
[55:42.930] 概念可能的基本都是开始
[56:08.130] 今天教一个他们的费用，
[56:12.040] 在实践。
[56:13.220] 车架485,000方，
[56:16.210] 不知睡着睡对保险对电车2500对，
[56:23.270] 这是膜花，
[56:25.150] 低迷期总共加起来。
[56:27.860] 57万，对减去1万对吧？对行没错。
[56:32.310] 然后再做系统。
[56:36.370] 567
[56:40.580] 磨的。
[56:42.300] 我看一下我在暑假我再对一下数，我的个人习惯就是
[56:46.130] 我手写一个正版系统，做一个哪个对起来就得对干部了，对，对不起我们
[56:53.040] 有的
[56:53.890] 客户里边
[56:54.780] 都给我一个
[56:55.720] 出现
[56:56.640] 待会你再给我讲一下我的一些小福利。
[57:00.900] 这样就会有了，咱就一点心意，因为这东西的话的意思弄一个心理平衡。
[57:08.530] 明天
[57:13.610] 还得去保险。
[57:15.740] 对我讲的话，
[57:17.700] 保险就不用再交钱了。
[57:19.550] 不用，我给你直接弄了就。
[57:21.540] 从这一块招了，对。
[57:23.320] 就这样看着。
[57:27.290] 等。
[57:29.260] 的。
[57:32.730] 过来了。
[57:41.540] 这个是咱的一个交车合同，
[57:44.600] 当时咱3月份签的是一个订单合同，他们差我就是把但上个星期没列苏宁的信息，把我们单位信息把这变了一下。
[57:54.530] 对电脑。
[57:56.440] 这个车
[57:57.790] 这S300的四驱coupe，当时没有推荐号。
[58:03.190] 知道对，但是现在已经都绑定车架号了，然后石墨灰的金属漆，然后黑色内饰，
[58:10.430] 对礼拜颜色，然后价格都是一样的，对，把底边其他约定我填充完了。
[58:16.450] 就什么其它约定取消，咱们合同签署内容对。
[58:20.800] 此车公示价格51万6万元，
[58:24.080] 供水站北京牌照，
[58:25.580] 然后车辆销售价格
[58:30.230] 480，
[58:31.910] 若改变方程式按照公司价格出售没用，远程教育2500，
[58:36.700] 投保平安保险公司足够三菱的商品，包括拍一个贴膜银行记录，
[58:43.060] 只要互相
[58:44.780] 提供教室里边，A说明点心意，
[58:47.810] 提供标准里边对留什么呢？
[58:50.590] 脚垫皮革大包围的。
[58:52.850] 这个是一个地产。
[58:56.010] 这是给的，就是给
[58:59.060] 这也两个都是给特殊给的，然后这个里边还有一个
[59:05.520] 刚才200多颜色代码，
[59:08.600] 一个灭火器。
[59:09.560] 有个脚垫，
[59:10.870] 有个雨伞。
[59:12.200] 有钥匙链，
[59:13.200] 还有燃油添加剂，
[59:14.640] 送完东西
[59:17.040] 这套东西反正没多少钱，1500~2块钱，对都给他送，他叫龙对保养在里面，保养主要
[59:25.000] 在你比如说玻璃水什么这种能指定的。
[59:28.850] 对管理对，比如我要用多了，
[59:32.390] 自己雨刷老
