[00:00.670] 接待二次约会客户，
[14:32.250] 家里还能高点，
[14:34.000] 行吗这样？
[14:35.080] 我应该没问题。
[14:36.080] 还有跟他们确认的话，咱们本来就能申请
[14:38.880] 6800给5000块钱保险没问题，这1000百块钱自己买一馍，咱们给那距离也没什么成本。
[14:48.050] 还有脚垫，后备箱垫那两个也没有太大的成本，对，你这样你给洋洋打一电话。
[14:52.700] 刚才我不问他了吗？然后你再跟他说一下，咱们最终怎么决定，你看他怎么说。
[14:57.320] 他如果说现在没问题，
[14:59.160] 你说行教育再买。
[15:01.350] 昨晚
[15:03.160] 转基因
[15:04.590] 转3
[15:06.420] 上传。
[15:08.850] 这车要了，
[15:10.750] 我就玩完了。
[15:13.350] 是吗？
[15:19.270] 杨哥就是现在这个车最后的话，我不是跟他说6800的装饰吗？
[15:24.890] 然后他想4000就贴，我说4000肯定不行，然后它那就4500，我说4500也不行，然后我后来就交纳了，
[15:33.460] 后来我说别再给他交那什么了，我说我就给您再问问，然后他说那我就去那边再看看
[15:38.540] 他这东西怎么了，后来我去找找我之后说那边说说说杨哥那会意思说不行的话就是把电
[15:45.240] 车送他，因为4500跟6800差2300块钱，
[15:49.140] 然后验车我这上班是没学通的，是正常那个东西在那收的。
[15:54.930] 那能6000 6800，装饰6800，然后当时就把一车送
[16:04.750] 还有5000的保险吗？
[16:08.430] 他不是分期，车上就是43,000。
[16:14.460] 对，就是您的价格。
[16:21.130] 其实属于6800，算算一个5000的保险，然后分期送她一个验车。
[16:37.670] 对，分析有置换来置换，车今天没开了。
[16:48.080] 然后跟你
[17:27.480] 他说送5000保险有点多，我说
[17:30.180] 然后他说他算一下成本，然后再打过来。
[17:33.650] 你跟他说不知道。
[17:38.640] 他让我快点说。
[17:39.990] 他也没说让我回去，你说他说他换一下。
[17:42.470] 要把它算。
[17:44.590] 你这样行不行？你要说做5800装饰，
[17:47.730] 共2500元车。
[17:49.790] 算了。
[17:51.370] 4000保险3000毛钱。
[17:54.290] 我这里外里给他又汇了5500。
[17:57.650] 现在是给他优惠，现在对。
[18:00.280] 不是5000变成5000变成2000~2800装饰，
[18:04.730] 对不对？或者5000张10都行。
[18:06.750] 你给他送一两千五都给昆山毛巾，
[18:10.400] 价格也就千八。
[18:12.720] 5800 5800。
[18:14.900] 5300。
[18:17.510] 那就差800块钱。
[18:20.190] 跟他在一起差800块钱，
[18:24.000] 我觉得怎么能
[18:25.510] 能不能800 500的都这么墨迹。
[18:35.440] 杨哥，
[18:40.120] 今年的贴膜系统一小家伙好奇，
[18:50.920] 千万
[18:52.360] 签字了吧。
[18:56.450] 应该。
[18:57.750] 5000 9000的没问题。
[19:02.040] 每天好像没有什么没有分的还是
[19:05.310] 我也
[19:06.560] 5000以下的没有分了，5
[19:08.880] 5000~1万的话大概有4分的
[19:14.400] 你说这样，你说我选择5800的装饰，
[19:17.240] 我送3000万的毛球化意见车送了上去，
[19:39.820] 小。
[19:42.520] 5000张三平方米，
[19:47.280] 你必须到5800。
[19:49.140] 5500
[19:50.620] 到10,930
[19:57.510] 但是
[20:02.170] 您的意思就是5天。
[20:08.000] 好。
[20:21.360] 好。
[20:22.320] 号。
[20:24.040] 对。
[20:28.770] 阳光。
[20:43.700] 什么？
[20:46.090] 35040。
[20:48.400] 您是什么意思？
[20:52.360] 爸爸开车。
[21:00.660] 他不同意。
[21:03.180] 是这样，人家干了不那怎么着都不买装饰，
[21:06.650] 人就要53,000 43,000现金加5000块钱保险200，那是我让陈小根他们这么谈，你买点装饰我送你保险这样行不行？
[21:13.960] 有一个朋友的他们干白板，
[21:17.340] 妈妈给包上牌子去，对，然后客户说我同意做个四五千的装饰，
[21:22.080] 然后你把环境然后那个单子最多的话，我就给你掏4 4500。
[21:27.500] 我的意思是这样，
[21:28.870] 就让他做5500的装饰，一分钱都不能少，因为5500的话到10,900它是三分的
[21:34.200] 验证验车2000块钱，电车一分就舍了，
[21:38.910] 但是给他5500的装饰，给他送3000块钱保险。
[21:44.840] 对，然后再给他送一见车，因为这客户还有什么，你看3分装饰加3分的置换6分对不对？
[21:51.940] 还有我的分，还有分期，
[22:01.270] 不就5500 5500的装饰，从360保险她把钱送给他。
[22:06.630] 我觉得这差不多。
[22:12.110] 对。
[22:14.480] 对。
[22:16.590] 这样还能拿9分的。
[22:19.250] 还说吗？您联系，行。
[22:23.090] 杨钰莹谁知。
[22:25.930] 行。
[22:26.600] 好勒。
[22:27.750] 对好勒。
[22:30.160] 行好勒好。
[22:31.520] 明白我意思吧？说行好了，他一边5500有5500，现在都不能少有三分，不是分析不是5800，
[22:39.930] 5000 5500~1,600,999就是有三分的，你看你这儿有三分，
[22:46.350] 分期有3分9，分家上面还有一个保险有两分，就12分，保险分后面担忧
[22:52.850] 有花只要他好小上一点上够1万以上，第二三百B肯定得上1万以上商业险。
[22:58.560] 行，我12分不对。
[23:00.760] 好。
[23:15.160] 李总。
[23:16.670] 是这样，您那边领导也跟金牌给打电话，
[23:21.710] 现在给您说咱们装是5500就是最低了，
[23:25.680] 然后5500送您3000的保险，刚才不是送你5000的保险吗？
[23:31.320] 然后直接把验车
[23:33.470] 给你免了，这两个加一起就属于给您又优惠了5500，然后装置就是5500块钱。
[23:38.870] 你也就别差这
[23:40.270] 三头500。
[23:41.580] 行吗？
[23:43.090] 看看。
[23:44.140] 其实就跟您心里的预期都差了500块钱。
[23:53.840] 你觉得现在是这样，5000的装还是5500的装饰？
[23:58.300] 装置变成了5500，然后验车这项就没有了。
[24:01.570] 然后保险送您送刚才不是送你5000吗？保险变成送您三，
[24:05.980] 保险3000加这2500不属于是给您5500，然后装饰您不是想要的是4500，这块多了500的话就属于说您你的意思。
[24:16.080] 行吗？我知道你们这装饰包含哪些东西，我得包含贴膜，全车的玻璃贴面膜是什么一类的，咱们奔驰专用的也是咱们店都有的，有保障的您放心，然后隐藏式的行车记录页就奔驰专用的，
[24:29.890] 你在外边肯定买不到的一个，平常是记录仪，还有脚垫，后备箱垫就按照您说的给您去问的，不会给您收费的。
[24:42.570] 验车2500不要，对，因为真的是这块他打了半天电话怎么都核不核不下来。
[24:48.940] 您说的价格真的是不行，然后我又说了说想了半天，
[24:53.710] 然后就又给这么的磨了一下，然后我旧车加上是到你们店里来折是吧？对。
[24:59.250] 您就说在店里置换，然后您看您那车是哪年的？
[25:03.110] 10年的这车不是问题吗？我如果
[25:06.300] 我得车的号牌，我能到时候能换一新的吗？可以您说保留可以先拍也可以网上自己编号。
[25:13.660] 您这个指标是您的名字吗？指标是我的名字，倒不是现拍我这个牌子，当时出过一次事故这个
[25:19.400] 撞了一下，装新车上不好看，不是，他铁牌是重新给您测一步的，甜对就是立刻衣服，你想留你就留，不想留你直接换新的也可以。
[25:31.230] 你的号好不好？这倒还好。
[25:35.780] 就这样被我再去看看车好吧？我说行在大库
[25:41.560] 问问看代码。
[25:43.240] 不用怕不是看那车你们没有样车吗？
[25:48.690] 没有验车没有菜买辆车300车那么少。
[25:52.130] 那车好像在打，还有
[25:59.510] 亏得你看看也行不行也行。
[26:03.730] 不的，差不多的时候我配置差不多，那么我们说的还有豪华。
[26:11.310] 对，您看一下。
[26:22.040] 然后找出来
[26:30.660] 我拿下钥匙，
[26:37.040] 钥匙带客户看一眼试驾车，
[26:39.970] 爱着yours。
[26:43.510] 是起去了吗？
[26:44.910] 有可能是。
[26:47.300] 三角C这里不要交，还想看300的那个样。
[26:52.240] 300随便展现，有骂贴进来了吗？还了是吗？
[26:57.720] 走地面。
[26:59.050] OK，好对面有一辆
[27:01.730] 点儿
[27:03.570] 380，他开心的一定。
[27:06.600] 等一下。
[27:20.800] 对，你至少因为我刚才给您查生产日期。
[27:23.670] 7月24号。
[27:37.840] 如果这个吗？
[27:39.600] 您今天交完定金之后，咱们办分期的手续，然后
[27:44.420] 下周二三差不多就可以了。
[27:49.480] 前厅有人帮同事帮开个门吗？
[27:56.940] 别叫回来。
[28:06.120] 前厅同事帮开个门，
[28:23.610] 谁知
[28:24.910] 我觉得
[28:26.100] 但是是什么？这是最顶配的AMD外科。
[28:30.910] 对。
[28:31.690] 他前两个中网，然后还有。
[28:34.610] 这应该这是红宝石黑色。
[28:38.310] 对这样的是吧？这颜色是不是咱那是黑色，这是红宝石黑。
[28:45.080] 这是红色。
[28:46.330] 然后里边那是有点这样，咱要的是棕色内饰的，这是我们的一个拍卖车。
[28:52.890] 也不是最顶配的车是60多万那款，他这是真皮座椅，
[28:58.310] 什么是皮质的？就是皮革的。
[29:01.450] 对。
[29:03.600] GRC没有真皮座椅吗？就这船是真皮座椅的。
[29:08.630] 这有什么差别的？
[29:10.260] 这个的话它是多了一个mg套件，你就看他龙骨花纹不一样，
[29:14.650] 然后他里边其实也没多什么，
[29:19.020] 换不了真贴车胎都选上都没有真皮的。
[29:21.790] 前脸是这种的满天星的，但下边不是这样的，他下边多了一个mg包围，
[29:30.880] 他做一个什么？
[29:32.530] 自立的，你找一个谁知。
[29:34.960] 座椅昨天你看咱们那边展车就是那种的，
[29:38.890] 我看看像这种
[29:44.650] 这边的这种
[29:46.120] 在车上就是AMZ的那款是真皮的，
[29:51.240] 49万多的那款都不是。
[29:53.830] 就这种
[29:55.250] 的。
[29:57.920] 这是lc，就是lc酷K版。
[30:00.200] 这就是
[30:04.760] 完了可以做一下，对，就是这种皮子的
[30:13.320] 颜色是？
[30:14.660] 哪个黑色的装纯黑色的，咱那屋在那边那车不是黑色的吗？
[30:19.390] 昨天你看的那张就是这OD这也是黑色，
[30:22.310] 但是不一样，这样C的黑要比这个车的黑车其要
[30:45.040] 那是一样的，设计什么都是一样的。
[30:47.360] 对，这也都是木耳的，对设计什么都是一样
[30:51.370] 的。
[30:55.760] 的
[30:57.130] 的。
[30:58.030] 现在这款车是拍卖车，
[31:01.270] 他这拍卖车也有活动优惠的多一些。
[31:04.810] 要拍卖时候厂家给分过来的一些厂家做过展示，做过路是的，有的都是。
[31:11.590] 这相当于是原有具体的对。
[31:15.220] 对，但是最多的对这还这不一会回去可以给您查一下。
[31:26.400] 就比较喜欢分析。
[31:29.640] 其他都一样的。
[31:30.980] 其他的内饰设计都是一样的，方向盘不一样，这方向盘它是平的，下边正常的是圆的。
[31:37.230] 就跟那边展车的内饰其实差不多。
[31:48.360] 空间是一样的。
[31:54.200] 空间是一样的，轴距什么都是一样的，
[31:56.520] 还没亮看不出来。
[32:08.070] 外观有点不一样。
[32:09.640] 外观也是一样，就是轮毂不一样。
[32:14.000] 他轮毂的话是跟260是一会您可以看下260的试驾车，
[32:19.580] 试驾车的路轮毂挺好看的，你看这上面有没有？
[32:24.790] 龙骨我觉得挺好看。
[32:28.710] 不行，没有这上边
[32:30.300] 配置心思。
[32:32.550] 这种。
[32:38.680] 那边是哪个古，
[32:40.440] 然后两跟前脸是这种满天星的。
[32:43.650] 是这种吗？
[32:44.970] 对，也是满天星的前两。
[32:48.200] 但下边不一样，下面对上面上面一样的都是满天星的，上面对下面是类似于的，它这种是AMD的一个套件。
[33:01.910] 行走那时候后边给您办一下是吧？
[33:04.800] 让我们金融专员下来跟您正好说一下。
[33:28.120] 对，您要是说这两天您能提前送过来也行，然后您当天开过来也可以。
[34:02.850] 800在这边。
[34:05.120] 行
[34:08.050] 的。
[34:13.960] 这个是老车了，这是没改款之前的了。
[34:16.590] 这个是200动感的，也不跟您前脸也不一样，
[34:20.630] 您的前脸是满天星的，比这个好看，然后下面这个位置也不一样。
[34:27.520] 这样。
[34:29.840] 品质是一样的，里根是一样的。
[34:32.380] 非常好看，对这里这就是黑色的对。
[34:47.580] 然后这个位置都是木儿的。
[34:49.640] 木质的这是拉丝的，260这是260动改就是最低配的那款。
[34:57.970] 对。
[35:02.500] 不一样，对这个位置您那款都是木儿的，
[35:07.050] 然后这个位置是膜的，然后屏对他这个是钢琴漆的评比，没有屏的拼边宽这边不是挺宽的，
[35:15.420] 没有这么宽的边。
[35:21.990] 后来
[35:23.600] 的
[35:25.810] 的
[35:32.080] 您的身份证您需要给我用一下确认键。
[35:37.020] 介绍
[35:38.490] 的
[35:40.360] 第二
[35:43.280] 场
[35:44.960] 数据
[35:47.180] 数据
[36:38.190] 场
[36:40.420] 的。
[36:42.730] 也
[37:59.990] 让我们金融专员过来，然后跟您说一下金融需要的东西。
[38:09.540] 对，我这就车今年没有年检哪里那没问题吧？
[38:12.960] 没有年检你得先把年检做了。
[38:15.930] 要不过不了户。
[38:17.640] 今天一直没年检。
[38:22.270] 你得弄了，要不的话他过不了户。
[38:27.170] 那不吗？对bug一边是做lc，然后50 50两年的。
[38:32.830] 你有没有记一下需要什么？不教授您好，请问指标不用说什么指标是您的是吧？行，还款也是您先还，
[38:40.670] 还款也是您还，也不是。
[38:42.870] 您这边现在主要收入来源是上班吗？还是您自己评估公司上班？
[38:46.670] 我跟您说一下大概手续，然后您现在听一下就行。
[38:49.950] 具体的后续我会让我们销售同事通过微信给您发一份详细的清单，您照着清单准备就行了。
[38:55.640] 然后前期手续很简单，不用您开具什么证明之类的，就是您的身份证正反面，然后您拍个照片，
[39:01.150] 然后剩下的就是一些信息类的手续了，信息为您到时候编辑成文字发给我们就行了。
[39:06.830] 比如说您的手机号，您的现在的居住地址，大概的居住年限，然后您现在的公司名称，工作单位名称，
[39:14.720] 然后大概的工作年限，
[39:16.570] 您先现在要已婚的拿到配偶的姓名、身份证手机号就这些信息，然后微信都会发给您，
[39:22.220] 然后您准备好了微信发给我行，然后我就唯一一个问题，现在我因为去年刚买房都有一些消费贷这一块东西。
[39:31.690] 那会影响这个吗？
[39:32.780] 您没有什么逾期准备，我没有什么就是哪个该正常还存款，它一般是没什么问题。
[39:39.880] 因为他审核的不像银行房贷那么严，毕竟是汽车贷款。
[39:45.000] 然后奔驰现在是电子申请，我给您上传到系统以后，您手机上会收到一个奔驰给您发的短信，
[39:53.000] 需要您点进去按流程登录一下，这里边所有的信息都是我们给您填好的，进去以后您能看到您提供给我们的那些信息，您住哪了，工作单位名称了，
[40:02.680] 同时您还能看到您买的具体的车型，然后成交价格、首付比例、贷款比例、越供利率，您自己在手机上全都
[40:10.450] 然后到时候您就可以拿着我们给您这份订单，您核对一下就行了，车型对不对了？施工方案对不对？
[40:15.460] 然后没问题的话，您就直接拉到最下边电子确认就可以了。
[40:18.670] 然后还款的话，那就是您名下工商、农业、中国、建设这4个国有银行之一的储蓄卡，
[40:25.970] 您看您用哪个方便？
[40:27.450] 工商、农业、中国、建设，
[40:31.760] 我的公积金卡我只有一张建设的渠道，一般主要储蓄卡就行。
[40:37.200] 您建行应该是储蓄卡这个的，
[40:41.080] 然后您下回记着点卡号，或者您带卡过来都行，我们复印一下，然后以后每月划款是之前您保证卡有很多钱就行了，到日子就自己就快乐。
[40:50.160] 行行，钱是
[40:54.430] 招商银行不行，招行不行，目前合作的就是这4个国有银行。
[40:59.420] 行行，然后最后一步就是您新车验完车上完牌以后，需要您的身份证原件大概三个工作日去完成车辆的抵押登记，
[41:09.150] 没有任何费用也都不用您跑，手续，都我们给您代办，咱就别赶着要出差了，坐飞机到您这边用。
[41:14.770] 然后我会先跟您说的，到时候提前因为我几乎每都在。
[41:18.360] 行，到您就这样，您验完车以后您再看您时间，
[41:23.390] 然后我们来去给您协调去看怎么着方便。
[41:26.160] 行行，然后具体手续招呼让我们同事通过微信发给您，然后您照发给行行行，好谢谢。
[41:38.840] 的
[41:50.550] 把旧车给了。
[41:51.820] 对，那边就抽烟了，要不哥你再帮我刷你电话。
[41:55.070] 186186182118238083808，你要不验车的话是过不了户的。
[42:01.440] 你们有那种代验车，那是有长期合作类的。
[42:05.920] 我给你问问一会让她过来，您给我留一个您的邮箱，到时候给您发电子保单。
[42:10.820] 好FI
[42:13.880] F
[42:15.640] FAB选就是鱼，然后VIP
[42:19.660] 一是吗ABCDE0.2，
[42:22.300] 下划线
[42:23.360] 三号线。
[42:24.700] 一一两一两个的或怎么样
[42:27.710] 的什么话都没有。
[42:30.650] Hot mail这块。
[42:33.470] 怎么听见那个事HOT那个没有。
[42:37.620] 微软没有HOTMLPMILY
[42:43.530] MA.I.L
[42:45.390] 没有什么对没有电话。
[43:04.660] 北京市海淀区
[43:07.780] 一
[43:12.310] 的
[43:13.440] 的
[43:15.220] 要。
[43:18.130] 您清华大学。
[43:29.580] 申花
[43:37.620] 的。
[43:40.060] 咱们定金交1万就可以。
[43:42.080] 然后我这边先提交一下订单，然后我去的时候交分期，首付的时候，
[43:48.630] 首付是分期，批了之后您过来交首付，交一首交首歌的时候，您可以把您的车开过来了，
[43:54.550] 拍过来之后我们就车抵多少钱是直接抵给您的。
[43:58.280] 然后如果说假如说您在那个店里边只换他旧车款，直接给您打回到您的卡里，然后您再提新车交首付款，交了首付款之后，
[44:09.730] 如果来得及是可以把新车直接开到。
[44:12.000] 明白，那到时候我太太看可以吗？
[44:16.020] 女士这边过来办事吗？
[44:18.260] 到时候合同是电子的，到时需要您在电线上签下合同。
[44:22.150] 可以的，您和老师。
[44:23.880] 您经常出差是吧？每周。
[44:27.430] 每周都出去是吗？
[44:29.470] 周几走的？每周大概是周
[44:34.280] 周五周三走周五回来。
[44:38.630] 因为办临时牌照必须用身份证原件。
[44:41.920] 买房反正就是可以先交首付款，到您回来再办临牌也可以。
[44:47.470] 我现在去问问我去问一下您身份证，然后我问一下我妈，我叔叔直接过去
[44:53.290] 的。
[46:56.260] 二
[47:19.760] 到期
[47:27.150] 其实
[47:49.610] 进入
[47:50.620] 的概念车的情况。
[47:54.180] 我的车马自达马六，
[47:57.620] 然后我是因为今年以前一直拖着政策，5月份就得验了，对。
[48:03.170] 年。
[48:05.090] 每年的车10年10年的车况都没问题，车况没写什么，还有吗？保险？
[48:11.270] 昨天也就是没验车，车队。
[48:14.430] 是这样的，在咱们这台车作为如果就是说
[48:19.100] 对价格如果认可的情况下，我们会标注这台车需要买方自己进行去年审，
[48:26.110] 但是买方可能是必要把费用中的车架都给剪除掉，一般多少钱？
[48:30.410] 一般的话因为他们一般都在1000块钱左右。
[48:33.580] 1000块钱左右。
[48:35.610] 反正常年省下来应该差不多400块钱。
[48:38.140] 对，他们肯定相对会多剪一些。
[48:41.960] 我到时候把车开过来就不管了是吧？对手机都交齐了，让他们去办就完了。
[48:49.080] 行，我待会看看，我到时候把车开过来就不管了，对。
[48:54.010] 然后验车他们自己弄，对，我选择有机质内都可以，在
