[00:00.000] 卖眼镜，
[06:52.320] 在欣赏之前，
[06:53.630] 谁知
[06:56.710] 然后看看如果我签了，签完以后能够他的目标，
[07:00.240] 我这来价格
[07:03.300] 他的
[07:04.570] 这些打了以后走了。
[07:06.480] 知道这个不要说。
[07:08.600] 这就是靠着上来说，
[07:13.730] 通过说
[07:15.010] 这边
[07:16.860] 但是我觉得老板不会服务的怎么办？也是我们这里
[07:21.790] 发现仲裁委增长
[07:23.400] 分部位，
[07:24.160] 除了就说良药中他不成熟的阶段两种，
[07:27.770] 好像是200多天，
[07:29.670] 但可能还在地方。
[07:31.360] 不明白他这块。
[07:35.370] 我就可以放。
[07:39.030] 这方面的影响，
[07:40.650] 但是他Y影响不大，不晓得
[07:44.760] 正常的情况来说，
[07:46.880] 加林从外面牵过来，人家这次基本不动了。
[07:52.330] 小这种今年国家，那么后来跟格局段差不多有这么大
[07:57.360] 号。
[08:00.590] 320。
[08:01.360] 现在卖多少钱？
[08:02.670] 1140多点吗？
[08:04.970] 顶配的地址能
[08:06.510] 能找多少？就40多一斤，也知道家不4990,499,200应该是
[08:12.240] 多少倍就又回来以后你说好
[08:15.270] 了，现在收集了不少了几万78,000，
[08:18.120] 对吧？至少六七百46万7万39万多了，你买那份动感不是豪华了，
[08:24.510] 就标配的
[08:26.110] 豪华的是40多多。
[08:27.840] 10。
[08:29.110] 包含了用完了。
[08:30.470] 42万多。
[08:31.990] 说买标配的多，还是买豪华的桃花多，这个
[08:35.500] 钱合适做配置。
[08:39.230] 这也根据自己需求，如果您后排注重的做的人多一些，你可能后台功能可能用得上一些。
[08:45.880] 你要是自己家开车开得多，那后边坐人坐得少了，后边东西就无所谓。
[08:50.550] 这也是根据自己的用车需求这么定好的。
[08:53.720] 行circle好12给，行行稍等，一会儿等价格出来我联系你。
[08:59.990] 其实我这反正车整体外观都不错，您说什么？
[09:04.420] 都不没事，我们这报告做得非常详细，
[09:07.590] 如实给把车给你摆在上面去的，上午咱看看结果怎么样，
[09:11.110] 做参考。
[09:14.120] 你就买豪华的人多，因为它是不同的用途不一样，比如咱们家里边有时候后边过孩子或者老公，
[09:21.130] 他多了后来对调节，所以加上这些很多比较方便一些。
[09:24.570] 比如你要平时做，比如咱就两三口人，
[09:27.610] 我主要咱们大人都是坐在前面开车用孩子来做，后边这种事后边无所谓了，那个就无所谓，还根据自己用的需求来选择。
[09:35.970] 毕竟E级车有好多还是兼具一些商务，
[09:38.680] 他这样这么考虑的。
[09:42.520] 然后
[09:45.090] 对你自己主要代理的
[09:48.030] 销售的和他们不同的差额，你跟他们在机器聊聊，因为我这边把车发港行就跟船上
[09:56.610] 行先这样，好你回兴那边去。
[09:58.840] 你开到时候给我反馈是吧？但是我看时间来得及的话，我给你讲讲，如果比如您
[10:03.700] 现在长了等不了了，我说我给你打电话，
[10:07.960] 还有没有？
[10:08.810] 行，您找我们小小猴再去聊聊。
[10:13.150] 谢谢您，好勒好勒。
[10:25.840] 这车咱现在来说。
[10:27.580] 市场这么透明，现在你这微信
[10:30.440] 媒体特别多，如果达不离早报了，
[10:33.370] 对不对？
[10:34.220] 而且人人买车，咱们现在买车，
[10:37.140] 都有时候有的客户比我们销售还清楚的，
[10:40.290] 你这车最近有什么事没有或怎么着，人都特别关心，这是不会的，是不是？
[10:44.880] 奔驰品牌也不会那么这么特点。
[10:49.600] 说4万多块钱就是驾驶座一条里影响对
[10:54.400] 的后台那些东西对，主要就不用去后排这些东西。
[10:59.290] 对，所以就根据自己的需求选择吗？
[11:01.900] 你说你要作为家用车可不是那些东西。
[11:04.150] 就不算意义特别大。
[11:06.090] 你要考虑，比如咱。
[11:07.290] 有好多他还是开公司的作为经商，
[11:09.830] 有的业主就有时候一有接待之类的，所以商务用途可能后边人来说注重档次相对好一点。
[11:16.860] 刚才根据自己需求。
[11:24.400] 不会的。
[11:36.360] 5万公里是吧？
[11:38.400] 小车
[11:41.130] 没看，
[11:42.610] 无聊开机方看哪都办了，今天召开右边不对劲，
[11:49.510] 还有
[11:52.430] 寒假神马？
[11:54.260] 晏昼。
[12:17.490] 叶子板内衬板经，
[12:21.410] 自己看着快快咬你，
[12:23.710] 登录骗子，
[12:28.120] 我就累了要求
[12:30.030] 目标不行了，
[12:31.170] 要不行了，上个店肯定有人咱们站不起来了。
[12:37.300] 评估师
[12:38.500] 名片评估静态动态20分钟，贵重物品行驶证行驶本，
[12:43.660] 问题验证
[12:45.230] 需要我注意的。
[12:47.350] 三个工作日一周时间。
