[00:00.490] 这样把它立卧销售，来董先生名片先给您，赵斌。
[12:09.630] 除了可以了，手刹这往上拉，就是拉手装上了。
[12:18.510] 挺好。
[12:20.360] 感觉还可以。
[13:38.630] 天天介绍让你坐着。
[13:40.710] 这车跟我的车一模一样，就没开不知道，
[13:44.910] 来帮我们
[13:46.120] 换个价格。
[13:51.300] 人喝点水，那边有茶水果汁什么的还
[13:54.100] 结果
[13:57.080] 876时43分，数量多少？
[14:03.900] 6665,000。
[14:05.440] 68,800是哪块？
[14:07.710] 有什么优惠？68,800。
[14:09.770] 就七十六五。
[14:18.400] 你不是刚接的车可以接着说了。
[14:51.490] 第四的他
[14:52.420] 400块钱。
[14:53.450] 13688。
[14:56.600] 一个6481688是吧？都是600。
[14:59.680] T36887364
[15:03.030] 三。
[15:07.230] 小羊这出场办好的话，
[15:10.240] 周末没有价格，
[15:13.440] 我场上我报多少？658938。
[15:17.250] 你丫回头3天回收5天。
[15:20.590] 第三次。
[15:24.960] 62年。
[15:28.680] 不是吧？
[15:31.590] 3月9号。
[15:37.280] 您说这边。
[17:03.680] 先按全款给您算的。
[17:05.750] 然后指导价是318,800，
[17:08.480] 优惠了65,800。
[17:12.260] 2~3800 63,800，相当于是253,000是吧？
[17:16.840] 23，然后验车费3000，税是22,000，保险预估的期间
[17:23.480] 285,000。
[17:24.800] 高端
[17:29.170] 运动版的运动版和这就是一样的，有区别吗？下去？
[17:32.920] 没区别，运动版对，除了有的颜色会加3.5元，
[17:37.530] 白色用加盟。
[17:39.410] 白色不用。
[17:41.810] 运动版。
[17:48.970] 拍个照。
[17:50.570] 拿回去也得丢。
[18:01.710] 285,000。
[18:03.090] 285。
[18:04.820] 这是运动的都一样，豪华运动一样，就刚才问了白色应该就是如果咱们运动版
[18:12.520] 你想选什么颜色的？
[18:16.970] 因为游泳灭痘吗？
[18:19.060] 亏的银的白的都有，亏得您得白的那就还得去。
[18:24.500] 我觉得贵得不好看的，我觉得他那蓝的
[18:28.860] 他那个男的对我来说想要这个蓝色，
[18:31.640] 让白还是要白的。
[18:35.150] 到时候再说。
[18:36.650] 这车
[18:38.140] 比较上面的28万吨9。
[18:41.560] 对。
[18:42.820] 30万左右的车。
[18:44.630] 没什么可选的这种。
[18:47.260] 都是基本车型。
[18:50.070] 行，到时候咱们琢磨琢磨，谁知你猜到辞职了，然后后期24小时会有电话回访，行，今天可以吗？
[18:58.570] 但是忙的
[19:09.070] 枫桥天天不看了，
[19:11.760] 看完了一下，这是最后。
[19:13.920] 最后
[19:16.180] 奥迪看到什么时候
[19:18.440] 垃圾有的就是三。
[19:21.010] 遮蔽。
[19:22.110] 不让他找C的，
[19:26.130] 但是这是我的楼的，你看看。
[19:30.160] 安全环保知道吧？
[19:32.430] 价位的就是小车行驶的，然后和刹车，
[19:40.980] 但是回去
[19:43.100] 在想
[19:46.230] 要买可能还要有一两个月，好了，谢谢我们就走了。
[19:52.350] 我感冒了
[19:53.730] 的。
