[00:02.750] 啥的
[10:14.510] 而且咱们的底盘隔音用的也不一样，咱们用的是水溶性环保材质，这个东西叫定期。
[10:20.230] 夏迪用的是沥青阻尼那个东西，
[10:24.240] 会在常温下释放甲醛。
[10:28.880] 然后去北京开始早晚高峰，堵车非常严重的。
[10:32.960] 如果您在这种车里呆上一个小时，
[10:35.620] 相当于抽了一包
[10:37.370] 二手的也
[10:39.510] 而且常温下像这种三伏天这种高温天气散发的会更多。
[10:58.750] S90钞一方面，
[11:00.740] 而且S90现在是优惠最大的，因为马上要换代了，
[11:04.340] 把它换成
[11:06.000] 将死不清楚。
[11:09.600] 现在油耗也不高吗？
[11:12.240] 是不高，但是他
[11:14.150] 他其实就是为了跟报这个级别车。
[11:17.440] 镖局有轻吻，对奔驰E应该也是
[11:23.790] 他要换代了，而且车源也不是特别多。
[11:37.520] 您这边考虑大概几个客户？
[11:40.150] 我现在就8月底可能就买，然后昨天我就最开始去看亚洲，
[11:46.920] 昨天我内心因为那个是假，我觉得都开一圈省事了那天，
[11:52.620] 你马上你就能感觉出来哪个车的特点，
[11:57.210] 咱们隆起的就是开始
[11:59.630] 前一段时间
[12:01.360] 吃过凯美瑞，昨天亚洲龙还是比开始有点不舒服一点，
[12:06.730] 要求龙就便宜了，亚洲龙8月底
[12:11.030] 月8月底可拿到，90就赶不上了。
[12:15.420] 就这个问题。
[12:20.110] 本来这个有点
[12:22.020] 有皇冠上给
[12:24.740] 皇冠08年的工作。
[12:26.660] 他不准备置换吗？
[12:28.200] 就送了这送朋友了，就不吃饭了。
[12:33.890] 策划。
[12:35.570] 孵化现在厂家会有一个1万的补贴。
[12:38.750] 第二看
[12:40.640] 他怎么这么高，你们这置换
[12:43.150] 车架也跟别的一样吗？一样。
[12:47.070] 什么车上就20。
[12:48.720] 对，二手车甚至比别的地方高。
[12:51.460] 怎么会那么高，一般都几千块钱都每个品牌不一样，厂家给补贴了。
[12:56.900] S90这个车型是一吧？
[12:58.940] 叉C90车型14,000。
[13:06.880] 我的朋友
[13:08.040] 他想要我这个车，我要不我就不给，
[13:11.300] 不给的我都不换车了，就没必要我这块换俩我还得买MM我现在手里有个指标，
[13:18.440] 手里有个指标，明年4月份到期，
[13:22.890] 咱们从这换车，
[13:25.040] 您下车注意安全，这边给你开门，
[13:27.490] 要等火熄了开关上，
[13:55.190] 或者如果
[13:56.120] 觉得安全性还是好的，对您记完。
[14:01.240] 要是说安全环保来说的话，任何品牌汽车都是比不过沃尔沃的。
[14:07.140] 不是，我一直这么多年一直在是注重这两点。
[14:12.610] 你明白左右反光镜您看需要调整吗？
[14:15.670] 可能不是。
[14:19.330] 可是物理的有点机械板块，对说机械方面
[14:23.910] 有点这种稳定性。
[14:26.640] 高故障率低，
[14:51.990] 还是没有奥迪A6
[14:53.090] 的。
[14:54.190] 你说抵抗对他就还是晃动要大一点我觉得。
[14:58.420] 要不就说不能试驾路线不行，昨天三环
[15:02.670] 压力的时候从来就一直在删到这里传上去传回来，
[15:06.340] 一直走的主路这样走路，
[15:09.400] 咱们先从辅路然后掉头走，要不这可能是路不太平。
[15:14.880] 这中间
[15:21.360] 没有四驱的是吧？没有40。
[15:39.470] 是34。
[15:40.690] 左右是不是？
[15:41.820] 你要是不置换的话大概34左右。
[15:46.220] 明天不同时。
[15:48.550] 那车以前S80的时候卖过七八十万了，对不对？当Y之外，
[15:55.440] 沃尔沃如果您西部现场有吗？也
[15:59.190] 有时候
[16:00.950] 如果您考虑家用，
[16:02.910] 然后要不考虑品牌的这种情况的话，
[16:05.430] 沃尔沃它的性价比其实最高，
[16:08.280] 它的配置要比别的也高，
[16:12.780] 这个还剩10度，
[16:13.980] 还是稳定性，
[16:18.090] 要比我开的还
[16:19.410] 清楚的还有点大。
[16:21.160] 后面
[16:22.820] 也
[16:23.600] 也腿部空间也足够。
[16:25.600] 对I90的后排特别大，
[16:28.680] 他应该比A6核武器都大。
[16:31.510] 尝试
[16:33.580] 它的轴距是3061和尝试接近515083的异常波动。
[16:44.060] 按说双叉臂加付V片
[16:46.740] 弹簧应该比这就是他要稳定。
[16:50.470] 原来后面是多连杆，
[17:06.190] 车保养
[17:07.360] 大概多少钱？一年或者1万公里一保小保的费用大概1100
[17:12.830] 4%。
[17:39.780] 加工先不要。
[17:40.680] 二哥其实这种路
[17:42.190] 咱们这个路真的不是特别平整，对。
[17:49.040] 你感觉就
[17:51.210] 咱一块回去
[17:52.780] 上应该更重要，比这个车
[17:55.230] 应该是重一点，因为咱们的沃尔沃是这样，咱们知道外面的刚才用的不一样，咱们用的是彭高，
[18:00.870] 这种彭刚要比这种超强度高，
[18:03.740] 不是还要硬两倍，但是它的密度轻的重量轻。
[18:08.170] 对。
[18:09.880] 所以彭刚一般都是用在军事上。
[18:12.640] 如果车辆发生这种猛烈的撞击，看这个测试没有测试翻滚，
[18:18.790] 这种车
[18:20.420] 抢劫这里又看网上就翻滚车。
[18:24.530] 对他位置，因为沃尔沃车身叫笼式车身，它可以最大限度保证车身不变形，所以它采用黄冈A柱，B柱、C柱包括底片
[18:33.010] 都是用的广告。
[18:39.770] 前面您能进一段主路，
[18:42.540] 一小段您可以要不试试。
[19:00.770] 上午一哥们还
[19:01.980] 说他是建议我是买
[19:04.350] 买插着一种
[19:06.610] 因为我是这样，我一看一兰达，
[19:09.640] 汉兰达肯定是不能换把皇冠
[19:13.550] 他们拿个差异，90我觉得这两个功能有点交叉。
[19:18.310] 我这边等于是我这一块，等于说我孩子马上上学上这边
[19:23.910] 盯着整传奇，
[19:26.480] 我觉得比底子跟那别克我就
[19:30.410] 前面传奇的骑车or M对我觉得也挺
[19:35.300] 挺划算的。
[19:37.120] 然后这边
[19:38.550] 照片不要的，皇冠我就不换，车就坏一个就得他当然想要
[19:43.200] 人家帮我点忙，所以就
[19:46.060] 我就给她得了，给他完了，
[19:48.520] 看见车优惠
[19:53.030] 都换了了，
[19:53.980] 换了以后也没啥消费了。
[19:55.900] 对但是叉C90它是7座车，但是跟mtk
[20:00.260] 对还是性质不一样。
[20:03.320] 我不知道加多少大聪明小车，所以我就觉得还是这
[20:07.050] 这个好像是创业盘的轮好像比较低，小心点，
[20:11.850] 状态比较轻。
[20:32.440] 催我了。
[20:33.070] 对。
[20:33.990] 清纯。
[20:35.590] 等于现在车的优惠。
[20:38.720] 等以后就不出这个车型，对没有？
[20:42.090] 就变成21款了。
[20:44.170] 而且它的价格可能也要往上调到不少，
[20:53.650] 他是为了拉开90的区间，其实现在九龄真的太优惠了。
[20:57.180] S60中配办完了都接近30。
[21:00.980] 您说这一下俩级别的车
[21:13.420] 直接开过去。
[21:14.140] 从那完街那块进去，
[21:29.170] 就低配的座椅记忆什么也都有。
[21:51.400] 咱们前面都没进。
[22:06.520] 3090是不是？
[22:07.660] 感觉还是有点小马拉大车插接酒粮会不会您稍等的80元的识别一下。
[22:15.290] 叉C90是320米的能力，
[22:18.230] 400个领域，
[22:20.050] 他这都是一个20T的发动机，它是双层的，是机械加波轮，
[22:25.580] 他那条件就那样。
[22:35.600] 你的意思就是他开的感觉应该跟这个一样。
[22:38.860] 很轻快。
[22:39.960] 比这快。
[22:41.270] 是因为我那哥们特懂车，他就说
[22:44.600] 你应该换我现在优惠多大，因为我以前
[22:48.540] 我这13年的差5，我就感觉开都是陈没觉得这么重，
[22:53.800] 但是所有开过酒楼的客户反馈都是
[22:56.690] 看着车大，但开起来根本就不像是这么大。
[23:05.350] 上午两块
[23:11.480] 差距就能办完得60。
[23:13.660] 低配的对。
[23:16.260] 到现在有风气，两年免息
[23:26.510] 轻点的位置。
[23:27.640] 收到了。
[23:33.600] 在这块
[23:35.160] 我把车顶上
[23:37.500] 咱们就凭着当时这个车可能要出去，
[23:40.910] 来了
[23:42.150] 打了白我把
[23:44.980] 我那边
[23:47.990] 您放着对他一会走能停。
[23:52.240] 我就说
[23:53.350] 我回来给你到后面来看着我车，
[23:57.520] 是吧？您往后倒本事走，
[24:44.790] 我还是顺着这差不多上车，水中熄火，
[24:48.910] 还是这么一拧它就熄火了。
[24:58.930] 您进去喝口水，然后我去给您。
[25:05.360] 我就感觉草莓萃取物
[25:07.280] 对于未来挺干净的颜色，
[25:11.600] 口水我去找个驾照每人抄作一下，
[25:21.280] 深一点。
[25:22.160] S460。
[25:23.540] 我说
[25:24.480] 这个也就890没这颜色。
[26:02.930] 有人跟我一块进来吗？
[26:07.570] 谁知
[26:09.990] 远，
[26:11.720] 手
[26:14.500] 场。
[26:16.030] 场。
[26:18.030] 不用
[26:23.640] 数据
[26:27.230] 数据、
[26:35.390] 数据。
[26:43.830] 场。
[26:55.890] 花
[26:57.660] 花、
[26:59.290] 花
[27:03.110] 走
[27:05.120] 走
[27:06.340] 坏
[27:09.740] 数据
[27:22.700] 的
[27:33.400] 吗
[27:36.470] 了
[27:44.580] 坏
[27:46.570] 的
[27:51.240] bye bye。
[28:02.550] 三
[28:03.720] 好。
[28:42.850] 你们还没吃的吗？
[28:45.810] 这就别吃了。
[28:49.370] 我们看看
[28:50.810] 匕首都在这儿，了。
[28:56.160] 没事。
[29:04.970] 刚才你说出一个球，
[29:13.720] 红星
[29:17.180] 赤峰还有
[29:18.550] 谁知
[29:19.760] 好进展。
[29:35.650] 然后您看着。
[29:37.120] 行行，我待会我就不用再了，我全部负责我就可以，我意思您熟悉路线了，就不用再带您首先进行。
[29:47.050] 他们要是什么？
[29:49.040] 是吧？
[29:50.020] 这是您的说我这挺清楚的，不是我这边你知道我昨天为啥说我就后来学习还不换亚洲龙，因为啥呢？
[29:58.370] 我说了12年了，我这加速都没那么大，8个人您开你在婚后条路往下滑了。
[30:06.880] 对，但是我就说他刚拿回来了，
[30:17.120] 站在这个车真的
[30:19.140] 前景还挺经典的。
[30:21.030] 我这开12年了，啥方面没有跑18万多公里，现在是18万公里。
[30:28.930] 国四
[30:30.580] 国五当时也事关508年应该
[30:34.700] 好像我是08年
[30:37.380] 6月份。
[30:39.590] 国五的话它还写开。
[30:42.010] 这都能开，反正我这哈尔滨那哥们他想要
[30:47.690] 给他在先回家，对。
[30:50.000] 可能可以，要不叫你说置换，
[30:52.420] 不能换U2
[30:59.290] 上一个
[31:01.400] 小女孩。
[31:04.190] 这是花冠是吧？
[31:06.130] 不是。
[31:09.150] 微6的机器对这个车非常
[31:12.710] 开的是非常好的。
[31:17.390] 还
[31:25.290] 黄瓜。
[31:37.440] 其实我觉得
[31:38.710] 钞票长大的整这块有点差，水比较他的对是不是？他觉得因为他是机械的。
[31:45.950] 对，不是说它全系都用了，
[31:50.240] 而7岁好像你
[31:51.960] 你又不知道天秤
[32:27.800] 这车还真是
[32:32.270] 是比S9还差不多15万。
[32:35.920] Ps90对我觉得价格上落地完了才剩20多万，不是对还是直接买俩了，对是34
[32:46.570] 到60。
[32:48.740] 我的手机不好。
[32:55.790] 好。
[32:56.580] 他的车这车的调教还是跟车5+1一个级别，
[33:01.120] 您可以踩一脚试试做。
[33:17.810] 这个事情。
[33:20.320] 过马路舒适度高多了是SUV，毕竟媒体天气高，它的弹簧的行程要长了，
[33:35.910] 买了之后
[33:38.030] 这就是了，不用换了，所以已经开始
[33:42.210] 真正结果这种
[33:44.550] 因为我这款茶是我父亲做朋友，从海外给我带来可能配置比较低，
[33:50.730] 不是我配的，都是我自己选。
[33:52.870] 我说我这款仓我是在海外带回来的，就是您选好开始在那边订好了在中国踢的车，因为他是外交部的。
[34:02.310] 我的配置我的门都是长X的，差5分都是
[34:07.270] 自息的，都灌装自息的，而我的配置不行，但是车开得真不是说特殊，
[34:13.670] 因为是动物咱不说了，
[34:16.280] 这个有点重我感觉。
[34:19.280] 太硬了，原来是3.078对3×7的。
[34:22.660] 他这百公里加速
[34:24.490] 16.86.9的，
[34:27.800] 这个还达不到得800公里奖多少，七点几7.1还是7.2我记得吗？
[34:33.160] 但是好像不是我记得应该是
[34:35.750] 6.20。
[34:37.370] 是吗？
[34:38.730] 不能吧？
[34:41.800] 义工不拿点宣传产业回头号也
[34:53.950] 差点
[34:55.070] 发不出去。
[34:57.600] 6.5。
[34:59.000] 我确实得比我那款差，我这3.07的。
[35:03.870] 那问题是我总感觉你发动机的
[35:07.320] 这种排量不够，他怎么说？
[35:10.020] 不会对发动机寿命会不会有影响，会不会？
[35:13.850] 这个都是其实
[35:16.830] 他为啥一个发动机它调的就是我跟您说您3.0做60多秒，
[35:23.330] 等于是调教没完全调到的发动机最大的一个乏力，
[35:33.450] 而且机械加涡轮双增压其实跟三二零零几乎差不多了，
[35:37.990] 22点不一样，但他刚才提出生物我觉得比都晓得，
[35:43.630] 比S
[35:44.890] 90
[35:46.810] 可能我没踩着矛头，
[35:49.670] 这个数据我还真
[35:56.160] 现在他们差5块，那么
[35:58.420] 为呢
[35:59.890] 要
[36:00.900] 值得吧？
[36:01.910] 咱这节目设计
[36:03.080] 对BI？它的品牌效应大。
[36:06.160] 我可能就是我老这样最有意思，说你这茬我最不好开，他我家的车那时候
[36:12.870] 一个禅达肯定
[36:14.780] 说这边开的就是你的车换换的有时候
[36:26.090] 要不您试试的做好事。
[36:31.240] 现在给您
[36:33.610] 给您切换的一个
[36:37.120] 我上了。
[36:41.300] 在签合同。
[36:44.590] 这结构
[36:47.390] 在行进当中都可以
[36:49.290] 就可以切换。
[36:52.550] 像您运动模式这个情况下，
[36:54.640] 动力是不是对挺好。
[37:01.920] 要是贷款，
[37:04.880] 你们还是三是50%，对50%收是不是？
[37:11.320] 他是首富方案是50% 50%，然后两年免息还能再低吗？
[37:16.690] 您说在D点周末对他的60应该不行，他不是他在90是只有50 50，
[37:22.220] 然后还有一个就是定额贷，定额贷可能贷的钱就更少一点，十二三年免息对这15
[37:29.510] 分分钟就是了解过了是吧？对我们了解到他有一个小额这种服务。
[37:36.650] 我觉得你们两家店优惠幅度都差不多一样吗？
[37:40.500] 一样。
[37:45.680] 而且沃店买的力比那要大，
[37:48.210] 你那车源多笔的优惠，
[37:55.480] 而且咱们这儿
[37:58.000] 售前售后都有，那边没有收获，你还得去海州休息。
[38:02.820] 对，我昨天电话就是在三环多少，
[38:06.150] 上下午上吃点开会，直接就
[38:11.420] 像公务员购车没有什么别的优点，公务员没有着急没有。
[38:16.090] 还有那公园，反正还对你们这大客户，假如有个招商银行什么的，对。
[38:22.940] 有些银行他还会有个优惠，是不是？我签了一部分这种企业办过户，
[38:29.090] 我就得他的名字还是他给我开个证明，人家指标人他是真的只要人的。
[38:34.870] 没有。
[38:36.110] 这样。
[38:38.450] 都在一起。
[38:59.450] 这是开起来挺好态度吧。
[39:01.900] 这辆车看来真签一份货，
[39:05.440] 我觉得都是2.0T的发动机整治老大车队，要是想象的你要以为254匹的话肯定有点像完了那车，
[39:13.890] 这没太仔细研究了。
[39:23.270] 好多女性客户也是觉得这车太大了，结果一次
[39:40.190] 而且这个车子安全性最高了，我就在网上看着翻滚，
[39:44.920] 这个车翻滚测试，
[39:48.150] S90鹏刚整车占比是35，
[39:51.090] 这个整车占比40，
[40:00.970] 这个车为啥现在优惠幅度这么大？
[40:03.780] 他不可能换代，它稍等。
[40:06.940] 因为她每个车型其实比同
[40:10.100] 净品来说，它的优惠力度都大多少，它主要就是这种性价比高。
[40:16.500] 以前很多人都买了，对真的是。
[40:20.320] 而且就像现在您是的这台车是中配的。
[40:24.100] 致雅您看咱标配的饱和艳的影响，
[40:28.320] 在保时捷选装也得3万多一个，
[40:31.380] 然后老板我肯定都要标配，不要再买这个
[40:38.600] 就标配就够了，没事这个概率是不一样，我的意思就是这个车现在中配所配的配置，
[40:44.420] 但其他品牌可能高配都没有。
[40:47.490] 要是标配的音响呢？
[40:49.620] 标配音响就是马卡顿代工的，
[40:53.790] 然后还有空气悬挂，
[40:55.690] 360度环影空气悬挂标配不是吧，不是标配，不是空气。
[41:01.220] 要是空气转化的，现在咱看就是空气悬挂是吧？
[41:05.670] 空这有空气悬挂的，
[41:08.450] 有多钱能下来这事。
[41:10.980] 这车得接近70 69左右，70就算还是可以。
[41:15.160] 有空气情况肯定会对。
[41:17.990] 那不是空情况，估计就没有说出来。
[41:21.180] 一样，他这个是什么？他是
[41:25.890] 空气情况，它是可以自动调整底盘的人物放松，但是舒适度跟他是一样的。
[41:37.210] 那就是这全经上乱根本看不惯，对。
[41:42.140] 你看对。
[41:47.860] 那么新司机他可能觉得这个环境有点
[41:51.540] 有心没听到吗？但是他那个线是白色，
[41:55.130] 非常代价。
[41:56.240] 应该是政府
[41:57.760] 这照片。
[42:00.330] 有的的。
[42:02.610] 有的。
[42:05.680] 这是
[42:11.940] 我纳闷
[42:17.610] 标会
[42:20.070] 你把所有的宣传材料
[42:22.580] 都给我拿，一会用给您算算行报价什么的算一个算算，因为我昨天没算茶C90。
[42:28.630] 行，你给我算个啥中间点。
[42:30.720] 对你把这个人给我说S久了也可以给他算。
[42:33.950] 这么漂亮。
[42:38.710] 因为这个月
[42:40.750] 咱们
[42:42.760] 这个月咱们是变性了，
[42:49.830] 我们不是空格就是保养什么的，
[42:52.180] 就这样封信办理高尚。
[42:54.690] 昨天宿舍
[42:56.680] 我也没法说你这点。
[42:58.320] 是吗？他送您那什么泡的膜你知道吧？他这么点长元沃尔沃就没有原车膜。
[43:04.230] 我听Jay他这个东西大哥这样的，我送您一个馍，
[43:09.060] 假如这东西我跟你说这东西就是1万，等于这块我后面一半，你实际他不是不值这么多钱，
[43:16.430] 是吧？
[43:18.470] 但是
[43:19.760] 您稍等我马上走了。
[43:23.120] 没错这行。
[43:54.310] 面部。
[43:56.430] 你们这些下面一起来。
[44:03.050] 名什么你
[44:32.390] 怎么着我
[44:33.160] 刚才您说我就会跟我去拿那些片片，我这电脑没事。
[44:44.300] 按照
[44:48.410] 先给您算哪个的？
[44:50.320] 你哪能算，不是，你先给您写哪个先算。
[44:54.160] 就算I90。
[44:55.460] 行先写字了吗？致意的是吧？
[44:58.080] 对，我就要匹配没钱。
[45:05.240] 换一个才行。
[45:06.300] 拿着还得换两还是等等给你。
[45:09.960] 总分七八行两人都坐飞机，肯定是着作风气，也是没钱，分期它也有压力，不是不还。
[45:19.650] 就等他不要这房关系，我就直接放在茶几酒店费。
[45:25.450] 为什么商讨？
[45:28.170] 说这话的长
[45:30.160] 喝的那些水。
[45:31.320] 对。
[45:36.570] 那就给您按照没有置换算是吧？
[45:40.530] 你置换不就是14,000，你说话了明白，你千万没有计算好了，好。
[45:52.320] 我就按现在最低的给您算了，好。
[45:54.770] 行，我真是着急买了，但是这月这个价我也只能给您保持，这个月下个月可能就变了形。
[46:06.540] 马上因为我在我住丰台的马上就搬这边来了，我孩子在人大附小上学，小学一年级，所以说就搬这边我要深化。
[46:16.040] 你说离这边做保养的还挺好的，
[46:53.950] 我也出去
[46:54.920] 换车肯定要你也越换，
[46:58.340] 感觉越好才对。
[47:00.510] tmd画完之后不如以前开的，你像你换下周楼。
[47:06.170] 不是，其实我觉得也挺舒服，但是他一提速那个声音比我这个车开这么多年车都没有，他噪音大，发现这个车是6个杠，它那4个杠等
[47:16.990] 感觉
[47:21.600] 百公里加速是
[47:24.110] 6.5，确实比我们的风格
[47:27.690] 咱们是的是T5还是T66。
[47:31.290] T6，T5也没车，T55，
[47:35.790] 这个车级别这个级别都是要其所。
[47:47.260] 这样宏哥我先按全款给您算，然后分析的时候有1个小额服务费贷款和4个点，
[47:53.550] 您就先看看这车价大概多少钱就完了，
[47:55.890] 对吧？
[48:01.440] 还真不是不知道，其实
[48:03.870] 一是叉C90了我觉得。
[48:06.980] 但是这个数据
[48:34.360] 行行我给客户算算。
[48:36.880] 假然后一会
[48:45.290] 您看
[48:46.250] 然后是这样，
[48:47.520] 咱们这有这个月的就是装套餐，他所谓的送你6800是这样，
[48:51.990] 咱们店有一个15,800的威固套餐，
[48:55.160] 像S90这个车做活动是6800，
[48:58.130] 叉C90这个车做活动是8800，然后它是整车全车威固的膜，
[49:03.360] 然后脚垫后备箱垫隐藏的专车的记录仪，
[49:07.750] 宜D盘的护板，发动机护板，然后整车漆面封釉。
[49:11.160] 这个就是看您选择回头再对，就跟您先说一声。
[49:15.690] 和确定这有两个这个东西。
[49:18.830] 然后您看
[49:20.840] S90 402,900的指导价，
[49:25.390] 优惠完了以后裸车价295,900，验车费3000，保险2万一两万元26,000。
[49:33.230] 丰田不是睡对26,000，保险给您预估的一个8000，这是咱们这就是不要求您上什么险种，您多退少补就完了，你要上1万就是1万，行行。
[49:44.280] 然后最后等于333,000多。
[49:47.030] 你觉得作为主权是D
[49:49.950] S190 690,900指导价，
[49:53.300] 优惠完是540,900。
[49:56.900] 对，他他家是把服务费好像把金融贷款服务费也算出来。
[50:02.330] 然后验车三
[50:05.400] 睡47,000，保险预估1万五六十万0.361要再做别的东西。
[50:15.010] 49。
[50:21.030] 这就是要是贷款的话，这个是百分之多少？5050%。
[50:26.160] 都是50%，这俩都是5550%。
[50:29.020] 就30。
[50:30.340] 30。
[50:42.280] 现车都有是吧？
[50:43.980] 您要什么颜色？
[50:46.150] 反正如果像S
[50:49.430] S90车源不多了，
[50:51.900] S就能出现不走。
[50:53.760] 叉C90290现在路上有好几辆，
[50:58.530] 没事吧？
[51:00.030] 您主要考虑什么颜色？
[51:02.030] 临沧市肿瘤是不是这款灰的还是装的？
[51:05.370] 会的。
[51:07.590] 而且九橙这块归但是归纳
[51:11.910] 大白的可不好看，
[51:13.570] 反正一般这种级别车都要黑的。
[51:16.640] 这可能是颜色灰，
[51:19.320] 这种灰可是不是颜色实际车的那种归纳，你看这怎么也是您可以这样。
[51:25.290] 您说您回去再百度。
[51:27.300] 对，因为这印出来的东西他不太准，这是灰。
[51:32.890] 就是金属银背闪银灰，
[51:37.440] 还有一个牛仔蓝，牛仔蓝也有，对。
[51:42.670] 白的黑的，有点酷那种蓝莓知道牛仔的是吧？
[51:48.050] 在外面。
[52:05.290] 内饰。
[52:06.750] 那是一般都是
[52:08.560] 看看后座就是行。
[52:11.160] 看着
[52:12.180] 展厅那车就是您拍个
