[00:00.800] 7月26号下午5:10接待
[05:24.020] 责任条在车载
[05:34.950] 现在这边现在可以调，你想怎么调？
[05:37.720] 往前还是往后压，他这边煤电
[05:41.780] 没电了，因为今天可能掉了可以施加，
[05:46.330] 但在这个点不
[05:49.200] 90多万，
[05:51.010] 我也没接着，今天我也没带。
[05:53.780] 没带架子。
[05:55.260] 明天看日本那就改天再约时间了，可以约的明天上午10点或明天下午3点，
[05:59.920] 到我这样子乐队可以在约定
[06:03.190] 这些
[06:04.710] 具体多少钱？
[06:06.540] 你说优惠吗？
[06:08.180] 你要是今年早上买的话。
[06:10.220] 具体价格先了解一下，因为优惠政策不确定，但现在是9万多的一个。
[06:14.730] 90多万的一个车，现在都遇到了5万了。
[06:17.420] 刚才我说了一句话没有
[06:19.690] 专门
[06:24.720] 因为现在都说话有了了9天发现一块5万90万。
[06:31.280] 办起来就100多了。
[06:33.540] 1米83。
[06:35.450] 加速是这样，但是保险谁知
[06:38.760] 还
[06:39.820] 开放睡觉。
[06:41.140] 税多少钱？
[06:42.700] 就是这个车价格除以11÷7.3，大概8万多。
[06:47.870] 不一样的。
[06:49.050] 所有的都是一样的税点。
[06:54.780] 还有保险还有的干嘛备用，还有装饰加在一起，
[06:58.460] 不装装饰在规模的矫健行车记录仪这一块不强制可以服装。
[07:03.060] 这也不强制可以不装吗？
[07:18.770] 只是说签一个模式。
[07:30.110] 没啥。
[07:31.670] 没单子给了。
[07:43.590] 不是就这个问题给我给。
[07:45.810] 你有没有？
[07:53.950] 在后面都一样吗？
[07:55.660] 都一样的。
[07:56.560] 我看有的是后面还有
[07:59.260] 当时卖发货那是4504
[08:03.010] 还是40？
[08:05.550] 这个地区。
[08:08.470] 我们现在奥迪是几区？
[08:10.690] 不知道您奥迪地区。
[08:11.840] 你哪年的款？
[08:13.470] 哪个是谁的？
[08:15.820] 我不知道我也
[08:22.090] 拉了多少钱。
[08:23.780] 大纲后基本工资价格1,508,800，现在按照1,408,000块都走。
[08:34.000] 我看原来上面都标了，
[08:36.520] 好多产品成功了。
[08:38.450] 对，我昨天在那边看了，我在那边
[08:41.450] 航天桥店还有营销，我觉得有骄傲。
[08:45.700] 没有标。
[08:47.480] cmd是S450
[08:50.620] 还是450四驱四驱有标识，咱们两的多少钱？1,201,800。
[08:56.890] 1,201,800. 
[09:01.310] 这四五只有四驱的就在这里投标到的标识。
[09:05.880] 是的。
[09:08.030] 这个是后驱是吧？后
[09:09.790] 的谁知
[09:22.430] 他那个是
[09:26.050] 油管。
[09:27.450] 这也是带电梯的。
[09:29.660] 逻辑发展一家电机，谁知
[09:35.530] 什么意思？就加了一个辅助电机，
[09:38.160] 都电器价格。
[09:39.560] 其他浮动作用。
[09:40.960] 第
[09:41.770] 都能有一个辅助作用，然后
[09:43.780] 尤其对比较诚恳，
[09:47.890] 他
[09:49.170] 有点不方便返回的，他这不是在现在下一个
[09:54.770] 维修。
[09:57.090] 有点便的作用。
[10:00.090] 有一点电机在里面，电梯速度是在行政中补助还是启动速度都有，
[10:07.640] 只要你的油门深度不要超过65%，他都在
[10:11.630] 油门深度不要超过65%，谁知
[10:18.800] 也就是说
[10:19.890] 不要地板油呼呼叫就不要地板油，他都在电路的，
[10:26.180] 也就在高速上计算机。
[10:30.890] 是不这意思？
[10:31.940] 对，只要有人的你要超过65例子也可以用到。
[10:35.790] 无时无刻的基本都是一样的条件。
[10:41.670] 百万的是什么样的？
[10:43.410] 是不是？
[10:44.940] 这个离开的吗？
[10:46.420] 那家店后面吗？过。
[10:48.980] 孩子一部分不考虑了，一
[10:56.750] 门下也不是，
[10:58.110] 还是谁知，
[11:16.470] 这个装置都是这样，
[11:18.220] 类似全是这样一样的。
[11:20.640] 是我领导的也是这样。
[11:23.330] 迈巴赫是吗？
[11:25.460] 好的。还是
[11:53.870] 没有了。
[11:58.110] 第二一分356分四五站下这个先。
[12:01.200] 一样，对。
[12:02.830] 不需要垫付一点。
[12:06.470] 是吧？干净。
[12:07.570] 还要加145也100万。
[12:16.840] 接下来1U3508对0350号456350多少？
[12:21.180] 350是738,800，办起了一个80万左右。
[12:24.720] 对。
[12:25.760] 这也没车。
[12:27.810] 这个也没车。
[12:30.080] 没有，三五年也没有，这都需要预定。
[12:34.600] 现车很少说可能有现车到这来买的，为什么那种车是属于是
[12:40.920] 美国生产的，所以说产量比较低，再加上一受以前的影响，美国
[12:47.090] 美国生产不是生产吗？
[12:51.350] 的
[12:52.710] 个人。
[12:54.470] 500 550。
[12:59.220] 150。
[13:01.880] 这260多万。
[13:15.110] 这一个S。
[13:22.330] 你看的
[13:31.130] 350没有。
[13:32.280] 到了没有谁知。
[13:36.970] 你在外面看了吗？
[13:39.360] 就在航天桥也是三店，对。
[13:43.140] 三五年没有。
[13:45.020] 三人都是两区，现在vs吉的市区就是456月份，
[13:49.620] 其他的st都没有市区的，
[13:52.860] 这个是最高级别的，原来有5。
[13:56.170] 对现在没有了，现在最高级别就S4564驱最高级别的。
[14:00.840] 所以说你看到的话有可能看错了，有可能是他别的车型或什么的。
[14:06.470] 或者他是改装的那个吗？
[14:09.430] 黝黑的有黑色。
[14:12.190] 这两不一样，大小都一样的。
[14:15.630] 没有，这应该是卖了，他所的话就应该卖了。
[14:21.670] 锁车了就应该卖了。
[14:30.420] 这个能优惠到多少？
[14:37.850] 这个车咱们是拍卖车，这车卖了，
[14:41.510] 这车要是正常新车的话能优惠到2万多一点。
[14:49.310] 那边那个车也进来也能说话吗？
[14:52.280] 我们没注意这个镜子这。
[14:55.600] 都可以，电脑上的外面是一样的。
[14:59.880] 他
[15:01.090] S450就是一个市区还有什么？
[15:05.350] 还有什么区分？还有两区。
[15:08.470] 市里面你是这样的，原告他两句话，谁知
[15:12.570] 我这S40
[15:15.150] 和S350有区分，你们具体区别，
[15:19.630] 是吧？具体主要就是电话结果的概念没有看过，你跟我讲了3450是240，然后352谁知
[15:28.360] 然后努力的玛丽的是300 6 7350百分，
[15:33.490] 有的是500上网400万
[15:36.680] 的长宽高，整个空间大小都不一样。
[15:39.360] 这些化妆品的
[15:51.880] 还有
[15:52.600] 先
[15:59.030] 安全
[16:03.440] 数据
[16:08.860] 场
[16:11.220] 坏数据，
[16:16.060] 场
[16:17.000] 场
[16:25.900] 花
[16:28.320] 要
[16:34.500] 数据
[16:37.920] 案件。
[16:41.010] 了。
[16:44.430] 坏
[16:52.080] 相当于是孔子老婆的，没有庭的话，
[16:56.490] 有天平或者怎么样。
[16:59.820] 看来的设计
[17:28.490] 他是队长。
[17:29.910] 是什么排放
[17:36.140] 我送V68，这叫什么柏6。
[17:41.870] 去年国内的排放
[17:45.860] 一般不用
[17:50.440] 五。
[17:53.150] 3.0是吧？对3.6加一个48伏电机。
[17:58.640] 多少？3.0T的傅家奠基的？
[18:04.280] 阿家T
[18:06.930] 在T都在P
[18:09.150] 奔驰都在家，他没有家家电机。
[18:41.240] 您是还要考虑其他车型是吗？
[18:43.210] 大家都看一下是吗？
[18:44.990] 还有
[18:50.640] 就是第二C
[18:52.230] A-B2，C43，
[18:54.160] sc63
[18:57.950] 63 4 10。
[19:00.410] 对于是SB吗？
[19:06.870] 你刚才不是说没有接了。
[19:09.620] C吗？
[19:11.310] 加了C跟GRE什么不一样？
[19:14.600] 肯定不一样那两个车型。
[19:16.820] 我就不知道什么意思，她GSC属于是AM记的AMG+C它属于是性能车
[19:24.800] 性的条件的，属于高功率版的。
[19:27.120] 你看他的是
[19:29.060] 4.0排量V8的，咱们GRE350是2.0T他是9速变速箱，
[19:36.080] 他不一样，这两款车没有相提并论的，既然没有说是哪个差在哪什么的，这也是属于性能车。
[19:43.040] 什么叫性能车？我不懂。
[19:45.230] 就是功率马力条件的高，提速快高，那就是高功率版高。
[19:50.020] 高一级还是怎么的？
[19:52.960] 应该高一级。
[19:54.720] 从dsc的情况来说的话还是低级，但从性能车来说它性能比他高一低。
[20:02.570] GRE
[20:05.760] 谁知
[20:07.350] 我也是厘米进行解释。
[20:09.600] 你可以扫码关注一下，我自己了解回去研究。
[20:14.030] 我能了解你专业人员不。
[20:16.210] 用微信扫二维码可以码给客户。
[20:19.320] 咱俩业务你不去关注它，关注
[20:21.450] 他干嘛？
[20:22.130] 我问你这样，因为你是销售的，你应该能够给我回答的出来吗？
[20:28.040] 是吧？
[20:30.220] 你们应该做了这方面培训，
[20:34.300] 你们应该做培训，
[20:37.120] 智能化
[20:38.830] 你要肯定
[20:40.440] 自我
[20:41.380] 初步考虑是哪件事情，但是我也想看看其他是不是有可能
[20:45.500] 有变化，
[20:48.790] 没有让他能够选择
[20:52.510] 这样
[20:54.270] 销售不光是买东西，
[20:56.140] 轻松的。
[21:05.700] 打到我接客户。
[21:07.200] 稍等一下。
[21:15.110] 号。
[21:17.850] 你在这干了多久了？
[21:19.920] 没干多少了。
[21:22.060] 以前是不慢，这个问题，今天不办增持，所以这产品知识不是很专业，
[21:28.830] 还要加强沟通，
[21:31.160] 尤其跟现场车我们就不是特别的还有
[21:34.880] 你们是专门管怎么说，我们有专门有做mg的一个销售，
[21:39.630] mg里有专门的销售，所以说性的时候可能我们职场经历
[21:46.690] 谁知
[21:50.510] 品牌不同，
[21:58.760] 楼下有卖花。
[22:03.880] 谁知
[22:11.500] 你还要看一下好吗？
[22:14.870] 咱们应该上楼。
[22:16.410] 楼上倒过去。
[22:19.370] 这不行，这不前面吗？这边去不了。
[22:22.920] 这门是锁的操作在这个里面不在。
[22:33.540] 待会去看一下。
[22:37.530] 可以吗？可以没问题。
[22:54.010] 站在这边。
[23:24.410] 号百
[23:25.280] 66,000，
[23:55.360] 谁义气和一起都属于。
[23:59.240] 对，都是北京的。
[24:01.710] 不一定一起也有进口的。
[24:04.400] 常州都是北京生产，谁知
[24:08.370] 调走的是进口的。
[24:10.800] 全国都可以不过了，可以从南门可以出去。
[24:14.880] 开始可能可以不能
[24:41.040] 对。
[24:41.820] 这所谓这肯定是市区的。
[24:45.800] 对。
[24:46.600] 是吗？是的，好的。
[24:49.000] 妈妈就是最低是多少孩子？450。
[24:54.230] 450。
[24:56.410] 然后你们猜一下，不会。
[25:00.960] 对，
[25:08.630] 比较好看一点。
[25:10.660] 肯定临时可能更豪华一些。
[25:13.690] 它选用的一个所有的材质，
[25:16.330] 包括他设计配的都是高级别，
[25:22.090] 晚上
[25:23.910] 这个最低价多少钱都是价格1,558,800，现在销售是按1,458,000.8销售。
[25:31.730] 七。
[25:55.440] 对。
[25:56.520] 对，可以说出来。
[26:00.380] 反正
[26:01.590] 这个车S也是S350也是这样。
[26:05.120] 中间也试过进去的是吧？
[26:07.740] 也是有一个轴，然后也是一样的，也是可以放下来，可以350也是这样是吧？
[26:13.890] 对，都可以有都下不去了。
[26:21.890] 三
[26:28.070] 有点
[26:29.480] 这个税也高了。
[26:31.290] 肯定他的税取决于车价格一样，价格高，税点这里高，好。
[26:36.000] 好游。
[26:37.460] 油耗还可以，一号都9都有。
[26:41.340] 一样的。
[26:42.510] 一样的对吧？对主要是类似，还有动力
[26:47.010] 动力主义的。
[26:50.200] 四驱的吗？四驱的稳定性会更好一些。
[26:56.490] 可以是车。
[26:58.040] 可以试车。
[26:59.720] 这个车也能吃吗？都能吃，都有10分是假。
[27:03.600] 对，就是记得你要带上驾驶本。
[27:09.590] 需要给你算价格吗？
[27:15.480] 习惯推算妈妈
[27:18.690] 万。
[27:19.920] 行，那就停在停车位上。
[27:23.110] 这不知道他这边。
[27:25.470] 能看到看看您还需要了解刚才。
[27:30.320] 您还需要了解其他地方吗？
[27:32.570] 其他了解啥？
[27:35.630] 我说你还需要了解其他方面的东西吗？
[27:38.170] 或车险什么的，我就带你去扫二维码，免费停车三个小时。
[27:42.540] 是开车来的是吧？
[27:46.320] 明天这边会给您做个电话回访，明天上午方便下午方便。
[27:51.710] 都行，我也。
[27:53.020] 也不打电话发短信都可以。
[27:55.490] 都可以是吧？打电话发短信都可以是吧？
[28:07.040] 咱们这边来扫码。
[28:09.880] 这是加S
[28:11.560] G rs。
[28:12.940] S队
[28:15.760] 加S是笔交易大，我觉得这Q668
[28:21.190] 27座798对7座的。
[28:27.840] 您用您的手机微信扫二维码就可以了。
[28:32.120] 电话1361。
[28:39.600] 这里
[28:48.150] 微信扫。
[28:52.280] 输入您的车牌号就可以了。
[29:00.600] 拖把又让销售给你打电话。
[29:15.510] 号。
[29:19.680] 三。
[29:22.990] 这次还是市区吗？
[29:24.820] 对。
[29:28.460] 这是1260的叫考试了是吧？这些
[29:33.940] 你是不是的疑问 how my S级，那么大车为什么没有四驱，是不是？
[29:39.530] 就这么设计的？
[29:44.240] 他那么贵的车怎么也得4
[29:50.310] 是吧？
[29:51.240] 按理说是
[29:53.570] 这样按理说是这样的，对。
[29:56.370] 我半天没有四驱，
[29:58.280] 跟他两期都是两驱。
[29:59.910] 好行，你回去点的话，S就没有市区在356没有这45001 100。
[30:09.330] 100多少？
[30:09.960] 100 128 1800。
[30:12.490] 20万。
[30:13.680] 对，1,201,800。
[30:16.650] 您车在哪了？
[30:18.670] 行，您回去。
[30:21.090] 对看车。
[30:22.370] 好谢谢没事，回去慢点感谢光临。
[30:25.610] 好。
[30:45.480] 看看一个。
[30:46.470] 老太太好像是我花
[30:52.850] 你下车往回走，往回走到出口这块，
[30:55.680] 我把钥匙给送到门口去，
[30:57.800] 我还没接到客户。
[32:15.570] 真行。
[32:17.250] 真想。
[32:18.720] 分没丢了没丢。
[32:21.670] 倒霉咋没拿钥匙。
[32:23.500] 还出来买馒头，拿他我俩一块出来。
[32:27.720] 你拿钥匙了，
[32:29.690] 拿错了。
[32:31.950] 回来
[32:32.760] 来
[32:33.540] 来。
[32:47.110] 看过一下过去。
[32:48.270] 穿过这么着我重点班
[32:51.230] 了。
[32:52.310] 的在哪里？
[35:31.560] 缺点。
[35:32.280] 完了我看着我不能惊动面给你弄，没事，没有谢谢。
[36:02.030] 有多少？
[36:03.300] 不管。
[36:04.710] 反正老师现在建立客户，
[36:07.930] 等
[36:09.210] 昨天交流一下。
[36:10.930] 你做好了。
[36:12.510] 交完了，你们今天拿我这怎么样？
[36:15.260] 不行你把下去了。
[36:17.920] 他的情况多吗？
[36:24.970] 客户怎么算都这么差劲。
[36:33.240] 是恶性循环，你知道吗？
[36:38.710] 的
[36:40.570] 目前
