[00:01.660] 别说下午5:16接待出去都好，先生看球了。
[06:38.100] C的，因为根据他的出发，对这个的话他是没法关闭，还是真正的
[06:44.740] 没劲了，因为特别人类或者说系统小苗的
[06:48.620] 才会识别经常直接固定问题，所以
[06:52.240] 礼品成功更高一些。
[06:53.970] 经验不管是外包墨西哥
[07:00.150] 三
[07:01.540] 连睡觉的还是一起优势。
[07:04.830] 奔驰的话，但是最后那是促成和豪华动力的话，同样197年能够
[07:11.990] 我不一样让世界成立，而且最主要的谁知
[07:18.170] 马上高三比他稍微小一点，
[07:21.060] 然后那是吧人家点部分，
[07:23.560] 因为他的
[07:25.210] 谁知
[07:30.910] 固定是那种不规则的四边形的，
[07:35.470] 还有仲裁下边一些很多
[07:40.910] 你可以看到
[07:45.870] 完全不一样
[07:47.130] 的。
[07:49.240] 我之前名字都是非常重要，而且的推移效果非常好，你关门是吧？因为咱们再见。
[07:55.870] 后面产生的可以偶尔要不宣传的，
[08:02.990] 而且更新的合理的没事。
[08:05.640] 这块钱拿出来上边看见或者M
[08:08.710] 可以这些东西的一个规划，
[08:10.860] 先处理完，这车不在哪行，
[08:13.370] 都可以直接告诉您港区都没劲，因为咱们下发到国内，
[08:16.800] 所以说在运行过程中你们也去输了，当然也支持手机的仓库内的
[08:23.920] 没有汽车之后，这些手机不仅部分APP人的，它是属于运输连那个软件您可以
[08:30.630] 谁知到现在手机信号手机
[08:36.790] 都可以。
[08:40.180] 我们这个朋友完了
[08:41.760] 看看开展工作，如基本上都
[08:45.910] 刚才
[08:47.850] 的觉得
[08:51.050] 这一点
[09:00.230] 这款是荒废这块，中共才能看到上木板都磨磨摄影看看。
[09:05.760] 这些东西动感的话，它是办公的，不是这种对。
[09:10.840] 就是这种目标，他刚才的
[09:12.980] 亮光
[09:14.360] 这些是一样的，这是一致。
[09:17.020] 一样。
[09:21.480] 这些人一样的，
[09:23.560] 的。
[09:24.970] 不是这种它是黑色的亮光。
[09:28.570] 脸色这方面，
[09:33.610] 这里边谁知
[09:37.170] 奔驰党委都是采用怀挡的，正常班到最下边吹到地上头到达。
[09:41.890] 好弯道最下边是D挡，P挡在中间按一下就可以。
[09:54.030] 的
[09:55.440] 了。
[10:01.790] 我这边强调谁知
[10:04.700] 锅炉什么颜色的关系？
[10:07.280] 黑色那是那种备课作业，还要攻克作业。
[10:11.570] 黑色的。
[10:13.590] 有点
[10:15.160] 有点太垃圾
[10:17.200] 的。
[10:21.910] 管理对这个的话主副驾驶都是在手动腿部支撑的，就是烤肠同时避免咱们从一直掉得非常累，都可以炖出来的。
[10:30.670] 对平常不用被C回来。
[10:36.580] 超过调整不了，但是后来对于整个往前放，
[10:50.840] 三号行没有问题。
[10:56.910] 咱们这边走来
[10:58.520] 过。
[11:08.400] 有棱角的那是标的三三百。
[11:12.080] 冷点
[11:13.880] 跟
[11:15.280] 应该也是轿车的车型，我感觉两侧的踏板是吗？他
[11:20.760] 头发还没看到过。
[11:22.420] 不适用曲线的那种直来直去的那种
[11:25.710] 鲎罴就是那种斜坡下来的。
[11:28.120] 不配合。
[11:28.980] 进口的股票比这贵15块钱，
[11:31.860] 谁知
[11:33.760] 等你稍多我去拿过来的。
[11:49.600] 明白吗？
[11:52.350] 但是
[11:58.060] 这笔
[12:07.070] 对吧？
[12:08.040] 谁知
[12:15.050] 数据
[12:16.060] 远
[12:19.130] 数据
[12:21.640] 的
[12:26.270] 场
[12:28.410] 场
[12:30.360] 场
[12:31.550] 数据
[12:41.400] 对
[12:47.330] 的。
[12:55.480] 咱们这边购车全款还是分期？
[12:57.880] 分期是吧？
[12:58.960] 您是想首付比例多少呢？
[13:01.330] 你现在又怎么算？
[13:03.060] 40~60一半，两年是三年。
[13:06.960] 行好吧，你这一句多少了？那时候北京
[13:13.410] 最低是
[13:14.460] 多少？
[13:15.550] 最低的话是20%好像对，但是这个费用对智力不一样，算机率不一样。
[13:27.060] 给您算的话算供暖还是高配。
[13:29.680] 动不动晚上
[13:43.560] 黑车黑内饰的飞车，东风那时候都有前车之鉴。
[13:47.390] 这两个就是跟一样吗？
[13:51.060] 没有区别。
[13:52.670] 咱们这边指标的话是朋友的，
[13:55.590] 然后再电话信息流的是你们的。
[14:03.200] 数据
[14:05.430] 的
[14:07.990] 远场
[14:12.980] 走
[14:14.890] 的
[14:16.110] 数据
[14:17.360] 场。
[14:22.400] 那是你比较倾向于哪种？
[14:26.530] 红色。
[14:27.620] 黑色就是白色块肯定得多，我看您个人远行空着，这是
[14:37.200] 这种咖啡中他跟黑的看着差不多，从里边的话它就有点发
[14:46.280] 还没有数据，
[14:50.390] 谁知
[15:09.870] 的
[15:41.280] 句。
[16:18.450] 场。
[16:20.570] 数据
[16:27.550] 上
[16:30.920] 上车就是设计师都会提问，对贷款批了咱们可以组织。
[16:35.180] 你们负责。
[16:37.400] 工作日一般1~2天，
[16:39.470] 而且也不需要您提交什么跑什么手续的。
[16:42.640] 在创建一个微信群里边有咱们金融同事，然后您在里边他需要什么东西能给他发出来，他会编辑好友链接你点进去确认无误，直接
[16:52.450] 点确定需要什么数据，基本上就是正常身份证正反面，然后指标人的。
[16:57.020] 然后您房款人主要也是您还款是吧？审核您的资质，您的身份证这边。
[17:03.640] 非常简单，因为什么的？
[17:06.600] 银行这是跟厂家联网的，这是奔驰金融厂家自己的这种
[17:10.740] 要不然利息也不会这么低。
[17:13.240] 但这块谁知
[17:19.390] 老大一个条件你说
[17:25.830] 的
[17:28.640] 坏
[17:34.450] 数据。
[17:36.410] 坏数据。
[17:41.570] 的
[17:43.190] 3月
[17:52.120] 数据。
[17:56.630] 月。
[18:00.190] 场
[18:03.600] 数据
[18:04.600] 的
[18:08.850] 三。
[18:11.380] 对
[18:29.520] 上牌。
[18:30.560] 对。
[18:43.820] 给您看一下。
[18:45.230] 在报价之前再次给您宣读一下奔驰的服务公约。
[18:48.420] 咱们这边是邴兆客户为尊疑虑相待，诚信经营、合法得体，无法归纳公开透明，配件渠道、信息公示、购物车，绝不捆绑销售强制消费，
[18:56.920] 绝不使用家这个称号。400818188是咱们接到电话，
[19:00.710] 报价单也是最新版本，全国统一模板的报价单给您。
[19:04.690] 您介绍一下这边留的信息是郝先生您本人的，
[19:08.750] 然后手机号是1342607，然后这是3059是吧？然后lc260L动感，
[19:15.750] 咱们这款plc的入门网站
[19:18.390] 外观是黑色的，那事咱现在确定不了，然后这款车的指导价就公司价格那边有咱们的公示价格牌友稍后带您看一下。
[19:26.060] 394,800，平均一共45,000，优惠完了349,800，收是用咱们开票价除以11.3上下浮动的几毛钱就是整数，
[19:34.020] 三万零
[19:35.210] 956，然后验车的话电能购置税税交给国家的。
[19:41.510] 买车都有购置税。
[19:44.440] 咱们这边的店验车是2500块。
[19:46.400] 还包含咱们就是正常开完票之后办理保险办临牌，
[19:50.280] 然后工商验证交过税，然后去验车，全都。
[19:53.490] 包含了这边保险，像人保、平安、太平洋人寿选择哪家上什么险种，您自己说了算，第一年不管在哪上都是83折。
[20:01.100] 然后像咱们正常的话，也就是交强险车税，这是固定的，每年都一样的，
[20:06.600] 咱们也需要上也就是车损三者50或者100上不计免赔，
[20:10.880] 然后找不到第三方，一年200多块钱就搁楼下，人家给您剐了，蹭了他跑了这种
[20:15.790] 这种加起来也就。
[20:17.160] 20来块钱左右，然后。
[20:18.570] 一边的话精品选择性购买都可以，它里边包含上这种威固顶级的贴膜or记录仪，隐藏的这种
[20:25.860] 中共4S店，像后备箱脚垫这些是17,980，它也是一个套餐是这种。
[20:31.470] 你要是选择性购买，您有需要可以去给您问领导最低的能多少钱，
[20:36.260] 然后在当月开票，这是厂家政策，因为受疫情影响，咱们甭管这个车多少钱都会送给您，DAB两次保养，奔驰的保养不需要什么3000 5000之后5600一保养，
[20:48.690] 没必要，因为它的发动机亮相，我刚才给您介绍的它是自主研发的，
[20:52.660] 假如今天您开走车，过一年或者1万公里，哪个先到做A保，再过一年1万公里做B网。
[20:58.430] AB循环就可以了。
[20:59.800] 对。
[21:01.780] 一次是吧？AA一次B
[21:05.750] 就相当于两年的保险您不用花钱，什么费用都不用花的。
[21:09.280] 质量机油、机滤和机油三滤，
[21:27.250] 这就是垄断，把抛掉之后把这直接减去，可以跟这个没有关系。
[21:33.100] 然后这边的话咱们
[21:35.510] 分期的话就5034%万，9800的一半，174,900在174,900 36 7三年的
[21:43.080] 利率3.49，您每个月就是等额本息的旭晗晗利息的还了5100多块钱，
[21:49.440] 黄玉3.49对。
[21:51.450] 这是的三年3.4角，一年转换利率和1.2万2三年，
[21:57.170] 然后鼓芊124块1毛6，这是咱们的月环，就是您的本金加利息一共还那么多钱，还完三十六七，您的本金加利息都还完了，
[22:06.380] 待了174,900三年，总共利息9000多块钱。
[22:09.380] 一年合3000多。
[22:11.010] 1000平米，对，这比咱们甭甭管是银行或者个人信用贷都低太多了。
[22:19.240] 这简直资金45,000。
[22:23.260] 如果。
[22:24.390] 是全价的话是全款买的话是不是更跟没有关系？
[22:29.110] 奔驰的话就是往往全款或者分期跟车架是没有任何关系的。
[22:35.760] 的
[22:43.470] 75对大概70折合一年3000多，21期
[22:52.110] 23万左右。
[22:54.740] 5什么票是8235左右大数？
[22:58.500] 7724。
[23:03.900] 然后每个月
[23:06.880] 一
[23:17.700] 48期也一样，没有48期364三十六七或者是24期，
[23:28.030] 24期的利率一样，二十四七比它低一点
[23:32.000] 三。
[23:35.170] 第一个点2.49，
[23:39.680] 两年总共利息的话是4572，
[23:44.020] 明白吗？
[23:46.200] 但是客户保留一年和2000多了，那就更低了，跟没有利息没区别，而且奔驰
[23:52.690] 两天的话就月供就高点，对。
[23:57.030] 月供的话是7478块02分，
[24:02.720] 的
[24:07.120] 在这个价格是对您是什么时间购车，这是我的权限，随时对你有效，在网上就找领导问了。
[24:14.940] 对以。
[24:17.080] 订车的事，因为给您申请下来，其实您不订这价格也没有用，
[24:20.730] 可以跟领导去检查，将总价降都综合，既是看他去怎么去给您优惠了，往下
[24:28.150] 的这也没法给你保证，因为他就不停时间不停动，给你们刚刚
[24:33.750] 维护的顶级贴膜，就是玻璃除天窗四周围一圈全贴，然后
[24:38.540] 咱们的隐藏式行车记录仪，然后立体包围脚垫，后备箱垫这些。
[24:43.350] 对。
[24:46.010] 有所了解，大致的案子应该我没法给您规定一个范围，我说多了到时候达不到这么蒙您吗？
[24:54.510] 这得看领导了，而且根据您什么时间幅度定车他都不一样，厂家会定期给4S店政策，4S店去均衡，我是多让一些，还是说我保留原有的厂家给的政策我去卖？
[25:06.180] 这么说每年的话咱们谁知线的往上上升，因为奔驰就没降过价这么着。
[25:14.930] 自打一行开始之后，您看一点不带瞎子，我客户含置换补贴，今年10去年12月份用车，今年1月份提的，
[25:22.530] 综合优惠36,000综合优惠，
[25:24.590] 这是您光指标，一现金业务就45,000了。
[25:28.250] 谁知
[25:29.780] 现在满地都是就变成大街都是奔驰，
[25:33.760] 我就是在接待您之前，我刚接我那客户怎么说，人家也是第一次来，当天来他就定了，他说定的是个A
[25:40.560] 20多万，
[25:41.630] 定价那车26万多，优惠完21万多。
[25:47.410] 你想现在优势多少钱？以前A基本上一两万块钱优惠。
[25:57.430] 而且像那会儿在都匀也好，什么都说的，奔驰厂家一天赔4个亿，这不是开玩笑是真的。
[26:04.540] 因为他怎么说他把车生产出来，陆续生产线在生产，他北京奔驰就得装，它生产出来没人卖，他可不就往出陪，所以说只能放着价格把车卖出去。
[26:12.980] 对。
[26:17.550] 因为他不卖压在手里反而更赔钱，保险是要在这里上，对。
[26:26.110] 但上什么险种你自己说了算，
[26:32.410] 我们今天定不了，我回去考虑考虑有什么顾虑方面的吗？帮您分析。
[26:38.060] 因为主要是指标时间边上用人指标你协商一下是吧？
[26:44.780] 对，跟您确认一下，用朋友的指标的话，贷款的话它允许
[26:50.100] 的。
[26:51.120] 不是，但是指标人名下肯定会有记录，
[26:53.550] 所以贷款就会有记录。
[26:55.690] 对东莞市的代理用您的带他也会，因为它是指标人，他是什么记录？
[27:01.860] 对他人的这就是怎么他名下会有这笔贷款记录，但审核人还款人都是您
[27:06.810] 不管用什么银行都是这样，或者是除非做那种中行的借贷分离，但利息稍微高一点。
[27:12.940] 就银行没有明白，对。
[27:16.480] 完全的借贷分离，就是跟指标人没有任何关系，不能损耗，对。
[27:22.350] 您得先确定好了，就指标人对有没有什么异议，要不允许他不配合您也带不了。
[27:29.780] 我其实也不需要他配合什么指标人，身份证就可以
[27:35.590] 露面，就提车的时候露过面之后就不用他来了，身份证到就可以签个委托书，委托您办理所有手续，你有签字权就行。
[27:45.100] 您看对这报告单还有什么疑问吗？帮您解答一下。
[27:48.000] 基本上清楚了。
[27:49.520] 了，行没事，价格方面都好说，咱尤其是6日这种您可以回家考虑考虑，明天这边会给您打个回访电话，
[27:55.520] 跟您了解一下咱们车辆的情况，这些有什么需要的再随时给您解答，对。
[28:01.800] 您看是上午下午几点钟方便就打扰您休息一会。
[28:05.150] 好勒。
[28:06.230] 咱下边二维码邀请您扫描一下，对服务公约作为在线调研，没事回家扫都可以。
[28:12.690] 为好一会儿咱们先咱们尽快联系，好勒，谢谢您过去。
[28:19.590] 咱们这边的话今天它是下车，要到5:30他们就收了，等您下次过来给您安排试驾。
[29:03.550] 但是两个
[29:04.300] 通过一点，咱这边谁知
[29:06.900] 对猪周期去打车，你看您就会
[29:11.330] 没有特点，您开车吗？
[29:14.170] 是现在资源尽管对行，您拿出来扫描一下码，
[29:18.900] 拿微信扫一下，谁知
[29:22.220] 基本没有上网。
[29:25.060] 谁知
[29:27.280] 你在进行信号你知道吗？如果这个阶段都是这
[29:31.510] 不管关注
[29:36.200] 慢点您这边。
[29:38.550] 说。
[29:39.790] 我接完之后我知道了，
[29:45.000] 看到过去的事情的
[29:49.380] 事儿事儿的严重了，客户回家考虑考虑我说
[29:54.720] 说完你怎么谢谢我？
[29:57.080] 你起身就走，你说座椅五大经典后面打句号，
[30:01.940] 我早回来了。
[30:05.320] 组长不得发两个，
[30:10.040] 实际上我怎么没看到，
[30:13.100] 后来我看见了，
[30:15.320] 我这还抱着价，我想起来给你退回去了就算。
[30:25.840] 我这哆嗦，我
[30:27.340] 以前抱着二手流你知道吗？我说马上就发钱了，我报45,000，
[30:32.150] 这申请完45,000，我就怕我申请完是吧？不是经济学院算我。
[30:38.320] 不是这oc对。
[30:41.200] 20谁知。
[30:48.830] 我没刷墙，我说我这楼上楼下折腾完了，
[30:53.400] 尴尬了。
[31:00.060] 什么也不隔音，我操。
[31:04.000] 也就那会儿就要卖车子的，
[31:06.540] 送人家怎么什么都冲我这什么都没有，我这还交着车。
[31:12.020] 你真呢。
[31:12.870] 你不能到我这
[31:27.550] 用朋友指标，手机号13426073059，
[31:31.650] 优惠4万，
[31:33.630] 推荐买一批套餐，
[31:35.860] 店内验车保险，
[31:37.820] 黑车中那是或者配电室没确定。
