[00:01.160] 不对吗？
[03:49.910] 因为它的发动机和变速箱还有底盘安全配置都没有任何区别。
[03:55.780] 安全配置上，
[03:58.910] 对安全配置上，咱们这车带有一个
[04:02.500] 12探顶的雷达，就是这个雷达
[04:05.240] 有12个站点，这是所有配置都是一样的，然后车周围有大陆都有一个拿编制监测可以显示出来。
[04:14.260] 然后再有一个
[04:16.720] 主动制度补助，车辆行驶在马路上，也不能的显示在线已经
[04:22.990] 提示如果在近的话会在绩效安全地址发生在系统制度，
[04:27.910] 是一个非常好的规模安全不安全，
[04:32.110] 然后外观上都会有一个刺激揭穿，就是搜索收费一切都一样，所以说这款车市场要求高。
[04:38.800] 咱们坐在后面，我跟大学生穿，让他们
[04:42.040] 主要用这种
[04:43.040] 然后最主要的是它的里边的内事故处理，
[04:47.650] 那也适合花费都一样，到一个触屏式的业主导航和
[04:54.820] 路灯的水平是
[04:57.600] 非常高，罗曾多年都放，完了，总共有48 29万、39，
[05:03.930] 304,800，然后做一也是这么说的。
[05:07.750] 这座反过来再加热式的加热，
[05:11.390] 加热的话是不带的，座椅加热不带，
[05:15.310] 授予夹肉我你接着待，入门晚上不带了，不是你这个是什么入门版是啥？
[05:21.920] 这叫什么？
[05:23.140] 动感季S1L0动弹桃花呢？
[05:27.200] 陶华是带的。
[05:28.570] 对，黄骅市带的豪华多少钱，豪华的话比这贵了3万多块钱。
[05:35.270] 它主要是外观，谁知没关系，到时候我也可以看看这个地方，但是我们选中座椅加热了有很多个加入的东西。
[05:47.360] 除了自己加的其他配置，平常就在于说我们还有什么
[05:51.580] 比较常用的，您觉得比较有用。
[05:54.200] 倒车影像都有。
[05:57.800] 到车上现在被1GC
[06:01.510] 第三人自己装，可是我看新闻里说好像从7月1号以后再出的车就要
[06:09.200] 有请装etc，我还没到他们到了，因为
[06:15.070] 是条件比较高，但是你什么豪华版滑板也有，
[06:21.020] 豪华和她都插得什么？
[06:23.270] 差依次与加热，拍一个
[06:26.800] 内饰的氛围灯，他有一套没事。
[06:30.360] 什么地方？桃木那是的，对，但是实际上他的信念还是这块还高一些。
[06:37.940] 对。
[06:40.080] 你那款有现车吗？
[06:43.060] 也有蛋壳颜色，要不咱们做。
[06:45.610] 坐下说。
[06:47.190] 我问还有一个三，
[06:50.650] 还有一个36083米没有。
[06:53.350] 非常
[06:54.990] 300的话就是发动机的动力要更好了一些，
[06:59.270] 但是要看您说白了有没有实际作用，因为你动力好了
[07:05.480] 意味着什么？意味着油耗就高了。
[07:09.160] 但是他都是1.8T对吧？2.0T2点，对他都是20P没有区别。
[07:14.780] 都是点东西，但是它价格就上去了，对所以买车就是够用就行。
[07:20.590] 其实是那种说。
[07:25.460] 对，你要是说比如说您
[07:27.440] 您要是那种
[07:28.840] 年轻，然后开车忒运动，或者说男士那种就特喜欢这种动力，
[07:34.890] 我可能就推荐您30元，
[07:36.890] 但是说每个车都是用每个客户，他买一个性价比高一些，然后安全配置好，
[07:44.800] 就OK了，没必要说把让你买就更贵的那块。
[07:50.350] 你这个有没有说明书，你SE现在没有电子版的，不是没有纸质版的，都是电子版的的。
[07:57.730] 太小了是不得看是吧？但是看我介绍，因为这个东西
[08:03.400] 还是以介绍为主，因为他奔驰车的配置并没有太明显的区别。
[08:09.490] 然后车辆旁边有电子水阀，可以扫描二维码获得电子车书，然后那边有听见墙可以对比颜色，
[08:16.550] 我们看一下能有什么颜色。
[09:09.600] 您看一下。
[09:21.930] 我们去那边电脑不敢打开。
[09:26.950] 这边
[10:23.720] 平常这车能跑的多吗？
[10:26.170] 一年也就1万多，属于正常也不太多。
[10:32.860] 一年1万多。
[10:34.350] 上上下班还是
[10:37.490] 是吧？
[10:39.200] 谁知
[10:41.460] 在不在这儿现状吗？
[10:46.180] 向上新浪您像配置的你刚看的
[10:52.670] 基本上有黑的、白的灰的，
[10:55.410] 您说的灰都有，
[10:57.880] 但是她自己加热都没有了，然后
[11:00.960] 看一下高配了。
[11:02.910] 肯定要电加热，没电加热不行，
[11:06.800] 这是最起码的。
[11:12.320] 在电加热的那款车也有黑的
[11:15.830] 那些山车
[11:17.200] 黝黑的，
[11:18.860] 而且还增配了
[11:21.260] 盲点辅助，
[11:22.680] 什么盲点辅助？
[11:25.040] 不网点，
[11:27.920] 网点就是说在着反光镜上有一个小三角，
[11:31.940] 如果后边来车的话，
[11:33.740] 它会有一个局势辅助其实挺好，贵了4000块钱。
[11:39.180] 等于是你说的是对豪华快。
[11:44.790] 对，这块是有什么的，有
[11:48.450] 有错的黑色的。
[11:53.250] 黑色就是豪华版和你说的动感版，一个是插电加热，一个是差你刚说的
[12:00.740] 他电加热，然后他内饰的一个氛围灯，
[12:05.040] 还有一个桃木内饰，
[12:07.110] 什么电视，唐栋那是，然后差一个轮毂要比这大一圈。
[12:12.700] 大队然后外观有点不一样，外观是那种
[12:17.040] 那种散乱落山就星星点点的那种过山车。
[12:20.650] 我还是想
[12:24.430] 豪华的
[12:26.320] 乡镇豪华版是吧？没关系，咱们就以豪华版为主，可以给您做推荐就行。
[12:31.530] 因为我觉得这个是不用鉴定行，反正像您来说开黑色也应该是最理想的一个选择。
[12:38.260] 黑色的车。
[12:40.300] 对，你这样行吗？你给我做个了断。
[12:43.610] 报价型车试驾这边有需要吗？我想试驾一下，要不咱们先试一下，因为
[12:50.810] 如果说都外观也满意了，车也有，然后都觉得还可以，咱们再做报价的时候，您
[12:58.250] 咱们就可以深入的看一下，对吧？
[13:01.320] 要不您现在做完报价，
[13:03.140] 您这边也没想好到底这个车合适不合适，要不咱们先试一下，那就。
[13:08.350] 您把本给我就行，我给你办
[13:11.530] 数据。
[13:29.280] 行，我这边办理大概需要5分钟，您可以上喝口水。
[13:35.050] 5分钟。
[14:42.120] 了
[14:45.990] 了
[14:49.450] 的
[14:52.060] 的
[14:56.040] 咱们也算
[14:57.180] 谁知
[14:59.990] 你有压力，
[15:09.450] 作业我一般没
[15:11.720] 后面。
[15:12.700] 行
[15:17.160] 的。
[15:24.360] 9
[15:28.450] 说
[15:33.790] 3800
[15:34.740] 商量建立了。
[15:37.040] 你先动我动物上面。
[15:40.260] 现在
[15:43.690] 谁知
[15:46.520] 更简单得真结合，不是不上线，后来说跟没有确定吗？
[15:50.590] 这真是没问题，比较好，就八卦问题放心，我不这样说
[15:59.730] 了。
[16:06.900] 高主任就自己回来。
[16:21.480] 明天。
[16:23.300] 要来的话您先研究一下，周末的话人比较多。
[16:26.820] 对我这个报价反正那一点行好勒好好明见可以。
[16:34.160] 好了一点到34万多。
[16:38.450] 这车市场拿回去，另外买了一个。
[16:44.200] 没迟到。
[16:45.780] 18万多。
[16:49.760] 买实验对。
[16:52.120] 但是讨厌的那种
[16:53.880] 还有发展的很多话的，
[16:58.990] 然后在
[17:00.430] 还有跟不一样。
[17:02.240] 家庭也可以，其实虽然说资金可能
[17:05.950] 这个司机卖多少个这几。
[17:10.240] 反正这个价位的
[17:13.810] 三个老师，
[17:45.990] 然后前后洪水到略微有差别吗？差异。
[17:49.330] 我还是先给您算价格，因为他试驾车前面有俩排队的，他排完队的话我们才能
[17:57.710] 我在听他介绍什么300和260的300的主要就是动力要更大一些，然后他多了也没有多其它什么东西，多了一个无量记录，
[18:10.570] 但是
[18:12.190] 没必要为了以后不要用去怎么着。
[18:15.360] 咱们坐那边我给你算一下，然后就是那种。
[18:19.030] 对，主要就是动力一个百公里加速。
[18:22.040] 8秒260，然后300的话就是6秒。
[18:25.580] 情况就跟一样的，可能豪华是一样的。
[18:41.200] 您坐上了我去
[18:42.560] 能打能863，咱们先算一下，你这样你给我打一个
[18:47.890] 260的豪华，
[18:50.700] 一个3300的
[18:54.740] 360第一点的是动感，
[18:58.380] 我比较一下，
[19:02.410] 你好。
[20:04.310] 我给你煮算一个二轮的豪华，然后背面给您算一个300的重感冒。
[20:09.530] 我们没有再打一个三等的。
[20:11.930] 不，他
[20:13.810] 干都是手写的。
[20:16.570] 您算算哪个都是其实还是最后我给您算出来。
[20:23.050] 好
[20:24.760] 的。
[20:25.800] 是不是？
[20:34.800] 行
[20:36.410] 的。
[20:40.770] 的
[20:50.860] 的
[21:44.630] 今天
[21:45.560] 有什么吗？
[21:46.810] 活动会大一些，就是说白了他不会明面上没写，可能又会得到多少钱。
[21:53.880] 他在您最后一下申请的那一下，
[21:57.390] 比如说我今天就要定那好，没关系，我跟你去申请这一下，他申请力度要多，
[22:03.670] 大家就挺大的，几千块钱。
[22:48.470] 您等于是置换是吧？
[23:17.960] 您要是分期的话，您会考虑首付百分之多少？
[23:22.410] 平面合适。
[23:24.140] 50%最合适一些。
[23:27.280] 按百分之50%是吧？对。
[23:30.460] 分期有什么好的问题，首先就是您的不收您手续费对吧？你等于是一分钱，店内的钱不用多交，第二车利息很低，
[23:40.910] 基本上在一个多点，咱们把同样的钱存到银行可能还得两两个到三个点，
[23:47.300] 您有一个正向的收益就肯定一点手续。
[23:51.310] 对，肯定一点。
[23:54.990] 实现手续费不收指的是
[23:58.580] 手续费是咱们县自己收入的银行给
[24:01.250] 低利润的，他等于是咱自己的金融公司它是有贴息的。
[24:08.530] 奔驰自己的金融公司给您的这么低，你看银行都得到三点多个点，
[24:17.260] 他出于什么目的，他肯定还是想把这台车卖出去，在市场上购一个更大的竞争力。
[24:24.170] 尤其是在E情运行当下他可能碰碰，为什么？
[24:29.600] 没有疫情，去年有这个游戏吗？
[24:32.390] 去年利率就高了两个多点，它虽然也很低，但是她没有今年D
[24:42.210] 你们这车受疫情影响，
[24:45.120] 怎么说您223月份三四月份肯定有影响，但14月其实1~4月几乎没想到5月就反而同比比去年还要多，受销售的。
[26:11.670] 你5%
[26:13.000] 你们是不是还得要
[26:14.440] 剩下57%。
[26:16.350] 对，分两年或者三年。
[26:18.840] 两年的
[26:20.200] 和三年以上
[26:22.170] 战争
[26:23.170] 差0.5个点，
[26:26.450] 你就晚点了。
[26:29.020] 行。
[27:25.220] 您这边考虑待两年还是在三年？
[27:29.390] 两年是吧？
[27:33.050] 月供稍微高点，没事。
[27:35.030] 咱历史更低，说两年是多少长时间？
[27:39.180] 两年应该是一我记着一块1.57，然后我们计算器维护，我问问
[27:46.060] 是吧？
[27:47.650] GLC50两年的是多少钱多少粒，
[27:53.620] 还有有一个QQ号他也在吗？
[27:56.070] 816120。
[27:59.420] 行好的。
[28:03.370] 恩
[28:09.920] 行行。
[28:12.830] 可以，
[28:40.730] 交C的260，然后两年连本带息一块还利率是多少？
[28:54.580] 棉花2.49是吧？
[28:57.090] 一
[28:58.360] 一
[29:00.770] 对。
[29:07.150] 378853788% 50%。
[29:11.520] 收到。
[29:21.500] 谁叫李柏拴，谁叫李云川？
[29:23.530] 对两年。
[29:24.910] 您谁知
[29:32.310] 谁叫李彭川？谁叫临川？
[29:38.640] 今年的。
[29:53.120] 对。
[29:54.350] 还有一个3交C300 4098，你在如果按这个方案来算一下行吗？
[30:02.630] 对是开票19，然后方案一样。
[30:17.990] 对。
[31:00.990] 两年就是24期，它分24个月还
[31:04.400] 1.57。
[31:09.310] 那三年的
[31:11.460] 三年应该是2.09。
[31:13.520] 应该是二。
[31:23.010] 这个可以提前
[31:24.860] 提前还你得付一个剩余本金的3%的违约金，
[31:29.240] 不建议体验，还因为一共两年就开始放假了。
[31:33.640] 对
[31:34.820] 的。
[31:38.360] 的。
[31:39.440] 它不像防范提前还掉好这个时间对
[31:44.850] 房贷的是可以。
[31:54.920] 您看一下可能造完了，都安排劳务行为结束通道销售强制消费这部分价格已经很好，
[32:01.240] 这是咱们全国统一的报价单，所有的
[32:05.200] 店的报价都是一样的，保单都是一样的，然后上面的费用都公司价格手册可以在那看一看。
[32:11.450] 48。
[32:12.870] 对，422,800。
[32:15.130] 你先给我写上这是什么型号的，320。
[32:19.720] 回去我就忘
[32:23.210] 了那是什么？
[32:25.610] 豪华的，对。
[32:27.770] 然后只要这三板的
[32:35.640] 动感是它的最低配。
[32:38.090] 对，但是您300栋斓肯定是不会低于GLC2人哗哗的一个配置。
[32:45.520] 对然后自杀很多优惠完了378,800，
[32:49.070] 或者是剪三次，
[32:51.540] 购置税33,000，然后验车费是2500，
[32:55.470] 保险的话这个车全险大概12,000左右，但是你要置换会补贴你6000块钱保险，
[33:01.430] 就是说用6000块钱拿去
[33:03.360] 上保险，
[33:05.040] 您旧车置换
[33:06.690] 这边会奖励16,000块钱的补贴，这与保险一致。
[33:11.060] 就是说我去用到保险，对，然后您就似乎6000就行，这样您全算上出票，这车就拿
[33:18.250] 了42万，然后如果要分期在189,000，也就是说19万
[33:23.530] 是吧？不是5%。
[33:25.300] 对它的50%开票价5%，对508。
[33:29.840] 24期，然后189,400，一共两年一共是4900块钱，
[33:36.210] 有一年2500块钱，
[33:38.180] 就是1.57个点，
[33:42.070] 然后每个月连本带息还8097，对，然后这样的话首付是23万，
[33:49.990] 就是利息非常低，而且没有手续费。
[33:53.980] 然后这边300 300的话，它的算法的结构都是一样的，最后加了45万多，
[34:00.950] 因为车价贵了，保险柜了一点，像现在45，那42差了
[34:06.790] 35,000。
[34:08.190] 对您觉得不合适。
[34:10.020] 如果贷款的话就是20，
[34:12.430] 他4098这一半2049，
[34:16.580] 利息其实到差不多，因为他都点位很低，你没差差不了多少钱，5300多一共8700多。
[34:24.010] 然后首付25号，反正建议您L60豪华和动感力选更合适一些，但是最终还是看您个人像2608下边二维码是扫描，那时候就不应该有个评价。
[34:39.270] 我就说这个二维码对服务公约有一个评价，对，然后
[34:45.430] 对您看您这价位上还有什么
[34:48.270] 提问吗？是不是建立的第一个就是说你的
[34:53.830] 你有什么对装饰什么的？
[34:56.440] 装是这样，装是的话咱们这有套餐，
[34:59.780] 然后是比较优惠，完了都是比较合适的。
[35:03.020] 基本上您包含了贴膜，
[35:05.390] 行车记录仪、
[35:06.980] 宜脚垫、
[35:08.010] 后备箱垫，
[35:09.080] 这几样东西基本上在1万多块钱。
[35:11.800] 多少？如果是这几样的话，贴膜咱们用那个好了，是在
[35:18.370] 1万14,800。
[35:20.630] 8万多。
[35:21.560] 对，14,800，但是如果说您要做这东西，
[35:25.970] 咱们那边实际上您最后花
[35:28.900] 您不是加了14,800，您是可能也就贵了1万左右，因为您做装饰里头是有利润，
[35:36.030] 我们可以把这利润拿出来，再放在您的车价上给您补贴，比如您做14,800装饰，我要补贴您3000块钱保险，
[35:43.110] 基本上就相当于您花了1万块钱来做，为什么都
[35:47.070] 非得要这样？您干嘛不就是说给我实惠的多少钱非得要那么高，这是为什么？
[35:53.370] 用一就是这些东西这桩事比如说1234样，咱们就简写一共4样东西，假如
[36:00.410] 他确实就值了14,800，就是因为
[36:05.890] 他有8800的套餐，8800套餐可能贴膜就是一个国产品牌，但您14,800的套餐它贴膜它就是威固的一个
[36:14.730] 顶级品牌。
[36:16.190] 所以说您比如说我要得到顶级品牌，我必须得买到这个价位的约炮，但是这实际上已经是打完折的价钱了。
[36:25.010] 对，但是您做这个就是我花了14,800，你再打折我肯定要有利润，就是这个单位肯定有利润，
[36:31.990] 比如说我有6000块钱利润，将近一半装饰利润，
[36:36.080] 6000块钱利润以后，我可以把这6000块钱利润给我拿出3000块钱就有我精品部
[36:41.730] 来给您贴进来。
[36:44.430] 所以说他就是说您做他连带着可能这边能贴近一个3000块钱保险。
[36:50.640] 对，它是简单这保险。
[36:53.440] 对，但是您得到的东西就是14,800的东西，你比如说14,800之后，最后我给您优惠完了，
[36:59.950] 9800块钱，您记住您买的东西就是9800的东西，不是14,800的东西，可是饲料区别的什么？
[37:07.350] 一个是贴门对魔，然后您要分清品牌模式，微裤子，然后行车记录仪，
[37:15.410] 行车记录仪也是一个非常好的，咱们这都是隐藏式的。
[37:21.410] 然后剩下这两样东西就是比较常见的大包围脚垫，
[37:26.360] 还有后备箱垫，
[37:31.240] 后备箱，
[37:32.640] 这样就是这些东西
[37:34.900] 了，别的也就没了，首先咱们现在都不建议您改电子配置，所以说
[37:41.370] 能花这钱我们这也不做，我们也不去推荐，你不像原来买错时，
[37:46.810] 原来买车就是我让您给5万块钱装饰开好了，但是现在已经不是那个时代了。
[37:52.210] 这大包围的第二就是整个包对。
[37:55.560] 现在我看他都有好多事，比如说座子上脚垫脚尖可以拿掉。
[38:04.030] 对是可以拿掉。
[38:05.600] 肯定是那样，娘大包围，不就整个衣服不
[38:08.860] 大包容，他也是分开包围的。
[38:13.530] 用的是什么？
[38:16.340] 材质。
[38:17.620] 材质它肯定不会差，因为你要用pa等于把这车的品牌降低了，你既然花到这些钱了对吧？14,800下一档就是3800点。
[38:25.870] 对有8800的，但是8800就不符合这个品牌的东西了，
[38:30.900] 它只是
[38:32.120] 告诉您我有低价的东西，您不要说一味的去追求低价，就是这意思，因为
[38:45.550] 对，我见你俩就等于选一款，如果说您实在说我就想要300，咱们再买三买，但是
[38:51.730] 260完全足够用，就是它的动力形式，一会咱们不就是假，我想看一眼自驾车来没来，您在这儿先看一眼一下子。
[38:59.930] 这里面
[39:02.250] 的
[39:23.970] 采的时候
[39:29.820] 外边
[39:30.640] 钥匙。
[39:32.410] 你还没去。
[39:35.380] 我看你都已经开了，怎么没人了，是我拍的吗？不是宣扬。
[39:40.910] 让我来完张过来钥匙
[39:44.040] 这么拍了，要是不是你拿的吗？过亮哥你试驾了吗？我能有这样。
[39:50.180] 在黑莓粉。
[39:51.590] 你要刚回来，
[39:54.230] 我这不好。
[39:57.990] 老师也好不了。
[40:00.040] 这手术看房理解，
[40:01.840] 别人介绍的。
[40:03.370] 再找一下。
[40:14.550] 行。
[40:24.760] 您这块
[40:26.930] 反正正好回了。
[40:31.450] 你给我标一下的300的，
[40:35.360] 这叫什么？录音室。
[40:39.400] 咱们动力
[40:41.010] 你是多少瓦的？
[40:43.060] 那是190千瓦，190。
[40:47.410] 动力
[40:49.210] 这个
[40:51.720] 这个动力是145千瓦，没差什么没事是吗？肯定没事，对。
[40:58.890] 到时候再试一下你就知道了。
[41:02.350] 结果前面
[41:06.760] 您天籁二点几的？
[41:10.200] 2050。
[41:12.120] 那是6张。
[41:13.880] 6刚那个是吧？
[41:15.190] 六刚天亮他是挺经典的，但是如果说您要从动力爆发的动力书上来说，它没有这个车。
[41:23.480] 对我爆发的，
[41:25.880] 他肯定就是静音。
[41:27.820] 走起来没问题。
[41:29.680] 但是费油
[41:31.940] 还行。
[41:33.230] 你先说你这个油收到
[41:37.030] 发了多久？
[41:38.990] 有那么少吗？
[41:40.400] 肯定很少。
[41:41.590] 不是昨天市区堵车什么的，加上
[41:44.400] 那就是8~9个楼。
[41:46.060] 你说什么？
[41:48.430] 8~9个油。
[41:53.520] 我现在在
[41:55.220] 10~10一十一一般的总结的对，您要稍微读点，应该分成12。
[42:01.540] 4000万。
[42:06.110] 反正我走了这么多年的油耗都是在11:00 11.4，
[42:11.440] 你们那电子表显示的是1.48万。
[42:15.030] 要算的是吧？
[42:16.470] One那
[42:18.470] 每年的加的油和公里数。
[42:29.360] 您说一下您刚才留的手机号1366136613
[42:34.220] 01320235。
[42:36.000] 235。
[42:49.880] 对了，你要在这个上面
[42:52.100] 你就说还能优惠经历年是吧？
[42:54.930] 对，您看您
[42:56.860] 到时候今天不定或者说怎么样了，肯定是订了具体的
[43:02.920] 等于
[43:05.070] 就没有别的再有什么了。
[43:08.160] 都有，但是最终就看您订完什么地方。
[43:12.710] 你得跟我说了，有吸引我的照片，不然我吸引您就借您的第二就是现金。
[43:19.240] 谢谢。
[43:28.570] 对吧？就是说我确实准备订，咱们按照您定了就没救了。
[43:35.230] 能得多少还，当然可以评估一下，对。
[43:37.920] 一会给我听一下，我看看。
[43:39.960] 您那车有个什么物品吗？
[43:41.960] 没有的话您就把钥匙给我们评估师，然后咱们就该书架书架，然后他
[43:48.050] 他不会动您的车，他就叫静态评估。
[43:50.920] 有帽子。
[43:52.040] 还是又了，那就一会您回来也行。
[43:55.120] 可以了。
[43:56.720] 你再签个字是不是说不要出现事故，交通违章，个人的责任需要个人承担。
[44:02.100] 这是咱们试用试驾协议，其实开你这个车还真有点担心，为什么他跟我的没事，我先给您让您熟悉，
[44:10.440] 我会跟您一块去还在这签名字，
[44:13.420] 是吧？他胆子我还真
[44:15.680] 看完我
[44:16.900] 又觉着
[44:18.650] 我们用两次你就该洗完他就到了。
[44:22.720] 凡是
[44:24.130] 用完了以后了，
[44:39.430] 能开到马路上？
[44:40.940] 可以。
[44:42.330] 明天
[44:57.390] 找不到吗？
[45:00.050] 睡觉时提供矿泉水，这边有项目。
[45:03.440] 谁知
[45:05.020] 行。
[45:06.590] 狼回来了，他还是玻璃杯都算。
[45:16.080] 学生的
[45:17.440] 楼下房贷暑假
[45:24.510] 非要三
[45:49.330] 260的前脸就是这种叫神传是隔山打牛，
[45:53.840] 实际上跟那低配是不一样的，然后轮毂要大一些，
[45:58.400] 然后您就上副驾驶。
[46:08.130] 我就是喜欢的。
[46:09.280] 刚果金又不晓得。
[46:13.350] 对，龙骨带点好看一些。
[46:16.510] 没错。
[46:19.560] 其实这个并不高。
[46:22.400] 他本身他也不是说那种多高的，
[46:26.360] 汉人跟什么车比，他跟他的级别也就算大了。
[46:31.220] 我觉得他不大其实。
[46:33.500] 是他就是在这个级别里，你比如说
[46:37.400] 你要拿它跟说同样四川，比如说买一个
[46:41.900] 终端品牌的肯定要比他大，但是他这个级别里就是什么？
[46:47.280] 差三丫Q5什么叉C60，
[46:50.400] 这些车里他是大的，Q5大他肯定比课本大的，我觉得所谓的大一两两三公分，
[46:58.120] 然后对奔驰的座椅都是从这条
[47:01.830] 往后往前，然后往上往下泡。
[47:05.890] 对都在这，然后方向把档位就跟您说的，她是怀档式设计，
[47:11.510] 踩住刹车往下倒的投，这就是地道都有显示。
[47:15.650] 对，试一下。
[47:17.850] 是我就是说特别不喜欢，而且它是往下要，咱想的过去我得等都是往前推。
[47:25.370] A但是他这有图标，您做网上你都看见了，他有图标，
[47:30.280] 适应的。
[47:33.310] 然后奔驰车的这个就是冰箱是9速的，是所这些同级的所有品牌里，它的导函数是最多的，
[47:42.610] 等于数多意味着什么？第一就是省油，第二就是舒服平顺一些。
[47:48.920] 然后内饰的打造奔驰他是做的最好的，他偏重于内饰的豪华什么和细节精细。
[47:59.270] 这是做工很细，保养贵吗？
[48:02.560] 保养的话基本上一次的话也就在1000块钱上下，低保对象
[48:08.820] 它主要是A宝因为保养都分为老婆，B的话
[48:15.000] 一年收一次或者是1万公里是
[48:19.080] 对，天津。
[48:21.660] 咚咚咚。
[48:22.560] 一年或者1万对。
[48:35.970] 然后它的减震也是因为本身也非常舒适，所以人家也可以根据
[48:41.900] 路况的变化，自己会变化，如果路面颠波的话就会放软一些专家通过线。
[48:48.070] 内饰的话再有一个64种颜色的内饰氛围，灯在晚上开车的时候实际上是非常好看，
[48:55.050] 对一下就能区别出和其他车的一个档次区别。
[49:00.240] 为什么好多客户一看到奔驰，就是光从内饰上来说，就把
[49:05.200] 什么类似于宝马之类的车pass掉，因为那是怎么麻烦了。
[49:10.590] 我就没想到房屋
[49:13.780] 对每个车美车的优点，买宝马的客户更多倾向于就是它的动力和操控，
[49:19.510] 然后再买奔驰就更多青睐于它的打击，还有好看。
[49:23.080] 奥巴马的动力更强，对宝马的动力其实要更强一些。
[49:27.240] 我就没有心就开始我就是想在
[49:30.260] 跳舞和
[49:31.740] 这个里面，但是Q实际上和奥迪和奔驰它已经形不成这种对比了。
[49:39.310] 奥迪因为他罗马从你的家为儿童的品牌力都是要低一点，
[49:46.470] 咱们这换一下。
[49:54.170] 然后开门慢点。
[50:13.390] 我坐着。
[50:14.540] 我给他调一下，对Java有了，先把他的收入了，
[50:24.760] 高低走了，我看看能不能调到最高，可以。
[50:33.370] 往前调是往前推，不是推刚下班。
[50:40.720] 着
[50:46.570] 这个过程
[50:55.610] 他自己就把你给对，他是量一下您的
[51:00.940] 体型，然后再出现极端事故情况下，他不会微商，然后现在底下没有，我踩着刹车对吗？有。
[51:09.170] 踩刹车，哪个？这是您的车，这是刹车。
[51:13.770] 然后这个是。
[51:15.960] 油门我现在踩住刹车，瓜达专门听外边的踩刹车我老吗？
[51:21.360] 往下弄。
[51:22.880] OK，比如说你要想到穿到哪儿网上down。
[51:28.280] 时间。
[51:29.760] 对A等于就这两条。
[51:35.320] 还有什么？比如说
[51:38.300] 不是比如说我要下坡什么的，我想上坡爬坡，我要打那个叫什么，
[51:43.740] 因为我那个车里就有就朋友，比如我下地库，我每次都打专门有一个
[51:52.120] 这个车不用对你就正常D咱就OK了，因为它是四驱的。
[51:58.540] 是实时四驱还是全时前14，
[52:03.160] 他一直死去，往往外病实际上注意后边有好多车，我现在这样的。
[52:10.790] 然后你双倍在哪方面呢？
[52:14.890] 然后转向灯什么都是一样的，你的雨刮器在哪儿？因为咱们记在这边上撞上就可以了。
[52:21.920] 因为咱们别来，对，谁知到我这刹车就走上，他自动就解除了。
[52:35.830] 元。
[52:36.540] 你看上就好。
[52:40.670] 第一次。
[52:54.010] 然后这边还有一个驾驶模式的时候，
[52:56.270] 比如说你要是觉得动力，
[52:58.380] 我让他强点，运动增强，
