[00:00.290] 24尽量。
[05:41.110] 价格不能再降了。
[05:42.940] 目前我给您算的就是说已经最低的优惠，如果你要是觉得合适的话，我可以像二手车这边，
[05:49.250] 包括以及后期就额外的，因为我们今天也可以抽奖，包括抽奖的话里面也含一些。
[05:55.690] 希望保有，我说实话，我不想这么早就定，我还是想看看咱们没问题，就是说。
[06:01.360] 您要是觉得可以的话，到时候下次。
[06:03.260] 来我要买，我想在你们这买了，因为离得比较近。
[06:08.480] 但隔壁我们园区里就有奥迪。
[06:11.820] 没去那没看过去，没错。
[06:15.510] 反正基本上像您选择SUV7座的话，在这个价位确实没有几款车可以对比。
[06:22.920] 我们隔壁就是我原来我刚才跟聊别的，我想霸道知道吗？事实上说了。
[06:28.050] 就没有了，上的停产了，价位也差不多，就买到跟也差不多，所以说我原来喜欢想一直想买霸道，
[06:37.390] 但没有了。
[06:38.620] 霸道的保值率各种。
[06:41.820] 还是要比其他的车就什么车都比不过，什么车都比不过，您说把奔驰开过来也不行，对。
[06:51.590] 但是好车他不知道卖了。
[06:53.360] 没办法，为什么他就。
[06:55.800] 中国不让干，别的都能买，因为虢国。
[06:58.630] 对，日本它。
[07:00.540] 你不能提一下谁知道的，
[07:04.050] 没准人国外就不想提提了，那就不是霸道了。
[07:07.880] 对吧？
[07:09.230] 一下就可以排量减少了，那就和原来肯定不一样。
[07:13.620] Nana也发了最后一台倒不是是坐飞机给拉走了吗？
[07:20.020] 我听过一看看小霸道他就
[07:24.030] 开了五六年了，还能卖出原来买的。
[07:27.820] 呵呵。
[07:28.940] 假如买10 30卖了也算是。
[07:31.100] 对，现在卖还是什么？
[07:33.970] 不是宝石的。
[07:35.350] 到去年说天津港平均进口车，
[07:40.640] 然后圈定了
[07:42.210] 反正到车到了以后，人家5万买了辆就500块钱赚5万。
[07:52.610] 你们帮我看看水车被了。
[07:54.730] 我大概知道什么，咱没必要一下子就行，不用太细致了给您看，要不车子齐大概起我大概有一个概念。
[08:05.790] 我不知道能挣多少钱现在。
[08:10.660] 我叫他一下。
[08:18.520] 然后这几款车都看好了，有问题到时候随时电话。
[08:21.700] 马哥帮我看看车。
[08:28.370] 行，我展厅门口等你。
[08:31.590] 好勒。
[08:39.540] 我看过。
[08:42.170] 我还不满去年
[08:45.630] 3490，
[08:47.420] 这样的事不用了，不行，不是在里面。
[08:53.560] 2016年
[08:54.670] 把刚刚
[08:58.310] 这就叫。
[09:12.600] 稍等一下。
[09:13.680] 他跟我说意思现在很多挺直的，咱们实话实说，就是说SES长期90，
[09:20.360] 他都
[09:22.570] 现在确实高了，
[09:24.960] 纯进口的7座SUV办齐了不到60万，
[09:31.320] 为什么关税多少钱？
[09:33.290] 不睡贵关税贵了是吧？你在国外这也没多少钱了，
[09:39.130] 那没办法，中国都这样，你
[09:41.510] 你看国家收购置税还剩多少钱呢？
[09:45.760] 10万的车收11万多的税，
[09:48.980] 您这50多万的车他得超过4万，估计
[09:52.560] 关税的30%左右规则可能都不止。
[10:07.870] 燕在模。
[10:09.520] 这颜色看
[10:11.580] 我自己不是特别后来就不太不怎么爱护了。
[10:15.270] 喝、
[10:17.550] 刚买的车都是
[10:29.610] 还有
[10:30.330] 朋友说的是。
[10:32.000] 对，他说给别人看这车马上过来。
[10:35.670] 你可以给你带回去。
[11:43.030] 要不哥您屋里坐着歇会儿，外面热，等他过来我去叫你去好了不聊了。
[12:16.450] 接着客户
[12:21.300] 来让我们师傅给您大概的看一下，因为
[12:24.360] 也不是今天换了，咱们整体先给您看看，对，之前大概快点。
[12:29.100] 车在这。
[12:32.690] 12年14万公里，
[12:36.230] 我可要什么？
[12:40.450] 反正是1.8T
[12:42.800] 207 2.07的是吧？
[12:49.960] 视角女子。
[12:51.080] 对不对？不会让你落你车上了。
[12:55.770] 不会我看一下。
[13:08.290] 完了还得捎上吗？
[13:10.110] 反正萧一教授。
[13:11.510] 了。
[13:12.230] 夏天套装让你看看做了。
[13:31.110] 香蕉你个都看不到了。
[13:35.320] 收到
[14:11.440] 篇稿件稿件才能够着
[14:26.240] 没有。
[14:27.000] 没有，在您爱人上面没应该没有，你看看。
[14:33.350] 我看你进来的时候我应该都放兜里了是吧？
[14:37.030] 肯定锁上了我这边
[14:39.030] 我要是
[14:41.030] 放在
[14:42.640] 洗衣服放在洗衣机里。
[14:44.260] 了，我带了一个别人就不用了，没有电了。
[14:49.460] 你是在这把钥匙来。
[14:51.690] 还有
[14:52.950] 这个没用。
[14:55.830] 的。
[15:06.310] 再看看奥迪，
[15:09.090] 等他
[15:13.720] 真的。
[15:14.460] 没在这，要是什么
[15:18.670] 卡特那钥匙找不到了，
[15:22.620] 看看
[15:25.150] 10天之内买车，但是他没想好买哪个。
[15:28.640] 跟对于奥迪吗？对喂你好，天天您到哪了？
[15:34.250] 今天没买，我也不去别的店就算了。
[15:38.170] 真的说实话，但是我没看好什么车喜欢人家，
[15:41.840] 但是我要卖的我就是想在
[15:44.480] 几天就把这事给办定。
[15:47.590] 前天来了今天就过来了。
[15:50.090] 对。
[15:51.830] 来之前给我打电话说要试驾。
[16:01.670] 毕竟我脸上抹那玩意
[16:03.930] 都是酒精啥的，出两出汗，酒精对皮肤不好，对。
[16:09.060] 说我这皮肤的真的吗？
[16:12.150] 毛孔变大吗？
[16:20.230] 但他汽车里看没有。
[16:23.080] 行没问题，您看看现在就把钥匙就放不大了，关键等不了。
[16:28.600] 对，那还真走不了了。
[16:32.770] 但是对方用一下您的行李走了。
[16:37.240] 你看看怎么着现在。
[17:00.090] 没带没事没带吧。
[17:02.240] 对，下次再说。
[17:03.480] 没事儿，没带可能就出不了稳健，我只是跟您说一大概是吧？
[17:11.350] 你俩现在
[17:14.220] 你不看
[17:19.390] 那票送一袋的，谁知
[17:22.530] 手机手里的话
[17:24.990] 不是叉C60换成C60
[17:27.420] 或者96
[17:28.620] 3760换成C90。
[17:32.440] 我遇见过一个叉C90后叉C90，
[17:35.710] 上个月
[17:37.040] 3696去年才不是老款的叉C90换新款的全是酒店，
[17:43.280] 也是14年的车，
[17:47.490] 还是个女司机，
[17:48.940] 就院开大车，小车都不
[17:59.910] 抄C60开咱们置换来了。
[18:02.620] 哪年？
[18:10.960] 来我指标我都收上去。
[18:12.490] 对。
[18:15.710] 真的没准我9月份出口指标，
[18:18.770] 到时候
[18:35.510] 我有复印件。
[18:37.930] 我要首先您先给您给我打打没事吧？
[18:40.640] 行，别。
[18:41.900] 怎么样了？
[18:42.590] 你把这点电你跟你说大概说一下，因为正常出证的可能需要全到手，
[18:48.180] 然后可能还需要等待40分钟左右，我跟您说一大概的年头的车，一般情况下市场成交价6~7万块钱，
[18:55.680] 这一块，然后我感觉因为您是2.0T的，然后我觉得应该不超766万多块钱6万，对大概是这样。
[19:03.220] 您先了解一下7万左右，对，因为还有什么住院补贴，你先说说，行对综合到一块肯定合适，跟店里算算大，因为新桌上都补贴主要是置换。
[19:12.750] 好，先这么着行没问题了，好多谢先回了。
[19:17.870] 那就是7万多块钱。
[19:22.060] 您那边觉得当时我不知道，自己也没想都没想那么多，后来说想想卖多少钱？
[19:29.730] 反正也逃不出去吗？
[19:32.390] 二元。
[19:34.190] 新车贵好像我买的时候28万，第三冠取得30多万。
[19:44.810] 去豪赌。
[19:46.510] 我看看
[19:48.260] 妈妈完了有什么
[19:50.690] 另外两个人。
[19:53.960] 我就找一个什么呢？
[19:56.110] 不去别的品牌了。
[19:57.890] 你要是去的话咱们也有，如果扫完15分钟之内需要立场给我一会看看，
[20:04.350] 反正也近，最后就给我看了。
[20:18.320] 中间优良。
[20:19.800] 不定不了吗？又凉了。
[20:21.870] 你知道这一个裁定几个不算，这两台订了两
[20:27.230] 不太正常。
[20:31.060] 还有明天没事。
[20:34.060] 一会批单发你。
