[00:02.130] 你好好。
[42:27.120] 对。
[42:29.870] 最终反正下边
[42:31.860] 是什么要多少我才8000。
[42:35.590] 下边
[42:36.840] 29,000的
[42:39.800] 三百零，
[42:50.970] 我的创业技术5%，
[42:53.240] 0% 4.% 46.76%。
[43:02.990] 多少？
[43:04.390] 后面卖的。
[43:08.430] 卖的都是一样，
[43:46.010] 这样
[43:49.180] 的
[43:54.380] 6
[43:59.870] 的
[44:02.340] 花。
[44:06.790] 为什么？
[44:15.050] 综合概率是49%点，
[44:21.210] 大概
[44:23.720] 49.76，
[44:26.130] 一个迈巴赫迈巴克3+3占80%，
[44:29.850] 然后一个将CGS还是在全县之上还有一个议价谈判，
[44:35.830] 今天冒出来49%点多，
[44:38.930] 总共是80%左右。
[44:45.490] 这个是找
[44:47.310] 有一个
[44:51.190] 不用纠结这个之后还得跑。
[44:56.790] 对，它通过创意他又不出来了。
[45:01.430] 实际
[45:03.240] 有没有？
[45:04.720] 谁知？
[45:06.240] 40多是我估计肯定差27,690万，我自己把什么迈巴赫
[45:13.350] 3+3给
[45:14.600] 手进去翻上去了。
[45:16.600] 早期的
[45:32.890] 完了3+3说是按80%给算。
[45:36.850] 对办案达成的
[45:38.600] 打折，
[45:40.020] 对岸达成算另外一个骄矜，
[45:42.550] 全是在高的议价的，
[45:44.910] 可能低于80%几乎是多少？
[45:57.090] 到期的。
[45:58.440] 的。
[46:15.710] 回家近3万。
[46:30.200] 你说的这样。
[46:32.040] 对。
[46:33.570] 他们都看。
[46:35.180] 他应该最终没那个点。
[46:38.080] 不早了，我这车交了，我昨天看我是七台河，
[46:42.750] 我现在交9台了，我的工资比昨天还少。
[46:45.400] 特
[46:46.530] 昨天还早，我不用怕是6000多，现在才5000多，我多交了两台车，奖金还变少。
[46:53.900] 两块。
[46:55.640] 一起的。
[46:57.570] 我应该看哪个。
[46:59.180] 我也不了解你刚才
[47:02.040] 警车号。
[47:04.270] 沙拉对象就可以了，就看这个也差不多算。
[47:09.990] 对昨天是这仨肯定有一个表示是什么？
[47:16.220] 最终
[47:17.460] 得晕倒的。
[47:19.220] 有时候他车卖了钱还少了，
[47:24.120] 靠。
[47:25.070] 是吧？
[47:26.150] 他就有点违背交车了。
[47:29.350] 不交车反正我就放高开我交了，反正创业好了，事实是这样的，但是钱也少了。
[47:36.680] 我交车的动力在哪？
[47:43.320] 哪怕你不剪也行，比如说我多交一台车零也行了，工作
[47:49.700] 交了两次车祸
[47:52.260] 了，
[47:53.680] 他还是不让卖出车，到最后大家还是不想卖车，
[47:58.340] 对吧？你试试车不一样，
[48:01.020] 你那个本身应该没有钱，
[48:04.030] 有人吗？
[48:04.960] 登记可以。
[48:09.830] 登记
[48:16.350] 6。
[48:17.690] 我的意思你要比如说我多交一台车的话，堵车那就0就好了，就别再讲了。
[48:26.160] 看
[48:31.600] 是不是说
[48:34.630] 所以比如说我现在交7台车，
[48:38.790] 暴力
[48:40.020] 5万。
[48:40.870] 我不能因为我交两台车以后再多交两台出车的话，我创立变成4了，
[48:47.320] 打的打车名也行，往别的
[48:51.200] 等于说他还得去拿我的总的倡议去凑。
[48:56.300] 的
[48:57.760] 远
[49:06.430] 坏。
[49:08.740] 你的手拍摄。
[49:22.970] 完了查哪个刚才
[49:29.100] 的
[49:30.600] 一头雾水，接得一头雾水。
[49:34.600] 这男的好像还不是她老公。
[49:38.550] 男的还不是她老公。
[49:40.570] 这种
[49:41.840] 的
[49:43.230] 的
[49:44.020] 场。
[49:49.320] 二
[49:54.160] 谁
[49:55.720] 场？
[50:05.100] 还没贴完
[50:07.720] 的。
[50:10.600] 刚才那个不是薛女士吗？打电话。
[50:14.500] 打
[50:16.460] 帮我
[50:22.630] 就发到这手机上。
[50:26.570] 场
[50:32.360] 要
[50:33.730] 花
[50:36.120] 坏
[50:38.940] 远。
[50:40.600] 句。
[50:43.650] 数据、
[50:47.250] 数据
[50:49.860] 坏
[51:04.670] 号？
[51:21.620] 找一下，我再给你找一下。
[51:27.090] 行，你来前台这边。
[51:29.160] 三个车间你往这边溜达，我也是跟学生的。
[51:34.300] 咱们水咱们9班的孩子跟你说，
[51:42.180] 完了我也不用。
[51:44.470] 不好我给你打了。
[51:47.540] 好了。
[51:50.660] 没事吧？
[51:53.630] 我看开场这里。
[51:56.770] 而且不需要吗？他们要是一个一原料，
[52:03.550] 然后出来我就拍一张照片，
[52:07.480] 这是发现了，
[52:08.760] 我就开了，不要了。
[52:11.110] 没拍是吗？
[52:12.440] 我没看张老师。
[52:16.330] 后来过
[52:18.570] 这一点我没事儿。
[52:22.010] 我他收了一点点一流可以得到，而他加钱加了，对要放一个。
[52:28.430] 要不搞一个10的
[52:30.850] 不同，
[52:32.110] 他想要一个
[52:34.300] 16161的出来这两个字也16174公司遇到这种可以7万还是差不多。
[52:41.690] 对我是买进看的，这是基本上。
[52:44.560] 谁知
[52:46.000] 不能要
[52:53.500] 非常
[52:54.240] 的
[52:55.050] 我的意思。
[52:56.070] 不太描述吗？
[52:59.090] 这匹马来。
[52:59.980] 昨天
[53:01.170] 我听了我觉得学习完了那啥共享大，
[53:06.890] 你拿这客户如果
[53:09.000] 03年前了不用密码扑克了，不是他们新主动车内注册梅西，然后你查理车主二了，
[53:17.110] 买了新车 hello不行，稍等，对一个系统这个系统你睡找我就行了，不是哥哥不是。
[53:25.400] 不用。
[53:26.560] 知道吧？
[53:34.540] 价格有点高。
[53:37.370] 30万谁都能聊。
[53:40.450] 12年的
[53:43.760] 这样
[53:53.990] 我跟说
[53:57.030] 不是，你看能不能
[53:58.910] 这是我刚才刚最后写的。
[54:01.690] 因为我在他的
[54:04.850] 他怎么跑到这儿跑到这个意义上来，
[54:08.950] 但是这个事情
[54:11.750] 就一块先接了一个亿，一道问题走了。
[54:14.920] 那个意思马先生，
[54:17.730] 但是跟小节号是一样的，
[54:19.680] 往后接着那个是虚拟的。
[54:22.490] 薛女士变成哪个地方，现在有一个李先生是
[54:26.120] 是现在正在接待领导，你接不接了，有什么样的？
[54:29.550] 我没接给签证吗？我一共接俩骂街，马先生接了一个雪女儿，
[54:34.430] 李先生我不知道是谁的。
[54:36.740] 李先生。
[54:39.750] 这个手牌我也没找着这手牌。
[54:47.110] 有。
[54:48.020] 加上我刚才看见了。
[54:57.360] 这是你做这开始说没
[55:00.030] 电话没接未接。
[55:03.130] 但是后来第二次打通了吗？过来当时他不是男一吗是不是？
[55:09.980] 以前是哪一点对李先生联谊也就是说的很满意？
[55:14.340] 李先生。
[55:16.550] 李先生在之前
[55:19.350] 你别慢了，
[55:23.620] 李先生接完之后我给你拍的宣布了才能这情况我明白了。
[55:28.340] 李先生我还没结，这两天就开了，我顺手就把马上给结了，
[55:33.400] 对吧？是这意思吧？
[55:35.320] 等于说李先生是我第一个直接的，他一直没
[55:38.600] 明白。
[55:40.870] 明白。
[55:41.900] 我就把马先生改成了虚拟对。
[55:47.270] 他的名字
[55:48.600] 号为变成取款了。
[55:52.550] 你解法回复别提了，
[55:55.720] 你的业务不回来吗？永远
[56:00.680] 吃饭了。
[56:04.710] 说话一点也
[56:22.880] 她把东西要自然
[56:24.520] 快点过来，对大客户什么的搞活动什么，
[56:28.400] 然后你这看你需要把这个工作什么，
[56:31.600] 你
[56:32.420] 资源共享这样，我说我留住了，
[56:35.930] 有客户我给你推荐你，有客户说我给你，
[56:54.690] 我说你
[56:55.800] 还修什么？
[56:57.130] 我跟家要分析一下这个产品知识，
[56:59.920] 我说你这玩意就是现场接最印象最深，这块问道你这车多少钱的时候印象最深的，
[57:06.910] 你跟加纳死记硬背的话又放被撞了，
[57:38.760] A型或者
[57:39.580] 别人咱地方
[57:42.170] 我聊的是那么回事儿，但是
[57:46.910] 感觉
[57:47.940] 男的也不短，就这女的在这东西去吸取都问，
[57:52.360] 倒是问得都挺像那么回事的，这套减肥操。
[57:56.850] 掏钱，他指标是她老公的，
[58:01.200] 但我听他那意思，他跟那男的站边上，他这么跟我说，他说指标是我老公的，
[58:07.230] 感觉就不像是边上那男的，
[58:09.890] 一般都是值班话，
[58:15.680] 还有
[58:17.170] 有可能是同时的。
[58:50.230] 没吃的吗？吃什么？
[58:51.720] 连着吃了。
[58:53.380] 也可以打工。
[58:58.480] 你不知道吗？
[59:09.570] 那里头你之前给送，现在不给送。
[59:12.520] 显示距离不到。
[59:14.750] 中医调
[59:16.740] 牛肉堡。
[59:19.960] 那水了吗？
[59:21.870] 了。
[59:23.330] 怎么回事？
[59:26.470] 匆忙结点。
[59:28.850] 原来在
[59:45.770] 来趟。
[59:48.170] 来的。
[59:50.290] 当时的健康风险这种
[59:53.750] 觉得很
[59:56.390] 回答方面。
[59:59.760] 行。
[60:03.290] 装饰单板之后搬家，
[60:05.430] 喜欢着一些
[60:06.920] 一
[60:09.810] 一装根本
[60:10.600] 弄就是说别乱糟糟的。
[60:14.230] 但是他甘家跟搬家的，我老觉得肉
[60:18.420] 不是硬，对硬吃起来。
[60:22.030] 没有那三。
[60:23.680] 他因为那种然后
[60:28.440] 对，
[60:33.330] 拿个工具来了，一定下来他及格这三天你可没搞定，
[60:38.440] 邀约订了4个，
[60:41.110] 他昨天一开始一定说
[60:45.170] 我这时没事发大财，
[60:47.840] 我们强奇怪是强化这项你们差点
[60:54.210] 妈
[60:56.410] 既然你们都这两
[61:03.580] 好吧，你不能
[61:04.740] 需要进行的，你看什么感觉，我还不让我看我，他不让你看对吧？狠揍他。
[61:11.100] 他不让你
[61:13.350] 看起来了把都错过。
[61:17.330] 这样督促。
[61:18.700] 还没看完。
[61:20.900] 回来了。
[61:21.740] 回来你问问你们也能走。
[61:24.710] 张辽谈完了就完了，好。
[61:28.770] 说完之后不会没用，做8800张。
[61:31.470] 没事。
[61:33.460] 分期。
[62:00.240] 我听到清楚。
[62:01.070] 他们过去那边有钥匙吗？
[62:05.160] 说了好了。
[62:06.610] 好了，等你来。
[62:10.250] 好看没有？
[62:25.350] 先生你好。
[62:29.640] 我原来过年的时候买了辆迈巴赫送给地方河南版的200买房赫送一次保养，现在在保养的时候那系统里面有
[62:39.960] 车主叫什么？
[62:42.520] 车主你说原车主对您说送保养在我这买的时候首次登记的车主叫什么？
[62:52.820] 你看看车主是公司名称叫什么来着？
[62:56.870] 他原诚
[62:58.200] 有
[62:59.340] 有。
[63:02.370] 她原来
[63:05.780] 其他什么都看不见。
[63:08.920] 您那有吗？对就林州市
[63:12.650] 叫什么？
[63:13.860] 我给他查过，是一司机跟我联系的对吧？前两天没有赠送保养车保养，上次问过我一次，您是在北京是吧？他说你现在在北京应该
[63:24.730] 来北京了，说做保养来了是吧？
[63:26.780] 是没有赠送保养，这车不赠送保养，
[63:31.770] 谁跟您说赠送保养，他跟你说的，他还跟我问过这个问题，
[63:36.740] 我要记得话我帮她查过。
[63:41.750] 我记得买车的时候我也在我跟着司机一起来的，
[63:47.580] 没有保养。
[63:49.850] 你这样
[63:50.930] 你现在在这做保养是吧？
[63:53.160] 对，你先把车刚刚开过来是吗？
[63:55.860] 已经在前台这了，你先做，你甭管是有没有你肯定得做对不对？要没有的话你也得自费了，就我待会一会我去车库，等我回来之后我再上下系统我再看一下，
[64:06.990] 然后如果没有的话你就自费，有的话你就不用花钱好吧？你等我回来之后我再告诉你好，好好好再见，谢谢你们。
[64:15.350] 再见。
[67:46.530] 为。
[67:47.320] 原来的车主叫挣钱不是挣轻松是吧？
[67:53.110] 其实给应该是您是买转介绍您是买第二台车还是？
[67:58.410] 应该是给您一次保养，是不是？
[68:06.100] 对。
[68:07.160] 那就对了，因为我记得林州市不送保养的，不给林州给郑新聪，那上面写的是。
[68:14.730] 您那是什么车？
[68:17.710] 为什么？
[68:18.760] 您那也是正经松也是麦霸是吧？
[68:23.270] 行行，你用我那SEP你们都做进去了，我不知道他为什么查不到，你甭管了。
[68:28.950] 你接待你的SE叫什么？
[68:32.070] 明明你要让
[68:34.410] 你们家夏明是吧？
[68:36.360] 行，你不能听见我说话吗？小冰就是让他走吧，然后做完之后也走吧，然后他那个sp是有一次保养，
[68:46.970] sp里有，但是我得给他充，行我想办法给它充进去好吧你。
[68:53.760] 对换了。
[68:56.590] 行行，然后车主叫郑青松是吧？就坐这台车确定一下。
[69:02.960] 好了OK，好没问题，好再见。
[69:07.670] 没事再见。
[69:27.750] 我在刚才您吃饭的门口那儿，您在哪出去？吃饭门口这好吧？
[70:40.120] 我想起来了。
[70:41.920] 他是没买，他是
[70:44.320] 分7批。
[70:45.770] 他资质批不下来，不能贷不了款都能也好，
[70:49.590] 三年也没用，
[70:51.150] 存款他又买不了。
[71:37.160] 等下去
[71:38.020] 了，下月要看几号差几天。
[71:42.080] 10 10号左右两派。
[71:43.920] 你来抱着手机看一眼，他万一要停提前，他说是10号是最晚。
[71:49.940] 等会我关一下灯关上。
[72:05.250] 这车是1.51点 3点
[72:07.090] 1.3T
[72:09.850] 就刚才那个厅里有个SUV S
[72:13.660] sl450，
[72:15.620] SUV加S加S
[72:20.370] 什么首家的，现在原价加价钱压的
[72:26.350] 280。
[72:27.910] 2500为什么加钱？这车现在一直都就来了，刚上市吗？去年年底。
[72:39.000] 10
[72:40.750] 10分
[72:44.060] 婚车350 450外观都一样，估计不来是一样，我就说要多活，你得给人家帮我上。
[72:51.990] 我为人。
[72:54.140] 对
[72:55.760] 对。
[72:57.880] 这事儿别回头了。
[73:03.760] 对。
[73:04.940] 你让他给我打电话，我记得对我因为我干我问你，我说问问孩子了，我可不管了，对你还回头一喝酒还想着没有还给找去。
[73:15.610] 知道吧？
[73:17.150] 您说实话咱自然色分期无所谓，后来我设计什么方案，
[73:25.210] 我买30多万那个车去
[73:29.460] 给我你要开，
[73:32.020] 你还得帮忙给我开，你给我我设计一下知道。
[73:36.200] 可是这一刻咱说实话这34万首付，
[73:40.660] 完了每个交1万多块钱无所谓，支付宝都买得这大哥没有大肆去，
[73:45.360] 我实在不行我要
[73:47.330] 你开我这个
[73:49.350] 一会儿，我要看你这来回弄了，
[73:54.370] 你把你的事是每月还多少总价，你花这么多了没事，
[74:00.590] 结果累了肩膀子好身上知道吗？
[74:05.200] 省得瞎弄。
[74:07.880] 你看着你商务车有和差不多不能挂上小酒卖了，
[74:13.670] 卖的都给你二哥，这钱搁你搁这连内蒙
[74:18.040] 车这东西你越不卖越赔钱，不幸福了，卖就带着就不能买了，80万万买的白了微260V2605160 80万买出家了，加上房源装置，
[74:33.410] 69万价购置税，
[74:36.200] 对加长杆的里头那是还改了鹿皮的，下了班都在改了一顶第三排电动桌椅，
[74:46.000] 木地板，完了坐还有换成阿尔法坐了。
[74:49.760] 他们这中间有一个通道你知道吗？
[74:52.590] 花了多少？我说交齐了82万，对差不多，现在市场值他们30多万，
[74:57.790] 350都够呛了，4年的车
[75:01.030] 他新车便宜了，新车50多万。
[75:05.680] 厘米。
[75:07.320] 你拿车拿的就没有。
[75:09.280] 一般的没什么，就不卖医院搁着的。
[75:12.630] 我一天一年那车5500元。
[75:16.600] 老师你得这么算，11年赔多少钱，对车赔出来赔了。
[75:24.140] 但是大头现在已经赔了，我们这保险如果再交了一年以后上再比如说办行吗？
[75:31.770] 没人管是吧？
[75:38.750] 完了我给您贴车衣去，
[75:43.550] 我贴那种。
[75:45.400] 1万多块钱，那1万。
[75:48.300] 我不想撇，完了你问问他贴。
[75:51.300] 打车贴了还是精华一点？
[75:54.400] 你想路过这树杈子，
[75:57.100] 就这输液你要层层包括洗车。
[75:59.930] 他就上磨它不伤车漆，你开10年5年的一阶新的一样。
[76:06.270] 一样保险管一下子就得他管管赔管培培。
[76:11.850] 能定损我那就修理的。
[76:15.670] 我那就把膜广泛，然后抱抱工资给修。
[76:19.080] 给
[76:22.440] 根据魔那价格他能出去那证明没问题。
[76:31.950] 我再问一下您，
[76:34.280] 汽车玻璃活
[76:37.280] 能选吗？是什么牌子？因为就是一种
[76:41.510] 百丽集团自己的，你说你给漏了效果不好，你说我要接了还舍不得。
[76:47.470] 不。
[76:49.160] OK挺好，咱进去就在家，您等我把门。
[76:53.870] 我给你开门。
[76:55.220] 你开车
[76:56.870] 是把这关上，
[77:00.340] 下去是不是下一步再让他开一下。
[83:06.950] 然后呆住了。
