[00:01.320] 出色，梁先生。
[08:23.050] 这样这个就不用什么了，就不用请了。
[08:25.940] 那的话那个钱他是这样吗？
[08:28.810] 不上复旦的魔咒，走甘快和市场方面贴有领导房子还是空出来了，对。
[08:36.360] 防爆膜投入了，
[08:39.130] 不符合了什么？
[08:40.870] 你这照片这都有毛是吧？
[08:44.140] 还有基本上
[08:45.890] 有几个牌子，
[08:47.790] 好多资料原木恢复好点同化了，咖啡比包括咱们车辆上的以前
[08:56.530] 肯定
[09:03.650] 所以
[09:05.470] 我这个地方原来买的
[09:08.490] 负责人做了，做了以后
[09:11.990] 没有办公楼，他医保保险杠干掉了，
[09:18.910] 好让两个你就没办法了。
[09:22.520] 完了最起码还得几次，450上下400，
[09:27.340] 450都没有了，没脸是吧？也不差了，让
[09:33.710] 我在随便看看，要是什么我再给你打电话。
[09:37.580] 就没意思。
[09:38.680] 明天咱们这边今天您到了给我电话回访。
[09:42.360] 好，上午到下午。
[09:45.650] 明天中午中午我不是周五明天周四周二明天周四。
[09:50.850] 明天就下午都行，你们开车来了吗？
[09:54.720] 我开车来的。
[09:55.720] 我们走了在楼下前台一登记了，沟通了可以三个小时了，OK好喜欢了，好了谢谢，好。
[10:06.040] 好，
[11:44.050] 接着再说。
[11:45.230] 到时候你告诉我也行，我也行。
[11:49.210] 我把东西先放着，一会回来再拿。
[11:52.580] 对，他说我们要你解开，谁知
[11:56.590] 你可以找一个考虑马，
[12:01.530] 您怎么会去找你吗？
[12:03.430] 我没事。
[12:04.360] 不着急。
[12:06.890] 我想问您呢，
[12:08.580] 领导你把这三。
