[00:00.000] 年721907.2点。
[48:56.640] 要不然我说你让我我把人糊弄过来了，我说你最后没回来，我说一两千都不行，啊我说得想办法，
[49:02.470] 然后他说他说你来了来了。
[49:04.680] 哼嗯
[49:06.910] 嗯嗯
[49:12.360] 行
[49:20.030] 行
[49:21.280] 没问题。
[49:22.720] 唉别客气，嗯到时候明儿见。吧
[49:25.700] 嗯拜拜。
[49:26.860] 嗯拜拜。
[53:53.550] 领导你走了吗？
[53:55.200] 你们那吃点饭好不好？
[53:57.240] 啊
[56:14.910] 意义
[56:15.760] 拉屎。呢
[56:20.280] 你喝点粥。
[56:22.810] 明明天早上几点？啊
[56:30.110] 好的。
[56:35.370] 六七年多。吧
[56:38.270] 行。
[56:39.100] 知道。
[56:50.010] 吃完饭然后再聊聊。
[56:56.470] 我有两次。
[56:57.320] 啊79。
[57:01.590] 我开始
[57:02.520] 已经修理好了吧？
[57:05.090] 还有第一组还有
[57:06.890] 嗯
[57:08.000] 南京
[57:08.960] 是不是跟没事。
[57:10.400] 没没事没事，把这儿关进去。
[57:21.700] 被告
[57:22.410] 出了事要的，
[57:31.830] 至少也投了。
[57:34.910] 代销都没有。
[57:41.150] 就是什么？呀
[57:41.920] 我没吃。呢
[57:43.640] 唉
[57:51.040] 我找了
[57:53.210] 我们这是
[58:04.290] 你刚刚说的是要
[58:06.070] 不同意。
[58:08.630] 所以我来我就在操作。
[58:17.450] 有时候呢就是想
[58:20.310] 是就是让我奶奶带孩子，
[58:30.000] 我跟赵总聊完了，你有事吗？
[58:32.600] 嗯
[58:49.090] 老师节能。啊
[58:50.620] 我跟张总聊完了，哟
[59:03.110] 我们水怎么成一个了，
[59:05.280] 不知道我妈的逼的这帮人操。
[59:08.790] 嗯
[59:09.830] 嗯嗯嗯
[59:11.000] 因为那个
[60:38.360] 那抄
[60:39.710] 噢
[61:19.240] 不好跟我说的。
[61:20.590] 差那个班。
[61:22.730] 啥时候差一点啊差东西，呗他这羽绒服
[61:27.480] 用户也加了，他iPad iPad给杨中传，
[61:31.090] 然后完了充电器
[61:34.050] 他才能进中央电视台了，
[61:36.960] 那到时候那时候都完事了。
[61:38.880] 那该签的签完了之后手续可能
[61:43.430] 张老师你知道吗？
[61:44.680] 没找着。
[61:46.450] 我俩手续没验收没验收没验收就没验收。
[62:10.960] 今天
[62:12.030] 这个车来拉东西，
[62:14.850] 当然
[62:16.300] 我这个是我
[62:19.280] 我在楼上还有两套西服，呢
[62:22.080] 啊
[62:23.150] 嗯
[62:24.320] 啊
[62:25.550] 嗯嗯嗯
[62:26.930] 嗯
[62:35.240] 我也是个宝贝儿。
[62:36.700] 嗯
[62:49.170] 这一号呢
[62:50.680] 叫什么东西？啊
[62:54.470] 分别的药、
[63:00.640] 过敏药
[63:02.480] 业务业务的7个任务，
[63:17.500] 手机膜你知道吗？
[63:19.070] 稍微往上贴点，吧大家觉得。
[63:26.430] 还有手机壳，
[63:27.740] 有啥好东西啊来给我留点，
[63:31.420] 赶紧现在就忘了。
[63:36.110] 然后我们家道丢了，
[63:38.340] 嗯
[63:40.020] 那你妈的逼的，我说这帮逼啊还不能说你知道吗？
[63:44.200] 啊
[63:47.280] 我说这个东西怎么处理？
[63:50.110] 价格贵是军刀的手套手套手套拿走了，
[63:55.510] 噢我的妈呀
[63:57.850] 从我本上的。
[64:03.040] 你妈的个逼的，
[64:05.720] 如果那么欠，呢
[64:08.070] 好
[64:24.470] 他这个
[64:25.730] 增加实习期，然后
[64:29.190] 这个实习期期间是什么意思？
[64:32.170] 嗯
[64:33.570] 某种程度上的实际情况如何？
[64:36.800] 是吧？嗯我说摩托车的实习期什么都有，
[64:42.430] 有有啥讲究？
[64:44.040] 嗯
[64:44.880] 没啥讲的，就是可以可以骑车，
[64:47.270] 能上高速啊你们不用带人。
[64:51.110] 噢
[65:00.200] 然后你妈拿出来1万块钱300多
[65:04.420] 那去闹的跟我时间有点长了。
[65:06.720] 从沃尔沃的五六年了，
[65:09.280] 嗯
[65:10.220] 你妈的逼的咱们就顺着。
[65:12.470] 啊
[65:19.550] 就是水我看看就放那了。
[65:21.220] 啊
[65:21.900] 死了人他就死了，看谁打半瓶标撕着买了，反正没人跟你说了。
[65:27.760] 我们把这个这个
[65:31.010] 喝你喝你跟我说一下。
[65:33.050] 我们不给你，我也担心
[65:35.910] 你上来靠近。
[65:37.680] 这是我前天那天说
[65:40.390] 不知道吗？
[65:41.550] 那应该是我的。
[65:42.710] 我觉得这有点儿明确。
[65:46.910] 不知道你接下来干啥。
[65:48.560] 没事了没事了，我把他收拾之后，你就给他弄着走过来，
[65:52.720] 是不是这样的？
[65:54.250] 大家来过没有？
[65:55.720] 明儿要来啊明儿没拆完。呢
[65:58.140] 坏数据。
[66:04.760] 嗯
[66:05.580] 啊本案有
[66:07.600] 呃
[66:09.430] 嗯好。
[66:10.650] 没得。
[69:20.680] 同样的。
[69:24.120] 嗯
[69:24.880] 那明天
[69:28.400] 啊
[69:37.730] 因为这样的一个
[69:38.720] 出来一分钟的一个一个一个。
[69:41.670] 我这课我给他说了一下。
[69:44.580] 就是就是就是
[69:46.840] 我没有任何对您有什么反应，没有任何的冲动的想了解的情况。
[69:52.630] 啊
[69:53.610] 不需要不感兴趣，
[69:56.140] 然后等待不什么什么都不感兴趣，
[69:59.010] 我说见好就收。
[70:00.270] 吧
[70:03.000] 我记不得了。
[70:04.390] 唉应该有问题。
[70:08.800] 现在这真是。
[70:10.280] 嗯挺好的。
[70:12.580] 嗯好。
[70:13.960] 噢好的。
[70:16.190] 啊
[70:17.600] 我看我很高兴，
[70:20.670] 唉
[70:28.630] 是吃啥？
[70:29.460] 呀
[70:29.800] 如果。
[70:31.310] 嗯
[70:32.430] 嗯
[70:39.160] 抽了走了，大哥抽了走了。
[70:46.200] 超哥应该是用走了。
[71:01.770] 这次说什么都不回来了。吧
[71:04.000] 已经过来了。
[71:05.900] 唉就是这个
[71:12.210] 不是
[71:12.920] 张诗雨。
[71:13.760] 说一下。
[71:15.020] 我没听到十五说一下是给咱们什么15说一下扣扣扣分的。
[71:20.710] 客公司打折，呗对或者你车这部分。
[71:25.170] 好，其他钱不够。
[71:26.870] 嗯
[71:27.600] 而且是
[71:29.240] 差不多你拿了200个积分，
[71:31.350] 275 2万，吧
[71:33.280] 皮瓣270个，
[71:35.480] 各50%，哇塞这有区域，然后各50%以后，
[71:39.650] 那个你没完成，比如卖了13个车，他不就给你10这80%吗？
[71:46.780] 噢就卖14个，你比你卖80个好像是。
[71:50.230] 那 Ok那这种情况下就是你100个机会是80%扣20个机会，
[71:55.430] 嗯
[72:06.790] 其实这同样的啊
[72:08.480] 咱整一队，嘛
[72:11.040] 我一个人一个脑袋，
[72:12.740] 他哪个都没有一会没有了啊一会没有了弄弄吧弄。
[72:17.030] 吧
[72:18.050] 你上我我你们我去吗？不是法院这边走，妈妈看看我走。
[72:24.110] 这是什么？啊唉黄老师？
[72:27.650] 噢
[72:29.200]  No，sorry。
[72:31.680] 那个那个嗯反正就开场的自行车。
[72:36.490] 吧
[72:37.640] 我是谁没交完车，呢我特别想要。
[72:41.340] 我就要我就要那个那这个他。
[72:43.650] 那个
[72:44.280] 还有没有、证据
[72:46.320] 能不能定多少付多少。
[72:47.890] 我也想换点辣椒醋。
[72:50.470] 啊
[72:51.620] 太高，啊我也想喝点辣椒和醋。
[72:54.560] 花椒和醋、
[72:57.820] 嗯
[72:59.650] 背那个有原唱都喂了是吧？100块钱。
[73:05.160] 发过去了。
[73:05.910] 啊
[73:06.400] 是吧？
[73:08.290] 那个唉呦我操
[73:12.320] 行我知道了。
[73:14.160] 嗯好勒。唉
[73:18.840] 小店投标价。
[73:20.260] 等会等会等会等会你们说啥的吗？
[73:22.830] 没事咋办？
[73:24.960] 嗯
[73:36.190] 到交易14个，
[73:37.420] 加上色图了的，刚刚才刚才
[73:39.940] 我他妈又不能交。
[73:41.700] 13万，唉我还说呢我好不容易传到13万。
[73:45.670] 交噢噢你说交不了是吧？
[73:48.170] 我好不容易想到要都交完，能不能到13个？吧
[73:51.020] 有一个他妈妈生病了，
[73:53.110] 那网络提了什么了？
[73:55.680] 测算的方式。
[73:58.170] 你看
[73:59.530] 噢那那那没法弄那没法弄了，你说不用钱，呀他好像走的那什么什么肺癌什么，啊
[74:07.970] 啊反正现在是属于是属于是
[74:10.290] 费以那种传染病那种及并制的，但是说还要进一步检查，有可能会它的指标是吧？不好呢。
[74:18.390] 他的指标是吧？
[74:19.990] 对自己的指标，他因为他这就说呀光6年
[74:23.750] 出版不了可开投放多块，呗
[74:26.260] 看电视的话他故意够呛，成这种你不能退不合适不合适，上次那个 g r p就是嘛那老头又早跟我说他得癌症了，我早就自己给退了，
[74:35.910] 非得非得不投诉我，
[74:37.880] 别投诉我，你说你投诉我干嘛？你跟我说你好好说说，因为什么事呗肯定也退，啊咱也不说那种不讲道理的人，所以你说你得了病了，说这没办法了，他一开始说他媳妇帮他买了，那帮他找干嘛，这是理由肯定不成立。嘛
[74:50.870] 那你说你的身体不好是吧？
[74:52.590] 得得了癌症了，
[74:54.060] 唉领导来了以后咔咔把剩下给领导了，我那个礼拜不是人，你说那个那老头真是的还给他办手续。
[75:00.530] 唉
[75:15.110] 你是不是有大姐？
[75:17.430] 合理的。
[75:18.450] 啊你是不是大姐可以一个比如说
[75:21.030] 没有
[75:21.990] 所以说我具体打算和你们说一句话要不要交钱？
[75:25.340] 然后对不对？有这个这个这个这这个释放物。
[75:31.200] 找什么？
[75:32.490] 释放了。
[75:34.110] 4月份定的，那不是。
[75:36.540] 6月份定的。
[75:45.950] 噢你没任务14呢是吧？
[75:48.910] 不是，我看错了。
[75:50.540] 我他妈好几个换车，有一个换车的，我记得有两个了。我操
[76:04.390] 你要理他修。
[76:06.030] 呃应该还有一天不两天，
[76:09.320] 我统一说今天早上拆完了，拆完了我来不了了，
[76:12.040] 我我坐地铁来。那个
[76:14.530] 五数据前瞻田村吗？天气往这夸，这个你继续走在谁家出来？
[76:20.130] 我们都是晕了。
[76:22.300] 就是感觉那种就跟这样这样晕似的，
[76:25.970] 然后可能感觉不太对劲，
[76:28.000] 等我一出门，
[76:29.760] 就一上那个比上一个电梯，
[76:32.140] 一刷卡那就不行了，
[76:34.360] 我就走公道了。
[76:36.130] 去找干干，我就找一些人找了这低血糖感觉像地躺那儿，嘛
[76:43.010] 你俩没事吧？
[76:44.600] 那不至于了，以前是什么样的事？啊
[76:48.010] 我赶紧把包包过来，吧
[76:50.310] 恐怕就知道
[76:51.810] 就等着他。
[76:52.920] 到时候就是说
[76:53.980] 不知道
[76:54.890] 地铁的人来了，
[76:56.570] 哥走了我都没什么用。
[76:58.360] 嗯
[76:59.190]  oh So I don't know。
[77:01.520] 就刚才说了，
[77:03.150] 我们出地铁呢就刚一刷卡刷完卡，旁边我就就自己冒着了，他们看着可能不太热了，
[77:11.070] 就说我咋的了。
[77:12.130] 然后等了50分钟，唉我就感觉稍微好一点，带耳鸣。
[77:15.410] 论文的。
[77:16.270] 就自己说话听人命的事你知道吧？这是你的事。
[77:19.340] 唉呀我就我就直接我就出门口赶紧把这东西就吃了，面包你们俩
[77:24.100] 吃完以后好点，
[77:26.170] 我就难受。
[77:27.740] 明天早上我们都在说，
[77:29.860] 嗯
[77:31.070] 我之前有过这种事情发生。
[77:33.540] 开那个消防消防
[77:36.020] 一些前几年
[77:39.010] 刚刚也
[77:40.240] 不是招完什么会，大早上开那么一个多小时往那一站，
[77:44.710] 我直接我就倒了，
[77:46.650] 噢我就导引导这个
[77:49.880] 我们后面去了，我说不想东家赶紧扶回来了，那不是服务员了，这别人家调了，
[77:55.760] 眼睛黑了，花就没了，我就吃完了是吗？不是站着没吃饭，一直站着嗯三个小时干嘛？
[78:03.110] 呢开会，呢
[78:03.890] 嗯消防什么在哪在哪？啊
[78:06.360] 明年呢
[78:08.050] 还有我前段时间做一个服务，
[78:10.260] 包起来了，
[78:11.510] 做了半个多小时好，
[78:13.570] 当时是天旋地转的关系，同时蒙蔽了，啊啪就黑了两人给我插上去了。
[78:20.350] 当然我们一直坚定，
[78:22.030] 啊这他看不着了，
[78:28.850] 没看见。
[78:30.250] 这也是我觉得应该是乐在按照这个
[78:34.710] 3000人，这不应该有一个
[78:36.600] 这是老年人的。
[78:38.840] 他仍然没有是吧？
[78:41.800] 起码没什么规律。
[78:48.150] 同时不可能
[78:48.900] 比如说我这肿瘤板块不好，
[78:50.560] 要不是你就地解决问题，
[78:53.050] 就是一直玩。
[78:55.320] 那脖子疼吗？我脖子特别疼。
[78:58.800] 嗯
[79:02.320] 那个
[79:04.720] 你明白我的意思吗？
[79:06.040] 啊不能凸显几块，
[79:10.210] 就是第几个地址口气有的
[79:13.660] 90后好多年都不好，特别不好。
[79:16.680] 这个
[79:19.790] 看看我买的。
[79:22.190] 好。
[79:22.980] 可能达到对就这样就只能达到，这个我觉得那还行。
[79:28.010] 我说一直抽空去咱们楼上看看去。
[80:31.230] 我本来是想让你。
[80:32.560] 我明天休息，我本来想让你早上起来帮我约个。
[80:36.010] 练车，但你说7:00去我还抢不上。
[80:43.890] 我们看运行
[80:45.310] 嗯
[80:47.150] 我们几个都是必须得约的。
[80:50.130] 这不就发给我。
[80:51.450] 我这我也约那个约车你抢不上怎么办？
[80:55.040] 呀
[80:55.990] 你不7:00才写的吗？
[80:57.830] 嗯田老师。
[80:59.540] 所以那你找找中。
[81:01.080] 呗
[81:02.770] 这两天看他6点，我的这两天几点发的，呀不到7点就发了。
[81:07.550] 把你们
[81:08.540] 他演出
[81:10.770] 嗯
[81:12.270] 你两个大伙今天的这个协议，
[81:19.210] 你问哪个？
[81:20.830] 我这我发你一份发给您传一份，行，吧嗯那就我让你我俩我这必须也也不让他在工作，
[81:28.680] 然后你看见精神赶紧给我发了好吗？
[81:33.280] 98哪有哪一个周四不行，周五。
[81:38.040] 考虑好了吗？
[81:55.350] 就是1500。
[81:57.540] 部门有1000
[81:59.270] 2500，
[82:00.720] 后备箱价500 3000加起来1000 4000块钱左右就占到了。
[82:06.200] 这就是立法。
[82:08.040] 喂
[82:09.480] 唉呦我的我就开心了。
[82:12.500] 有
[82:14.010] 这个
[82:15.360] 我觉得方便吗？
[82:16.720] 嗯在我柜子里面我就给你拿。吧
[82:20.190] 今天晚上我们两个
[82:22.590] 行
[82:24.920] 成。
[82:26.460] 好不好笑？
[82:28.670] 5分钟。
[82:30.050] 嗯
[82:31.520] 好。
[82:33.020] 好勒。
[82:34.020] 啊好勒好勒。
[82:35.580] 唉
[82:36.870] 嗯
[82:44.750] 他们那个没味，是因为他麻将给你放的少。
[82:55.390] 长6.6收。
[83:00.680] 他们5点多就去。
[83:02.080] 对他们有人存在这个问题。
[83:12.840] 那哥们说再有你们公司不打电话，我绝对投诉的监督组，
[83:17.120] 什么什么什么问题这个比较怕碰着不是东西好嗯账号，
[83:22.000] 是吗？我说你们那天张经理问我，
[83:24.710] 没有有没有什么意见？
[83:27.320] 列车那个反馈表。
[83:29.320] 群里发了
[83:33.030] 就是可以反馈。
[83:35.450] 就专门给直接说的。
[84:04.590] 就哪个医院去都不行。
[84:06.860] 店里面说的都是那种
[84:09.330] 人家这时候都备课去
[84:13.560] 打给我，我们以前的业绩更不好，
[84:17.790] 当地的那个地皮
[84:20.090] 头子
[84:21.280] 看得不愿意去。啊
[84:26.930] 唉呦我的妈我这一激动给发出去了，
[84:29.860] 要验车了，我们有一次验车以后，
[84:33.290] 客户打电话说要找人，我那客户里也有点有点实力，他找人说把我那个腿拉折了，
[84:40.110] 嗯
[84:41.420] 唉呦我操找吧没有我打电话，后来你就说说那个谁，你告诉我叫什么名？
[84:47.830] 嗯搞的这个嗯
[84:50.470] 是电的还是怎么的？没说别。呀
[84:53.280] 啊
[84:57.120] 然后我们先吃个胖子。
[84:58.500] 那我们
[84:59.420] 谁知
[85:02.390] 喂你说你能打压你吗？我想问一下就是咱们考那个麦巴赫那个680那个车在河北廊坊吗？
[85:11.200] 往返。
[85:12.550] 啊
[85:15.660] 等会我看看。
[85:17.290] 唉
[85:20.710] 好不好？我也忘了。
[85:30.840] 是什么。呢
[85:32.640] 那那么可以嘛
[85:34.720] 然后可以你你你怎么办？呀
[85:37.080] 廊坊你给报价65。
[85:39.860] 8月65是吧？行了。
[85:42.420] 你说你或者报价的时候，你也别说加加65，或者你你把65加完了，告诉他300
[85:47.580] 365万，
[85:49.000] 嗯那个时候咱们就说5万块，就是直接就告诉他们吧是吧？
[85:53.720] 好的好的，知道了，谢谢大家。
[85:56.560] 对吧？
[86:21.010] 嗯
[86:23.410] 喂把那个是有一辆车吧有啊准备问我们的事吗？
[86:28.250] 啊对就是他说的就是那个我说没病。
[86:31.560] 吧
[86:32.180] 没有啊啊行，那好我跟他说一下好勒。嗯
[86:36.480] 那么
[86:38.120] 嗯
[86:43.650] 唉
[86:44.550] 他哥这二级是不是也得用，不用在店里垫包。啊
[86:48.570] 啊
[86:50.750] 你怎么这店宝。
[86:52.680] 别跑了。
[86:54.280] 1992年嗯
