[00:00.000] 不好销售，2020年7月接待刘先生守则点2亿，
[11:12.780] 然后再一点，他这车器也是好多客户也选择在贴成营车，
[11:17.270] 咱这里有专业人员讲解，当时讲讲买不买，所以按照航空器
[11:22.060] 心理上蓝色其宝石蓝，
[11:24.080] 年西面也是采用进入新兴的，没有我可以照一张可以没问题，咱们车辆一切的水平，你可以用手填扫二维码，
[11:34.480] 是吗？
[11:34.990] 我就线下你扫扫描扫完以后想收藏学校，你看拿出来不是看韩美兰图册东西，拿这个都是什么颜色？
[11:42.130] 颜色目前这一集出来基本就是黑色的白色，
[11:45.370] 还有宝石蓝的，还有一个叫
[11:47.980] 但是颜色是蓝色。
[11:50.160] 心理世界要车展黑是吧？对。
[11:56.600] 没到是吧？
[12:00.560] 找收藏家865018死了这车。
[12:04.210] 车长度和车高不是
[12:06.860] 至少506。
[12:09.390] 微信扫扫就行，到时候扫一下。
[12:11.580] 好。
[12:12.360] 搞了一清朝，要不一会就没了。
[12:18.720] 咱们出来以后检修一下，
[12:20.570] 先收藏交流一下。
[12:22.500] 好，后期把医生叫水军，然后我看看
[12:28.150] 这个价格是
[12:29.550] 这个是在我们正常系统报价存在往下降的保险，
[12:34.770] 正常的官方厂家指导价到394,000万，
[12:37.910] 现在两三千对这种政策包括的他的车，但是说我们优质的比例地上
[12:43.750] 他这个的话就是说是吧，我可是最终给自己配就地面的，
[12:53.600] 但我上诉300 20047.4现在没有车。
[13:01.930] SUV4驱，
[13:03.240] 大车司机不提高也还可以。
[13:07.160] 行车辆大概产品对车了解还有其他几个，他定速巡航有，这都属于标配都有，定向同样都有的。
[13:16.460] 对。
[13:17.670] 然后我问一下，就是说比如说我行车记录仪还可以装吗？
[13:22.840] 可以装，但是就是说装他不会说能不能限制，另外的，咱们装不我们这是无损安装的，
[13:29.770] 你插插下来就可以玩了，就已经以前设计好了都行了，对吧？
[13:36.260] 不好意思了，因为它设计好了可以放马，
[13:40.270] 然后前后雷达水标配，
[13:44.420] 他后边有影像雷达的事是吧？后边你像前面雷达，你要是要300级别以上的，就属于这种360度。
[13:54.780] 对374,000对。
[13:57.440] 然后车上还有其他疑问吗？
[13:59.340] 对了没有是吧？
[14:01.120] 我明天可以试一下，我拍一下感受一下。
[14:04.490] 今天晚上。
[14:05.860] 今天开始来不及开始，谢谢，等到跟您约一下，不用我明天上午10点。
[14:10.930] 明天不行你就想什么事，拿驾照天一天告诉我，对，什么时候我来我你试驾一下。
[14:17.290] 对没有？你像
[14:19.790] 试驾的谁的砝码的，我试驾过。
[14:23.740] 行，但是就S又没有P然后他300的我看可以对不对？
[14:34.420] 这就是300，
[14:35.560] 这个是300的是小马就是顶配的。
[14:38.820] 说的。
[14:42.310] 谁知
[14:46.660] 这就是说好多人跟你说暂时就这样，像一个钻石的那种是吧？对，这是运动馆它那种的话就属于经典版目标。
[14:55.590] 对。
[14:57.180] 我喜欢这种。
[14:59.410] 然后它外观不一样，他说待得久一样。
[15:06.800] 这些外观都一样吗？外观都是一样的。
[15:10.630] 300跟这比高，他的蒙古就不一样了，
[15:14.760] 然后他也差一点有点配置差一点，产业说的宽跟高特长这都一样，曹操高度一样，我们感觉这种感觉
[15:22.650] 他肯定要比较大的，这车他不一样，
[15:25.870] 一样它内饰都什么颜色的，内饰就两种，一个黑一个试，
[15:31.260] 这是中国的，还有一个全黑的。
[15:34.240] 全黑的是吧？都是这种的那种。
[15:36.340] 不是。
[15:37.890] 你要是像咱们一二流或者300
[15:41.660] 这种运动版的话，现在都是这种系统批驳。
[15:45.760] 人造皮革的对。
[15:48.640] 你要是项立标用300数量级别以上的可能就皮革座椅。
[15:52.990] 这里头这都皮革是吧？对，现在奔驰这种他为什么要用I5皮革，他是把真皮烈士给摒弃掉了，
[16:02.770] 利用人工合成增加真皮的皮皮座椅的承受，
[16:09.150] 而且你不用机子维护，
[16:11.040] 他用起来不会有问题。
[16:14.630] 他不会你要奔驰S320基本都用这个瓶子，
[16:18.620] 这都没问题，其实它的优势比真皮还要好一些，他静音。
[16:25.850] 你知道奔驰静音效果靠近完全没有问题，对吧？奔驰主要是主打的是舒适的，
[16:32.640] 通过他的做的感受，包括她的激励效果都要卖，都比一般的保管网络比较好一些。
[16:39.270] 看着外面的药
[16:41.800] 了，干净颜色不一样肯定。
[16:45.060] 然后把这种其实报价给您算一下，请你给我算一下，到这边坐。
[16:49.430] 我们这里善良小睡不着，他说这个行业
[16:55.670] 我叫他们这个是
[17:00.160] 的这个是全时四驱全系标配的幅度真实的这种话，
[17:05.700] 不是分时，咱们是全时四驱。
[17:08.610] 要
[17:13.140] 这个是包括类似
[17:15.850] 配合300它的配置差不多差不太多，因为这辆车的价格配置都差不多。
[17:26.720] 还是比较好一点，这个东西因为都短出来就短一些，
[17:32.750] 加上既然过来了，行这边做。
[17:39.750] 要不然我看一下
[17:43.010] 能不能到时候约下。
[17:45.320] 开始你们回家看看。
[17:47.070] 小时候
[17:47.880] 在家玩幽默也好，想到
[17:50.440] 还有客户了。
[17:54.220] 绍刚说3000 2000 4000 5000的事儿多钱可能这样吗？
[17:59.200] 你那价格还是便宜，对您这块的话多少不知道，我要完了咱再聊。
[18:08.820] 百得利好像是好多店，我发现他不止是奔驰好多其他都
[18:14.340] 还有白白的其他的厂算是吧。
[18:17.510] 你们这是属于把能力做的1个汽车园，对其他人是吧？
[18:22.380] 我看还有沃尔沃，还有什么保护高端的沃尔沃、奔驰、奥迪、保时捷这4个是吧？上午打包的什么鬼？
[18:31.730] 对，包括这里边在这个里边就是正常所有的费用没有含装饰，
[18:37.560] 他防设备没安装是不是？我们不强制要求，但是也没有额外赠送。
[18:42.670] 对，所以说这块如果你黄色都装上结果狡辩什么进入应该统计一下拿出来赚钱。
[18:49.550] 这条我把余额3000发，然后给你车架才能减少千块钱，
[18:53.690] 然后相当于11,800 12,000，
[18:56.820] 然后可能就够权威的节能
[19:00.050] 过程，您到这边做决定，看看第二，现在为什么帮我看一下GM一还有bug加入CMCM
[19:09.790] lc还有一节的
[19:12.390] 可能是的。
[19:14.270] 是这样。
[19:15.400] 对，里边就便宜了，我们也有很多的一个人的8800，你刚才说什么？谁知？
[19:22.120] 你选择了吗？
[19:24.840] 一的话算260是吧？12120行。
[19:30.170] 不是的，你看看我甜食。
[19:37.550] 我讲完了这块现在喝点吗？不要了。
[19:41.400] 不行，他最后我想说它是讲究我们现在位置怎么样，就是我们做什么要求，可能是什么这个价格你是一座1万张做的，我是怎么处理呢？
[19:54.990] 他
[19:57.480] 力行他总是比如说不用
[20:04.430] 鸭血，但是光查询的
[20:10.360] 好像说没有，你说上能做吗？没敬业贴膜是吧？
[20:16.650] 我那是你要装工作，我就按正常这些情况都营业一下，你看一下。
[20:22.910] 你特别是发挥的，人家看你比如说咱们
[20:29.070] 然后
[20:40.450] 这个价格真的便宜吗？
[20:42.370] 这个价格说不没有形成三号。
[20:45.660] 这都是的应该是在正常下，好你再说偏一点。
[20:50.280] 怎么理解？
[20:56.690] 根据具体不确定他
[20:58.580] 千8.7目标之后，
[21:01.400] 申请完了应该
[21:02.800] 必须做不了。
[21:32.880] 你愿意做我们的
[21:34.140] 作为优惠不要做。
[21:42.560] 估计收益方式。
[21:43.820] 必须的条件的情况，贴膜、脚垫，谁知
[21:51.010] 这个是放在基本上都是用底座的，然后不影响整体的，也可以对整个环境能够控制的不错，后来也尝试了你那个东西妖怪2000多块钱，你在淘宝上都有千万，
[22:06.430] 而且电子家装的话跟分期也给你算一下，行，
[22:14.950] 我们就做。
[22:16.200] 这价格确实不知道你们在这上班才能让
[22:25.820] 置换的。
[22:26.820] 再加上政策已经卖了，谁知
[22:32.770] 吃饭都是对，如果不算的话还正常厂家有没有？
[22:39.630] 你这可以回收是吧？可以。
[23:48.590] 商场、
[23:52.330] 数据
[23:53.510] 的
[23:54.660] 加C0320
[23:56.990] 角C
[23:58.830] 220是加C20
[24:02.280] 动版还是豪华？
[24:04.400] 诧异座椅加热，他一个M外观套件大于基金投资还有19程度，
[24:09.950] 它俩差多少钱？差3万。
[24:12.690] 3万那以后算好一点。
[24:35.600] 要
[24:45.200] 号
[25:11.830] 远。
[25:22.080] 继续
[25:23.860] 关注。
[25:27.150] 包括
[25:38.050] 然后目标，
[25:46.310] 来您看好吗？这个图是吧？鼓励告奸报价单模板放在咱们再给您先给公约。
[25:53.010] 咱们这是一块为工地相待，同期经把得体面干净透明配套新攻势，绝不捆绑销售强消费。
[26:04.710] 门口这是咱们车站一个价格公示板，旧车辆一些售价，包括一些服务费用的，咱们都是公开透明的标价的。
[26:11.030] 然后刚才营业看了可以刚刚公版的价格都是相对应的，1260黑车攻击是
[26:18.140] 42元，这是官方指导价格。
[26:20.770] 优惠现在是7万用户元，用完357,800，高税是31,600，都得炒股，就以国家发票为准，就国家收多少我们收多少，
[26:30.740] 然后验证上班2500，
[26:32.780] 什么验车上牌的费用，
[26:35.290] 这车的保险大概是12,000，因为我赠送你一个5000的保险，因为用置换的客户5000的保险
[26:41.510] 补贴，
[26:42.420] 然后你自个儿补一7000，基本上全险如果不上全险可能花不了这么多钱。
[26:47.860] 全部下来是398,900，这是全款的
[26:51.750] 分期。
[26:52.730] 目前做的最多的就是手机一半带一半两年。
[26:56.400] 什么意思？就首付1万，就车款35块钱发的一半，
[27:00.900] 首附院大概两年，每个月你还7720，
[27:04.710] 利息两年总共花了6500块钱，
[27:07.520] 两年总共花6500，首付钱加税加保险加点车首付就是22万全。
[27:13.450] 然后最后再和你的实际的车费再加一个6500是吧？对就贵了300问题，因为你待了178,000。
[27:22.150] 这个是4个月是吧？对两年。
[27:25.160] 这是加C
[27:27.380] 这个报价是豪华版的，报价是422,800，目前现在优惠完了以后378,800，鲎税大概是33,500，
[27:36.170] 保险它是多送1000，这送6，
[27:39.020] 全险大概是11,000~12,000，然后中信6400:5000就够了，他上保险1万多的话，
[27:47.590] 因为我那个车比如说前面的车好多年没出现了，他有过优惠，没有被保险都是飞车，
[27:54.310] 你只要车一处理，保险就重新开始，
[27:57.230] 就和原先的没啥关系，没关系的，验证上班2500，
[28:01.970] 全部下来是419,800，但现在月疫情期间赠送一两年的保养，
[28:08.560] 还是比较合适的，您保养是吧？
[28:11.410] 对这家合适今天定吗？今天有没有顾虑吗？
[28:15.710] 没有对比的，对是吧？对还没那么着急，没问题，对于咱们报价有其他疑问吗？没有什么其他意义，对感觉。
[28:25.510] 对，我觉得还行。
[28:29.530] 然后这些东西都是基本上，然后比如说再额外的
[28:34.440] 业主你的单独加钱，咱不干单独比选转到不可以，然后
[28:40.910] 黑粉是吗？黑车都没事，黑车东西是颜色倒是自己人选，对。
[28:47.840] 但是这车基本上你像E级车基本都是黑车公益，
[28:51.120] 99%以上都是卖力，
[28:52.920] 是吗？
[28:54.360] 我看宝石蓝的也挺好的，
[28:56.840] 只能用一台
[28:58.380] 安庆E盘就那一台颜色，蓝色的特别少是吗？对你家里头
[29:04.490] 可能将来是我们家
[29:07.550] 我爱人他们还是比较多。
[29:10.270] 对。
[29:14.480] 然后我要不加你个微信。
[29:17.750] 可以没问题，因为我们暂时也没有说那么急的要置换。
[29:21.840] 对，反正就看一看，然后把到时候我什么时候
[29:26.320] 过来施加跟您先联系一下在这。
[29:30.180] 下边是咱们里服务员把case
[29:41.650] 号。
[29:42.850] 通过一下就行。
[29:47.950] 好了通过了。
[29:49.240] 没事到时候有什么，谁知
[29:52.500] 信息技术
[29:54.960] 我标注一下。
[29:59.460] 正好明天我给您做一回访，谁知到明天上午没下午。
[30:05.650] 明天
[30:08.590] 明天你下午
[30:11.250] 下午4:00。
[30:12.520] 下午5点行电话短信放在上面，基本的积累熊的是吧？但是
[30:20.490] 是眼睛花，
[30:22.780] 霸王别姬的姬。
[30:24.160] 北大唯一通途。
[30:52.960] 时候
[30:57.890] 电话短信微信方便，电话，
[31:03.600] 都可以。
[31:07.930] 的
[31:14.160] 4
[31:25.040] 行这我可以拿走可以没问题。
[31:27.940] 行，我需要你给我打电话不行。
[31:30.310] 开车来了吗？
[31:31.830] 我开车了，我其他园区的其他品牌看吗？
[31:35.800] 先不怕来不及了，我带你去搞，要不谁知
[31:39.960] 我管理我听产品介绍新人安排事了，
[31:45.290] 去
[31:53.270] 家里面
[31:54.940] 比较近，
[31:56.860] 我们这比较基本，每天好像4S店没用两天，没有咱们家电算比较大的就行。
[32:02.400] 你别看这个没有后面
[32:10.760] 你扫这二维码，
[32:20.800] 微信扫走。
[32:22.000] 我出场是跑断待着。
[32:25.930] 收银车牌号。
[32:32.110] 品牌的是吗？对在。
[32:33.800] 您这一进来都冲我保留
[32:38.770] 到。
[32:39.740] 好导演。
[32:43.880] 落下手机了，
[32:46.020] 京开路
[32:48.270] 出来了，东边说整个人都受不了了，然后
[32:54.980] 跟他说你们今天是这样，老板
[32:59.670] 谁知不对
[33:07.400] 二。
[33:08.960] 对。
[33:19.920] 谢谢。
[33:20.760] 它又自动抬高了，好好谢谢没事感谢光临，有什么需要的？好。
[33:27.700] 快乐OK。
[33:29.090] 行行好再见。
[33:45.080] 不用我待会还得什么？
[33:47.910] 再给我拿耗子。
[33:52.310] 我拿感情那行，我有伞，因为有个小懒不要买，没事感谢你那边小睡一下给你俩都过来了。
