[00:00.240] 接了二次客户李女士，
[18:22.890] 是我也想分期不太麻烦，你们都不建议我分，其实我愿意分确实挺麻烦的，因为你要这么说，股东就算了，1333在家，
[18:34.600] 您还是要豪华的是吧？我喜欢吧。
[18:37.120] 我让他当然跟那天晚上你不干，
[18:42.910] 您那个车的生产日期都是6月8号，
[18:47.060] 我们领导那时候13买时尚力优势对。
[18:52.530] 颜色了，他会汤奎老人有卖好，其实我开始把他会不要黑色的。
[18:59.590] 后来我觉得。
[19:01.580] 还是没错，最耐看的时间久当。
[19:04.690] 当老板可以喊上黑色就是仔细。
[19:08.650] 有点兰辉了，这样大家要等怎么能走多久？
[19:13.520] 说不好。
[19:14.770] 现在咱们库表里面E级车这车都是黑色，没有别的。
[19:19.890] 对我们说的代码容易了。
[19:22.110] 这197。
[19:23.590] 黑色的。
[19:26.120] 149是白色，
[19:27.940] 您看在16里面几乎都是黑色，没有其他的你们好，谁知
[19:33.470] 小猫这不是库里面的这些车库里的车，
[19:37.960] 这些车是在都要买到生产的，
[19:40.820] 厂家有生产，
[19:43.290] 厂家生产的车也是根据市场的行业来看，
[19:47.480] 主要市场我卖的黑色居多，他肯定是hello。
[19:52.390] 其他颜色会卖的比较少一点。
[19:56.290] 基本上。
[19:58.770] 都是。
[20:00.960] 突然长高了。
[20:04.300] 周日您是自己想去外面做的对。
[20:07.400] 花多少钱？
[20:09.110] 不知道咱家。
[20:11.220] 有熟人。
[20:12.540] 没有他干吗要吃饭，你做你这多快你不赚钱，
[20:17.720] 好像这么大4S店，你让他赚点钱怎么不行？
[20:21.680] 您就发什么，贴完以后我就做一贴膜，做一个护甲，然后再做就没有了，做什么护甲。
[20:29.070] 底盘
[20:30.680] 没用，像没人做那些东西看看。
[20:33.800] 有用吗？
[20:34.870] 你们发现别那都不包含，上次不跟你说过吗？没有贴膜、脚垫、后备箱垫、行车记录仪、发动机护板快，像你说
[20:44.610] 行车记录也是真没有。
[20:46.700] 还不好看。
[20:52.080] 就是说底盘我还是做一个
[20:56.040] 沪版。
[20:57.280] 看自己跟自己看别的，也就贴膜就没别的了，对。
[21:04.080] 您车一车是6月11号左右的。
[21:08.230] 7月6月11号左右。
[21:11.030] 对。
[21:12.520] 您稍等，您是全款跟进。
[21:15.270] 你到分区没限制对吧？
[21:18.040] 对你
[21:18.800] 反正分期三期，您这边不是指标，不就是您自己，您自己就拿一吃饭就能接。
[21:25.410] 拿身份证是吧？对身份证就能批了。
[21:28.230] 他这边李姐这边是因为他公司的指标
[21:32.550] 提供手续太繁琐了，我们奔驰金融专员昨天直接跟我说，他说
[21:39.110] 别分期了，
[21:40.640] 太麻烦了，好没钱怎么办？对，而且有些我根本提供不了，所有股东的资料都要提供，对。
[21:49.680] 就直接跟我说别分期了，
[21:52.480] 说您那是一个不用直接跟我说，别分了。
[21:57.640] 应该按理说他们应该愿意让您分期了，
[22:01.460] 我们也愿意让您分机对。
[22:03.390] 你们还挣钱吗？对，所以他现在是分不了期了，您稍等我去问问去，没有装是没有分期，我给你问问。
[22:11.310] 你不要着急，一一定要回去你也不用了。
[22:15.040] 对，昨天你看他自己就他那么愿意上车，他就是想挣这钱，被告我告诉你这钱肯定是正常。
[22:24.370] 谁知
[22:25.900] 不过到时候做事你要是出去了给自己找地儿去，
[22:32.440] 我看了一下他们都去爱义行，只要你有个外号，
[22:38.380] 明白。
[22:42.450] 什么扮相，谁知。
[22:45.700] 行，回头二一个。
[22:48.350] 300两手机把我拿走了，把自己给了。
[22:56.480] 上次结合法在火车上健康对。
[23:00.130] 要多长时间？去年不是去年前年。
[23:05.080] 去年11，我怎么感觉是19年对，希望看挺高的，去年11月年了。
[23:14.430] 小一年了快
[23:16.080] 一天就知道，但是我们快乐的家里边上面如果高的话，可能就得给我打招呼这个人，因为
[23:27.250] 我不工作，但是朋友并购同情的时候完全没见过，
[23:35.470] 中央不一样，农村的小孩没有的负责人，
[23:40.620] 我说在哪过的旧小区，
[23:43.400] 我其实想找个乡下的小，但是跟下手比较舒服的那么好，我天天别人就不会笑了，
[23:50.870] 最小的然后就切菜切了，然后很疼了，完了
[23:56.410] 然后开始愿放肆这样才好，然后这两个月了就先涨了，在那段时间我也没了，如果我这边不好是吧？
[24:05.050] 我也是上半年的事情早点，
[24:08.070] 然后小区一个他有个维权在开了，凌晨就那一家，我就不就右侧车道走了，那种比如说你谁知
[24:19.370] 迈巴赫刚才他做的卖家铺货，
[24:22.280] 今天开始就是每辆车只有4万，
[24:25.790] 之前片子之前都是加价的，
[24:29.500] 然后我觉得现在不景气，然后他说别人他车145万元，
[24:37.570] 然后别人那个吗？对不会，我觉得也是比保时捷他还是这样。
[24:42.950] 好吗？
[24:43.530] 你说别人都是怎么买的，都是带一个100万，你像卖的挺好
[24:49.350] 的，
[24:50.440] 人说了带100万，首付50就够，对。
[24:55.540] 然后他说我把我那车给置换了，能换50，我说够呛，说新车才卖60，那天就开那个机器买70万，
[25:06.210] 我在等于没看说7年前卖200万。
[25:09.640] 谢谢，应该买后边奔驰303他到底花了160万，对，看完180。
[25:17.200] 现在。
[25:18.360] 千万用不了了，现在七八万，我觉得100万都用不了。
[25:24.940] 掉价太厉害了。
[25:27.100] 道歉别买，你过两个月马上要将7万交太快了。
[25:36.640] 因为我同事买到21:00候，
[25:38.960] 我买了一期款不到91 8款式就110，所以我就选7款。
[25:45.980] 讲讲
[25:53.700] 评估一下。
[25:56.410] 对
[25:57.370] 上线
[26:00.100] 里面
[26:02.700] 12年买的
[26:04.700] 全下来19万，8年了，900年左右还卖6万多，你还能卖6万多了，
[26:12.000] 凭什么买不到50万呢？
[26:16.920] 都快三年了。
[26:19.760] 已经开了8年了，对我发现我觉得我们来说真挺值的。
[26:25.470] 而且他。
[26:26.730] 如果在瓜子二手车这还不习惯，
[26:30.640] 才能。
[26:31.780] 他这应该补给你1万补贴，那不也是7万。
[26:35.530] 开会有吗？
[26:36.960] 他那次说过什么补贴就置换，他其实愿意让你置换。
[26:42.650] 他就说都5天了，
[26:44.610] 他肯定没有三年要换，他这样那种一家加入错了，然后年限长的车型让你们这样换车，我是在姜行长关心支持下，我这里面都是
[26:55.830] 没钱换成
[26:57.520] 我觉得新有人生气不？
[27:00.030] 反正你得有耐心，你说汉堡也是，当时你说
[27:04.220] 他让你收两个简单说就是我们这给他降能力，
[27:10.600] 他也合适，咱们要说事对吧？
[27:13.220] 还不同意。
[27:14.680] 王立权是机关算尽的人，
[27:18.490] 而且我们现在感觉孤家寡人也没放，
[27:22.620] 他韩总监都给了，
[27:25.800] 这个是同学肯定都没有意见，没见过，但是我们都没，但是这个很多人讲了前前后后都想很大的。
[27:34.470] 他。
[27:35.590] 这个是你每次去看过你就看了，我亲自在大街脑力去算账是不还在
[27:41.190] 天天功夫了，因为我把他们整个班子我批评过一顿，你拍60的人平均上整明白让你大码说，
[27:49.670] 是比较北京你还见到他单子了，我就见了刘光荣，他都不知道谁，周芳、张东明小赵叫赵庆林，你们应该经理笑的，
[27:59.690] 新来的，他之前那个来了
[28:02.590] 半年一年，我们当时去的时候董秘是男的，
[28:12.610] 现在市场上一直走得不太好，
[28:17.310] 现在就觉得他还不上，他自己也知道是自己，反正谁让他说今天打电话给我说，
[28:23.280] 说你们是不是介绍一个新加坡银行，不知道，我们介绍再说，可能是别人介绍的。
[28:29.070] 然后说可能那就是说外资银行的准入门槛会低一些，
[28:34.110] 应该是他们公司头两年亏损的时候，浦发硅谷银行给了他们2万的信用贷款，
[28:40.450] 还带三年期，
[28:42.260] 所以他回去找找看外资银行能不能给他带，
[28:45.820] 然后给他介绍了一个双担保的
[28:48.290] 下周二
[28:49.840] 去他们那跟他聊聊，
[28:52.310] 高新担保可以把他的股票
[28:56.250] 接过来。
[28:57.300] 一是提高质押比率，装可以做到5~6折，然后他们不设平仓线，
[29:03.510] 然后终身担保收两个点的担保费，代表银行借款大概4点多的利率，分行下来就6点多。
[29:10.930] 如果他要是以企业的名义做的话，可能还能享受这么的贴息政策，可能5点多的包括成本。
[29:19.410] 郑州晚报能够给他做工作，
[29:23.640] 段国伟当中担保董事长的时候，我都觉得很不好一点，94我看不是汉堡了。
[29:30.270] 他现在是那个人保现在看不了案，报了还可以进彻底疗愈薄，
[29:36.480] 你来过就是管理人不行，所以撼不动。
[29:40.230] 我想过这些知道。
[29:42.410] 你知道吧？
[29:44.180] 他说
[29:45.140] 韩总不是说大意见，手中担保我也没去过，手中刚好给了。
[29:49.520] 有事临时老公突然的时候妈妈告诉我吗？
[29:53.090] 我介绍过去，
[29:54.570] 你知道他帮着妈。
[29:56.990] 没有行了，王玉洁在好惨，60岁老头什么他也不太懂，
[30:02.870] 也没有人给他指点该怎么办，还不知道该怎么说。
[30:06.420] 我们小区上周给我打电话说到期不给他去了，
[30:11.300] 这样的话就是起诉他起诉这样没钱。
[30:18.320] 但是
[30:23.740] 他们是挣钱的，
[30:28.600] 他卖的源头也有卖作业是吧？经常是这样的支持为中心，他的去年作出了清晰推送出来了，
[30:36.550] 形式为师他做的了
[30:38.940] 干嘛？
[30:42.160] 钱拿走吗？
[30:44.250] 他自己拿走了。
[30:49.190] 覃曼他把银行违约卖给国家那家公司合同这些公司应该有关联关系。
[30:55.710] 股权让他没有。
[30:57.770] 其实就是
[30:59.330] 也是作为原来的控股股东，
[31:01.880] 创业，谁知
[31:05.340] 东北的房地产还是银行呢？
[31:07.930] 对，我在电视台上看到东北有房地产支付，刚才讲10万，
[31:15.400] 还是我们不知道他给他找了一个什么，你看看刚才讲的比较好一点，
[31:21.190] 所以亏损的然后把它剥离出去。
[31:24.390] 你们俩坐一个沙发，
[31:28.010] 这么关心。
[31:29.820] 仅仅靠我怎么觉得这几年没钱就差别特别大，好像那时候都小的时候也没对他们有多远
[31:41.650] 了，再涨再涨的时候都一样又不一样了，对。
[31:46.750] 连差6岁差就是差那边挺他俩差60，对百分10 260。
[31:56.040] 中山装这地方大一点的还好。
[32:01.350] 他妈每天。
[32:03.970] 没多少了，没事也
[32:07.500] 后面给我查了一个遍。
[32:11.810] 哎哟早上这一点给我们，他要快咱们一定要搞一个
[32:19.180] 他这样可能觉得不长眼了。
[32:22.020] 没有，他自己就特别的房子怎么样了，就收起来，搞完了有了全扣完。
[32:28.140] 他看着那就搬过来。
[32:30.650] 吗？要是再搬曝光了，整个夏天。
[32:34.140] 对，一号也不知道能不能开学。
[32:36.550] 能不能开都得搬过来。
[32:38.540] 好的，你学校近点是吧？
[32:41.090] 什么事儿能不能开庭？
[32:44.320] 你说我们
[32:45.750] 小学就在家上网课挺尴尬的，同学半年没见了。
[32:53.630] 上半年又有高峰期，大家上网
[32:58.190] 我们也没去过，
[33:01.530] 你也不认识对自己
[33:05.600] 干嘛要考，下个礼拜是不是考勤考？
[33:09.760] 都考完了，还有什么期末考试就往上做张这样子。
[33:16.600] 7月11号放暑假了，有可能入学考试你得好好，
[33:21.330] 要不然就成绩最差的班。
[33:23.480] 学习
[33:27.460] 他说在最差的班里当学霸，
[33:29.460] 我一去的时候也对对，不但不知道我知道
[33:33.960] 下午胖子，但我起码
[33:37.140] 全21，我不希望你真是得好好考，等于把全校到几十名完整的一块，你等班长是吧？
[33:46.800] 请坐，我为什么分班
[33:51.440] 他会把好的给分出来，我不知道北大附近有没有实验班，最好的会在一起，你说他会有时间吗？
[33:58.470] 我听
[34:00.590] 机构的，他说有，但是我听别人说没有，
[34:04.830] 没有什么，反正怎么着，人家老师有什么问题，看谁学习怎么样，
[34:10.030] 这都是
[34:11.450] 学生太差了，确实叶脉跟不上也不行，没积极性。
[34:16.220] 就是指的一般都还可以。
[34:19.460] 认真点就能好点，要不就是瞎闹。
[34:24.040] 那考什么和一样都有。
[34:33.000] 他买了奔驰ER是我之前她自己想买哪个上司。
[34:37.580] 我说我在看我一挺好看的，路边我看。
[34:41.240] 然后我们领导也买了一去年买的白色的，有一次我们坐他的车有没有类似一样，他那车特别精致，
[34:50.930] 还是黑色好看，然后我说你买灰色比较适合你，然后
[34:55.590] 就看了一下，我说你自己你要喜欢其他的你就买，我说我建议你们行长开奔驰的挺多的。
[35:03.020] 像他们的话不就开宝马吗？
[35:06.640] 他们听
[35:07.650] 我看那天我们出去玩的时候，我在那看到他看着武器好像
[35:13.830] 还挺年轻的银行，他文章。
[35:17.310] 能听吗？还行。
[35:19.660] 我们弄了大基金，
[35:22.010] 然后在深圳成立一个子基金，275个亿的规模了，
[35:26.740] 然后只要落地到深圳分行，
[35:30.370] 跟他们那边
[35:32.030] 我们总行这都是我已经1:9，
[35:34.640] 然后北京分行行长跟他们协商让去当了28，
[35:39.510] 随着你们算，我们在帮他们家，
[35:43.220] 然后深圳分行还不同意要
[35:45.590] 2.5:7.5，
[35:47.350] 然后我们也接受了2.5:7.5万，他还耍了心眼，
[35:52.880] 我们显示所有的存款，
[35:55.400] 包括基本户监管和托管库切通知结果不满全写上了，
[36:01.380] 他就把后面
[36:02.880] 给删掉了，就写了基本户投放和监管库，
[36:05.560] 就留着后门以后，比如说写到以后他再多一些通知，不让我们的做一些密码自动我们等，所以这是打架打了以外了，
[36:14.040] 关键客户他等不了你们，你们弄不好，人家说得了你也别打了，我去民生了，或者我去别的地方去招商，就怕这样，
[36:22.850] 但应该不会老于那关系在。
[36:26.030] 对，他倒是不会了，不会看看。
[36:29.110] 但那没办法。
[36:31.360] 要在深圳开户，
[36:33.320] 跟过路财神一样，
[36:35.560] 反正没看到。
[36:38.400] 关键就是怕时间久了，也他跟那边深圳跟客户弄熟了，
[36:43.550] 我们就成了白忙了。
[36:47.050] 因为毕竟落地都已经开了，食物都是他们做。
[36:50.590] 可是你说你换位思考一下，如果要是你深圳到北京了，你北京你也想多分点，
[36:56.790] 那么多事儿都靠我们
[37:03.510] 他们真正深创投的之前的副总裁叫中粮的，
[37:08.170] 从深圳走出来了，来北京弄一个基金，
[37:11.710] 然后也是要弄用水泥的规模了，
[37:15.540] 用福利的机会来弄到半年了，有没有？
[37:18.380] 能够到钱。
[37:20.330] 严重。
[37:23.360] 我们这个原因晓得你现在是啥看得上吗？
[37:29.280] 我也不认识新主办，我也不认识金主爸爸，
[37:36.940] 不是我是你这小子让你们反正那个东西
[37:41.920] 主要有个人的房子现在。
[37:45.610] 你知道最近跑路的
[37:47.790] 叫什么来着？
[37:49.930] 爱情。
[37:52.320] 汪海的印刷。
[37:53.930] 跑路了，在知春支行托管。
[37:56.960] 现在又出来了，
[37:59.020] 有两个人他直接道歉了，我现在正在跟山东东流正在反弹差不多了，
[38:06.900] 他们冬天从头发光发了一个20个就是在
[38:11.640] 然后我现在正在给
[38:14.280] 工业设计有些工作，
[38:16.300] 你目前规划处理我任期个以上这三个亿，
[38:19.920] 然后他8元就直接能够实小三个一道，
[38:23.160] 大家形成一种
[38:24.210] 我就先吃掉100万就可以了。
[38:26.260] 然后7月1 80年代工厂就增长，
[38:28.690] 那才叫的，你看过了他三个1000到外地去还，
[38:34.840] 你讲的目前用力，我的上面最的喜欢你，你要他整合这样子，不要中国每年增加今天0.5平方公里的面积，就是从共赢增长，
[38:50.560] 安徽。
[38:52.200] 安徽政府也挺对OK，
[38:55.760] 他们讨论不少企业，
[38:59.880] 现在我10个亿里头，现在是冬天3个月，然后
[39:06.370] 谁知
[39:09.660] 大概
[39:10.780] 您这还是做
[39:12.870] 知道什么？
[39:14.560] 这个钱不是上去的，你还在上海公司也是我们都知道的。
[39:22.270] 我就说并购了100 100，
[39:26.270] 需要50要8多万跟百分点，
[39:29.510] 800点其实我觉得存在理论你没什么风险，
[39:34.080] 一家人在我的美丽最近就我们省我这小区办了一个任务，我们小区
[39:40.290] 你们那个楼里头是没开吗？
[39:42.620] 反正都停，我就是说曲美我一个亿是一个产品，8000万开会。
[39:49.400] 弄不了，我那时候还给你打电话了吗？
[39:52.760] 个人态度。
[39:55.790] 当时没办法又在广州农商行，
[40:00.400] 她们那边反对。
[40:03.720] 彩铃他政策灵活一些，
[40:14.230] 那时候我们银行其实也不是大银行，
[40:16.970] 哪个颜色的比较严重？
[40:20.380] 出问题不少。
[40:26.710] 有一些你家找长时间
[40:28.880] 都开胶，我们俩出去去玩了，吃过过你还没去过去过。
[40:35.090] 去过，你那个时候与办公室是吧？
[40:39.820] 没上去过。
[40:42.190] 去年还是？
[40:44.010] 前年去年还没吃饭。
[40:46.600] 没吃饭。
[40:48.180] 你干吗知道？
[40:49.400] 分干啥呢？
[40:53.470] 吃早晨对我小时候我在或者是现在不孝这种。
[41:00.890] 就是出轨。
[41:02.320] 也是
[41:05.760] 对。
[41:06.660] 他什么？
[41:08.010] 8月份还有谁知。
