[00:04.570] 好了，谢谢。
[28:11.160] 6800，对保险的话给您算完了大概是10,722块3毛3 10,722块3毛3，
[28:19.310] 一个车损一个三者100万，下一个找不到第三方，一共是
[28:24.350] 10,950交强200车船税，
[28:27.090] 9572块3毛，这里面是连着交强险是8，一共加起来一块交强车船加商业，一共是10722.33。
[28:35.730] 行，然后
[28:38.190] 咱们的大票就是车的大票，假开的是426,800是吧？
[28:43.090] 426,800对吧？
[28:47.730] 还价格。
[28:48.920] 426800就这价格好。
[28:52.280] 行行没问题，稍微等我一会找领导签个字，来您说。
[29:14.570] 方向。
[29:15.960] 搞下来你好，看来我们往下走上上班，
[29:22.670] 上班听到。
[29:25.380] 我对着给我看看，然后把帮忙一个把
[29:29.530] 立马从这等于把这块搞好了。
[29:33.920] 别说百%。
[29:35.850] 百三。
[29:37.070] 11,000的话现在这种情况。
[29:41.070] 三。
[29:41.820] 1358。
[29:43.150] 赶快上来。
[29:44.360] 三两三。
[29:45.400] 如果单位自己上课，这三
[29:48.990] 应该有10万。
[29:51.200] 没错。
[29:51.990] 17万。
[29:56.880] 还差5
[30:00.640] 二。
[30:05.830] 好像是
[30:06.960] 上海好像三块让三两两车的
[30:12.930] 丫头
[30:13.920] 白领的观察，
[30:17.100] 因为要是我想不是那种不一样，直言很好的主要手机上当时的东西是吧？升级强盗太棒了，我们一定要准备的。
[30:29.880] 又有礼拜还有半月时间基本的原则。
[30:33.690] 三人
[30:35.520] 只等着后天咱卖不？
[30:39.240] 我那房子把。
[30:43.300] 谁知。
[31:41.600] 挺好，走咱们去那边交过去。
[31:44.050] 来咱们这边。
[31:51.640] 甭管。
[31:52.890] 不是我这边还有一些东西，
[31:54.600] 当然订单收据什么的都得给您一份。
[31:58.110] 来您这边。
[32:02.990] 咱们的保养车间在哪？
[32:05.070] 看见这个了吗？
[32:06.680] 那个车迈巴赫停了一个位置，
[32:08.980] 后续您就开到那个位置，然后那边有前台的售后前台东西，
[32:13.660] 然后在
[32:14.750] 做保养。
[32:15.690] 您进来的时候就从保安那个位置
[32:19.540] 往这边拐就可以了。
[33:03.030] 还有三分钟。
[33:11.500] 教你的忘做API了。
[33:14.380] 有点作用。
[33:19.120] 我先用一张R用这张
[33:30.190] 我一般化了。
[33:31.780] 可以
[33:32.640] 的。
[33:34.610] 坏数据。
[33:46.390] 吗。
[33:48.010] 数据。
[33:48.900] 数据、
[33:53.960] 数据、
[34:01.040] 45
[34:41.720] 您多少？
[34:42.730] 200
[34:46.510] 直接把空调关了话，
[34:49.110] 他动了。
[34:50.640] 关了那么热吗？就是底下的塑料还是需要签证吗？要。
[34:56.060] 关都管什么地方？
[34:59.440] 你的前天给调一下别动换了。
[35:03.930] 你要是调高点你的
[35:09.770] 跟区别哈哈。
[35:11.400] 你看热的时候，
[35:15.090] 你们如果说支付宝和微信，你们还用专门写一个店铺
[35:19.940] 互鉴。
[35:20.870] 为什么要写？
[35:23.670] 有一个那不就成了吗？
[35:25.760] 有一个。
[35:27.480] 待付款就是微信确认函不就行了。
[35:30.400] 月的样子。
[35:32.200] 对，我们得要一点副卡的路牌都换了，now就一定。
[35:38.050] 我们不能用不要药店了吗？所以我们掉你自己对。
[35:44.060] 可以了吗？
[35:45.320] 我这完事稍等，刚做完又还得做两系统忘。
[35:49.550] 全做完。
[35:52.430] 这个是给我吗？
[35:58.710] 一会我给你订一块。
[36:08.870] 一会等着往固执。
[36:12.350] 让。
[36:14.510] 您三个头给我用一下，我订一块。
[36:19.630] 说这个状况吗？
[36:24.940] 走吧，咱上班去休息会儿，OK。
[36:27.690] 一会我准备好把这东西给您好。
[36:33.230] 保利你们两个祝贺他们网站怎么办？
[36:37.270] 这种
[36:38.440] 并没有
[36:39.320] 遗憾的。
[36:40.210] 中国银行
[37:14.610] 带金矿，
[37:30.550] 还有两分钟。
[37:39.590] 根据
[37:41.810] 下个周三过来的时候把帮我带过去。
[37:44.820] 等会儿我问一下。
[37:56.420] 552502。
[37:59.780] 哥你帮我看一下这车我要后天交能交吗？
[38:05.230] 我跟他高点。
[38:09.050] 现在跟他说号召那样能交不是什么552502，我想后天交割哥你帮我看看能交吗？
[38:20.180] 我看着P店应该还一片没完事。
[38:23.400] 不能我就拖一天。
[38:25.490] 您这面能不能。
[38:26.820] 天天是吧？
[38:28.990] 明天回来行了。
[38:33.530] 看看。
[38:34.400] 这两天要的话，我这边先找你现在
[38:38.200] 那就周三，
[38:40.140] 周三的话咱们早早上早点过来，
[38:43.190] 大概是9点或者9:30到这走，说好。
[38:46.910] 没办法了，您这已经三岁，
[38:50.040] 帮了很大的忙了。
[38:52.110] 行好好了，能不能可以吧？
[38:58.200] 好。
[39:14.760] 周三，
[39:15.800] 然后早上9:00~9:30 9:30或者10点您到
[39:19.440] 然后您办理好
[39:21.550] 还是一样，后面放一点。
[39:23.830] 走得好。
[39:52.760] 对吧？
[39:53.650] 为什么158新闻L
[39:56.080] 你做
[39:57.460] 个性
[39:58.790] 等等回来。
[40:13.070] 周三周三我来咱们有问题了，咱俩电话。
[40:15.620] 好好拜拜。
