[00:04.640] 电话
[12:42.040] 还有个票没有？
[12:46.810] 这有可能左右的。
[12:49.270] 说
[12:50.640] 您说这车我们
[12:52.430] 卖不卖，我们这台车都那什么优惠，
[12:55.920] 我们能成交我们就成交了，这么做就行。
[13:00.650] 你给你假我们咱们算了上55,0005万，
[13:06.720] 万852,800优惠完了80块钱没
[13:13.200] 事情的感受。
[13:24.960] 这个是跑得最快的4门道口百公里加速0~130点儿，但其实他爸就买账了，刚刚买了。
[13:32.720] 真的好看，我觉得特别好看，是能一样吗？
[13:36.070] 刚刚
[13:37.240] 0~100加速3.2米什么概念？就是我说我打个刚买这么一个
[13:43.870] 他1个11,000他拿1个汽特别漂亮单车这4个6，
[13:49.410] 谢谢放在这么一个手动咔咔的，我觉得您说的可能是他的教法，但不一定是mg。
[13:55.270] 对mg=MMPM记，而且这车还分4363，这是63。
[14:02.390] 一它上面就是gt了。
[14:04.970] 100 140。
[14:07.250] 这个超级棒，刚才
[14:11.460] 这事不隔林赛道跑得最快的4名招牌，我看
[14:16.170] 油耗160
[14:18.930] 4，这是C对吧？
[14:22.540] 这逼8毫米。
[14:24.730] 4.0没稍微等一下。
[14:27.830] 而且这种4.0没发了以后，你想买也没有。
[14:31.040] 现在C63都西路3都4缸了这东西。
[14:34.880] 这有钱人作价差不多12还给你不要。
[14:39.520] 为什么说谁老哥后来买
[14:45.390] 那个材料，
[14:46.880] 100 170多76 82万的帽子，
[14:51.110] 你猜咋的？
[14:52.730] 8缸4.4T
[14:54.500] 8缸478434P8的结果，
[14:57.860] 烧机油没法弄，
[14:59.880] 烧机油烧最后了不是gay我也不掉，好轮胎这么快，
[15:03.940] 前后不一样，可能这么快，最后你猜我只花你多少钱，跑了5年35万，
[15:09.370] 三天就给我35万，我说
[15:11.900] 做
[15:13.200] 给谁谁不要这个人了，谁都不愿意给他开不起，他这东西简直就买。
[15:19.270] 你说cos品质的高尚二，
[15:24.200] 不管是CS真不管，你说现在也更好吃一些，比方A8宝马。
[15:29.570] 对了。
[15:31.120] A 8A6A车还没买，就老想着卖多保值，我们不会开一辈子，
[15:37.830] 开几年我们都挂，
[15:39.930] 那是得考虑旁边的对不对？
[15:41.720] 谁通话通白被子开个五六年两天都变化，
[15:45.320] 还一个导流槽这个问题，那得考虑您买SB买报纸，
[15:50.540] 二手车市场肯定认S
[15:52.900] 这个车
[15:54.260] 你说的不对，现在像我们那儿上班测功能价格我们就搬一半，
[16:00.790] 明白意思吧？
[16:02.750] 你买车你不明白，
[16:05.160] 但是他要商户女孩子开，她这个要比一半，你觉得
[16:09.360] 好像时尚一点。
[16:12.870] 那么宽的她那牌子就买牌子，
[16:16.000] 性价比它的性能肯定没有。
[16:19.630] 最后半天和还和80九八
[16:22.370] 对齐了，以后89，然后丁哥C rs
[16:26.640] 七手八脚
[16:27.660] 七七十六
[16:29.400] 一次滴最少一个多少？如果10万还少，你到外边这车也优惠四五万。
[16:34.990] 她跟她涨你知道。
[16:38.160] 她有她的权限。
[16:39.530] 你自己的请经理，如果你诱惑不了，咱别再这一块第一次
[16:46.900] 咱们哪个是最重要？
[16:48.680] 是的，你们因为您现在没问，所以您老觉得我报的地气，包括您问完了以后，您对比完了以后，您马上就知道，瞬间就知道我给您报这cos优惠10万是什么样一个概念来说，S一共5万不相差。
[17:04.470] 咱们这行情就算是你的权限，不管
[17:08.280] 卖给了84您干嘛？今天回来了调整。
[17:14.230] 22847点
[17:18.020] 2.0推动
[17:19.630] 加一个层次，
[17:22.920] 期望这一块销售模式快点是不是？
[17:32.990] 是。
[17:34.000] 我发现您人家都没有谁知
[17:39.400] 了
[17:41.220] 了
[17:49.190] 到
[17:54.370] 谁知到1点
[18:47.500] 好玩特别开心了。
[18:49.510] 开开。
[18:52.470] 这细节这么在意，接着客户了吗？饭真好，正给人订着车上去，还给人巴巴讲什么车牌，
[19:00.910] 就我打那cos。
[19:03.070] 好的方便吗？
[19:05.790] 贷款是不是？刚才我问你这有没有有仨，我不是挑了cos吗？你说有既有一个CS，有一个交B我不是拿了一个吗？
[19:15.650] 他是一拨跟反正行提车的客户是衣服，
[19:22.760] 我提车的时候完了又找销售。
[19:24.990] 傻逼吗？我操一人这种。
[19:29.300] 关键是你不可能在我这买，你这就销售了，没有。
[19:33.590] 报废了，你再报xp点点干起来跑步吗？
[19:36.840] 在问的就是他现在交的我在鲍卡去了，
[19:41.220] 作为入场。
[19:55.760] OK
[19:56.580] 第
[19:59.080] 186
[20:00.490] 008
[20:02.710] 0097。
[20:07.630] 对。
[20:09.530] 你是姐夫打一电话直接等一下。
[20:13.860] 等一下评价。
[20:16.200] 大家说他这车给完了大大装饰啥的，我们打分机，
[20:21.820] 对咱家来讲合适。
[20:24.800] 那车可以说中国做银行那些车飞机也不能说明使用，所以说合适就行了吗？
[20:30.160] 我们转款大概是。
