[00:00.000] 远远
[12:27.450] 1 AB下个月会有活动再跟您说了，4楼另外但是要不然我们现在影响力现在还是这么，我们第一第一次能给商家对五六三十，
[12:39.100] 就用135272，
[12:42.120] 谁知钱这些钱都是不用您付的，都是动的。
[12:48.700] 大概这小小4000元。
[12:52.460] 这些是送下来，因为
[12:54.270] 外边确实是人才比较多，也就便宜了，因为他已经打下了，因为轮胎
[13:00.400] 轮胎4S店的利润就是20%，可以稍等一下，已经减了10%，只有10%的利润。
[13:07.070] 利润。
[13:07.970] 然后现在因为我们单位
[13:11.500] 大众V6 81,000的发生店8000多，
[13:16.220] 看来都没换，还刹车盘片那个对象，您这个车如果说刹车片
[13:22.990] 这种情报警不换的话，他就把刹车盘磨坏，把沙盘紫砂这一块
[13:28.690] 你看这个确实是刹车盘，对刹车盘就像您这一个刹车盘至少
[13:32.940] 1700块钱，现在像我们微信对他那车可能是大暑他很大，最后的费用，
[13:41.410] 目前看就这一块大概可能最后会有
[13:44.940] 100来块钱的一个清洗。
[13:48.600] 咱们说这个店了给都洗了这也多长时间，明天我限行，
[13:54.590] 大家后续
[13:55.480] 因为轮胎我们店里只有两条，
[13:58.010] 然后北京库房有两个一样。
[14:00.370] 对。
[14:01.270] 原车原装跟您车拆一模一样的。
[14:05.250] 是奔驰厂家认证什么也跟着目标二楼能这么多年了，
[14:11.710] 宋忠友也就有个什么。
[14:14.220] 扇子包括上调。
[14:16.200] 塑料厂的
[14:17.730] 两节电池的文化墙电池，
[14:21.100] 这就是这个吗？
[14:23.390] 什么遥控电池？
[14:25.310] 这没有。
[14:26.700] 我能送你俩过来种，但是这个可找不着。
[14:29.810] 波折我能找到，但是这没有那。
[14:32.120] 那块找不着妈有点没放车里，因为他现在电池是一个包装里两块，
[14:39.280] 是吧？稍微买一个包装两块。
[14:41.130] 对，可能丢一块找不着了。
[14:44.160] 我能送您玻璃水这肯定没问题，但是要是电池我可找不着，因为就那么多都带走了人家。
[14:51.040] 或者说用
[14:52.760] 好。
[14:54.010] 明天才能过来，后天上来。
[14:56.290] 后面保养。
[14:57.240] 这给我开出他们进行。
[14:59.740] 开不了，为什么？
[15:01.770] 试车去了，那照下来了吗？
[15:04.700] 找他要钱。
[15:07.410] 试车去了。
[15:09.850] 您放心，这次不存在是车的问题。
[15:15.040] 说。
[15:21.800] 的。
[15:29.230] 中医。
[15:30.730] 这个对不对？
[15:33.170] 还有啥电话是
[15:36.550] 然后这个里面咱们这边说数据
[15:40.500] 注册进入的。
[15:41.540] 东西。
[15:48.640] 北京完了你的。
[15:51.760] 谁知。
[15:55.420] 您把车开，你师傅过来拿一下，随便拍这两个开进来了。
[16:01.710] 吗。
[16:03.520] 先生我这边还有最后一个，我给你说一下。
[16:07.670] 是你的车的外观的意思，我知道了。
[16:10.810] 给我介绍过，然后主要是你那块一分钟修一次，然后你都可以
[16:16.910] 把这型号搞了过来，就
[16:19.040] 这是我们6月份开始。
[16:20.400] 那个项目我们保险。
[16:22.180] 是不是会因为出险了，会不会一些不管你系统让我们服务已经出现肯定会涨，
[16:28.530] 付一次电煤涨不了多少，那张照片两天左右你要出两次减少，
[16:35.010] 出一次险就是2000块钱左右，你。
[16:38.410] 买卖单管了。
[16:39.850] 你别管多少钱，
[16:42.350] 把两张需要花钱第一次。
[16:47.420] 那个时候。
[16:54.370] 235 29。
[16:57.990] 像您这种情况。
[16:59.600] 对您加我微信。
[17:02.740] 我说感谢。
[17:04.610] 车损险你就只能找那种，你不能碰碰两块那种的，你明白我意思？
[17:10.240] 这就不行了吗？我这跟我没关系。
[17:12.740] 我只是给你钱。
[17:13.950] 只是我认为船票
[17:16.640] 我是对你怎么清楚，没有任何的比如说玻璃我。
[17:21.350] 但是我不信以上的保险，包括我上班没有我这个是怎么看的？
[17:29.690] 你这单独的增加的保险，它就是一个新的前段
[17:33.670] 你。
[17:38.060] 我们人保的也就是说。
[17:42.050] 然后你说签字吗？
[17:44.950] 全是我们这队，最后赔你钱的是什么？
[17:50.470] 人。
[17:52.720] 就必须得押你那工时费，包括那40另外
[17:58.640] 他连四另外一都没有，
[18:00.810] 然后给你发过去了。
[18:03.360] 您一会儿天回调。
[18:11.020] 你在那等一下拨打电话过来我打电话了。
[18:18.250] 1300多一条。
[18:19.780] 条1330。
[18:21.870] 对。
[18:24.620] 两条26002670都吗？
[18:27.900] 连小都得换了，那轮胎都爆胎了。
[18:39.720] 的。
[18:44.420] 号。
[18:45.500] 数据
[18:47.400] 谁知
[18:50.090] 不着急。
[18:53.650] 你还用开单还是我这边我走了等着你，对由客户
[18:59.310] 你出单子就完了，那个叫什么了？
[19:02.680] 做
[19:03.760] 内饰清洁清洗。
[19:05.680] 对，最好问他做。
[19:08.390] 做。
[19:09.720] 我们对机械钥匙能粘上，我专门的。
[19:13.790] 的
[19:14.950] 毛刷，他们没有文凭的也给你刷了。
[19:20.280] 王不能穿了。
[19:23.870] 安全安全带上也是。
[19:26.110] 那块
[19:27.790] 都
[19:28.820] 变少了，你让他你要是清醒，我说的问题我都作践了。
[19:33.790] 他不是有一个朦胧的坐垫，能不能给写一下，
[19:39.090] 不管他要弄清楚，你如果一下你什么星期四，您就随时来就可以了。
[19:45.850] 星期四肯定能完事儿。
[19:47.840] 对，因为明天这轮胎大概明天中午能到，如果你换了胎的话，
[19:53.690] 安全在那。
[19:58.920] 谁知
[20:00.250] 他们的关系。
[20:01.810] 他经常他主要是做电仪表。
[20:07.300] 平台。
[20:08.230] 就这样的话，因为机票如果我算对总共加一块。
[20:12.140] 金额。
[20:13.020] 第一个就是你附加的脚垫16,000多，万六对100 6500，
[20:18.450] 然后撑死了有100块钱，100块钱或者几十块钱的一个清洗剂。
[20:22.500] 因为换变速箱有些。
[20:23.820] 油油泥。
[20:24.800] 面临撕掉。
[20:26.580] 那个是100年也美，那也是属于相对之下必宝贵，为什么？因为B宝正好赶上2万4万6万，
[20:36.420] 这些都是需要更换其它零件的，比如说您2万2万公里需要一些，比如说咱们的
[20:43.190] 各种清洁，包括天窗，包括机舱的，
[20:46.930] 然后4万公里正好赶上您的火花塞。
[20:50.130] 这样，然后6万公里又赶上那些什么变速箱油这些大保养。
[20:54.880] 所以B宝相对贵点，但是打破你的效果算了资源。
[21:00.150] 到时候谁知
[21:02.650] 因为我们这座好像。
[21:06.330] 单位这边换你那放，
[21:09.030] 他首先不能保证原厂的。
[21:11.200] 不能保证。
[21:13.100] 你能帮我签个字。
[21:14.150] 不会。
[21:15.580] 要知道
[21:17.450] 月湖也才能开票，我看看你爸爸妈妈，咱们这还有个1500够贵，行行那么多好吧了，看有时候。
[21:29.300] 还是我现在在药店你包含
[21:33.490] 祝你具体的地点
[21:36.430] 给我弄了一个。
[21:38.020] 半天的。
[21:40.400] 我们把票给您有名片，下明您已经有微信了，
[21:46.730] 然后这边到时候。
[21:48.640] 不管什么完事我通知您，然后你想什么去什么时候取好吧？
[21:53.030] 看你说了，现在电池没在外边买，就是一流氓好一点的，因为
[22:01.170] 我们这就是80块钱两块，
[22:03.790] 因为外边可能也就是二三十块钱一套，
[22:09.290] 拿原件我们这不那边能干吗行。
[22:13.220] 你知道妈外边你比如说上个超市吃饺子什么的。
[22:17.620] 2016。
[22:18.820] 他小灯您看到了吗？现在还亮着没有电。
[22:22.340] 对，然后这钥匙别摔，不要掉队，这要我们见过调调一块的开不开车了，这要是废了要5000多块钱，
[22:31.170] 就不太一样。
[22:33.400] 你再飞一下这贵。
[22:35.890] 你看看能不能找个套什么的，套上待会看我这边有没有看过送。
[22:41.450] 进行。
[22:43.820] 您就先忙您的。
[22:47.990] 轮胎有着落。
[22:51.700] 今天。
[22:55.480] 到
[22:59.400] 万。
[23:00.780] 这样。
[23:03.230] 到
[23:08.210] 这样。
