[00:00.840] 那边5点。
[13:33.270] 多少钱？
[13:36.710] 走走
[15:27.100] 的
[15:37.950] 远场
[15:40.060] 花
[15:42.310] 场
[15:43.630] 场
[15:45.870] 场
[15:47.160] 句。
[15:50.620] 场
[15:54.360] 花。
[15:57.320] 花。
[16:08.200] 的
[18:27.990] 花
[18:28.800] 的
[18:33.220] 号。
[18:38.650] 场
[18:42.130] 场
[18:48.530] 数据
[18:49.490] 一
[18:51.220] 五
[18:52.920] 场。
[18:55.470] 6
[18:57.470] 句。
[18:59.360] 花
[19:02.990] 的
[19:05.360] 180
[19:14.520] 对。
[19:29.820] 对那边我现在都难受。
[19:38.940] 难受着。
[19:44.900] 那一块
[19:51.610] 到那边开关。
[19:55.870] 6点
[20:02.430] 感受。
[20:09.220] 远。
[20:12.870] 感冒。
[20:14.400] 昨天感觉
[20:24.030] 开窗
[20:25.710] 下雨。
[21:03.570] 二
[21:08.360] 的。
[21:30.780] 奠定
[24:22.080] 数据
[24:22.960] 的
[24:24.030] 10
[24:25.880] 远
[24:33.600] 场
[24:34.890] 句
[24:39.010] 的
[24:46.760] 好在今天这两点，
[24:50.110] 我到时候看看找找
[24:52.650] 把我这能看。
[24:56.230] 中午3万块。
[24:58.770] 完了感觉
[25:00.620] 是谁？
[25:45.240] 过来
[25:48.510] 的。
[26:54.010] 和
[26:55.480] 行。
[26:58.270] 我知道还乱。
[27:01.990] 下
[27:04.860] 话
[27:13.510] 坏。
[27:16.510] 了
[27:41.960] 喜欢花
[27:50.250] 花。
[27:54.010] 数据
[27:58.180] 的
[28:00.060] 远。
[28:09.860] 居然坏了。
[28:12.270] 坏。
[28:17.240] 远场，
[28:19.110] 场场
[28:23.530] 还
[28:24.480] 的
[28:27.000] 数据
[28:31.240] 数据、
[28:40.890] 坏数据，
[28:48.280] 句。
[28:49.050] 花。
[29:03.640] 本来
[29:14.710] 的
[30:35.880] 型号的
[30:39.360] 的
[30:41.460] 远
[30:42.590] 场
[30:47.250] 坏。
[30:53.210] 远
[30:54.180] 数据
[31:29.790] 花。
[31:48.030] 一下，
[33:09.250] 坏
[33:10.360] 的。
[33:14.380] 数据、
[33:18.730] 话
[33:28.600] 数据
[33:32.260] 一直通话。
[34:06.570] 月。
[34:10.370] 30万。
[34:19.560] 远
[34:23.750] 数据
[34:26.590] 场
[34:27.680] 场
[34:29.070] 的
[34:31.560] 数据
[34:35.070] 数据、
[36:17.150] 数据
[36:18.630] 坏
[36:20.240] 远远
[36:23.750] 数据。
[36:28.870] 为
[36:31.200] 为
[36:32.860] 没事的话
[36:38.510] 了。
[36:39.950] 看
[36:48.250] 数据。
[36:49.270] 用
[37:10.140] 快
[37:16.010] 了。
[37:19.170] 三
[37:29.790] 我应该
[37:33.790] 肯定
[37:37.030] 浪费。
[37:38.410] 好。
[37:56.880] 睡
[37:59.470] 的
[38:00.680] 五
[38:22.950] 快。
[38:24.060] 在这弄完了了。
[38:33.630] 稍微好。
[38:43.990] 说
[38:46.850] 打。
[38:47.990] 我给打电话的往上走。
[39:00.290] 的
[39:11.710] 的。
[39:25.070] 这个客户回来了。
[39:28.910] 没有一个客户反馈一下要然后给他
[39:34.970] 宝贝180的
[39:38.690] 330
[39:45.300] 不是我说三个0一个5，然后6716。
[39:50.770] 有多少呢？
[39:52.640] 后来62。
[39:57.700] 了。
[39:58.760] 看
[39:59.550] 我就感觉自己现在
[40:03.290] 一块
[40:05.000] 这种感觉越来越强，不了地方不是跟他说，事实上你们出来初步确定，
[40:12.320] 数据
[40:16.950] 数据
[40:18.560] 场
[40:24.090] 坏
[40:27.170] 数据、
[40:33.950] 数据。
[40:35.680] 句
[40:40.470] 数据
[40:41.570] 的
[40:42.920] 五。
[40:45.120] 的。
[40:48.390] 坏了吗？
[40:50.050] 的。
[40:53.470] 数据
[40:56.000] 点
[40:59.190] 数据。
[41:00.230] 10
[41:01.390] 远远
[41:02.890] 三
[41:23.240] 看。
[41:29.850] 行。
[41:40.720] 效果销售过来谁的交B在只能给我放找呢？
[41:45.870] 等我一下。
[41:47.000] 金光说多了，
[41:50.360] 看到信息数据的处理角B的
[41:55.910] 是吧？
[42:03.970] 了
[42:44.840] 的
[42:46.830] 到
[42:48.060] 二
[42:50.350] 数据
[42:59.230] 场
[43:01.140] 数据
[43:04.270] 的
[43:05.960] 场。
[45:23.560] 场
[45:24.900] 场。
[45:27.140] 数据
[45:36.510] 句
[47:04.720] 旅程。
[47:16.230] 现场。
[47:32.800] 6213
[47:43.750] 给
[48:48.080] 的
[48:59.550] 035。
[49:01.370] 践行吗？
[49:09.620] 等着等着电话我明白了第二个号码了。
[49:21.170] 数据
[49:37.790] 总
[49:40.890] 总
[49:44.750] 的
[49:46.740] 用
[49:47.820] 总
[49:54.270] 懂
[50:05.590] 走。
[50:31.760] 歌舞节目。
[50:38.090] 好了。
[50:40.330] 好的。
[50:41.640] 还没找见客户。
[50:43.300] 阿含经讲
[50:46.100] 接。
[50:48.420] 见过吗？
[50:50.330] 刚刚检查那个吗？
[50:53.080] 你先别给我采，我跟你一块不行吗？刚才谁知
[50:58.570] 我买股票了，还消防都声音。
[51:02.750] 你到街
[51:05.480] 我没结果这感觉。
[51:08.680] 其实我也没办法。
[51:11.080] 没办法。
[51:17.570] 怎么没用？
[51:20.160] 行。
[51:34.170] 月月9号。
[51:36.450] 二
[51:38.120] 会还开不开还好。
[52:09.790] 我跟你讲了，
[52:11.280] 不为啥？
[52:12.770] 好。
[52:14.310] 创新。
[52:19.150] 是吧？
[52:57.680] 没有刚来了。
[53:17.410] 就这套。
[53:21.950] 一样。
[54:33.830] 了。
[54:35.630] 说1000。
[54:40.910] 反正就是什么？
[54:42.130] 这就是说一
[54:44.480] 然后没反应一下。
[54:54.470] 到达都是这样。
[54:56.080] 可能还得开。
[55:01.140] 他拿了这张
[55:03.310] 然后名字
[55:04.640] 所以说姐姐来了。
[55:07.150] 应该说
[55:08.580] 收入证明
[55:09.480] 你们脑子已经转了。
[55:12.250] 知道没事。
[55:14.890] 可以理论。
[55:52.560] 场
[56:29.760] 用
[56:33.960] 的
[56:41.120] 的。
[56:42.640] 下午好。
[56:48.830] 也
[57:00.950] 的
[57:03.380] 等。
[57:05.020] 小芳吗？
[57:07.050] 干嘛？
[57:08.290] 不知有三方面，
[57:13.030] 谁知
[57:17.280] 你就往前不是往后走，一边打着
[57:21.060] 移动电话
[57:25.400] 不得
[57:26.880] 了。
[57:28.640] 回来污染为什么
[57:32.440] 的？
[57:37.600] 黄磊你知道吗？
[57:48.270] 能看见吗？
[58:14.910] 还
[58:20.070] 介绍
[58:28.260] 我把他了。
[58:35.360] 远。
[58:41.080] 谁
[58:47.390] 场
[58:49.000] 的。
[58:51.450] 为啥？
[58:54.330] 老师打电话我说
[59:00.590] 好像一边做着整个贝岗叫娘，现在没有销售能接触，
[59:15.080] 比如说你做哪个合同肯定。
[59:20.320] 要上班。
[59:22.020] 老婆。
[59:25.880] 谁知
[59:32.850] 董志
[59:41.390] 总之能知道吗？
[59:49.470] 是现在没有销售了，
[59:51.600] 还不能退了，行。
[59:54.110] 要不我说你们都不关心，
[59:58.830] 谁知
[60:02.880] 你就听着点有故事，教育
[60:09.380] 有人
[60:10.410] 先给大家打电话，
[60:12.030] 不要问他干嘛。
[60:15.630] 时间。
[60:17.880] 睡。
[60:19.110] 远远
[60:23.650] 的。
[60:25.430] 场
[60:30.600] 场
[60:32.480] 话
[60:34.000] 花
[60:39.040] 的
[60:41.330] 远。
[60:49.630] 5年前
[60:53.730] 没有。
[60:58.150] 等我联系共同。
[61:15.950] 红鲜浓香，
[61:20.990] 你方便蓝后听帮助无妨的客户领着手续，
[61:28.860] 这辛苦来了后听，
[61:33.890] 完了。
[61:41.030] 等等
[61:57.480] 你干啥呢？
[62:02.780] 老曹你在群里说一声，要不你就把卡片给前台。
[62:10.170] 他开到多长时间？
[62:11.880] 过10点了。
[62:17.140] 赶紧加不停媒人介绍过了都是吧？
[62:23.070] 好了。
[62:27.930] 了
[62:34.700] 准备
[62:36.120] 我们大伙回来
[63:07.870] 哪去了？
[63:12.480] 是准备的，明天交给车。
[63:19.790] 撞了。
[63:23.630] 那你一路上玩不了。
[63:27.790] 你看全年
[63:29.220] 群里面报备一下，
[63:31.170] 缴纳好了，
[63:40.040] 停着了。
[63:43.630] 不要手。
[63:51.080] 像小王小勇
[63:52.700] 现在已经排队了，你弄完了赶紧过来，后天结果过。
[64:09.550] 报废了。
[64:10.870] 爸爸女朋友口碑
[64:31.610] 流转流转，
[64:36.410] 你们要不着急，你下班坐
[64:38.960] 都给你退过来了，后天的已经排了两个客户了，
[64:43.290] 因为用户相当完了。
[64:46.170] 都没有穿吗？没有车牌号的话现在定的资源
[64:49.250] OK。
[64:51.010] 无所谓，把车标注了就行。
[64:54.470] 待会再做，要没人接客户。
[64:59.820] 立项。
[65:01.140] 啥都抵押，录怎么知道？
[65:04.880] 不知道你们还现在把价给找死。
[65:07.720] 定不了42,000。
[65:09.100] 什么把完了给他转一下，大怎么搞，你写这个你应该写印象呢。
[65:17.790] 你就不能写了。
[65:20.350] 填写调他调。
[65:22.860] 当然得高兴了。
[65:24.800] 因为你全国卖什么给写的
[65:29.120] 不写。
[65:30.260] 不写了不高兴。
[65:32.160] 行，再见。
[65:33.850] 再改一下。
[65:34.860] 就把那个姐姐决定，现在来说就是意思这里面
[65:39.120] 这样的好知道吗？
[65:42.280] 这样他是他的。
[65:46.380] 你说。
[65:48.450] 是不知道都没有了。
[65:57.080] 没说没戏。
[65:59.160] 你还不是有个目标，
[66:16.620] 不是这种。
[66:17.650] 真的。
[66:23.160] 我在北京，
[66:25.330] 谁知。
[66:27.630] 这个是抢不了这个。
[66:29.680] 这些
[66:32.090] 只能这样。
[66:33.610] 完了什么东西买的公司投资他们应该没有问题的时候，
[66:39.550] 或者三等奖，
[66:41.560] 活动费用，
[66:46.700] 这点了点了以后就不能取消了，
[66:51.400] 也是给20分。
[66:52.700] 30年代了完事了写的了。
[66:59.750] 真牛逼。
[67:06.700] 虽然你没有车，
[67:09.490] 马上就到了。
[67:12.950] 咱现在国产车都卖期货了，进口车卖期货那不更正常。
[67:39.070] 你
[67:40.360] 近来抓了。
[68:52.440] 没去完了吗？
[69:18.060] 他已经客户都已经走半天。
[69:20.290] 了，我刚才看到一个话头天给我开了，
[69:23.090] 后来
[69:25.130] 晚浇水。
[69:32.660] 其他
[69:33.450] 条
[69:40.560] 回来了做了。
[69:45.840] 你抓不住，
[69:47.280] 你给
[69:48.400] 对美好而准备，
[69:58.300] 接触只不过
[69:59.410] 也可以用来执行。
[70:02.870] 大熊猫你那边搞定了快走。
[70:06.720] 还有我
[70:08.860] 反正别太累。
[70:10.630] 变成了没有。
[70:13.280] 有人有，不过可以说
[70:15.470] 不行，人家这么一截了，他知道他就一直开着。
[70:19.480] 您没开这个事儿控制不住了，对吧？
[70:28.420] 点。
[70:32.210] 卦算你的内心，
[70:34.780] 数据不准，
[70:39.890] 就这样。
[71:15.200] 可以听。
[71:16.970] 了。
[71:18.770] A不能等于马上打电话问陈部长。
[71:24.490] 打电话问他大概还有多长时间到
[71:29.030] 我刚接上他来了，你说我是甩还是怎么着？
[71:33.390] 你听我说的。
[71:36.450] 没事我了。
[71:38.270] 我这蚊子都有气味。
[71:45.320] 到哪了刚才？
[71:47.340] 不知道。
[71:48.740] 还有25米，那我来不及了行吧？
[71:51.580] 我等着你了，20公里，
[71:54.590] 20公里一小时，当时接客户接到了
[71:59.390] 开卡。
[72:00.490] 铭记的。
[72:05.210] 我这东西搁着行吗？客户一会来拿行，谁知？
[72:09.040] 回答
[72:10.460] 你看都是快递袋。
[72:13.160] 还有吗？还有病？
[72:15.160] 看了吗？
[72:16.180] 现在不是的学校，不是nb不是一学校完了的谁知了还要什么意义？
[72:25.020] 的
[72:33.300] 的。
[72:35.790] 赶紧交钱。
[72:41.430] 数据
[72:46.030] 坏
[72:47.270] 场
[72:48.990] 的
[72:51.230] 把
[72:52.620] 场、
[72:55.160] 场
[73:01.760] 蓝色。
[73:13.130] 的
[73:24.880] 我的矛盾不可可以有哪些开不开交了没有异议。
[73:30.150] 我给你开灯稍等。
[73:32.340] 那是假的。
[73:33.550] 刘伟你怎么说的我的房子？
[73:37.190] 谁知
[73:38.630] 开到为谁知。
[73:46.780] 行
[73:47.960] 他的
[73:50.520] 公平月经吗？
[73:53.030] 下边
[73:53.880] 的。
[73:56.030] 到你这儿行了。
[73:58.690] 09
[74:19.840] 的
[74:23.600] 老朋友，
[74:25.420] 账号，
[74:35.950] 不佳片妈玻璃什么对。
[74:40.660] 睡会了。
[74:44.350] 有钱。
[74:48.130] 的
[74:52.600] 说你妈妈今天交了都交不出去，
[74:55.120] 车没看，先把手机都收了，
[74:58.550] 三个月了，
[75:01.210] 但去交钱你也不了。
[75:03.320] 我的也是。
[75:07.610] 我这就给他打招呼了。
[75:09.910] 我说有点紧张时间。
[75:11.950] 这样
[75:13.570] 有些钱能赚，有些钱不能赚，就是说喊了半天这一天心情都不好。
[75:19.190] 谁知
[75:22.520] 跟我有毛线关系，
[75:24.460] 我只负责卖，我不负责说话。
[75:30.070] 你帮忙。
[75:31.800] 他说也是没法不对。
[75:34.380] 我无所谓，我已经翻篇了公司，
[75:38.110] 我也跟你反馈完电话没关系，
[75:40.450] 你看说是哪是北京还挺肯定都忘了，我你说你卖元宝
[75:45.860] 惩罚也好，就以前他等于说是连续的。
[75:49.860] 完以后公司散散架了，找我来了，我怎么办？你只能说赚点就算最后。
[75:57.070] 最初的好像咱们转型。
[76:00.430] 然后往后我就解释不清楚了，对不对？
[76:03.830] 那个不是打电话。
[76:06.350] 你怎么不？
[76:07.920] 你投。
[76:09.700] 你是的兰德利对。
[76:12.070] 你这钱是增长300得利了，那部得了吗？我不管你怎么在哪干，你现在是不是打到另外一？
[76:18.290] 谁知
[76:19.700] 你都
[76:22.300] 好的对吗？现在好像你这个没电了。
[76:25.120] 谁知。
[76:27.540] 这是约了N多次的砍价来的。
[76:30.430] 以上不到了。
[76:32.900] 18,500。
[76:34.300] 超过180。
[76:35.430] 回头了我说2毛5点结果收钱，前面
[76:39.880] 我爸爸
[76:42.640] 不一样，
[76:43.720] 就在旁边看着。
[76:47.840] 谁知目前
[76:51.560] 后来他们两年
[76:54.740] 之前
[76:56.820] 感觉
[76:58.320] 出现的基本
[77:01.080] 经济的问题了，好几千块钱
[77:05.250] 了。
[77:10.160] 太坏对怎么办？很快就坏。
[77:14.370] 特别好。
[77:15.580] 你说的
[77:17.850] 没法聊你知道吗？这块地
[77:19.850] 比较来的，
[77:20.870] 就多送了两次低保对象，
[77:33.350] 这都没有。
[77:36.590] 我吃了。
[77:41.130] 谁干的？
[77:42.890] 摸。
[77:44.660] 谁让人欣喜的吗？全家的不能这样了，妈。
[77:51.370] 后来那些东西找不着他妈，姥姥眼前看过他吗？是哪个坏人什么我们都整过你呢。
[77:57.680] 你来了我又生气了，我说我这人听了
[78:03.720] 快乐。
[78:05.860] 谁飞走。
[78:12.830] 的
[78:19.200] 场
[78:20.340] 场下
[78:24.320] 坏
[78:25.510] 句。
[78:28.050] 送。
[78:31.520] 晚上
[78:36.910] 看
[78:41.860] 生活能想开点。
[78:44.620] 挣钱不是就tmd花了。
[78:47.280] 昨天打的大红旗，那吹牛逼行，
[78:51.310] 你干嘛去？
[78:52.630] 我就签个字我就走了，前门俩吹牛B赵雷劈这么简单，
[78:58.290] 这样刮，
[79:00.480] 高兴吗？的。
[79:02.400] 你欠条还给你签字。
[79:05.000] 我没写一下的，谁让拿走的？
[79:07.920] 最后把第一章拿过来。
[79:09.540] 张翻过去，
[79:11.400] 这张翻过去第一章翻过去。
[79:14.630] 真是的。
[79:17.200] 没有了。
[79:19.480] 接着
[79:20.490] 2点，
[79:21.940] 爱我的。
[79:23.400] 我什么我那个欠条呢？
[79:26.480] 我打好了。
[79:28.880] 占了。
[79:30.770] 没写全的标签，公司100万
[79:34.360] 人都卖到这行不行？
[79:37.270] 只值不值你别说你接受了，你知道
[79:41.040] 现在的猪肉那么便宜，
[79:43.990] 我这技术还没放下来，他得下周可能
[79:48.850] 态度
[79:50.760] 我这跟我有毛关系。
[79:53.570] 我觉得
[79:55.160] 他不知道找哪个办的会计了。
[79:58.640] 他是听完说20号左右二号是吧？到现在反正我车也在近处。
[80:04.820] 那就20来个。
[80:06.030] 分别开会开亮了就行了。
[80:08.490] 今天就打25回访，明天一人发一包一条约，
[80:12.080] 咱就别打，
[80:13.040] 怕把了回访就行了，不行，我们都不会，我们主动今天白天再打唱歌，
[80:19.670] 我们手心发痒，我靠
[80:22.530] 谁说瘙痒4100万涨了，
[80:26.770] 我给他8月份才能给这么长时间，你大概9月1号8月1号的7天，
[80:31.820] 不是7天吗？
[80:32.870] 上一周的时间一周。
[80:36.450] 3000。
[80:37.980] 不工作交，
[80:40.790] 他能教我就教我，教不了我就交不了，谁知上班1月份按照交叉日期写的，
[80:48.870] 最好调查日期也是8月1号越多5天我不往下偷，我也收看数了。
[80:58.080] 放在这，周四把钱收了。
[81:01.360] 这个都是
[81:02.280] 对。
[81:03.220] 付款开票算哪个月了，你把钱收了还能看这些树，妈妈把扣系上。
[81:09.050] 该老娘们
[81:13.830] 这不算。
[81:18.160] 有需要
[81:23.530] 远。
[81:29.440] 说。
[81:30.200] 数据、
[81:37.630] 直播时段
[81:41.820] 市场
[81:52.230] 不一样的。
[81:54.150] 对，东西不一样。
[82:00.280] 能睡着。
[82:01.520] 我觉得
[82:03.320] 不是我理想的。
[82:35.520] 包括保险。
[82:36.870] 还有一点，
[82:40.370] 可能
[82:42.520] 维修保养，
[82:47.890] 远。
[82:49.340] 的。
[83:02.750] 把
[83:04.490] 应该
[83:07.100] 二
[83:12.290] 上。
[83:14.880] 播放
[83:20.010] 希望
[83:22.170] 的
[84:21.450] 买。
[84:41.570] 买入。
[84:51.490] 数据。
[85:15.210] 来。
[85:16.310] 刚开始。
[85:21.020] 回来
[85:21.800] 看
[85:24.880] 走。
[85:28.380] 另外床这边装货，
[85:32.230] 什么不能使用。
[85:38.850] 现在有人
[85:39.580] 辩护它用户
[85:43.440] 干嘛？
[86:19.630] 什么样子的？
[86:20.640] 我就给人家眼睛坏了吗？
[86:24.000] 关门不用。
[86:29.170] 我去弄一弄去。
[86:32.990] 我从哪开始弄？
[86:47.190] 了，我再换一块。
[86:51.480] 好勒。
[86:52.440] 好了。
[87:08.930] 还有15来讲，他们都是万太多了。
[87:14.260] 他是开玩笑说的意思我们
[87:20.500] 而且我们。
[87:27.550] 的。
[87:28.630] 好的
[87:45.440] 我给你
[87:49.240] 就
[87:51.920] 6天了，不是我再走到那边去。
[87:57.750] 对人家不会。
[87:58.840] 之后不能你那边不能电话了，我的意思过一下过瘾。
[88:03.470] 他一脸得意脱了您了，真的。
[88:10.680] 你说他是秘制的，我再帮你跟他说说。
[88:14.720] 我帮你说一下。
[88:16.480] 达到。
[88:35.640] 不要了。
[88:36.570] 我就把。
[88:43.630] 但是我们财务肯定没法给他挂上。
[88:47.520] 的
[88:50.960] 真的。
[88:53.040] 都买一个月了，他都买一个月了，你问哪经理吗？
[88:57.000] 章经理。
[88:59.050] 那张经理应该会跟我说，
[89:09.010] 他本人怎么来？
[89:18.190] 没事，到时候张经理因为这两天没上班，能上班以后我俩沟通一下，然后看怎么弄，他说怎么弄行吧？
[89:31.600] 行，我没那么累，我过去我也找张书记张力高怎么弄？
[89:58.600] 行行我没上班那问问他好了。
[90:03.720] 干嘛？
[90:05.200] 我不知道干嘛。
[90:06.740] 什么意思？
[90:07.860] 你再找找我，找我们也没用，你知道。
[90:10.580] 找你干嘛？
[90:11.940] 让我跟你说，说啥要让多卖点，
[90:15.810] 让他走吧。
[90:17.390] 小麦15，说你说15让他走吧。
[90:22.090] 走吧。
[90:23.600] 外卖卖点。
[90:25.900] 给他收完了直接办了得了，别跟他墨迹，别人想找local跟上他跟姥姥这。
[90:31.470] 老太太愿意。
[90:32.960] 我跟在一块
[90:34.040] 走在前面，老乡在后面给老太太送床垫，
[90:39.400] 走他跟我也这么说。
[90:42.440] 那老家伙的事怎么样了？
[90:45.910] 他现在卖46,000，
[90:48.870] 他不给多少钱，
[90:50.640] 我说给他多少钱，
[90:52.490] 钱给他？
[90:53.300] 要
[90:54.610] 回复给46,000406,000。
[90:57.160] 对，你把你别给我打电话，我什么也不跟我说，我也没用，他让我找你做，你跟你说那个东西感觉都卖不了。
[91:05.270] 两口子还在打架，
[91:09.130] 昨天玩老太太给你们那儿的，后面还有句话。
[91:13.250] 没问题
[91:14.170] 了，我只能这样。
[91:27.340] 让我知道。
[91:28.140] 我。
[91:29.430] 慢慢的走，我超越了，不搞导演了，大家互相再往前走一点，因为我不一些到矛盾，肯定碰到矛盾回家肯定是这样，刚刚我就说了，
[91:42.420] 刚才我就说了在干嘛，你跟他再说了。
[91:46.300] 不用再说了，人家现在不用石头真相，这样你知道吗？王哥昨天说多少钱，就是我给你涨到4000还不行，
[91:53.330] 对不对？想想
[91:55.390] 你不没事吗是吧？能买16万，
[91:59.480] 这家我就心里的你是不是真的15没问题，没事。
[92:06.930] 今天麻烦不找你吗？过去妈妈商量见过吗？见过吗？肯定知道矛盾吗？你也可以不用你也在这。
[92:16.010] 我也。
[92:18.880] 你知道吧？
[92:20.300] 我长长的。
[92:21.840] 他长不了。
[92:24.280] 他讲了
[92:26.070] 就算了，我给他我的卡，你跟他已经发给我的场子，我的卡号是多少，你本身等一下可以把那个东西的银行
[92:37.190] 我觉得他就后卡号不行，我们就不要他对同样。
[92:42.600] 我等着我考号不够吗？我就给他给我的北京还能卡啥的，我开始了，你马上车子他打断你把干一点感谢好好。
[92:51.160] 对都已经搞了是你过去。
[92:53.880] 把没有明天去验收是吧？你说。
[92:59.000] 他明天是给你们，不一定你是明白不了。
[93:01.080] 每天都会吗？他不能打他不散，你跟他说了不愿嫁是吧？
[93:06.000] 你跟他讲你太厉害了，你说退出，所以说16万我算了。
[93:24.680] 不间断的
[93:25.490] 了。
[93:31.080] 从而我电话
[93:44.810] 下周我明天不说了。
[93:47.190] 我知道我们
[93:49.140] 战略背景下的
[93:57.110] 谁知上面说了，我上次拿一下没希望感觉。
[94:03.570] 就说什么万多的
[94:07.670] 我没
[94:10.830] 胖了。
[94:42.040] 还有。
[94:42.960] 好宝马7系就是你当时新航道下个月。
[94:48.080] 没事。
[94:56.580] 就给我整一下。
[94:59.520] 补多少？
[95:00.380] 146,000。
[95:02.180] 我觉得
[95:05.020] 11月卖15，
[95:08.200] 现在怎么能卖手机？
[95:13.490] 我都不知道，我找我
[95:15.950] 老婆我不信脱离了。
[95:17.890] 好这张卡在那，豪迈不行不置换。
[95:22.400] 对你吗？妹妹他所以我不进去，他说如果说我都不好意思，你干嘛？
[95:30.080] 我人就相信了。
[95:31.930] 就愿意出。
[95:33.480] 谁知
[95:35.930] 不明白。
[95:40.530] 说
[95:42.410] 的。
[95:51.070] 他跟
[95:51.980] 了上报，你再慢慢我问看不要坐飞机爸爸一样，
[95:58.350] 咱们太包容了，
[96:01.200] 不可能
[96:02.500] 后知后觉了，说那会儿收少收少，我说他刚才怎么回事联系，
[96:08.640] 跟另外一个人演戏差不多，看起来是这样。
[96:12.440] 年的
[96:13.410] 三三年我老太太瘦了，让我跟他说再让它长。
[96:23.110] 我现在可怕的是你们来玩几分钱不挣，跟着谈谈好半天时间来说，真正给你办完了，
[96:30.930] 给分我点钱还不能查，我觉得
[96:34.140] 后续还乱，你放到了。
[96:37.870] 我那交的时候给我打电话在哪你直接过来，你在哪让我跟那块找我。
[97:10.360] 我在一楼。
[97:12.370] 因为
[97:14.200] 你也没办法
[97:16.750] 的。
[97:18.040] 完了收钱。
[97:20.080] 这不对，
[97:23.470] 我把车开走。
[98:02.390] 我知道那时候我说激光行，你们有个小孩特别厉害，叫什么？
[98:06.420] 叫纪委是吧？
[98:12.910] 他是特别厉害。
[98:14.450] 还小麦
[98:16.270] 就不熟的。
[98:18.430] 话唠。
[98:21.400] 在家里边两个别墅，私家车，
[98:24.700] 在家里面两个别墅，他挣了钱能不能买房子？
[98:28.750] 是吧？
[98:29.540] 你这个弄好了就转，正好也大亏。
[98:31.950] 是不是感觉今年的房价就你妈的现在全都买房子了大哥。
[98:36.560] 他闺女叫纪凡希。
[98:39.470] 这的话他也太贵了，
[98:42.320] 他确实挺累的。
[98:43.540] 没他吐血了是不是？你要弄一套还行是吧？就没那么辛苦了对不对？
[99:09.360] 别的效果没效果都
[99:11.080] 都那了。
[99:15.520] 今天那车也不知道怎么交那么快。
