[00:00.000] 您看。
[02:45.940] 标准是一年2万，有时候我们基本上每次必保的时候就得了。
[02:52.320] 也省事儿。
[02:55.140] 住房率教你怎么开，您建议。
[03:02.070] 开着没啥事吗？
[03:03.920] 怎么样是先不换了，反正就不影响开车。
[03:07.030] 因为它就是一过滤效果，我知道后来怎么开的，车上就跑到了您开车，
[03:13.360] 或者开着没有什么异味，那就吹了，
[03:16.730] 到时候下回不能下回再说。
[03:20.450] 每天yy删了，咱这车滤芯是4868，
[03:25.040] 这单滤芯的倒不贵寿命。
[03:29.950] 说
[03:37.640] 第一场
[03:39.360] 看到一些就没啥。
[03:47.670] 萌化。
[03:56.060] 到时让车间把小时再给你搂一眼，他说能开
[04:01.860] 就报警了，说了他说开不了了，我到时候给你打电话驾校行吧？行。
[04:08.370] 我刚刚看了一眼还。
[04:10.660] 你们说是吗？
[04:12.090] 了。
[04:13.260] 这次就不用交钱了，你说有一扇邮箱，别的没有，别的没报，那我聊的我都烧了。
[04:19.830] 上次都收了是吧？
[04:21.660] 必堡是上回收完钱了，然后刹车油是肯定没有了，这一块也这合同那边肯定不行。
[04:28.510] 舅舅一448块钱，其实我不记得了，然后送给刚才我不大概都跟您念叨了一下，你
[04:35.230] 您就再做考虑行。
[04:38.420] 我现在唯一不确定的就是后炸骗后刹车片是吧？对了，4万公里也差不多，这说行对。
[04:46.760] 然后我刚蹲边看是薄的，我不知道还能开多久，你要说他们说要还能再开个，他就在开开钥匙，实在不行了我就该换换，行行，那会您我就怕别回头到时候就没开两天，然后报警了又回来了还。
[05:02.030] 对它一报警完了刚刚忙完没两天就又回来了，他就犯不上了。
[05:08.280] 了太太了要是说还能跑个一两千，我估计这车要一两千公里也得跑几个月，宝宝两大乐。
[05:16.860] 没错，他天天在库里凭着
[05:19.400] 条件用车开是。
[05:22.240] 所以说那种情况下你就先开着开始报警再说，对，但他说不行了，你该过了咱也换了是吗？对，刹车还是该换，对，我就建议因为这个说完说我偶尔长途我就
[05:36.110] 长途去跑跑步，咱要有时候跑高速轮胎也该提上日程了。
[05:42.390] 行，孙才其实看着没什么事儿，磨损都还行，就那年头少60年多少，因为橡胶件这种东西时间一忙了没他有一个老化，
[05:54.080] 因为有可能你比如说你高速上班，你卡了压个10高速上面万一新台币价格10克，
[06:02.340] 心态可能就爱一变形，就过去老太太可能直接就忘了。
[06:07.300] 没谱。
[06:08.660] 行，大概给您留了一单子，完了我这也就没什么事儿了，行，一大概集咱这车完事的。
[06:16.360] 9:30。
[06:17.560] 9:30估计得11:30~12:00左右，一般完事洗洗车差不多俩半钟头到仨钟头了。
[06:25.300] 待会到时候您检查，如果说刹车片要是需要换，咱俩再沟通，行行没问题，这单子我拿着单子取得他你哪儿就行了，行，这个是您这改还是说他前台改？
[06:39.720] 把车上没事靠我还得重新打一遍，没事。
[06:45.890] 这新车号多少？
[06:47.670] 对新车号是京E新闻也 ca536
[06:54.910] 536，我这怎么
[06:58.910] 我这单子还得听你。
[07:02.360] 我就不给您换了，您取车的您也知道，我重新给打一份都行。
[07:08.560] 我手里我拿着是吧？手里特别
[07:11.920] 对不对？
[07:12.630] 您改过来就行。
[07:14.010] 因为我刚才拿那车号一艘有这车，后来就给
[07:18.210] 这下班他就跑干嘛EC536，对是这车吧是吗？
[07:24.900] 没事，我那车号就相当于是啥？
[07:27.580] 他这个是车架号的，像车号相当于代码快，你叫啥名都行，但是你就车间号是身份证号，那玩意变不了变化。
[07:36.400] 对，为啥？所以刚才我跟你说我搜了车了，但是拿不准的话您拿一下，
[07:42.170] 原来行车本小本我给您对一下，知道
[07:46.240] 名字也可以改，但是你车架号是身份证号改，就跟登记在册一下，无非得说包括
[07:53.940] 颇费了，这号用了。
[07:57.570] 他这号好多年才换一座也是。
[08:03.240] 行，您就还需不需稍微坐会，我给您安排保养去等等。
[08:09.810] 完了事了，要是用洗完车回我手里了，没事我给你打我没啥事我给你打电话好，到时候您过来取车再交那钱就行了，谢谢没事您客气。
[09:11.240] 号
[09:12.350] 三
[09:17.770] 东西
[09:23.210] 场、
[09:32.170] 花、
[09:37.050] 数据。
[09:46.150] 数据
[09:47.120] 数据
[09:48.560] 数据
[09:49.990] 的
[09:51.790] 数据
[09:59.730] 大。
[10:02.320] 的
[10:09.320] 场
[10:10.640] 场
[10:14.540] 号
[10:18.960] 坏
[10:23.310] 的。
[10:25.620] 的
[10:28.480] 数据。
[10:30.520] 的
[10:31.850] 的。
[10:33.720] 今天先
[10:37.730] 说你最开始阶段你们
[10:40.450] 谁知
[10:41.260] 而且
[10:46.040] 部门。
