[00:13.670] 咱们现在是5万多公里，还有1/2的游乐。
[02:32.780] 这应该也是新伤疤都心伤，我感觉应该是对方的玻璃或者是旷掉下来磕的，哥哥一看这门上都是您别糊涂了，上面穿玻璃碴子，
[02:45.320] 这块应该也这都是我的天都咋看这个事儿，
[02:53.080] 我得分区的。
[02:55.860] 右边一侧面还好，
[02:57.990] 基本上这边还没什么事儿。
[03:12.320] 又钱主要还给您查一下，又甜的悬挂。
[03:16.400] 因为他当时撞完之后，他是冲上马路牙子上去了，
[03:19.450] 目前全挂检查炸弹外观没什么事儿。
[03:22.260] 右边就是悬挂咱们左后就相当于外观跟钱。
[03:26.480] 我这次也就是说撞了
[03:28.800] 在哪跟哪帮忙处理，干部处理的都处理头，行，您甭管到时候帮您贴心的。
[03:34.430] 您贴心的完了什么。
[03:38.150] 这个店家有问题没有，跟平时主要跟我说，我这得查，现在说不太清楚放心。
[03:44.200] 最后咱们资源情况会上路试车的。
[03:48.910] 然后你不是换两轮胎吗？
[03:51.780] 保险公司花两轮胎吗？
[03:53.730] 左后右前应该是这么给您换。
[03:57.690] 那一块都换了就完了，保险公司不出钱，我出钱了，行可以，到时我看一眼那边怎么赔的，到时候我们啥到时帮您看一眼，不行我们给领导申请一下。
[04:07.580] 我代表
[04:18.730] 咱再看，
[04:19.770] 现在看见风估计超4万了，
[04:24.160] 这外观就已经超10万了都。
[04:26.840] 今年简单大概做过10万肯定得抄了，抄了到时候觉得赵宝刚。
[04:31.830] 这套房子
[04:32.930] 都是的头脑的到哪？
[04:36.830] 他就玻璃都是刚刚大车玻璃掉下去了，他查一下。
[04:43.090] 当然刹车都什么，对，你听着葫芦往那去，杀手里边这头
[04:50.510] 电闸，
[04:52.280] 还有右前的轮胎。
[04:55.180] 这个条子也。
[04:56.450] 被烧坏了，这是嵩出来的。
[04:59.020] 没事，我说。
[05:00.910] 光靠这段拍得不是被偷的，
[05:03.550] 这一个就能下来，没事这个好好。
[05:07.120] 今天就能下来。
[05:11.460] 这跟
[05:12.820] 你先那什么吧，你先
[05:14.570] 赶紧让拳头过来办手续，咱们这边下午就过来办手续，咱们好转中按要不然也转不了。
[05:22.260] 我感觉传统那时候没那么厉害，能不能全都到了一下，不仅人躲在全都了。
[05:28.720] 你找他做了，对，这也是我这车我是这里的。
[05:33.570] 待着没事。
[05:38.170] 你看
[05:41.930] 这事儿
[06:00.770] 其他咱们再说。
[06:02.320] 车上的贵重物品您收拾了吗？
[06:04.950] 行了，我锁车了，我锁车了给您。
[06:08.880] 您购买了。
[06:09.820] 我们都给你弄好了。
[06:11.710] 到时候等徐磊先下车，回去帮您开张单子啥事的话，到时候您联系我就行了。
[06:20.090] 走走
[06:21.150] 了好。
[06:22.390] 没事好好来。
[06:31.970] 不一定开张单子，您帮我签个字，手一就完事了。
[06:38.150] 因为您这边不也着急走吗？
[06:49.920] 这种状的不规则的
[06:53.010] 比较难确定，
[06:56.340] 包括损失他也不好确定，因为他不像咱们一般车撞就集中在一个部分，
[07:01.830] 相当您这是被撞之后又与车又一个马路牙子，
[07:05.670] 又发生了好几下碰撞，相当于是。
[07:16.520] 我们这边今天下午赶快吃点全责方过来办手续，
[07:21.360] 办完手续之后，
[07:25.300] 咱们的定损员会把案件转给他们驻案，因为超10万的话他们没有权限处理了，
[07:31.160] 他们中院可能还会安排时间过来再看一遍车，
[07:34.610] 开完车之后确定一下保险责任，才会让我们去拆解报价，
[07:38.790] 所以这个时间也会耽误的。
[07:42.920] 尽快。
[07:45.920] 你小心点，地上有这个感。
[07:57.350] 注意脚下。
[08:03.960] 说。
[08:18.480] 这里这边。
[08:20.200] 您登记就完事了，拜拜。
[08:22.880] 件还在我这，一会给您。
[08:33.650] 稍坐下，给您这边开张单子。
[08:43.960] 我说。
[08:50.270] 杨斌先生。
[08:52.610] 要知道。
[08:54.560] 对不对？
[08:56.150] 杨先生电话13501188458，这是您的吧？
[09:00.050] 498是吧？
[09:01.750] 13501
[09:04.230] 8498。
[09:11.970] 对。
[09:14.780] 还是
[09:17.720] 号？
[09:25.120] 没问题。
[09:26.240] 没问题吧？
[09:28.850] 好好勒。
[09:30.890] 的。
[09:37.170] 过去。
[09:39.820] 数据、
[09:44.590] 乱了数据。
[09:48.240] 你好。
[09:52.440] 号
[10:01.430] sm988。
[10:40.160] 中介您都说谎，这节我都核对完了。
[10:43.910] 为
[10:46.580] 有客户。
[10:48.890] 好。
[10:52.300] 咱们的全悬挂，到时候帮您去
[10:54.870] 处理一下。
[10:56.190] 左后门后备箱，
[10:58.580] 左后的悬挂，左后叶子板，
[11:00.950] 这些比较大的位置，
[11:05.730] 电视片对那些都会帮您去检查，因为您是停车期间被他给相当于应对上去的，对。
[11:13.000] 对。
[11:17.650] 了这车什么问题，
[11:19.500] 包括前边的风挡玻璃，到时我们再给您看一眼，目前看还好，
[11:26.670] 另外顶上不是茶太多了，现在待会帮您清一下之后对咱们再看气面，包括咱们的天窗玻璃什么的。
[11:36.630] 因为现在还有一些好多的
[11:39.800] 脏的东西在上边。
[11:41.550] 对。
[12:06.440] 这是你的什么，对，一会我会给您留一个新的的
[12:22.580] 左前大灯我看也蹭了，到时也会帮您去检查一下的。
[12:28.140] 的。
[13:23.070] 我先给您初步暂定个时间，因为系统要求我们现在给您写一下，
[13:30.730] 对。
[13:40.490] 坏
[13:43.690] 场
[13:47.360] 数据
[13:49.000] 的
[14:32.880] 确定在咱们店修了。
[14:35.690] 你看这咱们进修有一个报价费，拆解报废的10%得交在这，修的话就不会多收您了。
[14:41.950] 完了那两条轮胎的话，等我们最后收完车之前，
[14:44.940] 到时候帮您跟领导去申请一下，能去换成新的了好吧？
[14:49.200] 申请不下来我就掏钱，没问题。
[14:52.440] 你这两年诉讼这两个就了，对那肯定是不匹配的。
[15:03.610] 我给您打一张取车单给您。
[15:06.400] 名片你拿了是吧？
[15:07.980] 明天没了行了，我帮您盯在取车单上。
[15:11.610] 这样的话有事的话您随时给我打电话都可以，双人徐30来。
[15:15.540] 好吧？
[15:17.030] 好吧。
[15:19.720] 给您定在这儿了，大概情况这一块订单。
[15:23.120] 我估计确定损失的话就得小10天左右，
[15:28.020] 先得报价定损，他们还得审核，咱们还得去一个半月，
[15:33.450] 差我争取一个月之内，我只能说争取一定正因为悬挂比较麻烦，还切割液的碗什么的，修好了就行，对修好为主，咱还是以质量第一吗？
[15:42.260] 咱们这店非常信任的，您放心吧，已经两次了，明白没问题，这边您放心保证质量好，那条件
[15:50.230] 都是原厂配件，咱们全市送德国大户给您去订的，您放心吧，好谢谢行没事，中午在这吃饭吗？吃了还。
[15:58.200] 行好勒行行，有事的话您随时给我打电话好吧？
[16:02.360] 行慢点点。
[16:08.690] 完了。
[16:16.160] 场
[16:19.310] 场
[16:31.520] 数据。
[16:34.850] 的。
