[00:00.860] 2020年7月15号张磊客户余欣荣轿车录音，
[03:47.720] 大概提都这点东西，对。
[03:51.010] 然后卖8克这车有一个抬头显示对了，问一个事儿标，
[03:58.070] 用他收获也有人偷，晚上没人拿东西，以前不是一人一拧得掉，以前是银的，现在都不是了无所谓了，对就现在没有什么扣标的了。
[04:09.500] 行说这车有一抬头显示在这，就是咱们抬头显示驾驶员这侧前面风挡玻璃上有一个小的电子，
[04:18.530] 按一下它会现在有当前的朝向北向当前公里数的一个选项，必须我这特别正的位置，我就是说跟
[04:28.240] 他余款对面有显示公里数，对正前方只有我这边能看到可以开关对吧？这是一下开一下关，根据需求去选择。
[04:39.040] 开国际全车，这车基本上后排都是带有遮阳帘的，
[04:45.280] 对左右包括最后边
[04:48.690] 都是有张扬的。
[04:53.240] 岗位什么大灯这些都没问题，座椅对。
[04:56.200] 对没问题，因为大忌是不是也有通风了，所以
[05:00.300] 他们好像没通过多利通风加热，有。
[05:04.870] 副将调节是一致的，减量我在斗士您的位置多的空空，然后夏天清爽就是司机那边的别人没有的事都有。
[05:15.980] 如果驾驶模式这上面能显示吗？能在C
[05:21.430] 上下去。
[05:23.110] 一是节油，
[05:24.640] C是舒适，S是运动，
[05:27.150] 上下选择S是动力最强的，相对舒适就行了，森森就OK。
[05:34.500] 其他的没事这个和尚是吗？这死的不是，
[05:38.510] 那是往后推。
[05:41.840] 对好行。
[05:43.750] 我这边看看田契没有了。
[05:46.630] 后台可能有一个，因为现在一改版就该没有的都没有了，应该以前都有，现在都不拍了。
[05:53.610] 这样有一个无线充电，
[05:56.220] 手机你有这功能往那一放自己就充了，
[06:00.840] 这两边都能开，就这一边。
[06:05.230] 直接gg，对，后来就动工了，只能先苹果的。
[06:09.230] 只要您的手机有这功能，什么品牌都可以。
[06:13.450] 对，苹果是8以上才行，这是双开两边都行。
[06:18.320] 这就死了，对固定的因为装饰没有太多作用，但是S级的车他那上面张玲是独一的，
[06:26.440] 司机前面挣钱的事，后边标明它主要是反着。
[06:30.860] 这个是前面张。
[06:34.270] 以前就是普通车辆对开
[06:38.740] 挪一下。
[06:39.980] 那是血泪的车，
[06:42.400] 你走了我就走还是疼了。
[06:45.510] 关键是我给你倒哪的。
[07:04.340] 玻璃开关是
[07:07.870] 遮阳帘吗？张连上面天窗，
[07:11.520] 一个都是往后第一下室开，第二件关于
[07:28.700] 雷达跟G一样，360度都是完全一致
[07:32.930] 的，他记得我想问你个问题，
[07:35.860] 它妈的病像妈的还有万病强制的车道保持，
[07:41.780] 下楼后就回来了，你就不用他就行了，那怎么关？
[07:46.320] 这个是在这，你找找同样的标识。
[07:49.310] 这是车道保持，现在开着吗？现在开着，你关了以后它会提示他妈妈关闭。
[07:54.860] 你安环也是有，卧操你知道bb现在增加多少你定，他强制他如果说对离体睡觉不是他离车近的话他也不让你掉，
[08:05.030] 它有安全你说危险状态。
[08:07.360] 最初我前边俩车追尾了，你躲躲过去
[08:10.310] 了，对吧？对，你突然你别往下掰过去，如果您
[08:16.470] 表盘仪表盘明面上没有的话，就在找这个案件车辆
[08:21.720] 车辆里的驾驶辅助系统里去找，在这里。
[08:25.520] 好好我知道了，如果这个没有这有
[08:29.090] 那个是盲点，这是车道。
[08:31.450] 这个车有一个交通标志辅助，
[08:33.930] 你看这个就是走到当前限速路段的时候，它会自动识别性，直接
[08:38.880] 在这就提示了。
[08:40.120] 但是它影响你正常不影响正常驾驶，比如对比如你说路况特别复杂，有大车你也看不见，
[08:46.610] 但是这样会有提示，对，它会自动提示。
[08:50.550] 这就不用管你它走不同的路段汇报不同的速度。
[08:54.340] 对，这就是阜阳来。
[08:57.530] 然后第一下开庭再看一下这车。
[09:00.800] 观点往下2000，
[09:05.320] 再关一下OK。
[09:08.310] 那车就后边坐着舒服，这套书是四十三五都没用吗这？
[09:14.220] 快捷键就是。
[09:15.850] 这个是这样，你
[09:18.880] G500要是没有选装的话，他也有腰部之窗。
[09:22.840] 咱们用的话除了通风加热以外，这是座椅按一下，
[09:27.380] 还有主驾副驾之分，比如说您跑长途腰特别累，咱们选择先调一个附件，
[09:33.560] 您跑得比较累，可以顶腰坐一会往外调。
[09:37.680] 对，这里剩下都一样，剩下就是快捷导航一间进入。
[09:42.700] 地图给您放大点就行。
[09:47.430] 它可以最大是200米，这是收音机一键进入，
[09:51.400] 全国多地下降更活动动向，然后听了音频就选择媒体，
[09:56.420] 行电话和车辆对其他的没什么区别，这也是一个图形处理上下滑动。
[10:03.560] 对返回。
[10:05.120] 然后右边小房子事主界面。
[10:07.720] 对，这是主界面。
[10:10.990] 大同小异。
[10:12.590] 没问题，没什么注意的。
[10:14.680] 别的也没有什么，他送点东西都现在送什么脚垫没有，他这有一个我待会给您看一下，后备箱里有点东西，待会点一下互相咱这离最近的加油站多远，这车续航还能跑88，还好18公里，您路上在多少公里？现在总里程32条，
[10:34.900] 这是总体呈上下滑，这是油亮。
[10:38.370] 蓝色送流量。
[10:40.160] 这点什么没用，这个没用，他这模式能换吗？大忌是的，这不是4个吗？5个你根据自己的喜好去调整，
[10:48.230] 一般用这个一是由水温，二有一个离心力的力尽职。
[10:52.700] 看这是转速吗？这是卖表红点，你看到比如说比如我记公里数归零在哪儿？
[11:01.790] 不在这，抱歉到过
[11:03.680] 这边。
[11:05.710] 你每次启动它会有一个单独记录的，
[11:08.640] 你比如我要用这一箱我家买一箱油吗？你加满一箱油，这儿可以或者你把底下这个轻盈，因为你看像
[11:16.170] 它是经过的28公里，跑了四十三四个小时4个半小时，
[11:22.380] 平均油耗是100100公里是43.2加满油，在这个界面按一下确认，
[11:28.670] 所谓数值清零，重新G加满油你再看就准了，因为有运输模式肯定不准，
[11:34.710] 那就看不看没用是吧？对，因为他现在总共跑了三二公里对不对？
[11:39.860] 32.2这是清不了的。
[11:41.710] 有气瓶吗？怎么关它？
[11:47.520] 到这默认开启，所有车都一样，其中这些都吹鸡肋，这个没用，所有车都有，但是而且北方来说，尤其是北京堵车的情况太厉害，基本没有你上让下APP的奔驰没什么用，
[12:02.470] 他就是能监测车的状态，比如说你这车现在他说送为记录仪是装着七宋静怡这车，
[12:10.450] 记录仪现在没装，他是送是隐藏式的，
[12:15.930] 是隐藏，然后换了盖还得盖上头，单价一项大计我换了一个是吧？
[12:21.710] 来下周看看也是两把钥匙吗？都是OK。
[12:38.760] 有队现在光线强没有，晚上就开了。
[12:45.040] 后备箱垫，
[12:46.610] 这是两个后排座椅的腿，
[12:49.240] 我说这后箱大和是没多大，对纵深不少，因为后排空间大吗？这是后排两个头枕点，
[12:56.700] 三脚架还在着头枕那什么推脱。
[13:01.050] 后排不是有俩水波吗？
[13:02.870] 现在没装，现在不装，因为你装了以后影响就是你跑长途你才用妆。
[13:09.200] 灭火器装了，行这边
[13:13.850] 中控不能管
[13:15.980] 转型添加剂，
[13:17.330] 去外地油品不好，加油的时候990 95就行，如果油品不好就先加后加油。
[13:24.880] 后排有一个点燃器，
[13:28.040] 然后钥匙链，
[13:30.270] 说点不一样，这两个是钥匙链。
[13:33.760] 这两个说一下。
[13:36.390] 这是普通的要是后盖，
[13:38.390] 这两个是代表迈巴赫标识的，回头自己换一下就行，后盖对再有迈巴赫标识的后面，
[13:45.360] 这个车娱乐系统后台有两个蓝牙耳机，两个遥控器，
[13:50.570] 然后荧光救生衣一样，然后伴有信息，
[13:54.490] 道路救援指南、保修、数据线，苹果安卓各有一根，
[13:58.580] 车叔在这里，
[14:00.220] 还有车的三包，
[14:03.160] 完了小你说救援，如果要是咱们是打救援，就车点那mv，
[14:10.830] 直接安排的这对，激活以后才能用，
[14:13.800] 今天一会就激活，明天就能用了，他ID激活了吗？
[14:17.640] 记过了，然后给您下软件，电视机不用路上有什么事直接问他就行了，全国性质的
[14:27.000] 每一个车出厂
[14:30.080] 卖车之前都有一个授权检查证书，这是这台车。
[14:33.640] 前天做的整车质检又做了一遍OK，这是哪口？
[14:38.280] 这个是这个车的三包，56524 3月份生产开放，今年7月15
[14:45.500] 质保
[14:46.640] 三年不计里程，今天开票开始算，质保期内
[14:50.010] 这些大那就是三年，这没有公里数限制了，限制OK，奔驰车一直都是不现实的，
[14:55.960] 易损件都有天数公里数条件限制，出了条件一片不在是吧？这原件你也拿走。
[15:02.440] 咱们进宫弄开结果秘书
[15:07.500] 上回激活G的时候是我也是您软件电话还是留您那俩要是试一下。
[15:15.710] 派出所
[15:17.040] 第二版
[15:18.420] 左指
[15:19.240] 探索
[15:21.200] 穿制服。
[15:24.030] 我觉得现在接客户接太多记不住了，都是我上次给你联系一回，
[15:30.870] 陪
[15:32.530] 孔明不干了，对。
[15:36.880] 聊聊。
[15:38.230] 你现在你就一直负责这一块对吧？你给我累吗？
[15:43.700] 没办法，所有的车都得走这套头，预备所有车都这样。
[15:47.870] 尤其是咱新客户，你们家现在是车卖太火了。
[15:53.430] 行，要是您收好了重点服务账号，
[15:57.360] 怎么着我不想说。
[15:59.280] 咱们早点我下载那个了，现在这个是不是就不用下了？
[16:04.380] 听过了吗？对不用，待会我把这个车您现在里边不是有寄500吗？我都不会弄那个，没事我到时候看看。
[16:11.790] 一会。
[16:13.260] 现在是有17 500，我再给您关联的话，这里边是1个系统里最多能防能看到5个车。
[16:18.990] 如果你买的多的话，这两个车之间做切换就行了。
[16:22.360] 这都是干什么用，没什么的。
[16:25.850] 这么说白了就是提示我一下子，
[16:29.460] 比如说你这车窗没锁好，你打这手机就能看到，
[16:32.750] 门没锁法，
[16:34.070] 轮胎缺气了什么时候保养，或者说这个车就是他跟。
[16:38.770] 那个车的一个小电脑的。
[16:40.790] 他比如说把数据同步到您的手机上，明白。
[16:44.870] 客户需要再有比如这车人家开走了，咱想知道他在哪，就用定位都有。
[16:52.750] 但是你开车你不知道，但是我能定的对吧？
[16:58.350] 其实还是有点登陆的，我给忘了怎么办，到时候你看怎么弄一下。
[17:04.390] 实际上老不用的也记不住了。
[17:10.750] 你们家的车现在卖得真火。
[17:13.300] 今年差点，
[17:16.160] 今年有一瓶。
[17:17.850] 今年差这大疫情我一点都没影响，你看见孩子是吧？
[17:21.690] 还行。
[17:23.250] 对了。
[17:25.370] 那张伟就没事直接交接你这了。
[17:27.910] 我一会他会过来，他给你大龄排后边交税验车多还是他。
[17:33.370] 一下您上回注册那电话，你看1380，你说1160。
[17:38.000] 8500好了。
[17:40.170] 号。
[17:41.380] 二号对。
[17:42.670] 哪天我发信息说你什么电瓶怎么着的东西了是吧？对，那就是您那个车电瓶有点亏电，就是老提示放了一段时间对。
[17:54.290] 刨就行对吧？对正常开就行。
[17:58.340] 工作
[17:59.120] 大型魔术，谁知到了我把基本上都是
[18:03.810] 您这个号码。
[18:06.200] 把这个车也给您挂上了，能干的，但是。
[18:10.060] 但是您现在把那个软件打开，知道怎么登录。
[18:14.410] 第一行加号86。
[18:16.960] 二。
[18:19.520] 然后您刚才说电话。
[18:21.830] 您谁知
[18:23.370] 86现在以后，
[18:25.510] 北京
[18:27.990] 不用了。
[18:28.910] 密码多少没改过的话，您是大A小A。
[18:32.530] A字母。
[18:33.520] 123451A小A。
[18:36.150] 123. 
[18:39.120] 他被提升动力对不对？
[18:42.050] 大另外对保存就行了，4个。
[18:44.940] 如果说这会儿您家里大量的骨醇，有可能会把这些杂志随着油路
[18:50.650] 冲到发动机里，
[18:52.480] 就爆发了钢铁的钢水里边
[18:57.540] 抵押不了的
[18:59.250] 杂质水分也不多点。
[19:02.680] 所以说这块您着重的注意，就OK，发动机你可能10年还有啥缺点，
[19:09.040] 然后进马甸头香离开，相来说每次他都您的密码变更过，应该变更，我跟我试试，您试一下回来。
[19:17.000] 您要是。
[19:18.050] 找不着我就能给你找回来。
[19:20.400] 你好。
[19:21.100] 如果说车位比较紧张，您需要对您。
[19:23.890] 先试试，如果您。
[19:25.370] 不行我就给您找回来。
[19:27.360] 从来
[19:30.140] 在这里
[19:31.630] 就可以了。
[19:33.080] 到了对。
[19:35.580] 我回来减轻电商都是由于开车比较急，这是什么意思？
[19:43.810] 又没了那就不对了。
[19:45.890] 不对，没事，你等会吧。
[19:48.370] 我告诉您我给您找回来吗？
[19:51.480] 他说的
[19:55.500] 我发了一堆什么？
[19:57.600] 这把这新车关联到您。
[19:59.610] 一下了。
[20:01.130] 是新的my bus，您之前您记得不用吧？
[20:04.100] 把您的身份证借我用一下，这个对没用吗？
[20:07.390] 没用就删了我的身份证是吗？
[20:10.310] 忙。
[20:11.480] 谁知
[20:13.710] 很好，
[20:14.810] 真正咱们
[20:15.940] 换成了
[20:18.570] 下一站角度的。
[20:20.550] 事先黄山我们也老去找个空钓好鱼，
[20:26.200] 衡山的余峰确实他了，
[20:28.620] 我住门路那没多远没，然后青龙湖镇二公里半小时都到了。
[20:34.500] 你们家开的吗？我们家拆不了，我们要拆谁干茶疯了。
[20:39.510] 什么事你这样拿着。
[20:40.520] 咱们拍个照片。
[20:42.040] 口罩临时占一下子，你南方不牵扯拆迁是吗？对。
[20:47.480] 谁知
[20:49.760] 好，深证您收藏。
[20:51.450] 我妹妹家那边的没付，是那边的，他家拆了。
[20:57.050] 永定镇的。
[20:59.820] 基本都拆了，龙泉镇的都差一点。
[21:02.770] 早晚的事，对，不是那事儿也是赶上领导弄清楚了，他又不弄，就肯定我觉得
[21:11.360] 红灯了，他那会在丹经云我媳妇家你他在密云的时候他是我们那儿的。
[21:18.810] 是吗？
[21:19.720] 防止
[21:22.170] 所以说我们希望就是说出现这种的，但是现在确实
[21:26.640] 你让他把
[21:27.600] 控制了项目没有。
[21:29.620] 给我发的也都没用。
[21:31.520] 实名制。
[21:32.500] 稍等，我给对实名制提报了，您不用管，我这马上给您。
[21:36.480] 发一个激活码，然后咱们把密码变更一下。
[21:39.840] 您需要确认这的补贴，
[21:42.820] 这兄弟两年要还款，
[21:45.040] 要不咱们您发短信了。
[21:47.560] 没了。
[21:48.590] 看一下6位数字。
[21:50.900] 10152. 
[21:51.700] 反正要说
[21:52.700] 通过这种家庭情况，
[21:56.240] 您就可以
[22:01.540] 我今天了。
[22:07.510] 您重新登一下。
[22:09.580] 第二行填大A小A123456，
[22:13.160] 保险
[22:16.970] 的
[22:19.110] 了。
[22:23.680] 你的工作怎么样了这些？对，所以
[22:27.970] 收到。
[22:29.200] 对。
[22:30.450] 很少，手机也好，确实很好。
[22:37.390] 但是我现在
[22:41.280] 时间点应该能登进去了。
[22:44.460] 他向我发送通知，允许对
[22:52.370] 这个不就OK了是吗？对。
[22:55.920] 告诉您一下，您不用。
[22:57.870] 您做这行做着。
[22:59.670] 这边有一个车辆吗？
[23:01.760] 这个就进来了，回头用就点选择互相切换就行。
[23:10.430] G450了，因为刚进来我得他到明天才可以，没事我换过来的，现在这里没有信息名，对放弃到哪都的，首先这就是定位。
[23:21.970] 你看到了吗？
[23:26.020] 妈妈这阑点
[23:28.280] 点难点，这是车的位置。
[23:31.960] 是不是挺大概这位置，对音源的对吧？这都能定上。
[23:37.490] 然后的话这是主页，这个是您所有车辆的数据，你看还剩88%的油，这是这车的对吧？是记得还剩520公里的续航锁止状态，
[23:47.780] 轮胎的压力，电瓶的状态，就是你想看直接点着都能看到，你看到了吗？
[23:53.010] 你这车所有的
[23:54.630] 状态你都能知道，
[23:57.680] 用的话到时候切换一下车辆就行，对，别的不需要，比如说你孕妇什么东西。
[24:04.040] 这就是互联就是您车载的案件的状态，比如你这个门要开着轮胎缺气它会变红色。
[24:11.390] 它会有提示。
[24:12.620] 现在所就变成开锁了，都能看到。
[24:15.550] 你说的救援就得了吗？
[24:18.980] 车上M跟电按一下行。
[24:21.350] 您拿不拿手机都不重要，主要是。
[24:24.250] 那个车那原件是吧？车。
[24:25.870] 上之后这个车只要停在有信号的地方都OK。
[24:29.490] 对。
[24:30.590] 国是吧？对全国都是三天内。
[24:34.290] 所以为什么好多现在客户有了，他都盗抢都不买，
[24:39.750] 保险他道歉了就不买，对，刚才我这都买了。
[24:43.560] 咋不早说？
[24:45.340] 刚才没碰到你看
[24:47.760] 你们不舍不得找到了工作的
[24:53.280] 做到这个部门。
[24:56.770] 每年那道墙。
[24:58.250] 弄不弄无所谓了是吧？
[25:00.230] 比方说您那车别停，说地下很深的信号，
[25:04.180] 电话卡识别不到它就能定。
[25:06.910] 不会，你在识别不到你这车左右能出来，只要出我就能查着对不对？
[25:13.310] 百%盗抢上不上无所谓，下次咱们到下半场不知道盗抢主要的玫瑰，也不知道对到小牛市大象。
[25:21.470] 挺厉害
[25:23.290] 的。
[25:26.790] 感觉上班也行，到家没多远。
[25:29.050] 了吗？对，现在就是太祖。
[25:32.870] 对。你走哪个辅路？
[25:35.110] 过高驾。
[25:36.360] 高价。
[25:40.430] 晚上回去来赌一样的，就这口有时候你上去对上不去，而且它前面加了一头，以前都是往里往里切，现在就走着最痛快了，对吧？
[25:50.410] 田树也没法走，但是现在就是说。
[25:53.320] 首钢京庄线东延了以后还行，有一部分分流了，
[25:57.810] 比如说住在
[25:59.380] 永斌那边，他可能就走那边来了，但是现在
[26:03.080] 这高架也不痛快，为什么？因为新手太多，我那时候老送孩子不在这上学，
[26:09.090] 但我现在就在咱。
[26:10.260] 这后边住。
[26:12.140] 那会儿没过的时候孩子上好佳天天早上那回都给我堵着。
[26:16.990] 吃了而且。
[26:18.810] 有一段时间交警查特别严，就公交到不让你走吗？
[26:22.460] 就一拐弯。
[26:24.090] 这边对那天天天的等着你。
[26:27.630] 你知道怎么赌呢？
[26:29.920] 实际上它正常口没事，全市统计跟公交车到探头上网第一一起都。
[26:35.630] 上班
[26:43.420] 第一堂。
[26:45.960] 这车没有备胎对吧？对我们。
[26:48.520] 叫其实现在最早的这批车
[26:52.360] 都还是防爆，现在慢慢的都不是防爆，其实你说现在对他。
[26:59.130] 现在有好些都折叠太你知道吧，那就挺操蛋的。
[27:03.620] 你要不会换的急死你也换不上的是吧？
[27:06.750] 不能最早的原始原尺寸摘下来就用是吧？受点累的事儿对折叠的你要不够弄的，我操得急死你。
[27:16.250] 哥你能买我后边这家伙第的，
[27:20.040] 我给您孩子今天处理所有错了，
[27:25.280] 会有一部分特殊的发票都拿走了。
[27:31.050] 也老板没有。
[27:38.990] 迈巴赫里说明天您就能看见数据了，行没事，是不是这已经过了？
[27:46.780] 后台需要同步面访。
[27:49.250] 谁知。
[27:50.650] 好拜拜。
[27:52.000] 谁知
[27:54.480] 您看咱们这边有没有了？
[27:58.450] 要
[28:00.070] 一点。
[28:03.480] 实名制的事，
[28:06.440] 我妈还是主管了。
[28:09.580] 谁这个开了以后无所谓。
[28:12.100] 谁用都行，他不限制。
[28:16.270] 那密码就是大小姐了。
[28:18.330] 后期您自己能变，没事别了，都想这么做，我忘了我这个没事我还可以问问您。
[28:25.780] 没事，你这个里边有的时候是带远程启动的，
[28:31.520] 有的人也能启动或者远程的开锁锁车，
[28:34.640] 你就用这钥匙就行，对，比如说你车限号增加了，但家里有事要拿东西把钥匙拿走了，你用这个软件，
[28:42.780] 可能远程这车用软件直接就能开钢铁软件都可以。
[28:47.260] 我在这您觉得车在那我就能拍得跟距离没关系，1D都行。
[28:52.480] 那么这谁要登上这还毁了，所以对您自己后期您建议把密码改了，但是也。
[28:59.030] 一也有，我预定了好几。
[29:01.070] 客户开车去外地了，然后压是拉了，不是他怎么回事，他是喝了酒了。
[29:07.060] 咱们这车只有一种情况是能把钥匙锁车内，因为你如果灭车钥匙拿出来车不会操作，所以
[29:13.360] 他就是锁车以后他肯定拿东西从后备箱里，
[29:16.350] 顺手要是搁着一按锁车跟关上了，他打不开了就再一把钥匙。
[29:21.530] 大晚上11点多打电话，
[29:23.520] 因为有这软件，我问她有没有说有，我说那你就
[29:26.800] 登录看一眼，看以后
[29:29.570] 手机自己写，
[29:31.290] 同步的它就能把这文件解开了，然后旧手机里边有这个功能就在那软件里了，
[29:38.670] 直接打开了它就能拿出钥匙了，只有这一种情况能锁住锁在后备箱里。
[29:43.040] 对，就像我就干过一回后备箱，还原来那车没有。
[29:50.330] 直接一伸手就告诉我了。
[29:53.090] 好多人我相信先生。
[29:57.370] 都在咱们这买过车这名字花钱。
[30:00.230] 对之前是买的G是吧？对，然后我都没认出来，先把我认出来了，名也是你家。
[30:07.520] 我看着名字都。
[30:09.210] L说特别熟，
[30:12.720] 565524，
[30:14.680] 但是关系。
[30:18.280] 给我电话是吧？有点电话也是微信，回头你要是有事微信电话都行。
[30:24.020] 你好。
[30:28.030] 的。
[30:33.640] 这是15号吗？
[30:35.880] 车主是对的，我都不知道啥时候这个时候好笑。
[30:41.430] 验证码。
[30:43.950] 你稍等会看一下好点吗？
[30:48.110] 短信验证码，
[30:50.620] 保险公司
[30:54.080] Q。
[30:58.190] 第一四
[31:00.310] 号。
[31:01.320] 的。
[31:13.030] 哥哥14。
[31:18.650] 为什么？
[31:20.150] 他有链接。
[31:23.800] 平安的是吗？不知道。
[31:26.770] 花。
[31:33.500] 眼睛。
[31:36.550] 数据
[31:38.530] 的。
[31:39.720] 的。
[31:42.980] 上保险都是平安的。
[31:45.480] 反正这段
[31:48.000] 那个也是这样的，说辛苦是吧？
[31:52.530] 想想你做个简单变化，咱们给您小礼物，一把雨伞，然后他要是疑心重你的名字是吧？这手机号是不是您的1380116是吧？行。
[32:02.010] 然后您给咱们还评个分，还跟以前一样1.5分，
[32:07.330] 这是8分，对化勾画勾画高都是高手。
[32:14.030] 行，然后成功，
[32:15.640] 然后平时还是一年或1万公里先到为准，按18万车上就行了，也是咱们老客户了。
[32:21.360] 高一会我够就行了，然后先参加过咱们的活动，对平时有什么爱好留吗？没有是吧？行您签个字，这就代表签字。
[32:31.330] 还有用三个圈子，还有
[32:33.620] 这个是一个服务院，你可以看一下是不是都是按照这个去进行的，如果没问题的话在这先接着。
[32:39.870] 我给
[32:42.970] 跟买房似的感觉的那天，然后在这儿写今天的期房都签不了这么多字，怎么了？天的从早上去了签了下午4:00 2020年
[32:53.220] 8号7月15号结束行，然后之前嫂子咱们现在。
[32:57.010] 微信有。
[32:57.970] 电信您是手机的有的。
[33:01.400] 好事有是吧？行。
[33:03.000] 我这完事了先生，谁知
[33:05.950] 您这一会还早
[33:07.330] 开早听歌是吗？
[33:09.280] 我们说的都开走了，就回他们直接验车时这没事儿，咱们一会儿。
[33:15.110] 估计一会就该堵了，住房一会又该走了。
[33:20.490] 我们签完了，对。没注意。
[33:24.640] 基本上就没什么了，今天先交多少？
[33:27.790] 大概今天还不得二有20多点。
[33:31.680] 我今儿我就长大了，
[33:35.160] 不管是我刚才提到了，
[33:40.550] 请几个字您就完事。
[33:43.310] 三包原件刚才给你解释过，在梳理这签名了，
[33:47.330] 谁知到2000一个发票，单单保险和楼都在张伟，但是你也不用管，
[33:55.540] 验完车还是一次性或交接的对吧？
[33:58.480] 对，那天一个这辈。
[34:00.220] 比如现在它淹车是在给我一块，
[34:04.460] 您这保险还没吃，一会说完以后就给您直接把灵堂了。
[34:10.160] 怎么办？
[34:11.080] 什么东西都能办下来是吧？园区深圳一个二级房建，
[34:15.790] 但是也不好，
[34:18.710] 一看他交款的系统，
[34:21.640] 也是对二手房前有一些限制，有的时候
[34:24.830] 有时候他说不行，老是一会行一会不行一会就回来。
[34:30.340] 明白，他应该给您饭去了吗？
[34:32.420] 明儿您在登陆软件看一下，人家没发货，点一下数据应该都进来了，了，10名已经过了，但是他正常后台审核完以后还需要一段时间，谁知
[34:43.290] 我们正常休息吗？
[34:45.140] 休26日现在。
[34:46.740] 周日都休那条不是。
[34:49.610] 最早来是七八年，
[34:52.830] 最早的时候一个月，
[34:54.320] 正巧大大大多了，后来又变成新
[34:59.080] 6000，
[35:00.240] 销售已经8004。
[35:04.450] 挺好的。
[35:07.350] 都没大问题，你看他以前都来了也没用，他这人
[35:11.880] 那会儿特别厉害的时候，
[35:14.160] 导致的是吧？对。
[35:16.110] 都愿意跟家歇了，凡是做钱优惠。
[35:19.880] 对吗？
[35:21.150] 本身就没有人你在那里。
[35:23.280] 来了也是带着正好
[35:27.130] 把您的身份证沟通一下。
