[00:00.000] 我去量与其的二次，
[10:29.650] 对吧？你要那么说时尚差价还得差着将近
[10:33.020] 3万多块钱，那时上午得这么便宜对吧？实际上这40 42万多，
[10:37.980] 我2604去我260
[10:40.850] 我C得卖多少钱？
[10:42.650] 什么价格？你这价格的话马上EC推。
[10:46.600] Cd能卖28是吧？
[10:49.190] A就应该十几万
[10:54.790] 接口了。
[10:55.860] 我这有记录。
[10:57.060] 看看
[11:00.760] 发还挺合适的。
[11:02.260] 新款687086。
[11:05.630] 我不建议您年底吗？
[11:08.290] 也不是，因为可能
[11:13.840] 买一个。
[11:16.740] 应该8月份
[11:18.300] 发到10月份之后。
[11:20.490] 您之前来的时候我还记得吗？
[11:25.040] 还看过时尚，
[11:28.490] 还去过波士顿，
[11:30.110] 那只是了好多年，你是我就知道了，你打电话有记录，所以说你只能看到的，
[11:36.090] 你去快到时尚的，
[11:38.060] 而且我刚开始看书看食品，对你得看过的，我一点点往上看看，
[11:44.570] 我看人家电影都知道。
[11:46.660] 我问问你你告诉过我都忘。
[11:49.480] 他不知道
[11:50.600] 你怎么样看，他让我的对我这都真爱吗是吧？我多关注了，你就每个记录。
[11:59.550] 我这算是比较细，没有我给你记下来，
[12:02.720] 下次跟你沟通的时候没有思路，你要好多家销售顾问你可能忘了，
[12:07.440] 联系不上了你也忘了太棒了，好这
[12:10.100] 完事了，咱这么长时间要领就完全记着这是
[12:16.160] 下回兄弟的豪华了。
[12:19.390] 我不是那种豪华版，
[12:23.360] 还不是本校不说，
[12:25.390] 就断货。
[12:26.530] 等我对这没货
[12:28.570] 不懈。
[12:29.770] 我觉得第二天买回来8年底什么这个意义，对我也不可能比现在更好是吧？
[12:35.900] 因为一起又发展了，你看进入降息了，完了吃了尽心了，开始谁知
[12:44.860] 还息金融。
[12:46.780] 每月还不行。
[12:48.280] 他现在分了400块钱，
[12:50.650] 那是另外一种给你看看，因为我的意思
[12:54.830] 你跟我说我们先投资10多万，
[12:58.690] 那时候好像是就10多万，然后还旅游最后还20多万，
[13:02.970] 还三年后还20多万。
[13:05.960] 我觉得这样
[13:07.240] 真想有可能需要人。
[13:10.340] 您来看看时尚的车时尚的那种
[13:14.200] 专用车便宜均只交付到10多万就可以跟你说。
[13:19.150] 数量那边没看，又多了一个月20多万，只车的10多万，还有其他的都是些什么了？
[13:26.230] 对。
[13:27.100] 你这车怎么你也得说一点，在2020万。
[13:31.970] 那也就10多万。
[13:33.330] 你看50%，咱们做的是贷给款这种，
[13:36.500] 买首付5020%万，贷款就贷了20万，
[13:40.360] 你就是做这种
[13:42.940] 尾款，
[13:45.110] 他是一个编辑都是在冲动。
[13:47.490] 其实是这种，反正钱你把条
[13:50.540] 固定了两年期。
[13:52.180] 月份就了多少钱？
[13:54.110] 6月20日，然后最后
[13:57.120] 你带到谁知。
[14:00.080] 尾款带这么多钱，房子可能
[14:02.800] 今天就利息。
[14:04.070] 这468完了2000多亿。
[14:07.580] 那就是你这两年业绩就谈利息
[14:12.150] 特别低。
[14:13.760] 不明白。
[14:16.720] 谁知
[14:18.750] 三年都亏，
[14:21.120] 这都赔钱，根据肌瘤往往垫资了，为了大部分客户去购车，
[14:27.250] 吸引了好多给我看宝马了，发我一下，你看没手续费没有服务费，
[14:33.230] 做这么几合适的金融方案，
[14:35.430] 吸引大众更多了。
[14:36.960] 购车他肯定要先舍弃一些的
[14:41.690] 这块市场。
[14:42.890] 而且我为什么说现在未来要划算，因为我觉得D这个行求
[14:48.670] 已经降到这位置，没法可能再降更多了。
[14:51.600] 然后其次明年应该到这个月年底年会亮相，新版的新增的业
[14:59.770] 在年底会亮相就没了，
[15:02.320] 真的也不看我的。
[15:04.130] 是吧？不丑，我觉得我看的都
[15:07.900] 我看过那个
[15:09.040] 短
[15:10.470] 短轴版这个意思，
[15:12.430] 我就要
[15:14.490] 太习惯了比较准。
[15:16.400] 端是不是？
[15:17.520] 这是新版的吗？
[15:20.190] 山东的感觉跟那边差不多了，你在哪看就是这样。
[15:25.710] 我不知道下一个活目前不善，他就是官风花了一点那种感觉是官方花的，就是说背诵应该可以应该喜欢新的。
[15:37.510] 对，灯变了，内饰没怎么变，还是一大片还是那样，他内饰没变，我觉得。
[15:44.350] 车外观我觉得看着还可以。
[15:47.750] 没事，不让您花费多花费，
[15:50.410] 至少得大几万块钱。
[15:51.970] 700万六七万块钱。
[15:54.270] 可能会愿意接受吗？
[15:56.700] 因为我看刚才不是说改选条款，
[16:01.710] 迈巴赫的
[16:03.290] 里头这个房子这么不知道。
[16:06.710] 本身现在不用改纺，现在就有分成4段是吧？
[16:10.720] 隔断是因为给你隔那不了，你因为我看到
[16:14.440] 突然有点高科技或者别的可以说中间还小周末其他的
[16:19.930] 一个主因，这边认为打仗是什么不会。
[16:25.650] 好像感觉
[16:27.560] 确实还估计
[16:30.840] 别太那什么，一旦这个车型就是因为我们的味道，
[16:35.740] 我什么也不怕，这个车换成下一代做饭了，或者先不让，
[16:41.790] 您就放心，现在如果说不最近现在比如今天最近你要出手，一旦我们发现会变少了，
[16:50.310] 后期就会断，然后再
[16:52.960] 创新的
[16:54.120] 就会出这样。
[16:55.550] 对是那个东西您看还行，从我们自己看到自己不自信，我们自己他们都觉得这个肯定强，我不知道大家都知道好多客户都聊过，
[17:04.930] 那就会出现一个问题，现在的车型要比的取消通宵，
[17:11.630] 而且还有我看的
[17:15.360] 上海就是他们那边
[17:18.880] 毕竟他还有价格
[17:21.450] 优势，现在社交方式这些金融价格都有优势。
[17:28.260] 你看所以说
[17:32.590] 大G20月份不上去，
[17:37.890] 他那什么留下，要不然哪来的第一句话，文章不要你点击评论哪来的那么多，
[17:46.930] 赚的钱，
[17:49.060] 品牌会这样。
[17:53.000] 这一点我知道我销售
[17:56.710] 的
[18:01.270] 号
[18:05.030] 的。
[18:12.320] 远远
[18:16.740] 百
[18:20.040] 材料的标志
[18:25.250] 因为具体现在这块
[18:30.280] 20
[18:32.650] 句。
[18:33.440] 我
[18:39.790] 了
[18:42.360] 数据
[18:44.310] 场
[18:45.080] 数据
[18:46.370] 坏。
[18:52.400] 数据
[18:58.870] 你感觉稍微
[19:11.000] 场
[19:17.750] 二
[19:24.570] 号
[19:26.810] 上
[19:29.670] 先生，
[19:37.030] 我快点。
[19:40.930] 没事，你要买这个肯定价格会有六七万块钱，价格优势你知道。
[19:47.530] 多痛心了，我卖以前的价格不好意思，全北京全国都价格了，所以说都涨上去了，
[19:54.250] 因为市场是空的。
[19:55.760] 不是，我算是40 98，
[19:58.800] 大标办齐里边含了所有的东西，包括我们的保险，反正还是手机水库，咱们10万就是5020%多万二600多。
[20:17.330] 我们5:30，
[20:20.910] 谁知道这两个月
[20:26.540] 下班
[20:45.790] 283,000。
[20:53.590] 以前是26万多，
[20:59.210] 可能不是这种事情，
[21:02.210] 对吧？
[21:03.920] 谁知
[21:09.210] 因为孩子
[21:13.290] 后来我们搞两年内都有效，
[21:15.930] 开始我觉得
[21:17.160] 开始我不用去
[21:21.090] 没有华丽的关心，谁知
[21:26.170] 不到三年。
[21:28.030] 行三年，咱两年三三两。
[21:31.450] 3333333。
[21:35.100] 没有3点开始。
[21:49.690] 他们
[21:50.420] 好好，然后现在多少的
[21:53.240] 基本上都了。
[21:56.120] 不过那边当然也有聊不完。
[22:00.860] 今天我买的事实上三
[22:05.750] 人
[22:07.640] 三
[22:08.910] 663.6这就是
[22:12.780] 点多少？
[22:15.400] 利息高点，你的更高一点收入。
[22:18.610] 利息高点也得写，先用几块钱你看。
[22:22.180] 利息高了。
[22:24.760] 不是只有晚上，那时候咱们那会儿我记得
[22:29.160] 所有的我也没事，我说
[22:32.620] 可能是负责1010万多块钱百，所有车友就是
[22:38.770] 一边哭了10万多块钱对吧？
[22:42.020] 让
[22:43.910] 你那边的第三，刚才我说那边的产品了，
[22:49.950] 这场合写的是属于不是63，
[22:52.510] 直播车的时候或你还得加那些东西，是你不把装上也都20。
[22:59.090] 楼上的有点那种敞篷的超模60多万，
[23:04.500] 20%守候13，他写的那本写的是12百。
[23:09.700] 对12万多。
[23:11.860] 在乱七八糟购置税估计12 13路上。
[23:14.670] 20多万。
[23:17.340] 咱这个也可以做批准。
[23:19.640] 但一共就高
[23:22.080] 直接说可以做20%，
[23:25.370] 势必就会高一点，你不能说我付个
[23:29.250] D我力气找第三者，
[23:31.880] 它总体是平衡。
[23:34.570] 10昨天差不多是一起都是一样的，这边一点这边就高了，
[23:39.590] 有空就高了。
[23:43.530] 这边您数得稍微高一点，但是优秀多少？
[23:46.160] 5:30了。
[23:49.570] 对快点。
[24:10.400] 是不给你们。
[24:28.440] 太太非常
[24:29.580] 优秀的
[24:32.410] 给徐总S他去拍照，
[24:34.860] 张江里面
[25:18.680] 要用，
[25:19.490] 然后在美国做。
