[00:01.160] 诸侯林立。
[10:50.640] 就是颜色的音响都是附加的，你别听这些完了。
[10:59.790] 再过几天电影，
[11:01.200] 谁叫什么音响，你先问一下价格再说好吧？
[11:08.550] 我坐车连个音乐我都不清楚谁都是一样好吧？
[11:14.760] 你都不让。
[11:26.100] 怎么心里恨
[11:27.470] 了？
[11:31.390] 看一下。
[11:32.600] 买银想说就心里痛快了。
[11:39.120] 视觉咱这没有。
[11:40.720] 如果说您考虑带音响，说近期好的，咱们练就没戏了，因为咱们没有代理商。
[11:46.790] 对。
[11:53.600] 没有动态影响吗？
[12:08.560] 别的店都对比过了是吧？
[12:14.340] 一般9个都是
[12:24.600] 不分期，也没有什么
[12:35.890] 您看一下，
[12:37.250] 给您算了一个存款，然后按照咱服务公约没有捆绑销售，全是消费，没有使用假，这一次充好了。
[12:44.000] 所有价位都有工具手册可以给您看一眼，话单也是所有奔驰都是一样，都是统一的。
[12:49.720] 2648优惠完了是2148，等于现金直降5万，然后购置税19,000，练车2500，保险8000左右，根据你个人您上班都行，
[13:00.560] 最后存下来244,000。
[13:03.950] 对，您看对比一下和您之前看的价位有什么区别，
[13:08.660] 哪项费用有什么疑问可以不用说，然后这里是不安装是的。
[13:12.470] 装饰的话您自愿做就不做，然后如果说您考虑的话，这边给您推荐一些装饰，然后有套餐。
[13:19.400] 他这边用没有装饰是吧？对，没那套装。
[13:27.750] 裸车就是214,000是吧？
[13:34.820] 才能用这么多钱，没车您做装饰吗？
[13:38.670] 会考虑做吗？肯定做下是吧？贴膜什么的，对，反正一般咱们建议您贴一些好一点的膜，就是威固，因为只有这个品牌能对得起您买的奔驰，
[13:50.730] 有很多地方送您几千块钱把那个东西差一点。
[13:55.180] 咱们这是威固贴膜，然后行车记录仪、脚垫、后备箱垫这是一个套餐，因为这是咱们平常用车最常用的抵押，
[14:03.560] 打完折是13,800，13,800，但是如果说你要做这个，
[14:08.440] 您也花不了13,800，为什么？因为做这13,800他
[14:12.550] 精品这边会给您拿出一些利润来送给您，您比如说贴金3000块钱保险的话，可能就花1万块钱作为庄子，然后您做这桩事吗？
[14:23.190] 咱们这边
[14:29.160] 对，反正
[14:30.550] 精品那边可以拿出利润贴进去，相对来说装饰要合适一点，车架这边可以给您去申请，如果说你要今天买了，比如我今天就定了我们什么关系，
[14:41.630] 我方便给您申请的优惠，他不会说很难，因为大面我已经给您了，您是比过的，不是说您第一次来对吧？没必要跟您回来去
[14:52.580] 是吧？
[14:52.750] 对。
[14:54.020] 基本上工程也就是那些钱不会有太大的副本，
[14:58.780] 不会有太大的突破。
[15:01.040] 对。
[15:02.960] 你要觉得这价格差不多，然后考虑定我现在就可以给你去问，你现在问好最低能多少钱就坐车好吧？是您从别的店工作最低的，比咱们这儿有D低多少或者高多少高一点。
[15:17.810] 就比咱们优惠多一点是吧？我比你再高一点，
[15:24.170] 比咱们这儿高一点，因为我买那辆车的时候，
[15:30.530] 房山那边比这边的价格贵了1万多块钱，然后选择了这边。
[15:36.730] 这边是吧？因为这个店它销量。
[15:39.480] 讹她，特别是
[15:41.000] 那边贵了2万，这边优惠了2万。
[15:45.630] 在这边我们买了五六辆车了。
[15:49.760] 行。
[15:51.720] 您买车就是刚才说那些装饰我给你写一下，咱们忘了这些方式，我都知道，对，其实这个我明白。
[16:01.610] 行，我给您按照咱们谈的这些去给您问好，您看看能优惠多少钱，对怎么着？
[16:08.220] 您稍等。
[16:11.010] 6
[16:13.170] 点。
[16:22.300] 你看到没有，你不用记一天两天知道吗？
[16:29.450] 他这214,000
[16:31.840] 你看得懂，
[16:33.760] 225,000，这就是1万块钱了，
[16:36.580] 知道吧？
[16:38.180] 这个时候看到保单可能要
[16:43.680] 11,000了，保险他这边花钱，人家这边不是说人家八千颂，这个是你自己选。
[16:52.200] 没事明白吧？
[16:54.540] 自己选择价格，比如说像玻璃的小的光耀，
[17:01.980] 就可以选择一个
[17:08.060] 车船费这个价格是一样的，有些东西是死的。
[17:14.950] 方式它的6800，
[17:18.200] 他的13,000也是根据自己
[17:21.480] 他这上面写的有
[17:28.070] 他优惠了45,000，
[17:32.610] 你就11万块钱一年，加油的。
[17:41.080] 听懂了吗？
[17:42.180] 能听懂意思了吗？
[17:46.170] 为啥就这边人那么多了？
[17:49.010] 他肯定
[17:50.380] 还能有，你说他为啥配置哪儿
[17:54.280] 不一样的地方？
[17:55.880] 它配置是一样的，它怎么不一样？
[17:58.600] 不一致。
[18:00.350] 也不干。
[18:07.030] 当然。
[18:17.910] 你去了吗？
[18:25.470] 白色的。
[18:28.810] 还买黑的。
[18:35.370] 车险的。
[18:39.670] 看黑车、看
[18:45.530] 网站
[18:48.450] 一样，
[18:50.980] 里边
[18:53.200] 坏
[18:55.120] 了。
[19:05.930] 了。
[19:08.070] 我查了。
[19:10.200] 到
[19:13.890] 了。
[19:15.700] 到了免了直接柜外了。
[19:18.560] 不想说差不多了。
[19:20.360] 因为他不是出来好吗？
[19:22.080] 你看出来吗？不是吧？你看车牌号是P8 88他要算下来26万，
[19:28.810] 他就没有原件，是一样的，优惠下来不一样，
[19:36.610] 他们不会11,800万如果不换地方，这会儿这样。
[19:43.570] 就当你看我
[19:46.040] 我赶紧把房子给办完了，我先跟您
[19:50.420] 你说要一会要跟他说，我不要
[19:53.220] 啥玩意，就像你说你不让我要没影响了。
[19:57.810] 我们家就那一辆。
[20:03.680] 你问你问问他，你说你那张是现车吗？还是
[20:09.300] 还是有公理说的？
[20:11.460] 的
[20:16.840] 的
[20:19.780] 把
[20:21.190] 效率
[20:23.180] 现在。
[20:27.640] 你用了吗？给他吃。
[20:30.390] 让他们
[20:37.340] 的
[20:38.100] 上。
[20:39.650] 我就这一次。
[20:41.880] 然后都笑了，
[20:44.930] 直接对比了，谁知
[20:50.100] 的
[21:01.670] 加深显示，
[21:05.350] 明显都是新的
[21:07.240] 基本同意的。
[21:24.300] 密码
[21:58.960] 没啥结果。
[22:32.760] 没有打开邮箱。
[22:40.390] 了。
[22:41.710] 了
[22:43.990] 没有用现金交不了吗？
[22:50.750] 他是我们前面问银行的还是
[22:54.370] 它是同一个部一个窗口，是一个银行。
[22:59.420] 银行
[23:01.740] 用现金
[23:32.560] 土地和财政
[23:45.270] 你好
[23:53.210] 110
[23:54.640] 108。
[23:57.250] 19770201，
[24:02.080] 这是刚过去我天天去买，
[24:05.380] 我买这
[24:07.290] 一直没我这多方便走着我市区这边。
[24:11.730] 没有。
[24:13.060] 我就没管。
[24:15.360] 我都市区都在找着，我这边还找了一个
[24:24.600] 不是我就电脑打了了，已经在跑了邮箱了，要不然你再把蚊香邮箱地址你再记一下好吧？
[24:32.960] 别待会给发错了。
[24:36.210] 对。
[24:39.800] 对火箭龙圈A126点
[24:44.220] IOM
[24:46.790] 对所以说
[24:48.740] 所以说
[24:50.110] 现在没有
[24:55.120] 没想我了，看看算到最后怎么样？
[24:59.100] 分手。
[25:01.030] 地方。
[25:04.600] 就跟他说这份优惠跟他说了，我们这边确实是有很确实
[25:10.410] 你跟他说多少钱，我没跟他说多少钱，然后他说
[25:14.320] 把
[25:15.910] 其实算到最后再让老师看看。
[25:19.180] 他的话当然只有大概要一个方向用，第二
[25:30.790] 他车里
[25:31.500] 肯定
[25:32.380] 和了一种
[25:38.240] 基本上是这样，您现在是
[25:41.510] 244308，如果说假如说你要做装饰，您需要花的钱是I
[25:47.370] 5324456。
[25:53.680] 您假如如果要做装饰，现在基本上得在25万。
[25:58.250] 在加上13,800的装饰，为啥那么高？
[26:03.590] 您听遍反正他也有优惠。
[26:06.160] 然后如果说您对做装饰做装饰，现在还是258,100，然后现在等于减。
[26:15.540] 刚刚是4000，
[26:17.140] 也就是说我发现。
[26:19.580] 然后您下来是252,000，也就是说但能综合准备让6000块钱。
[26:25.010] 对，你整个裸车价格
[26:30.330] 来了，裸车我看你高到哪里了。
[26:40.220] 对。
[26:42.710] 你觉得搬迁的一个
[26:45.560] 或者我给您看也行，因为这东西我给您看也行。
[26:50.570] 我告诉您贵在哪，便宜在哪。
[26:59.910] 加5700加的是柏林音响对吧？咱们先把5700去掉，
[27:05.910] 他这优惠完了22万对吧？因为你得去了有5700，
[27:09.990] 也就219,800，咱们这是214,800，比它多便宜，一个5000块钱开票价。
[27:18.180] 保险它肯定
[27:19.700] 他给您送5000块钱是吗？
[27:21.780] 保险他就给您送回5000，实际上它和咱们优惠可以说是一样的，对吧？
[27:33.790] 其实差就差在哪，他在装饰上对装饰他的6800是什么东西，你得说。
[27:39.770] 原有对可能也是贴膜，脚垫行车就于后备箱垫。
[27:44.000] 对，但是您就得看那摩的一个品牌。
[27:47.330] 是不是微故事？咱们这有一个多少钱的
[27:50.330] 汽车电瓶，咱们这有一个8800的装饰套餐，8800多块钱也是这个东西，他也还有一个
[27:57.630] 他说了还是每家店都会跟您说也是这东西只不过它的模就不是威固的了。
[28:04.470] 实际上咱们8800的，假如说你申请的时候再优惠2000，不也是6000多了就一样了。
[28:10.930] 这个问题
[28:11.920] 咱等于刚才给您申请完了以后，现金上
[28:16.220] 咱们等于又优惠2000，也就是说比它实际上刚才。
[28:19.910] 比他优惠要多2000块钱。
[28:22.520] 然后这个装饰如果说您要嫌这贵，没关系，咱们做这个也能给您做到6000多，因为
[28:29.690] 东西的话咱们店不会用太
[28:32.420] 很便宜太便宜的东西，真是不会用这个。
[28:35.550] 而且游戏以后您开我跟您说摹的意义在那里。
[28:39.720] 防紫外线真的，如果您坐在不同贴膜的车里，对您的皮肤都是不一样。
[28:45.500] 真是特别计划。
[28:48.850] 因为咱们在人在车里头时间还是比较长的，开车的时候，所以太阳一晒你要贴好膜威固的，你和E3M差好多。
[28:56.870] 而且您现在您即使做威固了，
[29:00.390] 他是6000。
[29:02.340] 他是6800是吧？它是6800，咱们做威固的，刚才等于这让了4000，咱们9800。
[29:08.080] 这块要做一个平台，比它贵3000对吧？
[29:10.920] 但是新车上咱们给他让又给您让回2000，实际上您才觉得多花1000块钱。
[29:25.250] 这款吗？而且还是那句话，
[29:28.550] 有音响的车丽。
[29:31.020] 理论啥的。
[29:33.370] 理论上是不好卖的，看总体。
[29:34.950] 要如果差不多肯定要你加盟方便一点，哪个力家门口话住在我们家门口，离门口方便没事，但不觉得咱们这个店的东西环境要更好一些，知道您好。
[29:46.750] 没有方便的这个环境，我不能天天在这儿吗对吧？你看以后您度过了找找血时候吃饭都方便，
[29:55.200] 他有时候要出去啥的也都是方便的，但是现在咱们确实也比它便宜。
[30:00.530] 他讲如果说你按理说按里头应该是
[30:05.720] 总体来说要贵些，
[30:07.510] 除了一个五环以外，甚至说偏远一点的店，按理说是要表现一些是这么个对他不便宜，对，所以说是什么？所以说您现在从这儿，首先我这儿其实已经比它便宜了，
[30:20.530] 要比他便宜1000，其实您得到的不是1000块钱东西，你得到可能是四五千块钱的东西。
[30:25.550] 因为它的地理位置好，可能是对于您。
[30:29.030] 来说，它确实谁知多少钱肯定要是离我们自己方便一点。
[30:35.050] 有妈妈一共也没几工，那10多公里也就它跟保养车是一样的。
[30:40.560] 所有的对保养车你也可以从这玩去那保，但是
[30:44.320] 这种店他一般稳定性比较好，售后的活动相对来说比较丰富一些，您。
[30:49.840] 所有的车的
[30:51.130] 4S店，你看我们的奥迪和帕萨特，你看小高他们都在附近，它咋能跑到社区去保障？
[30:59.650] 谁知接比他便宜了2000块钱，
[31:08.160] 年200两2000，对。
[31:13.020] 你便宜太多也不太现实了。
[31:16.680] 晚上一下砸下来，但不是便宜2000，因为他现在音响了，他有不在影响不说。
[31:23.090] 没有对吧？就这样。
[31:25.630] 因为带影响说相对来说它确实是不好卖一些。
[31:30.480] 这个分怎么说怎么认为，你可能觉得他没有用，但我喜欢你对吧？你看你怎么知道吗？
[31:37.600] 其他事情你肯定有你销售你想跟我推销的东西，但是你
[31:43.310] 你说的那些东西我不喜欢，我都是站在客观上说，因为你像C级以上的车，ct以上的车有很多人喜欢着玻璃影响，他喜欢在哪，因为它的外形不一样，
[31:55.110] 它这个外形直接由一个原来黑色的影响变成了一个铝制的手工打孔的影响，
[32:01.060] 但是A是什么情况？
[32:02.920] A是说你这个音响普通音响就是那块塑料板，对吧？你柏林之声音响就在塑料板上加一个玻璃支撑的小标志。
[32:10.940] 所以说从视觉上就没有那么一个强的冲击力，不是说喜欢那个东西，你就
[32:16.450] 谁知真是说站在客观的角度上去分析，我看了你就想要
[32:25.500] 知道吧？
[32:26.590] 因为它有现车，现车你今天开不走，今天裁定您到那也还不走别的了。
[32:33.750] 你把你想好，你没有两三天，你而且他那是金属漆的白还是普通7的，
[32:41.570] 跟这边一样吗？一样。
[32:43.540] A市有两种，
[32:45.220] 一个这叫天地版，一个叫次元版。
[32:49.790] 这俩有什么区别？
[32:51.030] 一个是这种普通企业，因为白色蓝一般都是普通，您买车多应该知道，还有一种叫金属漆，
[32:57.360] 实际上金属漆的白，如果在日系品牌要贵2000块钱，
[33:01.820] 但是说咱们奔驰是不贵的，如果说您买咱们后期马上要到的三台车，有一台是普通白亮还是金属，
[33:11.950] 您完全可以选金属白也就是金属
[33:15.550] 次元。
[33:17.250] 因为金属漆它就要好一些，她比较就要比普通白多一些金属颗粒，
[33:22.910] 他就是看上去没这么白，但是它在阳光底下它是发亮的，他里边有金属颗粒，
[33:28.560] 金属的。
[33:31.010] 满分的是不是？
[33:33.600] 对。
[33:37.580] 你说那个车是
[33:40.320] 从事公益或者说对比如生产日期公里数，
[33:46.040] 然后是不是纯新车就得了，你就问这三问题就行。
[33:49.870] 然后如果说你要是说先是说考虑比如威固膜什么的。
[33:54.730] 他的意思就是
[33:56.110] 你想今天就拿上就不想再，就是你明白这个意思，那个标不是我的意思吗？他明天还要出差去西安，
[34:06.950] 您不用标人来你知道吗？
[34:09.520] 再加上我也想问一下。
[34:11.330] 他得过来是吧？
[34:13.710] 我们这的。
[34:18.560] 机场
[34:20.460] 其他
[34:25.860] 没有，您让您做什么？
[34:28.760] 在干嘛比较清楚，一块近期会回来吗？
[34:34.800] 他自己的姐妹自己绝对不是他的指标，到现在没指标
[34:42.350] 了8年了。
[34:46.100] 跟我媳妇一天。
[34:48.550] 他应该是
[34:50.230] 10年开始摇的还是一年？
[34:52.740] 将近10年9年多了，第一期他第一期窑，然后中间断了4期，然后剩下
[34:59.370] 全续上了，
[35:00.880] 也没得到
[35:02.760] 了。
[35:03.640] 这不是以家庭为单位，这个方案要出来了可能会好一点。
[35:08.500] 自己的指标录入
[35:14.850] 场
[35:21.430] 的
[35:27.310] 的
[35:30.340] 的
[35:33.040] 了
[35:36.080] 的
[35:37.180] 厂里边
[35:43.730] 还有一个东西的
[35:49.320] 洞房的车进口，一旦他现在没力量了，他会给大家通知，他可能也用不上。
[35:56.230] 基本上是多少，有时候想打一点相反的，你还有什么气是什么汽车对
[36:04.850] 金属累。
[36:08.480] 一个金属杯，一个是叫什么？本来就是普通的，
[36:13.160] 不完之后我再联系了一下上诉，
[36:17.250] 然后有感觉就沟通了，然后还能优惠多少钱，还有多少钱了吗？
[36:23.440] 不知道就算了，对你好，不能刚才说我在讲课过程
[36:29.250] 对不对？你不用再行，你跟我谈一下，问一下好要不要4S店不是这两件还拖着不行，
[36:39.290] 我把它到哪里你就不用担心的来，你不要着急了应该，但现在
[36:47.230] 您要去别的地方，他也是就没干什么，即使有现车，您今天他也提不上，
[36:52.460] 他特别看重，
[36:54.430] 因为它能实现谁知。
[37:00.630] 是吧？
[37:01.980] 还有客户办完盘还得装饰，
[37:06.680] 我的产品装置都好弄，
[37:09.040] 或者如果不合法这先挂牌是吧？
[37:12.690] 对话临牌，然后得用他的身份证，
[37:16.650] 他明天要去先要没有他身份证办不了礼堂，所以说我为什么说下午不能给他办临牌，要用一下身份证，
[37:32.430] 明天要去西安吃饭，这我得带走。
[37:35.170] 今天
[37:36.350] 开始。
[37:37.380] 他去几天？
[37:38.780] 我不知道他好像是出差有事，不过他到了以后日常到他不知道坐火车坐飞机会用身份证了，
[37:45.830] 他到了以后可以给您寄回来，如果说去时间长，
[37:49.600] 而且您到别的店买的时候，您也不能
[37:53.270] 我就冲着现车特着急对吧？您E着急，他肯定会有别的方面的事会
[37:59.330] 会出来。
[38:18.250] 非配置不要，
[38:20.280] 我说您非配置不要，还有啥配置？
[38:27.910] 还有啥？就是白色的。
[38:31.000] 还有比他低配置。
[38:35.390] 没有，那是氛围灯的那块。
[38:38.640] 那是叫什么灯？内饰氛围灯和电动在雨，没有电动座椅不行。
[38:44.890] 不行是吧？
[38:51.400] 那边可能回电话了吗？就是那边。
[38:54.560] 他给你拍你我的微信是吧？
[38:56.870] 你等他回归性我给你看一下。
[39:23.400] 这是奔驰黑色的好看，
[39:25.750] %A不能卖，helloA不能卖飞的。
[39:32.880] 你们450迈巴赫多少钱？
[39:38.440] 450
[39:40.800] 迈巴赫145，
[39:47.280] 正常的
[39:51.140] A
[39:54.380] 山脉灰真是
[40:04.040] 这个车的生产是2020年2月，因为标牌是不写日子的，
[40:09.880] 指挥写到月份，
[40:12.180] 您就当他是2月下半旬生产了，到店大概是3月份，
[40:17.600] 现在是7月份，首先这个车有一个将近4~5个月的一个库存，
[40:23.050] 所以说一般三个月以上
[40:26.760] 就可以列入库存，因为它大于100天了，对就可以列入库存了。
[40:32.240] 所以说相对来说确实时间确实稍微长一点。
[40:43.840] 而且你要是2月份生产的车没赶上没赶上国6国6B那款。
[40:49.820] 他是国6A应该。
[40:52.030] 对因为他二。
[40:54.290] 他是3月份还是4月份换，它不是有一个改款吗？
[40:58.230] 7月份一还有一批。
[41:01.740] 他7月份还要开一次是吧？对，这车肯定属于库存系列。
[41:08.670] 对。
[41:09.990] 你说他不好不爱听，没有。
[41:14.360] 线圈。
[41:16.180] 我就真是站在客观来说，我不是说让你一定从我干嘛。
[41:20.070] 为啥你。
[41:21.290] 你可以看咱们。
[41:24.890] 对，你看咱们生产日期你可以看见。
[41:27.980] 6月17号7月14号7月15号就这三台车，
[41:31.420] 你都可以挑，您知道吗？
[41:33.660] 车架号这也出来了，就证明这个车已经生产出来了，只不过还没发运。
[41:38.340] 您比如说甚至说我想要一个我喜欢的车架号，假如说我选的16530咱们就可以定。
[41:44.930] 我喜欢E21454，还有E21702您都可以挑，然后。
[41:50.840] 144就叫次元百149就是普通版，您都可以选择。
[41:56.660] 新车的模式
[41:59.300] 不会贴掉的，知道吗？
[42:01.030] 作家里面。
[42:02.600] 对。
[42:03.690] 对他来的是有，但是现在魔很少不是用，原来是积怨可以贴着膜来了。
[42:09.230] 现在做也会有魔，然后门边会有那种防撞的海绵，也没有那么多磨。
[42:15.150] 没有了。
[42:16.100] 对，但是展开你一看也能看出来说做一个皮质会有一些死，只知道对他皮子还跟翻毛皮的。
[42:23.390] 对什么？不是，那是正常翻毛皮是正常了，这个也是翻毛皮，对翻毛皮是正常的，主要是应用毛皮，对运动乃至翻毛皮的。
[42:36.200] 历次之后还有啥车能推荐一下？
[42:40.510] 那就是颜色飞白不要是吗？
[42:43.420] 没有其他这么任性，不是你说您的颜色也不好开吗？
[42:49.870] 山脉灰您是没见过，我知道，灰色知道我有朋友买的。
[42:55.550] 就是说说黄不黄，说咔不咔有点是不是？
[43:01.430] 不是山脉灰指的是外观的颜色。
[43:03.830] 还是白色？
[43:05.430] 白色的要么就是什么比他第一配置了，没有电动座椅和氛围灯那款。
[43:12.000] 也不要就180肯定也不要，
[43:15.170] 对吧？186没有再跟摸尾巴，
[43:17.910] 预算得多少钱？
[43:19.570] 能高一点吗？
[43:22.170] 不能做多少。
[43:24.280] 可是您还只要白车，
[43:26.900] 只要白色，我觉得C标准应该是更适合您一些。
[43:31.400] 开展档次一下就上来。
[43:34.350] 你看有没有睡觉了。
[43:37.910] 等会稍等。
[43:40.580] 中国
[43:45.310] 要
