[00:00.000] 我们详细聊聊190，
[06:31.080] 老师对方聊咱们自己交，
[06:34.240] 淘宝一称10块钱一声都超好的，我花小钱办大事，对把淘宝一撑就撑出来了不？
[06:42.910] 对，你上次说的什么玩意儿夹在这就行了。
[06:46.870] 他高度够吗？高了，我自己车就贴在这个。
[06:53.130] 抬头显示的您。
[06:56.050] 特别简单来
[06:58.400] 给你看看什么样。
[06:59.790] 叫什么萝卜是吧？
[07:01.640] 对，您不是想那个吗？
[07:04.320] 他那得现就得加的什么典型器上是吧？
[07:09.350] 对。
[07:10.300] 也可以接办。
[07:13.070] H尤迪。
[07:14.370] 你们能帮着接吗？为什么戒不了？
[07:18.250] 这样。
[07:20.010] 这样的。
[07:21.200] 车萝卜、
[07:22.460] 太读者是您实际看就这样的。
[07:25.110] 这个其实意义不是很高，基本上来说
[07:28.870] 我自己使的是很便宜的，就是最普通的H有的他都闲置。
[07:33.510] 最普通的是导航吗？不是就显示时速。
[07:37.720] 无所谓，我觉得他是因为它这种是直接投影到屏幕上的，你要车萝卜它是单立起一块透明的屏幕来，对。
[07:45.420] 我喜欢的更喜欢这种投影，对当然更好对吧？但是你想要导航就太复杂了，一般来说就必须得需要立着平了，
[07:53.250] 也就是希望能投到玻璃上。
[07:56.880] 高德地图。
[07:58.300] 这车萝卜烧萝卜，高德地图还是得大块玻璃，对就他这样的。
[08:04.290] 这就没法这种看到吗？导航信息。
[08:07.540] 来电话都有了，
[08:09.100] 导航信息高德全都有了。
[08:11.160] 您要4分3699，
[08:14.640] 对吧？
[08:16.840] 这就很方便了。
[08:18.720] 我觉得这种东西都可以解决，这东西都可以加在这，手机没有意义。
[08:24.080] 在省钱攒钱买个手机支架，膝前风挡上的放在这，
[08:28.070] 放在这就可以了，你像我自己一般来说，我赛车配买一个只显示时速的，它都显示在加一个手机支架，
[08:35.560] 这个就可以当导游有导航，但是他不能抬头显示，就是侧着看。
[08:46.010] 二。
[08:47.720] 给
[08:49.610] 那一个聊超过5分钟完了吗？没我这聊这我要约的。
[08:59.320] 根本都没印象。
[09:04.070] 看看
[09:09.080] 这有不到9%。
[09:12.490] 在苔藓了吗？
[09:15.460] 有来看一下之后再看一下
[09:20.230] 这车主是谁开。
[09:23.400] 这两年我还好。
[09:27.040] 喜欢哪种？
[09:28.800] 好好，我再看一下，好。
[09:32.900] 看一下。
[09:37.550] 这颜色挺好。
[09:38.600] 您抽烟吗？
[09:39.590] 我不抽烟不穿那我来根烟。
[09:41.420] 好。
[09:42.060] 豪华版外观
[09:45.010] 也是之一，这右边那个。
[09:47.560] 这个是吧？
[09:51.280] 也是职业。
[09:53.730] 白的、
[09:54.900] 黑的。
[09:58.320] 一般豪华版的一般都是买黑的。
[10:01.000] 好。
[10:03.440] 看这张白色的不？
[10:06.530] 这叫深色缺点。
[10:14.680] 新这是客户的整天磨去钻装饰，
[10:18.910] 所以
[10:21.040] 板的龙骨
[10:24.400] 有5款是变了，
[10:27.120] 咱俩现在他就可老大了。
[10:29.580] 怎么就跟了都删掉了？
[10:31.830] 很正常，你正常车能放一两天都什么叫下雨？
[10:36.440] 是这样。
[10:37.520] 你坐车都这样。
[10:39.120] 我也不会。
[10:41.150] 人停着不动，放两天绝对生效，
[10:43.560] 车只要一栋500米就没了。
[10:45.630] 挺严重一样很漂亮。
[10:49.540] 豪华版的有没有？
[10:51.910] 有白的比较少有一张白色外观，黑色内饰。
[10:55.750] 比较少见，有现车，
[11:03.060] 对，所以有。
[11:05.410] 白色外观黑色内饰的，我们店里有现车。
[11:08.790] 你说说行或者别的什么，
[11:10.360] 所有米色都是订单车。
[11:12.670] 您说那是颜色吧？
[11:14.400] 内饰颜色和外观颜色。
[11:16.520] 为室内是的话基本都是常卖的。
[11:19.670] 东侧其次就是黑，
[11:22.090] A红色，
[11:23.660] 这就是东北。
[11:25.630] 觉得这个是先天性。
[11:27.870] 但是你白色外观配棕色内饰
[11:30.280] 就不太协调，一般叫白外黑内，
[11:33.400] 撞色包看着棕色的YYYY这种就显老气了，就是风妹也是深色，
[11:39.390] 那就是红色外观。
[11:41.470] 那就显老气了。
[11:44.430] 这车你要买就俩色白、黑，
[11:47.520] A最好看的。
[11:49.030] 这两首这种大型的车就买蜡纸就白费，白色内饰什么色？
[11:54.000] 一般都是蓝色的。
[11:55.560] 来到外观一般都可以得可以。
[11:57.770] 刚才对OK，但它的木纹是那种实木内饰，
[12:02.230] 所以是视觉效果就很好看。
[12:07.440] 就这个轮子是不是？
[12:09.810] 谁知
[12:12.080] 不要看龙宫款式，
[12:14.750] 我看什么都不。
[12:17.010] 因为别的车都在动，这车停着好几天了，
[12:19.740] 下雨容易成正。
[12:21.410] 保护正是新车，您的车要是订了新车来的时候也是这样。
[12:25.660] 在保护着了
[12:27.900] 了。
[12:30.910] 这是S60
[12:33.400] 小一点，但是白色外观。
[12:42.650] 这就是白外黑内，
[12:44.170] 应该看看白外黑内的搭配起来效果。
[12:48.610] 后面距离越小了，
[12:50.830] 我就跟房子的
[12:54.670] 基本上上面老板我再去买滑板都买了。
[13:00.510] 你那边还有木本吗？
[13:02.800] 早晨就跟着特别点我们的
[13:05.510] 晚间
[13:07.450] 胡桃木的那时候。
[13:09.120] 综合的
[13:12.440] 剽悍的电力，
[13:13.830] 有现成的有现车，但是现车在我们库里面停着，
[13:21.200] OK
[13:22.670] 发车前4后4，
[13:24.530] 因为这个车支持0~130公里的自动驾驶辅助，
[13:27.730] 所以说雷达和传感器特别多，
[13:30.790] 那种在乎可以到什么程度？
[13:33.200] 我这么跟您说，
[13:34.590] 我走环路，我放完油门刹车都不用管，自己开的特别准确，走日常道路也可以，要不然您带驾照了吗？
[13:41.150] 没有了。
[13:42.020] 带驾照了是个假，我带你演示一下。
[13:45.640] 他路上比如ts80，它能自动就降到80了，没那么智能，你得设定到80，
[13:51.970] 但是如果前面车
[13:53.450] 不到80，
[13:54.640] 他是跟着前车走的，就说我走什么走高度110，我设到110，但是前面有一段他是
[14:01.830] 限速80的，看能不能做，您的仪表盘会提示，
[14:06.320] 但是她不会说给您自动制动，
[14:09.560] 没那么只能肯定就跟拍电影似的了。
[14:12.750] 在L3级以上了。
[14:14.400] 街头大堂的那些信息。
[14:16.200] 对，但是后期因为咱沃尔沃您应该有所了解，沃尔沃现在在上海那边展开了无人驾驶的车辆的测试，
[14:23.750] 打的都能打到沃尔沃自动驾驶了，
[14:25.960] 后期原通过软件升级，每都可以升级出来，因为咱这车本身硬件已经支持无人驾驶了，
[14:32.160] 只是靠后期国家允许，因为像您说的那种自动降速的话。
[14:36.240] 涉及到一个触犯法律，因为在中国不允许无人驾驶车辆出险，不允许F3级以上。
[14:41.990] 得需要单独拿执照。
[14:44.510] 现在属于测试阶段。
[14:46.550] 麻烦你设置。
[14:48.920] 比如说您收到110，前面道路限速80，
[14:52.650] 不可能您所有车都按110走，有肯定会有可能大部分车都按80走对吧？
[14:57.460] 它会生根感觉到前车的距离，前车速度降了他就咱回家。
[15:01.840] 但是前面没有车的话，他就要不一样，对。
[15:06.710] 城市道路一般也不会说前面一个车
[15:10.330] 你有时候门口
[15:11.670] 高速
[15:12.560] 就像劳动，
[15:13.570] 这个是能做到的极限。
[15:16.580] 甜的体现对过桥，哪个桥还限速80的，他不可能那么智能。
[15:21.240] 真要那么智能的话，
[15:22.790] 现在我。
[15:23.920] 已知道能做到这么智能的，也就是特斯拉了。
[15:26.970] 但是特斯拉。
[15:28.660] 近几年出事故的也特别多，前段时间出了为什么放纵像这种传统车企跟种。
[15:34.530] 行车企最大不同的是他们求稳，
[15:36.350] 人物事全求稳，人进口说不给你公布，其实咱这个车前后左右叶子板里都有这么大的黑的黑匣子，
[15:44.070] 它的一个传感器，但是都没有被激活，
[15:47.920] 这次什么时候激活，等什么时候硬件各方面达到标准了，再直接通过4S店系统升级，
[15:54.440] 就能激活了，他里边硬件已经有了，
[15:57.660] 双向电机，
[15:59.280] 包括前面一个毫米波雷达加一个工人上头全车8颗雷达的一个测距，刚刚开始测距传感器它能测
[16:06.050] 70米范围之内，
[16:07.740] 所有物体
[16:08.930] 本身硬件已经能做到这些，但是他没纸没激活，不可能提供。
[16:13.810] 你看为什么现在测试完什么优被那些测试无人驾驶的都有沃尔沃的车，因为沃尔沃本身硬件已经都做到了，
[16:20.300] 就只是软件升级而已，可以通过软件合作，
[16:24.250] 这都给你画饼了。
[16:26.570] 具体什么时候能做出来我也不敢保证。
[16:28.930] 对吧？真的污染里面，因为。
[16:31.330] 一涉及到物价使它不单单。
[16:32.690] 说你软件升级就可以，他得设计一个道路的硬件升级。
[16:36.280] 道路路标，你像现在咱这路标随便画个线就能拐的这种的肯定不可能符合无人驾驶的要求。
[16:42.620] 这都要求很多，包括接入当地的交通网络信号灯，
[16:46.940] 这识别到了，
[16:48.140] 这都很难实现，您软件都得全方位配套，以后再说，
[16:53.360] 您一个人无人驾驶您是最危险的，人家90%的车都能无人驾驶了，这时候他才能是安全，
[17:00.200] 要不然最好也别扯，
[17:02.610] 带着自己开，这来说我们自己实时就实际来开，
[17:07.350] 确实很放松，你可以放开油门刹车放盘由他来开，只要地上有车道线，您只负责跳远就可以了。
[17:15.260] 但是也不能睡觉，因为
[17:17.110] 也是根据法律允许，每20秒钟它会提示您没假放盘，你要不模仿盘它会自动取消无人驾驶。
[17:23.990] 咱这只能叫辅助。
[17:26.440] 对。
[17:27.420] 关键还是不画屏，我不给您划屏，别的品牌说这车的无人驾驶扯淡的，不可能。
[17:33.360] 你一定
[17:34.470] 对这车已经在您这个价位来说配置足够齐。
[17:37.920] 您要买到bb品牌，同级。
[17:39.830] 别的车你买到顶配，你还得花钱买个包，
[17:42.560] 才能带驾驶辅助，而且也做不到。
[17:45.470] 0~135
[17:47.120] 都一样了。
[17:48.210] 是不是？这车都很舒服，前面车停了，
[17:51.170] 你能完全停止，
[17:52.510] 它停了再走，你还能接着跟着走，别的品牌的车，即使说有带自动巡航，带有驾驶辅助包的，
[17:58.190] 也只能做到30公里以上，它不能做到完全。
[18:01.300] 所以他在其中大概110脚油门不用您管，那已经自己就走了。
[18:06.240] 要等几秒55秒钟以内，
[18:09.720] 他会自己根据前车走5。
[18:11.540] 5秒钟以上，需要您按下放盘上的一个。
[18:14.030] 新建它就会自动跟着。
[18:15.730] 您看您考虑出来这已经能做到极致了，就自动巡航，这是什么？
[18:20.130] 你自性巡航多一个，他在。
[18:22.230] 双向电机能够在车道，
[18:24.360] 我自己实测6060度以内的弯它都能自己。
[18:29.540] 90度不可能60度以内的晚他都能自己管。
[18:33.670] 你那手环环岛
[18:35.690] 还倒没问题。
[18:37.320] 没问题。
[18:38.240] 掉头不成，我说掉头不成，反正等等我从哪要出去，
[18:42.720] 打转向灯，放船用您来接管，
[18:45.820] 您来负责反，但是油门刹车不用您管，打好转向灯就可以，咋有空上放满就可以。
[18:51.770] 还有
[18:52.760] 有需要导航，
[18:54.240] 饱含这方面的作用。
[18:55.630] 还是你要拍电影，对您又变成拍电影了。
[19:00.690] 他不可能说您是和地址自己开回家了。
[19:03.990] 太难了。
[19:06.210] 对10年我估计都悬。
[19:09.900] 对一线城市10年我觉得还有点信。
[19:12.960] 但您说北京这套路，我重新给您把它重新规划一遍，您太难了，投资多大？
[19:19.980] 他可能就找个三线城市作为试点，
[19:22.900] 整个城市规划出来，然后经过五六十
[19:26.290] 来慢慢规划慢慢过去，
[19:28.360] 我觉得是靠谱的，因为毕竟城市规划就不能说你说规划就规划，
[19:37.560] 刨花板他镀铬饰条
[19:39.660] 变成这种了，展厅内就不是这车站行运动版的话就是那种高亮那种
[19:45.630] 透亮的了。
[19:48.520] 包括这些车的所有车的镀铬饰条都有了，
[19:51.600] 对吧？
[19:52.650] 包括门框。
[19:54.320] 对吧？包括下旬。
[19:56.230] 直接镀铬饰条。
[19:57.680] 这个车比如说做保养一次多少钱，一年或1万公里保养，一次小宝1000一样，大包1700。
[20:05.410] 是您做过对开的。
[20:07.860] 1001年一年或1万。
[20:10.690] 原来那个车的时候半年5000。
[20:13.670] 5000。
[20:14.850] 5000公里，对，相当于您这边保养两次，这车才保养一次，您这么放吧。
[20:20.130] 有的车是她已经有个生意。
[20:23.420] 看您的这就是机油的一个东西不一样
[20:26.240] 了，包括一个整个车的发动机对于一个机油的损耗是不一样的。
[20:30.090] 对，这都是一米。
[20:31.500] 对，一年或1万公里。
[20:33.870] 您这车坐过6万公里的大保养换全车油液，
[20:37.380] 没换过这车。
[20:39.200] 就车
[20:41.210] 12万左右。
[20:42.300] 才3万多公里，还有6年开始您合适，一年1000一年一一千多块钱。
[20:48.920] 搞定了。
[20:50.640] 对吧？有核算。
[20:53.600] 这就是魏久霖菲菲。
[20:55.150] 这是90。
[20:56.570] 怎么感觉看起来比儿子还长一点的，离地间隙。
[21:01.090] 车身车厢尺寸是一样的，离地间隙高而已。
[21:05.300] 这个做完了多少钱不对？
[21:08.240] 40多。
[21:09.360] 三十二三左右。
[21:11.140] 一倍一倍还是5个人非常大。
[21:15.290] 他就是尽快原价也就44，
[21:18.660] 原价是443,900，这能给您做优惠6万以上。
[21:24.630] 您自己算，人家说瑞咱家8。
[21:26.730] 不就40度到四十二三了吗？
[21:32.950] 他后备箱大点，
[21:35.380] 这个能多放点东西，
[21:37.280] 其实差距不大，
[21:38.780] 他不能放倒。
[21:41.550] 能不能对这种行政级座驾没一个能放到后来做一个
[21:45.280] 后面领导来咱继续说。
[21:48.910] 看看他是都分了还好，
[21:52.230] 职业需求
[21:54.380] 我也不多。
[21:59.630] 还有一。
[22:00.460] 天一个人，好，还有吗？
[22:02.080] 搞活动。
[22:03.210] 这边搞活动吗？
[22:04.410] 您叫正票吗？订票订票叫现金优惠。
[22:09.710] 会计千8000块钱都能两个简单的三个问题内容。
[22:14.540] 标准
[22:19.120] 这块那天跟我说
[22:22.060] 5万以前一样，
[22:26.160] 28万都做不到。
[22:29.240] 吃饭补贴可以。
[22:31.420] 好。
[22:36.200] 不管多少钱让你卖老板
[22:39.740] 12,000元。
[22:41.720] 不管厕所，
[22:42.980] 谁知
[22:45.200] 或者
[22:55.730] 我也
[23:04.470] 如果拿的话20
[23:07.300] 29
[23:09.130] 在出点头，对北京市现在统一的发票限制在292,900，优惠11万
[23:16.040] 千九。
[23:17.010] 对。
[23:17.750] 这是全北京市限价。
[23:19.980] 应该是107,000，
[23:22.060] 现在限价政策107,000，
[23:24.540] 但是我能差不多能每年交90，
[23:28.550] 加上住房补贴122,000，
[23:32.450] 四十万两千九九十二万二，
[23:36.090] 28万。
[23:41.000] 402,900。
[23:44.120] 减去12万，
[23:47.480] 2809。
[23:51.830] 189还没出来。
[23:53.670] 我看完成了。
[23:55.990] 我能给您报出这个价格已经很聪明，对。
[23:59.150] 您肯定也了解过，在网上报价基本上107,000是最多的，因为在从7月1号以后，
[24:04.660] 车长了3000，
[24:06.520] 从十几万变成了
[24:10.160] 不能给你这家伙
[24:15.660] 这活动做多久？本周这两天。
[24:19.320] 就这两天。
[24:21.900] 或者一会来看，
[24:24.450] 你要这样弄的话，你就可以在聊聊，继续加快三一点。
[24:27.880] 这车后期还会涨，
[24:29.410] 还一直在涨。
[24:33.710] 因为他发现
[24:35.260] 你跟他同级别做做对比，品牌比它配置价格好多了，
[24:39.800] 他这车要是再降价，A460没人买了，
[24:44.850] 对吧？
[25:02.720] 什么其他的12
[25:03.990] 什么花嘴什么的，你要卖出去了，您知道某些正常说你是享受不了之后，卖给我们才能想到1万 24号两天。
[25:11.120] 这就看您生活中了。
[25:12.900] 打搅了。
[25:18.960] 然后购置税
[25:21.250] 28,000，
[25:23.030] 还有
[25:24.180] 保险咱新三板加在一起看您要算账置换补贴30出头三十一二万左右。
[25:31.420] 这保险就是买保险有什么要求吗？我们家对于硪我们家在边检来说最大优势，我们家对于保险我先要求
[25:39.960] 行给多少就行，
[25:42.790] 必须该女生的，对别的没什么其他要求了，对3000块钱上牌汽车出租费全北京市我都统一的，所以
[25:51.610] 上牌验车出库费，
[25:53.400] SOHU对于
[25:57.850] 这是你哪个店只要买Volvo都有的，买任何品牌都会有的，
[26:01.810] 任何品牌都有储备，只是互动。
[26:11.830] 咱们
[26:12.570] 刚才说白白色黑黑色就一辆，现车只有一辆，
[26:18.170] 那条都没得条，但这是如果说后期要想订的话很难，
[26:23.200] 反而比较少，一般都是黑。
[26:24.990] S9一般的客户买都是可以的，都是KY
[26:28.300] 白多少？
[26:32.340] 白色需要3~5个月，
[26:39.410] 二
[26:42.470] 产业
[26:44.530] 了三年
[26:46.360] 数据
[26:47.910] 便宜
[26:50.330] 吗？
[26:54.350] 牛市家吗？
[26:55.690] 再加上可以。
[26:57.660] 可以，但是在车里整套的东西就拿过来对他
[27:03.920] 的
[27:19.940] 要不然你商量
[27:35.120] 好
[27:47.000] 的。
[27:48.100] 的
[27:48.910] 烧
[27:52.000] 将
[27:56.140] 你为什么？
[27:57.430] 有没有
[27:58.500] 对着照底盘？
[28:00.090] 地板有什么过错吗？很平整，然后带护板。
[28:04.110] 有车载专用。
[28:05.560] 一样。
[28:06.290] 就在
[28:07.090] 因为买的话不需要做什么重点保护之类的，不行，
[28:11.190] 最多就贴个膜，
[28:14.870] 要送贴膜，
[28:16.340] 订车的时候才能亮。
[28:26.540] 您先去掉车型，
[28:28.840] 确定好什么是购买，大概购买周期是多久？本月？
[28:36.030] 要订的话就是这个月。
[28:38.520] 去经过几十
[28:41.410] 估计8月份
[28:42.840] 8月份开始那价格在一起肯定得在意了，药还得掌握。
[28:47.000] 一个月一定了。
[28:49.370] 是10月份价格是最优惠的。
[28:52.760] 禁酒今年不会，
[28:56.350] 应该经济不仅我们想今年不景气，换车的人太少了，
[29:00.200] 不影响真正有这么有这钱。
[29:03.390] 人买Volvo，像您肯定也不会说因为受影响公司影响特别多，
[29:08.400] 对吧？影响不大，但是我相信对于您的个人资产是不会有特别大影响的，基本上到这个级别的车来说，该买车还是会买车，
[29:16.850] 不会说因为以前而选择不去购买车型。
[29:20.010] 对，您看我这明显整天都很明显，
[29:24.880] 对吧？这都不用事实说话，你都跟他说别的事实说话。
[29:28.860] 现在要定时得太了。
[29:32.280] 套装。
[29:36.000] 听您的，反正这价格肯定会有期货。
[29:39.200] 肯定会有机会。
[29:40.640] 所以说21款就出来。
[29:42.980] 年中下旬，所以说21款的车型上
[29:45.660] 还会有起伏，而一款车它肯定是要降了，
[29:49.750] 在这之前就卖没了。
[29:51.890] 会不会？
[29:53.920] 现在中国21款会有什么有知道，2.0亿达48伏？
[29:58.760] 都是鬼，那个不行的，对2011大肆发布，现在清楚了。
[30:04.010] 在电动的
[30:05.430] 石油对也不算强，意义上来说的有点不和，她的店不能单独行使，只能作为辅助，
[30:13.230] 有一点可以价格也漂亮，个10万50万，
[30:18.060] 是吧？
[30:20.280] 这是有性价比，现在来说还是所以说您为什么说八九月份还会涨价？
[30:27.880] 原因。
[30:32.690] 而且现在
[30:33.820] BBA品牌都涉及到还款，
[30:36.460] 都会展开。
[30:38.810] 反正我也知道宝马5系
[30:41.490] 涨疯了已经。
[30:44.800] 对。
[30:45.500] Bb品牌都在往上涨价。
[30:49.710] 要买最好的声音，
[30:52.380] 流水量的问题，
[30:56.590] 这两个哪个安全性最好一样，画画他们本身安全也不一样，
[31:01.740] 但是关于赔偿怎样的
[31:05.020] 结构都一样
[31:07.060] 的，场馆都是任何
[31:10.490] 我说99
[31:15.300] 他6
[31:33.210] 老子去拿驾照去
[31:37.150] 看到餐馆、
[31:38.610] 冰川
[31:44.570] 快。
[31:47.870] 另外还有
[31:53.320] 对
[32:01.690] 有小的车载冰箱，
[32:06.800] 并抄送
[32:08.280] 不要钱。
[32:10.600] 上
[32:23.840] 周期要多久？
[32:27.980] 当天话当天我就按您新车开走。
[32:32.240] 这个值多少？
[32:34.110] 谁能看？
[32:37.850] 招聘专门评估师。
[32:40.500] 知道了，来咱到前台做一个东西，
[32:48.120] 您把您的驾照给我。
[32:51.420] 是这样对刹车S90T5，
[32:54.560] 你现在没在倒逼拿走。
[32:56.590] 前面有排队吗？
[32:58.360] 没人登记，但是应该有一个
[33:00.920] S9能试驾了。
[33:04.730] 然后您打开手机微信
[33:07.440] 扫一扫。
[33:20.130] 一个女的。
[33:26.140] 杰哥接我帮你。
[33:27.980] 9完了在是个场景，
[33:33.060] 只能是一台。
[33:34.600] 只能是一台。
[33:35.860] 顾不上。
[33:38.280] 三
[33:44.130] 二
[33:51.380] 第五，
[34:21.540] 需要您签署一个时长。
[34:24.400] 首先
[34:34.970] 的。
[34:37.680] 不用了说好了。
[34:43.210] 了。
[34:49.910] 产品
[34:52.760] 的
[34:57.370] 乖乖，
[35:06.920] 花
[35:08.120] 的。
[35:13.280] 的
[35:16.410] 月。
[35:22.910] 您稍等一下。
[35:28.630] 双色球、
[35:36.040] 那个是有人接了吗？
[35:39.290] 超哥你忙完了吗？
[35:45.890] 了
[35:56.070] 了台州的充电宝，
[35:59.620] 这俩都没电了，
[36:01.080] 连充电都充了，百%都用完了，
[36:04.790] 完了没接完之后失败了，
[36:07.940] 8月份才能超越不准。
[36:10.490] 这个客户他说什么他有防撞梁，我说看他说的就是发牌，
[36:15.500] 踏板。
[36:16.930] 因为应该解释一下，看看不行谁了，没了，现在没人接待。
[36:21.440] 快乐。
[36:25.500] 三倍。
[36:27.890] 这块形象的公司，我的股东活动不太多，
[36:33.900] 公司咱都大客户，
[36:37.750] 你们想出去了吗？
[36:39.380] 这是最新款的，但是最起码得上一款那样有吗？车上一款就是这块我
[36:48.460] 上回看那车，可是这不是特别舒服了，这个本子您确定这过了。
[36:54.360] 不是，因为他们就这么着，沃尔沃全所有车没有看到那个车，为什么这个车我也看了一样，这个东西你要是等
[37:04.550] 我就给您说，您说哪个方面还是什么样的。
[37:08.550] 我告诉你这门。
[37:10.780] 这不这门一样的。
[37:12.370] 这都是上周没的，这都是一个全包围式的一下风格。
[37:16.840] 你要是
[37:18.050] 作为一个销售，不是您说防守拦截问题，我先咱把这问题解决明白，您说就是说什么？
[37:24.820] 这个是最新的新闻，对没错。
[37:28.890] 在车上，但上20好，我们这三有现车的，看看走在上面
[37:34.560] 上。
[37:44.520] 您稍等我去拿车钥匙去。
[37:49.650] 来。
[37:50.440] 您看看这是我们2020款的车
[37:54.140] 的。
[38:03.200] 没事，你这拿着钥匙能开了吗？
[38:07.020] 后来是他那个邮件吗？
[38:10.050] 这车就没有，反正你所说的黄照良
[38:12.970] 的。
[38:14.360] 对。
[38:15.930] 不是您所以我问您说的防长是什么意思吗？我们一定后来看不是
[38:21.140] 那天那个车是下来的，因为咱做那款车是下来的，
[38:25.020] 这块我下来的时候跳宽出来一直
[38:27.900] 人家叫踏板是踏板绝对是踏板，因为他是跟一体是Volvo，踏板会把下旬给换了，您打开车门里面就一踏板都出这么宽，
[38:37.040] 那不是防着凉不一样都没，那么您这个车它踏板是把您下旬整个换了，这块额外会多出一截来，那是踏板，
[38:45.150] 那是沃尔沃的下什么那块那车干了，
[38:48.430] 咱那车什么也没有踏板，就沃尔沃这车从它生产到现在他都没多出过一劫，因为他下包是车门，这车我跟你说19款一把款他都没有多出来一截，它这个下方的车门其实有一个弊病，就是。
[39:00.090] 容易把米给甩进来这儿。
[39:02.170] 20这都加了一个，咱家这条202以后都多了一个条，不会不存在这个问题。
