[00:00.000] 谁知。
[04:25.410] 客户里边有个淘品牌，我昨天刚办签卖新的。
[04:30.650] 新办的对，新办这里边搁了给他已经了。
[04:34.360] 小羊我知道我给找了，好谢谢。
[05:00.120] 车到什么样就什么样，我还没洗还没弄。
[05:03.940] 来车之前我现在去看原汁原味的什么样，等交钱的时候再洗干净收拾干净，对，我就这个意思。
[05:10.950] 那天同事问我说要不要洗也不要收拾，我说先别收拾，让看一下。
[05:14.740] 真是。
[05:15.880] 看园区对就是非常棒，我们说
[05:20.150] 因为很多客户有讲究，我就怕您是不是
[05:27.050] 这位大方
[05:28.360] 还行多少不小犊子。
[05:31.660] 给他我我的电话他们看着
[05:36.560] A
[05:44.960] 现阶应该是我没注意。
[05:51.050] 一段衔接应该我
[05:52.540] 我再看一下单号给我。
[05:55.920] 行好了，拜拜。
[05:58.880] 行行好的拜拜。
[06:06.880] 不是这个意思。
[06:10.630] 这样飞300，
[06:12.650] 咱这个事
[06:14.110] 不带L的，L是国产的飞机增值的，对。
[06:18.070] 不要钱。
[06:21.210] 怎么去
[06:24.210] 后边做什么事放平了呢？
[06:32.950] 那样，但是他只能是往前放平，往后来的话还得练手动的。
[06:40.630] 有方便。
[06:42.140] 说一个发展卖还明白的话，
[06:48.880] 就这样在给宝宝回来，对。
[07:13.800] 季付现结。
[07:15.700] 谢谢对好好拜拜。
[07:23.600] 元哥一样行吗？
[07:28.650] 有生产日期。
[07:31.870] 2020年2月
[07:34.900] 里头消毒怎么消，就把你们都收拾了。
[07:37.930] 这是我给弄了就得消毒。
[07:42.400] 完了。
[07:43.400] 你是什么程序，现在要先看一下车队要是没见过车没问题。
[07:50.950] 机器盖子。
[07:52.190] 膝盖跟您的奥迪一样。
[07:54.780] 哥这边
[07:59.920] 在。
[08:05.180] 对就在这。
[08:07.510] 有什么？
[08:19.650] 你说要
[08:20.870] 喝的时候
[08:23.890] 不让他们
[08:26.650] 要这从来不动。
[08:28.100] 对，别动。
[08:30.390] 您这次启完还得跑还得装车。
[08:33.100] 很多他们去花乡二手车市场，
[08:35.610] 你卖车
[08:36.890] 这弄得非常干净。
[08:45.040] 行。
[08:45.840] 好的请回去，行行，等一会儿咱们一会我再进屋。
[08:49.590] 最后都弄完了。
[08:51.340] 在教培训怎么用，可以对走的交钱可以，完了之后我们回收。
[08:57.870] 后遗症。
[09:16.590] 我问一下，
[09:18.760] 现在开盘全是灰没洗，
[09:21.390] 大家看一下行吗？
[09:28.200] 下面几个孩子。
[09:31.730] 也是八龟88年。
[09:34.840] 大半年。
[09:36.660] 589。
[09:37.630] 他比你大110，
[09:39.840] 行不行？等我一会儿。
[10:47.910] 介绍。
[10:50.580] 卸了杜老板。
[10:53.360] 这事儿。
[10:57.200] 场
[11:00.890] 坏
[11:02.960] 坏
[11:04.040] 场。
[11:05.760] 数据
[11:07.000] 场
[11:09.910] 走。
[11:25.080] 的。
[11:28.740] 上一章。
[11:33.160] 现在很内涵的高级干部，特别
[11:36.420] 听老百姓我们
[11:40.470] 不是还行，一看。
[11:42.940] 快点。
[11:43.840] 听说头脑清楚，做这工作还就是不能
[11:48.150] 而且走
[11:49.560] 但你还要
[11:51.640] 记住经营还是韩红，
[11:54.600] 不能谦让，而由人一看太聪明了，太激烈了，也不想
[12:00.480] 我他妈当
[12:03.110] 结合的李老板等人这么多年了，
[12:06.460] 但是用什么样的人肯定希望用能力和强不同。
[12:09.960] 谁知
[12:12.390] 后
[12:14.370] 因为咱们的基础
[12:17.040] 他有了第一
[12:19.000] 不是说看你
[12:21.420] 这种东西
[12:25.610] 便应该谈话聪明。
[12:27.010] 可能
[12:27.690] 工作一些细节什么的都时间长了。
[12:30.530] 那就是养生怎么样，眼力刚才不是前面就是说
[12:34.280] 反正我们在全院抽吗在这。
[12:36.660] 对，有的孩子也做不了。
[12:39.240] 这个行业流，还有以后他有些公司在中国，
[12:42.440] 海尔的奔驰、宝沃尔、沃奥迪，
[12:45.680] 他曾经在园区，亦庄还有园区，
[12:48.190] 这都是你们公司的B超，咱不是进口，
[12:51.150] 一共是百度D咱去的哈利在华尔街，奥迪他那特方便，
[12:55.980] 这闺女家人再出门，咱们政府不接受。
[12:59.540] 去年我们买好奇是先看根植进去之后你态度不好，
[13:04.370] 你闺女说的
[13:05.770] 走人，你怎么知道我朝你没才300万？
[13:09.840] 我差点吓块钱，他觉得不像。
[13:13.200] 所以近期小孩大拇指
[13:15.560] 谁还照顾你，没有男生。
[13:18.390] 后来是选着急了你。
[13:20.210] 喜好
[13:21.940] 还是不充分的。
[13:24.700] 原来就是奥迪
[13:27.230] 笑话。
[13:32.840] 不过其实
[13:33.980] 你像
[13:34.950] 奥迪、宝马温存这车都不来，因为以前那时候
[13:40.270] 官方用车奥迪也可以说显得比较
[13:43.620] 比较低调一点。
[13:45.390] 后来跟着太打眼了，对。
[13:48.180] 现在
[13:50.330] 实际上产生的
[13:52.390] 现在整个北京奔驰
[13:54.440] 类似
[13:57.890] 对大家庭了，他们30来个买了，
[14:02.210] 以前30万买个房子，买个卖场什么的，现在30买了奔驰，
[14:06.730] 实际上我们他就上次出事，
[14:09.570] 奔驰的事儿，
[14:10.760] 那么可能的
[14:12.060] 孩子就回去，你说
[14:14.870] 不用讲工作讲。
[14:16.960] 消费者问题漏油都漏了，这楼边的事儿对那是绝对交不了。
[14:22.990] 是吧？怎么说？
[14:25.960] 当时漏油又有这个事来讲，你这不是还有个什么分析服务费这东西。
[14:32.000] 好，这是来讲是一个
[14:33.990] 一个是个事儿。
[14:35.120] 但是汽车来讲
[14:36.920] 算是个小事，
[14:38.120] 不在什么，
[14:39.360] 但是分析不会在
[14:40.930] 大科技工程钱，
[14:42.490] 你去买保时捷、买奥迪、买Volvo什么都会有，
[14:47.770] 都会有空的。
[14:49.580] 奔驰以前收4个点，
[14:52.410] 他说在20万收8000块钱，
[14:54.910] 8000块钱谁知
[14:59.020] 我们在买票参与，就我们在之前
[15:04.640] 当时刚买完没多久，3月份3月15号的
[15:08.960] 消费者晚会，我虽然污染会就有的车，
[15:13.210] 后面中间那个凉了，
[15:16.120] 还结构我这车开到现在房子行，
[15:19.440] 咱就可以了，
[15:20.600] 连遇上这也没办法，
[15:23.160] 也是这种东西。
[15:24.610] 你们这次寄了一批，
[15:27.120] 不直接这一个不能进了一个有订单有的
[15:30.120] 订单，所以
[15:32.020] 本身这样飞更好，不会这个车买几个
[15:37.320] 我觉得一看还不能灰的，还是比黑的好看。
[15:40.620] 黑的太冷。
[15:41.880] 真的。
[15:42.580] 对，而且灰的显得高级。
[15:45.550] 丫头说你知道吗？睡着他们
[15:49.030] 买
[15:50.430] 跑腿送安徽。
[15:51.990] 不错，他一开始过来也好，
[15:54.550] 还没洗完了，洗完了更不得了吗？对。
[15:57.970] 你说这车叫我买这车，
[16:00.840] 他自己举行了，
[16:02.690] 自己写，比如说平时都在外面写，您随时来，我让我回来给你。
[16:08.060] 我给他免费了。
[16:10.300] 您随时来我这，你路过的时候中午我管饭，你说过去来说说下一步就请你吃饭，
[16:16.970] 请你吃饭，洗个车往上面飞，不要你来我这晚饭还车。
[16:21.590] 刚好
[16:22.940] 我一会来一点，这是好事知道，因为他们自己几个车，我说现在这个时间点
[16:30.610] 连自己
[16:31.440] 我现在你说
[16:33.080] 弄不好沙子给划了话表盖。
[16:36.640] 他特别爱干净，他把走道两侧张贴临时。
[16:40.110] 里面你说那帮小伙子
[16:41.810] 你把车划了，
[16:43.570] 你自己学习单上面用，
[17:35.590] 坐着扒着队。
[17:36.840] 我就洗个手去
[17:39.220] 走走。
[17:47.200] 说。
[17:49.920] 的
[17:52.040] 吗？
[18:05.130] 吗
[18:15.890] 数据、
[18:19.710] 的
[18:28.020] 的
[18:30.920] 的
[18:35.490] 拿
[18:45.240] 的
[18:48.010] 大。
[18:49.220] 你还真不错，这是嘿嘿太冷，我先给二手车他们叫过来跟你说那个指标怎么对。
[18:58.830] 过户嗜好有郑先生，二我这评估师幸福如书，对您我指标
[19:06.110] 想导一下什么情况，就说简单的说。
[19:10.900] 我爱人有一个指标，然后了。
[19:15.110] 我另一个车挂着我的牌子，
[19:18.780] 我要把牌子进A记得京牌子搁在我心里车上，然后这个指标就给我原来旧车要办，但我原来那个车是现在闺女上班的是吧？
[19:32.540] 他开展能不能。
[19:34.000] 通过你们来办，完了时间更快，拿着交点经费做，等于说是这样。
[19:41.330] 您现在的指标县城空白指标之后对吧？
[19:44.680] 把警车给明白。
[19:46.770] 称名字是您的名字是吧？
[19:50.280] 您开着车，
[19:52.150] 拿您的身份证，
[19:53.710] 然后您属于买方，
[19:55.420] 您的设计的身份证指标去石景山
[19:59.420] 汽车国际城注册交易市场，到开发票过户那边都有代办的，特别方便。
[20:05.250] 在那等着那边我要用留我原来车牌号保留车牌号留车牌号是这种情况，你那车过户出去以后，
[20:13.210] 先系统里边直接给你保留6个月，
[20:15.780] 6个月之内你买新车上牌，您跟窗口人说我要用原来车牌号直接给你，当时就过去
[20:23.430] 车里边了，明白那个是什么时候登记的？
[20:25.970] 去年17年的9月份。
[20:28.980] 一年上不再保留好行吗？现在没问题，只要是在您名下过几年以上就可以。
[20:34.130] 那就是我再重复一遍，你的话是不对？
[20:37.960] 因为我现在要设计，别让丫头那边银行在上班，开车别倒车，
[20:43.060] 正弄完了。
[20:44.810] 他挂着从套牌的成了
[20:48.080] 他挂着我，她还要重新选个号给他，那个车就说等等是不是这样？
[20:55.490] 和我的闺女他要。
[20:57.070] 二号。
[20:57.950] 开着我原来那个车是我车牌号，
[21:01.290] 完了到石景山，你说石景山什么地儿，你给他补偿钱了，不是你的人进来着急不着急你不减，然后我去到那带着什么带着我的身份证原件，我
[21:12.850] 偷盗那些手续，车车辆的所有手续，完了带着对，然后您看您的身份证他也得去开我们一块去，你们这样之间体验的是买卖关系。
[21:22.970] 对，在那段完了以后，他就把我原来车牌给摘下来，
[21:27.900] 所以他solo我
[21:29.180] 收走了，不是不能，我就怕让别人给占了，那是我的，人家跟你不是说了你都没明白，当时人家把我车牌给他们弄走了，他输入那个号码是京A级的号码，不管多好的好，他怎么弄在宁夏的号他怎么去露他弄不懂。
[21:47.110] 对，您只是过户。
[21:48.900] 把车卖给阿姨了，从证人正常流程来说，你俩之间属于买卖关系，你这车卖给阿姨了，然后您那车指标就碰下来对吧？
[21:57.160] 这孩子是随人走的，不是随车走的。
[22:00.150] 明白了吗？您这副号牌您用与不用在于取决于您。
[22:04.360] 新车上牌是我用原号，人家直接按流程给娃做留，这号我不要了，我放弃了我就开心好。
[22:10.400] 你来明白就决定的不是跟谁关系帮助法官，比如说当时都交手续办完了，他把经A纪车牌给摘下来，
[22:19.750] 必须带了警察要夺回，警察说警察收回，然后给我一个什么东西呢？
[22:24.210] 给我一个这个表，您最后您随后得到这张纸，
[22:28.360] 那就是指标拿到这个指标去新的厂房。
[22:33.240] 底下会体现您的指标，这边也这边吗？
[22:36.470] 它属于配最心动的，他不要会员中心的，后来未来国际目标可以看看，
[22:43.250] 这块当时就是在那过户的期间，然后当时就会给他出一个当时顾不了，当时出不了这张，只需要三天时间三天左右更新出来，但是他原号还在他证意见的名下，没错，别人拿不走了这个。
[22:56.460] 咱客户的
[22:58.340] 叫更新指标，更新指标您的车型原车牌号号码上面要标注明白了吗？主要是姓名身份号这些都是有注册的。
[23:08.910] 人家上牌的时候是以这个为准，你有这张指标的人才，北京城完款才给你，允许你在上海车上牌，像我这样在石景山就办我原来旧车。
[23:19.110] 办过户。
[23:20.220] 办过户，
[23:21.530] 然后换车牌，
[23:23.360] 比如说
[23:25.180] 给这张纸是当时给不了我救不了您，办完过户以后等一周，因为它整个交通系统包括销售办公室都要把审核完以后，
[23:34.920] 您才能拿到倍，才能去申请最新的购车指标。
[23:37.870] 是这样的，然后您车过户的过户当天您需要
[23:43.400] 选一选衣服选的号牌。
[23:45.540] 对，我要自选号，是不是我本人得去？
[23:49.040] 在机器上当时要是这样，
[23:51.970] 在现场是50选1，那个号码他已经规定好了，能从内部订好了50号和最后一个
[23:58.190] 你要想自编号情况下，你得去北京1213官方交通网站上面去
[24:04.130] 注册申请，谁知
[24:07.500] 是这样，
[24:08.600] 选完号以后保留三个工作日，
[24:10.560] 三个工作日之内您必须办理了过户手续。
[24:13.530] 如果三个功能您这号您没用，您就会被系统锁定，三年之内不能在系统上面378。
[24:20.190] 编号不开好，我就像你说50个，我干脆到现场去，当时比如我编了123，
[24:26.290] 我到1234，比如说实现有时候号他已经固定了，能做完了是人家的在我们里边的模块已经技术完了，如果自己鞭子要上12123这个问题，
[24:38.020] 自编的话，你像阿姨不是属于过户的，他不是打了吗？自便的话需要什么东西？
[24:44.440] 就像是股权信息的攻击队里边有一指标，其实我那天看了一下，12123是二手车，属于二手车的，
[24:52.650] 他好像没开通自选，还是我们操作对。
[24:56.760] 自选编号没开通，
[24:58.950] 二手车的就变不了了，只能去讲话了，我就确认一下，
[25:07.220] 我们等于去掉石景山一趟，
[25:09.750] 还得去一次，另外一个店就不用去了，就系统。
[25:14.560] 过户就完事了，下一步就找小郭了，把这个表拿给你，您刚才说的我们去年石景山手续都办完了，
[25:23.550] 等一周还是广州等一周完了再去哪整个
[25:28.870] 去小客车办公室的网站上申请的指标，我知道就等完一周拿到这个以后，
[25:35.310] 他是记住了，我们自己打对走访跟谁打架了，打下来以后我们再去哪，
[25:41.530] 把他们就来，我们安排现在上班了，
[25:44.560] 是吧？就不用我们再跑了，对上次就基本上完事了。
[25:48.360] 明白了我知道。
[25:49.750] 我第一步是把您这两个过后不久目的性换个就这么凉，谢谢，然后这个表示我在自己电脑网上去进入我申请的
[25:59.740] 注册申请我已经有了，就进去之后就打印就了，我还用去置换在置换里边打印对吗？
[26:08.120] 咱更新不好意思了，我们去办这个的时候有什么费用吗？
[26:17.530] 以现场为准，以他们对他们这边为准，不要你们不用跟着过去，我们不用去
[26:23.430] 那边坐在做，专门在专业代办的找他们就可以了，我给你办自己办也行，那也行，对都可以，我明白了不方便。
[26:32.010] 好好先生我再问一下，如果今天我那车我现在就去
[26:37.850] 给他置换可以吗？我还没过户。
[26:41.440] 过户去不，我现在这个车和车之间没喝过，我今儿回去就给他置换这个表行吗？不了没问题，宁夏来车没离开容易不太深了，离开以后才能通车了，申请客户是吧？进行过户。
[26:57.140] 谢谢清楚了，好。
[26:59.950] 他手机带着吗？
[27:02.870] 没带。
[27:04.900] 我跟他说让他找闹，他不干没事不着急，那不着急你别着急，不是你也别着急一星期。
[27:11.770] 不是已经知道是不着急，一星期出指标就出你工商户之后出你那个指标，只是
[27:19.890] 对于咱来讲，新车上面还早一天晚一天的。
[27:23.500] 不着急，对，但是新车您随时可以开走，办临牌先开着。
[27:28.620] 对这么回事，然后我的问题是
[27:32.310] 你刚才不是说在二手车网站，在12123网站电话的时候，对。
[27:37.340] 说不行是吗？对，就没有打开打不开这项业务，我现在不知道是我当时对他不让在
[27:44.370] 他说二手车没有自行把这个登录一下，我看你这可以吧。
[27:50.980] 我还得写一写回去，不过我们跟你不用跟B怎么会
[27:56.550] 的。
[27:57.660] 如果他自选他成功了，
[28:00.060] 还用他去吗？我们俩去过户行吗？
[28:03.240] 到时候我就说他车牌号，他说就不用说了，他就戴上了就给带出来了，他已经从电脑里形成了，明白了，系统就记住了，明白。
[28:13.990] 了。
[28:18.070] 这个时候
[28:20.990] 手机壁纸马上
[28:22.920] 的。
[28:28.430] 阿姨您的我看。
[28:30.100] 你看我的
[28:32.840] 可以到咱们这个车子的话。
[28:36.890] 你要的话稍微多一点，基本RNN。
[28:41.450] 在家网络一下。
[28:42.920] 密码还，我想想密码，我前面的
[28:47.900] 今天主要做的就是。
[28:51.200] 谁知
[28:54.870] 行行你好了。
[29:06.150] 三
[29:13.730] 一
[29:28.870] 摇号的密码是多少？是7895123倍。
[29:34.550] 这名字完了，对，今天所有的钥匙7895对吗？
[29:40.830] 78957854。
[29:45.360] 7895123对好了知道了。
[29:48.240] 好。
[29:51.680] 7895. 
[29:54.620] 7895123。
[29:57.570] 小小
[29:59.440] 应该是小写。
[30:06.490] 695。
[30:10.160] 对吗？
[30:12.260] 是这样的。
[30:21.200] 一。
[30:33.320] 五。
[30:35.560] 100。
[30:41.110] 78951237895123岁。
[31:10.490] 用户名或密码，用户名写的是身份证吗？个信号。
[31:15.370] 原来是
[31:16.930] 原来只是登录个人，不是这个界面，
[31:21.400] 选择个人和公司什么的，没说过用户名。
[31:27.150] 也就咱们你说的这是121312123的113号，
[31:34.330] 谁知
[31:36.710] 算了我回去是吧？我想毕业的12123我就想不起来，我刚才说的是北京摇号，谁知这里
[31:44.150] 之前注册过吗？我注册过不用了，我回去弄不要这个问题。
[31:51.650] 忘记密码，
[32:12.610] 手机号。
[32:13.900] 13801380129129808308。
[32:23.570] 二
[32:32.240] 4877612，
[32:35.430] 18701487761。
[32:39.260] 你把重新设计一个。
[32:41.050] 另外刚刚才
[32:43.490] 不要那个了，那就等会别弄那么多密码就跟他一样，完了。
[32:48.560] 刚才哪样189？
[32:52.080] 789551234128，对789123。
[32:58.540] 47895123这1234。
[33:01.610] 对行7891234我之前注册的就不行了是吧？
[33:07.490] 看见了OK了，
[33:12.280] 好的好，二。
[33:13.980] 23. 
[33:15.040] 我就以后登录输这密码了。
[33:17.920] 我现在记一下，别到时回去忘。
[33:20.070] 我就说他叫也就是焦虑一方面。
[33:23.720] 但是不是这个吗？对。
[33:40.090] 利润大。
[33:41.950] 一半。
[33:45.240] 现在已经登陆了。
[33:48.720] 阿姨这不是名字吗？
[33:50.550] 名字？
[33:51.600] 登录了，然后选机动车。
[33:54.430] 二手车过户。
[33:58.100] 这里边
[33:59.590] 在线办理，
[34:02.260] 到时候要信息，
[34:15.560] 这里边
[34:18.370] 需要你车的手续资料，一个是登记证书编号，就是
[34:24.330] 剧本上的编号，车辆识别代号就是车的，大家好聚好。
[34:29.690] 车架号，对不用变，小型汽车这部分。
[34:33.210] 姚化鹏树上住着，然后输入正原车主的。
[34:37.500] 称就是输入的。
[34:39.190] 包括现场叔叔，
[34:41.970] 所有人员联盟在我这登陆，对，然后这不是你的吗？对，然后点提交就行了。
[34:47.680] 提交完之后咱看着
[34:52.640] 一个模拟选号。
[34:54.000] 这是模拟一下，对一样骂出这个吗？
[35:22.390] 1234. 
[35:23.680] 6 7 8 9 10 11 12. 
[35:26.510] 17号，123456784 21号，
[35:31.480] 1234第六，
[35:34.800] 1234567。
[35:37.250] 21. 
[35:41.640] 提交。
[35:43.970] 那时7月份12345678009557。
[35:51.230] 你提交。
[35:52.770] 其实如果正常的话，这是书上您的正确信息，这不是模拟演示一下，对。
[36:00.110] 然后点给你选号，是不是写着
[36:02.390] 8:00~23:00都可以实行，
[36:06.320] 总共4边可以4.5标号，
[36:11.180] 然后随机选的话有5次。
[36:14.170] 我这里边是一次是。
[36:16.450] 10个，那也是50个。
[36:18.660] 点模拟选号。
[36:23.420] 验证码
[36:24.290] 实际上。
[36:26.290] 提交之后它给验证。
[36:32.440] 这都得等我过户完了才可以办理。
[36:35.420] 不之前。
[36:36.580] 这就可以办，过户之前信号要闺女回去弄。
[36:41.740] 不管他让他登陆，我刚才你给我注册了，让他进去模拟信号，我待会就模拟，只是咱模拟研究得真正把真正的信息输进去。
[36:50.910] 还没来。
[36:54.150] 没有这样。
[36:55.560] 这几件事没事，这是模拟咋不知道的，对明白确认。
[37:01.270] 行了，我知道这个了，有自编有随机。
[37:05.440] 随机的话你可以选择含4还是不含4？
[37:08.400] 选不含4的话直接随机一次
[37:11.160] 出来这些号牌，当时模拟的这边全险明明可以选一个，
[37:15.920] 他不是里边10个有1个你比较相中的，选1个就到这儿了，然后都是有倒计时的。
[37:22.930] 这个是这批倒计时，这个是底线。
[37:26.130] 可以的。
[37:27.250] 然后写完之后下一步下一个吗？
[37:31.510] 换一批。
[37:32.530] 再来10个礼拜再流行一次，要选上就对了，也就对了，再选1个，你听我说完10个点再选1个比较小。
[37:39.820] 好的，然后再换一批里面有5批机会不是再换一批，
[37:44.660] 然后再换一批。
[37:45.960] 再换一批这几个月都下来之后。
[37:49.700] 这里边选一个你形成好的
[37:52.320] 直接点确认就行了，确认之后
[37:56.580] 就是一个最终的号码，好了明白，对就您。
[38:00.700] 过了阿姨身上之后，真正号牌就是
[38:03.940] 然后拿挑照片去打印出来也行，然后去过户过户去。
[38:08.900] 过完户之后得应该是三个工作日，或者说。
[38:13.310] 到时候具体的有效期这会写着有效期以这个为准。
[38:17.170] 然后他就过户行。
[38:19.200] 那就让丫到现在上现在就让他选吗？
[38:22.490] 还是还有材料吗？
[38:24.590] 他没有对日本的东西我拍给他，让他今天写，刚才今天就
[38:30.710] 今天明天有没有时间，就是说他选号
[38:35.290] 什么几天才
[38:37.560] 才能拿到，又打印过一个，
[38:40.890] 还是不打印在交往不打印了，我们就过户去直接拿这个。
[38:44.860] 完了人家一打开就能看见了，对，一登陆就说我想你只要这提交成功那个号了，人工系统就有了，我建议您
[38:52.970] 贴照片留着擦去的时候，我说。
[38:55.510] 不是站牌吗？
[38:56.810] 或者阿姨名下之后，人家会问您号牌怎么选，我就选好了。
[39:00.500] 拿给他看一下，明白。
[39:02.560] 然后其他的今天周三。
[39:07.010] 着不着急，对。
[39:11.500] 这个后悔了，明白了。
[39:15.110] 记住了就明白了。
[39:17.360] 二手车12123里面的二手车过户，然后它的选号自动信号
[39:25.410] 过户的时候。
[39:26.960] 他给我拍是一周以后叫
[39:30.580] 跟医生。
[39:32.090] 它是的时候，
[39:35.000] 过完户之后大概过个三四天三五天的，咱就一查就行了，去小车里边网站上去查，
[39:42.110] 我重新给它置换，点击置换去做，我给你说吧，我知道这是不是。
[39:47.040] 好。
[39:49.150] 12123。
[39:50.920] 也不对什么不是这个东西就刚才说的
[39:56.340] 这个是什么了？
[40:00.840] 登录这个系统，对我回去知道这我知道关你不用给我这我给他弄过，我给我自己都弄的，您这个是配置，这是你这个是中的指标不一样，置换我也过弄过是吗？我净给单位弄。
[40:14.420] 好OK行，这一直就给单位。
[40:16.920] 给您置换，对，那就等于说了好好我知道了，谢谢。
[40:21.440] 我国。
[40:23.030] 握完后我就等着置换上去看。
[40:25.840] 对，然后就填信息。
[40:28.530] 然后输入
[40:29.740] 输入身份证号输入员号排。
[40:31.790] 对我们。
[40:33.980] 打印出来之后也不用打印，你只要下载。
[40:37.050] 把下载到桌面上，PDA不用拍照发给我行了就能把发给我，我来说给你交税什么给您去办点手续，对知道了。
[40:46.130] 这我们是指的我那个是吧？对。
[40:49.610] 因为我要跟这个车走没错。
[40:53.000] 好不？聊完不了，
[40:54.760] 就发现没事。
[40:56.620] 咱们第一次来的时候您不是说跑不了，我说你把心放肚子里边，
[41:00.960] 跑不了。
[41:02.990] 都是您的，别人也抢不着。
[41:05.980] 跑不了。
[41:21.240] 公司制化好几次，我一直放心，
[41:26.960] 我给你弄谁知
[41:32.560] 了。
[41:38.310] 了
[41:40.580] 了
[41:48.720] 三
[41:53.160] 月。
[42:06.400] 的。
[42:12.580] 要是问我过户的时间，
[42:16.300] 地址，
[42:17.880] 我给你发微信。
[42:19.300] 发
[42:20.060] 发给他。
[42:29.000] 咱们这两天就可以，他周六周日休息吗？
[42:32.480] 应该是休息。
[42:34.990] 早上上班几点钟也知道。
[42:37.520] 大概3:00。
[42:39.760] 9点左右8:30 9:00应该是。
[42:42.230] 就给他打电话。
[42:43.600] 原来我在南四环。
[42:45.860] 他有电话吗？花乡我有问一下
[42:49.680] 的。
[42:53.040] 的。
[42:53.940] 现在花香不是高危吗？那边之前也不敢去不敢。
[42:57.160] 去那边。
[43:07.730] 对，到石景山怎么
[43:09.160] 不去花香。
[43:10.800] 到
[43:14.410] 的。
[43:38.510] 价格来讲，现在政策是3万。
[43:42.380] 当然感觉到是32,000。
[43:44.170] 什么样价格？当时他订的不是320的吗？
[43:47.870] 睡车架优惠降了多少？涨了2000块钱，但是我按照您320走。
[43:55.220] 202,000块钱，
[44:08.350] 其他的不变，税保险税以实际发生金额为准。
[44:14.130] 320应该是没错的，然后购置税保险的话到时候给你列个浅显的单子，
[44:20.430] 哪个要哪个不要，你在衰减都是不强制他，比如说我自己的车，我上车损上了三者。
[44:27.800] 新车的话可能多个划痕或者玻璃什么的。
[44:30.880] 对您自主选择不强制。
[45:27.190] 10. 
[45:31.270] 了。
[45:32.880] 给我。
[45:35.930] 35我
[45:37.970] 愿你快乐。
[45:39.920] 还做分期吗？
[45:41.350] 耐不住不做了，不做，谢谢。
[45:44.200] 真不错。
[45:45.800] 然后。
[45:47.760] 干嘛你说不做不要没事，我的意思是现在利率合适，没事你不做。
[45:52.900] 不是之前算的是两年24期这个3.99，现在贷50%，咱带来是50%，
[46:01.290] 40% 41%，现在50%的话是2.91，这就第一个点。
[46:07.350] 你不做没事不强制没什么要求。
[46:14.500] 一次交流OK，好的。
[46:19.660] 其他的话。
[46:22.340] 的
[46:27.760] 句。
[46:31.950] 保险公司电吗？
[46:34.410] 保险公司平安人保它现在电视没了，是给一个耳机，
[46:39.940] 够比尔的耳机。
[46:42.230] 耳机。
[46:43.990] 人家别的优惠别都是一样的。
[46:47.910] 手机一点用。
[46:51.630] 不用我再修改，谢谢再见逝去。
[46:54.620] 我再去给你写的电视剧。
[46:56.750] 小米的。
[46:59.260] 多少？55。
