[00:04.870] 就是说
[05:49.930] 仨就是毛湖上风浪之后，他那33不出去，水温高报警还是这样。
[05:55.350] 现在就是2A2B吗？别的活动没有吗？2A2B是总共多少钱？
[06:01.370] 你先办这个先办对，然后一会来看一下了解一下。
[06:09.810] 3742，
[06:11.470] 两两3700多户7保养3742，这3730里边包含我刚才给你说了送了两次清楚相送，一次清洗积炭，
[06:20.760] 这加起来是2620三送的是吧？2620，
[06:27.270] 这4次保养两一两地是3700 37423740，如果你打个比方说你现在就需要I
[06:35.570] 两2B了不该做A保了吗？保养也做了，那就可以用一次可以用次。
[06:41.250] 除了送的两次水枪，一次低碳清积炭之外，还有什么别的送的吗？剩下的就是礼品是十分大的还是选东西，不过礼品也比较厉害。
[06:51.670] 就这种孩子当然这种美的有点听懂，锅还有个杯子，还有风扇就4选1，
[07:00.730] 当然这里边肯定是这个不行，这个是最贵的，等于是页面紧凑和锅巴应该是个，因为叫什么？后面色块书包
[07:09.880] 里面还有康佳，
[07:12.340] 就没了，其他的没有，这些事这些事加起来，
[07:16.630] 优惠的加东西加产值顶4次保养的。
[07:20.840] B保养一般是多少钱？币网就是机油三滤是吧？两只有两季的空气。
[07:29.000] 对应该是1000
[07:31.630] 1000出头两次。
[07:34.390] 平均一次也就平均下来AB是40瓦吗？平均下来的一次1000，
[07:40.870] 平均下来一次1000块钱。
[07:43.350] 3742。
[07:45.360] 也就费用上面还会有优惠。
[07:48.110] 费用什么费用就是你就不算乱七八糟的这些东西，光光说
[07:54.240] 就钱上面来说这40万，那钱上面来说它有优惠优惠300 300多块钱。
[08:00.240] 对。
[08:01.450] 行这样，我记得我第一年买的A+B有挺贵的，好像比旧宫合适是吧？肯定的，你上头年买的A+B
[08:13.820] 抛砖引玉，
[08:15.340] 保险那个应该是2900多，
[08:20.180] 反正不到3000也差不多了，大概是一人一比。
[08:23.410] 对方一辩我觉得挺贵的，就不如比较大。
[08:29.470] 这个是什么？这个是
[08:31.800] 和代步车险都是同时踩，
[08:35.250] 真正运行期间同时推出的，
[08:37.120] 但是很快就会没了，因为本身这个东西是赔钱的，东西送错宿舍他也不挣钱。
[08:43.410] 但是这两个东西有个好处是什么呢？
[08:45.710] 卖给您了，
[08:46.940] 您下次保养你不想回来，
[08:49.240] 就不想回家4S店做保养来，这是一个营销手段。
[08:52.600] 你不想回来也得回来，你这还免费保险，要不然你的钱就没了，明白，其实是为了笼络客户可以理解吗？
[08:59.700] 但是你得拿出来东西才行，你没有东西你在笼络也没用，就这意思。
[09:05.310] 对，因为这段时间不行，这段时间车现在疫情期间好像都是确实影响挺大的，我们公司也是
[09:15.900] 的
[09:19.980] 等一会跟女士说了，下次
[09:22.040] 都半小时让他把天窗请他们都出去了，如果您刚才说我现在检测和做保养同时进行还要多长时间？现在是11:00 11:30。
[09:35.390] 一个中午餐你也在这做便餐了，到下午的
[09:38.970] 总册出版
[09:41.500] 11:30。
[09:44.080] 3:30左右3点左右是吗？他是这样，只要进去就快了，
[09:49.480] 只要进去就快乐，因为这主要是因为中午4块2就是架子没有没什么假了，这就下载下来才能跟上。
[09:56.710] 这个预约不会约车架子去，会用我们的前台预约接待工位，明白。
[10:02.300] 明白吗？
[10:03.330] 第二，看看
[10:05.700] 的1点多，还有的速度
[10:12.150] 对你本身技术发展的项目可能都不多，
[10:14.820] 而且过年检测的时候还想还能放在一起，定损员不没在什么零售周末移动。
[10:23.650] 你这人太多了，他们就不干活了是吧？
[10:26.940] 我拿到这么大怎么走都没做，而且还瘦吗这样。
[10:32.000] 有点多都有自己的研究点。
[10:36.280] 这个行业做
[10:37.700] 前茅跟大便有伤，后门的叶子完了上两次了，微波一次，一到现场这次检测是多少？
[10:45.130] 36项是吗？不止的挺好看的，很多的所有的车上面的
[10:49.810] 什么小的品牌，这些地方要达到
[10:54.240] 电气设备元件等各方面都要检查这个。
[10:57.880] 当然有些东西检查
[11:01.600] 代表您检查当前状态，而不是
[11:04.200] 后期状态，明白，你比如说今天检查完了，可能过了两天，打比方说有个问题出现了，说你没给我检查倒不是这意思，当你谈到了了解，
[11:17.280] 也就是说现在就这一个活动，两人两地保养方面的两一两地送各种东西，然后4次注定你水箱现在
[11:29.300] 清洗过吗？
[11:31.220] 没清洗过，买车到现在查的，因为我这是第三次都在您这做的，对，因为有的时候会有免费
[11:38.450] 免费清洗水箱的或干嘛的活动啥的，
[11:42.170] 你要不知道就给你反应也会给你清掉。
[11:44.850] 我一查就知道有没有您说如果是在您这做的贸易，比如说因为我这车是在河北的，如果我是在保定或者做保养的话，他能查到我车的信息吗？
[11:57.600] 但是你要是在4S店，你要是不是三件事，干啥啥没听过谁交没有听过的话，我估计预估
[12:06.280] 应该前面已经放到
[12:07.610] 土地上。
[12:08.750] 应该是那样，因为根据经验一般
[12:13.120] 一年两年一年半左右到两年，
[12:16.500] 基本上就到了。
[12:17.870] 厉害。
[12:27.480] 的
[12:30.740] 办一个两2B的8块，
[12:35.690] 办一个2A2B的，能办一个2A2B我就给你用了，
[12:42.190] 还是说你过两天过来用，反正他不耽误时间。
[12:45.840] 谁知监视吗？
[12:48.340] 你只要进去了就一起坐行，我这回就一块做了，我把家里的事安排一下，我给你打。
[12:55.890] 这次是一把了，再看看。
[12:58.340] 这是A宝不是两次A两个B吗？对这次就给你把A宝用，
[13:06.540] 把A版用的还剩两幅地，两水箱就不用说了，我直接给你清了就
[13:11.560] 就给你打到系统里面直接让他听了，因为啥？
[13:14.070] 肯定脏了，你就有两次免费的，你就直接用一次就行了，你三年了必须得用了。
[13:19.060] 想到我再回来再给你再说一遍，反正也得听，基本上
[13:23.410] 就得听了。
[13:24.820] 完了到时候让师傅看一下，对，当然你要是一点都不张，我是不是他也不会听的？
[13:31.980] 他会告诉我不用倾诉
[13:33.930] 了。
[13:46.860] 场
[13:48.440] 的。
[13:58.990] 妈妈
[14:07.110] 内
[14:13.170] 场
[14:22.260] 的。
[14:24.500] 直接就在这写。
[14:28.640] 数据
[14:29.830] 句
[14:30.800] 点。
[14:35.320] 的
[14:38.040] 的
[14:57.310] 下午
[14:59.080] 三
[15:00.630] 明天上午。
[15:17.410] 的
[15:38.640] 打印出来了吗？
[15:40.100] 打印。
[15:43.470] 打印
[15:48.360] 场。
[15:52.400] 场。
[15:56.730] 数据、
[16:07.850] 五
[16:09.160] 句。
[16:10.730] 数据
[16:32.960] 简单
[16:34.620] 的
[16:40.560] 数据
[16:42.300] 的
[16:43.780] 电话
[16:45.410] 为
[17:02.150] 我保养了。
[17:07.680] 如果他需要哪些要件材料，然后本来能赶回去的节目赶不回去了，
[17:13.380] 我说还得麻烦今天帮我打一下。
[17:16.790] 32。
[17:19.130] 我让他去拿去，完了你站一块让他去找别的借口。
[17:23.300] 帮我打一下行吗？900
[17:27.770] 0这两天看。
[17:32.160] 不是两两两两份打出来打点了。
[17:37.870] 来。
[17:42.990] 行行好了，我过几分钟我就让他上你楼下去给他扔下来就行。
[17:50.450] 好太感谢了，好勒好了就这样，好拜拜。
[17:56.330] 对三三天没有打不通。
