[00:00.000] 按T253
[04:34.800] 分支金融的贴息贴的比较少，一般这车我们就做银行的，
[04:38.490] 银行的年息3.6~3.7，
[04:41.120] 而且做建行的话批得也快，然后提前还款不收违约金。
[04:46.120] 你可以对方可以付出多少呢？
[04:48.470] 看他批多少了，它要批100的话，您就估计可能87 80左右，
[04:54.000] 在80万的话首付1060左右，
[04:58.140] 每个月每月80万的话，30 100万的话是还3万多一点，要是80万的话也就一个月
[05:08.720] 也就2万多。
[05:10.600] 可以提交房款。
[05:12.710] 年。
[05:14.160] 最长可以做5年，而且可以提前还款。
[05:17.400] 没事对。
[05:19.590] 您做的事是你做完了就等你了，给您找个川听听声，听完了你给他一名片。
[05:26.230] 给了行行。
[05:29.730] 需要在
[05:31.300] 对这车一台现车，注意台现车马上再到一台黑的，
[05:36.970] 开着车到黑得很快就
[05:40.390] 几天
[05:42.440] 已经在途了，
[05:44.450] 我都不知道哪个港，如果是
[05:47.330] 如果要是广州港是8天到店，如果要是上海港是
[05:53.000] 是下周末6天，如果要是天津港的可能2~3天就到了了。
[06:01.520] 一点优惠给伤到了天窗，底下周洋是黑色的吗？我给您是黑的。
[06:07.360] 我给您打着车您听听。
[06:09.820] 你给他桌上我看看。
[06:13.890] 你好。
[06:17.670] 父母
[06:20.390] 遮上我看看。
[06:23.730] 您听听这事儿。
[06:26.250] 这都是你才是合适。
[06:30.800] 所以这调整运动模式你再听听，
[06:33.830] 不会游。
[06:36.650] 不是费油是动力足。
[06:50.320] 大天窗多多。
[06:52.530] 为什么删了什么？
[06:56.230] 的？
[07:00.210] 好的，买房了。
[07:01.720] 那个也适合。
[07:03.950] 好车。
[07:10.870] OK。
[07:12.270] 好好谢谢行，那这样
[07:14.970] 我们出去开会研究一下，待会研究一下。
[07:19.110] 别的你就不需要了是吧？
[07:20.950] 今天现在给您
[07:23.560] 下面记下来看看还记得2.0T什么的，G20G年底
[07:28.310] 大概多少时间？
[07:31.750] 你G优惠现在全办完了250了。
[07:37.520] 它既不是160，你把记后备箱打给我看一下。
[07:42.120] 后备箱。
[07:45.320] 门口没有。
[07:50.730] 门口有咱从这边走吧。
[07:52.780] 咱从这边走。
[07:58.850] 咱从这边走，这边我拿钥匙能看到门口。
[08:03.040] 这个部门交给看看，你看我只要放到书包好好那没问题。
[08:10.080] 我看着可以放两三个
[08:12.560] 号。
[08:19.700] 做
[09:22.250] 评价。
[09:23.280] 定价多少钱？
[09:25.360] 现在是新款的1,458,800。
[09:28.260] 400还是6450。
[09:36.110] 我去拿钥匙。
[09:45.320] 庐山、庐山、
[09:49.030] 庐山庐山、
[09:52.830] 庐山、庐山，
[09:56.640] 他们
[09:58.220] 点
[10:02.800] 庐山gl153两人出来了吗？
[10:09.850] 我说GRE53的那两个人出来了，出来我把车锁上了，
[10:14.220] 没了。
[10:20.920] 庐山一会那两人出来了，你喊一下杨雪，让杨雪帮我左一下。
[10:25.480] 雪莹G2153，
[10:29.080] 说这嗨
[10:31.320] OK
[10:36.240] 走
[10:38.970] 了大飞机很好，
[10:47.660] 采用
[11:05.490] 这个是
[11:06.350] 标准版。
[11:08.560] 刚才看看要标准gl您看一下。
[11:15.430] 好看的差不多。
[11:17.210] 没大改。
[11:18.760] 这囚犯写这个是谁？
[11:27.040] 咱们慢点。
[11:34.970] 这底下这脚踏板能踩，
[11:42.800] 这比原来舒服多了。
[12:15.110] 在街上
[12:17.410] 这时候
[12:24.250] 做出来的
[12:26.590] 后排。
[12:28.310] 我给你拿着。
[12:32.840] 踩的踏板上排队，
[12:48.320] 其实就你的车。
[12:50.100] 途锐后边坐着。
[12:53.310] 后面
[12:57.240] 这是他刚才。
[12:59.240] 不是，这是普通版的。
[13:02.040] 明白吧？
[13:02.980] GRE跟一样是吧？不一样，这是md版的普通版的角度一系列的
[13:10.320] 打开了我感觉。
[13:13.510] 带着看不了了。
[13:14.920] 了。
[13:17.040] 一样，他空间什么不一样？
[13:19.590] 多少钱？
[13:23.390] 87万多。
[13:26.380] 20。
[13:29.370] 就说按公司价格卖比说大家会
[13:32.370] 贵38。
[13:33.620] 就有优惠吗？有优惠这个贵，他咱们到这个不也
[13:39.160] 是吧？没有必要非得
[13:41.220] 什么其实不是真的太不太多了。
[13:45.880] 后面大妈
[13:50.110] 老太太买了一个Q7的
[13:52.810] 淀粉二，
[13:55.070] 他还用他这个事3.07420T10 6320一家48伏电机，
[14:02.750] 马上了合适。
[14:05.760] 不是也很好。
[14:07.660] 这12号
[14:09.570] 说白了我觉得这件
[14:12.480] 这不实惠。
[14:15.630] 我跟你说后备箱对还没有宽的，你知道吗？
[14:20.820] 好用。
[14:22.680] 因为他前桌
[14:24.540] 然后才能
[14:26.250] 是吧？他们出来可惜谁知
[14:31.240] 差不多
[14:36.570] 都不管。
[14:37.770] 大概晚上这也
[14:40.460] 跟你一样。
[14:46.010] 这边我吃饭
[14:47.280] 都还是赚钱。
[14:48.340] 你这种传统
[15:16.320] 这也在
[15:17.510] 了，是带包围了吗？
[15:19.320] 对，他不带套不着，这是第。
[15:25.180] 要那么高配置咱们没用，你知道吗？
[15:28.050] 是吧？
[15:29.990] 你还了得明白。
[15:32.360] 这个数字智慧我知道，我们豪华没有电话留着，到时候他帮我留的是您电话，我一会给您
[15:43.970] 发个短信，然后明天我还给您打回访电话，
[15:47.530] 所以就打的这个电话，然后我们优秀没问题，应该的，这是gl一
[15:53.550] 这是GRE450，然后她还有GRE350350就是2.0T发动机4缸了，这是6缸的，
[16:01.940] 这4张全部用差点事儿。
[16:05.210] 您老开车的开车多这么多年了，肯定四方的开长途也没问题，蛰皮着没问题。
[16:12.890] 您看看这几款车都没问题，P5好吧？
[16:16.820] 这是我国产的是美国来的。
[16:19.420] 这辆美国我们跟您说就这辆车
[16:22.660] 是我们那一行期间特意通运来的那几台车之一，就是传过不来，
[16:29.710] 然后做那么一个连线，这辆是做给你一
[16:33.540] 其他的都是坐船来的，后来就放开
[16:37.530] 楼上灰的，
[16:39.160] 黑的白的。
[16:40.560] 对。
[16:43.810] 这会徽的，所以楼上的灰得像这事儿讲话这。
[16:50.230] 但我觉得男的开心有点浅，
[16:53.010] 男的开那灰的。
[16:54.430] 还有
[16:55.980] 黑的灰的。
[16:57.230] 行，您是开车来的。
[16:59.930] 我带您是不是现在还去其他的品牌店看？
[17:04.230] 什么奥迪。
[17:06.800] 您要去看您就
[17:08.680] 就看见您要是不看了，我带您走访把手出门让您停车费。
[17:13.220] 你给你找个往那走了，看完了来您车在哪车上？
[17:18.930] 这个门要不你少一个，我把车开过来了，
[17:22.740] 你少了我就开车。
[17:26.600] 看到这6800680全买了400万，
[17:31.850] 它好在哪？
[17:34.380] 12。
[17:35.510] 然后12行是第一第二个魔术车身，
[17:38.930] 跟鸡脑袋时候，这车他会通过前面的设备来扫描路面边播的情况下，它会通过它的气动减震来化解，
[17:48.400] 做得更舒适配置，他有底盘升降的。
[17:52.200] 第二页有
[17:53.640] 要是一激动了，就豪华配置的以上的都有。
[17:57.100] 放假也很长，这跟您不是也有一迈巴赫吗？
[18:00.710] 什么时候买的？您是400，一个为400 400，跟那长度没什么太大细节的差别吗？长度一样都是考虑。
[18:08.040] 这是7座的这记IOS，7点不要骑走了，
[18:12.970] 7座的验车都奚落是每2年一样对7座，
[18:17.840] 对不对？
[18:19.560] 更明确，你看到那个东西
[18:21.890] 我小马的
[18:23.740] 包括代金券，
[18:25.110] 7座没用是大。
[18:26.920] 大灯的话是奔驰原车的高层领导装在背包，
[18:55.360] 你就扫这个就行。
[18:57.550] 好。
[18:58.710] 你拿着。
[19:02.770] 直接说车牌号的出去，15分钟之内出去就行了。
[19:07.680] 大概什么时候买随时
[19:10.860] 就回去上来了，今天你要是早点我不用差不多我们不要了，这1000万
[19:18.570] 我们都忙着，我就没婷婷刚接到客户把这卡系统刚做完，
[19:23.860] 又喊我说我伤了坐火去，他说你先接这客户等半天了，我说赶紧好我们先吃饭。
[19:29.690] 其实我们这也有饭，就是食堂我们都订好了就定好了，行我送您咱走一会从这不是出口吗？然后您开车直接从那出去就行了。
[19:41.030] 了。
[19:48.730] 刘帅你是呢？
[19:53.530] 觉得一看肯定你给他弄的叫吧。
[19:56.360] 肯定就给孩子对你那嘴，
[20:00.470] 哪天你就死你那嘴，
[20:03.680] 就是什么树胶这一溜。
[20:06.750] 不是塑胶，你看那个地方吗？
[20:08.770] 这小教你开车间你差不多，开车天看不出来，刚擦完出来。
[20:14.580] 然后
[20:15.870] 华侨玻璃环境。
[20:22.200] 对。
[20:41.270] 没车。
[20:45.830] 其实湖北了，而且反而那些也是您去买房间里面住第一代的保时捷，我那大哥
[20:52.650] 第一代的排解买一包邪门的让他媳妇管一大口子，
[20:56.200] 上班去公司上班在那听或者说等等8个月没有，
[21:00.150] 然后给我打电话说你给找找别人看看谁认识人，我就给我这搞配件人说你去进口大众店买一个
[21:06.540] 大众途锐的门子一模一样，
[21:08.980] 买去买完了就拍在桌上就只了。
[21:15.180] 好了，您从这直接走就行了，让我们考虑看看。
[21:17.980] 行好勒，来勒布勒曼总您拜拜。
[21:38.690] 好。
[21:51.120] 娇，今天上午一个是
[22:12.810] 怎么样说完了135。
[22:17.310] 兄弟怎么样？
[22:20.720] 不怎么样了？
[22:21.720] 过来。
[22:23.400] 三
[22:56.800] 客户有一个迈巴赫的400，
[22:59.870] 看的说的是看
[23:03.670] 第
[23:14.720] 记
[23:19.590] 又看了gl1
[23:46.070] 开着大众途锐来的一大家子人
[23:51.390] 保持联系，
[23:53.210] 看着挺准，
[24:54.230] 不要这样。
