[00:00.000] 这样。
[09:37.900] 到时候抽续费的话一年多少钱？
[09:40.560] 运费的他就跟手机套餐似的。
[09:42.620] 一年如果说你包年时间长的话，30年可能就有两三百块钱。
[09:46.680] 两三百对不对？这个肯定不会。
[09:50.020] 然后其他的话，
[09:51.890] 导航这一方面主要还是轮毂最佳热门股这东西。
[09:56.480] 他们觉得这个都是动感的是吧？对。
[10:00.750] 这个吗？动感。
[10:02.400] 要和环节都看到咱俩的。
[10:06.490] 这样
[10:07.490] 那样的生产管片吗？
[10:11.760] 那个是老款的比较传统一些，
[10:13.960] 这是最新款的车才有的，
[10:16.390] 对不对？
[10:18.090] 这个车下来的话裸车价多少我给你放。
[10:34.840] 等会宁。
[10:35.760] 达不到的。
[11:49.490] 在这上班
[11:50.720] 经常碰见老乡，
[12:45.720] 考虑分析情况是
[12:48.420] 行好的。
[12:50.040] 在过来之前把咱奔驰的服务空间给你说一下，客户为一体相待，等一下这是指导价格为122,800，
[12:56.970] 是指导价格实际上是38万多，对没错，4万是给你优惠。
[13:03.150] 在这里剪4万38万多，对。
[13:05.760] 拖车费338。
[13:07.660] 长装是装怎么弄，包括微色贴膜，
[13:11.960] 隐藏的形态记录仪、行车记录仪、小脚垫互不相见？
[13:16.190] 不强制这个意思就是可以用可以不用是吧？对。
[13:21.750] 2500啥北京牌上牌。
[13:24.270] 11,000保险。
[13:27.200] 精品提供2000，对。
[13:29.640] 经济是什么？这个月5800给2000块钱，
[13:32.950] 哪一个2800 15,800。
[13:37.560] 便宜多少？2000块钱。
[13:39.630] 这不还有11,000吗？对没错，11,000是全险的价格，基本上既然不写，如果上保险的话，对你给他便宜2000块钱，签约9000块钱保险。
[13:50.690] 倒计时443,900，下面是多少？
[13:53.600] 443,900。
[13:55.610] 44个3分。
[13:58.380] 分期。
[13:59.880] 这700万你算一下。
[14:02.390] 分渠道服务公约为村医理相待，你的意思我这样的话我只能在北京弄个牌，才只能这样买了，对没错。
[14:10.200] 对。
[14:12.580] 但你北京优盘的话应该分期的话可能性也不太大。
[14:17.310] 对，这边本来不愿意分期，对。
[14:20.790] 让你算算。
[14:26.770] 这个车卖得快吗？1266。
[14:28.740] 非常快，下了C
[14:31.240] 加赛维的非常快，它非常快，就全面得非常好。
[14:34.710] 是吗？14区地区477.072.0T还有大一点的吗？没有了。
[14:40.700] 只有2.07对。
[14:42.400] 一个也可以吗？
[14:45.100] 同时SUV
[14:48.640] 不太合适，
[14:50.310] 这样的分析也没必要没必要再算，但是到底熟练对简单列一下不用。
[14:58.490] 三
[15:05.370] 的
[15:08.450] 的
[15:14.900] 数据、
[15:19.930] 首付25万，月息5。
[15:23.780] 1年5期，
[15:27.240] 两年总利息5000块钱，利息15万，对每个月多少？
[15:31.660] 8180。
[15:33.710] 两年24个月，对咱们县城的是全国这些报告模板，年前都是公示了这个板块不断看一下。
[15:40.460] 然后故宫约刚才说了，绝不马教授停车费全部是哪一次增长都有的。
[15:49.140] 现在卖得最快的，如果
[15:51.950] 他到市区了，我出去稍微溜达溜达也可以。
[15:58.340] 这个车的话现在有合适的资源价格，北京还有可以还行。
[16:02.290] 对，如果没有什么其他疑问或者顾虑可以考虑定下来，因为价格真的很优惠的多的，7座的话是哪个市呢？
[16:08.320] 7座的交易。
[16:10.640] 7这个价格的话，问有没有要求是大概在
[16:14.640] 78
[16:16.670] 90给，
[16:18.250] 对吧？
[16:19.150] 200。
[16:20.530] 我说哪个行了？Gre350。
[16:23.120] 350对这样一着2C260没有汽车全部都投
[16:27.410] 在高一个档次。
[16:30.680] 260再高一个档次是哪个？
[16:32.950] 300 300多少钱？
[16:35.270] 46万吨，那台车2万块钱。
[16:39.590] 要大一点，其它一样。
[16:41.780] 使得一样几万2万2万块钱6车吗？
[16:47.490] 有没有改的？
[16:48.720] 车门看图片。
[16:57.320] 那个车前脸跟这儿露营是一样的，
[17:00.300] 05是一样的，但是多了一个侧踏板，
[17:03.910] 然后内饰的话
[17:05.710] 都是木纹的，还多了一个座椅的电动记忆。
[17:11.200] 电动推车，
[17:12.770] 然后还多了
[17:19.040] 4个车门的无钥匙进入。
[17:21.220] 没钥匙。
[17:22.860] 然后户籍上做了一个盲区监测，
[17:25.990] 别的话应该是还多了一个
[17:29.990] 山区的空调，
[17:40.520] 说
[17:41.790] 没问题。
[17:45.250] 做一个37的空调。
[17:47.290] 他不李宁这里没空调，有空调出风口，但查不了温度。
[17:52.050] 后排下不了，这个可以调温度。
[17:55.010] 这个就相当于远古的前两周一样了。
[17:59.520] 这一家的有吗？有。
[18:01.260] 那车200块钱我合适了。
[18:04.930] 2万多点2万，我这200多拿出了当时。
[18:08.940] 3万也合适，对没错。
[18:11.730] 我们360好，260卖了快，23买卖的快一样。
[18:15.520] 一样。
[18:16.760] 这两个配置56 59个100万销量，那里总共50，
[18:21.160] 销量占比一半，
[18:23.970] 300处分要比它大一点一样，10块一样不一样？
[18:31.840] 44。
[18:33.020] 再加347。
[18:37.220] 乘法怎么看？比什么控7了差5，
[18:42.640] 比他高一个级别。
[18:44.850] 你
[18:47.630] 那1米9
[18:49.320] 价格也不愿意说，
[18:51.430] 是吧？什么样？
[18:53.610] 经济实惠，对。
[18:55.500] 油耗多少？
[18:57.480] 9.5左右不到10多元给我看电话，还轻轻轻微的店管吗？什么还有纯汽油了。
[19:04.390] 天气冷，
[19:05.610] 我看你选择电子的那种。
[19:07.950] 电没有电话吗？那个叫什么电话？
[19:11.420] 后来电工电子。
[19:15.190] 全球的。
[19:18.060] 做。
[19:19.020] 要300的话再加个3。
[19:20.800] 3万就多了，一个空调多，
[19:23.710] 就差看过了一个无要进入做了一个盲点监测。
[19:29.590] 无钥匙进入是怎么用的？
[19:32.000] 要是我直接开比赛里边给我拿出来，
[19:34.680] 不用按G靠什么时候自己感应了就给你
[19:43.480] 谁知
[19:48.300] 的。
[19:52.880] 这样的话让我的话我觉得选择300。
[19:56.390] 对。
[19:59.630] 了
[20:03.780] 机场
[20:10.490] 的
[20:12.490] 的
[20:13.310] 了。
[20:21.460] 济南你认识有人吗？
[20:26.150] 有，我同事圆哥们进来，但是
[20:29.160] 我没怎么去过，因为平时我们都是
[20:32.620] 原来青岛上学，
[20:34.630] 和他们在济南应该是一个设计院公司
[20:38.590] 上班。
[20:44.210] 这边的话我得整个北京牌，没错。
[21:03.060] 刚才全下来的是吧？对。
[21:06.800] 4 45 50万下来也可以。
[21:11.850] 坐车驾车可以安排商家开业，是你们这个玩的话跟差5了口气了，越野性能差多少？
[21:18.040] 这都是尝试的SUV。
[21:19.980] 后期不也是对。
[21:22.350] 差不也是对。
[21:24.300] 您越野的话那就严重。
[21:26.650] 他们建议吗？操纵好的话就买
[21:30.400] 买差5。
[21:32.360] 抄送的话。
[21:34.120] 奥迪是便宜LED声控的还是买吃？
[21:38.390] 没准
[21:39.680] 看得感觉不了。
[21:41.070] 肯定不一样，那个不一样。
[21:43.230] 下面交给介绍，从大体说一下，简单说一下。
[21:48.730] 你忙吗？没事。
[22:13.720] 你像这个事的话，
[22:15.320] 大灯都是LED的，然后雷达前面有个后面还得有互动活动，泊车自动刹车的功能。
[22:23.760] 比如叉车这种停车自动泊车也有这功能吗？
[22:28.440] 自动驾驶有吗？
[22:30.010] 没有，这车没有。
[22:32.550] 但是有主动刹车，
[22:36.330] 加拿大就不用车，
[22:38.780] 他
[22:39.960] 如果跟车技术集成之后，然后谁知
[22:43.900] 这个功能吗？
[22:44.890] 谁知
[22:46.400] 同意什么？
[22:49.610] 谁知
[22:52.030] 大量他说22对不对？
[22:56.720] 这都练了之后用
[22:59.180] 跟他们
[23:03.640] 马上就跟白展堂之后知道，然后
[23:07.220] 浓茶只要月冰山之后，我通过一个表明，这个是12。
[23:12.240] 对，电池只能停下来。
[23:16.370] 一样的。
[23:18.240] 然后的超标一块解决大桥，
[23:23.690] 并且这个功能不光前进的时候，到处都可以对昨天一回到头让我过去了就开始
[23:31.730] 然后
[23:34.320] 包括上海都是
[23:37.430] 看看看这个车
[23:43.810] 开发这个人还是没有对，然后这个秘密案件救援谁知
[23:54.830] 自然
[23:58.010] 委托书的不用了。
[24:00.160] 860就没有。
[24:02.190] 哪个车的效率部分指标，
[24:05.520] 数据。
[24:09.000] 数据
[24:16.200] 的
[24:16.920] 远。
[24:21.830] 像
[24:24.880] 远
[24:37.750] 对。
[24:42.270] 别的东西能
[24:47.350] 就出个头。
[24:51.560] 数据
[24:54.580] 到
[24:56.750] 3350，
[25:02.970] 谁知
[25:08.640] 450。
[25:12.110] 100。
[25:15.520] 这是武断的。
[25:22.690] 其他的话可以看着他一都能看到，
[25:26.170] 都能看到，可能300他在角看的水分不低了，点一样。
[25:31.810] 一样，
[25:33.120] 他不加了一个拓本，看的就是三公分，
[25:36.910] 然后我们送，但是他不是准备烧的吗？
[25:40.620] 底盘的编剧整体的地盘还是从外边
[25:43.460] 乡下过来的。
[25:45.080] 办事是办事。
[25:47.550] 你那个好看好好。
[25:51.710] 其实
[25:53.320] 从实用性而言，并没有的就是像小孩或老人多了个台阶，
[25:59.290] 拐弯的话不是利索了，没事了不
[26:02.700] 了。
[26:03.560] 第
[26:09.310] 我感觉这个车给我放，要不然买差动不动七八十是吧？
[26:14.380] 没必要的。
[26:15.500] 对，私家车可以开车子车上下车。
[26:19.640] 有吗？的驾照？
[26:27.320] 坏。
[26:29.270] 二
[26:35.000] 那边也要。
[26:37.500] 好在这了，要看下车你做登记。
[26:42.360] 用
[26:51.200] 麻了
[26:53.160] 后备空姐。
[27:02.720] 困死了我操，谁知到了。
[27:09.840] 超机。
[27:14.710] LF 2. 
[28:06.730] 你干嘛去了？初三。
[28:08.800] 我梦让我抢一张耳机，
[28:11.600] 这小张我
[28:13.000] 的。
[28:37.750] 张飞。
[28:38.800] 300。
[28:42.920] 基础卖车的结果他让我过去材料越谈越窝火，
[28:46.520] 这5倍白的就这么一台，我操越聊越火还不够双手，现在我你买就买回来，
[28:52.650] 买了我这才
[28:54.750] 就没有了，他要卖的优惠优惠3万多块，谁知
[28:59.640] 有过你一会就给你干了。
[29:04.820] 别过来没有用。
[29:07.350] 被告没有了，你等会我拿一下的，谢谢。
[29:17.610] 上
[29:47.680] 没症状。
[29:54.670] 我想
[30:01.070] 你怎么样？
[30:06.600] 动力
[30:08.960] 中午
[30:14.870] 韩春小韩春晓。
[30:19.530] 了解一下。
[30:34.790] 准备
[30:39.060] 找到了吗？
[30:42.140] 找到4小本了吗？
[30:45.170] 你回来你喊我。
[30:49.900] 好的。
[30:51.810] 好的。
[31:06.010] 三
[31:07.240] 三
[31:08.610] 三
[31:15.970] 的。
[31:17.200] 1360。
[31:18.720] 接电话。
[31:21.120] 谁知
[31:29.270] 的
[31:35.770] 25号
[31:50.860] 或者张伟，
[31:52.610] 我们全国排第一。
[31:54.940] 常委您好，是郭先生吗？
[31:57.270] 百得利奔驰销售，您是在咱们这看车吗？
[32:01.030] 在这站着。
[32:08.530] 都开。
[32:11.780] 张伟李伟更多，
[32:20.210] 红眼病回去四五六千，
[32:23.360] 我也没有。
[32:26.400] 怎么着又买了。
[32:29.020] 他怎么
[32:30.250] 说能说的差距那么大？
[32:33.640] 不是不要群什么样的人吗？
[32:36.860] 挺关心的，我给他爸爸你现在哥已经买了吗？
[32:42.700] 不过钱买的
[32:44.320] 1万多。
[32:45.870] 他说不准他说过。
[32:47.750] 别听。
[32:52.540] 我也看过不？
[32:55.350] 不是我不管你爱谈，
[32:57.560] 你来前台咱播东西。
[33:03.000] 差了，对就太多了，老师哪个腿？
[33:06.650] 高风险的。
[33:12.800] 您然后放箱子路线的话，咱们先然后现在
[33:17.650] 从这出发到金水桥，
[33:23.990] 这个房子销售赚钱特别助理别在那边吗？水了到后来好的没问题，
[33:31.500] 行不行？买完了我干嘛，我拍了这么长时间了，等跑到
[33:46.390] 稍等我把车开过来。
[34:51.130] 豪华版是的200豪华。
[34:55.100] 到一条好安全带系好。
[35:01.190] 现在开门口
[35:02.710] 开越8年了，
[35:05.270] 给换了拿这块戈壁滩我在泡。
[35:16.130] 你做几年的事？
[35:17.650] 作者支付做了5件了，
[35:21.800] 支付主要是
[35:24.850] 一个商家收款，一个个人信用卡提额，
[35:28.360] 现在市场用的pos机都不行了，银行都不给积分了，搞了，完了我们生活通现在这工作了，
[35:35.670] 这不今年要打这种号码，
[35:42.460] 你用的应该也有信用卡有或者基友。
[35:45.550] 手机没有，信用卡我们这边用，这都说明额度直接听了，因为我们是做的是标准的一个
[35:53.170] 给银行费率正常给您的银行你的信用卡不管哪个银行的信用卡，你的使用的手续费75%发给保证，
[36:03.160] 完了要不然市场有0.5的机会
[36:07.050] 在开会。
[36:25.600] 不关注。
[36:31.300] 你们是一种什么形式？
[36:34.290] 直销团队都可以，直营团队都可以，
[36:37.500] 踝等这台车挂档就行了，我小白就行了，我下班了还得开车给他进。
[36:43.010] 对就可以了，第一搜了下车都是店主的，不用管它自动的，别自动的速度就跑了，从家走，
[36:53.280] 突然看到直走就行。
[36:54.360] 走上去。
[36:56.630] 可他顿一下是我送的不好。
[36:59.020] 应该是。
[37:01.240] 正常这个车不够就
[37:03.260] 了。
[37:09.370] 支付的
[37:10.250] 还是比较
[37:11.660] 我们有分类，就是说达标，
[37:14.810] 我给你装一台机器，你只要你用我就有前兆，
[37:21.950] 他给我怎么抽的？
[37:30.730] 平时也是济南北京凭证号，对。
[37:34.200] 漂亮吗？
[37:35.140] 频繁。
[37:36.480] 频繁。
[37:37.630] 经常来回跑，你看现在已经刚放开我就跑了，不要我了。
[37:45.970] 开采6个小时，
[37:47.580] 我高铁最高也方便我们车整体
[37:51.150] 这不开着车，有时候谈客户的时候，毕竟现在
[37:54.700] 不能买房子，买房子你看这是
[37:57.310] 买5套房子，那房子卖不出去，今年
[38:00.690] 我想通过今年的钱不买房子，
[38:03.630] 碰疫情了，我这封着把
[38:06.340] 整过来了，不过1000万我还没房。
[38:10.040] 去年房子户口都涨，
[38:12.060] 今年主要是想用钱了便不下来，
[38:15.380] 把你下一个25万能变出来，
[38:17.980] 变成了贴水。
[38:22.290] 平时需求朝这边都还是外边多。
[38:24.560] 其实我想去外面，我只要有事的话，没一不忙我就开始出去旅游。
[38:30.060] 旅游。
[38:33.720] 前年是
[38:35.970] 内蒙，
[38:37.300] 新疆去年是东北，
[38:40.080] 今年这么想，
[38:42.160] 丽江
[38:43.380] 私下这样
[38:46.050] 家长
[38:47.530] 就带家人。
[38:49.040] 大概明天他就在济南。
[38:50.880] 都在
[39:07.310] 如果我跟着他进了也会自动咱们要
[39:09.760] 请教的，这里我再跟他借一点，
[39:13.800] 不会自动停车，
[39:15.270] 他不会杀听，
[39:16.600] 他只是根据这种
[39:18.190] 没有家庭的
[39:19.590] 肯定会刷屏的，这样我想只是追着就追，上面也并不是绝对的，因为他是
[39:25.030] 探测机不卡车有没有才知道什么的。
[39:32.750] 你感觉我接触
[39:34.560] 你感觉是我要买的话买哪个，可是？
[39:37.890] 你要说从级别来讲，如果偏城市开的话，
[39:42.020] 我天你买一的轿车，
[39:43.840] 我不想交什么文件，你就看这个问题。
[39:46.900] 还有别的推荐吗？
[39:49.200] 因为他推荐的话，因为他选择并不是太多，
[39:53.710] 在网上人家说差5还是控制器，
[39:56.720] 价格定高了就对淡季时我不想整了快100对。
[40:02.380] 差100的话，那块100的话我就不如一步到位，整个产期了，对。
[40:06.640] 是吧？
[40:08.850] 所以说我想在50晃悠混两年，
[40:11.360] 三年以后买个
[40:12.830] 产期，
[40:14.560] 保时捷也看了没啥异议，买了小买卖小买卖。
[40:18.330] 是吧？对。
[40:21.150] 大多的是品牌，
[40:23.210] 一看也知道买的保时捷最便宜的喜欢买各种流的，
[40:32.110] 他在哪调头回来这个东西。
[40:34.550] 要跑这么远吗？没事，因为现在已经在你还没有。
[40:43.310] 你做这一个月能收入多少钱？
[40:45.850] 1万多2万。
[40:47.160] 要达到2万。
[40:49.160] 佩服你们。
[40:54.590] 你要是想没事的话做副业做这个可以。
[40:59.320] 不了解。
[41:00.470] 这边每个人都在用。
[41:02.780] 老师过来没事。
[41:04.590] 没事。
[41:06.450] 到时候再过两天打电话过来称处理违章等等。
[41:15.350] 这是260高配是吧？
[41:17.160] 30的话尺寸都一样，
[41:20.000] 所以加热这个功能比较有对。
[41:24.000] 对，我必须得要这个
[41:35.930] 这个比550强多了。
[41:38.550] 第二，
[41:39.670] 叫成凤凰和5530的
[41:43.150] 合适。
[41:46.140] 毕竟是个教师。
[41:48.880] 奔驰的舒适型豪华感还是非常棒。
[41:52.470] 到
[41:53.580] 七八分吃，我真的感觉不到豪华，一年见奔驰也进了大厅里面，
[41:59.090] 感觉就是不一样。
[42:01.750] 都三年了。
[42:03.220] 妙133毕业，
[42:05.240] 这掉头了最近。
[42:07.120] 你在北京我祝小家伙
[42:09.880] 桥下水电。
[42:12.520] 对党校那边。
[42:14.390] 靠着也
[42:20.660] 像你现在开的什么车？
[42:23.180] 我还有丰田说你考虑过
[42:27.750] 这种车属于是
[42:29.360] 中级车。
[42:30.920] 你考虑过这个吗？
[42:32.710] 我段时间没有考虑过。
[42:35.120] 你北京买房吗？没有。
[42:38.160] 要快。
[42:40.570] 再见是吧？
[42:46.870] 海洋。
[42:49.280] 看到没有？
[43:07.880] 别人差5差230是吧？
[43:12.080] 数据
[43:13.430] 6，
[43:14.600] 体育场
[43:18.000] 感觉
[43:20.160] 的
[43:25.770] 在北京还你认识了多少钱？
[43:28.190] 觉得正常应该1万13,000。
[43:31.560] 120 14,000这样。
[43:33.400] 一年是吧？这一年。
[43:36.120] 只要出一个整个北京这样来回跑也对，接着最后面
[43:41.850] 是吧？肯定这样。
[43:45.470] 卖个衣服付多少，一年一年-20。
[43:48.080] 他们那种衣服可以了。
[43:50.410] 你这是后面的。
[43:52.680] 正常。
[44:07.070] 周四就是属于全食的是吧？
[44:10.160] 像这些工作都干，
[44:12.560] 这都是死的。
[44:15.280] 这个也有了相对
[44:17.610] 所有的
[44:19.270] 谁知
[44:24.710] 我们看到了得慢慢做。
[44:43.280] 刷的号300好，如果都一样的话，
[44:46.080] 给人够用吗？重点我感觉300万其实这个问题。
[44:49.440] 300的话还有意义吗？
[44:53.970] 一
[44:56.040] 了。
[44:57.650] 不大。
[45:18.470] 但是灵气的东西都这样，我觉得
[45:20.540] 还是奔驰这么好的稍微好一点。
[45:22.710] 他这个事儿晚上漆黑低估，这个不对，这水机过滤的
[45:28.560] 高功率的还有好多300。
[45:30.500] 300。
[45:31.810] 恭敬更有钱，
[45:35.980] 换挡非常平顺，就大概贡献
[45:39.710] 这不是260吗？
[45:42.030] 你们这300跟99
[45:44.170] 320也知道，
[45:46.000] 黄岛更顺一点一样。
[45:50.900] 所以就跟我进现在不是你家电话，
[45:53.160] 更有劲。
[45:58.690] 350350多少钱？差350 80分。
[46:03.590] 89。
[46:45.230] 可能又腾上来讲，
[46:46.470] 都
[46:50.240] 你们两。
[46:50.920] 花钱。
[47:03.130] 而这个现状吗？
[47:04.950] 商业发电
[47:08.000] 还是不很相信的。
[47:26.480] 可以。
[47:27.650] 有没有。
[47:29.120] 没事你知道吗？这样可以了，对一起还想。
[47:31.870] 行那傻叉还是不用管它电子？
[47:34.850] 一开车门一起火，现在想一会儿你看
[47:38.850] 会自动锁车去。
[47:40.260] 自动缩了，对自己这样了就。
[47:42.830] 疼。
[47:44.020] 坏。
[47:56.880] 差不多。
[47:59.860] 棕色。
[48:01.320] 这个是一个黑红宝石黑。
[48:04.020] 红包的是。
[48:10.570] 这个好还是最好穿黑的。
[48:13.430] 有白色吗？这个有。
[48:19.960] 白色卖。
[48:20.780] 的快乐卖180。
[48:24.220] 我认为白色耐脏1.38。
[48:29.540] 我的意思是的。
[48:32.320] 可是要
[48:36.290] 他这种带头毛泽东
[48:38.620] 毛区的。
[48:40.030] 300都买再往前喝。
[48:42.230] 而黄色是不过就吃醋，对还得了。
[48:46.480] 水加热
[49:03.480] 不是心里好好干，还是非常强的。
[49:05.630] 都办事5个人或者吃饭的话，
[49:09.700] 拿走，
[49:11.330] 然后这保持的中介，
[49:21.850] 其他的幼儿园
[49:23.720] 咱们都小板。
[49:24.760] 现在本月的话能送点早点。
[49:27.370] 两次保养是吧？
[49:28.860] 但是没有。
[49:31.770] 这车
[49:32.970] 应该老板的事。
[49:34.860] 这车多少？
[49:37.010] 还有400块钱。
[49:54.900] 行，谢谢拜拜。
[49:55.780] 我要回去了。
[49:57.370] 开车过来吗？打车过来了。
[50:00.910] 来讲。
[50:37.360] 下午
[50:38.670] 要
[50:59.200] 还有下车钥匙吗？
[51:01.430] 哪有？
[51:02.520] 行？
[51:03.240] 发生。
[51:04.380] 反正好完成好你过来着坐哪多？
[51:07.060] 了。
[51:11.960] 要是没有现在
[51:22.200] 我他妈睡着了都。
[51:25.470] 你就搁这儿了。
[51:28.760] 现在没有。
[51:30.360] 谁什么车钥匙一二的。
[51:38.030] 那和尚没有放这边，
[51:40.450] 可能应该全拿走了。
[51:47.870] 数据、
[51:56.590] 远
[51:58.050] 场。
[52:01.200] 花、
[52:02.970] 花。
[52:06.440] 要。
[52:09.790] 五
[52:14.170] 五。
[53:33.160] 没感情。
[53:36.570] 这心了，回访还没打，真的不行了，我这不开眼了。
[53:44.800] 看
[54:03.980] 咱俩
[54:09.210] 有可能我就拿咱们没什么。
[54:27.920] 侮辱。
[54:28.500] 吗？
[54:29.060] 走，哪走？
[54:32.910] 你们假？
[54:34.280] 还有家吗？白的不是你家吗？
[54:38.160] 好。
[54:39.100] 往家打回家。
[54:42.470] 那行，反正
[54:44.480] 挨着摆个。
[54:47.290] 换酸奶了。
