[00:00.910] Hello。
[15:36.930] 然后分期的话它是属于信用贷款，不需要抵押，所有的手续氯苯都是在咱们手里的，车辆也是不需要装什么GPS定位的这些，
[15:46.600] 就和全款买车一样，无非是多花了3000块钱，
[15:50.370] 但是为什么想让您分期，我们其实说白了就是这么。
[15:54.020] 服务费我明白。
[15:57.100] 这就是压力小点是吗？
[15:59.090] 什么不是没有压力，你送点现金你们
[16:03.760] 存上了。
[16:05.470] 但是您想就像平常手里放点钱，3000块钱三年才3000，
[16:12.030] 确实不交什么利息了。
[16:16.350] 和这一年都不到一个点，然后。
[16:18.660] 是不是特别幸福？
[16:19.820] 我们对因为说白了这么说您分期您是花了3000，
[16:25.290] 这3000就是我们正您的3000块钱，
[16:27.730] 你要全款可能我们就挣不到这钱，但是如果分期既有手续费又有利息，那都不做了，
[16:33.730] 但是现在主要就没有利息。
[16:35.650] 考虑到其实现在分期分期挺多的，
[16:39.790] 您去有了品牌，你像奔驰这种可能买车您全款人都不卖，
[16:45.370] 就卖分期。
[16:46.530] 是完了。
[16:47.420] 有这个情况愿意
[16:50.780] 没钱对。
[16:52.420] 因为现在好多人考虑分期就是两点，一就是说有手续费，二就是嫌麻烦，说我天天想
[16:58.940] 这我买说的身体的。
[17:02.900] 这个算是保险的价钱。
[17:05.800] 对，这要不算保险，您算1万的保险，这107,000也就262,000。
[17:10.860] 那就262,000，贷款12万。
[17:13.550] 看一下房费保险的价格。
[17:21.170] 239,900对吧？
[17:23.320] 加上一个购置税。
[17:26.780] 3000. 
[17:28.480] 这个是20 264,000，
[17:32.250] 保持24。
[17:33.780] 前半期。
[17:35.410] 不要保险是吧？对。
[17:37.690] 然后险种的话您可以挑着上，但一般4项主险送的话都没问题，车锁
[17:42.940] 三者肯定上100万对吧？
[17:45.040] 划痕、玻璃、
[17:46.420] 盗抢没必要，因为咱们这车的话本身就有一个定位，是您通过手机绑定咱们这个车，
[17:53.170] 这个车在哪里用手机就可以看到，
[17:55.700] 而且也可以用手机在家里就把这车启动。
[18:00.320] 冬天热车空调不就热。
[18:06.190] 了。
[18:07.750] 分班吗？
[18:09.040] 元宝玩。
[18:09.440] 对全班玩。
[18:10.830] 肯定是准数，因为保险不会有浮动。
[18:13.530] 购置税是国家收的。
[18:16.080] 26万。
[18:17.920] 26万多这车开走了，
[18:19.980] 就挂上牌子了。
[18:21.690] 10天了。
[18:24.880] 姐来了我都没跟您那什么，我上来就直接给您报到。
[18:28.880] 我可以把那个票都给你拿看看，因为只要是车价一样，他对应的每项费用肯定都一样，对吧？
[18:35.390] 一块
[18:38.360] 然后他那个车我是送了他7000的保险，
[18:42.130] 他最后上了8007，
[18:45.510] 这车26万多，包括保险吗？
[18:48.140] 对。
[18:48.980] 不用交，就是26万。
[18:52.310] 264,000这个车就相当于购置税保险上牌都搞定了。
[18:56.790] 那小孩算您说的保养，
[19:00.000] 还是
[19:02.540] 保养就给您了。
[19:03.300] 半年以后有多少？不是一年。
[19:05.890] 俺们这一年或者1万公里，
[19:07.730] 如果您要开的多的话。
[19:09.640] 对，因为新车一般都十几公里，正常的话你要说跑个一年或者不到一年的话，1万公里就过来保养，这都没问题。
[19:17.730] 地点要不要？
[19:19.140] 平常
[19:20.040] 一买了。
[19:21.450] 按你要说买新车的话，以后肯定彼此开这个车，这车是对1一1万公里一保养，
[19:27.360] 周期比较长。
[19:30.480] 而且保养到保养您都不用记日子，他行车电脑会自动地提示您了，
[19:37.140] 告诉您该保养了，您做好时间提前打我们预约电话就可以。
[19:54.310] 你要不优惠，我昨天不跟您说有惊喜，但我没想到优惠这么大。
[19:59.380] 一个月7000是吧？
[20:01.590] 优惠了3000。
[20:02.300] 三3500 3000还下来，保险差不多1万块钱。
[20:07.570] 因为可能这个车我们现在越差。
[20:10.150] 4台任务。
[20:11.140] 就厂家必须要完成的刺探任务。
[20:13.520] 对谁知。
[20:15.360] 那也着急。
[20:16.540] 那不好吗？
[20:19.100] 疫情肯定不像平常没有办法。
[20:22.690] 不出来，对，很少出门。
[20:24.930] 我们young了着急叹号跑了没？
[20:28.020] 一般来说，其实北京这边买车都置换的多。
[20:32.420] 有的地方可能家庭
[20:35.120] 要是今天定下来。
[20:38.260] 我就给您确认一下，像您说的保养，问您问问他定下来就行了，对，但是必须在月底之前开票，因为我们考核的话是在这个月把发票开出来就可以了。
[20:49.980] 这大哥本来我让他周一开
[20:52.050] 10多万的钱的话就看您
[20:55.110] 肯定不行，你不给钱怎么开发票，这个月给。
[20:58.470] 这能给吗？
[21:00.360] 差不多了。
[21:02.160] 您是做理财的是吗？
[21:04.390] 对。
[21:06.680] 您下个月份我就硬不了您这事儿了。
[21:10.790] 那只能月底给月底之前，7月最后一天都可以，就不能赶在8月份了。
[21:17.710] 月份。
[21:19.200] 多少钱？15。
[21:20.620] 15万以内。
[21:22.740] 到不了15，这个数减去您的12万贷款就相当于是144,000，但是再加上一个手续费，过不了15万手续费，我能应该差不多3000块钱能搞定。
[21:34.220] 对，那也就相当于147,000。
[21:37.460] 首付147,000，能把正式牌照算好，后期还3300。
[21:42.250] 主要是您这个有点销售，是不是那意思？
[21:44.890] 是吧？
[21:45.410] 算这个月。
[21:49.500] 然后您商量我得跟领导说说看看抱怨我们的保养还是。
[21:55.150] 还能再便宜点。
[21:57.790] 这个大哥价格就不说了，一会我把今天开的票给拿过来，而且那大哥你要说咱们是一样的吗？一样的车，一样的车队。
[22:05.940] 行了。
[22:07.500] 您这还好就来我这店了，大哥北京都去过5家店了。
[22:11.970] 我主要这家零回家近。
[22:14.560] 因为买车其实像您这种痛快的比较少，一般都说得转两家。
[22:18.960] 是断，但是。
[22:21.130] 您不愿串友院算我这个微信，你看跟我联系，这联系的时间可长了吧？
[22:26.750] 三年。
[22:27.720] 对您是来两次他。
[22:31.480] 今天来了本来还。
[22:33.180] 11:30。
[22:35.990] 保险赚的钱，我都已经把这7500
[22:39.210] 后来他就加了点，这是全新，我当时也问过大概的讲故事。
[22:44.090] 地上有
[22:45.630] 他给我打电话。
[22:47.420] 上午有一个暑假的吗？班里人没接睡觉，但。
[22:52.890] 上火了，本来想上午来。
[22:55.740] 更加好，然后下午行没事，哥您看看，然后我跟您好说一下。
[23:11.160] 差不多年380。
[23:12.560] 抱歉。
[23:14.170] 行了，不是83%点了，我看人家这我想特别自信的出门。
