[00:00.000] 有一个别再动身。
[09:28.550] 给您倒两杯热茶，不用刚吃完饭出去住，附近
[09:33.920] 军区发到。
[09:35.570] 老上那弄水去。
[09:38.370] 弄什么你说山上不是有一点打水的地吗？山山边上对萧泓茂边上现在好多用的炸弹给蓝，
[09:49.070] 我好长都没去就闹了，咱们都是用帐子给狼了，他们是熟的人还能上去。
[09:56.010] 最近都给拦了一下，搬到住公园不是一直没开放。
[10:00.180] 现在开了。
[10:01.920] 哪都能去了。
[10:04.360] 因为
[10:06.690] 您知道吧，他现在又修了一个滨河，就从他那边有一条河，从河边又修了一条路，
[10:13.260] 原来从哪8大处不是从5环或者从市里过去，
[10:18.250] 都得搞军区，现在用不着了，直接下去一直往西桶，然后直接就对着罚出去就上去了。
[10:24.600] 了现在有条路新修的。
[10:26.660] 哪出条路是北京市政刘运渠营运群河边上
[10:32.680] 修了一条特宽的路。
[10:34.060] 6车道，
[10:38.360] 然后直接去把它住，所以说现在军区那儿特别安静，然后他把那边也为了控制，
[10:44.150] 然后上山的那些口他全都用铁杖给焊了，我不知道，因为我们抓住不还是得从
[10:50.610] 举重队那上去吗？
[10:53.620] 举重对是。
[10:56.800] 还到那大井还上出了大牌楼，然后拐弯从军区门口过，现在直接往下去了，就直接。
[11:05.700] 门牌楼直接往南走，河边上。
[11:08.790] 桥这边走也行，桥那不能也行。
[11:11.010] 然后直接上五环就上五环了，就不在这边等着红绿灯了，然后就直接过去。
[11:16.300] 我知道从军区西边上去弄打水吗？原来都那么
[11:21.100] 那边现在搬到住开门了，那给焊了。
[11:24.700] 了，开门好像开了好先生家里放一堆了。
[11:29.520] 跟这一样进去就量一量这个。
[11:32.600] 那里面基本上去那儿的，除了爬山就是二处去，
[11:38.610] 别的没有的。
[11:40.920] 我静静是什么拜佛的。
[11:43.830] 二处。
[11:45.730] 二。
[11:47.340] 5处什么的都
[11:49.950] 都能。
[11:52.990] 行。
[11:54.080] 您还老往那边跑。
[11:55.990] 因为这车是挺好的。
[11:58.520] 要他，因为我们这有什么跟您说什么，我们闺女还没在，为什么？要不就他来。
[12:05.980] 因为疫情回不来。
[12:08.690] 在哪？在加拿大。
[12:10.560] 带着孩子，原来这孩子在中关村。
[12:13.190] 三小上学，
[12:14.760] 结果这一给捐到外边回不来了，怎么走过两天说我现在有春节上那边过去了，过了春节就没回来，
[12:24.750] 回不来了。
[12:27.640] 一会儿不也没开学吗？
[12:30.730] 没开学开学再说。
[12:34.290] 然后问我知道。
[12:36.760] 我就说你把他两那两车都给他罩起来了，
[12:42.430] 可以吗？
[12:43.420] 可以没问题，您去拍去。
[12:46.850] 那个车。
[12:49.720] 他说的就是要这个车是吧？
[12:52.360] 对。
[12:53.530] 原来我这有什么跟您说什么，原来我想买
[12:57.080] 奥迪的S4跟他差不多，排量原来是3.0，现在可能是今年是2.9T
[13:04.900] 然后也是性能差不多，而且当然可能这车反而比这稍微大一点，A4。
[13:12.210] S. 
[13:13.360] 可是现在就一直没有获得。
[13:15.310] 雪没货没车进不来。
[13:18.800] 他一直没有货，因为为什么我们不。
[13:21.070] 考虑这车就晚上开这种奔驰，反正有点好像。
[13:23.920] 特张扬是的，就是那种车反正挺什么，确实真是这么想的。
[13:29.760] 但是现在没车又考虑这车了，对，因为我在网上看了，因为我们那车都比较
[13:38.050] 假如哪年的
[13:41.690] 我想想。
[13:43.010] 是10年还是什么的？
[13:45.650] 那挺长时间的，还是说残值给不了多少钱也。
[13:50.280] 到时候我一会给您评估一下，我一会得找评估的。
[13:54.440] 您讲了你得把车开来。
[13:56.650] 对是吧？
[13:58.340] 你估计给几千块钱会不会几千也得挤挤也得但不会太多，就一两万块钱了。
[14:05.530] 我那都不重要了。
[14:07.780] 我就原来想买S4。
[14:10.390] 为什么？因为您知道反正开车它不是一踩油门稍微快点，就这么点，这也不慢。
[14:24.480] 因为接送孩子上学，开大车也没用，就这小车又轻了，这边原装进口的这就行。
[14:31.730] 您说因为这不他一者平常他也家里还有别的车对吧？对，主要就给他弄一个他能接送孩子车，然后
[14:40.300] 安全点品质好点，然后好开点给他买那就完了，对。
[14:45.980] 这1个颜色，现在现车就这1个颜色，AMD的车特别少，因为我们现在库存就8个车，
[14:52.890] 除了这上面6个以外，外面还有2台车没了。
[14:56.650] 不是，您说比如说2.0的这一个车，现在就拿药就要他对白条这块对。
[15:04.240] 咱们没有展不展车这么一桌，
[15:08.470] 那种的展和这不一样，你看这都锁着，
[15:11.830] 我不拿钥匙来你都开不开。
[15:14.380] 我知道普通的那些MB的车就都在那，
[15:28.490] 因为那个车。
[15:30.240] 因为那个车还不是孩子换号。
[15:32.960] 有时候他还一个车，然后有时候他得换着开，因为他孩子不能不让他上学。
[15:39.650] 太远。
[15:40.520] 所以我们这儿也有
[15:42.720] 北京印象
[15:44.340] 矛盾。
[15:46.730] 你指着方向错了。
[15:48.760] 对，那边不及后背是吗？这边对。
[15:55.390] 行。
[15:56.260] 因为我没见过这车，我是从网上看到的，因为他老说要买。
[16:01.400] 去年想买他不在，
[16:03.290] 然后等今年我再去上sp，
[16:06.860] 奥迪店一问人家说根本现在进不来停产了。
[16:10.560] 停产了，然后。
[16:12.670] 我在网上看到这个时候，我说这不一样吗？价钱也差不多，哪个字也是将近40多万将近50万。
[16:18.810] 我觉得这挺好，其实那里面空间。
[16:21.750] 不比S小，就国产的。
[16:24.370] 进口的肯定是小，
[16:26.020] 进口的4个门说说实话实际上就2个人坐，后面就偶尔来孩子走I作小孩多那什么的，
[16:38.000] 那个是蓝色的，就这么一个。
[16:40.890] 还有一个是蓝色的，还有一个哑光灰的。
[16:44.590] 现在流行这少都要
[16:48.470] 车。
[16:49.880] 您给我算算多少钱的项目栏的。
[16:53.440] 连税都告诉了，大概提给您先租一个。
[17:00.120] 是个有说明书，比如他什么配有产业
[17:05.850] 彩页，
[17:26.740] 110 116，
[17:30.070] 全拿下来就连高税保险在乱七八糟的116，
[17:37.590] 这个就没有彩业就对他介绍没有都发完了，来的也不多，
[17:45.300] 看的人比较多。
[17:51.160] 是哪个系列是A35。
[17:55.220] 那个是gt。
[17:56.910] 没有有我肯定给您，我知道没有别的意思。
[18:02.340] 你拿一本行。
[18:04.090] 拿这枚就是135的，你不能。
[18:06.650] 现在我刚刚照相，
[18:10.970] S65这东西。
[18:13.750] 几乎都没车。
[18:15.170] 有车的就这135写着北京奔驰的是A35L是吧？加长的也就是说
[18:25.320] 那两相的就是A35
[18:27.400] 五。
[18:35.890] 这个车还是好使。
[18:38.040] 因为我在那哪是我顾客就跟你说，因为我在国外我也开一个什么都做着说不是GM，
[18:45.020] 您原来在哪？
[18:46.580] 我也在那，我们一家都去那。
[18:49.840] 说句话都移民了，都已经过去了，然后我们老两口是因为这疫情吓得不敢下去
[18:57.000] 了。
[18:57.840] 一直这多好，中国也能说话，也能有亲戚。
[19:00.840] 朋友是不是回到那还好，还得满足D多多的还在那住，您这肯定外语也忘了是。
[19:08.390] 就说那也不行，
[19:10.720] 然后那边就像一级的这种SUV在那开一个也是这个车还8万多块钱。
[19:19.290] 家园
[19:20.410] 80多加元合多少钱人民币？
[19:23.220] 您坐着能坐着我肚子大腿，我愿意站我什么50万人民币，你们真便宜。
[19:30.400] 春节
[19:32.260] 而且还是柴油的，我
[19:35.250] 孩子在这边先上了，到时候再回去再回那边还有俩孩子，
[19:41.000] 大的在那上高中，
[19:43.390] 原来也是在这上的小学，从小学就逼着过去了，在那接着上学，这大的还一个大的，她们姐俩差10岁，
[19:51.030] 大的现在高中快毕业了。
[19:53.910] 但是上那去是不是就没劲
[19:57.510] 了？
[19:58.810] 没事干，你听我跟您说。
[20:02.220] 我让您。
[20:03.940] 不是没别的意思了。
[20:11.680] 您看我这不给你，这不是为了显得我现在住在军区着吧，您知道吗？
[20:19.640] 大楼边上那叫什么那边上
[20:36.530] 那边的环境就是这样了。
[20:39.330] 环境就是说周你周围人都是中国人，还是说
[20:45.910] 是我们那边的可美了，那么叶天也来。
[20:50.640] 我知道您看看您平常。
[20:54.360] 自已有一院子有重点骨头、骨头花、骨头、骨头草。
[20:59.950] 但是没这么多没那么多中国人是吧？有人有的是我们那个城市大部分都是中国人，
[21:06.490] 您周边全是中国人，周边
[21:09.060] 就开车出去10分钟全是中国超市，少几个真红包，这个是我们大村子在那边的房子，
[21:15.970] 也是一耗子，
[21:19.200] 然后就1000多平米的一个占地，
[21:21.780] 然后除了这房子，然后全是草地，
[21:24.080] 重点花弄点草，我锄草归我。
[21:27.720] 要不不归我就得花1000多块钱户给弄给别人弄1000块钱拿机器吹了就走。
[21:35.270] 我愿意动。
[21:36.410] 一拉
[21:37.560] 加上油加点机油，
[21:40.840] 关键。
[21:43.130] 我觉得没意思，我去我们哥们他们家在。
[21:48.970] 去加拿大待了一个多礼拜，然后在美国待了小一个月。
[21:52.850] 晚上没劲，
[21:55.100] 你们年轻人没进，我们有钱。
[21:57.570] 什么做饭？
[21:59.070] 接送那大孙女，
[22:01.140] 然后什么，然后从有时
[22:04.520] 平时什么您知道一到夏天就bbq
[22:08.050] 就赚。
[22:09.520] 华人多，我们那叫万锦。
[22:12.060] 万景大概差不多有
[22:14.220] 50万将30多万40 40万的华人
[22:17.810] 安全，然后
[22:20.210] 周围的超市全是中国的超市，
[22:22.830] 全市的香港人开的餐馆，
[22:25.300] 我说的为什么强调香港人开餐馆，早上起的早茶什么的都特别到位，全市香港的那种也没咱纳豆好吃。
[22:33.270] 那也有。
[22:34.900] 摊煎天津摊煎饼。
[22:36.790] 影砸油条，专门炸油条什么都有。
[22:40.470] 他肯定生活上没桥，肯定是生活上没区别，就跟您说的是的，你比如说的。
[22:46.270] 关键是咱不是本地人，他也有什么歌厅，
[22:50.200] 什么酒吧，像咱们接受不了，全是外国人，也关键您这跟您那老哥几个要喝两口的，还得是出纳，然后什么电影院，
[22:59.570] 他们都有。
[23:00.440] 就看你怎么生活，
[23:03.060] 然后你又忙着上班，你又那什么，这就是乱点了，你像我们这都退了，休了根本。
[23:09.430] 不考虑。
[23:11.000] 我再跟你说起来，我们的孩子他们是先过去的，然后又把我们在亲属移民，
[23:17.730] 然后实际他们是在国内做生意。
[23:20.870] 为什么他们老在这儿，结果这俩人都回不来了，一家子都回来，都是春节过去了，春节跟大的一块都过春节，
[23:29.200] 等到春节完之后咱这不就厉害了吗？说暂时先不回去，过个月一个月半个月再回去，
[23:35.230] 等到他想回来了，咱这不也缓解了，
[23:38.270] 他那不就厉害了。
[23:40.320] 咱们中国有节制他们我让他们进来，
[23:43.330] 就这样一直耗到这会儿，
[23:46.390] 就这么一状态。
[23:49.250] 反正有个院子弄点花弄树弄点。
[23:53.240] 送点什么这菜那菜的。
[23:55.630] 反正我们哥们我们
[23:58.710] 我们有一哥们北京的。
[24:01.000] 说。
[24:02.330] 我们去时候说说得带不过去。
[24:06.600] 不让带就想吃茴香馅饺子。
[24:09.260] 没有味。
[24:13.480] 中国商场是卖的。
[24:15.350] 在美国我们也有亲戚，他姐姐不是他哥哥他姐姐都在那，外甥女她们都在那边，然后就不行，没有我们这边好，我们这边就是跟中国一样，
[24:26.330] 一出门全是街坊，全是中国人。
[24:30.670] 但是不是百%，那醇香是中国超市有卖的，是洋人超市也有卖。
[24:35.800] 洋人超市拿他当就像咱们的材料，
[24:39.000] 当香料是对，但是它贵。
[24:42.140] 它切碎了以后打到什么汤上什么的。
[24:44.770] 就4545加元，你想喝多少钱？
[24:48.480] 不到30块钱人民币了。
[24:50.160] 就这么30块钱在中国买郝金了，就这么一小子儿，
[24:55.980] 要想两人要想吃饺子，两姊妹。
[25:00.820] 对，那两个都不够，你还得多加肉，还多加肉，多家鸡蛋，没像你那么多有这么一口这么大一把。
[25:07.970] 那也不够，这一个人够就一直这么。
[25:12.640] 反正我们哥们到那说超市里要看见有卖茴香馅，那速冻饺子就包圆了。
[25:20.140] 他住那。
[25:22.530] 我们也去过什么芝加哥、纽约什么波论都去。
[25:26.930] 到那就不行。
[25:28.270] 他们一到这他们过来有时候
[25:30.440] 一到这一看你们这好的跟
[25:32.860] 咱那贵吗？房子什么的便宜。
[25:35.550] 没有这过去没有照对。
[25:37.600] 就北京四环边上这一套房到那换一款，我这住的这么一破楼房落这呆着的。
[25:47.000] 只是在前两天。
[25:49.390] 我还想卖了，他们因为这一说您就知道，然后
[25:53.840] 他们标价差不多能够到900万在那用不了，在那就买一个。
[25:58.920] 刚才我那么大的房子都用不了。
[26:05.080] 那个是400平米左右。
[26:07.660] 然后是两层。
[26:10.180] 地下室不算，第二次人就等于自己不是自己花的，就个房子后8的就不算数。
[26:15.470] 然后一个院子前面有停车位，有车库，
[26:19.330] 好点的，后面还带个小游泳池，我不敢弄那玩意，设计跟您这
[26:25.800] 那个东西挺耗钱的。
[26:27.840] 因为您知道在那儿他外边他老得换水管。
[26:31.650] 再一个第小动物，
[26:33.620] 然后他那个里头什么都有，什么耗子，什么浣熊什么的，他老进去，
[26:39.010] 没人管他院子，她自己就溜达进去了，什么狐狸肚子什么的老友。
[26:43.990] 还有
[26:46.290] 你不咬人。
[26:47.660] 不咬人。
[26:48.860] 反正你也离她远点，他别招。
[26:52.440] 那得人更少了您知道。
[26:54.710] 我反正是出门出了门，但是您这岁数是受不了。
[27:00.180] 您那又是玩的又不像上班的，每天必须开车灯脸朱子给人干活去，或者自己做生意去，不是。
[27:07.290] 你就觉得别扭，
[27:08.840] 觉得太没意思了。
[27:11.060] 我们去带那一个多礼拜，
[27:14.420] 天天晚上就是今儿。
[27:16.550] 来帮人，然后就搁家院里弄点烤着吃。
[27:21.590] 然后明上。
[27:23.210] 鸭好吃后上那家吃个饭，然后。
[27:27.550] 要不然一大帮人坐屋里玩会牌。
[27:30.190] 打好麻将，然后也不去歌厅啥的，关键是去哪没车偷老远真远，没车可不行。
[27:39.330] 去进个城买个东西太远了。
[27:42.750] 美国也是
[27:43.950] 我把那号自己一个车，
[27:46.050] 还一个什么丰田的皮卡是8缸的，5.7排量的那边有没有听？
[27:53.330] 才5万多家。
[27:55.500] 在这儿差不多得五六十万，我估计最少的我那吧刚子是
[28:00.730] 福特的猛禽。
[28:02.480] 不是幅图的，丰田。
[28:08.870] 我知道您说。
[28:11.050] 那叫什么？
[28:12.620] 有大个的。
[28:15.710] 那就是车便宜，您说油也便宜，一方面有时候汗按加仑是吧？
[28:22.450] 那是什么案件软件加大多少钱一升？
[28:27.120] 差不多。
[28:30.400] 跟这差不多。
[28:33.760] 现在5块多，现在是9毛多。
[28:37.200] 就算一块钱说9毛多，现在他不是流下来了，已经算一块钱，你不是好和就5块钱
[28:44.510] 一声，
[28:45.930] 5年1升9毛多，实际到不了现在。
[28:50.710] 现在2000美万加仑，
[28:52.860] 加拿大全国这么便宜，美国公路也按英里，加拿大全是空置房。
[28:59.310] 美国的车标的
[29:01.130] 要出口就两种，一个应敌一个都有。
[29:04.210] 咱们加拿大就不是家，那都是跟这一样，跟他们不一样。
[29:08.270] 你遇到鬼子也得叽里咕噜的。
[29:11.930] 我这个差点他还行，然后孩子和那些孩子都没事，
[29:18.390] 没办法全是中国人多无所谓，我们又不工作，我又不去接触，就跟您似的还得接待客人什么，我们不用我就愿意去，
[29:26.930] 很随便它那块我去了，真的是环境真好，就鸿业跟香山的红叶跟那一比就别去拉去。
[29:39.910] 好，那个车。
[29:43.360] 那个车叫什么教室？A35您手里拿的说。
[29:49.090] 篮子gp
[29:51.460] 继gt4门的系列，这个是gt50比它网上的有gd53，还有gt63。
[29:59.040] 对。
[30:02.440] 那时候您看着行车。
[30:04.740] 还有点看这车不是。
[30:07.790] 我真不开玩笑，我这次我在国内我想换两个车。
[30:14.020] 因为都比较旧了。
[30:15.960] 那是什么车？
[30:17.760] 那个是一个。
[30:19.650] 大众cc是
[30:22.880] 进口的，3.6排量3.6的。
[30:26.880] 我刚才开始这个来的。
[30:32.620] 也是
[30:33.740] 一一年的时候。
[30:37.430] 中午这个车有个报废什么的，有些人在外国就没有随便开。
[30:44.160] 人家所以人那边的二手车也是人家车也不年检，不让咱们这天天老不推的跟着你。
[30:51.160] 是不是还得年检，人家那不用。
[30:54.150] 反正他没毛病就开。
[30:56.530] 出了事你就负责任，
[30:58.100] 但是很少有没有不上保险得，他必须得上保险。
[31:01.870] 因为你只有那样才能互相保证，是不是？不但你有钱没钱，反正这样也不那成本。
[31:08.020] 我估计咱们这有好多人都不爱上保险，或者是好多都不上。
[31:13.710] 不年检车，但是司机本子年检
[31:17.390] 到那儿排着队就到政府，跟咱这也不一样，到政府你给他他看看没什么问题。
[31:23.380] 他就那什么。
[31:24.710] 那得问你两句。
[31:26.080] 问不问？
[31:29.200] 他也有他在那里坐车我
[31:31.650] 该到了我要不我有点着急走。
[31:34.550] 我到11月份该到日子了，您那不坏，日子开了不就能去什么，要不然你先去美国，
[31:41.530] 或者先中间转一下美国哪行了，咱们找死型美国人说糊涂稀里糊涂的。
[31:49.230] 我那本子搁哪我都忘。
[31:52.250] 你不会带着。
[31:54.850] 您等于是
[31:56.610] 到那边办的长期居留，居住就是移民了已经。
[32:00.180] 就这边的户口也。
[32:02.880] 这边都没了。
[32:04.120] 跟您。
[32:05.590] 也没好事就没。
[32:09.440] 这不是说在有部队的什么没人管也行，你要在地方上没准有人去。
[32:17.400] 反正最起码的那边环境好吃得安全。
[32:21.130] 吃的东西都好。
[32:25.560] 而且
[32:26.850] 夏天没这么热，
[32:28.520] 没蚊子。
[32:30.240] 在那儿你看我们又种草又种花儿的，没蚊子。
[32:35.120] 然后我这真不漂亮，我这几天老姐我这几天我才知道，有时候还能吐口痰，在那没有，
[32:42.570] 确实有点区别，咱也不是说这不好，现在北京为什么不吐痰不吐。
[32:48.210] 谈就是从那弹出来弹，那不会。
[32:51.480] 也就是空气就没有那么多什么人少。
[32:54.100] 好空气好，就没有这些乱七八糟脏东西。
[33:02.650] 美国不行，
[33:03.820] 美国。
[33:05.360] 玩的比较放开一点向
[33:08.760] 是。
[33:09.660] 他那个不行。
[33:14.840] 不知道在哪。
[33:16.400] 呵呵。
[33:22.560] 我去瑞典环境好，在乎瑞典呆
[33:27.930] 呆了一个多
[33:30.550] 一个多里两两两两周左右的。
[33:33.350] 时间环境也好，就跟加拿大一样，环境特别好。
[33:37.870] 瑞典、荷兰，
[33:40.310] 什么丹麦。
[33:42.850] 茅威
[33:44.240] 森林覆盖辽宁的孩子应该是都去了。
[33:47.340] 对，就是这边去的美国、德国。
[33:52.310] 环境也好，吃的也好。
[33:57.590] 实际现在中国不错，
[34:00.030] 效果很知足，真的中像这真的
[34:03.750] 所有的人都能去享受这种东西，在别的国家不多，
[34:07.470] 在哪也一样，有钱才行，没钱也一样，是这个疫情，你看美国
[34:12.760] 别的不说，美国的穷人特朗普根本就不管了，就不会管穷人的，就是你有钱，
[34:19.580] 你有保险，你能优先你就去管你得了，能给你房户然后什么的。
[34:26.050] 穷人都死在马路上都不管。
[34:29.080] 中国就是从老百姓我从控制
[34:32.240] 我不知道你出来也是为你好。
[34:36.360] 中国还是有中国的好处，但是现在就是环境也好多了。
[34:42.480] 我记得我小时候北京的每年都得
[34:45.800] 一到春秋就黄沙漫天，现在都好多了。
[34:50.110] 头两年的雾霾，这两年都没有了，
[34:53.210] 然后桑拿。
[34:54.560] 二你看这几年也没有了，虽然是温室热，但是
[34:57.600] 好那种感觉已经没有。
[35:00.620] 了，我跟您这说我
[35:02.340] 我们为什么去
[35:03.900] 这就是那几年好像空气也不好，然后各方面也比较那什么。
[35:08.380] 现在我们的想法还是回来，
[35:11.170] 因为我们还是说句实话，我们还是有保障的，我们平时
[35:15.090] 部队系统的我们怕什么？
[35:17.140] 可是那时候外环的
[35:20.280] 所以才产生了就上那边去，孩子说过来我们去了
[35:24.100] 了后来现在我们回来一看还挺好的。
[35:26.970] 而且现在全球只有中国的绿化是越来越好了，就其他的国家的绿色都在衰减，中国是越来越多。
[35:38.090] 这不跟你瞎说，我在这我也不是住的，我正好有房，但是我在
[35:43.440] 8个处我住的也结束。
[35:45.830] 500多平米的。
[35:49.840] 所以说我就说我在哪都一样，但是我回来一看这挺好。
[35:54.700] 所以说
[35:56.100] 原来咱们过去那时候雾霾这里就跟您。
[35:59.360] 我记着我那两年有。
[36:03.430] 对开着。
[36:04.620] 卡开这卡你要不然就让
[36:07.150] 不给你下场，行没事儿。
[36:09.910] 我这样回去再跟孩子通过电话，我现在有您的名片。
[36:14.430] 一会儿给您发个短信，然后要是不行，要是行的话咱们就
[36:18.660] 你要那边跟他说差不多，就这一个车。
[36:21.360] 手里就没有车特别。
[36:23.620] 您记得车您看这一圈车每个车都锁着，为什么？
[36:27.650] 一个是贵，另外一个车手
[36:30.740] 要给他这磕了那碰了卖不动。
[36:33.840] 不会的，这都定位是的，我们今天是。
[36:36.430] 钥匙都拿着，您也忙，我再去看看那个车票，我给你打开来。
[36:40.750] 我再买我。
[37:02.460] 你上司机那坐去试试。
[37:16.040] 就弄了。
[37:17.380] 别装了。
[37:20.070] 这挺大的，高尔夫球弯都能喝。
[37:27.170] 这过了太小了。
[37:29.120] 他这不是小，这是运动型的车，它包袱赶快吃就包谷。
[37:47.570] 这是3.0，排量是3.0加电动机的。
[37:56.590] 这多保养多少钱？
[37:58.450] 去保养两三千块钱。
[38:04.830] 做这个车它典型的叫他说
[38:08.120] 它体现的我们这是4座
[38:10.920] 车上每一个人都会像驾驶员一样能够感受到，
[38:14.540] 其实开车过程中这种一过花这种离心力加速这种感觉，让每个人都能彻底地感觉到。
