[00:00.600] 这么多。
[10:51.180] 他那边一天一晚
[10:52.850] 62岁就这些。
[10:55.300] 推脱这个意思以前好像不细的，不是他有没有。
[10:58.880] 如果
[11:00.750] 然后照完之后跟不断
[11:04.080] 了。
[11:06.400] 29,000。
[11:07.600] 要全下来之后，
[11:13.520] 其实如果
[11:20.350] 的。
[11:23.940] 他毫无反应软件，
[11:26.000] 就是行，博客就是什么激动是有很多东西，文物中央对地方融资，
[11:32.610] 最后码只有这个原因，
[11:35.120] 准确的。
[11:36.120] 谁知
[11:39.670] 先阐述对都不敢出来了。
[11:42.510] 生产出来它就是另一方卖。
[11:44.790] 所以它生产的花费武器，
[11:47.900] 外观推广
[11:50.080] 没有区别。
[11:51.630] 价格配置一模一样。
[12:03.540] 其实质异的26条，
[12:05.740] 21板块20款最本质的区别23周岁这一个方面，
[12:10.270] 最大的特质区别就是咱们的发动机的谁知
[12:14.760] 我这个地方
[12:16.180] 也就是最新最的一个他对
[12:18.900] 所以说我觉得是一个巨大的一点点，其他的东西我觉得
[12:24.770] 把最
[12:27.570] 对事实，不然话你知已经原来不好了。
[12:30.830] 是，所以一直也但是牙买加
[12:34.270] 变
[12:35.880] 感觉
[12:38.170] 他在
[12:39.970] 配的，有时候强加给对，完了现在咱上回拿着一把。
[12:46.530] 你好买。
[12:48.690] 看看。
[12:52.610] 这样的。
[12:53.460] 目前可以，但主要是也别人说你烧那个价位你定太快太多了，你这少
[13:01.400] 分钱都能够了，对都够了，而且说出了刚刚了。
[13:05.840] 报废了在这儿。
[13:07.440] 像这个车跟E
[13:09.480] 购奔驰就开始
[13:11.100] 差着钱，周边后也是够奔池的，二十60最标配宝马就别说了，他3325万，
[13:18.330] 也就是所谓的当时买俩说就觉着说配置太低，
[13:22.230] 没有什么太多可取之处。
[13:23.800] 就是说只能是说
[13:26.300] 这个车整体出现了，
[13:30.710] 但是如果我说整体真的不怕，
[13:33.580] 我还想问一下浓度越大，数据这种情况，
[13:37.410] 这个没有太大影响，但实际上原理来讲是这样。
[13:41.020] 对大轮毂的话因为它增大，
[13:48.020] 除非
[13:49.190] 有本质，
[13:50.700] 但是这出来他也不会骗了。
[13:54.310] 有效的
[13:55.320] 文章有可能就这种态度。
[13:57.870] 谁知
[13:59.010] 还是不同意。
[14:05.580] 你看这个地方我们在电路里面
[14:07.930] 大家整体教材电话对
[14:11.710] 在非常寂寞。
[14:13.530] 感谢了。
[14:21.540] 您是喜欢什么颜色的？
[14:23.320] 颜色是调主任，我觉得我。
[14:26.140] 这叫什么山是吧？
[14:28.040] 是吧？有镜头白色。
[14:30.490] 着眼那行的，真的普通。
[14:34.040] 他这玩意卖方写上
[14:37.020] 非常好的都不懂，来张口的。
[14:40.260] 我大概
[14:42.370] 月
[14:43.400] 两年10月份玩弄。
[14:45.740] 好，麻烦你给我代表。
[14:47.770] 我现在有个房子要办过户，他们在给我披上代码，
[14:51.400] 我不买这玩意，我给说说还得做，对，上次可能是。
[14:58.210] 对。
[14:59.440] 就用这个钱不用买黑的，卖掉房屋不会找你了。
[15:16.040] 我要买
[15:17.650] 三
[15:18.900] 我最讨厌了。
[15:21.250] 不用了。
[15:51.200] 整个大概
[15:53.070] 这个数据配的赶紧
[15:56.450] 商业保华王华360以下并且不住。
[16:00.480] 一般什么样我都不能显示。
[16:02.880] 包括哪怕的东西做一些
[16:05.670] 谁知
[16:08.840] 特别柔软，但是这作业优势就是多数不过，但是缺点有一个应不是
[16:14.270] 您说您身上带钥匙或者什么的推动一个冲进了，
[16:18.040] 为什么我们做依托一根这种照片防止内容了，这能调。
[16:24.910] 您往后的话。
[16:27.640] 对。
[16:29.910] 白酒评比车长就是长多少，这是4950，那是4688 20多公分不到30公分，它不到95米。
[16:40.360] 6
[16:43.690] 08。
[16:51.810] 90有什么？
[16:53.350] 配置，现在限制能有都是T676的十一合适智雅。
[16:58.550] 这样6.1，您作为市场还有一个整体，三是90的刺激配对，
[17:06.710] 就能刺激配在你这，就650
[17:10.400] 三6 190,500优惠15万。
[17:13.720] 玩的话
[17:14.460] 54。
[17:19.560] 最低配现车吗？
[17:21.300] 最低配的有车就TTP6P575没错，修订了。
[17:27.460] 丁老师
[17:28.730] 从厂家标准里面的内存垃圾，
[17:31.990] 本土人听。
[17:34.260] 第五也是紧密联系整个城市就能全体都
[17:38.590] 数带来的最近
[17:41.080] 背景每公里多少？254匹马的地方350米，
[17:46.970] 他的最低配也是250，就和车，谁知我氏一模一样，它也存多少？
[17:53.550] 说两吨里头屯长了
[17:57.150] 300 500斤，500 500 500 500公斤，
[18:00.890] 500斤5块钱，
[18:03.690] 就正常开场没问题，代步没问题，一点问题没有。
[18:08.100] 最低多少就是最低配过来。
[18:11.080] 火车的话经费就是69 639,900，现在优惠15万
[18:17.840] 48.8。
[18:19.530] 大概又要等对吧？肯定得找，我想问一下订车是给您这交定金，然后就等着T
[18:26.330] 是吧？
[18:27.680] 然后到时候下了车之后再交全款。
[18:33.950] 如果订车时候什么颜色都可以定了，还是要就是说主要就是黑白两种，其他颜色我们也不敢让你定，来不了怎么办？
[18:42.620] 给怎么给您交期这市场咱就先试试，就比较粗的那种。
[18:48.160] 对，包括中国大陆你觉得发最多就是黑的。
[19:04.910] 这个车养护成本和比例高很多。
[19:07.200] 如果同样发动机是一样，
[19:09.030] T5发动机都是一样，
[19:11.280] 所以说后面保养为主的不一样不一样，传统期是一样的，第五的不也是废物，
[19:16.950] 您保险肯定一样。
[19:19.580] 您换个机油的。
[19:20.990] 都是一些比方平常你管了，
[19:23.450] 如果要是这样的话，其实正常一块喷漆2000块钱半斤，加分机就2000之间。
[19:29.260] 所有车都差不多，对你三四遍美国就我们
[19:32.880] 在一块
[19:35.130] 一块把青春基站
[19:41.400] 他说
[19:42.910] 的
[19:44.840] 最后这个号就是油耗有什么表现？
[19:51.830] 谁知
[19:54.190] 他们这种花了是吧？
[19:57.280] 10万差不多。
[19:59.260] 上个。
[20:01.040] 大小，
[20:01.990] 对吧？
[20:05.730] 您看你
[20:06.860] 哪个位置条件家用，对，然后你拿去买车，
[20:11.940] 可能没必要。
[20:13.590] 您说买这车卖15章作为一个大背景口，
[20:18.770] 买那车大部分人都没给我发短信吗？
[20:21.750] 我想问你7他
[20:25.730] 一笔钱，他说还有些事就没有
[20:29.330] 配置差不多。
[20:30.420] 没事，老爷走不同。
[20:32.480] 然后偷由什么来上课都问题了。
[20:36.240] 没有，我刚才给他补了点时候，我不想管那1点多更低，客户倒着来，
[20:41.730] 然后客户跟客户说那什么，
[20:44.410] 客户现在还不知道分期，就哪个银行卡啥工行的，
[20:48.530] 他都是中行的。
[20:50.080] 对。
[20:51.240] 那就是工行卡，工行当时张杰和他们联系这爱好了。
[20:58.390] 主要是他认为的吗？
[21:01.650] 还给他补助点。
[21:03.390] 他上车他也放上，
[21:05.230] 一看检查当时我自己
[21:07.940] 但是他问他私人经济，
[21:10.910] 咱们就没有
[21:13.370] 这个没有牛有他也没钱，回头再说。
[21:22.310] 下去了。
[21:23.800] 喝点营养买衣服在干嘛她干嘛？
[21:38.080] 他说没问题。
[21:39.060] 没有，我那车什么的。
[21:41.160] 亮灯03 10 20 30，我刚才去我怕他去加班路上说了，我去停车大学又回来了，
[21:48.870] 客户大概也了
[21:50.550] 4分钟，包括我的什么给你带来了。
[21:54.060] 我看了刚才怎么了，
[21:55.920] 我跟我们客户说，
[21:57.420] 下午给他补了
[21:59.520] 也很多，因为我给他拿东西。
[22:02.310] 玩什么样的东西，
[22:03.630] 哪个不值100块钱，我的投资空间有的说没别说了，那什么
[22:09.750] 不刚来的吗？
[22:11.300] 刚来北京你。
[22:12.860] 有着电火锅。
[22:14.620] 小熊。
[22:15.980] 没有吗？
[22:18.550] 行知道了拿。
[22:19.720] 走到最后再。
[22:20.470] 我给你快点，赵燕青了。
[22:22.050] 行，您知道这是大家一块去我说一声。
[22:26.510] 然后好像
[22:28.460] 200
[22:29.680] 我让客户打算看看，
[22:42.730] 是吧？
[22:43.780] 等我一分钟。
[22:45.110] 三次。
[22:47.490] 你知道那小库房钥匙吧？
[22:49.930] 不要小姐你找找王浩。
[22:57.170] 你说这个时候那啥
[22:59.080] 怎么还款还不知道，您不用着急。
[23:03.300] 最晚明天中行的批贷款的小姑娘她给您打电话，他给你打电话
[23:09.970] 了，他就跟您说还款的一个方式怎么还，然后还有一个还会把卡又给我是吧？对，因为他现在还没放款，谈不上房款还款这事儿刚才好像说看看还没给这放着，我们才没收到了，你就敢把车开走了，肯定能放，因为批都批了。
[23:25.830] 跟这不影响，我们都是正常客户交完首付都不选择吗？
[23:30.270] 于激活是这意思吗？我们这财务没收着钱，跟你的激活没关系，
[23:36.350] 然后是这样，
[23:38.540] 咱们正常车里不应该有1/4由
[23:41.570] 瞒您说，我刚才去给您加了点，
[23:44.310] 拿油桶家子，
[23:45.810] 我们现在有加油卡，你给客户得去加油，这个商品有一个商品折加油卡，商品车加油卡里面没钱。
[23:51.680] 这么着我刚才跟领导沟通了一下，因为确实是没有钱，不如我不给您加，我犯不上。
[23:56.750] 我们有礼品，我给您拿一个礼品，这礼品怎么着就比那100块钱药
[24:01.780] 要贵就是一点可能对，我这确实是我刚才就是怕您不够，我去拿油桶给您对的油，为什么我去张家界张那么大，我这出场的时候能不能
[24:10.830] 厂家根本不给加油，全都是你4S店自己行为，
[24:14.720] 不加油怎么把车开走，人家托过来，我跟你说都是背过来的，
[24:19.460] 物流就背过来了，过来以后然后到这儿你才贱自己解决，但是它确实有着1/4的邮箱要求，但是我们正好赶上
[24:28.110] 油卡没有钱了，所以到时候
[24:30.340] 厂家这边面访客服要回访的话，拜托您也是就说一下有。
[24:35.170] 然后我刚才跟领导说了给您拿一礼品，
[24:37.300] 我觉得怎么着都比这100块钱要值钱，关键是应该的，这是我不会发窝的，我刚才补了我刚才我拿油桶，
[24:45.570] 我自己端着大红头有骨，这三升油足够用，就那点油了都道理了，
[24:50.600] 绝对够您到家了的，到家一个占据没问题，待会还得给发一个为手续吗？你给我
[24:56.970] 拿走吗？那些手续发票什么的您要拿走。
[25:00.060] 您到时候交税办临牌，如果需要交税，如果还需要办临牌的话，你得再给我拿回来先放这。
[25:05.630] 行，反正搜手机都是个照，啥时候来交契税。
[25:09.320] 等等您指标出来，您不是刚刚肯定得下礼拜，
[25:13.600] 总部还是我打分。
[25:15.420] 您通知我你帮我查行。
[25:18.200] 我帮您查。
[25:19.660] 走咱俩去哪能谈到能查北京市小客车调控系统，你说就你等我消息，然后我就过来找你来
[25:27.040] 交购置税，然后就可以去验车了，是这意思，行就是这意思，您做当然要做。
[25:33.170] 坐车可以吗？
[25:35.290] 只要不改变外观颜色随便折腾。
[25:37.760] 好。
[25:39.820] 刚才这个问题
[25:41.350] 让你的
[25:42.640] 我就跟您联系。
[25:44.960] 快乐。
[25:48.130] 要不我干啥了这。
[25:53.950] 您这不就算了，这里面拿东西。
[25:56.720] 不超三节，我今天上午查指标没出来，然后我一会下午再查一下。
[26:02.450] 哪个挂了？
[26:08.680] 这可比黄的好太多了，肯定不是那套锅。
[26:14.560] 多用途电火锅，
[26:17.320] 这可好了，客户叫啥？
[26:22.970] 巴特。
[26:25.110] 真行。
[26:26.990] 不是黄的，我给人家打电话。
[26:30.240] 我也黄了。
[26:33.180] 你黄太欺负人了吧？
[26:35.310] 我觉得你买棉麻，
[26:38.090] 咱他妈不是软吗？
[26:40.270] 没这他
[26:43.970] 检视小熊多用途电火锅是吧？有几个调调我数一下123456789 10个。
[26:52.890] 不全是吧。
[26:54.020] 是1010个。
[26:55.960] 才10个。
[26:57.840] 拿一个回头，那待会您跟徐歌顺势。
[27:01.090] 我得携手你到徐哥那一块说去，我不能不管，事儿不去，
[27:06.100] 你不去我就不让你拿，brother。
[27:13.590] 行你尽量让客户打300行了。
[27:18.990] 把这东西给客户完了，然后打分呢。
[27:23.900] 把图片倒
[27:25.500] 可不呢。
[27:28.130] 后门那时候客服就是傻。
[27:29.780] B他没法本来就没有由他们那选项非常
[27:36.590] 变化。
[27:38.600] 的
[27:39.830] 的
[27:41.000] 的
[27:43.470] 还没有。
[27:52.150] 宁波
[27:52.950] 多一点点，现在比较火的那种可以走了是吧？名称。
[28:02.950] 马上到前台还
[28:08.260] 这个可以放里边，这可以直接开后备箱吗？还有我哥特别了。
[28:18.810] 你
[28:20.630] 你把名片放好了，你告诉我在哪？
[28:24.080] 我给您手机等等。
[28:26.470] 这里查一下是吧？对三条以上。
[28:29.140] 我们现在脱氢泡的比较00牌没放到位置都得发扣，你点儿发明没什么。
[28:35.360] 是吗？
[28:37.010] 已经我们拿到了好几毛钱，
[28:40.410] 等到了
[28:41.320] 灵魂在车里，再放到下面就按12分裤，
[28:44.840] 应该不会扣您8号拿到，我肯定不舒服，我就说您。
[28:50.830] 您盘点了，真的有啥问题平台必须放到位。
[28:54.430] 跳你说不用跟你说，你反映问题刚刚都摆在那儿了。
[28:58.340] 我觉得你没了我也扣你。
[29:01.230] 来我就。
[29:02.430] 敢肉的哪个说说导航。
[29:07.810] 脑子现在不行。
[29:10.190] 真棒。
[29:11.430] 高多少？
[29:12.560] 我觉得我不敢开，快开了，我走不到200米就得回来。
[29:17.540] 你赚不赚钱了，别把人家奔驰给撞了，知道吧？
[29:21.020] 跟我们探讨产的人，
[29:23.010] 您还有中石化加油站，
[29:29.510] 是哪家有间房？
[29:30.800] 运费加油站不是。
[29:33.090] 有石化加油站出来。
[29:35.370] 他给我们回信信托合同吗？
[29:41.450] 咱分。
[29:43.120] 直接去。
[29:44.900] 到时
[29:45.620] 10分钟以内就到了。
[29:46.740] 还是我上去开，有没有走？
[29:49.830] 从这么走，从南门奥迪那口出右转吗？直接就走南门走是吧？对你刚刚通知。
[29:56.710] 拿着第4空间就行，我现在加多少？
[29:59.580] 加300块钱够了。
[30:01.790] 放加码，妈妈都现在了，300多少不要加码，不用Java吗？
[30:07.870] 在外观肯定没问题问题。
[30:09.840] 必须没问题。
[30:11.900] 你跟我说一下，
[30:12.950] 你有肯定告诉你。
[30:15.250] 我贴车意思就这么开，车门应该
[30:17.480] 应该能穿。
[30:18.540] 没问题，没说意思。
[30:20.200] 我不行了。
[30:21.200] 我今天快递就可以
[30:22.900] 去下午联系完了，我下午就开始干活，真利索。
[30:28.210] 一点都不求你干什么。
[30:29.840] 我赶着上班了。
[30:31.240] 快点。
[30:33.320] 行。
[30:34.240] 忘。
[30:39.160] 看一下你们俩都进了。
[30:40.940] 三天差不多。
[30:42.310] 没有他骗你我没骗。
[30:59.880] 多彩。
[31:01.320] 你看都不一样。
[31:02.630] 就一张以后给你打电话，还有你拿了
[31:05.500] 行吧，你找个手脚都改房名，这边这都是的。
[31:43.280] 我刚才看看
[31:44.350] 张老师直播，
[31:46.790] 当直播结束
[32:11.660] 之前，
[32:12.520] 韩国
[32:15.770] 全写情况说明，
[32:22.140] 还不错。
[32:24.960] 什么意思？
[32:26.340] 期待就是你现在出现什么问题了，可能需要960块钱。
[32:32.570] 这贷款金额少了是吧？就对。
[32:36.120] 对不相关。
[32:37.850] 你
[32:39.840] 怎么写的什么？
[32:41.260] 还有什么？
[32:45.500] 兰陵王玩得很
[32:49.070] 对非。
[32:51.490] 我操手。
[32:54.380] 行
[32:56.160] 吗？
[32:57.400] 您好。
[32:58.870] 领导您说。
[33:12.290] 好好没问题，没有在店里搞。
[33:16.530] 谢谢您。
[33:20.160] 好了，周六见。
[33:21.520] 好了，领导，谢谢您。
[33:33.800] 后面这三个字谢谢。
[33:35.960] 第二，
[33:38.430] 姐前面那日期格式我写不进去，我也不知道怎么回事，我不会弄，我在后边备注了两两个日期，7月23就是今天的日期。
[33:49.150] 前面那两个是昨天邀约的，
[33:51.960] 然后这是今天要约的，所以显示7月23号了。
[33:59.680] 2760。
[34:00.940] 对60你就帮我算，一个是陈章志远一个致意。
[34:07.130] 反正202年内不练级了，现在一开车了，对。
[34:16.890] 但是置换还是拿标，
[34:19.430] 你们大概
[34:21.680] 置换的话，
[34:24.010] 一半补贴。
[34:26.920] 可以抵什么购车款吗？对。
[34:50.810] 购置税乘多少？
[34:52.220] 车价除以11.3×8.5%，
[34:55.900] 差不多都是27,000左右，车辆除
[34:58.430] 除以11.3÷11.3，对，应该是8.547%的一个税率。
[35:04.610] 然后再乘以八点几十不用就除的就是这个数。
[35:08.190] 除了1.3就先把增值税出去是吗？
[35:11.360] 就是说这边出去，然后再乘以八点几对吧？
[35:13.920] 就不用再成了两种算法，或者您乘以8.57%或者除以11点，明白一样的。
[35:31.200] 你12,000已经抵掉什么，谁知
[36:58.880] 他T5智远知道加419,900，
[37:02.860] 然后减93,000的优惠减120置换补贴，
[37:06.220] 传下来的优惠完的话，火车是314,900，购置税27,867，保险大概1万，这块这个时候验车是3000，合计全拿下的是355,000，我想问一下叫啥来着？
[37:19.600] 这个保险是比如说我要贷款的话，第二年第三年还要求上全险吗？
[37:24.780] 从来不让您上了全险，这1万块钱也是4项主险，
[37:28.020] 如果全险肯定不止这钱。
[37:30.070] 明白，然后什么比如说我们要贷款有什么GPS什么没有，
[37:37.460] 验车是什么钱，就是验车上牌一条龙的费用。
[37:40.990] 验车上班如果假设我自己不行，肯定得需要问题，毕竟4S店，第三是你们固定上的一些事肯定要挣的钱，咱刷说说明白这没关系。
[37:51.060] 然后后边是他能T541 390,900，优惠95,000-182置换补贴，整不能优惠完的话是283,900，
[38:01.030] 购置税25,123，保险大概8000多块，因为车价就便宜了，保险也会便宜一些，
[38:07.210] 验车的话还有3000块钱，合计全拿下的话是319,000全部拿下，我明白。
[38:12.660] 就是说咱就说这棵大树是32，
[38:15.110] 这车大数是355,000，这车还有的谈吗？没得聊了。
[38:20.030] 检查确实没得聊了。
[38:22.720] 最低了。
[38:25.360] 所以我看原来2020之1就说不含120，也差不多才29万这种。
[38:30.660] 应该是对吧？
[38:32.390] 现在的价格95,000，这已经是最低了。
[38:36.340] 这东西完全就没得谈了，不聊了。
[38:38.660] 咱们控制了。
[38:40.290] 你要说说算什么东西这都可以，或者说您说这些都可以，但是
[38:44.580] 这个钱不动了，
[38:46.220] 就是聊出什么了这钱就不动。
[38:49.890] 你其他还有什么就是说像我脚垫，像什么这个模块这些我可以送给您，这都没问题，但是这个钱就保养什么也保养的话是送两次，这个没问题，其他的只要这个钱是肯定不动，这个比方不算1万是303,900是吧？
[39:05.540] 30万
[39:07.650] 对吧？
[39:08.240] 305,098 295,900，
[39:11.080] 1+12,000是将12,000 959
[39:14.950] 12对20592959对吧？
[39:18.960] 我看看。
[39:21.460] 这个是2959对吧？
[39:25.660] 这是32693269差多少？差了
[39:32.720] 2万几十块钱对吧？
[39:34.930] 30块钱坐车多地视察了。
[39:38.750] 差3万多。
[39:41.090] 3万多了对吧？
[39:44.640] 因为您购置税和保险都差着钱，对。
[39:47.770] 明白。
[39:49.860] 贷款现在俩人什么政策，他是这样他是一样的吗？一样的，可以做两年首付20%，免漆也可以做两年收入50.7%。
[39:59.930] 我这事不能
[40:01.440] 你写一下可以，您写您都可以拿走。
[40:04.840] 两年20%首付对。
[40:13.750] 这俩都一样是吗？除了还有别的吗？
[40:16.780] 没了。
[40:17.970] 比如说我拉高就拉个首付就无所谓了，对吧？到50%可以
[40:23.350] 在网上就熄了。
[40:26.760] 而且你这个是谁给的政策，这是厂家
[40:29.550] 银行签的总对总的飞机状况，最后事实比如说放款，谁放款是中国银行或者招商银行，这是银行，这就像这是银行系的对吧？对。
[40:38.440] 你说50以上就像是
[40:41.160] 也是银行系的，只不过就有利息了，反正就不贴息了。
[40:45.450] 我觉得
[40:47.470] 这个事情为了什么？
[40:49.580] 不让老百姓买，对，所以说他没有手续费的话是6000块钱，
[40:56.840] 两个都6000都是6000。
[40:58.750] 一次性的是吧？
[41:01.070] 6000。
[41:02.120] 有钱6000就一次性的。
[41:06.130] 这样然后比如说我就可以简单，就是说比如说是
[41:11.550] 计算价格要是以为基础，对，他是以您如果有置换您就以如果没置换就我就以
[41:20.290] 以前是这个数
[41:22.980] ×80对吧？
[41:24.750] ×80，然后÷24对吧？
[41:27.010] 乘以，我可以这么理解吧？
[41:28.690] 对，除以24个月月还的话，
[41:31.660] 10,496。
[41:33.350] 我明白。
[41:36.050] 这个事反正一一到时候
[41:40.180] 就车本我押给银行，
[41:41.780] 不压东西。
[41:43.380] 只能做的是信用类贷款，不压正就利润也不押不押什么。
[41:48.170] 你陈述就银行给我多条负债记录请进去了，对。
[41:51.540] 明白。
[41:52.600] 这政策一直有吗？还是说是这个活动的话是上个月和这个月有，下个月没有，下个月就在说了，下个月不知道，反而银行中行给的消息下面没有我明白。
[42:03.950] 反正正常按照您过往的惯例来说，肯定有这种两年免息的东西在里面，只是就是说首付多少，然后
[42:11.420] 对吧？哪些银行出的5票对吧？
[42:15.140] 手续费差不多就这个数对就6000块钱。
[42:18.480] 我问一下就说置换的话是你们店里评估是吧？我们建立评估他是什么事，是否要在民
[42:27.170] 我之前一直大树下等她多少钱吗？让他看车子里面去贴，对他在看车，必须得看车屏幕，到时候就直接开过来，就让他开回来就明白。
[42:36.590] 这个车大概后天保养，
