[00:00.000] 刚79性阶段接待着急的所谓到店看车汽车cd，
[24:02.500] 这就是对性价比最高的了，我是怕他以后后悔，我就想这回损失点钱，让他弄个我刚才跟哥哥早上说半天了，我说你要家庭使用你就买最低配，
[24:14.390] 你看我们还要。
[24:16.350] 也要上没有。
[24:17.810] 但是你看像我们员工外面去看，我们把全低开没有例外，
[24:24.030] 然后我们就要行，我们。
[24:25.610] 在后期庄园这个
[24:31.300] 因为有一个配置，现在跨境面子没有关系，应该特别。
[24:42.410] 动力是一模一样的。
[24:44.340] 都一样的，就是高功率的工具20都是一样的。
[24:48.360] 就怕配的。
[25:32.690] 我先讲。
[25:33.640] 谁知
[25:50.890] 还能收定金吗？
[25:52.200] 能做到。
[25:53.200] 你要刷卡的。
[25:54.090] 过点了，我稍后仔细
[25:57.120] 做点了要。
[25:58.720] 你帮我们了。
[26:00.610] 破点了穿透了，没事，这块杀了真受不了。
[26:05.700] 双外观。
[26:06.710] 外边的话帮我看一下。
[26:08.790] 没事没拿到。
[26:10.670] 让的。
[26:13.530] 过
[26:15.240] 了。
[26:17.170] 我没找着那只鸭子。
[26:20.760] 我写。
[26:24.880] 我看我没找着那只鸭子去哪吗？
[26:30.280] 还有您。
[26:31.590] 是刷卡是吗？
[26:32.880] 我那装在你我肯定。
[26:35.210] 你得把包里的。
[26:36.470] 那卡在什么在里边吗？那天都在里面。
[26:40.040] 我马上拿去多少钱？
[26:44.020] 一半我告诉你一下的。
[26:49.060] 爸爸你在这不签字。
[26:50.980] 这千差一点点儿我。
[26:53.810] 去拿包的kelly包在这放着钱，我还是前天。
[26:57.030] 书名说的恰恰的那个字。
[26:58.990] 稍等。
[27:07.880] 今天几号？
[27:09.220] 99是吧？恰恰票。
[27:22.720] 好了，马上26
[27:24.120] 三
[27:25.400] 三。
[27:58.630] 微信也可以是吧？
[28:13.320] 刷pos机吗？
[28:15.810] 都带到这儿来了。
[28:16.920] 重要是吧？
[28:18.440] 就来这儿刷。
[28:19.300] 二
[28:19.710] 他自己不知道是不会操作，还是总理说
[28:23.410] 他就是不容易了。
[28:26.660] 你来说给他跟走。
[28:27.910] 走了这耽误事吗？
[28:29.560] 咋回事马上他了，他去南方了，
[28:39.530] 我没找着那小猫。
[28:41.880] 有点什么样？
[28:44.670] 你不能我就想到这个。
[28:47.590] 朋友我的pos机。
[28:50.000] 我还要
[28:52.020] 在这抓别的拿走。
[28:53.850] 那会说
[28:55.790] 拍的时候没有。
[29:01.120] 还有亲爱的
[29:04.180] 点开始的，
[29:08.010] 有阳光的了，
[29:10.370] 被我吃了。
[29:14.000] 说的拿了，要不然
[29:19.100] 看到好多人都要争正常的投诉。
[29:22.620] 其实有的看看，然后他接着就行了。
[29:27.510] 来接我。
[29:34.080] 不用。
[29:40.800] 还要他
[29:41.670] 介绍一下。
[29:42.780] 7点。
[29:46.320] 信用卡行是吧？
[29:47.680] 谁知。
[30:01.080] 在哪搁着？
[30:02.240] 贴上就行。
[30:04.840] 疏远
[30:31.560] 交易失败。
[30:58.630] 行是有名的。
[31:00.190] 银行卡，
[31:08.970] 请。
[31:09.940] 请输入密码，
[31:30.240] 交易成功，
[31:35.030] 到清明，
[31:35.740] 谁知
[31:37.550] 谁知。
[31:44.950] 拿
[31:45.990] 马。
[31:55.790] 不知道。
[31:56.760] 就找到了
[31:59.340] 上前抽。
[32:00.810] 上有钱收了吗？
[32:02.900] 不是的是吧？
[32:07.040] 马
[32:09.040] 你的观点。
[32:16.150] 微网的
[32:17.580] 行动都会溜达出去了。
[32:21.010] 我不太欢迎你了暂时。
[32:24.050] 那边我们要秒杀的多。
[32:26.720] 车架号。
[32:28.420] 名单哪儿？订单号没有80多少到底哪有没有？
[32:34.990] 8034。
[32:37.870] 什么名单什么的就18。
[32:42.240] 就完了。
[32:43.160] 12号行不行？
[32:45.240] 写什么车？
[32:46.950] 将名字。
[32:49.160] 72这100这样还不知道的意思，
[32:53.960] 是不是这一点给我订好了，有精神。
[32:58.110] 金融系我订好。
[32:59.790] 了贴。
[33:00.650] 天哪搬家了我肯定不好一下。
[33:03.600] 搜死你好好休息。
[33:06.960] 他回来给我签字。
[33:13.120] 稍微欺负。
[33:22.800] 因为这个还能改高配什么呢？
[33:25.570] 300 300多。
[33:27.800] 300栋板式就是说我媳妇还是其实我俩就纠结2260栋还是400栋，
[33:35.390] 三送你那什么，你先考虑手。
[33:39.030] 考虑明天再告诉我，对，因为你变成价格得变化。
[33:43.670] 下次就得变动，我考虑一下您考虑明天告诉我，我觉得您20我觉得反正你选择是应该没那么大，
[33:52.110] 因为你其实说白了你300的话，
[33:54.760] 你凄凄你花了5万多块钱，其实你有4万块钱刷的就买了动力，
[34:00.450] 你就买了动物园，别的你有什么样的缺点给别人看，一会自个看着先刷，
[34:06.610] 又都在那配，这也没别的了。
[34:08.750] 影像它
[34:12.710] 然后他租了一个多了一个四毛委员进入，其实我觉得要什么现在都能用。
[34:19.150] 看见了。
[34:22.760] 的反应。
[34:59.120] 能用的话，
[35:05.880] 问题在哪？我在客户去刷卡，
[35:16.910] 你说谢谢你们这边。
[35:20.310] 然后兄弟双那就车那个
[35:24.350] 咱们直接过去。
[35:25.890] 我先不给您先着，因为明天天下班了，我们盖章给您。
[35:36.450] 看车或者
[35:37.270] 人生你说打不着火，
[35:39.160] 因为当时不着你了，没事儿没修成的刀直接过去洗车这。
[35:43.560] 方面是通过之后
[35:45.940] 这个没有什么延保服务，没三年以后延保有后期这周特别我们这有专门处理吗？我告诉你想一想。
[35:52.290] 现在做的都挺多了，延保的跪了多少钱？
[35:57.120] 说613年能延多久？
[36:00.770] 房子也是三年。
[36:02.440] 员工
[36:03.160] 稍微
[36:04.200] 上班，
[36:07.130] 你不要把银行卡
[36:08.950] 做不到跟你说。
[36:15.120] 对，今天都紧张了。
[37:14.330] 我在下面等奖，
[37:44.900] 看看用户2万块钱，
[37:47.730] 就400 25,000。
[37:49.240] 五，然后你说一下43您刚刚来临是这样吗？应该？
[37:54.910] 三天刚刚过万多多多少？11？
[37:59.790] 八九月份。
[38:01.000] 9018。
[38:03.410] 没有这81万多不是。
[38:06.950] 您多少必要啥是吧？不您有规划吗？还有一半
[38:13.770] 的车道广告。
[38:16.170] 21点了，现在应该说这边看一下正常权限毛钱，说把它低配的动感分期计划，
[38:24.130] 然后给异地
[38:26.580] 250万。
[38:30.250] 看看
[38:31.880] 没法使用的介入，
[38:34.880] 你得让着掖着，他们没销售，
[38:39.210] 您得排队有没赶上？
[38:43.330] 走了吗？
[38:44.860] 了。
[38:50.090] 不要
[38:54.370] 142
[39:04.780] 谁知
[39:08.280] 往上走，
[39:15.200] 来。
[39:16.880] 短的。
[39:18.700] 说说说不定。
[39:21.120] 看着我忘记，不能说衣服对您说的不信说话，
[39:27.990] 你看没事那不用了，这完事以后。
[39:31.950] 跟他说完了，他就赶紧第二什么考虑气势。
[39:34.960] 上午11点了好多天。
[39:36.460] 不少没有，你让女儿。
[39:38.280] 我他妈跟电灯泡在后边。
[39:39.760] 成交了
[39:40.750] 就行。
[39:41.630] 我心里不明白，我就是你聊天的，
[39:45.420] 我没有让他二
[39:47.100] 带着我在满仓厂子转转不就完了，把它
[39:53.480] 完了就完了。
[39:55.650] 赶紧让他走一天也不会这么看。
[39:58.460] 等
[40:01.070] 了。
[40:03.910] 的
[40:07.690] 你这不是只读吗？刚才我打开我那可不知道谁，你这现在没啥。
[40:12.550] 我打孩子没提到煮，你看我觉得。
[40:14.910] 这边他麻烦。
[40:16.770] 只能多号也有。
[40:21.600] 我说
[40:22.890] 你估计大家还有
[40:24.640] 做一个不是那个表多。
[40:27.210] 吃都没多少。
[40:28.800] 玩着
[40:30.090] 谁知。
[40:33.950] 对。
[40:37.090] 谁知
[40:39.900] 谁知
[40:42.820] 谁知。
[40:56.990] 场。
[41:03.040] 的
[41:07.340] 数据
[41:11.460] 场。
[41:13.830] 句。
[41:18.900] 的
[41:23.910] 的
[41:28.730] 到
[41:33.410] 的。
[41:34.760] 什么时候找你能激发？
[41:39.300] 我让他5天之内必须交全款，把
[41:42.990] 把什么给批了？
[41:44.710] 贷款给批了，不行我给打个协议先给他签了，用药。
[41:49.310] 他说等着你们这对
[42:02.280] 着了。
[42:07.030] 这东西找到了，
[42:08.670] 要是这样，因为说刚才我们领导多少都不清楚了，并不竞争。
[42:13.720] 两
[42:16.270] 谁唱？
[42:21.210] 公示价格。
[43:35.940] 保护好自己，
[43:39.600] 的
[43:43.410] 真的
[43:44.130] 刚
[43:46.400] 场
[43:54.470] 二
[47:10.920] 二
[47:12.280] 二
[47:16.710] 五
[47:19.130] 号
[47:22.250] 的
[47:33.710] 种着行，谁知
[47:36.780] 车的交车和提车时间你写的是24，就是说咱们有个余量，万一我出差，
[47:45.730] 然后可能就25号行。
[47:47.620] 我一号给咱周日，我是跟今天是的。
[47:51.320] 有什么忙不过来？
[47:52.510] 我怕我24号
[47:55.680] 真是咱20号的东西出来，因为我这只用两个小时，我万一出差我就得25号，
[48:01.280] 这个事儿我在旁边实战离开了，怎样都行，然后对我刚才跟吴老板也说了，交车就是你说给交车，行行嫂嫂这30秒对了，走完了OK。
[48:11.750] 行，
[48:12.700] 你给我打电话。
[48:15.540] 等等。
[48:20.380] 看这边。
[48:28.730] 好了都输完了，你直接出来可以了，好了，谢谢。
[48:31.580] 慢点唱歌曼姐，阿姨慢点，对快点儿，三谢谢没事。
[48:37.390] 有点。
[48:42.680] 妈气死我了。
[48:45.930] 说说11点到了我现在的
[48:48.760] 对吗？是吧？
[48:50.380] 去交进来真了，一整天定了，
[48:55.460] 我能让他走吗？
[48:56.980] 还走从哪走的意思吧？
[48:59.300] 走不了他，我把他包给藏起来了，什么呢？
[49:04.640] 的
[49:06.730] 这样
[49:09.460] 没买的客户，然后我跟聊两句话，
[49:12.810] 估计真是咬咬牙买了，
[49:16.400] 真不容易的。
[49:18.150] 有钱有点钱多，不是特别多，能不能买？
[49:22.680] 就这样这种接应在
[49:24.600] 回头给你聊一聊。
[49:26.760] 他刚订的。
[49:28.960] 12分。
