[00:01.270] 接待首次实现了，现在开始。
[03:51.400] 综合优惠差不多能到5万块钱左右。
[03:54.940] 39万多
[03:56.770] 减去5万34万多，
[03:58.920] 可能办齐了又回来了，差不多加上税保险什么的。
[04:03.260] 详细的如果说您觉得能接受，
[04:05.870] 但是我可以给您算个报价，到时候您再看看，但这时候预计到港日期是7月6号，
[04:11.720] 这是预计的，然后到港在港口在做检测，有时候再发过来我们再催运的话基本上差不多是在
[04:18.310] 快的话7月底，慢的话就得8月中旬左右才能回到店，大概就这么一情况。
[04:25.250] 您要置换的话，您这边现在用车什么车开的感觉怎么样？
[04:29.480] 我现在的
[04:31.190] 得每年的8 10年11年的卡罗拉，卡罗拉可能你要想置换，首先店里有免费评估，可以给您做一评估，
[04:39.110] 觉得合适您就放家里，不合适到时您可以自己出去卖，这都没关系。
[04:43.000] 然后可能刚才也了解了您的借款的C您也想了解一下展厅里这款的C级车是属于C260L是属于国产的，您那款C旅行属于进口，对。
[04:54.190] 但是这款车的配置其实你要说家用来说的话，像金女士开可能您上下班代步用吧就家用是吧？
[05:01.820] 谁知
[05:03.180] 后备箱那种
[05:05.100] 他确实在
[05:06.390] 国外卖得还是非常好的C旅行，而国内的话因为性价比来说，国产的可能稍微好一点，价格便宜一点，
[05:12.930] 比它性价比来说更合适一些，但看您个人喜欢的这款车来说的话，
[05:18.030] 他俩基本上配置上来说是差不了太多的，基本上都OK。
[05:21.960] 你要喜欢这款，他现在办齐了，大概在三十一二左右的价格，就您全都办齐了。
[05:28.510] 差不多是这个意思这样。
[05:30.900] 然后配置上您这边有什么特别要求吗？
[05:34.290] 这就是内饰稍微早点，然后其他的一般就是这样。
[05:38.660] 配置上来说，那是上来说跟这个风格是一样，
[05:42.040] 联名屏幕连着的C汽车都没有，你要买的话要不然就买现在的A和B还有E级车都玩那些的都有，现在CIC这些都是没有的，
[05:53.830] 然后交易就有了，什么时候会出这种不知道，我们也不知道他就是连平看上去来说视觉上的号打的都非常好做。
[06:02.970] 您这是想什么时间报课最近吗？你先看看。
[06:07.940] 先看看，然后回去商量再定，然后其他品牌可能你也得在比较对，就想要这个牌子。
[06:14.120] 对，要奔驰的。
[06:15.950] 您大概
[06:17.760] 能够来就能优惠多少，我看这块是9万多是吧？这是厂家指导价是346,800，然后我们水瓶价格不是29万多，但那个价格只是优惠了一部分，
[06:28.200] 如果你要成交的话比29万多还能再多优惠，它是这样。
[06:32.940] 但是这车厂商指导价，包括您从奔驰官网汽车之家上看，它的指导价都是346,800，
[06:41.560] 然后颜色这方面，因为C旅游我再给您确认一下，我们也有私驾车的，我不知道他换没换，要没退的话，你要想私下可以安排一个事假，
[06:50.640] 但ct车咱们是有私家车的，国产的这车没有是吗？有私家车你要是想感受我就可以感受，因为这俩车的发动机变速箱来说都是差不多是一样，这个车我开过，这我哥们是所以我挺喜欢这个的。
[07:05.440] 反正你要说想深度地感受一下，
[07:08.000] 咱们再约上午10点或下午这都行。
[07:13.530] 我带您再看看盖板的颜色行吗？然后您看能不能接受，不能接受就买白色的是什么颜色，这叫总统时。
[07:21.440] 原来世纪才有的颜色，现在是C再见就被200有这样。
[07:27.220] 也有这样大概多少钱？C200跟外观尺寸外观上来说都是一样的，那款的话是315,800，
[07:36.030] 大概全下来差了
[07:39.360] 3万块钱左右，两三万块钱差不多也是这样。
[07:42.760] C200跟比来说地面发动机不一样，C200是一点武器的，然后这款是1.5，T+480度轻微混吗？
[07:50.090] 然后发动机上输出功率上差了20千瓦，这个是135天内动力什么的无所无所谓那就行，然后配置上来说再跟您说说，
[07:59.150] 天窗是一个
[08:00.990] 那个是没有天，那是小甜圈大链条，然后这个位置不一样。
[08:05.760] 座椅记忆。
[08:07.360] 如果座椅记忆那个没有，
[08:09.360] 前面这个是店的都是电桥，然后有钱买贵价车没有，然后氛围灯
[08:15.910] 这款车有氛围灯他也没有，然后这款车因为它概括完了以后，今年概括完以后它增加了一个电动尾门，
[08:21.680] 说这款车有电动尾门广场没有药店吗？
[08:24.970] 就是这个位置。
[08:27.160] 对。
[08:32.830] 可以吗？
[08:34.500] 耳朵你要是说按锁车键它会自动收回，
[08:37.500] 按所的电话会自动。
[08:41.080] 抱歉我接个电话。
[08:43.440] 为
[08:55.860] 我之前用ASP做的，
[09:00.390] 对。
[09:02.190] 现在打不了。
[09:04.270] 谁知
[09:05.590] 没有拜拜，
[09:08.820] 拜拜。
[09:10.640] 抱歉昨天没事，我想问一下出于您这就是给我们推荐这是200合着200推荐的地方，
[09:19.850] 您觉得我刚才跟您说那些配置，您觉得有都不重要，能买C200是吧？
[09:24.510] 买200不够，对，因为说实话空间上舒适性上所有东西来说都是一样的，
[09:29.740] 对吧？你看变速箱也都是9速的，比如说大街上没什么太大区别，能接受你买到C200是吧？
[09:36.380] 你要说这些功能配置对你来说有用，那你就花个两三万，没用的话两三万块钱，后续您保养也能保养和
[09:43.300] 加油乱七八糟也够您用了几年了，是不是？
[09:46.500] 因为
[09:47.660] 买车就是什么，您能您的需求
[09:50.200] 够用，这车就能OK了，对我就要一个样子，对人的动力什么都没什么，大概那就行了。
[09:56.510] 对咱们就城市里待不OK了，
[09:59.520] 然后我给您带您看看盖蓝色的。
[10:05.970] 他只有1.5亿，C的话现在都是1.5T的，原来最早的时候卖那会儿就C的200在大街上跑比较多的，
[10:15.780] 那会儿的话都是2.0气的，但是两年的时间奔驰C260已经卖了两年了，全都是1.5，T加成了大概多少钱？6060多，对，但是现在也能让个5六万块钱差不多。
[10:29.040] 一
[10:31.170] 咱们加一个微信行没问题，回头有时候有什么需求，到时候您再联系。
[10:39.360] C旅的C里的私家车应该退，C旅的自驾车应该退了没？
[10:46.750] 我不是很喜欢那个车博赛，里yy当时我媳妇比较喜欢外观其实挺好看的。
[10:53.280] 889尾号。
[10:54.880] 这是盖。
[10:56.000] 喜欢对就是深蓝。
[10:58.630] 目前好像。
[11:00.910] 在这有吗？
[11:06.650] 我想想这没有星辰咱好看。
[11:09.780] 乌克兰就是了。
[11:14.200] 原来我们下头有一白的，
[11:19.150] 网上查过吗？
[11:20.870] 网上我都看过吗？
[11:23.320] 就没看过实车是吧？
[11:26.920] 我操这CPU上哪找的？
[11:29.010] 想想。
[11:34.240] 东至东至
[11:38.960] 同志收到了董同志，
[11:47.080] 董志收到吗？董志同志？
[11:59.120] 对，没有坚持要。
[12:00.790] 后边你去。
[12:02.660] 后面了有C旅吗？
[12:05.110] 没有sim的灰的卖了是吧？我看到。
[12:10.120] 我给你查一下图表，你等会儿。
[12:55.260] 说。
[12:59.250] 坏。
[14:36.580] 什么你卖cd开走了吗？
[14:46.870] 没开走了C
[14:50.360] 在后边那个车场了是吧？
[14:53.850] 行。
[14:54.680] 好了，多谢好好来。
[14:58.530] 帮我拿三门坡，常温的话结尾就行，谢谢。
[15:06.680] 的
[15:19.610] 第一点，
[15:21.320] 谁知
[15:23.800] 我还以为你没来过来
[15:25.840] 了
[15:29.590] 了。
[15:31.150] 一般
[15:32.040] 给您二位喝点水。
[15:34.850] 好勒，我带您上后面车场转一圈。
[15:38.390] 后边车上有一个卖了还没开走，是个cd，但是他颜色时抹石灰的，您看您能不能。
[15:44.660] 对，先看一下8点。
[15:50.360] 我跟疫苗
[15:52.550] 不用了。
[15:56.090] 草头芳构他们想想。
[16:11.590] 把你
[16:12.360] 你们把
[16:13.710] 握一下。
[16:39.640] 稍微走一会儿。
[16:40.800] 在后边说啥？
[16:42.610] 行。
[16:45.890] 平时你是用的多是吧？
[16:48.020] 您平时还是女士用的比较多，对，我那车该换了。
[16:53.030] 时间年头太长了，稍等，然后再倒下给你找我一下。
[17:11.760] 摆在那之星
[17:14.080] 摆在里面。
[17:41.220] 昨天看见
[17:43.000] 会的U型。
[17:45.870] 没车了就那台车了。
[17:48.170] 他过两天有可能会来一台拍卖车，
[17:50.990] 拍卖车就厂家拍回来的价钱应该还行，
[17:54.970] 但是就有公里数，
[17:56.700] 你要想要完美就别考虑，
[17:59.960] 要是正常点可以，
[18:01.880] 刚刚便宜多少不知道，现在前两天说
[18:06.280] 每一批车都不一样，看车况是吧？窗好，但是比正常确实能便宜得很多，
[18:11.820] 就说优惠个5万，他没准到8万左右，
[18:15.640] 88万多没准等于是到您这，然后咱们再定价是吧？
[18:20.730] 对，我没看拍回来多少钱。
[18:35.160] 白色中间有。
[18:39.160] 对。
[18:44.330] 还没看见。
[18:45.520] 交不交是的是吗？
[18:46.910] 完这时没收归根cos这俩色一样。
[18:54.410] 咱这卖了，
[19:02.740] 老看看。
[19:03.740] 后边看看。
[19:14.170] 但这几把登门真的不觉得不好看。
[19:17.430] 然后这个东西
[19:19.430] 整理了
[19:20.980] 特别丑，
[19:25.200] 原来咱们这有同事后来离职了，叫高磊，我们俩都不喜欢这个车，
[19:30.330] 颜色，
[19:32.040] 就喜欢这什么社会。
[19:34.470] 那哥们也是现在回内蒙奔驰天上班，
[19:42.050] 行吧商量您看看。
[19:44.480] 其他的没有问题。
[19:46.460] 短时间能到的是盖蓝盖石栏，然后白色的你可能等的时间会长，因为那个车现在还没有显示到港了。
[19:55.260] 查阅
[19:59.170] 也到不了。
[20:00.450] 漂洋过海的怎么着得三月三个月左右，
[20:07.840] 我们回去再商量。
[20:09.080] 行，您这院里还有其他品牌还看过吗？
[20:12.090] 我一会再去一趟奥迪，您就爱您车停哪了就停门口了。
[20:16.920] 你从这边也能过去，然后因为登记是您电话，然后明天可能给您做个回访，您一般接听您上午方便下午方便。
[20:25.800] 上午几点我不会刻早打扰您，后续的话短信微信咱俩有微信，有什么问题咱随时沟通就行，然后您离场的时候别忘了，
[20:34.670] 要临走之前扫一个二维码，要不然院里给收费好好吧？是什么？比如您在奥迪那要扫完了先别输入车牌号，
[20:42.760] 您车以后把书没事，或者您输了也行，输了10分钟之内您可以躺着就好好，没事。
[20:49.560] 感谢光临。
[20:55.040] 你觉得
[20:56.050] 大家都
[20:59.640] 所以说我们接这种一般感受就说刷客有一天能揭示了，
[21:05.040] 那会刷客流有钱，
[21:09.310] 就这种的，你说你还聊什么？
[21:12.040] 人家来看好车型什么都看完了。
[21:14.890] 这有车没车的事。
[21:18.030] 然后买和我买的是
[21:20.450] 就开着私车肯定是一骚肉的，
[21:26.420] 所有的车正面看都行，侧面看也行，后屁股看有没有一个好看。
[21:32.600] 对。
[21:34.650] 你就是CS I
[21:36.680] 什么玩意儿？
[21:38.420] 就这次我所以说标准BP走吗？
[21:40.980] 所以我说我们就正面看侧面看都行，
[21:43.940] 只要从后面一看就
[21:46.830] 对这车就没感觉了。
[21:52.370] 怎么不想买？
[21:54.290] 也不配。
[21:57.640] 是因为什么厂家生产线紧张，
[22:01.230] 差不多。
[22:04.890] 这不是之前德国工厂都关了吗？
[22:07.760] 是不是最近才开？
[22:12.720] 不过这家如意来说还可以
[22:15.460] 的。
[22:16.750] 的
[22:18.060] 马路
[22:20.500] 吃喝，
[22:22.970] 你要不让我快乐，
[22:25.000] 转向嘎嘎响。
[22:27.240] 真的昨天我打轮打的，
[22:31.490] 那么转向都报警了，
[22:33.660] 而且是红灯，不是黄灯，
[22:52.950] 的夜景很
[22:55.550] 哼哼奔奥迪。
[22:58.330] 好的感觉。
[23:06.720] 不过apple的话更便宜，
[23:10.890] 37万多低配。
[23:13.000] 2016四驱
[23:16.680] 刚才起身就忘了收那多了，
[23:19.190] 还有杨哥没看见，看见又死了，
[23:22.410] 提醒我的。
[23:29.330] 来。
[23:30.420] 财务你说话方便吗现在？
[23:33.480] 方便写您说。
[23:35.030] 一句验车的换药中
[23:39.720] 应该有问题，您
[23:43.210] 我怎么做能做对怎么
[23:45.600] 说？
[23:48.020] 我们财务这边的产生报表就一正一负，
[23:52.500] sd123报表就一个负的
[23:57.740] 我想我帮你们来做，但是我去请教请教您出来做。
[24:04.250] 比如说你原来已经采购过一回了是吧？我想把你现在再给返了，取消了我现在已经取消了，如果我再重新做的话，我还要
[24:15.540] 我还用你们原来采购申请订单来说，采购才叫什么劲？
[24:22.450] 采购创建采购单子，还有现在采购的想法，
[24:28.420] 我听了以后
[24:30.420] 再说一点，
[24:32.000] 他不让我保存一点，他说这错那错了，我还多说了，我这边就
[24:39.600] 说
[24:40.870] PO谈分数具有串帖的。
[24:44.300] 还有写的是物流什么幸福有吧？对，我那会儿点
[24:50.470] 我点了半天也是姐，
[24:52.660] 我怎么给
[24:56.500] 只能问st老师这个
[25:00.270] 怎么操作。
[25:01.790] 所以说当时我操作了，您这跟我说完了，我做了两遍还是三遍，两遍最起码得两遍，对。
[25:09.010] 对，但是最后还是错的，我都服了，他俩还是不一致的。
[25:14.380] 所以说我也请教过我。
[25:16.650] 请教过我们这边群里那些老师也都问了，他说叫我那么做，
[25:20.800] 我做完了您这说还不成，我就不知道怎么。
[25:23.300] 做了太后。
[25:24.080] 这不一致，对以后做了以后报表不一致。
[25:27.880] 大家都知道除了倒是看。
[25:30.100] 看看屏上留着看1正1-11正一正一负的感觉是被危险，但是知道他俩报表为什么不一致。
[25:38.930] 我就不知道了姐，要不然你问问您那边行。
[25:42.750] 你问问老师，我们这边老师对我们。
[25:46.910] Sp群，但是我不知道你们那边
[25:49.430] 财务有没有。
[25:51.680] 这个不是财务的问题，还是呢？
[25:55.970] 还是sp上的。
[25:57.770] 你有st老师的电话吗？你们这边因为我这有好几个，我想我帮助了多得了，要不好几个我还更把它们一个人做，行，我。
[26:10.940] 给你个电话。
[26:11.650] 我给你发到企业。
[26:13.620] 行行没问题，好没事就。好勒拜拜。
[26:38.990] 两
[30:29.910] 现在弄了。
[30:32.920] 发邮件，
[30:36.150] 制作名片，
[30:43.880] 自己
[30:48.490] 电发一手机号，
[30:52.230] 只能做
[30:53.420] 工号。
[30:54.560] 公司的。
[31:06.440] 还有问题。
[33:31.690] 知道拿手续在哪吗？
[33:34.790] 新车手续。
[33:37.120] 就这里边那贵了。
[33:38.690] 一打开
[33:39.680] 哪最里边回来？
[33:42.570] 一进销售行政，
[33:44.340] 这边
[33:45.440] 100人四五个人，他们就那天拿订单，对订单下面有两个盒子，
[33:51.050] 一会你上去帮我拿一首叫王丽，
[33:53.910] 验完车的摇篮车的叫王力行，
[34:02.160] 现在
[34:03.720] 下去
[34:05.250] 后
[34:09.450] 王丽是哪个毕竟
[34:10.960] 好不好？
