[00:00.000] 接受培训接受
[08:22.640] cd是吗？
[08:28.440] 其实这个东西只能您自己过来，
[08:33.810] 跟我们师傅是车把上是出来给你检查，
[08:38.090] 因为这东西一个人一个厅法，
[08:41.560] 等你来的时候给你是吧？是你过来吗？
[08:46.720] 还是别人过来。
[08:49.130] 行
[08:55.670] bye bye。
[08:57.710] 我带过去。
[08:59.310] 行。
[09:00.430] 车没洗，因为有胶带全部给你。
[09:06.820] 在车间入口。
[09:08.600] 目前入口
[09:11.440] 的。
[09:12.800] 他给你下挫。
[09:13.880] 不久后面的套餐不利，是不是感觉下来他一。
[09:18.540] 真的是他是电子版的。
[09:20.890] 有事你再联系我就全弄完了。
[09:27.240] 能。等我一下吗？
[09:29.890] 你可以你稍坐一下，你说好。
[09:33.680] 这太忙了，您先说。
[09:36.930] 你上午给我打电话，您是有预约的保养是吧？好的。
[09:46.950] 你稍坐一下。
[09:52.890] 号
[10:00.970] 往往。
[10:16.040] 一
[10:18.420] 花。
[10:25.270] 五
[10:29.430] 一
[10:31.050] 的。
[10:41.440] 数据、
[10:42.630] 数据、
[10:44.640] 数据
[10:45.630] 数据
[11:01.640] 数据、
[11:29.080] 等会过去我过去。
[11:32.770] 数据。
[11:38.240] 15号了吗？
[11:43.870] 他弄完了吗？没有了吧？
[11:46.180] 我看刚才打仗子放心玩去吧。
[11:48.740] 打包这个工作都是
[11:53.890] 好热，我跟你着走了。
[11:57.090] 把他车收多少？
[12:01.340] 稍等一下就好了，给我打电话怎么了？
[12:04.480] 洗车的OK这个不用早点课堂了吗？
[12:15.330] 手机
[12:20.220] 高。
[12:25.620] 坏。
[12:30.280] 了
[12:37.760] 花
[12:43.250] 数据
[12:48.690] 场
[12:56.330] 把
[12:58.880] 数据
[13:01.350] 数据、
[13:22.110] 数据。
[13:24.280] 现在完了走路去，但是没有特色。
[13:30.240] 明天
[13:35.090] 房子也下来了，
[13:36.380] 一个月1万多，你要是必须要走。
[13:40.510] 第一次以前那市里边补充吗？对第二个。
[13:46.380] 所以现在明年来说没有
[13:50.220] 看
[13:51.340] 这就是
[13:52.440] 写大一点。
[13:53.970] 年以后在
[13:56.450] 修养好
[14:01.670] 在哪等？
[14:03.180] 那么这个时候
[14:04.790] 看看
[14:05.670] 中文的你心里好吧，他在这搞起来然后填一下，
[14:11.190] 对吧？
[14:12.610] 那就这么着，等等回来我给你打电话，
[14:15.490] 玩好了慢点，你顺便还是关键刚才我说
[14:19.710] 坚强结果这不要超量，早点了，400多块钱一个单位行25,000，
[14:29.850] 这都没事。
[14:32.040] 对吧？
[14:35.680] 好的。
[14:36.960] 可以说赵刚说型号讹上额度大的。
[14:44.130] 明白了行没问题，你问一下要是不行的话就这样，行，好明白了，最好没有。
[14:50.170] 好勒好了，OK慢点，好，我现在给你证据
[14:56.110] 了。
[14:57.070] 这个看到没有？
[14:59.710] 好。
[15:03.680] 远远
[15:05.370] 场
[15:10.640] 场
[15:11.840] 场
[15:13.610] 场
[15:16.370] 场
[15:22.820] 场
[15:27.360] 场
[15:40.710] 五
[15:42.410] 了吗最近？
[15:50.310] 数据
[15:53.610] 的
[15:58.060] 三
[15:59.790] 三
[16:09.440] 分
[16:15.970] 号。
[16:22.370] 意外
[16:26.080] 二，
[16:31.810] 连续。
[16:44.400] 一会您可以在这吃个午餐。
[16:47.150] 因为咱们那53现在饭快记得一点了。
[16:50.500] 一会您看看去吧。
[16:52.660] 几点了？9点我估计还有可能是。
[16:56.150] 菜品不多了就。
[16:58.670] 应该还是。
[17:02.190] 不是在刷了，对深刻飞机我先把车弄完好。
[17:06.340] 然后再给您发，
[17:10.910] 然后您要去给我们捎回来。
[17:26.790] 怎么称呼您？
[17:28.800] 宋军还不错。
[18:02.920] 4848邮费，隔壁是个3分之，
[18:07.980] 大概45%。
[18:10.150] 没问题。
[18:12.430] 我看你们
[18:13.480] 让玻璃看一下。
[18:15.630] 合理。
[18:16.870] 我说那个不要
[18:18.160] 然后能把旧裂纹什么
[18:20.920] 好，即便帮我录一下看看。
[18:24.530] 到时帮你洗下车。
[18:26.340] 行。
[18:38.710] 你水箱太脏。
[18:43.470] 等一下。
[18:44.600] 不行也行。
[19:28.110] 你说好了，
[19:45.920] 我给他放一下可以吗？
[19:47.560] 没见马一样念完了之后他给我送个单子，因为他刚才跟我说。
[19:53.000] 他可能他那个问题检查不出来，还得要上课件趣事。
[19:58.120] 他说他是做遇见，
[20:00.090] 是吧？因为你这事我问他，我不需要他等着说不用等。
[20:05.600] 把单子我给你开单子，然后我给你说下费用，然后你就先回去。
[20:10.170] 查实后给你结果。
[20:11.370] 我主要要这单子号。
[20:14.370] 期待里面当时
[20:16.580] 平安文慧桥现在听见了，然后说跟
[20:23.090] 店名有时候电压低都报，系统电缆加也可以花心的。
[20:28.630] 电瓶我是救援的时候换了一个
[20:31.870] 基本。
[20:35.470] 刚刚。
[20:36.600] 完了。
[20:41.410] 那就得进车间了，您那个电话是17343146089。
[20:49.010] 换一个您驾驶证我用一下我登个记，在这儿不是先把这个弄完再弄这个。
[20:56.590] 驾驶证是吗？对。
[20:58.560] 你还要看驾驶证，对，因为在登记。
[21:04.080] 坏
[21:06.260] 点
[21:07.800] 的
[21:09.490] 吗？
[21:11.350] 电话。
[21:12.840] 句
[21:17.180] 您说完电话156156
[21:20.380] 11
[21:21.880] 1381806998，谁知
[21:26.880] 3.6。
[21:30.270] 咱们这次
[21:31.800] 所有的费用都是
[21:35.270] 今天晚上。
[21:40.340] 上次您是换了一个皮带轮。
[21:43.120] 换了刹车油、变速箱油做了一个B包养。
[21:46.150] 对的，然后换了火花塞。
[21:48.240] 这4年或者6万公里，
[21:49.840] 一个月不到了，但是。
[21:52.510] 对给您做A保养。
[21:54.290] 对。
[21:57.380] 对你好，不要说了。
[22:02.370] 你了。
[22:03.810] 今天
[22:04.880] 谁知
[22:07.500] 知道了。
[22:09.550] 来到我这里。
[22:14.930] 可以
[22:16.120] 谁知。
[22:18.280] 您是打算今天取车是吧？
[22:21.020] 对。
[22:22.910] 他可能就晚点，可能在5:00左右。
[22:25.220] 10:00左右用完了。
[22:51.800] 咱们上次建议你换个轮胎换换掉了是吧？
[22:54.920] 完了。
[23:12.140] 是谁的？
[23:13.630] 那就伙伴们，其他什么呢？
[23:16.150] 左前门。
[23:17.200] 快点介绍你们吃模式。
[23:25.920] 明天没准。
[23:30.080] 好，咱们看一下您。
[23:35.070] 路太窄，保养单。
[23:38.050] 它主要是其中有一个A保养，
[23:41.150] 没保养是换机油和机油滤芯。
[23:46.240] 然后下一项千七百四六。
[23:48.700] 然后下一项
[23:50.380] 是您还有保险达到二第二章。
[23:57.270] 这是货车。
[23:58.480] 还有空调系统。
[23:59.880] 空调咱们不考虑君作为工程总经理主要是你工程通道中花香，然后你8万公里有一个空调。
[24:05.870] 空气悬挂高，品牌这块是480块钱，然后发动机然后咱们区里整体包括水箱580。
[24:13.710] 还有一个夏季的话，夏季主要是肯定的，天窗、水道河道水桥疏通。
[24:18.640] 上方刚才438，
[24:21.930] 最后一项是几乎到金属。
[24:23.870] 在换机油之前的心理幻觉之后做一个。
[24:26.640] 出来总共4683
[24:29.740] 选车。
[24:35.410] 就这样。
[24:38.790] 谁知。
[24:41.790] 远
[24:45.120] 出来了。
[24:51.680] 让你加我这个微信吗？到了好了我通知你。
[24:55.570] 的
[24:57.550] 坏数据
[24:59.950] 的。
[25:04.170] 三
[25:16.370] 后
[25:20.300] 行。
[25:22.610] 您说举起来之后还会给您做一常规检查，有啥问题再跟您说。
[25:32.380] 开始
[25:38.790] 场
[25:41.400] 场场、场、
[25:51.970] 数据、
[26:00.680] 数据
[26:01.840] 一。
[26:13.320] 对。
[26:15.940] 数据。
[26:20.650] 咱们了赶紧给你领看片，给整个唱片。
[26:25.930] 没事。
[26:33.200] 这小伙子给你领了三票，然后你就吃午餐休息。
[26:37.240] 因为咱们今天man原因，咱们这车。
[26:40.560] 车间塞满了，只能一个出来一个进去关注。
[26:44.220] 百得利集团。
[26:45.480] 微信。
[26:46.990] 您说是今天在有些凌乱不是在空中没有电话。
[26:52.690] 我们还是从那里边领公众号里边有电。
[26:56.260] 给
[26:57.290] 领完把这送您安排一下。
[26:59.360] 您好。
[27:01.550] 您这车咱们先说一下您几个问题，首先就是我们的预减是要帮您发现，一个是您皮带头响声。
[27:09.610] 享受这解决办法，就是换皮带轮夹皮带一套。
[27:14.210] 然后
[27:15.480] 电瓶。
[27:17.280] 电压低应该有，因为他打有故障码，可能有电压低的模块。
[27:22.860] 因为电瓶给所有模块供电模块电压低报警，就是电瓶需要换原厂的。
[27:28.590] 然后您这竖拉杆具体来看应该有漏油的
[27:32.300] 破裂这种情况。
[27:33.960] 还有一个就是惯导这几个问题，咱们这有一个
[27:37.750] 咱们的检测费是650块钱，检查出问题，如果您在我们这维修，我们是不收检测费的，只收你维修费600指正，因为维修费。
[27:46.110] 如果说您不在这修了。
[27:47.760] 咱们就收您给我们优费，检测费是650块钱，
[27:51.620] 有时候您修就不收检查费，就不修的话收取检验，
[27:55.760] 这是其一。然后第二是时间的问题，
[27:58.550] 时间明天能给您结果，
[28:01.000] 然后整体给我报一个价格，
[28:03.330] 然后您参考这价格在并购。
[28:05.490] 你现在这几项问题，你看您报价吗？我说的诊断为是不用这个立马就能给你报价，这东西这当然一看就知道了。
[28:17.230] 还用检查吗？怎么检查？
[28:20.030] 假期你先把这三项确定的问题我参加，刚才我的他检查的时候，因为碰他的
[28:27.170] 他也猜如果不确定，随着刚刚打了，
[28:31.120] 可能跟电瓶有关系。
[28:34.730] 这电瓶好像也是
[28:37.430] 要换了，其实因为我前两年有一次我救援给我发了个点评，
[28:43.270] 我明白。
[28:44.290] 可能确实差点了。
[28:45.880] 我现在能回答您这个问题，您这皮带轮大概的价格应该在3000块钱左右，
[28:51.980] 3000 3600块钱左右。
[28:53.680] 我估计价格因为国际因为平时我们总换这种东西，一般的话就6万多公里左右就换了皮带。
[28:59.390] 你是V6了吗？6杠知道吗？
[29:01.350] 电瓶。
[29:02.860] 我给你查一下他是多少安时的，我现在也能给你查出价格来。
[29:10.070] 没吃饭了。
[29:10.830] 没有，因为你睡你的就行，我没吃饭。
[29:30.330] 产品
[29:47.040] 帮我查一下电瓶是多少安时的。
[29:50.170] 的
[29:53.350] 车架号行不行？后。
[29:56.440] 大家好。
[29:57.210] 行吗？
[29:58.050] 电话。
[30:00.910] LE 4212。
[30:07.740] 说咱家里头。
[30:09.820] 的。
[30:11.640] 他肯定给您寄的，然后完了的向上我先到。
[30:16.020] 我现在给你见也行，一分钟。
[30:18.220] 行。
[30:18.980] 你跟联系一下。
[30:20.370] 你先别挂电话。
[30:22.430] 谁知中
[30:28.370] 390咱们商量消费的什么？
[30:31.610] 谁知。
[30:33.920] 对。
[30:37.230] 暑假出去那车出不去，你看看赶紧前台给你加就行。
[30:50.690] 灵TOTCOOTC哥。
[31:00.000] 场、
[31:05.100] 数据、
[31:09.360] 数据、
[31:14.930] 远场
[31:23.090] 场
[31:24.680] 远
[31:28.660] 数据。
[31:32.050] 一
[31:37.840] 的
[31:42.400] 打。
[31:46.080] 能可以打折。
[31:48.000] 可以打折。
[31:49.020] 你这样你先把这几项价格完了。
[31:53.490] 这拉杆我给你做不来干，
[31:55.950] 拉杆给你做不出来，干得车间报价。
[32:00.040] 底盘东西他们构架，
[32:02.260] 常用配件我们能报价，
[32:04.280] 因为他有配件号，有不一样的给你报错了，比如说这个感知可能因为它里边好多根杆，
[32:11.270] 谁知。
[32:13.410] 干涩，
[32:15.040] 有的敢他敢跟敢也不一样，它好多感，比如下肢臂下摆臂，
[32:21.500] 还有横拉杆竖拉杆，你这是竖拉杆。
[32:24.830] 来了，说是不是可以说是不是他架起来之后下面办成陆游？
[32:29.360] 对。
[32:31.280] 没什么事儿，一个是咱们轮胎标准化，还有前后照片这边
[32:44.370] 而且好关键因为不能去了。
[32:47.370] 您怎么考虑的？关于维修。
[32:50.770] 我觉得是这样的，他比如说刚才说的问题就在这上面上，我觉得可以
[32:58.620] 这个启动开始起步，我知道我感觉到了已经在外面
[33:03.240] 慢着。
[33:04.900] 上半场的关系，然后
[33:07.990] 了
[33:10.320] 因为什么？
[33:12.660] 袜档是一个模块控制，他说然后他这块出问题的话。
[33:16.720] 他有你可能过一会你也发了是吧？可能我就等了一会儿之后，
[33:23.250] 相当于感情同时变化。
[33:24.860] 要不。
[33:25.900] 像这块
[33:27.630] 还有一个左前门升降还有问题，
[33:33.080] 要我签名。
[33:34.740] 您说。
[33:36.680] 要是解决了。
[33:38.660] 包括他
[33:39.940] 改的自融系统故障。
[33:44.950] 可能跟别的事，然后我想听听您的意思就是您准备对哪些做维修，比如说你想修皮带革。
[33:53.950] 还是说只想修电瓶这块。
[33:57.110] 沈先生分享。
[33:59.310] 进一步先发现水库要饭，其他人比如说还有其他需要必须得换了。
[34:05.310] 具体维修了，就这一次这第一放在第一步了，然后你这不是换了电瓶，
[34:10.650] 如果启动也没有问题了，发展也没什么问题了，
[34:14.840] 那就不存在后续的问题。
[34:16.870] 挂档有没有问题？
[34:18.940] 第一的话你话那么你得您比如说在我们这一是假举个例子是20次。
[34:25.080] 都能挂上着。
[34:26.680] 因为日常用着还是您用车，您天天在用。
[34:30.160] 可能比如说最后
[34:32.810] 是这个东西好不好使，还得您去吃。
[34:37.380] 所以你说我们换个电瓶。
[34:39.080] 也是因为这个东西理论上它材料太多，
[34:43.690] 一共就4个玻璃，他又加了1个那玻璃，
[34:48.020] 一个玻璃。
[34:49.490] 升降可能会犯咳对。
[34:52.810] 价格。
[34:54.120] 下载那个位置的对。
[34:56.490] 电瓶出价格了。
[34:58.490] 的
[35:01.240] 8电瓶打完折是1246，
[35:04.920] 原价1934，
[35:08.000] 8个人。
[35:09.970] 1246. 
[35:13.100] 原来换了一个是600。
[35:15.090] 600您相当于白换。
[35:18.110] 薄纸6。
[35:20.280] 电瓶最少也得用到4年到5年，你这不是
[35:24.630] 才能不能再打了，不能。
[35:27.030] 了。
[35:28.140] 电瓶换了电不够了人家。
[35:31.050] 然后你。
[35:32.600] 车间报价。
[35:34.930] 说在哪呢？
[35:36.040] 快车道。
[35:37.640] 安装不了。
[35:39.380] 还有平台。
[35:40.900] 多少人多少钱刚才说。
[35:43.000] 大概在3600左右。
[35:44.390] 你们挣钱，要不然
[35:45.500] 你说。
[35:49.760] 这他没有套，他给你打不了折，主要是它没有套餐，你要单换皮带有套餐，当然别的620
[35:55.680] 不是你还得换皮带轮。
[35:57.680] 都得看。
[35:59.560] 对，皮带给你打折623，然后你再担负轮的钱。
[36:03.640] 轮轮它没有套餐。
[36:06.310] 我这都是明码标价，要是你这
[36:09.280] 皮带有多少留着眉头，
[36:12.450] 咱们借着这个事必须得换的了，你要他这东西想想之后他可能会断，
[36:20.190] 它已经出现问题了。
[36:22.530] 有征兆了一些。
[36:24.250] 其实皮带式传动的发电机只能处理。
[36:27.780] 你这个是优惠多少？优惠了不到200块钱100。
[36:31.620] 1:30这电瓶又不多。
[36:36.330] 一
[36:38.900] 数据
[36:41.630] 电瓶要换。
[36:42.860] 皮带
[36:44.170] 提到坏，
[36:45.300] 然后刚才敲门的问题，
[36:48.990] 我们那种检查
[36:53.020] 这是谁？
[36:54.170] 漏油的。
[36:56.550] 多少钱？
[36:57.990] 车间报价。
[36:59.310] 完了行，你先上下休息，你先修着两天。
[37:03.070] 行，这有问题，你国家你们或者电话不用吧。
[37:08.140] 就这一点没事，这是给你打电话明白我的价格的话，
[37:15.310] 有套餐的话它也跑不了，没套餐的话我也没法给您做优惠，他这
[37:20.760] 他就看着套餐。
[37:22.860] 这两公司费不能应该。
[37:24.660] 工时费的。
[37:26.090] 能打的是能打折，因为我得总体我给你折扣。
[37:31.260] 肯定没问题，总体的给你一个折扣，因为你这不也没出结果，
[37:37.460] 对吧？
[37:41.010] 你这玻璃现在是
[37:43.050] 升降不能自动。
[37:47.260] 我驾驶。
[37:50.000] 他只有大学，
[37:54.460] 你了时候我说他说不到位，这意思最近一块哥哥jj分享，
[38:01.670] 看一下，
[38:05.720] 数据。
[38:08.040] 您做一下看看。
[40:43.380] 太
[40:46.150] 谁知
[40:49.490] 不知道
[40:54.770] 的
[40:57.860] 你升降器导轨可我怀疑有问题就跟以我的经验
[41:02.470] 生气是有轨道的，
[41:04.400] 没多少钱。
[41:05.930] 没多少钱。
[41:07.270] 坐车
[41:09.120] 弄好什么东西，
[41:26.040] 你好女士，您
[41:27.770] 走了吗？
[41:30.320] 行，因为我可能去口饭时候到时候不行，
[41:34.820] 回来之后您把钥匙放前台。
[41:38.430] 好的，那就这样。
[41:44.650] 这个不用了。
[42:09.200] 现在咱们已知的费用就是一个电瓶的这种，
[42:12.570] 然后我给你下功效，就是检查单给你报下价格，因为车间技师报名，
[42:17.660] 然后您这肯定在我们这维修，到最后检查事项就不收的，因为已经店名肯定是维修了已经。
[42:23.450] 比如说您就目前技术一千百四十块钱，
[42:27.400] 1246块钱。
[42:29.190] 这样
[42:33.550] 好。
[42:37.220] 那个是吧？
[42:38.090] 然后再看看确定
[42:42.680] 电话。
[42:43.970] 好，咱有微信应该
[42:46.570] 加个微信这二维码扫一下码看一下。
[42:55.700] 我个人觉得你这比较要紧的个人也比较紧。
[42:59.260] 你首先挂不上哪就不用说这让你使用。
[43:02.700] 再一个。
[43:04.340] 你皮带轮想的他就别折了。
[43:07.270] 因为他想折再
[43:09.610] 如果想了很快就会使得断裂的话，你开没有助力了就
[43:14.010] 包括
[43:15.290] 他跟我说
[43:16.770] 这俩是最主要的。
[43:23.560] 你看那杆什么的，它就属于一个连接，起到一个缓冲作用。
[43:30.240] 减震系统这一块，
[43:32.520] 他可能会。
[43:34.950] 霍坎嘎嘎就想。
[43:37.420] 并
[43:39.260] 对。
[43:40.060] 您刚才了。
[43:41.660] 好，您别着急，我肯定得规定明天给您结果了。
[43:51.570] 然后我在总体的工时费我再给你打一折。
[43:54.920] 你要是维修其他的话能打
[43:59.370] 我现在告诉你要8折，
[44:02.170] 现在可以告诉你我们领导前线就是80，
[44:07.270] 操作一下。
[44:18.030] 上
[44:20.480] 世上了。
[44:21.990] 您签个字咱们
[44:24.760] 在路车上。
[44:27.870] 路车站。
[44:38.830] 好，给您一份。
[44:40.100] 结果。
[44:44.390] 好了现在我在等你电话。
[44:47.120] 好吧好。
[44:48.440] 慢总结。
[45:13.760] 您是给我发微信是吧？
[45:18.040] 有一点是保养的是吧？
[45:20.850] OK我把安排一下马上过来。
[45:25.040] 3.2。
[45:34.850] 这两天
[45:37.170] 这是一个特别
[45:39.310] 我的老师非常幸福的不错。
[45:42.330] 实现
[45:46.550] 当时完了。
