[00:01.730] 出处孤身评价有现金吗？
[16:14.130] 对1.61.6自动挡顶配当年的收费。
[16:19.660] 那车买入应该裸车10万出点头，
[16:23.380] 肯定10 10万多点8对吧？裸车不算瞌睡的东西是吧？
[16:28.600] 您算了，
[16:29.960] 这车正常车5年陪伴
[16:32.960] 办5万了，
[16:35.000] 对吧？再加上美系车本来其实不保值，
[16:40.310] 当然您这车可能还好一点，因为凯乐小无所谓。
[16:43.550] 但是你看就又在多5米。
[16:46.400] 估计1万多块钱。
[16:48.470] 顶多差不多。
[16:50.040] 也差不多了，咱这2万块钱卖铁，他没得卖多少钱，卖铁你还真卖不了，没人要你现在走报废这一分钱没有。
[16:57.370] 如果说我们这车自己解决的话，是不是就跟。
[17:00.330] 您看首先您自己解决是这样，首先您自己您如果在店里头我给您价。
[17:06.930] 您觉得不合适，
[17:08.210] 你自己外边处理去。
[17:09.960] 这没问题，你比如卖个瓜子人人车这种都行。
[17:13.500] 然后如果您要有亲戚朋友要这车，
[17:15.950] 也行，您自己转出去也行了，但是有一点您转发地点，您得看这地收不收这车，
[17:23.750] 排放标准够不够？
[17:26.710] 还有
[17:28.570] 您比如说如果要给他搁在几里。
[17:31.340] 吉林警方。
[17:32.830] 北京周边
[17:34.500] 远远的不就知道在北京您问到了这一圈1000公里之内，
[17:40.040] 人都过不了。
[17:41.490] 比如说您这车，打比方您这车应该10年的国四的车，
[17:46.850] 我都不知道国四的车比如您要迁到河北去，对不起人家当地不收。
[17:52.590] 说
[17:55.000] 您要考虑让您过到哪去，如果你要过了几点，没有过多几。
[18:00.120] 我要亲戚朋友来就怎么样，没问题。
[18:03.710] 在这买车子跟您这也没什么，只能看见了，可能车拿指标就行了。
[18:08.710] 等那指标出来，我这边安排您验车上牌就行了。
[18:12.220] 我怎么能够定价呢？
[18:15.300] 快多少钱呢？
[18:16.560] 我是给你估一下。
[18:18.140] 但是他置换的话，我还能拿到这个钱的主要指标没了，
[18:22.370] 就没有5000指标补贴了，没有住房补贴了，你得把这5000钱指标那车
[18:28.270] 夹道那车里边对我这指标要加上这车能值2万吗？
[18:33.910] 您补贴的您感觉我能到2万块钱吗？到了。
[18:40.650] 我给你问问你算15,000他也到了
[18:44.690] 10年1.6自动凯越10年11月份可能还在顶配，就是准备多少风险？
[18:52.320] 十几万块。
[18:54.570] 铃声一场了。
[18:56.830] 当时只有一个刚刚
[18:58.800] 10年
[19:01.130] 凯越1.6自动
[19:07.590] 打打更的。
[19:15.180] 对，你就跟咱以前下令一样。
[19:18.180] 好了。
[19:19.730] 那不就值几万，他问题他有一个置换，如果店里边基本上就是1万块钱左右。
[19:26.400] 啥那车就值1万，
[19:28.840] 不用给在家你5000 15,000。
[19:32.300] 你外边估计要
[19:34.040] 可能高额的咱那边去，那天你没去，那天我们谁跟我说17,000，你玩那天是做咱去哪儿好长时间了，2月份三看。
[19:46.580] 汉兰达那时候不是
[19:51.370] 然后您给我再看您刚才打的是意思吗？
[19:55.230] 我还没写，你还要说算别的吗？你给我两个比比这是一如果C260L跟那1200来了，他能差价是多少？
[20:05.070] C260，虽然说指导价34万多，然后那车42度差7万。
[20:11.520] 差7万20 300还是7350，C300C3马3，
[20:18.450] 不要了车你还是C要300，你定了你可能都来不了。
[20:27.020] 没现车是吧？没有没人要C300。
[20:30.810] 压力大。
[20:32.680] 好歹也是20，没有觉得可能。
[20:35.040] 真是为了C3版这车1.5，特别好奇这个1.5跟20开始的区别在于哪？
[20:41.110] 为啥？因为我开过20没开过1.5，所以我叫事件，如果我要不跟你说这车1.5的，你可能感觉不出来这种
[20:48.500] 跟你开2.0没有任何区别。
[20:51.430] 现在0的加速百公里多少？8秒3。
[20:54.430] 多少？8秒3。
[20:56.070] 1.5的。
[20:57.100] 3.3都忘掉3对。
[20:59.260] 不扯的吗？他俩玛丽一样。
[21:02.080] 都184。
[21:03.760] 2.0205看着就850，我记得你是看到300就买。
[21:09.580] 我说300，我说的他以前是有一个叫12版，还叫E3码，
[21:16.190] 一二百D功率也是184。第。
[21:19.770] 你要13版是250 800公里加速680 680你肯定不一样，2.0D还分高低功率，以前这就相当于160以前一两码，
[21:30.010] 其实我们。
[21:31.990] 挺纠结的，对我们是买SUV的那种还是my轿车，然后这也就这三个款，一个260，一个1260，
[21:40.080] 一个刚才叫什么？我想问一下有这么巧，我这样说SUV的跟我可能会换那个样子，
[21:48.100] 这个里面干多少，我觉得我给你们说的高管
[21:51.670] 差不了太多。
[21:53.520] 是吧？我刚才说的您说44，咱跟C260这点还是能发出来了，差不多。
[22:03.220] 明白吗？差不多了，打比方说并不轿车差不多这么着打底。
[22:08.570] SUV到
[22:11.550] 差一点就我们从城市SUV，你要不是大的越野车。
[22:16.740] 但他无非他不是这种S悠悠就说因为我们出去的时候少城市的。
[22:22.770] 是不是这更费油，我想休咱后续也要考虑。
[22:27.870] 百公里基本上90多。
[22:29.920] 轿车也得9个左右。
[22:32.690] 也得这么做，对。
[22:34.560] 因为它上架了办不到这个也得缴了，人家怎么说我就过去。
[22:41.800] 我知道我那凯悦就特别费用。
[22:45.280] 汽车就这样，那时候相当。
[22:47.940] 对。
[22:49.000] 所以我也没费了，我跟您说特别好玩的事儿，以前我们买以后我们自己在这出去玩去。
[22:56.460] 我最早10年的时候，我开一个。
[22:59.820] 速腾冠军
[23:01.890] 1.8手动，我们一朋友开一凯越你得1.6个，我们一块去北戴河玩去。
[23:07.470] 当时开着那车之后，我们用刹车基本上一路都是160~200。
[23:12.850] 都是这么开的在。
[23:14.510] 到了北戴河之后，我这车还有半箱。
[23:17.430] 凯越已经一箱没了
[23:19.310] 了。
[23:20.290] 是我觉得特别费油，所以我对后续的费用咱这也花钱，其实我说的话比较
[23:28.170] 基本上就比较贴合实际一点的，像我跟您说的五六个油那种基本上都不太现实，
[23:33.870] 不可能那么大车6个油说谁。
[23:36.220] 也不相信不拿。
[23:37.800] 您要匀速跑，差不多应该跑高速差不多6个多油。
[23:41.750] 只要你市区那不可能。
[23:43.120] 就是说我看到下面QQ跟我们看的，比如。
[23:46.690] 说这轿车来讲几乎没什么差不了太多。
[23:49.740] 我们在SUV多一个四驱。
[23:52.320] 对吧？全时四驱。
[23:54.360] 轿车的话就是坐的乘坐感是空间大是吧？比如说E级车的空间大，你橙色可能就更舒服。
[24:02.310] 是吧？看您寻。
[24:03.820] 着重于哪方面了？如果你要在北方城市开了，肯定轿车的更舒服一点。
[24:09.050] 肯定从经济上从。
[24:12.270] 环保的包括从舒适度可能轿车您看C跟E这两个车的价格能不能看到？
[24:19.500] 777万多人。
[24:21.280] 指导价就差7万，您落地的话基本上就是差将近8万。
[24:25.380] 这俩差别有什么不一样呢？
[24:28.640] 其实发动机变速箱是一样的，外观不一样，长短
[24:33.270] 长短悬挂，
[24:35.200] 对吧？内行一样。
[24:36.810] 那是
[24:38.420] 是吧？跟是不一样，肯定是好像不一样，1C这30米范围C2600，
[24:45.690] C 260M是吧？320好行是不是？行。
[24:50.220] 您给算一下C260在算一个11260行，对然后我就比较形式。
[24:57.470] 可以。
[25:01.830] 不是有见车吗是吧？
[25:04.430] 我要是比如说我这指标，我把车卖了之后，这指标才能出来，
[25:12.250] 新车不影响您开，什么都不影响怎么操作，没这么买过车。
[25:19.820] 流程跟您说一下，比如说这车您甭管您是选C还是选一。
[25:26.710] 您选好了之后，
[25:28.660] 新车您开办手机怎么办手续？
[25:31.520] 然后该开走，用临时牌照拍照。
[25:34.420] 先走开走。
[25:35.910] 然后就车的话，您这边您要比如说打比方回到
[25:43.620] 谁收这车？
[25:44.920] 来
[25:46.170] 人得来北京
[25:50.010] 指标人跟接收人两个人同时拿身份证。
[25:54.150] 去奥呵护大厅去办过户去。
[25:56.980] 直接办过户，对直接提档。
[25:59.800] 办过户提档的。
[26:01.730] 我是不是还得拿着我什么购车发票跟什么绿本乱七八糟的，对行车剧本。
[26:08.310] 两就这两张发票也得拿着拿，有拿上。
[26:12.560] 用吗？有就拿着是吧？
[26:16.090] 然后就车旁就没有了。
[26:19.250] 当时就被拆掉了，
[26:20.970] 然后车也弄一个临时牌照，
[26:24.180] 开回去。
[26:25.930] 不行了。
[26:26.800] 就完了，然后她自己回那边网络不急，我自己就能过户，不用他们找
[26:32.690] 自己中介那些人。
[26:35.200] 你好时候。
[26:36.680] 不嫌麻烦，你就自己去。
[26:38.580] 是吗？
[26:39.280] 你干过那事干吗？对，我说你知道我去那我也蒙了。
[26:43.420] 了怎么了？我是卖新车的，我也不会。
[26:47.070] 真的。
[26:48.400] 我昨天刚跟我爸那旧车去过户去。
[26:51.410] 我多少待办？
[26:53.550] 花多少钱？1000报1000，你打股票400。
[26:57.780] 你这检测场300多，你让他挣点。
[27:01.300] 还得检测是吗？
[27:02.800] 您再去检测厂，您做新的行驶本，您还提交手续。
[27:06.580] 新车不用就车上了，牌去没意思，临时牌开车。
[27:14.090] 说了。
[27:15.160] 其实不卖太好了，没有没人上外地开着警车，你妹买那不行，你标出不来。
[27:22.230] 对我知道出不来。
[27:26.300] 这边双方去办过户去了吗？
[27:29.790] 你以前的凯运的档案在交管局，
[27:33.340] 他们内部直接拔掉走转过去，
[27:36.160] 只要提到打你那指标就出来了，那边过不过户都是她的事了，这么都是他的号不变。
[27:42.750] 你可以保留原。
[27:44.200] 也可以重新
[27:45.420] 可以重新选择。
[27:47.250] 都行。
[27:49.910] 明白了。
[27:51.200] 谢谢您。
[27:52.670] 能帮助你大声的支持。
[27:54.910] 这还真是挺麻烦的。
[27:56.610] 没发什么大事儿，您就说几句话是了，您知道我们知道了。
[28:02.190] 这边这流程我知道了，听见怎么着我都不知道。
[28:07.700] 车上看看还有什么疑问吗？
[28:10.040] 症状表现就是不能叫框架，一会咱们在试驾一下一下。
[28:15.730] 你是先算个1260L
[28:19.790] 对，就算运动429,800。
[28:23.280] 不用运动。
[28:24.620] 那是非常动，是运动的。
[28:27.560] 威尔它只是外观上区别，就是大彪跟小标的区别。
[28:32.960] 主要运动版的话用了74,000，
[28:35.660] 小标优惠多少？155,800，小标78,000。
[28:46.240] 这车现在是珍贵。
[28:53.410] 不会跟你别看10年8。
[28:57.010] 没毛病，
[28:58.420] 没什么毛病。
[29:00.280] 所以我还舍不得换，就凑合开着也挺好，这A系的M技能谁知换吗？
[29:06.500] 因为其实我觉得
[29:08.350] 黄金也置换不变了。
[29:10.640] 你是这样。
[29:11.630] 我随便说吃饭，但是它是智慧也没多少钱，
[29:15.520] 在要加一块15,000，咱自己卖还能卖2万，
[29:20.300] 可能光出两块钱。
[29:22.160] 完了他看起来。
[29:23.650] 是吧？你别算您置换，你要是置换你就给我一个5000块钱补贴，然后外边给我就这车11万，他给我1万块钱，
[29:32.270] 折1万给他了2万多，
[29:34.530] 后来也就1万多熟人什么我的妈妈了，
[29:40.060] 因为这几千块钱忽悠的太大了，
[29:45.130] 这车也太便宜了，所以我就不跟你说你妹买孩子烦，我都不卖这车。
[29:50.970] 是我就能开始在外头跑跑。
[29:54.360] 太亏了。
[29:57.570] 都没有那钱一样，那车都没有，是完全
[30:02.400] 就是一保险钱，
[30:04.510] 而且我还是喜欢cos，
[30:06.980] 我想你买SUV的他买这个
[30:11.530] 咱
[30:12.680] 你们最后是坐着的知道吗？你们想做手术就买个一。
[30:16.720] 我们现在还想涉水的那车，
[30:21.540] 高他也受不了水，
[30:23.800] 他也不好，反正说发现就高中这么一点，或者M1SUV跟
[30:30.760] 串毛肚轿车
[30:32.310] 就差这么一点，
[30:34.310] 可是你就差这么一点你就容易灭。
[30:40.230] 但是我真的态度这么高吗？
[30:43.010] 他妈就开始。
[30:44.620] 你还打工。
[30:48.900] 我也没开过这么高，
[30:50.640] 我就开过军费。
[30:54.100] 开过龚尧，东阳就是。
[31:00.580] 就要开始。
[32:56.630] 咱这有现车吗？
[32:58.500] 两天看到什么颜色的？
[33:01.710] 只有费的。
[33:03.730] 到了他这个是D只有黑的房子是吧？
[33:07.680] C有颜色吗？
[33:10.080] 其实蓝的灰的蓝的、
[33:12.600] 绿的，
[33:13.680] 男灰的绿有分母愈，我刚才看了看又那边有一个绿色，
[33:20.660] 是那的。
[33:22.020] 绿的相当于什么绿色的，看看现在大厅里边中午
[33:26.610] 中午1点都
[33:31.170] 钻石、
[33:34.360] 而在这里边有点像非要出去估计就那个出了。
[33:40.630] 出去黑屏基本就黑了。
[33:45.790] 环境，
[33:46.620] 你买东西，
[33:47.840] 谁知
[33:49.810] 开花有点您说他开还得搁东西。
[33:54.320] 我都没看到您说绿色就像他那么大岁数了，开一个什么颜色费用。
[33:59.760] 首先那么我卖东西的少，
[34:02.710] 基本上。
[34:04.140] 部分农林
[34:06.260] 比您岁数大了，都开得少了，那种非黑。
[34:09.540] 祖母绿宝石这块其实百秒都行，就我买回来第一件事，等洋车子给他提车，一
[34:16.150] 不建怎么都不。
[34:17.930] 不管是在花钱了，这没错，一来贴在这花那钱了，不是我想问等我这车在置换还能值多少钱？
[34:26.720] 不管它值多少钱，到时候还有没有你一回事。
[34:31.740] 你说这车都是
[34:33.120] 20年15年报废，
[34:35.020] 现在没有年头报废了。
[34:45.010] 但一般也开过来了多长时间了，其实买CR买个C就是和改。
[34:52.860] 买个亿，您比如说明天你那不是抽奖吗？
[34:56.720] 房间中了大贾您安排您把您那车自己换了都
[35:01.460] 完了看换不着，我们那块你不要管，要经的一天一样就完了，前不久
[35:08.530] 先要是否改装，
[35:12.690] 改个中网，
[35:14.460] 改装就把后边做全都拆了。
[35:18.240] 拉什么水果？
[35:25.720] 放假之前还得让您再看一下咱们
[35:30.040] 服务公约，
[35:31.970] 所有的价格明码标价，公开透明，然后配件渠道清晰公式。
[35:38.030] 绝不捆绑销售强制消费，
[35:41.340] 绝不使用假假四。
[35:44.300] 然后下边有服务监督电话400818188
[35:50.320] 这个报价单是我奔驰全国统一的一个新版的报告单。
[35:55.280] 上班所有涉及的价格，您一进门楼下都有公事房，每个车型什么价都有。
[36:01.500] 到可以带你去看一下。
[36:03.400] 然后先看哪个生产的。
[36:05.680] 非给我多少钱，最后那个价。
[36:08.680] 来您看看。
[36:09.610] 简单跟您说一下。
[36:11.850] C 260L
[36:13.820] 车辆的指导价是34万，低价有多少钱？不是一项一项说346,800，
[36:21.820] 约7万
[36:23.990] 276,800，这是成交价，开造价16,000，对购置税
[36:30.120] 24,000多的购置税，
[36:32.220] 这个是国家收。
[36:33.870] 的多退少补的。
[36:36.200] 装饰的话，如果您需要的话是13,800，
[36:39.600] 这里边包含了一个维护美国威固的贴膜，
[36:43.740] 一个隐藏的行车记录仪，一个大包围脚垫，
[36:47.540] 一个后备箱垫，
[36:49.070] 这13,800
[36:51.210] 隐藏的，那么只有前面的。
[36:53.820] 对，如果您做的话，我们提供给您是4000块钱的。
[37:00.400] 送钱保险，对提供4000保险，然后验车上牌2500。
[37:04.920] 然后保险的话预估一下在1万块钱左右，
[37:08.760] 当然这个险种保险公司都是由您自己来决定的，没有什么强制性，你必须上什么险，必须上面没有，
[37:15.130] 不管你上多少钱，我提供4
[37:18.120] 全下落地。
[37:19.920] 车购置税、装饰保险验车323,500多。
[37:25.460] 好，这是全部的。
[37:28.020] 金融方式，您其实可以选一种比较合适一点的
[37:32.880] 首付一半，既然你有存款能力，
[37:35.720] 首付一半大一半，
[37:37.860] 这一半。
[37:39.020] 另外这一部分
[37:40.740] 是一年半之后一次性在还的，
[37:43.350] 中间没有利息，中间有利息，
[37:45.730] 每个月114，
[37:48.480] 这就是利息。
[37:50.740] 多少钱，那就先拿出6万16万多，不是13万13万一个138,400，咱就114的利息，
