[00:00.000] 孙女、
[07:02.390] 肯定不一样对吧？不管什么车型什么品牌白的都是A的，都是最好的。
[07:08.130] 爱上你也能。
[07:10.410] 能是吧？时代。
[07:13.190] 是记者基本不是，为什么？
[07:17.060] 没事试试来都来了，对来。
[07:19.800] 也不是好像
[07:22.550] 有。
[07:23.950] 不是一下。
[07:24.910] 让你感受一下。
[07:27.320] 他用的是液压减震，它会自动调整，根据路况自动调整集团援助。
[07:33.460] 高速吗？
[07:34.800] 元用高低差不了。
[07:36.890] 你跟我聊聊不同吗？
[07:40.810] 半小时。
[07:42.670] 你早上去到西北上是吧？对。
[07:46.630] 他说
[07:48.190] 北京没有参加，在这边价格不那齐芳知道什么，他给你多少钱，
[07:53.260] 用了多少钱？
[07:54.850] 忘了多少钱，大概最后算200多万。
[07:59.750] 27
[08:01.120] 多点儿7多点。
[08:03.190] 好好别的东西。
[08:05.270] 别的
[08:07.790] 什么
[08:08.760] 磨。
[08:10.030] 脚垫、后备箱垫、
[08:13.290] 保养能
[08:14.480] 这么多上几回，
[08:16.270] 行车记录仪就该有都中了，
[08:19.450] 但还都没谈还都可难。
[08:21.810] 谈也没什么，就这点东西谈能谈什么？
[08:24.040] 博览那么多。
[08:25.650] 但你要跟电笔其实我觉得没有什么可比性，你知道为什么吗？一
[08:31.260] 他暂时提不了车对吧？二就是他给您多少次保养，回头电没了上哪用去。
[08:37.200] 那倒不会那么。
[08:38.850] 真的不，您看上网百度查查中通集团。
[08:42.200] 对。
[08:43.160] 几个电影小姐。
[08:48.170] 27
[08:49.510] 的。
[08:50.910] 二
[08:54.530] 放弃号。
[08:55.850] 这是打架了。
[08:57.540] 还改不了。
[08:58.760] 这个可以调节和自适应，底盘根据路况调整，
[09:04.790] 文化的
[09:09.240] 也。
[09:12.340] 40这个车型就用的是液压式减震。
[09:17.350] 的
[09:20.690] 040405，S400S。
[09:25.010] 40没有。
[09:25.980] 有拆C4。
[09:27.480] 对开始一二3四他们这脚是。
[09:32.290] 没有
[09:33.660] 车型团结车。
[09:35.950] 谁知。
[09:38.910] S车型就是一个60一个9。
[09:44.930] 这杯酒吗？
[09:51.570] 我们6。
[09:52.680] 现在没有什么没有。
[09:54.640] 到了。
[10:14.600] 我好了。
[10:15.570] 那样如果你让他说加入什么复杂的
[10:19.200] 两
[10:20.830] 我们的特长还有44，
[10:24.000] 这44亿元，
[10:54.110] 这个东西我。
[10:55.910] 放三天。
[11:20.260] 空间
[11:21.200] 好像也不见了。
[11:24.730] 分享它，
[11:25.640] 谁知。
[11:28.320] 但是自己还上班。
[11:46.200] 您看的那款。
[11:47.400] 是302,000米，这是老子的好事，咱们选的是职业是吧？就是致意的里头价格，谁知
[11:57.360] 如果优惠完了，
[11:59.150] 如果不是这样就是落地价了。
[12:20.360] 你们
[12:24.130] 叫什么地方？
[12:26.110] 中国。
[12:27.650] 因为到时候都不是
[12:30.000] 但是
[12:31.680] 为还越来越低了，
[12:34.280] 但是只能给你
[12:36.400] 你这要限制
[12:38.990] 难受。
[12:40.480] 我说我这能让他一下这么多年，
[12:45.730] 首先
[12:47.830] 这些事感觉之类的。
[12:52.230] 不是，其实这颜色你啥都不要不管，不过放在看。
[12:56.830] 让他们看一下。
[12:59.230] 我们得开会研究，我们家是民主家庭I。
[13:05.210] 其实民主好民主这样行吗？
[13:08.340] 比较大，现在您车型
[13:11.400] 对吧？颜色没用了。
[13:13.680] 是吧？这肯定会这几个颜色选一是吧？
[13:16.820] 那你可以跟叔叔周末来一趟，因为周末是变性吗？
[13:20.220] 你那天来你可以把车定了，不定颜色，
[13:23.030] 你觉得价合适的怎么样？
[13:25.030] 交定金，对，你就把车定了颜色，回头您这边定好礼拜了。
[13:29.490] 没有。
[13:31.320] 您先跟我说，你这个价格现在没出来，我现在要不只能选不管这样。
[13:37.970] 大的利润。
[13:43.100] 你看现在就是这么一个比较
[13:46.740] 反正肯定有三说能提现车，当然我就不能等着40天的类似时间太久了，我觉得你知道吧，4000是初步的，因为好多客户都去已经打架，我当时跟您说40天。
[13:58.910] 然后等如果说要是确定了。
[14:02.810] 等你妈回来咱们来一趟，完了是试驾试一下，谁知等他4点。
[14:09.030] 不用等的就是。
[14:10.720] 你再试试他的意见是占90%，我说大家都来了，可以跟他是一下。
[14:18.290] 就是这么牛。
[14:19.910] 是不是有事是吧？现在那个店就是总经理。
[14:25.230] 都一样的吗？
[14:29.360] 走到
[14:31.950] 好谢谢。
[14:33.700] 没事，您看你要说说我说这方案。
[14:37.010] 不那什么，咱就等阿姨回来。
[14:39.100] 只有周末两天吗？
[14:41.170] 对，因为你反正这个月出现这样。
[14:46.080] 为什么阶段？
[14:48.440] 如果没有太大的变化，应该这个月能。
[14:52.050] 能确定的。
[14:56.220] 什么车型都确定。
[14:59.140] 颜色好办。
[15:00.530] 没定好像是。
[15:01.880] 虽说一颗要点颜色就完了，因为你配置你眼睛好了，你不说配置的店
[15:08.870] 了啥都不了。
[15:10.440] 你先商量，因为不同意。
[15:12.840] 我们俩就是刚刚看看这个最起码的。
[15:16.790] 这啥呢？
[15:17.900] 咱们家庭中的一件大事是吧？对，反正硪就是安全环保世界的老大，还有老设计要好看多了
[15:28.070] 了，老子看不太高了，你看看就行了，好不好？
[15:32.640] 好看。
[15:39.270] 你老板
[15:41.070] 老板老一点。
[15:42.760] 版的。
[15:44.960] 好一点
[15:48.550] 的。
[15:50.150] 的。
[16:03.760] 场。
[16:05.480] 远。
[16:06.620] 的
[16:09.720] 的
[16:14.200] 的
[16:18.960] 对。
[16:21.990] 自动化。
[16:23.980] 不是刚出多少是公报能偷到。
[16:43.140] 可见高洁我是开发。
[16:44.800] 不知道咋办了，别对我听不到放在上面。
[16:50.010] 我整车我手机没拿着，我给她盖饭就行。
[16:54.480] 然后打完了搁你帮我拿着。
[16:57.690] 我听不清你能不能发到圈里了吗？
[17:11.330] 校园就是盖饭是吧？
[17:13.100] 我办了。
[17:13.940] 行。
[17:15.130] 我也该好了，你们都盖饭我也改了。
[17:24.600] 是吧？
[17:27.480] 把家照顾
[17:29.200] 家长。
[17:30.530] 这里用的为何谁是
[17:37.640] 的
[17:40.760] 的
[17:51.360] 或者加不了。
[18:14.090] 北京市场差不多。
[18:16.010] 你放心你可以随便去在这问，然后你他这边提不了车吗？不对，你要说。
[18:21.610] 没有电了。
[18:22.550] 对。
[18:23.880] 不回去车都贵一点，明天说。
[18:26.460] 不贵。
[18:27.780] 你就拿那边进来了，我直接拿那边见跟经理。
[18:33.510] 但是太斜了也不行，因为他那个地他是不是
[18:36.740] 它就属于什么，他属于急了眼了。
[18:39.530] 他提不了车，所以他只能去
[18:41.750] 拿这些东西去拉客，
[18:44.200] 他提不了车，什么也不给谁上。
[18:55.650] 快。
[19:03.830] 要打一个什么单位，如果
[19:06.560] 很多的影响
[19:13.510] 对。
[19:14.520] 准备交配，
[19:21.200] 的
[19:30.040] 就这款卖的还行。
[19:32.040] 460反正都是。
[19:33.700] 现在几乎都是年轻的买，
[19:35.460] S60或者S60，
[19:37.790] 还有60卖360卖的是吧？刚才抵消的车型。
[19:42.940] 新出
[19:44.630] 的。
[19:48.780] 那边有果汁，茶水喝点什么？
[19:57.160] 没什么老板也是吧？山东的协会66
[20:02.460] value聊还没有这个吧？
[20:05.240] 一样的。
[20:07.990] 房子一样。
[20:22.650] 车停那边了。
[20:23.900] 其他
[20:25.630] 北京打印下来那个问题写了吗？
[20:28.810] 我那天给舒打电话直接到那边。
[20:32.470] 没什么放没看过。
[20:35.010] 没抱着我没看到在哪儿。
[20:36.860] 你搁哪？
[20:45.580] 我们热开空调吗？
[21:18.490] 要关注很久。
[21:20.330] 没有刚才最好。
[21:24.040] 我
[21:38.550] 要不行的。
[21:49.560] 还有指标还是滞后。
[21:51.110] 细致点心智阜阳的我
[22:01.230] 好像完全。
[22:02.120] 现在摇号太哪有。
[22:04.730] 聊了几年。
[22:06.500] 要9年摇上了。
[22:07.870] 我一几年我12年有的，现在还没有。
[22:10.860] 我是刚刚4年是1年一年。
[22:14.060] 年
[22:15.280] 0
[22:17.330] 快要
[22:20.250] 一。
[22:22.730] 10年开始。
[22:24.460] 万
[22:27.080] 上七中。
[22:30.660] 为
[22:35.330] 一
[22:38.620] 这刀一查中了是什么心情，
[22:42.690] 我可能要集中了，
[22:44.940] 比我正常的生活是吗？太巧了。
[22:50.980] 谁知
[22:53.600] 号，
[22:54.520] 谁知
[22:55.690] 每年都没用，也没想到今年能种种，
[22:59.750] 然后结果是可能。
[23:02.980] 老天爷给你生日礼物了。
[23:12.720] 找
[23:18.050] 谁知
[23:20.380] 放下。
[23:25.750] 行，然后
[23:29.000] 来。
[23:32.450] 0
[23:48.690] 拿。
[23:50.230] 查过吗？
[23:51.510] 后来
[23:54.830] 的
[24:19.560] 你们店比如要订的话，
[24:22.250] 交完钱当时直接就取走了就能。
[24:25.250] 你全款可以，一般第二天
[24:27.810] 因为他车里调过来做检测。
[24:33.930] 现在关于上排上访，你们不是也可以代办。
[24:40.390] 对代办收费的。
[24:43.100] 现在。
[24:43.960] 但是你们要代办的话是可以自选自编的号吗？
[24:47.910] 像车牌可以自便。
[24:49.500] 可以自编，你自己你也可以自便，就是先在网上选，但是选完以后你没法去
[24:55.090] 现场挑了。
[24:56.940] 当然这边不一定。
[24:59.470] 规定有的斑马
[25:01.840] 你想要什么号，
[25:04.240] 跟生日的你可以试试，能不能行？对，反正现在原来是什么，比如你编完了有
[25:11.090] 你到现场你可以再选一次，
[25:13.520] 现在不行了，
[25:15.190] 而且编完了也未必能到那用。
[25:20.280] 你这边不是也里边之后然后去输进去。
[25:24.290] 对，有的话你就会用。
[25:25.980] 要没有的话只能50分一辆。
[25:29.440] 他们都太小了。
[25:31.880] 对，你这个可以了。
[25:34.720] 你得包装二楼。
[25:37.210] 二楼的另外
[25:39.730] 然后三。
[25:41.110] 所以还会保持这一块。
[25:43.070] 你身边过程中没什么特点。
[25:47.760] 对。
[25:52.750] 数据。
[25:54.730] 数据、
[25:56.590] 数据、
[25:57.760] 数据、
[26:00.470] 数据
[26:02.320] 的
[26:07.770] 的
[26:15.690] 用
[26:21.320] 对
[26:25.320] 的。
[26:28.270] 花。
[26:32.480] 暑假点。
[26:45.760] 拿起手机扫一下码，用微信现场。
[26:56.360] 全线车型。
[27:03.240] 对吧？
[27:07.160] 3000点，然后立即试驾，用微信确认登录一下。
[27:12.720] 再选一下。
[27:16.620] 然后拍一下驾照，政法这边开证。
[27:33.560] 现在不忙，有两拨客户需要接待一下。
[27:38.750] 然后签署试驾协议。
[27:46.390] 左下角手动填写。
[27:48.400] 行签字。
[27:56.570] 然后下一步他会发一个。
[27:58.310] 正码验证一下就可以确定。
[28:03.740] 过去
[28:16.270] 来叔叔跟您说一下试驾路线。
[28:18.740] 杀戮线这边有两条，一个是从南门出去走田村路，
[28:23.240] 那边就是宏村的地方，卧室里面湘桥路加速行，
[28:27.980] 但一般客户会选择第二条，就是从这边定位北桥调头，然后刺激性掉头回来，
[28:33.190] 因为这个可以到对面进一段主路，试一下车辆加速，
[28:37.650] 但是掉头的位置可以实际上车辆的转向操控，
[28:41.640] 然后这边先试乘再试驾，现在您试乘一下您数一下路线大概30分钟。
[28:46.180] 一会您开的时候您要是遵守交通规则的吗？
[28:48.860] 可以加到您送来。
[29:00.580] 功夫里拿着营业执照原件来办临牌，对。
[29:03.520] 我没卖过工作。
[29:21.650] 我那个时候自动调和那种人吗？
[29:24.970] 也没法说是吧，那时候在紧急的时候，
[29:28.870] 他当时一般会是什么样的目的？就是想试试他
[29:33.160] 在你这不经意的情况下，它的自动上升，这可能也就能是一个并线辅助的。
[29:39.810] 说任何牌子不敢给他吃，因为它电子肯定有，他万一出现什么呢？
[29:45.570] 你说
[29:46.580] 万一没刹住撞了咋办是吧？说倒无所谓。
[29:51.220] 来
[29:58.760] 不坐副驾不出去。
[30:26.670] 耽误你中午休息了，没事。
[30:30.950] 吃完了你就在这吃完了。
[30:37.420] 我跟您说一下基础操作，
[30:39.980] 这个事就是油车熄火走势旋钮似的踩急刹车，这个没有。
[30:45.460] 这些凝视着车或者汽车。
[30:48.110] 然后这个是淘宝模式的
[30:52.890] 部门，
[30:53.880] 手刹是电子
[30:55.270] 的往下移，
[30:56.260] 双手奉上拉进来。
[30:58.540] 然后打扮是机械完成以后路边的晚上会有哪个
[31:04.050] 这边就管用。
[31:06.640] 既然现在车上有几金跟水的，这钱没事别客气。
[31:23.430] 天涯先摸索，
[31:24.790] 它权具有显示，
[31:26.820] 对所有的模式，
[31:28.980] 所有的操控，
[31:31.000] 这个瓶子使用
[31:33.610] 这不远。
[31:34.640] 这个块是一样的，显示面积一样。
[31:40.480] 是
[31:41.430] 是两。
[31:43.380] 他没有证据表明。
[31:46.130] 这是12.3~8月份
[31:48.640] 两边的空间。
[31:50.600] 这就是咱们说的那块。
[31:53.340] 高一刚
[31:58.840] 这不好那也行。
[32:00.780] 搞搞不清楚这名字。
[32:05.240] 开始
[32:06.260] 的。
[32:52.740] 这个比我
[32:55.080] 昊锐。
[32:56.520] 提速猛，
[32:58.500] 但是这是辛苦，那个东西时间长了，这是快10年，
[33:02.700] 但是马路也行，190这节奏还可以。
[33:09.210] 当然这个问题
[33:11.560] 的
[33:20.890] 没接到不好吧？
[33:22.380] 这边
[33:25.670] 自动启行我给关上了，对。
[33:29.680] 也有。
[33:59.370] 这条路井盖比较多，
[34:00.940] 您重新一下警告，你看收入
[34:34.760] 还可以。
[34:41.030] 实际上
[34:42.450] 我选择的轿车进考虑到的
[34:46.160] 是吧？
[34:51.330] 一个是他在跑，包括风险，
[34:57.340] 要是运动版
[35:08.440] 的
[35:15.430] 隔音效果不特别好。
[35:19.120] 他也不是富豪，他是底盘过滤这块用的是
[35:22.820] 环保材料，B这不能说用的是沥青阻尼贴片，
[35:27.210] 那个东西会在常温下释放甲醛，
[35:30.040] 包括它不主要是安全环保，所以他用的是
[35:33.220] 环保材料丁基胶合肥市枷锁都做好了。
[35:55.730] 但是跟
[35:57.000] 差不多不是特别强的。
[36:10.850] 销售那个人。
[36:58.200] 车道保持
[36:58.910] 65以上，
[37:00.640] 如果并线不打灯，仍然
[37:02.580] 我爸爸当然会震动，就是
[37:20.760] 过来试一下。
[37:26.370] 再说第三讲，
[37:29.510] 感觉夕会。
[37:59.920] 坐火车。
[38:01.190] 让您强化座椅，您先解安全带。
[38:05.820] 3
[38:08.650] 贞芪枣皮好像差太多。
[38:10.880] 他不是全仿，他就是可能像底下这种边那个位置不是强队，他是皮革合成，
[38:20.020] 但是现在已经找错了，你就那个座椅前后
[38:23.600] 往前推就可以。
[38:29.930] 还有左右反正做你看需要
[38:36.300] 这个也是
[38:38.850] 校车都是一样。
[38:42.050] 需要调整吗？
[38:50.900] 把打交道。
[39:39.210] 第二条什么？
[39:40.080] 往下三毛我这下。
[39:44.200] 玻璃摇。
[39:47.820] 来
[40:11.650] 小姐。
[40:12.460] 可以。
[40:16.300] 的
[40:37.070] 内
[40:38.470] 还
[40:39.990] 系统。
[40:41.120] Psp都有是吧？
[40:46.080] 7条，网上说20多个，其实它就是正常应该是
[40:50.710] 6。
[40:52.420] 他边上这是气帘。
[40:54.250] 没算7连的。
[40:56.230] 达到其他流动。
[40:57.960] 但这些都有。
[44:06.410] 这块进不去。
[44:07.740] 没到。
[44:08.920] 不是我还得从南口
[44:12.910] 对宝洁这块。
[44:14.860] 出口的
[44:19.530] 咱们
[44:21.020] 的
[44:24.520] 的
[44:25.620] 数据。
[44:42.690] 三
[44:43.580] 数据
[45:12.510] 自动调节。
[45:18.790] 数据。
[45:25.440] 了
[46:05.030] 前面
[46:07.560] 句
[46:14.340] 句
[46:16.040] 的。
[48:26.150] 的
[48:38.530] 选
[48:39.760] 的
[48:41.600] 的
[48:46.040] 的。
[48:47.200] 三
[49:26.360] 现实的正常体重应该都是
[49:29.600] 如果正常情况就得歪了。
[49:35.590] 还有。
[49:54.750] 你什么？
[49:58.890] 还有的情况，
[50:07.090] 包括卖什么产品？
[50:09.600] 赛车比赛车。
[50:11.080] 005米5米1小40公分的你跟
[50:17.350] 老板就是
[50:19.330] 孩子
[50:32.320] 肯定是灯光也
[50:33.870] 还没有等方面。
[50:35.680] 这车外地的
[50:37.970] 看河里都不一样。
[51:13.300] 网络的。
[51:14.950] 好谢谢。
[51:57.810] 爸爸
[52:05.070] 高洁我马上我除了两头。
[52:07.950] 这不是焊点再吃点饭去吗？
[52:10.400] 没事饭点了。
[52:14.000] 出去吃点行，好，等会你早点去。
[52:22.640] 后面
[52:25.560] 了。
[52:31.720] 圈
[52:33.710] 的。
[52:36.960] 上
[52:39.410] 的。
[52:44.120] 谁拍板？
[52:44.940] 138117。
[52:51.750] 1302323
[52:56.440] 的。
[52:57.080] 几个两个S4609，
[53:00.690] 完了一年6月也不再归来。
[53:06.730] 对
[53:43.150] 稍微算了。
[53:48.020] 谁知
[53:49.520] 但是现在算了不要掉进去的。
[53:54.390] 大概我们也了解
[54:01.540] 谁知。
[54:03.060] 目前我
[54:04.420] 第一个分享的。
[54:06.660] 还有问题，真的我当时没有关系，单位没事，关键咱们就价格上看是不是？
[54:13.410] 然后对一会上去以后态度。
[54:15.960] 咱们停车那边后面有一门
[54:18.520] 门往里走一点，二楼看看。
[54:20.150] 好吧，记住了，好，谢谢。
[54:22.600] 在路上回来找我，
[54:26.260] 下面
[54:49.520] 有多准？
[54:51.420] 开始透露。
[54:58.080] 说完了的时候，
[54:59.950] 我给您算算去，
[55:06.730] 坐着喝点水。
[55:08.630] 到了
[55:10.290] 在这儿。
[55:12.280] 对，让他给它倒过来，还请我吃了。
[55:14.880] 还行挺好。
[55:16.370] 一般过来反而太强。
[55:26.370] 对，不要大中午出去找也凑热闹。
[55:32.310] 今天还行，太阳不是那么太多，闷，三步一进三伏天都不行了。
[55:37.170] 这湿度一大还是
[55:41.300] 今儿刚进湖是吧？
[55:43.050] 对，涂氟。
[55:43.770] 服第一天。
[55:47.230] 头伏饺子，
[55:50.920] 你家住哪我西直门。
[56:10.280] 我就按最低给你算了。
[56:12.000] 活动价了吗？
[56:17.480] 指标置换补贴，
[56:34.600] 天
[56:37.000] 也不。
[56:38.380] 牌子
[56:40.730] 远远
[56:42.650] 的
[56:59.930] 远远
[57:05.310] 句
[57:09.780] 更新减7为什么不做分期？
[57:12.270] 要是分期
[57:16.180] 多少钱能落地？
[57:18.630] 分期跟那一样跟这一样，就是首付款。
[57:22.960] 首付款
[57:24.690] 百分之几十？
[57:26.110] 首付一半。
[57:30.160] 就自己走线都是免手续费是吧？对。
[57:32.900] 没有，等于一共是几年？
[57:35.220] 两年两年有三年的。
[57:41.910] 感觉大概就作为分析，对。
[57:44.010] 因为我们有好多分析，26万多。
[57:50.090] 一共下来吗相反。
[57:51.910] 对，不管香港登记主要就是就是264,000。
[57:58.570] 26万多多少算？
[58:01.190] 二十三万二三。
[58:04.960] 这个是按分7算的吗？一样。
[58:08.110] 我给您按最低价算，不管您分期全部我明白了。
[58:14.070] 等于要是
[58:17.170] 多少？26万
[58:19.280] 的。
[58:21.640] 最近预期低了是吧？
[58:24.860] 我预计是27码的30。
[58:27.930] 那边给算的吗？
[58:29.360] 那边没寒假过呢。
[58:31.390] 没有办法，就是正常的。
[58:34.560] 没跟他。
[58:35.950] 对，几乎价格上还没怎么着。
[58:39.420] 时间，这是一个，关键是我没跟你说过，就是说
[58:44.270] 他要等40天才能提升，我一听这个就没跟他聊天了，对以及这个得
[58:49.800] 定必须你得去接受40天才聊别的，就是4天接受不了它，那么我们就说咱们就没往下，所以今天都是8，
[58:59.970] 所以就看看别的了，他的思想不要太久了你知道吧？所以说也到你这儿来，这就应该是最低价了，
[59:07.060] 到你这来，
[59:08.930] 一个是能提现车，一个是
[59:12.000] 你这服务也挺好是吧？这都应该这样。
[59:16.290] 首选还是占68%选虚拟战，而是这个月的假，如果说这次活动
[59:24.040] 要没赶上这次活动，可能就未必是这个项目可能要比他高一点。
[59:28.790] 就这个月的力度最大吗？对店庆一周年。
[59:32.920] 如果说要是这样的话，尽量在这月把车定了。
[59:37.420] 原来3:00十一的时候活动不会更大吗？
[59:41.590] 就完了，没有业绩，都是包括现在像超级60S写的这两个车已经连续两个月涨价
[59:50.800] 了，完了模式来，
[59:54.280] 所以说不可能说什么年底
[59:56.720] 这半年任务都完成了，因为说年底他还有必要降价吗？
[60:02.310] 所以他卖的不好，他年底有可能说降了价，然后为了多冲点销量，
[60:07.600] 除了这个原因
[60:10.280] 不送，就到时候具体来。
[60:13.330] 对，那都是次要的东西。
[60:16.570] 办手机。
[60:18.240] 待车。
[60:19.120] 先主要是了解了，你就先了解车溅落D你掏多少钱，
[60:23.680] 是吧？其他东西都好了，对其他东西
[60:26.790] 那是活的吧？
[60:28.190] 分期的话我车走不是没还完的时候，
[60:31.620] 全给我是给你，咱这是信用贷款。
[60:34.880] 你的指标马那肯定能批给信用贷，就不用抵押东西，向丽本人的样车都给您。
[60:41.540] 您就说比如这两年之内这个车您没还完款，您想买车卖了都一样能卖，
[60:47.290] 不是做的抵押，
[60:49.380] 跟全款买的手续跟他们都是一样的。
[60:55.120] 的。
[60:55.930] 他分析。
[60:57.920] 不需要别的什么手续吗？直接就可以，你交的是网吗？
[61:01.290] 没有不，我自己朝上的钱自己没上班了。
[61:04.780] 对，我现在
[61:07.210] 就找在代代班去转交的。
[61:10.950] 他是需要审核社保，还有工资流水，
[61:14.850] 可能
[61:18.880] 你可能这项不了了。
[61:21.260] 你这项可能带不了，没事，他民航的都在，他们到时候回头。
[61:25.950] 当时给您。
[61:28.550] 把您的信息一传到系统，它就能查出来能不能答。
[61:32.200] 反正多方便，不用再跑银行，他从这社保这块他应该已经赚一年了。
[61:39.400] 就对转了转一年了，因为这在这一年当中他不是在学习别的，就没上班，
[61:45.620] 就专注学习了。
[61:47.030] 对，我是后来自己交的更交，没事。
[61:51.880] 没事，到时要考虑的话让他们给算进去。
[61:54.770] 行可以是吧？
[61:57.390] 反正贷款你得有。
[62:00.760] 社保这
