[00:00.000] 也大概了解过这车了是吧？
[06:13.320] 把牌子在上头，真的还有这种空
[06:15.910] 距离，因为您只要换车都涉及这么一个城市二。
[06:19.900] 对地方拍不着是吧？
[06:23.540] 对，临牌是现在能办15天，应该是最多可以办三次，反正这期间范围内肯定是没问题的。
[06:32.610] 大概就是这样。
[06:34.760] 然后那个人可能
[06:37.250] 我应该也就价钱贵，北京都这样，全美金，我这么跟您说，全北京就是93,000。
[06:44.470] 这个是厂家下了死命令了，你知道吧？比如说我吗我们家人卖车，
[06:51.290] 这也是93,000，为什么？比如说我为了卖您这个车，我给您多优惠了一个，咱们说多了2000块钱，
[06:58.700] 就优惠了一个95,000，但是厂家发票那个地方
[07:03.250] 他直接我开出发票的，当当时直接她那边就显示谁家就是发票
[07:09.200] 超了多少钱，直接会扣垫了好多钱，所以说这个是有这么一回事儿了，对。
[07:16.900] 也就这样，咱那指标也享受不上，就那些活动也享受不了。
[07:22.710] 为什么有一个只要认识我吗？不是，我就对单位什么合作那种的，就大客户那个是吧？客户。
[07:30.690] 对得指标人或者指标人的配偶
[07:33.800] 才能有大客户。
[07:37.020] 然后做贷款，这个的话可能需要您母亲配合一起签字，这个可能没问题，对，因为家里人也没问题。
[07:43.830] 我配合一起签字。
[07:47.310] 怎么样？
[07:48.560] 首先等一下听完了吗？还行，我问一下二手车您停了大概多大会，他刚拿钥匙去看是吗？已经看完了是吧？
[07:58.560] 行，我问一下您是一什么车，不好意思那就看看。
[08:02.700] 行。
[08:11.040] 第二车架能不能给高公交了？二手车的价格的话他会您之前Google吗？在别的4S店。
[08:19.070] 奥迪三到第三次是这个吗？不是，这确实是其他安全其他答辩是吧？
[08:25.160] 我过来也行，您是在4S店估的是吧？有一说一基本都差不多，
[08:30.870] 我会尽量给你看能不能高点或者怎么样，但是朗逸这车好卖，这车不属于说特别
[08:37.040] 5双鱼就是葛10多年了，09年09年了是吧？
[08:42.000] 国4个是吧？应该是对国4的应该是。
[08:46.390] 朗逸给您看一下。
[08:49.350] S90怎么样？
[08:51.120] S906跟这俩它俩价格差不多，S90有一个什么S90是
[08:59.410] 他这车长他就是一个典型的轿车，对后面空间大，对后排空间大，但是他后备箱空间就开口要稍微小一点，他就伸手对。
[09:09.760] 这样会稍微小一点。
[09:12.390] 别的话没什么。
[09:15.140] 其实现在有些年轻人什么的会选2760的多一点，因为穿760怎么说也比盘也
[09:23.810] 然后出去玩什么也方便，您平常上下班开多一些，还是出去玩去上下班是吧？
[09:29.750] 原来不怀孕就马上孩子了，然后我卖的车辆我钱买沃尔沃有三年差不多到今年8月份，
[09:38.150] 有大概
[09:40.990] 五六个
[09:42.450] 都是因为有了孩子了，或者然后要换药话，硪队。
[09:47.450] 环保对这车没什么味儿吗？
[09:50.320] 对，这还是比较好的，没有什么味道。
[09:53.690] 我给那个人打，我给二哥打电话问一下。
[10:04.560] 的。
[10:10.440] 马刚梦莹找你有一个朗逸，
[10:14.720] 然后09年的出来价格了吗？
[10:18.770] 还得大概多大会。
[10:21.350] 千
[10:22.640] 5分钟是吧？行你出来嫁给我发微信小一点。
[10:26.390] 对。
[10:28.730] 好拜拜。
[10:32.310] 还差不多五六分钟出来。
[10:34.840] 它现在我们二手车是上系统
[10:37.800] 进行一个拍卖的形式，
[10:41.720] 但其实沃尔沃置换补贴挺合适的，12,000别的家电好像没有几千块钱小几千就这样。
[10:49.320] 大概了解过奔驰好像三四五千六七千万年，奥迪来的几千块钱一吨，3000块，
[10:55.490] 是吧？对一般都是几千块钱，对沃尔沃12,000还是挺高的。
[10:59.260] 然后我这前两天有一个客户，他那个车是一个0
[11:04.300] 03年的还是07年的，特别老一个车没不出钱来都，然后就享受了补贴。
[11:21.760] 价格的话，
[11:22.940] 基本上
[11:25.670] 好
[11:27.600] 发展。
[11:31.010] 几个月了。
[11:32.720] 了花了。
[11:36.060] 第9个月，
[11:39.640] 远
[11:41.890] 号。
[11:42.830] 孩子出来。
[11:50.510] 行。
[11:54.720] 道就是怀孕后期是不是身体反应就没有那么大了？
[11:59.200] 没有，可能就是一开始情况还好，我前期也没什么反应是吗？
[12:03.920] 会。
[12:04.960] 没事儿了，我想我会这样。
[12:07.330] 谢谢你。
[12:09.820] 我接一个电话。
[12:11.790] 你说。
[12:13.310] 你说。
[12:38.600] 行
[13:01.400] 爸爸
[13:17.800] 去问他那二手车的。
[13:19.140] 没有了。
[15:30.430] 把我手机给我
[15:32.160] 尝过。
[15:33.220] 我来你了。
[15:35.610] 对，基本上都差不多。
[15:37.530] 咱那个车价格是11,300差不多，对，您上次估了多少钱也差不多，没这么对没那么仔细的，我就大概给他1000多块钱给您了，对，基本上可能
[15:51.080] 这车还算保值了，对这还算保存了，不行我马上到都行，说你看别人知道
[15:58.170] 怎么样？
[15:59.300] 知道要行的话就准备下礼拜一到吗？来是吗？还得接着去交定金，您交一订金我把车给您准备，然后您跟您母亲不用过来，你不就千分7吗？
[16:09.230] 您跟您母亲不用过来，我让银行的人联系，然后您把手续带回去给您补充签就行，我们银行人均都在，您不用再跑一趟了。
[16:16.740] 到时候你比如说下礼拜二等贷款银行银行贷款批了，批了以后您来办手续来，也不用带你母亲过来拿她身份证就行。
[16:24.190] 等一会儿你等会再走，我在这行。
[16:27.670] 好，这就中行的，一会让就给您签完了。
[16:31.360] 定金交多少交1万。
[16:33.780] 还要靠这款车没什么问题。
[16:38.070] 要交一半，如果
[16:39.460] 到时候其他店要优惠，还能退回去一样。
[16:42.280] 然后
[16:44.550] 你也逛了您也逛了几家店了，你也知道结果了，其实就有什么说什么，这已经给
[16:50.880] 很大的一个地方了，对吧？什么的指标人的话是你母亲对吧？
[16:55.530] 它们对，然后麻烦要一下你母亲的身份证正反面照片就可以，我这边
[17:29.480] 是远豪华的对不对？
[17:31.380] 豪华还是运动的？
[17:33.120] 豪华还是运动？
[17:35.360] 爱运动的。
[17:37.380] 运动豪华和运动是哪地座椅进气格珊。
[17:42.810] 见过运动的吗？
[17:44.110] 没有是吧？你看一下这个车子那座山的就是蓝色的这S9的
[17:49.460] 座椅进气格栅模范
[17:56.640] 谁知
[18:04.950] 然后再
[18:07.280] 工作
[18:10.190] 的
[18:13.470] 的。
[18:14.440] 行，以后我也没有强行家装的地方没有用了，
[18:18.260] 咱这块到时候后期没有什么就强行加东西的，没有您放心，咱这没有任何强行说什么，我们大盘说有强势，比如这3000我告诉你必须在我店里验车上保险，我会提前告诉你这这里的行政有边
[18:32.090] 出来的那个吗？
[18:35.570] 我还能
[18:37.160] 你这是运动的。
[18:39.850] 哪个就拖了，你说出来那种。
[18:42.720] 运动的比较少，反正是I豪华的多一些。
[18:46.520] 您之前看的都是豪华的是吗？
[18:48.880] 主要是其他店好像也运动的少点。
[18:51.820] 其他店的车运动的也少，全市百块钱豪华的就是
[18:55.680] 基本都是号码了。
[18:57.190] 因为运动的没买的人少吗？
[19:00.390] 一般都是订了运动太晚。
[19:03.350] 可以看您我这好像都有前面的
[19:07.270] 经气格珊不一样，然后座椅不一样，里边内饰也不一样，内饰不是那种
[19:15.980] 这种木纹还有棕色木纹，然后运动的就是这种铝制拉丝银饰条，
[19:22.390] 彼得拉克的这10条选移动选运动呢，
[19:26.950] 运动行就白车黑内的，
[19:30.050] 配对运动的都是只有黑色作业，运动没有别的颜色。
[19:36.210] 然后他那个座椅是翻毛皮，不是这种
[19:39.640] 类似于翻毛皮的那种板子，
[19:43.370] 那种也不是风光植物，这块是真皮那种。
[19:48.440] 积压车里边有吗？
[19:50.720] 没有，我来我给你形容一下。
[19:53.290] 他们一个是带了一个
[19:55.290] 做一个其实运动型的，
[19:57.710] 然后就业
[19:59.960] 边上这块是哪个？
[20:02.280] 然后咱们P
[20:05.340] 这块生活的
[20:07.030] 中间这块，但是职务特别丑的那种树。
[20:12.480] 有照片。
[20:15.480] 在网上查一下。
[20:24.230] 全家确实下来了，
[20:30.750] 现在
[20:32.930] 找。
[20:53.010] 没有运动，
[20:55.630] 滑板去运动。
[21:02.590] 需求对，我就在汽车之家上招的，因为我没拍过。
[21:08.230] 看一下。
[21:28.600] 这都是豪华的。
[21:36.030] 那么退出去，
[21:40.290] 看一下。
[21:48.080] 还有。
[21:56.630] 我票没男朋友。
[21:58.960] 对您家有卷吗？能用吗？有一个别的家有一个什么九九请1500，淘宝祺官方旗舰店天猫，
[22:06.280] 京东还有什么一个说其他店当时跟我说他有一个什么95减1500给1500卷。
[22:14.920] 有吗？没有，我看看沃官方的话，
[22:18.890] 好像是没有。
[22:29.470] 外观
[22:31.440] 这块是横着的这种，然后耳朵是黑色的，
[22:36.120] 龙骨是这样色的。
[22:38.090] 这是外观
[22:39.280] 好还是白色的耳朵是吧？对，豪华跟车身是什么颜色就是什么颜色。
[22:47.980] 让他放这种
[22:49.220] 这是一交换。
[23:01.730] 这都是
[23:02.750] 这种
[23:06.290] 没有logo，就这块是这种植物的知道吗？
[23:09.910] 这块是这种真皮，然后这块这种植物
[23:13.010] 咱没有这logo，
[23:17.550] 这块
[23:18.620] 整体
[23:19.680] 这样的是吧？
[23:22.830] 对放大不了好像是还得汽车之家。
[23:29.730] 也行
[23:36.220] 远远
[23:42.950] 对谁知
[23:47.230] 行
[23:49.480] 运动。
[23:51.030] 年轻人
[23:59.320] 运动
[24:06.630] 白车然后
[24:09.150] 涵盖什么区别。
[24:15.330] 数据
[24:18.000] 句
[24:23.470] 的
[24:28.950] 的
[24:53.710] 车架号，您喜欢哪个？有两个，一个是9797，一个是9898。
[24:59.800] 98 9 8898 98。
[25:25.780] 的
[25:28.450] 远。
[25:48.990] 场
[25:57.150] 这个有吗？
[26:04.110] 这是什么？
[26:05.830] 你发我一下我加微信。
[26:24.440] 把链接发给您看一下行。
[26:52.260] 的
[26:56.510] 你不要你去
[26:59.350] 就不用去哪就说
[27:01.240] 去哪去了，价格我觉得价格应该是不会变，他就在帮我们还有一家，昨天展区里我看其他的
[27:11.070] 我觉得也差不多的，
[27:13.090] 主要是想做保养的话来
[27:16.660] 远远
[27:29.430] 第36万
[27:33.280] 也
[27:49.250] 贷款月了，
[27:53.150] 你背着抱着都是一边沉，你全全款买没贷款不也一样，但关键是到时候你们
[28:02.280] 车库下来了，谁知
[28:06.130] 那会你在买贷款的话那就了这样。
[28:12.830] 先生不好意思，没有，我刚刚问我们市场经理，
[28:19.570] 他说这上没有再申请。
[28:23.980] 没事找人
[28:28.230] 句。
[28:32.220] 数据。
[28:48.070] 电没有。
[28:52.720] 对，然后再确认了一下没有。
[28:56.350] 那个车跟车有什么区别，虽然车模还是贴车不是一回事儿，就他俩车模是7公里，
[29:05.080] 车一是贴车后车漆的，对我们家这边有车衣
[29:10.590] 上来就一22,000，
[29:12.850] 差不多的也得1万13,000 15,000这样子。
[29:17.450] 对那些改色的车模，
[29:20.910] 散策的车衣是吧？一个也不知道车衣服你见完车再贴，无论你在哪车都得验完车再贴，就等上车牌在
[29:30.110] 那个车E是不是也就防着点，要是滑什么的？
[29:33.960] 他是这样的，
[29:35.980] 比如说你贴完这车一了，不是那小孩什么的，他那什么爱他给你划了一下，或者你没想不小心碰到录庄子，或者侧面划了一下，
[29:46.910] 那种的滑到了车漆的，
[29:48.740] 他伤到车漆，然后就大大的螺丝下来，对，然后你万一说比如说跟人碰撞追尾的或者带小孩一样，对，本身车他都有变形了，这车一肯定就保护不了了，他防剐蹭，
[30:02.370] 主要就防滑藤条。
[30:06.900] 非常高的，比如说我车门上的推背碰了，我换的时候是整车换还是只要换车门，这块车门都可以了，它是一块一块的。
[30:16.770] 然后我有好多客户，他这人就贴了一个前后杠，
[30:19.820] 这房子的地方就前后杠，然后还有反光镜，他那手抠，
[30:24.190] 就贴那几个。
[30:29.190] 这也就是贴透明的，他看不出来。
[30:31.760] 然后看您的
[30:50.100] 说
[31:10.830] 三
[31:12.190] 的
[31:15.290] 数据、
[31:16.950] 数据
[31:21.180] 的
[31:23.920] 的
[31:25.450] 的
[31:27.220] 五
[31:34.500] 数据
[31:39.130] 的
[31:41.490] 坏。
[31:45.370] 的
[31:51.690] 的
[31:53.450] 场。
[31:55.610] 好
[31:58.390] 打电话，
[32:04.950] 打电话用的系统。
[32:16.290] 数据
[32:18.190] 数据
[32:22.140] 数据
[32:24.280] 句。
[32:28.680] 场
[32:32.070] 场
[32:34.560] 的
[32:46.450] 场
[32:48.330] 远。
[32:52.040] 远
[33:30.260] 远远
[33:34.960] 还
[33:40.080] 坏
[34:16.410] 花、
[34:26.970] 数据。
[34:33.810] 号
[34:49.680] 场
[34:53.230] 的
[35:19.800] 数据
[35:22.470] 的
[35:32.310] 场
[35:33.870] 场
[35:36.450] 五
[35:44.900] 的
[35:47.610] 数据。
[35:55.570] 的。
[35:59.410] 要身份证照片
[36:01.100] 发给我。
[36:03.050] 给您发过去了，行好勒。
[36:07.460] 其他的问题。
[36:12.630] 您说的购车款。
[36:16.100] 我问了一下，我之前同事就先在别家店，然后我说你们电能用我们剪开票价，不知道这事估计有可能就是个噱头，
[36:26.630] 说不好听点就是个
[36:29.480] 刚回我不就肯定减不了。
[36:31.970] 对，可能估计就是个噱头。
[36:35.050] 加油。
[36:43.340] 到时您帮我再问问保险单，不过保养都看成对，我正好我直接申请的，然后看他批不批。
[36:58.170] 然后手机号填您的，行行，您说一下1368309309127。
[37:05.630] 5127。
[37:44.260] 经理审核一下
[37:52.200] 数据。
[37:55.390] 你坏。
[38:00.690] 不行了。
[38:10.760] 了
[38:23.450] 场
[38:40.560] 还
[38:43.870] 数据
[38:47.190] 吗？
[38:49.100] 谁知
[39:10.940] 的
[39:19.970] 场
[39:22.620] 数据
[39:29.110] 场
[39:33.520] 场
[39:36.490] 场
[39:44.770] 数据。
[39:58.400] 的。
[40:00.410] 好像是您家是买完了把发票传给汽车加上是我看一下。
[40:07.290] 流程我看的是上传发票是吧？你看到店购车无需造成4S店还告诉你，
[40:13.250] 然后上面发酵上传发票完了发给我就
[40:18.730] 他有的我就买这个东西。
[40:24.990] 然后咱签一下合同。
[40:27.190] 然后您在
[40:29.280] 签一下您母亲的名字这个地方。
[40:32.360] 然后我把订单一下介绍。
[40:39.270] 用
[40:43.910] 玩
[40:47.040] 破坏了。
[40:48.580] 还用吗？
[40:49.770] 老家不想给他办，行了完了是吧？行，然后你手机会收到一个验证码，5127尾号行。
[40:58.830] 身份验证。
[41:03.670] 85272
[41:06.480] 722，
[41:08.440] 然后刚才说了保养，然后才同意，
[41:12.400] 然后我就马上5次，
[41:14.080] 最后因为我这边申请得最多的，
[41:17.440] 那也是一个朋友介绍的，然后当时小申请没有跟领导也说了，6
[41:23.030] 没有收到没有的马。
[41:30.770] 上
[41:37.810] 的
[41:45.800] 千
[41:47.730] 一样。
[42:16.920] 坏。
[42:18.310] 为了缩短用户自己换成我妈的
[42:24.460] 还清楚。
[42:27.710] 号。
[42:39.750] 数据、
[42:44.380] 话
[42:50.150] 坏
[42:52.790] 场。
[44:22.670] 水
[44:25.510] 的。
[45:23.510] 坏。
[45:24.850] 花
[45:26.760] 场。
[45:51.560] 数据。
[45:54.560] 的
[45:56.170] 数据
[45:58.160] 的
[45:59.140] 客户。
[46:06.910] 但如果你要坏
[46:09.360] 的，
[46:10.340] 谁知
[46:20.420] 并
[46:25.550] 您看一下。
[46:32.370] 您看一下。
[46:36.890] 一会刷卡刷您谁的卡？
[46:39.240] 过账刷您的是吧？是储蓄卡还是信用卡？储蓄卡是吧？您身份证带了吗？
[46:45.890] 身份证我得看一下，你不用说我也行。
[46:50.110] 咱俩一样，我也有个这样像莲一样的，
[46:53.260] 顺便带了
[46:54.420] 深圳大点了，我需要用一下您的声音，一会到哪一会到那刷卡的时候用。
[47:00.340] 需要复印一下复印件。
[47:04.930] 现在其实就相当于75折是吧？差不多了。
[47:08.340] 对，这部只要比例
[47:10.620] 25.01吗？
[47:14.880] 然后支援运动版，
[47:16.910] 然后车架号、指导价、售价，
[47:20.380] 然后您看一下其他约定的地方，
[47:24.660] 知道价位多少，然后提供优惠置换，
[47:28.030] 然后销售价格为314,900。
[47:36.590] 9900开会。
[47:39.590] 三
[47:40.800] 空军12,000。
[47:44.690] 3000万 4900，
[47:47.050] 验车3000，分期服务费6000。
[47:49.920] 脚垫后备箱垫记录一天吗？当年
[47:53.830] 又写了35万，还有那些借钱还没上，没有这些危险的，就是货车的价格、税、验车、保险，
[48:02.710] 这些都还没有具体的对。
[48:05.200] 全办下来那么多这些我说了只有这么多吃饭下来这些。
[48:14.640] 行那没问题，我带您去交款，然后这份是您的，您收好就行了。
[48:21.290] 到时您留着就行了。
[48:24.120] 行，我带您过去交。
[48:28.130] 刷你的卡对吧？行。
[48:39.960] 号
[48:43.550] 的。
[48:54.300] 的
[48:56.090] 数据
[48:57.760] 数据、
[48:59.510] 场、场、场、
[49:05.050] 场
[49:08.430] 的
[49:09.960] 场。
[49:15.220] 远
[49:18.290] 场。
[49:20.560] 场
[49:22.630] 场
[49:30.190] 数据。
[49:36.930] 数据
[49:38.240] 场、
[49:43.250] 场
[49:45.080] 数据
[49:50.240] 远
[49:53.450] 花。
[50:00.710] 数据。
[50:28.580] 场
[50:31.440] 数据
[50:34.790] 场、
[50:35.640] 数据
[50:37.670] 数据
[50:43.490] 的
[50:50.170] 数据
[50:51.910] 点。
[50:57.800] 的
[50:59.870] 数据。
[51:02.070] 五
[51:06.470] 数据。
[51:12.360] 的
[51:16.900] 数据
[51:17.940] 场
[51:20.160] 的。
[51:27.120] 三
[51:28.870] 五
[51:30.330] 花。
[51:38.190] 的
[51:43.040] 号
[51:52.040] 的
[51:57.470] 的
[52:08.510] 句。
[52:09.240] 场。
[52:18.070] 五
[53:40.800] 三
[53:43.280] 数据
[53:46.730] 的
[54:01.840] 数据
[54:04.000] 场。
[56:01.320] 的
[56:18.320] 号
[56:20.680] 30万。
[56:22.000] 35万以后大概每个月花2万块钱，
[56:25.680] 两这1万家房贷
[56:32.470] 涨多少钱了基本RNN。
[56:37.190] 咱们现在的如果被
[56:43.070] 基本贷款对贷款是8000，然后这个是1万10,700，然后我的工资是还贷款吗？
[56:50.450] 我的工资公司给你
[56:53.600] 生活用的，他交了4天排查拍照不也就这样了，差不多
[57:00.270] 介绍。
[57:03.320] 你还买乖的。
[57:05.780] 买为什么？
[57:07.790] 什么钱？
[57:10.510] 都可以。
[57:12.880] 包括购物你这么多钱，
[57:15.670] 怎么好意思。
[57:16.550] 我要的稍等一下，他马上过来，对，还有湖光跟您说，汽车之家汽车之家我问了，然后他那个的话
[57:25.590] 应该是沃尔沃厂家跟企业之家好像是有一个合作，
[57:30.740] 或者说不知道汽车之家跟哪进的合作，应该是跟厂家的，然后4S店不太了解这个事情，但是那上面我看也写了说说是元才9块9的，买就买了就得了，然后就算被骗你才9块9，
[57:45.330] 你要看他是本人买到时候付得起，我妈让我妈动了他的，他那可以对让您母亲买。
[57:52.390] 对，我看他9块9也不是太贵，我说你就买了就等了，我大概问了一下我们市场经理，他说到时候需要让您开出什么证明就行，你帮我一下。
[58:00.310] 他那上面应该就是发票就可以了，票对应该车辆发票，谁知你的开票价以及哪家4S店
[58:11.380] 买的车，
[58:12.840] 就哪家4S店给你开发票，那上都有。
[58:16.100] 直接你就买得了，我看也不是太贵主要。
[58:18.970] 你早上跟我差不多在太原在
[58:26.120] 对，然后中行那个人马上工作了没有？
[58:29.090] 他是银行的人是吧？搞什么还得等银行的人是吧？对银行的人给您大概填一些资料，
[58:35.600] 然后贷款的一些资料看您看谁带都行，然后把那些资料回去给你母亲进行签字，
[58:42.130] 到时候你是开辟给她也好，或者说怎么给他也好，能做一个交接，对我婆婆她退休是您贷款。
[58:50.050] 我明白，对，就您可以分离分开，比如说您来贷款，你婆婆那个是指标人尽量是这样，对，然后因为退休的话贷款它可能带不了那么多，因为咱这个是带了20
[59:01.470] 5万对吧？
[59:03.520] 对，戴了25了。
[59:09.790] 开出来之后跟一下，我下周一过来签来就带着我妈一块来是吧？开多久了？不是，他马上他
[59:16.000] 他已经在来了，因为你当天签他当天为什么批得过，所以得提前签，不愿
[59:21.700] 不愿。
[59:24.530] 我跟你说。
[59:25.550] 你在这儿我跟你说下情况，然后这个的话是先生的母亲是指标人，所以得两个人进行签字，然后尽快给批，我们这边也想早点提车。
[59:36.250] 然后今天你先让先生签。
[59:38.900] 对，然后回去你不把手续让他带回去签去对吧？
[59:42.250] 现在不是了，您很方便过来吗？还是辛苦一下？
[59:47.860] 今天吗？
[59:49.310] 不太方便的地方必须。
[59:52.880] 您差不多你那边，要不然我什么时候方便，我们去上门找个参与方也
[59:59.350] 可以，因为现在是这样，现在自己的面前都得面签是吗？
[60:03.720] 都得觉得那边改了。
[60:06.040] 您看您什么时候方便，然后我们去找他签一下也行。
[60:10.660] 明天可以吗？明天礼拜日。
[60:15.440] 在哪呢？
[60:16.420] 在百度之间二还行房间那边。
[60:20.260] 行行，然后明天这样，明天我们这边
[60:24.400] 找他签一下，行，您看着医师您联系肯定创新，您看什么时候方便，然后我找他签一下好吧？然后今天咱们就签，然后明天我再找民警1000。
[60:34.870] 没办也行，分开签也行。
[60:36.560] 你先等先生说对他
[60:41.490] 还有问题。
[60:44.160] 我们俩。
